covid_period,classe_eta,sex_label,mean_neet_obs_value,pre_covid_mean_neet_obs_value,delta_vs_pre_covid_pp,pct_change_vs_pre_covid
àcàoàvàiàdà_àsàhàoàcàkà,àYà2à0à-à2à4à,àmàaàlàeà,159.423375,171.8586375,-12.435262499999991,-7.235750661644803
àpàràeà_àcàoàvàiàdà,àYà2à0à-à2à4à,àmàaàlàeà,171.8586375,171.8586375,0.0,0.0
àcàoàvàiàdà_àsàhàoàcàkà,àYà2à0à-à2à4à,àtàoàtàaàlà,311.1505625,339.7518375,-28.601275000000044,-8.418284124806254
àpàràeà_àcàoàvàiàdà,àYà2à0à-à2à4à,àtàoàtàaàlà,339.7518375,339.7518375,0.0,0.0
àcàoàvàiàdà_àsàhàoàcàkà,àYà2à5à-à2à9à,àfàeàmàaàlàeà,226.76353125,232.019159375,-5.255628124999987,-2.2651698847445614
àpàràeà_àcàoàvàiàdà,àYà2à5à-à2à9à,àfàeàmàaàlàeà,232.019159375,232.019159375,0.0,0.0
àcàoàvàiàdà_àsàhàoàcàkà,àYà2à5à-à2à9à,àmàaàlàeà,158.45746875,156.782540625,1.674928125000008,1.068312911835114
àpàràeà_àcàoàvàiàdà,àYà2à5à-à2à9à,àmàaàlàeà,156.782540625,156.782540625,0.0,0.0
àcàoàvàiàdà_àsàhàoàcàkà,àYà2à5à-à2à9à,àtàoàtàaàlà,385.2210625,388.80169375,-3.5806312500000104,-0.9209402396025468
àpàràeà_àcàoàvàiàdà,àYà2à5à-à2à9à,àtàoàtàaàlà,388.80169375,388.80169375,0.0,0.0
àcàoàvàiàdà_àsàhàoàcàkà,àYà2à5à-à3à4à,àfàeàmàaàlàeà,483.35415625,502.513971875,-19.159815624999965,-3.812792618185342
àpàràeà_àcàoàvàiàdà,àYà2à5à-à3à4à,àfàeàmàaàlàeà,502.513971875,502.513971875,0.0,0.0
àcàoàvàiàdà_àsàhàoàcàkà,àYà2à5à-à3à4à,àmàaàlàeà,284.51359375,289.128628125,-4.615034374999993,-1.596187276551791
àpàràeà_àcàoàvàiàdà,àYà2à5à-à3à4à,àmàaàlàeà,289.128628125,289.128628125,0.0,0.0
àcàoàvàiàdà_àsàhàoàcàkà,àYà2à5à-à3à4à,àtàoàtàaàlà,767.8675000000001,791.642590625,-23.77509062499996,-3.003260676794762
àpàràeà_àcàoàvàiàdà,àYà2à5à-à3à4à,àtàoàtàaàlà,791.642590625,791.642590625,0.0,0.0
àcàoàvàiàdà_àsàhàoàcàkà,àYà3à0à-à3à4à,àfàeàmàaàlàeà,256.59059375,270.494825,-13.90423125000001,-5.140294735768054
àpàràeà_àcàoàvàiàdà,àYà3à0à-à3à4à,àfàeàmàaàlàeà,270.494825,270.494825,0.0,0.0
àcàoàvàiàdà_àsàhàoàcàkà,àYà3à0à-à3à4à,àmàaàlàeà,126.05596875,132.34611562499998,-6.290146874999991,-4.752800522550276
àpàràeà_àcàoàvàiàdà,àYà3à0à-à3à4à,àmàaàlàeà,132.34611562499998,132.34611562499998,0.0,0.0
àcàoàvàiàdà_àsàhàoàcàkà,àYà3à0à-à3à4à,àtàoàtàaàlà,382.6465625,402.840940625,-20.19437812499996,-5.0129905102666
àpàràeà_àcàoàvàiàdà,àYà3à0à-à3à4à,àtàoàtàaàlà,402.840940625,402.840940625,0.0,0.0
