school_type,academic_year,codice_istituto,rows,avg_score,min_score,low_score_rows,weak_score_rows,proxy_rows,keyword_hits,proxy_rate,school_proxy_flag
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àCàEà1àEà0à5à5à0à0àGà,4,5.0,2,1,1,2,3,0.5,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àCàEàTàDà1à0à5à0à0àCà,4,2.0,1,2,4,2,0,0.5,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àCàHàTàDà0à3à5à0à0à4à,4,3.0,1,1,3,2,1,0.5,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àCàNàPàSàNàLà5à0à0à9à,4,4.5,2,1,1,2,1,0.5,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àCàRàPàMà0à0à5à0à0àCà,4,5.25,4,0,0,2,2,0.5,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àCàRàPàSà0à2à5à0à0àLà,4,6.5,6,0,0,2,4,0.5,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àCàTà1àEà0à0à9à0à0à4à,4,3.0,1,1,2,2,1,0.5,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àCàTàTàDà3à2à5à0à0àNà,4,4.75,2,1,1,2,1,0.5,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àCàZà1àEà0à0à4à0à0àNà,4,5.0,2,1,1,2,1,0.5,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àFàGà1àEà0à1à5à0à0à6à,4,5.75,4,0,0,2,2,0.5,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àFàGàTàDà0à9à5à0à0à4à,4,3.0,2,1,3,2,2,0.5,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àFàIàPàSàCàRà5à0à0àMà,4,3.0,1,1,2,2,1,0.5,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àGàEà1àEà0à1à9à0à0à3à,4,5.25,5,0,0,2,2,0.5,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àLàIà1àEà0à0à8à0à0àRà,4,5.0,2,1,1,2,1,0.5,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àLàTàTàDà0à1à5à0à0àXà,4,3.0,2,1,3,2,1,0.5,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àLàUà1àEà0à0à2à0à0à8à,4,4.0,2,1,1,2,1,0.5,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àMàIàPàCà2à1à5à0à0à9à,4,4.5,2,1,1,2,2,0.5,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àMàIàPàLà0à7à5à0à0à5à,4,4.25,1,1,1,2,2,0.5,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àMàTàPàMà0à1à5à0à0àPà,4,4.25,2,1,1,2,1,0.5,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àNàAà1àEà0à4à2à0à0àBà,4,4.75,2,1,1,2,3,0.5,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àNàAà1àEà0à5à9à0à0àRà,4,4.5,2,1,1,2,1,0.5,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àNàAà1àEà0à6à7à0à0àQà,4,4.5,3,0,1,2,2,0.5,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àNàAà1àEà0à6à8à0à0àGà,4,3.5,2,2,2,2,0,0.5,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àNàAà1àEà0à7à5à0à0àPà,4,4.25,2,1,1,2,1,0.5,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àNàAà1àEà0à8à6à0à0à5à,4,6.75,6,0,0,2,2,0.5,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àNàAà1àEà1à0à3à0à0àNà,4,3.25,1,2,2,2,0,0.5,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àNàAà1àEà1à1à4à0à0à4à,4,3.25,2,1,3,2,1,0.5,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àNàAà1àEà1à2à0à0à0àBà,4,3.75,2,1,1,2,1,0.5,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àNàAà1àEà1à3à8à0à0àLà,4,3.5,3,0,2,2,2,0.5,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àNàAà1àEà1à4à7à0à0àBà,4,4.5,3,0,2,2,2,0.5,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àNàAà1àEà1à8à7à0à0àTà,2,4.5,4,0,0,1,1,0.5,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àNàAà1àEà2à1à1à0à0àDà,4,4.0,2,1,1,2,1,0.5,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àNàAà1àEà2à3à1à0à0àPà,4,4.5,2,1,1,2,1,0.5,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àNàAà1àEà2à5à7à0à0àVà,4,4.5,2,1,1,2,1,0.5,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àNàAà1àEà2à6à5à0à0àTà,4,5.75,2,1,1,2,1,0.5,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àNàAà1àMà0à2à4à0à0à3à,4,5.5,5,0,0,2,4,0.5,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àNàAàPàSàFà2à5à0à0àEà,4,4.75,2,1,1,2,1,0.5,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àNàAàTàFàLàCà5à0à0àIà,4,3.0,2,2,3,2,0,0.5,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àPàCà1àEà0à0à1à0à0à7à,4,3.5,1,2,2,2,0,0.5,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àPàCàPàQà1à4à5à0à0à8à,4,3.0,1,1,2,2,1,0.5,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àPàDà1àEà0à1à5à0à0àQà,4,5.5,4,0,0,2,2,0.5,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àPàRàPàMà0à1à5à0à0à8à,4,4.0,2,1,1,2,3,0.5,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àPàRàTàDà0à2à5à0à0àNà,4,3.25,1,1,2,2,1,0.5,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àPàVà1àMà0à0à5à0à0àTà,4,5.25,4,0,0,2,2,0.5,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àPàVà1àMà0à0à6à0à0àNà,4,6.5,6,0,0,2,4,0.5,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àRàCà1àEà0à0à7à0à0àXà,4,5.5,4,0,0,2,4,0.5,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àRàMà1àEà1à5à8à0à0àRà,4,5.75,4,0,0,2,2,0.5,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àRàMà1àMà0à8à3à0à0àTà,4,6.25,5,0,0,2,2,0.5,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àRàMàPàLà1à3à5à0à0à4à,4,5.0,4,0,0,2,4,0.5,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àRàMàPàSà4à5à5à0à0à5à,4,3.25,2,1,2,2,3,0.5,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àSàAàPàCà0à2à5à0à0à6à,4,3.25,2,1,3,2,1,0.5,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àSàAàTàDà0à7à5à0à0à6à,4,5.0,3,0,1,2,2,0.5,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àSàOàPàSàQàGà5à0à0àFà,4,5.25,5,0,0,2,4,0.5,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àSàRàPàCà0à0à5à0à0à3à,4,5.25,4,0,0,2,2,0.5,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àTàAà1àMà0à0à1à0à0àTà,4,5.0,2,1,1,2,3,0.5,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àTàAà1àMà0à0à3à0à0àDà,4,5.25,2,1,1,2,3,0.5,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àTàOà1àEà0à4à2à0à0àTà,4,5.5,5,0,0,2,4,0.5,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àTàOà1àMà0à2à9à0à0àLà,4,5.0,5,0,0,2,2,0.5,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àTàOà1àMà0à4à8à0à0à2à,4,5.5,4,0,0,2,4,0.5,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àTàOà1àMà0à5à2à0à0àNà,4,4.75,4,0,0,2,5,0.5,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àTàOà1àMà0à5à5à0à0à5à,4,6.75,6,0,0,2,2,0.5,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àTàOàPàLà0à3à5à0à0àPà,4,3.25,2,1,2,2,1,0.5,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àTàOàPàSà0à7à5à0à0àAà,4,5.25,4,0,0,2,2,0.5,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àTàOàPàSà0à9à5à0à0àGà,4,5.25,4,0,0,2,4,0.5,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àTàOàPàSà2à7à5à0à0à4à,4,4.5,4,0,0,2,2,0.5,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àTàOàTàFà0à1à5à0à0àRà,4,5.5,5,0,0,2,4,0.5,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àTàSà1àEà0à0à7à0à0à5à,4,5.75,4,0,0,2,2,0.5,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àTàVà1àEàDàQà5à0à0àCà,4,6.75,6,0,0,2,2,0.5,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àTàVàPàCà0à1à5à0à0àXà,4,4.25,2,1,1,2,1,0.5,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àTàVàPàCà4à8à5à0à0àHà,4,4.25,2,1,1,2,2,0.5,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àUàDàPàCà0à0à5à0à0àNà,4,6.0,5,0,0,2,3,0.5,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àVàAà1àMà0à1à4à0à0àRà,4,5.5,4,0,0,2,3,0.5,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àVàAàTàLà0à4à5à0à0àPà,4,4.0,2,1,1,2,1,0.5,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àVàEà1àEà0à0à2à0à0àQà,4,5.25,5,0,0,2,2,0.5,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àVàEàPàSà0à1à5à0à0à3à,4,3.5,2,1,1,2,3,0.5,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àVàEàPàSà0à4à5à0à0àVà,4,4.0,2,1,1,2,1,0.5,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àVàIà1àMà0à0à7à0à0àBà,4,6.5,6,0,0,2,4,0.5,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àAàGàPàSàFàGà5à0à0à9à,3,4.666666666666667,1,1,1,1,0,0.3333333333333333,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àBàAà1àEà0à1à7à0à0àDà,3,5.0,3,0,1,1,1,0.3333333333333333,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àBàAà1àEà0à1à8à0à0à9à,3,4.666666666666667,2,1,1,1,0,0.3333333333333333,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àCàAàPàSà8àTà5à0à0à7à,3,5.0,3,0,1,1,1,0.3333333333333333,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àNàAà1àEà1à7à5à0à0àGà,3,4.0,3,0,1,1,1,0.3333333333333333,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àPàOà1àEà0à0à9à0à0àGà,3,5.0,4,0,0,1,1,0.3333333333333333,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àUàDà1àEà0à0à3à0à0àXà,3,6.0,6,0,0,1,1,0.3333333333333333,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àAàGàTàDà1à2à5à0à0àEà,4,4.5,4,0,0,1,1,0.25,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àAàLà1àMà0à0à2à0à0àQà,4,4.5,4,0,0,1,2,0.25,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àAàLà1àMà0à0à8à0à0àPà,4,4.75,3,0,1,1,1,0.25,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àAàLàPàSà0à0à5à0à0à7à,4,6.5,5,0,0,1,3,0.25,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àAàLàRàHà0à1à5à0à0àGà,4,4.0,3,0,1,1,1,0.25,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àAàNà1àEà0à0à2à0à0à5à,4,5.75,4,0,0,1,1,0.25,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àAàPà1àMà0à0à1à0à0à5à,4,6.25,5,0,0,1,3,0.25,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àAàPà1àMàUàMà5à0à0àNà,4,5.0,3,0,1,1,3,0.25,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àAàPàPàQà0à4à5à0à0à4à,4,3.25,1,1,2,1,0,0.25,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àAàQà1àEà0à0à1à0à0àEà,4,5.0,2,1,1,1,0,0.25,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àAàQà1àEà0à0à3à0à0à6à,4,5.25,4,0,0,1,1,0.25,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àAàQà1àEà0à0à5à0à0àTà,4,5.5,4,0,0,1,3,0.25,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àAàQà1àEà0à0à7à0à0àDà,4,5.25,5,0,0,1,1,0.25,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àAàRà1àMà0à0à2à0à0à6à,4,3.75,2,1,2,1,0,0.25,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àAàRàPàMà0à1à5à0à0à9à,4,4.0,2,1,1,1,0,0.25,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àAàRàPàSà8à6à5à0à0à8à,4,3.25,2,1,2,1,0,0.25,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àAàTà1àEà0à0à2à0à0àGà,4,5.25,4,0,0,1,1,0.25,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àAàTàPàLà0à2à5à0à0à8à,4,5.25,4,0,0,1,3,0.25,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àAàVà1àEà0à0à8à0à0à5à,4,4.75,4,0,0,1,1,0.25,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àAàVà1àEà0à1à0à0à0à5à,4,6.0,5,0,0,1,1,0.25,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àBàAà1àEà0à0à1à0à0àXà,4,4.25,3,0,1,1,3,0.25,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àBàAà1àEà0à0à2à0à0àQà,4,7.0,7,0,0,1,1,0.25,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àBàAà1àEà0à2à6à0à0à8à,4,5.5,5,0,0,1,1,0.25,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àBàAàPàCà0à2à5à0à0àEà,4,5.0,5,0,0,1,2,0.25,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àBàAàPàLàSà4à5à0à0àLà,4,5.5,4,0,0,1,1,0.25,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àBàAàPàSà0à3à5à0à0à8à,4,3.75,1,1,2,1,0,0.25,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àBàGà1àEà0à0à5à0à0à8à,4,5.5,5,0,0,1,1,0.25,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àBàGà1àEà0à0à9à0à0àGà,4,5.0,3,0,1,1,1,0.25,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àBàGà1àEà0à1à4à0à0à3à,4,6.5,6,0,0,1,1,0.25,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àBàGà1àEà0à1à5à0à0àVà,4,6.5,6,0,0,1,1,0.25,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àBàGà1àMà0à0à2à0à0à2à,4,5.25,4,0,0,1,3,0.25,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àBàGà1àMà0à0à9à0à0àRà,4,6.0,5,0,0,1,1,0.25,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àBàGà1àMà0à1à4à0à0à8à,4,5.5,5,0,0,1,2,0.25,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àBàGà1àMà0à1à6à0à0àXà,4,5.25,4,0,0,1,3,0.25,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àBàGà1àMà0à2à2à0à0à7à,4,5.5,4,0,0,1,1,0.25,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àBàGà1àMà0à2à3à0à0à3à,4,6.0,5,0,0,1,3,0.25,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àBàGàPàLà0à4à5à0à0àPà,4,5.5,5,0,0,1,1,0.25,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àBàGàPàMà0à3à5à0à0àAà,4,6.0,6,0,0,1,1,0.25,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àBàGàPàSà0à2à5à0à0àPà,4,5.25,4,0,0,1,3,0.25,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àBàGàPàSà1à2à5à0à0àGà,4,6.25,6,0,0,1,1,0.25,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àBàGàPàSà5à0à5à0à0à7à,4,4.5,4,0,0,1,2,0.25,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àBàGàPàSàBàTà5à0à0à4à,4,5.0,4,0,0,1,1,0.25,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àBàGàSàDà0à1à5à0à0àEà,4,4.5,2,1,1,1,0,0.25,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àBàGàTàDà1à0à5à0à0à6à,4,4.0,1,1,2,1,0,0.25,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àBàLàPàMàMàNà5à0à0à0à,4,5.25,4,0,0,1,1,0.25,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àBàNà1àEà0à0à1à0à0à6à,4,6.5,6,0,0,1,2,0.25,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àBàOà1àMà0à0à1à0à0à4à,4,5.75,5,0,0,1,1,0.25,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àBàOà1àMà0à0à8à0à0àVà,4,5.0,5,0,0,1,1,0.25,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àBàOà1àMàZàNà5à0à0à6à,4,5.75,5,0,0,1,2,0.25,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àBàOàPàCà0à1à5à0à0àVà,4,4.75,4,0,0,1,1,0.25,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àBàOàPàLà5à7à5à0à0àRà,4,4.5,2,1,1,1,0,0.25,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àBàOàPàSà5à2à5à0à0à1à,4,6.25,6,0,0,1,1,0.25,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àBàOàPàSà8à0à5à0à0àAà,4,6.5,6,0,0,1,1,0.25,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àBàRà1àEà0à0à1à0à0à2à,4,5.75,5,0,0,1,2,0.25,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àBàSà1àEà0à1à3à0à0àQà,4,6.0,6,0,0,1,2,0.25,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àBàSà1àEà0à2à1à0à0àPà,4,5.5,5,0,0,1,1,0.25,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àBàSà1àEà0à2à5à0à0à2à,4,6.75,6,0,0,1,1,0.25,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àBàSà1àMà0à0à5à0à0à2à,4,5.75,4,0,0,1,3,0.25,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àBàSà1àMà0à0à6à0à0àTà,4,5.75,5,0,0,1,3,0.25,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àBàSà1àMà0à1à2à0à0à5à,4,5.5,5,0,0,1,1,0.25,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àBàSà1àMà0à1à5à0à0àLà,4,6.5,6,0,0,1,1,0.25,True
àpàaàràiàtàaàràiàaà,à2à0à1à5à/à1à6à,àBàSà1àMà0à2à3à0à0àGà,4,5.25,2,1,1,1,0,0.25,True
