academic_year,ateneo_code,ateneo_name,TASSA_MEDIA_PAGANTI_LAUREA,TASSA_MEDIA_TOTALE_ISCRITTI_LAUREA,tassa_media_paganti_laur_eur,tassa_media_tot_iscr_laur_eur,beneficiaries_borse_ateneo_total,beneficiaries_mobility_out_total,students_in_contrib_classes_total,students_no_contrib_class,students_contrib_up_to_500,avg_support_gap_eur,share_no_contrib_class,share_contrib_up_to_500
2023-2024,01504,"Milano - Università Cattolica del ""Sacro Cuore""","6854,69","6238,24",6854.69,6238.24,2023.0,4787.0,38475.0,0.0,6.0,616.4499999999998,0.0,0.00015594541910331385
2023-2024,01508,Milano - Università Vita-Salute San Raffaele,"13780,39","13033,86",13780.39,13033.86,195.0,637.0,4924.0,0.0,2.0,746.5299999999988,0.0,0.00040617384240454913
2023-2024,01503,"Milano - Università commerciale ""Luigi Bocconi""","13615,42","11708,2",13615.42,11708.2,233.0,5020.0,11828.0,0.0,3.0,1907.2199999999993,0.0,0.0002536354413256679
2023-2024,01501,Milano - Università degli studi,"1864,89","1269,66",1864.89,1269.66,2772.0,4175.0,39847.0,0.0,12243.0,595.23,0.0,0.30725023213792757
2023-2024,01509,Milano-Bicocca - Università degli studi,"1648,67","1208,42",1648.67,1208.42,2892.0,1603.0,26060.0,0.0,6112.0,440.25,0.0,0.234535686876439
2023-2024,03601,Modena e Reggio Emilia - Università degli studi,"1590,1","1111,39",1590.1,1111.39,785.0,1458.0,18346.0,579.0,2377.0,478.7099999999998,0.03156001308187071,0.12956502779897525
2023-2024,06301,"Napoli - Università degli studi ""Federico II""","1466,6","746,05",1466.6,746.05,2054.0,1936.0,37465.0,126.0,4083.0,720.55,0.00336313892966769,0.10898171626851728
2023-2024,06303,"Napoli - Università degli studi ""L' Orientale""","730,54","410,01",730.54,410.01,177.0,366.0,5050.0,0.0,2638.0,320.53,0.0,0.5223762376237624
2023-2024,06302,"Napoli - Università degli studi ""Parthenope""","1385,25","600,21",1385.25,600.21,413.0,384.0,5553.0,0.0,786.0,785.04,0.0,0.14154511075094545
2023-2024,06304,"Napoli - Università degli studi ""Suor Orsola Benincasa""","3138,47","2203,91",3138.47,2203.91,26.0,118.0,6021.0,0.0,12.0,934.56,0.0,0.001993024414549078
2023-2024,06306,"Napoli - Università degli studi della Campania ""Luigi Vanvitelli""","2036,68","862,42",2036.68,862.42,741.0,454.0,8814.0,0.0,1041.0,1174.2600000000002,0.0,0.1181075561606535
2023-2024,06307,"Napoli - Università telematica ""Pegaso""","2059,43","2002,18",2059.43,2002.18,0.0,0.0,86190.0,0.0,48.0,57.24999999999977,0.0,0.000556909154194222
2023-2024,01301,"Novedrate (CO) - Università telematica ""e-Campus""","3614,27","2953,89",3614.27,2953.89,30.0,31.0,38034.0,0.0,272.0,660.3800000000001,0.0,0.007151496029868013
2023-2024,02801,Padova - Università degli studi,"1853,97","1276,18",1853.97,1276.18,4651.0,5860.0,49009.0,176.0,3550.0,577.79,0.00359117713073109,0.07243567508008733
2023-2024,08201,Palermo - Università degli studi,"1233,07","591,25",1233.07,591.25,1552.0,1633.0,20932.0,0.0,3995.0,641.8199999999999,0.0,0.19085610548442575
2023-2024,03401,Parma - Università degli studi,"1474,34","1012,4",1474.34,1012.4,855.0,957.0,19234.0,0.0,2213.0,461.93999999999994,0.0,0.11505667047935947
2023-2024,01801,Pavia - Università degli studi,"2053,19","1249,48",2053.19,1249.48,1525.0,1774.0,15637.0,0.0,3815.0,803.71,0.0,0.24397262902091194
2023-2024,05401,Perugia - Università degli studi,"1228,48","806,73",1228.48,806.73,1088.0,805.0,17892.0,0.0,3173.0,421.75,0.0,0.17734182875027946
2023-2024,05403,Perugia - Università per stranieri,"865,34","440,85",865.34,440.85,233.0,76.0,442.0,0.0,151.0,424.49,0.0,0.3416289592760181
2023-2024,05001,Pisa - Università,"1484,68","895,31",1484.68,895.31,1068.0,1289.0,27453.0,716.0,6552.0,589.3700000000001,0.02608093833096565,0.23866244126324992
2023-2024,07601,Potenza - Università degli studi della Basilicata,"1067,17","697,82",1067.17,697.82,147.0,126.0,3172.0,0.0,926.0,369.35,0.0,0.29192938209331654
2023-2024,08001,Reggio Calabria - Università degli studi Mediterranea,"1147,98","580,42",1147.98,580.42,94.0,259.0,2170.0,0.0,372.0,567.5600000000001,0.0,0.17142857142857143
2023-2024,08003,Reggio Calabria - Università per Stranieri,"898,58","781,85",898.58,781.85,12.0,0.0,256.0,0.0,55.0,116.73000000000002,0.0,0.21484375
2023-2024,05807,Roma - III Università degli studi,"1142,43","731,23",1142.43,731.23,552.0,1223.0,21528.0,0.0,3913.0,411.20000000000005,0.0,0.1817632850241546
2023-2024,05803,Roma - Libera Università Maria SS.Assunta (LUMSA),"4238,9","3674,06",4238.9,3674.06,686.0,269.0,7622.0,1.0,4.0,564.8399999999997,0.0001311991603253739,0.0005247966413014956
2023-2024,05817,Roma - Link Campus University,"7303,75","6425,66",7303.75,6425.66,37.0,0.0,760.0,0.0,3.0,878.0900000000001,0.0,0.003947368421052632
2023-2024,05805,Roma - Luiss Libera Università internazionale degli studi sociali Guido Carli,"11573,92","10312,65",11573.92,10312.65,357.0,2386.0,9824.0,0.0,3.0,1261.2700000000004,0.0,0.0003053745928338762
2023-2024,05818,Roma - Saint Camillus International,"13510,1","13510,1",13510.1,13510.1,0.0,34.0,3077.0,0.0,1.0,0.0,0.0,0.00032499187520311994
2023-2024,05814,Roma - Universitas telematica Mercatorum,"1741,91","1681,06",1741.91,1681.06,37.0,0.0,42730.0,0.0,211.0,60.850000000000136,0.0,0.004937982681956471
2023-2024,05808,"Roma - Università ""Campus Bio-Medico""","9803,58","8999,08",9803.58,8999.08,200.0,164.0,2695.0,0.0,0.0,804.5,0.0,0.0
2023-2024,05812,Roma - Università Europea,"4618,27","4578,87",4618.27,4578.87,17.0,45.0,2213.0,0.0,55.0,39.400000000000546,0.0,0.024853140533212834
2023-2024,05809,Roma - Università degli Studi Internazionali – UNINT,"5987,69","4923,11",5987.69,4923.11,21.0,167.0,1105.0,0.0,2.0,1064.58,0.0,0.0018099547511312218
2023-2024,05801,"Roma - Università degli studi ""La Sapienza""","1398,37","885,29",1398.37,885.29,4960.0,4561.0,70026.0,0.0,12641.0,513.0799999999999,0.0,0.18051866449604434
2023-2024,05806,"Roma - Università degli studi del ""Foro Italico""","1228,12","820,44",1228.12,820.44,51.0,86.0,1561.0,0.0,154.0,407.67999999999984,0.0,0.09865470852017937
2023-2024,05802,"Roma - Università degli studi di ""Tor Vergata""","1680,3","889,34",1680.3,889.34,1165.0,1726.0,15609.0,0.0,2562.0,790.9599999999999,0.0,0.16413607534114932
2023-2024,05810,"Roma - Università telematica ""Guglielmo Marconi""","2025,69","2022,56",2025.69,2022.56,37.0,42.0,14580.0,20.0,204.0,3.130000000000109,0.0013717421124828531,0.013991769547325103
2023-2024,05816,"Roma - Università telematica ""San Raffaele"" - già ""UNITEL""","2132,52","2104,34",2132.52,2104.34,11.0,0.0,11009.0,0.0,43.0,28.179999999999836,0.0,0.0039058951766736305
2023-2024,05811,"Roma - Università telematica ""Unitelma Sapienza""","1246,63","1228,01",1246.63,1228.01,0.0,0.0,4972.0,0.0,250.0,18.62000000000012,0.0,0.0502815768302494
2023-2024,05815,Roma - Università telematica Niccolò Cusano (già UNISU),"2810,52","2797,79",2810.52,2797.79,21.0,0.0,17473.0,0.0,12.0,12.730000000000018,0.0,0.0006867738797001088
2023-2024,05813,"Roma - Università telematica internazionale ""UNINETTUNO""","942,2","741,17",942.2,741.17,15.0,6.0,9614.0,2744.0,163.0,201.0300000000001,0.285417100062409,0.016954441439567296
2023-2024,01510,Rozzano (MI) - Humanitas University,"12773,65","12191,89",12773.65,12191.89,217.0,33.0,1928.0,0.0,0.0,581.7600000000002,0.0,0.0
2023-2024,06501,Salerno - Università degli studi,"1137,66","589,92",1137.66,589.92,873.0,790.0,16799.0,0.0,2451.0,547.7400000000001,0.0,0.145901541758438
2023-2024,09001,Sassari - Università degli studi,"750,02","450,83",750.02,450.83,207.0,557.0,6625.0,0.0,3364.0,299.19,0.0,0.5077735849056604
2023-2024,05201,Siena - Università degli studi,"1538,69","1092,65",1538.69,1092.65,1070.0,679.0,10547.0,0.0,1896.0,446.03999999999996,0.0,0.17976675831990138
2023-2024,05202,Siena - Università per stranieri,"1442,59","874,27",1442.59,874.27,61.0,284.0,907.0,0.0,213.0,568.3199999999999,0.0,0.2348401323042999
2023-2024,06701,Teramo - Università degli studi,"1308,24","827,59",1308.24,827.59,177.0,218.0,2916.0,0.0,708.0,480.65,0.0,0.24279835390946503
2023-2024,00102,Torino - Politecnico,"1318,7","884,47",1318.7,884.47,1232.0,3477.0,24051.0,0.0,7240.0,434.23,0.0,0.3010269843249761
2023-2024,00101,Torino - Università degli studi,"1334,32","970,07",1334.32,970.07,1301.0,2300.0,53349.0,0.0,17848.0,364.2499999999999,0.0,0.33455172543065476
2023-2024,06902,"Torrevecchia Teatina (CH) - Università telematica ""Leonardo da Vinci""","1464,36","1444,36",1464.36,1444.36,13.0,0.0,235.0,0.0,9.0,20.0,0.0,0.03829787234042553
2023-2024,02201,Trento - Università degli studi,"1541,09","1169,02",1541.09,1169.02,1727.0,2030.0,12516.0,30.0,2912.0,372.06999999999994,0.0023969319271332696,0.232662192393736
2023-2024,03201,Trieste - Università degli studi,"1507,37","1032,31",1507.37,1032.31,527.0,433.0,11312.0,0.0,2903.0,475.05999999999995,0.0,0.25663012729844414
2023-2024,03001,Udine - Università degli studi,"1692,65","1215,05",1692.65,1215.05,500.0,916.0,10201.0,0.0,291.0,477.60000000000014,0.0,0.0285266150377414
2023-2024,04101,"Urbino - Università degli studi ""Carlo Bo""","1457,87","924,88",1457.87,924.88,224.0,446.0,8249.0,0.0,397.0,532.9899999999999,0.0,0.0481270457025094
2023-2024,01202,Varese - Università dell' Insubria,"2308,81","1691,14",2308.81,1691.14,938.0,368.0,7697.0,0.0,1343.0,617.6699999999998,0.0,0.17448356502533455
2023-2024,02701,Venezia - Università Ca' Foscari Venezia,"1851,15","1406,96",1851.15,1406.96,715.0,1746.0,14489.0,0.0,737.0,444.19000000000005,0.0,0.050866174339153844
2023-2024,02702,Venezia - Università IUAV,"2252,98","1565,25",2252.98,1565.25,483.0,510.0,3145.0,0.0,27.0,687.73,0.0,0.008585055643879173
2023-2024,00201,"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""","1560,47","1039,75",1560.47,1039.75,471.0,509.0,8667.0,4.0,1183.0,520.72,0.0004615207107418945,0.13649475020191532
2023-2024,02301,Verona - Università degli studi,"1419,45","1035,77",1419.45,1035.77,1122.0,1145.0,18078.0,0.0,1675.0,383.68000000000006,0.0,0.09265405465206328
2023-2024,05601,Viterbo - Università della Tuscia,"970,97","619,9",970.97,619.9,343.0,170.0,4852.0,11.0,463.0,351.07000000000005,0.002267106347897774,0.09542456718878813
