regione,inv_dispersione_occulta_pct,inv_eccellenze_pct,siope_spesa_cassa_media,openpolis_poverta_educativa_pct,pnrr_digital_projects_cnt,pnrr_digital_funding_eur,hf_precariato_docenti_cnt,istat_repeaters_pct,lower_disability_per_1000_t_minus_1,lower_class_size_t_minus_1,lower_exam_success_t_minus_1,lower_foreign_share_t_minus_1,lower_median_grade_t_minus_1,lower_public_share_t_minus_1,lower_exam_failure_t_minus_1,upper_repeaters_all_t,upper_repeaters_fir_t,upper_lic_t,upper_tec_t,upper_voc_t,upper_voc_minus_lic_t,upper_tec_minus_lic_t,transition_jump_all_t,transition_jump_fir_t,neet_count_15_29,neet_risk_index,neet_percentile
MARCHE,55252234786414.39,55124899259842.52,4347341.14,57.0,1678,195531730.08,106.0,6.275,39.67777777777778,21.311111111111114,99.82222222222222,12.044444444444444,7.555555555555555,99.22222222222223,0.1777777777777771,4.922222222222222,7.51111111111111,1.94,4.9,10.72,8.78,2.96,4.7444444444444445,7.333333333333333,22.6065,-0.6888281464081321,0.38541666666666663
LAZIO,12513727625230.07,79123009047978.08,2916308.315,48.6,4662,803261554.49,106.0,5.824999999999999,44.422222222222224,21.0,99.85555555555555,10.255555555555555,8.0,94.8111111111111,0.14444444444444252,5.0,7.333333333333333,2.2399999999999998,6.62,8.28,6.040000000000001,4.380000000000001,4.855555555555558,7.188888888888891,118.557,0.5815906961636006,0.75
ABRUZZO,53386826465101.99,43992535177467.2,1749347.2149999999,57.0,1345,217271233.25,106.0,7.525,48.422222222222224,19.655555555555555,99.83333333333333,8.122222222222222,8.0,99.38888888888889,0.16666666666666508,5.188888888888889,7.866666666666666,2.06,7.0,11.16,9.1,4.9399999999999995,5.022222222222224,7.700000000000001,29.362000000000002,-0.5987444680088196,0.4583333333333333
MOLISE,30097400521027.816,13889136802176.11,2117368.965,57.0,425,115055135.76,106.0,5.025,40.28888888888889,17.755555555555556,99.86666666666666,4.066666666666666,7.888888888888889,99.97777777777777,0.13333333333333205,3.8333333333333335,5.655555555555555,1.5,5.0,7.220000000000001,5.720000000000001,3.5,3.700000000000001,5.522222222222223,7.734999999999999,-0.8851946087439556,0.14583333333333331
CAMPANIA,12115302422004.035,145903717525296.56,4474653.8100000005,76.9,10292,2050472822.4099998,106.0,6.925,40.41111111111111,19.555555555555557,99.76666666666667,2.8777777777777778,7.555555555555555,98.9,0.23333333333333106,5.911111111111111,9.788888888888888,1.9600000000000002,7.159999999999999,10.34,8.379999999999999,5.2,5.677777777777781,9.555555555555557,246.724,2.266956755191406,1.0
PUGLIA,30134001962968.68,40679431906534.44,1509125.665,68.1,10359,1331629790.4,106.0,6.4750000000000005,39.666666666666664,21.244444444444447,99.85555555555555,3.2222222222222223,8.0,99.47777777777777,0.14444444444444252,5.511111111111111,7.933333333333334,1.5,6.14,11.24,9.74,4.640000000000001,5.366666666666669,7.788888888888891,134.06900000000002,0.7821281597340051,0.7916666666666666
BASILICATA,42880618729543.75,30482965319472.203,3470031.955,57.0,1151,509468401.49,106.0,5.199999999999999,29.666666666666668,18.022222222222222,99.92222222222223,4.133333333333334,7.777777777777778,100.0,0.07777777777777334,4.577777777777778,6.5777777777777775,1.56,4.84,8.74,7.18,3.28,4.500000000000004,6.5000000000000036,13.795,-0.8052266149862007,0.27083333333333337
CALABRIA,8046123990539.598,98172939311995.64,3092699.165,75.2,4083,855880486.03,80.0,7.775,38.28888888888889,17.933333333333334,99.82222222222222,4.655555555555555,7.888888888888889,99.24444444444445,0.1777777777777771,5.411111111111111,8.399999999999999,1.5,6.619999999999999,12.3,10.8,5.119999999999999,5.233333333333334,8.222222222222221,76.20949999999999,0.01850285179253405,0.7083333333333334
SICILIA,12826809043537.945,100820827015996.75,1024374.4850000001,78.4,11609,1312194242.64,106.0,7.175,49.05555555555556,19.755555555555556,99.6888888888889,3.811111111111111,7.444444444444445,99.02222222222223,0.3111111111111124,6.511111111111111,9.31111111111111,2.44,7.62,11.8,9.36,5.180000000000001,6.199999999999999,9.0,204.666,1.7120745105855466,0.9166666666666666
SARDEGNA,11382989999976.154,57814850901870.82,1232663.645,65.4,1810,696736976.58,92.0,10.4,46.900000000000006,18.01111111111111,99.75555555555555,2.8666666666666667,7.555555555555555,98.61111111111111,0.2444444444444463,10.233333333333334,13.333333333333334,4.720000000000001,12.2,15.36,10.64,7.4799999999999995,9.988888888888887,13.088888888888887,38.79900000000001,-0.47583431103605456,0.5
