Entity,Code,Year,Completion rate in upper secondary education,Normalized  harmonized test scores among all students,Expected years of schooling,Population,World regions according to WB
Germany,DEU,2023,81.7,,,,
Germany,DEU,2024,81.9,,,,
Italy,ITA,1990,54.4,,,,
Italy,ITA,1991,55.2,,,,
Italy,ITA,1992,56.5,,,,
Italy,ITA,1993,57.8,,,,
Italy,ITA,1994,59.3,,,,
Italy,ITA,1995,60.7,,,,
Italy,ITA,1996,61.9,,,,
Italy,ITA,1997,63.2,,,,
Italy,ITA,1998,64.4,,,,
Italy,ITA,1999,65.5,,,,
Italy,ITA,2000,66.5,,,,
Italy,ITA,2001,67.4,,,,
Italy,ITA,2002,68.2,,,,
Italy,ITA,2003,69.1,,,,
Italy,ITA,2004,70.1,,,,
Italy,ITA,2005,71.1,,,,
Italy,ITA,2006,72.2,,,,
Italy,ITA,2007,73.1,,,,
Italy,ITA,2008,73.8,,,,
Italy,ITA,2009,74.8,,,,
Italy,ITA,2010,76.0,,,,
Italy,ITA,2011,77.3,,,,
Italy,ITA,2012,78.2,,,,
Italy,ITA,2013,79.1,,,,
Italy,ITA,2014,80.0,,,,
Italy,ITA,2015,81.0,,,,
Italy,ITA,2016,82.0,,,,
Italy,ITA,2017,82.7,,,,
Italy,ITA,2018,83.2,,,,
Italy,ITA,2019,83.8,,,,
Italy,ITA,2020,84.5,,,,
Italy,ITA,2021,85.1,,,,
Italy,ITA,2022,85.8,,,,
Italy,ITA,2023,86.4,,,,
Italy,ITA,2024,87.0,,,,
Spain,ESP,1990,56.1,,,,
Spain,ESP,1991,57.6,,,,
Spain,ESP,1992,59.0,,,,
Spain,ESP,1993,60.0,,,,
Spain,ESP,1994,61.3,,,,
Spain,ESP,1995,62.6,,,,
Spain,ESP,1996,63.9,,,,
Spain,ESP,1997,64.5,,,,
Spain,ESP,1998,65.0,,,,
Spain,ESP,1999,64.9,,,,
Spain,ESP,2000,64.6,,,,
Spain,ESP,2001,64.2,,,,
Spain,ESP,2002,63.7,,,,
Spain,ESP,2003,63.2,,,,
Spain,ESP,2004,62.6,,,,
Spain,ESP,2005,62.3,,,,
Spain,ESP,2006,62.0,,,,
Spain,ESP,2007,62.1,,,,
Spain,ESP,2008,62.5,,,,
Spain,ESP,2009,63.1,,,,
Spain,ESP,2010,63.7,,,,
Spain,ESP,2011,64.5,,,,
Spain,ESP,2012,65.8,,,,
Spain,ESP,2013,67.2,,,,
Spain,ESP,2014,68.9,,,,
Spain,ESP,2015,70.0,,,,
Spain,ESP,2016,70.6,,,,
Spain,ESP,2017,70.9,,,,
Spain,ESP,2018,71.3,,,,
Spain,ESP,2019,71.7,,,,
Spain,ESP,2020,72.3,,,,
Spain,ESP,2021,72.7,,,,
Spain,ESP,2022,73.2,,,,
Spain,ESP,2023,73.7,,,,
Spain,ESP,2024,74.3,,,,
United Kingdom,GBR,1990,85.0,,,,
United Kingdom,GBR,1991,85.4,,,,
United Kingdom,GBR,1992,85.8,,,,
United Kingdom,GBR,1993,86.1,,,,
United Kingdom,GBR,1994,86.5,,,,
United Kingdom,GBR,1995,86.8,,,,
United Kingdom,GBR,1996,87.0,,,,
United Kingdom,GBR,1997,87.2,,,,
United Kingdom,GBR,1998,87.3,,,,
United Kingdom,GBR,1999,87.3,,,,
United Kingdom,GBR,2000,87.4,,,,
United Kingdom,GBR,2001,87.4,,,,
United Kingdom,GBR,2002,87.5,,,,
United Kingdom,GBR,2003,87.5,,,,
United Kingdom,GBR,2004,87.5,,,,
United Kingdom,GBR,2005,87.5,,,,
United Kingdom,GBR,2006,87.5,,,,
United Kingdom,GBR,2007,87.6,,,,
United Kingdom,GBR,2008,87.6,,,,
United Kingdom,GBR,2009,87.6,,,,
United Kingdom,GBR,2010,87.6,,,,
United Kingdom,GBR,2011,87.7,,,,
United Kingdom,GBR,2012,87.8,,,,
United Kingdom,GBR,2013,88.0,,,,
United Kingdom,GBR,2014,88.2,,,,
United Kingdom,GBR,2015,88.4,,,,
United Kingdom,GBR,2016,88.5,,,,
United Kingdom,GBR,2017,88.7,,,,
United Kingdom,GBR,2018,88.9,,,,
United Kingdom,GBR,2019,89.1,,,,
United Kingdom,GBR,2020,89.2,,,,
United Kingdom,GBR,2021,89.4,,,,
United Kingdom,GBR,2022,89.7,,,,
United Kingdom,GBR,2023,89.8,,,,
United Kingdom,GBR,2024,90.0,,,,
Denmark,DNK,2010,,0.88207275,16.89029,5547865.0,
Denmark,DNK,2017,,0.9076923,18.82433,5765164.0,
Denmark,DNK,2018,,0.907227,18.7218,5793824.0,
Denmark,DNK,2020,,0.88526124,18.64032,5831529.0,
Denmark,DNK,1990,,,14.31334,5141024.0,
Denmark,DNK,1991,,,14.47775,5154346.0,
Denmark,DNK,1992,,,14.52451,5171372.0,
Denmark,DNK,1993,,,14.79776,5188638.0,
Denmark,DNK,1994,,,15.05343,5206188.0,
Denmark,DNK,1995,,,15.18115,5233364.0,
Denmark,DNK,1996,,,15.40885,5263071.0,
Denmark,DNK,1997,,,15.57524,5285041.0,
Denmark,DNK,1998,,,15.74163,5304263.0,
Denmark,DNK,1999,,,16.43011,5321814.0,
Denmark,DNK,2000,,,16.20287,5339659.0,
Denmark,DNK,2001,,,16.54718,5358825.0,
Denmark,DNK,2002,,,16.20439,5375967.0,
Denmark,DNK,2003,,,16.36175,5390621.0,
Denmark,DNK,2004,,,16.51911,5404594.0,
Denmark,DNK,2005,,,16.77969,5419550.0,
Denmark,DNK,2006,,,16.64614,5437425.0,
Denmark,DNK,2007,,,16.80563,5461604.0,
Denmark,DNK,2008,,,16.71554,5493762.0,
Denmark,DNK,2009,,,16.71541,5523169.0,
Denmark,DNK,2011,,,18.35436,5570848.0,
Denmark,DNK,2012,,,18.6773,5591911.0,
Denmark,DNK,2013,,,19.17308,5615333.0,
Denmark,DNK,2014,,,19.20899,5643795.0,
Denmark,DNK,2015,,,19.2969,5683698.0,
Denmark,DNK,2016,,,19.03953,5728196.0,
Denmark,DNK,2019,,,18.62013,5814618.0,
Denmark,DNK,2021,,,18.77403,5856774.0,
Denmark,DNK,2022,,,18.70401,5902901.0,
Denmark,DNK,2023,,,18.70401,5948134.0,Europe and Central Asia (WB)
Denmark,DNK,-10000,,,,540.0,
Denmark,DNK,-9000,,,,1080.0,
Denmark,DNK,-8000,,,,2160.0,
Denmark,DNK,-7000,,,,4320.0,
Denmark,DNK,-6000,,,,4800.0,
Denmark,DNK,-5000,,,,5333.0,
Denmark,DNK,-4000,,,,5926.0,
Denmark,DNK,-3000,,,,6585.0,
Denmark,DNK,-2000,,,,7316.0,
Denmark,DNK,-1000,,,,8129.0,
Denmark,DNK,0,,,,200000.0,
Denmark,DNK,100,,,,220000.0,
Denmark,DNK,200,,,,240000.0,
Denmark,DNK,300,,,,260000.0,
Denmark,DNK,400,,,,280000.0,
Denmark,DNK,500,,,,300000.0,
Denmark,DNK,600,,,,320000.0,
Denmark,DNK,700,,,,340000.0,
Denmark,DNK,800,,,,360000.0,
Denmark,DNK,900,,,,377587.0,
Denmark,DNK,1000,,,,400000.0,
Denmark,DNK,1100,,,,466963.0,
Denmark,DNK,1200,,,,535422.0,
Denmark,DNK,1300,,,,600000.0,
Denmark,DNK,1400,,,,400000.0,
Denmark,DNK,1500,,,,600000.0,
Denmark,DNK,1600,,,,700000.0,
Denmark,DNK,1700,,,,800000.0,
Denmark,DNK,1710,,,,815422.0,
Denmark,DNK,1720,,,,831743.0,
Denmark,DNK,1730,,,,848860.0,
Denmark,DNK,1740,,,,866863.0,
Denmark,DNK,1750,,,,885854.0,
Denmark,DNK,1760,,,,920000.0,
Denmark,DNK,1770,,,,940000.0,
Denmark,DNK,1780,,,,960000.0,
Denmark,DNK,1790,,,,980000.0,
Denmark,DNK,1800,,,,1000000.0,
Denmark,DNK,1801,,,,1007231.0,
Denmark,DNK,1802,,,,1014514.0,
Denmark,DNK,1803,,,,1021850.0,
Denmark,DNK,1804,,,,1029239.0,
Denmark,DNK,1805,,,,1036682.0,
Denmark,DNK,1806,,,,1044178.0,
Denmark,DNK,1807,,,,1051729.0,
Denmark,DNK,1808,,,,1059334.0,
Denmark,DNK,1809,,,,1066994.0,
Denmark,DNK,1810,,,,1074765.0,
Denmark,DNK,1811,,,,1082537.0,
Denmark,DNK,1812,,,,1090365.0,
Denmark,DNK,1813,,,,1098249.0,
Denmark,DNK,1814,,,,1106191.0,
Denmark,DNK,1815,,,,1114189.0,
Denmark,DNK,1816,,,,1122246.0,
Denmark,DNK,1817,,,,1130361.0,
Denmark,DNK,1818,,,,1138535.0,
Denmark,DNK,1819,,,,1147355.0,
Denmark,DNK,1820,,,,1156833.0,
Denmark,DNK,1821,,,,1166978.0,
Denmark,DNK,1822,,,,1177802.0,
Denmark,DNK,1823,,,,1189315.0,
Denmark,DNK,1824,,,,1200941.0,
Denmark,DNK,1825,,,,1212680.0,
Denmark,DNK,1826,,,,1224534.0,
Denmark,DNK,1827,,,,1236504.0,
Denmark,DNK,1828,,,,1248591.0,
Denmark,DNK,1829,,,,1259939.0,
Denmark,DNK,1830,,,,1270537.0,
Denmark,DNK,1831,,,,1280370.0,
Denmark,DNK,1832,,,,1289426.0,
Denmark,DNK,1833,,,,1297692.0,
Denmark,DNK,1834,,,,1306011.0,
Denmark,DNK,1835,,,,1314383.0,
Denmark,DNK,1836,,,,1322809.0,
Denmark,DNK,1837,,,,1331288.0,
Denmark,DNK,1838,,,,1339823.0,
Denmark,DNK,1839,,,,1349386.0,
Denmark,DNK,1840,,,,1359996.0,
Denmark,DNK,1841,,,,1371667.0,
Denmark,DNK,1842,,,,1384418.0,
Denmark,DNK,1843,,,,1398265.0,
Denmark,DNK,1844,,,,1412250.0,
Denmark,DNK,1845,,,,1426375.0,
Denmark,DNK,1846,,,,1440642.0,
Denmark,DNK,1847,,,,1455051.0,
Denmark,DNK,1848,,,,1469604.0,
Denmark,DNK,1849,,,,1485029.0,
Denmark,DNK,1850,,,,1501343.0,
Denmark,DNK,1851,,,,1518598.0,
Denmark,DNK,1852,,,,1536779.0,
Denmark,DNK,1853,,,,1555906.0,
Denmark,DNK,1854,,,,1575270.0,
Denmark,DNK,1855,,,,1594876.0,
Denmark,DNK,1856,,,,1614726.0,
Denmark,DNK,1857,,,,1634822.0,
Denmark,DNK,1858,,,,1655169.0,
Denmark,DNK,1859,,,,1675212.0,
Denmark,DNK,1860,,,,1694942.0,
Denmark,DNK,1861,,,,1714348.0,
Denmark,DNK,1862,,,,1733420.0,
Denmark,DNK,1863,,,,1752148.0,
Denmark,DNK,1864,,,,1771078.0,
Denmark,DNK,1865,,,,1790213.0,
Denmark,DNK,1866,,,,1809555.0,
Denmark,DNK,1867,,,,1829106.0,
Denmark,DNK,1868,,,,1848868.0,
Denmark,DNK,1869,,,,1868465.0,
Denmark,DNK,1870,,,,1887891.0,
Denmark,DNK,1871,,,,1907142.0,
Denmark,DNK,1872,,,,1926211.0,
Denmark,DNK,1873,,,,1945092.0,
Denmark,DNK,1874,,,,1964159.0,
Denmark,DNK,1875,,,,1983412.0,
Denmark,DNK,1876,,,,2002855.0,
Denmark,DNK,1877,,,,2022487.0,
Denmark,DNK,1878,,,,2042313.0,
Denmark,DNK,1879,,,,2062337.0,
Denmark,DNK,1880,,,,2082563.0,
Denmark,DNK,1881,,,,2102992.0,
Denmark,DNK,1882,,,,2123627.0,
Denmark,DNK,1883,,,,2144469.0,
Denmark,DNK,1884,,,,2165515.0,
Denmark,DNK,1885,,,,2186768.0,
Denmark,DNK,1886,,,,2208230.0,
Denmark,DNK,1887,,,,2229902.0,
Denmark,DNK,1888,,,,2251787.0,
Denmark,DNK,1889,,,,2274474.0,
Denmark,DNK,1890,,,,2297977.0,
Denmark,DNK,1891,,,,2322311.0,
Denmark,DNK,1892,,,,2347490.0,
Denmark,DNK,1893,,,,2373530.0,
Denmark,DNK,1894,,,,2399859.0,
Denmark,DNK,1895,,,,2426480.0,
Denmark,DNK,1896,,,,2453397.0,
Denmark,DNK,1897,,,,2480612.0,
Denmark,DNK,1898,,,,2508128.0,
Denmark,DNK,1899,,,,2536365.0,
Denmark,DNK,1900,,,,2565333.0,
Denmark,DNK,1901,,,,2595047.0,
Denmark,DNK,1902,,,,2625520.0,
Denmark,DNK,1903,,,,2656765.0,
Denmark,DNK,1904,,,,2688382.0,
Denmark,DNK,1905,,,,2720375.0,
Denmark,DNK,1906,,,,2752749.0,
Denmark,DNK,1907,,,,2785508.0,
Denmark,DNK,1908,,,,2818657.0,
Denmark,DNK,1909,,,,2852179.0,
Denmark,DNK,1910,,,,2886076.0,
Denmark,DNK,1911,,,,2920355.0,
Denmark,DNK,1912,,,,2955018.0,
Denmark,DNK,1913,,,,2990070.0,
Denmark,DNK,1914,,,,3025539.0,
Denmark,DNK,1915,,,,3061428.0,
Denmark,DNK,1916,,,,3097742.0,
Denmark,DNK,1917,,,,3134488.0,
Denmark,DNK,1918,,,,3171600.0,
Denmark,DNK,1919,,,,3207237.0,
Denmark,DNK,1920,,,,3241362.0,
Denmark,DNK,1921,,,,3273940.0,
Denmark,DNK,1922,,,,3304937.0,
Denmark,DNK,1923,,,,3334316.0,
Denmark,DNK,1924,,,,3363956.0,
Denmark,DNK,1925,,,,3393860.0,
Denmark,DNK,1926,,,,3424029.0,
Denmark,DNK,1927,,,,3454467.0,
Denmark,DNK,1928,,,,3485175.0,
Denmark,DNK,1929,,,,3515454.0,
Denmark,DNK,1930,,,,3545296.0,
Denmark,DNK,1931,,,,3574690.0,
Denmark,DNK,1932,,,,3603628.0,
Denmark,DNK,1933,,,,3632099.0,
Denmark,DNK,1934,,,,3660794.0,
Denmark,DNK,1935,,,,3689717.0,
Denmark,DNK,1936,,,,3718868.0,
Denmark,DNK,1937,,,,3748249.0,
Denmark,DNK,1938,,,,3777862.0,
Denmark,DNK,1939,,,,3810015.0,
Denmark,DNK,1940,,,,3844754.0,
Denmark,DNK,1941,,,,3882124.0,
Denmark,DNK,1942,,,,3922171.0,
Denmark,DNK,1943,,,,3964943.0,
Denmark,DNK,1944,,,,4008181.0,
Denmark,DNK,1945,,,,4051891.0,
Denmark,DNK,1946,,,,4096077.0,
Denmark,DNK,1947,,,,4140745.0,
Denmark,DNK,1948,,,,4185901.0,
Denmark,DNK,1949,,,,4228235.0,
Denmark,DNK,1950,,,,4268408.0,
Denmark,DNK,1951,,,,4300262.0,
Denmark,DNK,1952,,,,4332237.0,
Denmark,DNK,1953,,,,4369107.0,
Denmark,DNK,1954,,,,4406404.0,
Denmark,DNK,1955,,,,4438843.0,
Denmark,DNK,1956,,,,4466342.0,
Denmark,DNK,1957,,,,4489659.0,
Denmark,DNK,1958,,,,4516072.0,
Denmark,DNK,1959,,,,4548480.0,
Denmark,DNK,1960,,,,4579347.0,
Denmark,DNK,1961,,,,4611358.0,
Denmark,DNK,1962,,,,4647466.0,
Denmark,DNK,1963,,,,4684268.0,
Denmark,DNK,1964,,,,4721889.0,
Denmark,DNK,1965,,,,4758837.0,
Denmark,DNK,1966,,,,4797199.0,
Denmark,DNK,1967,,,,4835223.0,
Denmark,DNK,1968,,,,4864801.0,
Denmark,DNK,1969,,,,4891798.0,
Denmark,DNK,1970,,,,4928674.0,
Denmark,DNK,1971,,,,4963064.0,
Denmark,DNK,1972,,,,4991569.0,
Denmark,DNK,1973,,,,5021765.0,
Denmark,DNK,1974,,,,5045639.0,
Denmark,DNK,1975,,,,5060403.0,
Denmark,DNK,1976,,,,5072803.0,
Denmark,DNK,1977,,,,5088571.0,
Denmark,DNK,1978,,,,5104341.0,
Denmark,DNK,1979,,,,5116862.0,
Denmark,DNK,1980,,,,5123079.0,
Denmark,DNK,1981,,,,5121628.0,
Denmark,DNK,1982,,,,5117897.0,
Denmark,DNK,1983,,,,5114468.0,
Denmark,DNK,1984,,,,5111831.0,
Denmark,DNK,1985,,,,5113878.0,
Denmark,DNK,1986,,,,5120691.0,
Denmark,DNK,1987,,,,5127134.0,
Denmark,DNK,1988,,,,5129650.0,
Denmark,DNK,1989,,,,5132717.0,
Denmark,DNK,2024,,,,5977417.0,
Denmark,DNK,2025,,,,6002515.0,
Denmark,DNK,2026,,,,6023518.0,
Denmark,DNK,2027,,,,6041440.0,
Denmark,DNK,2028,,,,6057185.0,
Denmark,DNK,2029,,,,6070618.0,
Denmark,DNK,2030,,,,6081991.0,
Denmark,DNK,2031,,,,6091945.0,
Denmark,DNK,2032,,,,6100376.0,
Denmark,DNK,2033,,,,6107591.0,
Denmark,DNK,2034,,,,6114217.0,
Denmark,DNK,2035,,,,6119801.0,
Denmark,DNK,2036,,,,6124310.0,
Denmark,DNK,2037,,,,6127822.0,
Denmark,DNK,2038,,,,6130873.0,
Denmark,DNK,2039,,,,6133190.0,
Denmark,DNK,2040,,,,6134661.0,
Denmark,DNK,2041,,,,6135557.0,
Denmark,DNK,2042,,,,6135751.0,
Denmark,DNK,2043,,,,6135681.0,
Denmark,DNK,2044,,,,6135221.0,
Denmark,DNK,2045,,,,6134655.0,
Denmark,DNK,2046,,,,6133619.0,
Denmark,DNK,2047,,,,6131861.0,
Denmark,DNK,2048,,,,6129985.0,
Denmark,DNK,2049,,,,6127729.0,
Denmark,DNK,2050,,,,6124830.0,
Denmark,DNK,2051,,,,6121372.0,
Denmark,DNK,2052,,,,6117678.0,
Denmark,DNK,2053,,,,6113510.0,
Denmark,DNK,2054,,,,6108900.0,
Denmark,DNK,2055,,,,6103883.0,
Denmark,DNK,2056,,,,6098373.0,
Denmark,DNK,2057,,,,6093055.0,
Denmark,DNK,2058,,,,6088194.0,
Denmark,DNK,2059,,,,6083418.0,
Denmark,DNK,2060,,,,6078232.0,
Denmark,DNK,2061,,,,6072978.0,
Denmark,DNK,2062,,,,6067892.0,
Denmark,DNK,2063,,,,6062957.0,
Denmark,DNK,2064,,,,6058181.0,
Denmark,DNK,2065,,,,6053334.0,
Denmark,DNK,2066,,,,6049064.0,
Denmark,DNK,2067,,,,6045433.0,
Denmark,DNK,2068,,,,6042141.0,
Denmark,DNK,2069,,,,6039216.0,
Denmark,DNK,2070,,,,6036604.0,
Denmark,DNK,2071,,,,6034393.0,
Denmark,DNK,2072,,,,6032485.0,
Denmark,DNK,2073,,,,6030143.0,
Denmark,DNK,2074,,,,6027507.0,
Denmark,DNK,2075,,,,6025043.0,
Denmark,DNK,2076,,,,6022065.0,
Denmark,DNK,2077,,,,6018853.0,
Denmark,DNK,2078,,,,6015853.0,
Denmark,DNK,2079,,,,6012544.0,
Denmark,DNK,2080,,,,6008792.0,
Denmark,DNK,2081,,,,6004848.0,
Denmark,DNK,2082,,,,6000133.0,
Denmark,DNK,2083,,,,5994229.0,
Denmark,DNK,2084,,,,5987675.0,
Denmark,DNK,2085,,,,5980585.0,
Denmark,DNK,2086,,,,5973041.0,
Denmark,DNK,2087,,,,5965215.0,
Denmark,DNK,2088,,,,5957390.0,
Denmark,DNK,2089,,,,5949369.0,
Denmark,DNK,2090,,,,5940881.0,
Denmark,DNK,2091,,,,5932464.0,
Denmark,DNK,2092,,,,5924287.0,
Denmark,DNK,2093,,,,5916282.0,
Denmark,DNK,2094,,,,5908292.0,
Denmark,DNK,2095,,,,5900520.0,
Denmark,DNK,2096,,,,5893162.0,
Denmark,DNK,2097,,,,5885654.0,
Denmark,DNK,2098,,,,5878103.0,
Denmark,DNK,2099,,,,5870620.0,
Denmark,DNK,2100,,,,5863205.0,
Finland,FIN,2010,,0.9604637,17.02307,5363347.0,
Finland,FIN,2017,,0.93675214,19.37471,5508398.0,
Finland,FIN,2018,,0.9363229,19.45115,5515730.0,
Finland,FIN,2020,,0.91232073,19.04858,5529616.0,
Finland,FIN,1990,,,15.05281,4986576.0,
Finland,FIN,1991,,,15.27101,5013889.0,
Finland,FIN,1992,,,15.73965,5042145.0,
Finland,FIN,1993,,,15.96156,5066594.0,
Finland,FIN,1994,,,16.29762,5088454.0,
Finland,FIN,1995,,,16.41723,5107919.0,
Finland,FIN,1996,,,16.58017,5124715.0,
Finland,FIN,1997,,,16.71985,5139927.0,
Finland,FIN,1998,,,16.95727,5153545.0,
Finland,FIN,1999,,,17.27003,5165516.0,
Finland,FIN,2000,,,17.68335,5176197.0,
Finland,FIN,2001,,,17.98136,5187970.0,
Finland,FIN,2002,,,18.07709,5200548.0,
Finland,FIN,2003,,,18.29444,5212958.0,
Finland,FIN,2004,,,17.11434,5228147.0,
Finland,FIN,2005,,,17.19055,5246078.0,
Finland,FIN,2006,,,17.17552,5266248.0,
Finland,FIN,2007,,,17.13094,5288715.0,
Finland,FIN,2008,,,17.10405,5313379.0,
Finland,FIN,2009,,,16.88616,5338854.0,
Finland,FIN,2011,,,17.11375,5388236.0,
Finland,FIN,2012,,,17.1063,5413978.0,
Finland,FIN,2013,,,19.3261,5439057.0,
Finland,FIN,2014,,,19.25425,5461686.0,
Finland,FIN,2015,,,19.31087,5479719.0,
Finland,FIN,2016,,,19.3108,5495468.0,
Finland,FIN,2019,,,19.04311,5521754.0,
Finland,FIN,2021,,,19.22859,5541069.0,
Finland,FIN,2022,,,19.49409,5569300.0,
Finland,FIN,2023,,,19.49409,5601185.0,Europe and Central Asia (WB)
Finland,FIN,-10000,,,,421.0,
Finland,FIN,-9000,,,,562.0,
Finland,FIN,-8000,,,,750.0,
Finland,FIN,-7000,,,,1000.0,
Finland,FIN,-6000,,,,1500.0,
Finland,FIN,-5000,,,,2000.0,
Finland,FIN,-4000,,,,3000.0,
Finland,FIN,-3000,,,,4000.0,
Finland,FIN,-2000,,,,5000.0,
Finland,FIN,-1000,,,,7000.0,
Finland,FIN,0,,,,20000.0,
Finland,FIN,100,,,,15000.0,
Finland,FIN,200,,,,20000.0,
Finland,FIN,300,,,,25000.0,
Finland,FIN,400,,,,30000.0,
Finland,FIN,500,,,,35000.0,
Finland,FIN,600,,,,40000.0,
Finland,FIN,700,,,,45000.0,
Finland,FIN,800,,,,50000.0,
Finland,FIN,900,,,,62000.0,
Finland,FIN,1000,,,,74000.0,
Finland,FIN,1100,,,,86000.0,
Finland,FIN,1200,,,,98000.0,
Finland,FIN,1300,,,,110000.0,
Finland,FIN,1400,,,,100000.0,
Finland,FIN,1500,,,,100000.0,
Finland,FIN,1600,,,,200000.0,
Finland,FIN,1700,,,,400119.0,
Finland,FIN,1710,,,,437513.0,
Finland,FIN,1720,,,,478402.0,
Finland,FIN,1730,,,,523113.0,
Finland,FIN,1740,,,,572002.0,
Finland,FIN,1750,,,,625460.0,
Finland,FIN,1760,,,,683914.0,
Finland,FIN,1770,,,,747832.0,
