,importo_euro,importo_euro,importo_euro,anno
1.03.02.17.002,3016896.82,22277,135.4265305023118,7
1.03.02.01.008,2960327.88,3166,935.0372331017056,7
1.03.01.02.012,2858010.2600000002,8094,353.1023301210774,7
2.02.01.05.999,2797930.7,1923,1454.9821632865317,7
1.03.02.10.002,2781181.82,1919,1449.2870349140176,7
1.03.02.09.006,2565781.74,7699,333.26168853097806,7
1.03.01.01.002,2548649.89,7354,346.56647946695676,7
2.02.01.03.001,2423420.25,2523,960.5312128418549,7
1.03.02.10.003,2392972.4699999997,1855,1290.012113207547,5
2.02.03.02.002,2346288.0,3380,694.1680473372782,5
1.03.02.07.004,2273748.52,4646,489.39916487300906,7
7.01.99.03.001,2271889.57,19398,117.11978399835034,7
1.04.02.03.001,1989496.15,3778,526.6003573319216,6
1.09.03.01.001,1983159.01,623,3183.240786516854,6
1.03.02.19.010,1929901.22,2972,649.3611103633916,7
1.03.01.02.005,1913593.09,3812,501.99189139559286,7
2.02.01.07.003,1898526.06,1737,1092.9913989637305,7
1.01.02.01.999,1895721.67,4780,396.59449163179914,6
1.03.02.09.003,1847035.3699999999,4035,457.75349938042126,7
1.03.02.13.001,1816492.7,3279,553.9776456236657,7
1.03.02.02.004,1778928.33,5669,313.79931733991884,7
7.01.99.99.999,1757776.53,2357,745.7685744590582,7
1.03.02.05.005,1676098.88,2483,675.0297543294402,7
7.01.03.01.001,1639186.64,4615,355.1867042253521,7
1.03.02.02.002,1610238.1199999999,3470,464.0455677233429,7
1.03.02.07.001,1537935.27,1302,1181.2098847926268,7
1.10.04.99.999,1355308.19,1420,954.4423873239436,7
1.03.02.02.005,1246857.77,2411,517.1537826627955,7
2.02.01.07.005,1239921.66,810,1530.7674814814814,5
2.02.01.99.002,1099838.61,2534,434.03260063141283,7
2.02.01.07.001,1096595.02,821,1335.682119366626,7
1.02.01.99.999,1094812.82,3977,275.28610007543375,7
1.03.02.11.001,1092459.46,1512,722.5260978835979,7
2.02.01.07.004,1041538.1,835,1247.3510179640718,7
1.03.01.02.004,1019636.71,3553,286.97909090909087,7
2.02.01.09.003,1016209.53,425,2391.0812470588235,4
1.03.01.01.001,1006727.48,9929,101.39263571356632,7
1.03.02.13.003,1002967.36,1633,614.1869932639314,7
7.02.01.02.001,985910.53,200,4929.5526500000005,7
1.03.02.14.002,941599.0,629,1496.9777424483307,7
1.10.04.01.001,896879.57,2397,374.167530246141,7
1.10.05.04.001,856501.97,372,2302.4246505376345,3
2.02.01.07.002,830508.98,329,2524.343404255319,7
1.03.02.13.006,829544.24,2295,361.45718518518515,5
1.03.01.02.003,828199.16,1172,706.6545733788396,7
1.03.02.16.002,808938.41,23861,33.902116843384604,7
2.02.01.03.002,805808.0,573,1406.2966841186737,7
2.02.01.06.001,776387.66,860,902.7763488372093,7
1.03.01.02.014,759745.58,643,1181.5638880248832,7
7.02.99.99.999,710450.64,892,796.4693273542601,7
1.04.01.02.999,676629.4,1335,506.8385018726592,7
2.02.04.03.999,581377.64,220,2642.625636363636,2
1.03.01.02.002,578265.21,1215,475.93844444444443,7
1.02.01.10.001,545796.57,519,1051.6311560693641,7
1.03.02.05.003,536302.77,1707,314.17854130052723,7
1.03.02.01.002,495106.52,6362,77.82246463376298,7
1.03.02.09.005,485223.44,1925,252.06412467532468,7
1.03.02.19.001,408059.17,1314,310.54731354642314,6
7.01.99.01.001,387160.47,772,501.50319948186524,7
1.03.02.05.002,341924.9,3361,101.73308539125262,7
1.10.99.99.999,332497.29,801,415.102734082397,7
2.02.01.09.999,303795.86,101,3007.879801980198,4
1.03.02.01.001,296768.84,484,613.1587603305786,7
1.03.02.07.007,275716.89,900,306.3521,7
1.10.04.01.002,267310.24,566,472.27957597173145,6
1.01.01.01.010,254768.71,420,606.5921666666667,5
2.02.01.99.001,247981.94999999998,738,336.0189024390244,5
1.10.04.01.999,240692.51,783,307.3978416347382,7
1.03.02.09.001,239389.01,662,361.61481873111785,7
1.03.02.19.005,232259.48,643,361.2122550544324,7
2.02.01.09.016,225857.94999999998,94,2402.74414893617,4
1.03.02.13.004,208487.49,947,220.1557444561774,7
1.03.02.09.012,201009.52,588,341.85292517006803,6
3.04.01.01.999,196468.37,23,8542.10304347826,2
2.02.01.01.001,191784.6,107,1792.3794392523364,4
1.03.02.07.003,180231.61000000002,411,438.51973236009735,6
5.01.01.01.001,163524.3,319,512.6153605015674,5
1.10.05.01.001,157929.01,1550,101.88968387096774,7
7.02.04.01.001,152744.31,388,393.67090206185566,7
1.01.01.02.999,145003.45,241,601.6740663900415,4
1.03.02.19.006,139416.0,452,308.4424778761062,6
2.02.01.09.014,134720.69,41,3285.870487804878,4
7.02.01.01.001,107792.45,480,224.56760416666665,7
2.02.01.10.999,103470.89,23,4498.734347826087,3
1.03.02.19.011,103372.08,385,268.4989090909091,7
1.01.01.02.002,98194.03,200,490.97015,5
1.03.02.16.001,96967.33,766,126.58920365535248,7
1.03.02.12.999,93063.95999999999,15,6204.263999999999,2
1.07.06.99.999,80338.32,489,164.2910429447853,6
2.02.03.02.001,79192.0,133,595.4285714285714,7
1.03.02.13.005,77318.08,128,604.0475,5
1.03.02.99.011,76218.6,535,142.46467289719627,5
1.03.02.19.004,73174.4,450,162.60977777777777,6
7.01.01.99.999,65320.05,183,356.94016393442627,6
1.03.02.17.999,59280.63,1450,40.88319310344827,7
1.07.06.02.999,59142.84,589,100.41229202037351,7
2.02.01.09.010,52292.26,83,630.0272289156627,3
1.04.01.02.001,49676.159999999996,90,551.9573333333333,7
1.03.01.05.001,49334.19,505,97.69146534653466,7
1.04.01.02.017,46205.96,125,369.64768,7
1.02.01.09.001,43439.25,478,90.8770920502092,7
1.03.02.19.009,41253.98,240,171.89158333333336,6
2.02.01.01.002,39998.92,2,19999.46,1
1.03.01.05.006,38227.46,103,371.1403883495146,5
2.02.03.06.999,38051.0,14,2717.9285714285716,2
1.03.01.05.003,37398.48,302,123.83602649006623,6
1.03.02.99.005,35897.8,23,1560.7739130434784,3
7.01.03.02.001,35080.12,531,66.06425612052732,7
1.03.02.11.004,33160.79,70,473.7255714285714,5
1.03.02.11.005,32868.91,73,450.25904109589044,5
1.03.02.19.007,32481.05,135,240.60037037037037,5
1.03.01.02.009,26881.52,316,85.06810126582279,7
2.02.01.11.001,22951.68,19,1207.983157894737,1
2.02.01.05.002,22155.52,69,321.0944927536232,5
1.01.01.02.001,20845.41,85,245.2401176470588,4
1.03.02.16.003,19540.25,117,167.01068376068375,5
1.04.01.02.016,15000.0,12,1250.0,1
1.04.01.02.003,14545.69,19,765.5626315789474,2
1.02.01.02.001,14513.02,744,19.506747311827958,7
1.04.01.02.002,14135.0,13,1087.3076923076924,2
7.02.04.02.001,13710.0,112,122.41071428571429,6
2.02.03.04.001,13107.43,106,123.655,3
1.02.01.12.001,12941.02,20,647.051,2
2.02.01.01.003,11074.150000000001,8,1384.2687500000002,2
1.03.02.19.003,11034.43,61,180.8922950819672,5
1.03.02.99.003,8580.94,113,75.93752212389381,7
1.03.02.07.009,7199.150000000001,13,553.7807692307692,2
1.03.02.17.001,6192.93,329,18.823495440729484,7
1.03.02.11.006,4185.77,19,220.30368421052634,3
1.03.02.09.010,3017.27,33,91.43242424242425,3
1.03.02.99.002,2811.5,42,66.94047619047619,3
1.03.02.12.003,1800.0,11,163.63636363636363,1
1.03.02.99.008,1725.0,2,862.5,1
3.04.06.01.001,1452.0,5,290.4,2
1.02.01.07.001,1001.8,38,26.36315789473684,4
1.07.06.02.001,959.1800000000001,171,5.609239766081871,7
2.02.03.03.001,943.88,11,85.80727272727273,1
1.03.02.19.008,892.4300000000001,9,99.1588888888889,2
1.03.02.07.005,364.24,9,40.471111111111114,1
1.03.02.16.004,224.70999999999998,18,12.483888888888888,3
4.03.01.04.999,208.04,13,16.00307692307692,1
1.04.01.02.008,154.94,6,25.823333333333334,1
1.03.02.09.009,138.87,1,138.87,1
1.07.06.02.002,23.92,34,0.703529411764706,3
1.07.06.02.003,13.97,12,1.1641666666666668,3
0.00.00.99.997,0.0,23,0.0,2
0.00.00.99.998,0.0,5,0.0,1
codice_gestionale,0.0,0,,7
