Entity,Code,Year,"Government expenditure on education, total (% of government expenditure)",Employment in agriculture (% of total employment) (modeled ILO estimate),Employment in industry (% of total employment) (modeled ILO estimate),Employment in services (% of total employment) (modeled ILO estimate)
Italy,ITA,2006,9.153534,,,
Italy,ITA,2007,9.450937,,,
Italy,ITA,2008,8.963029,,,
Italy,ITA,2009,8.86478,,,
Italy,ITA,2010,8.706914,,,
Italy,ITA,2011,8.258438,,,
Italy,ITA,2012,8.01843,,,
Italy,ITA,2013,8.021049,,,
Italy,ITA,2014,7.9423513,,,
Italy,ITA,2015,7.943845,,,
Italy,ITA,2016,7.8623734,,,
Italy,ITA,2017,7.917691,,,
Italy,ITA,2018,8.111641,,,
Italy,ITA,2019,8.047363,,,
Italy,ITA,2020,7.4938817,,,
Italy,ITA,2021,7.437162,,,
Spain,ESP,1995,9.854066,,,
Spain,ESP,1996,10.065894,,,
Spain,ESP,1997,10.140595,,,
Spain,ESP,1998,10.091661,,,
Spain,ESP,1999,10.507714,,,
Spain,ESP,2000,10.523749,,,
Spain,ESP,2001,10.482747,,,
Spain,ESP,2002,10.566594,,,
Spain,ESP,2003,10.592646,,,
Spain,ESP,2004,10.628665,,,
Spain,ESP,2005,10.405226,,,
Spain,ESP,2006,10.437035,,,
Spain,ESP,2007,10.382552,,,
Spain,ESP,2008,10.359805,,,
Spain,ESP,2009,10.177654,,,
Spain,ESP,2010,9.938093,,,
Spain,ESP,2011,9.697654,,,
Spain,ESP,2012,8.558403,,,
Spain,ESP,2013,8.975121,,,
Spain,ESP,2014,9.173283,,,
Spain,ESP,2015,9.414457,,,
Spain,ESP,2016,9.66043,,,
Spain,ESP,2017,9.754148,,,
Spain,ESP,2018,9.572023,,,
Spain,ESP,2019,9.576941,,,
Spain,ESP,2020,9.022061,,,
Spain,ESP,2021,9.200828,,,
Spain,ESP,2022,9.248934,,,
United Kingdom,GBR,1995,11.372035,,,
United Kingdom,GBR,1996,11.39144,,,
United Kingdom,GBR,1997,11.532398,,,
United Kingdom,GBR,1998,11.488018,,,
United Kingdom,GBR,1999,12.406557,,,
United Kingdom,GBR,2000,13.256759,,,
United Kingdom,GBR,2001,13.613959,,,
United Kingdom,GBR,2002,14.733973,,,
United Kingdom,GBR,2003,14.477489,,,
United Kingdom,GBR,2004,13.885484,,,
United Kingdom,GBR,2005,13.377212,,,
United Kingdom,GBR,2006,13.759533,,,
United Kingdom,GBR,2007,13.790461,,,
United Kingdom,GBR,2008,13.030922,,,
United Kingdom,GBR,2009,13.134954,,,
United Kingdom,GBR,2010,13.219778,,,
United Kingdom,GBR,2011,12.700506,,,
United Kingdom,GBR,2012,12.249861,,,
United Kingdom,GBR,2013,12.094999,,,
United Kingdom,GBR,2014,12.332092,,,
United Kingdom,GBR,2015,12.259174,,,
United Kingdom,GBR,2016,12.210996,,,
United Kingdom,GBR,2017,12.246415,,,
United Kingdom,GBR,2018,12.08059,,,
United Kingdom,GBR,2019,11.992143,,,
United Kingdom,GBR,2020,10.440753,,,
United Kingdom,GBR,2021,11.054573,,,
United Kingdom,GBR,2022,10.64375,,,
France,FRA,1991,,5.6363335,28.338856,66.0248
France,FRA,1992,,5.5036755,28.008484,66.48784
France,FRA,1993,,5.4567695,27.507004,67.03623
France,FRA,1994,,5.186972,26.829212,67.98382
France,FRA,1995,,4.8901596,26.939762,68.17008
France,FRA,1996,,4.823147,26.507034,68.669815
France,FRA,1997,,4.6371684,26.55796,68.80487
France,FRA,1998,,4.410662,26.325817,69.26353
France,FRA,1999,,4.242857,26.29538,69.46176
France,FRA,2000,,4.142897,26.274963,69.58214
France,FRA,2001,,4.070147,26.033937,69.89592
France,FRA,2002,,4.1312904,25.397127,70.47158
France,FRA,2003,,4.2540407,24.137321,71.608635
France,FRA,2004,,3.8737175,24.247782,71.8785
France,FRA,2005,,3.5955184,23.6568,72.74768
France,FRA,2006,,3.6740906,23.708956,72.61696
France,FRA,2007,,3.4268072,23.197306,73.375885
France,FRA,2008,,2.759541,23.266499,73.97396
France,FRA,2009,,2.9491932,22.68226,74.368546
France,FRA,2010,,2.9162898,22.278683,74.80503
France,FRA,2011,,2.9293542,22.185902,74.88474
France,FRA,2012,,2.9352014,21.777996,75.286804
France,FRA,2013,,3.074685,21.305326,75.619995
France,FRA,2014,,2.8453305,20.533188,76.62148
France,FRA,2015,,2.7449267,20.376041,76.87903
France,FRA,2016,,2.8719003,20.29381,76.83429
France,FRA,2017,,2.6056714,20.411018,76.98331
France,FRA,2018,,2.4966502,20.23267,77.270676
France,FRA,2019,,2.5152946,20.392002,77.092705
France,FRA,2020,,2.3500466,19.96478,77.68517
France,FRA,2021,,2.514618,19.507854,77.97752
France,FRA,2022,,2.5874898,19.256294,78.15622
France,FRA,2023,,2.5054095,19.245415,78.249176
Germany,DEU,1991,,3.7060838,39.081425,57.212494
Germany,DEU,1992,,3.606351,38.607697,57.785954
Germany,DEU,1993,,3.5088341,37.804203,58.686962
Germany,DEU,1994,,3.258039,36.89508,59.846886
Germany,DEU,1995,,3.170177,36.004333,60.82549
Germany,DEU,1996,,2.9347806,35.272057,61.79316
Germany,DEU,1997,,2.9422054,34.673603,62.38419
Germany,DEU,1998,,2.7799268,34.39016,62.829914
Germany,DEU,1999,,2.8639069,33.835052,63.30104
Germany,DEU,2000,,2.6375253,33.531075,63.8314
Germany,DEU,2001,,2.6159918,32.781555,64.602455
Germany,DEU,2002,,2.4870965,32.366817,65.14609
Germany,DEU,2003,,2.424627,31.377745,66.19763
Germany,DEU,2004,,2.3551552,31.25321,66.39163
Germany,DEU,2005,,2.3734145,29.840487,67.7861
Germany,DEU,2006,,2.2679582,29.652487,68.07955
Germany,DEU,2007,,2.2585287,29.896511,67.84496
Germany,DEU,2008,,1.7844927,29.343222,68.872284
Germany,DEU,2009,,1.6823803,28.796389,69.52123
Germany,DEU,2010,,1.6471585,28.309994,70.04285
Germany,DEU,2011,,1.6443806,28.235973,70.119644
Germany,DEU,2012,,1.5606056,28.193237,70.246155
Germany,DEU,2013,,1.4462382,27.778442,70.775314
Germany,DEU,2014,,1.4282727,28.052446,70.51928
Germany,DEU,2015,,1.3939931,27.69009,70.91592
Germany,DEU,2016,,1.3082781,27.38172,71.310005
Germany,DEU,2017,,1.2766229,27.405241,71.31814
Germany,DEU,2018,,1.2495388,27.339987,71.41048
Germany,DEU,2019,,1.204148,27.182129,71.61372
Germany,DEU,2020,,1.2207211,27.371822,71.407455
Germany,DEU,2021,,1.2461565,27.501863,71.25198
Germany,DEU,2022,,1.240232,26.867752,71.89202
Germany,DEU,2023,,1.1987065,26.504717,72.29658
Italy,ITA,1991,,8.442842,34.870518,56.68664
Italy,ITA,1992,,8.004366,34.634403,57.361225
Italy,ITA,1993,,7.0827045,34.10707,58.810226
Italy,ITA,1994,,6.8978777,33.75776,59.344364
Italy,ITA,1995,,6.583007,33.661648,59.755344
Italy,ITA,1996,,6.1289444,33.350883,60.520176
Italy,ITA,1997,,5.8806057,32.62796,61.491436
Italy,ITA,1998,,5.765783,32.729347,61.50487
Italy,ITA,1999,,5.421226,32.376484,62.202293
Italy,ITA,2000,,5.2318535,31.789606,62.978546
Italy,ITA,2001,,5.2101874,31.738125,63.051693
Italy,ITA,2002,,4.925362,31.598955,63.47568
Italy,ITA,2003,,4.715998,31.758615,63.525387
Italy,ITA,2004,,4.136907,30.837574,65.02552
Italy,ITA,2005,,4.1983066,30.684198,65.11749
Italy,ITA,2006,,4.272578,30.050556,65.67687
Italy,ITA,2007,,3.9670472,30.13118,65.90177
Italy,ITA,2008,,3.699081,29.800611,66.50031
Italy,ITA,2009,,3.6907513,29.23878,67.07047
Italy,ITA,2010,,3.768186,28.609087,67.622734
Italy,ITA,2011,,3.6807487,28.288568,68.030685
Italy,ITA,2012,,3.6924613,27.58234,68.725204
Italy,ITA,2013,,3.6013448,27.046982,69.35167
Italy,ITA,2014,,3.6430469,26.901423,69.45553
Italy,ITA,2015,,3.7513783,26.600304,69.64832
Italy,ITA,2016,,3.8844476,26.122332,69.99322
Italy,ITA,2017,,3.782819,26.002787,70.2144
Italy,ITA,2018,,3.756879,26.1041,70.13902
Italy,ITA,2019,,3.889869,25.86721,70.24292
Italy,ITA,2020,,3.9819572,26.371914,69.646126
Italy,ITA,2021,,4.0501704,26.639458,69.31037
Italy,ITA,2022,,3.7876976,26.870731,69.34157
Italy,ITA,2023,,3.5945716,26.637405,69.76802
Spain,ESP,1991,,10.666841,32.136723,57.196434
Spain,ESP,1992,,9.716663,31.838171,58.44516
Spain,ESP,1993,,9.782839,31.037117,59.180042
Spain,ESP,1994,,9.490243,30.259502,60.250256
Spain,ESP,1995,,8.9867935,30.204742,60.808464
Spain,ESP,1996,,8.359539,29.468733,62.17173
Spain,ESP,1997,,8.042838,29.911352,62.04581
Spain,ESP,1998,,7.697903,30.507744,61.794353
Spain,ESP,1999,,7.208628,30.678251,62.11312
Spain,ESP,2000,,6.6882615,30.826626,62.485115
Spain,ESP,2001,,6.555923,31.459028,61.985054
Spain,ESP,2002,,6.0026937,31.038845,62.95846
Spain,ESP,2003,,5.7048945,30.714027,63.581078
Spain,ESP,2004,,5.4854436,30.20698,64.30758
Spain,ESP,2005,,5.2994075,29.569895,65.1307
Spain,ESP,2006,,4.805234,29.403498,65.79127
Spain,ESP,2007,,4.5160136,29.109838,66.37415
Spain,ESP,2008,,4.0457883,27.829926,68.12429
Spain,ESP,2009,,4.124417,24.584173,71.29141
Spain,ESP,2010,,4.1977863,22.97486,72.827354
Spain,ESP,2011,,4.100272,21.760181,74.13954
Spain,ESP,2012,,4.216027,20.672417,75.11156
Spain,ESP,2013,,4.297914,19.750757,75.95133
Spain,ESP,2014,,4.2427034,19.450901,76.306404
Spain,ESP,2015,,4.1238866,19.90407,75.972046
Spain,ESP,2016,,4.2229133,19.60631,76.170784
Spain,ESP,2017,,4.353613,20.05794,75.588455
Spain,ESP,2018,,4.2040987,20.333708,75.4622
Spain,ESP,2019,,4.030531,20.43016,75.53931
Spain,ESP,2020,,3.9852512,20.530329,75.48442
Spain,ESP,2021,,4.0595407,20.187946,75.75251
Spain,ESP,2022,,3.799816,20.069431,76.13075
Spain,ESP,2023,,3.6223645,19.88736,76.49028
United Kingdom,GBR,1991,,2.1680825,30.313526,67.518394
United Kingdom,GBR,1992,,2.1114178,29.844776,68.04381
United Kingdom,GBR,1993,,2.0474548,29.3924,68.56014
United Kingdom,GBR,1994,,2.078798,27.780674,70.140526
United Kingdom,GBR,1995,,2.0536456,27.425058,70.5213
United Kingdom,GBR,1996,,1.9485278,27.424889,70.62658
United Kingdom,GBR,1997,,1.8542291,26.86271,71.28306
United Kingdom,GBR,1998,,1.7181159,26.666096,71.61579
United Kingdom,GBR,1999,,1.5539874,25.810907,72.6351
United Kingdom,GBR,2000,,1.5345511,25.168076,73.29737
United Kingdom,GBR,2001,,1.3923342,24.640648,73.96702
United Kingdom,GBR,2002,,1.3858122,23.912329,74.70186
United Kingdom,GBR,2003,,1.2489159,23.34211,75.40897
United Kingdom,GBR,2004,,1.276501,22.302134,76.421364
United Kingdom,GBR,2005,,1.3760313,22.214405,76.40956
United Kingdom,GBR,2006,,1.3514693,22.06288,76.585655
United Kingdom,GBR,2007,,1.3652151,22.188652,76.44614
United Kingdom,GBR,2008,,1.0804354,22.004297,76.91527
United Kingdom,GBR,2009,,1.1091481,19.611355,79.279495
United Kingdom,GBR,2010,,1.2159258,19.210255,79.57382
United Kingdom,GBR,2011,,1.2202804,19.177765,79.60196
United Kingdom,GBR,2012,,1.1888599,19.066895,79.74424
United Kingdom,GBR,2013,,1.0588427,18.86824,80.07292
United Kingdom,GBR,2014,,1.2562436,18.965267,79.77849
United Kingdom,GBR,2015,,1.1361955,18.662594,80.20121
United Kingdom,GBR,2016,,1.1210669,18.474733,80.4042
United Kingdom,GBR,2017,,1.1630746,18.259735,80.577194
United Kingdom,GBR,2018,,1.070067,18.125011,80.804924
United Kingdom,GBR,2019,,1.0443244,18.123745,80.83193
United Kingdom,GBR,2020,,1.0371145,18.103333,80.85955
United Kingdom,GBR,2021,,1.0242983,18.11809,80.85761
United Kingdom,GBR,2022,,1.004151,17.94986,81.04599
United Kingdom,GBR,2023,,0.9864738,17.7684,81.245125
