DATAFLOW,LAST UPDATE,freq,sex,age,training,wstatus,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,BA,2023,,u,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,BA,2024,,u,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,BA,2025,1.8,u,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,BE,2005,5.7,,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,BE,2006,3.5,b,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,BE,2007,3.8,,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,BE,2008,3.2,,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,BE,2009,2.7,,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,BE,2010,2.3,u,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,BE,2011,3.8,b,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,BE,2012,5.4,,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,BE,2013,4.8,,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,BE,2014,4.6,,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,BE,2015,3.5,,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,BE,2016,1.9,u,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,BE,2017,2.4,bu,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,BE,2018,3.8,,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,BE,2019,3.6,,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,BE,2020,3.7,,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,BE,2021,2.1,bu,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,BE,2022,,u,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,BE,2023,,u,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,BE,2024,,bu,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,BE,2025,,u,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,BG,2005,11.6,,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,BG,2006,10.7,b,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,BG,2007,8.7,,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,BG,2008,8.4,b,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,BG,2009,9.4,,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,BG,2010,7.7,b,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,BG,2011,8.3,b,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,BG,2012,7.5,u,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,BG,2013,7.1,u,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,BG,2014,7.7,u,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,BG,2015,7.8,u,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,BG,2016,8.9,,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,BG,2017,8.7,,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,BG,2018,6.7,,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,BG,2019,6.4,bu,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,BG,2020,5.6,u,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,BG,2021,5.9,bu,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,BG,2022,5.3,u,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,BG,2023,4.0,u,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,BG,2024,,bu,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,BG,2025,3.6,u,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,CH,2005,2.6,u,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,CH,2006,3.9,u,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,CH,2007,3.2,u,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,CH,2008,4.6,u,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,CH,2009,2.8,u,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,CH,2010,2.2,bu,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,CH,2011,1.4,u,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,CH,2012,1.9,u,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,CH,2013,1.8,u,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,CH,2014,1.8,u,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,CH,2015,2.2,u,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,CH,2016,1.9,u,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,CH,2017,1.7,u,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,CH,2018,1.9,u,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,CH,2019,1.6,u,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,CH,2020,2.4,u,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,CH,2021,11.1,b,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,CH,2022,22.4,,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,CH,2023,4.1,,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,CH,2024,7.8,,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,CH,2025,4.0,u,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,CY,2005,15.1,,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,CY,2006,3.6,bu,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,CY,2007,,u,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,CY,2008,3.2,u,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,CY,2009,2.7,bu,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,CY,2010,,u,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,CY,2011,3.0,u,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,CY,2012,,u,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,CY,2013,,u,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,CY,2014,,u,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,CY,2015,,u,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,CY,2016,3.7,u,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,CY,2017,4.0,u,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,CY,2018,,u,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,CY,2019,,u,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,CY,2020,,u,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,CY,2021,,bu,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,CY,2022,,u,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,CY,2023,,u,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,CY,2024,,u,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,CY,2025,,u,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,CZ,2005,5.3,,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,CZ,2006,0.6,bu,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,CZ,2007,0.7,u,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,CZ,2008,0.4,u,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,CZ,2009,0.5,u,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,CZ,2010,0.9,u,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,CZ,2011,0.6,bu,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,CZ,2012,,u,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,CZ,2013,,u,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,CZ,2014,0.4,u,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,CZ,2015,0.7,u,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,CZ,2016,0.7,u,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,CZ,2017,0.8,u,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,CZ,2018,0.7,u,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,CZ,2019,0.8,u,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,CZ,2020,0.7,u,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,CZ,2021,2.7,b,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,CZ,2022,4.8,b,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,CZ,2023,2.8,,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,CZ,2024,0.3,u,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,CZ,2025,,u,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,DE,2005,,b,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,DE,2008,,b,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,DE,2010,,b,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,DE,2011,,bu,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,DE,2012,,bu,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,DE,2013,,u,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,DE,2014,,u,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,DE,2015,,u,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,DE,2016,,u,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,DE,2017,,u,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,DE,2018,,u,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,DE,2019,,u,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,DE,2020,2.9,bu,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,DE,2021,2.4,b,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,DE,2022,2.2,u,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,DE,2023,2.3,,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,DE,2024,2.0,bu,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,DE,2025,3.2,,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,DK,2005,,u,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,DK,2006,,u,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,DK,2007,,bu,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,DK,2008,,bu,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,DK,2009,2.0,u,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,DK,2010,,u,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,DK,2011,,u,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,DK,2012,,u,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,DK,2013,,u,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,DK,2014,,u,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,DK,2015,,u,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,DK,2016,,bu,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,DK,2017,,bu,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,DK,2018,,u,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,DK,2019,1.9,u,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,DK,2020,2.4,u,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,DK,2021,2.5,bu,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,DK,2022,2.1,u,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,DK,2023,2.2,bu,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,DK,2024,2.2,u,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,DK,2025,4.3,b,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,EA21,2005,3.2,,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,EA21,2006,2.7,,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,EA21,2007,2.5,,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,EA21,2008,2.4,,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,EA21,2009,2.2,,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,EA21,2010,2.4,,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,EA21,2011,2.4,,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,EA21,2012,2.2,,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,EA21,2013,2.1,,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,EA21,2014,2.1,,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,EA21,2015,2.2,,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,EA21,2016,2.2,,
