REF_AREA,REF_AREA_LABEL,TIME_PERIOD,lower_disability_per_1000_t_minus_1,lower_class_size_t_minus_1,lower_exam_success_t_minus_1,lower_foreign_share_t_minus_1,lower_median_grade_t_minus_1,lower_public_share_t_minus_1,lower_exam_failure_t_minus_1,upper_repeaters_all_t,upper_repeaters_fir_t,upper_lic_t,upper_tec_t,upper_voc_t,upper_voc_minus_lic_t,upper_tec_minus_lic_t,transition_jump_all_t,transition_jump_fir_t
ITF2,Molise,2017,39.0,18.7,99.9,4.3,8.0,100.0,0.09999999999999432,4.0,6.1,,,,,,3.9000000000000057,6.000000000000005
ITF3,Campania,2017,36.3,20.4,99.7,2.4,7.0,98.8,0.29999999999999716,6.7,12.7,,,,,,6.400000000000003,12.400000000000002
ITF4,Puglia,2017,34.8,22.0,99.9,2.9,8.0,99.5,0.09999999999999432,6.1,10.5,,,,,,6.000000000000005,10.400000000000006
ITF5,Basilicata,2017,27.1,18.9,99.9,3.7,8.0,100.0,0.09999999999999432,5.3,8.7,,,,,,5.2000000000000055,8.600000000000005
ITF6,Calabria,2017,33.2,18.5,99.8,4.4,8.0,99.2,0.20000000000000284,5.9,10.6,,,,,,5.6999999999999975,10.399999999999997
ITG1,Sicilia,2017,41.6,20.5,99.6,3.6,7.0,99.0,0.4000000000000057,7.5,12.4,,,,,,7.099999999999994,11.999999999999995
ITG2,Sardegna,2017,39.8,18.6,99.6,2.8,7.0,98.6,0.4000000000000057,11.5,17.5,,,,,,11.099999999999994,17.099999999999994
ITC1,Piemonte,2018,35.8,21.2,99.8,13.0,7.0,95.3,0.20000000000000284,6.6,11.0,,,,,,6.399999999999997,10.799999999999997
ITC2,Valle d'Aosta / Vallée d'Aoste,2018,29.7,21.5,99.8,6.2,7.0,100.0,0.20000000000000284,5.7,8.8,,,,,,5.499999999999997,8.599999999999998
ITC3,Liguria,2018,43.6,21.3,99.8,12.3,8.0,95.5,0.20000000000000284,7.1,11.0,,,,,,6.899999999999997,10.799999999999997
ITC4,Lombardia,2018,47.6,21.8,99.9,14.8,7.0,91.4,0.09999999999999432,6.5,11.1,,,,,,6.400000000000006,11.000000000000005
ITD1,Provincia Autonoma Bolzano / Bozen,2018,,19.7,99.9,10.7,6.0,100.0,0.09999999999999432,6.9,13.2,,,,,,6.800000000000006,13.100000000000005
ITD2,Provincia Autonoma Trento,2018,43.9,21.4,99.9,11.5,8.0,100.0,0.09999999999999432,6.3,8.9,,,,,,6.2000000000000055,8.800000000000006
ITD3,Veneto,2018,35.4,21.4,99.8,13.1,7.0,95.1,0.20000000000000284,5.8,9.8,,,,,,5.599999999999997,9.599999999999998
ITD4,Friuli-Venezia Giulia,2018,34.6,20.4,99.8,11.6,7.0,96.0,0.20000000000000284,6.8,10.8,,,,,,6.599999999999997,10.599999999999998
ITD5,Emilia-Romagna,2018,36.1,22.3,99.9,15.6,8.0,95.8,0.09999999999999432,6.6,11.3,,,,,,6.500000000000005,11.200000000000006
ITDA,Trentino Alto Adige / Südtirol,2018,21.6,20.5,99.9,11.1,8.0,100.0,0.09999999999999432,6.6,11.1,,,,,,6.500000000000005,11.000000000000005
ITE1,Toscana,2018,35.3,22.0,99.8,14.0,8.0,98.0,0.20000000000000284,7.8,12.0,,,,,,7.599999999999997,11.799999999999997
ITE2,Umbria,2018,42.7,20.9,99.9,14.8,8.0,99.3,0.09999999999999432,3.9,5.7,,,,,,3.8000000000000056,5.600000000000006
ITE3,Marche,2018,39.6,21.6,99.9,11.5,7.0,99.2,0.09999999999999432,5.4,9.2,,,,,,5.300000000000006,9.100000000000005
ITE4,Lazio,2018,41.5,21.1,99.8,10.0,8.0,95.0,0.20000000000000284,6.0,8.9,,,,,,5.799999999999997,8.699999999999998
ITF1,Abruzzo,2018,48.7,19.7,99.8,7.9,8.0,99.2,0.20000000000000284,5.6,9.3,,,,,,5.399999999999997,9.099999999999998
ITF2,Molise,2018,48.6,18.7,99.8,4.4,8.0,100.0,0.20000000000000284,4.3,5.9,,,,,,4.099999999999997,5.6999999999999975
ITF3,Campania,2018,38.1,20.2,99.7,2.6,7.0,98.9,0.29999999999999716,6.7,12.2,,,,,,6.400000000000003,11.900000000000002
ITF4,Puglia,2018,38.0,21.8,99.8,3.0,8.0,99.5,0.20000000000000284,6.2,10.0,,,,,,5.999999999999997,9.799999999999997
ITF5,Basilicata,2018,27.6,18.7,99.9,4.2,8.0,100.0,0.09999999999999432,5.5,8.4,,,,,,5.400000000000006,8.300000000000006
ITF6,Calabria,2018,36.5,18.4,99.7,4.5,8.0,99.2,0.29999999999999716,5.5,9.5,,,,,,5.200000000000003,9.200000000000003
ITG1,Sicilia,2018,45.0,20.4,99.5,3.8,7.0,99.0,0.5,7.3,11.4,,,,,,6.8,10.9
ITG2,Sardegna,2018,42.7,18.5,99.6,2.8,7.0,98.5,0.4000000000000057,11.4,16.0,,,,,,10.999999999999995,15.599999999999994
ITC1,Piemonte,2019,37.3,21.0,99.8,13.5,7.0,95.0,0.20000000000000284,6.2,10.5,,,,,,5.999999999999997,10.299999999999997
ITC2,Valle d'Aosta / Vallée d'Aoste,2019,30.0,20.3,99.6,5.5,7.0,95.7,0.4000000000000057,5.1,9.1,,,,,,4.699999999999994,8.699999999999994
ITC3,Liguria,2019,43.4,21.5,99.6,12.7,7.0,95.6,0.4000000000000057,7.6,11.7,,,,,,7.199999999999994,11.299999999999994
ITC4,Lombardia,2019,47.9,21.8,99.9,15.5,7.0,91.3,0.09999999999999432,6.6,11.1,,,,,,6.500000000000005,11.000000000000005
ITD1,Provincia Autonoma Bolzano / Bozen,2019,,19.5,100.0,11.1,6.0,94.0,0.0,6.2,11.7,,,,,,6.2,11.7
ITD2,Provincia Autonoma Trento,2019,42.7,21.3,99.9,11.9,8.0,92.3,0.09999999999999432,5.9,8.4,,,,,,5.800000000000006,8.300000000000006
ITD3,Veneto,2019,36.3,21.5,99.9,13.7,7.0,94.9,0.09999999999999432,5.8,9.8,,,,,,5.7000000000000055,9.700000000000006
ITD4,Friuli-Venezia Giulia,2019,34.7,20.4,99.9,12.2,7.0,95.9,0.09999999999999432,6.7,10.8,,,,,,6.600000000000006,10.700000000000006
ITD5,Emilia-Romagna,2019,37.7,22.3,99.9,16.2,7.0,95.6,0.09999999999999432,6.6,11.1,,,,,,6.500000000000005,11.000000000000005
ITDA,Trentino Alto Adige / Südtirol,2019,21.0,20.4,100.0,11.5,8.0,93.2,0.0,6.1,10.0,,,,,,6.1,10.0
ITE1,Toscana,2019,36.8,22.0,99.9,14.4,7.0,98.0,0.09999999999999432,7.6,11.5,,,,,,7.500000000000005,11.400000000000006
ITE2,Umbria,2019,41.2,21.0,99.9,14.7,8.0,99.4,0.09999999999999432,4.0,5.7,,,,,,3.9000000000000057,5.600000000000006
ITE3,Marche,2019,39.2,21.6,99.8,11.8,7.0,99.2,0.20000000000000284,5.3,8.3,,,,,,5.099999999999997,8.099999999999998
ITE4,Lazio,2019,41.5,21.1,99.8,10.0,8.0,94.9,0.20000000000000284,5.6,8.6,,,,,,5.399999999999997,8.399999999999997
ITF1,Abruzzo,2019,48.4,19.7,99.8,8.0,8.0,99.3,0.20000000000000284,5.4,8.6,,,,,,5.1999999999999975,8.399999999999997
ITF2,Molise,2019,35.6,18.7,99.8,3.8,7.0,100.0,0.20000000000000284,4.3,5.8,,,,,,4.099999999999997,5.599999999999997
ITF3,Campania,2019,38.9,20.0,99.8,2.7,7.0,99.0,0.20000000000000284,6.6,11.6,,,,,,6.399999999999997,11.399999999999997
ITF4,Puglia,2019,39.0,21.6,99.8,3.0,8.0,99.5,0.20000000000000284,6.2,9.6,,,,,,5.999999999999997,9.399999999999997
ITF5,Basilicata,2019,29.0,18.5,99.9,4.2,7.0,100.0,0.09999999999999432,4.9,8.0,,,,,,4.800000000000006,7.900000000000006
ITF6,Calabria,2019,38.4,18.4,99.8,4.5,8.0,99.3,0.20000000000000284,5.5,8.7,,,,,,5.299999999999997,8.499999999999996
ITG1,Sicilia,2019,47.9,20.2,99.6,3.8,7.0,99.1,0.4000000000000057,7.2,11.4,,,,,,6.7999999999999945,10.999999999999995
ITG2,Sardegna,2019,45.4,18.3,99.7,2.8,7.0,98.5,0.29999999999999716,11.8,16.5,,,,,,11.500000000000004,16.200000000000003
ITC1,Piemonte,2020,38.5,20.9,99.9,13.9,7.0,94.8,0.09999999999999432,5.9,9.9,3.4,7.7,9.4,6.0,4.300000000000001,5.800000000000006,9.800000000000006
ITC2,Valle d'Aosta / Vallée d'Aoste,2020,28.3,20.3,99.3,6.1,7.0,95.8,0.7000000000000028,5.1,8.6,4.1,7.5,5.2,1.1000000000000005,3.4000000000000004,4.399999999999997,7.899999999999997
ITC3,Liguria,2020,46.1,21.5,99.8,13.3,8.0,95.5,0.20000000000000284,7.0,10.9,3.8,8.2,13.1,9.3,4.3999999999999995,6.799999999999997,10.699999999999998
ITC4,Lombardia,2020,49.3,21.7,99.9,16.2,7.0,91.2,0.09999999999999432,6.4,10.8,3.5,8.0,11.0,7.5,4.5,6.300000000000006,10.700000000000006
ITD1,Provincia Autonoma Bolzano / Bozen,2020,,19.8,100.0,11.7,8.0,94.0,0.0,5.5,10.5,3.8,7.0,10.0,6.2,3.2,5.5,10.5
ITD2,Provincia Autonoma Trento,2020,44.6,21.3,99.9,12.4,8.0,92.2,0.09999999999999432,5.8,9.1,4.1,7.6,10.7,6.6,3.5,5.7000000000000055,9.000000000000005
ITD3,Veneto,2020,36.0,21.4,99.9,14.3,7.0,94.7,0.09999999999999432,5.5,9.2,3.0,6.6,8.9,5.9,3.5999999999999996,5.400000000000006,9.100000000000005
ITD4,Friuli-Venezia Giulia,2020,36.5,20.2,99.9,12.8,7.0,95.8,0.09999999999999432,6.5,10.4,3.4,8.1,11.6,8.2,4.699999999999999,6.400000000000006,10.300000000000006
ITD5,Emilia-Romagna,2020,38.1,22.4,99.9,16.6,7.0,95.6,0.09999999999999432,6.6,10.7,3.2,7.3,12.2,9.0,4.1,6.500000000000005,10.600000000000005
ITDA,Trentino Alto Adige / Südtirol,2020,21.7,20.5,100.0,12.1,8.0,93.1,0.0,5.6,9.8,4.0,7.3,10.3,6.300000000000001,3.3,5.6,9.8
ITE1,Toscana,2020,37.7,21.9,99.9,14.8,7.0,98.1,0.09999999999999432,7.4,10.9,3.9,8.6,14.1,10.2,4.699999999999999,7.300000000000006,10.800000000000006
ITE2,Umbria,2020,41.5,21.0,99.9,14.8,8.0,99.5,0.09999999999999432,4.0,5.4,1.8,5.2,9.0,7.2,3.4000000000000004,3.9000000000000057,5.300000000000006
ITE3,Marche,2020,41.4,21.5,99.8,12.0,8.0,99.1,0.20000000000000284,5.1,8.2,2.2,5.7,11.0,8.8,3.5,4.899999999999997,7.9999999999999964
ITE4,Lazio,2020,41.3,21.2,99.9,10.2,8.0,94.9,0.09999999999999432,5.4,8.3,3.1,8.3,9.6,6.5,5.200000000000001,5.300000000000006,8.200000000000006
ITF1,Abruzzo,2020,47.4,19.7,99.9,8.0,8.0,99.4,0.09999999999999432,5.6,8.7,2.9,8.1,11.6,8.7,5.199999999999999,5.500000000000005,8.600000000000005
ITF2,Molise,2020,35.9,18.1,99.9,4.0,8.0,100.0,0.09999999999999432,4.3,6.9,2.1,5.8,8.5,6.4,3.6999999999999997,4.2000000000000055,6.800000000000006
ITF3,Campania,2020,40.3,19.7,99.8,2.9,8.0,99.0,0.20000000000000284,6.1,11.0,2.7,8.8,10.6,7.8999999999999995,6.1000000000000005,5.899999999999997,10.799999999999997
ITF4,Puglia,2020,39.6,21.4,99.8,3.2,8.0,99.5,0.20000000000000284,5.7,8.8,2.0,7.3,12.1,10.1,5.3,5.499999999999997,8.599999999999998
ITF5,Basilicata,2020,28.8,18.1,99.9,3.9,8.0,100.0,0.09999999999999432,4.5,7.3,2.4,5.2,8.5,6.1,2.8000000000000003,4.400000000000006,7.2000000000000055
ITF6,Calabria,2020,41.2,18.2,99.8,4.7,8.0,99.3,0.20000000000000284,5.9,9.8,2.1,7.6,12.5,10.4,5.5,5.6999999999999975,9.599999999999998
ITG1,Sicilia,2020,49.9,19.8,99.6,3.8,7.0,99.1,0.4000000000000057,6.9,10.1,3.2,9.3,12.8,9.600000000000001,6.1000000000000005,6.499999999999995,9.699999999999994
ITG2,Sardegna,2020,46.5,18.1,99.8,2.7,8.0,98.5,0.20000000000000284,11.4,15.5,6.3,15.4,17.8,11.5,9.100000000000001,11.199999999999998,15.299999999999997
ITC1,Piemonte,2021,39.9,20.9,99.8,14.3,8.0,94.6,0.20000000000000284,0.7,1.2,0.2,0.9,1.5,1.3,0.7,0.4999999999999971,0.9999999999999971
ITC2,Valle d'Aosta / Vallée d'Aoste,2021,33.9,20.5,99.4,6.2,7.0,96.0,0.5999999999999943,0.6,0.9,0.3,1.1,0.8,0.5,0.8,5.662137425588298e-15,0.3000000000000057
ITC3,Liguria,2021,47.9,21.5,99.8,13.8,8.0,95.9,0.20000000000000284,1.0,1.3,0.4,1.0,2.6,2.2,0.6,0.7999999999999972,1.0999999999999972
ITC4,Lombardia,2021,51.6,21.7,99.8,16.9,8.0,91.1,0.20000000000000284,0.6,1.1,0.2,0.6,1.8,1.6,0.39999999999999997,0.39999999999999714,0.8999999999999972
ITD1,Provincia Autonoma Bolzano / Bozen,2021,0.0,19.9,100.0,12.8,8.0,94.0,0.0,1.1,1.9,0.7,1.5,2.4,1.7,0.8,1.1,1.9
ITD2,Provincia Autonoma Trento,2021,46.1,21.0,99.9,12.4,8.0,92.2,0.09999999999999432,0.9,0.6,0.5,1.4,2.6,2.1,0.8999999999999999,0.8000000000000057,0.5000000000000057
ITD3,Veneto,2021,37.8,21.3,99.8,15.0,8.0,94.8,0.20000000000000284,0.5,0.7,0.2,0.4,1.2,1.0,0.2,0.29999999999999716,0.4999999999999971
ITD4,Friuli-Venezia Giulia,2021,34.9,20.1,99.9,13.6,8.0,95.8,0.09999999999999432,0.6,0.9,0.2,0.6,1.8,1.6,0.39999999999999997,0.5000000000000057,0.8000000000000057
ITD5,Emilia-Romagna,2021,40.1,22.4,99.8,17.2,8.0,95.4,0.20000000000000284,0.6,0.8,0.3,0.5,1.4,1.0999999999999999,0.2,0.39999999999999714,0.5999999999999972
ITDA,Trentino Alto Adige / Südtirol,2021,22.5,20.4,100.0,12.6,8.0,93.1,0.0,1.0,1.2,0.6,1.5,2.5,1.9,0.9,1.0,1.2
ITE1,Toscana,2021,40.6,21.8,99.8,15.4,8.0,98.1,0.20000000000000284,1.2,1.4,0.4,0.9,4.0,3.6,0.5,0.9999999999999971,1.199999999999997
ITE2,Umbria,2021,43.2,20.9,99.8,14.8,8.0,99.4,0.20000000000000284,0.5,0.6,0.2,0.4,1.7,1.5,0.2,0.29999999999999716,0.39999999999999714
ITE3,Marche,2021,39.3,21.3,99.7,12.2,8.0,99.2,0.29999999999999716,0.9,1.0,0.2,0.8,2.7,2.5,0.6000000000000001,0.6000000000000029,0.7000000000000028
ITE4,Lazio,2021,43.7,21.1,99.9,10.4,8.0,94.8,0.09999999999999432,0.8,1.1,0.2,1.5,2.4,2.1999999999999997,1.3,0.7000000000000057,1.0000000000000058
ITF1,Abruzzo,2021,45.2,19.7,99.8,8.1,8.0,99.6,0.20000000000000284,0.8,1.2,0.3,1.1,2.3,1.9999999999999998,0.8,0.5999999999999972,0.9999999999999971
ITF2,Molise,2021,39.8,17.8,99.7,3.9,8.0,100.0,0.29999999999999716,0.5,1.2,0.2,0.4,1.4,1.2,0.2,0.20000000000000284,0.9000000000000028
ITF3,Campania,2021,41.0,19.5,99.7,3.0,8.0,99.0,0.29999999999999716,1.7,3.1,0.6,2.4,3.7,3.1,1.7999999999999998,1.4000000000000028,2.800000000000003
ITF4,Puglia,2021,39.9,21.1,99.9,3.4,8.0,99.5,0.09999999999999432,1.4,1.9,0.3,1.3,4.2,3.9000000000000004,1.0,1.3000000000000056,1.8000000000000056
ITF5,Basilicata,2021,29.7,18.0,99.9,3.9,8.0,100.0,0.09999999999999432,0.9,1.3,0.3,1.2,1.9,1.5999999999999999,0.8999999999999999,0.8000000000000057,1.2000000000000057
ITF6,Calabria,2021,40.2,17.9,99.9,4.7,8.0,99.3,0.09999999999999432,2.0,3.7,0.4,2.3,5.5,5.1,1.9,1.9000000000000057,3.600000000000006
ITG1,Sicilia,2021,51.8,19.6,99.8,3.8,8.0,99.1,0.20000000000000284,1.8,3.3,0.5,2.4,4.5,4.0,1.9,1.5999999999999972,3.099999999999997
ITG2,Sardegna,2021,48.5,17.9,99.8,2.8,8.0,98.7,0.20000000000000284,1.7,2.1,0.6,2.3,4.0,3.4,1.6999999999999997,1.4999999999999971,1.8999999999999972
ITC1,Piemonte,2022,40.4,20.7,99.9,14.3,8.0,94.5,0.09999999999999432,6.6,8.1,3.6,8.4,11.4,7.800000000000001,4.800000000000001,6.500000000000005,8.000000000000005
ITC2,Valle d'Aosta / Vallée d'Aoste,2022,45.4,19.7,99.8,6.4,8.0,96.2,0.20000000000000284,7.4,9.8,6.1,11.9,6.9,0.8000000000000007,5.800000000000001,7.1999999999999975,9.599999999999998
ITC3,Liguria,2022,47.2,20.9,99.9,13.9,8.0,95.7,0.09999999999999432,7.7,8.5,3.9,9.9,14.3,10.4,6.0,7.600000000000006,8.400000000000006
ITC4,Lombardia,2022,53.4,21.5,99.9,16.6,8.0,90.9,0.09999999999999432,6.8,8.2,3.8,8.8,10.8,7.000000000000001,5.000000000000001,6.7000000000000055,8.100000000000005
ITD1,Provincia Autonoma Bolzano / Bozen,2022,,17.7,100.0,13.4,8.0,94.0,0.0,6.6,8.6,4.3,9.0,10.0,5.7,4.7,6.6,8.6
ITD2,Provincia Autonoma Trento,2022,46.0,19.2,99.9,12.9,8.0,92.4,0.09999999999999432,5.3,5.6,3.4,7.7,11.6,8.2,4.300000000000001,5.2000000000000055,5.500000000000005
ITD3,Veneto,2022,38.4,21.0,99.9,14.7,8.0,94.9,0.09999999999999432,6.3,7.5,3.4,7.7,10.2,6.799999999999999,4.300000000000001,6.2000000000000055,7.400000000000006
ITD4,Friuli-Venezia Giulia,2022,35.8,19.8,99.9,13.7,8.0,95.7,0.09999999999999432,6.7,7.5,3.3,8.6,12.9,9.600000000000001,5.3,6.600000000000006,7.400000000000006
ITD5,Emilia-Romagna,2022,40.2,22.2,99.9,16.9,8.0,95.3,0.09999999999999432,7.5,8.7,3.7,9.1,13.1,9.399999999999999,5.3999999999999995,7.400000000000006,8.600000000000005
ITDA,Trentino Alto Adige / Südtirol,2022,22.6,18.4,100.0,13.2,8.0,93.2,0.0,5.9,7.1,3.8,8.3,10.6,6.8,4.500000000000001,5.9,7.1
ITE1,Toscana,2022,41.2,21.4,99.9,15.2,8.0,98.1,0.09999999999999432,8.1,8.7,4.2,9.6,15.6,11.399999999999999,5.3999999999999995,8.000000000000005,8.600000000000005
ITE2,Umbria,2022,44.4,20.4,99.9,14.2,8.0,99.3,0.09999999999999432,3.9,3.9,1.4,5.0,9.9,8.5,3.6,3.8000000000000056,3.8000000000000056
ITE3,Marche,2022,39.9,20.9,99.8,11.8,8.0,99.3,0.20000000000000284,6.0,6.4,2.6,6.5,14.2,11.6,3.9,5.799999999999997,6.1999999999999975
ITE4,Lazio,2022,45.2,20.7,99.9,10.4,8.0,94.7,0.09999999999999432,5.3,5.7,2.8,8.7,10.9,8.100000000000001,5.8999999999999995,5.2000000000000055,5.600000000000006
ITF1,Abruzzo,2022,45.5,19.5,99.9,8.1,8.0,99.7,0.09999999999999432,5.9,6.4,2.4,8.8,15.2,12.799999999999999,6.4,5.800000000000006,6.300000000000006
ITF2,Molise,2022,37.4,16.6,99.9,4.0,8.0,100.0,0.09999999999999432,4.5,4.5,1.8,6.7,9.4,7.6000000000000005,4.9,4.400000000000006,4.400000000000006
ITF3,Campania,2022,42.5,19.0,99.9,3.1,8.0,98.9,0.09999999999999432,6.0,7.2,2.2,8.4,12.0,9.8,6.2,5.900000000000006,7.100000000000006
ITF4,Puglia,2022,41.6,20.6,99.9,3.3,8.0,99.5,0.09999999999999432,5.9,6.1,1.8,7.9,13.3,11.5,6.1000000000000005,5.800000000000006,6.000000000000005
ITF5,Basilicata,2022,30.8,17.3,100.0,3.9,8.0,100.0,0.0,5.0,4.3,1.7,6.3,11.9,10.200000000000001,4.6,5.0,4.3
ITF6,Calabria,2022,40.5,17.1,100.0,4.5,8.0,99.2,0.0,6.2,7.3,1.7,8.2,15.0,13.3,6.499999999999999,6.2,7.3
ITG1,Sicilia,2022,52.5,18.9,99.9,3.7,8.0,99.1,0.09999999999999432,7.4,7.1,3.3,10.0,15.5,12.2,6.7,7.300000000000006,7.000000000000005
ITG2,Sardegna,2022,50.9,17.6,100.0,2.9,8.0,98.8,0.0,11.9,10.5,6.3,16.6,19.7,13.399999999999999,10.3,11.9,10.5
ITC1,Piemonte,2023,42.0,20.6,99.9,14.7,8.0,94.4,0.09999999999999432,6.0,8.7,3.2,7.6,11.1,7.8999999999999995,4.3999999999999995,5.900000000000006,8.600000000000005
ITC2,Valle d'Aosta / Vallée d'Aoste,2023,46.3,19.4,99.7,6.8,7.0,96.3,0.29999999999999716,2.7,4.1,1.0,4.4,3.9,2.9,3.4000000000000004,2.400000000000003,3.8000000000000025
ITC3,Liguria,2023,50.1,21.0,99.8,14.6,8.0,95.8,0.20000000000000284,6.6,9.5,3.5,7.7,13.3,9.8,4.2,6.399999999999997,9.299999999999997
ITC4,Lombardia,2023,57.0,21.3,99.9,17.0,8.0,90.7,0.09999999999999432,6.0,9.2,3.3,7.6,10.6,7.3,4.3,5.900000000000006,9.100000000000005
