year,sector,sector_label,isced11,level_label,nominal_million_eur,nominal_eur,series_group,cpi_index,real_base_year_eur,real_base_year,per_student_eur,population_reference,source_file,note,academic_year,aggregation_label,avg_tuition_all_students_eur,avg_tuition_payers_eur
2018,TOT_SEC,Total,ED02-8,Pre-primary to tertiary education,79648.0,79648000000.0,eurostat_level_history,109.951520340534,88209997718.01152,2022,,,educ_uoe_fini01$defaultview_linear_2_0.csv,Historical institution expenditure by level and sector from Eurostat UOE,,,,
2019,PRIV,Private institutions,ED02-8,Pre-primary to tertiary education,5375.4,5375400000.0,eurostat_level_history,110.623595648239,5917076597.812886,2022,,,educ_uoe_fini01$defaultview_linear_2_0.csv,Historical institution expenditure by level and sector from Eurostat UOE,,,,
2019,PUBL,Public institutions,ED02-8,Pre-primary to tertiary education,73987.2,73987200000.0,eurostat_level_history,110.623595648239,81442856281.8956,2022,,,educ_uoe_fini01$defaultview_linear_2_0.csv,Historical institution expenditure by level and sector from Eurostat UOE,,,,
2019,TOT_SEC,Total,ED02-8,Pre-primary to tertiary education,79362.7,79362700000.0,eurostat_level_history,110.623595648239,87360042956.66272,2022,,,educ_uoe_fini01$defaultview_linear_2_0.csv,Historical institution expenditure by level and sector from Eurostat UOE,,,,
2020,PRIV,Private institutions,ED02-8,Pre-primary to tertiary education,5280.7,5280700000.0,eurostat_level_history,110.471258578492,5820849472.745007,2022,,,educ_uoe_fini01$defaultview_linear_2_0.csv,Historical institution expenditure by level and sector from Eurostat UOE,,,,
2020,PUBL,Public institutions,ED02-8,Pre-primary to tertiary education,73270.9,73270900000.0,eurostat_level_history,110.471258578492,80765595400.71431,2022,,,educ_uoe_fini01$defaultview_linear_2_0.csv,Historical institution expenditure by level and sector from Eurostat UOE,,,,
2020,TOT_SEC,Total,ED02-8,Pre-primary to tertiary education,78551.6,78551600000.0,eurostat_level_history,110.471258578492,86586444873.45932,2022,,,educ_uoe_fini01$defaultview_linear_2_0.csv,Historical institution expenditure by level and sector from Eurostat UOE,,,,
2021,PRIV,Private institutions,ED02-8,Pre-primary to tertiary education,5819.7,5819700000.0,eurostat_level_history,112.541250526224,6296990468.986383,2022,,,educ_uoe_fini01$defaultview_linear_2_0.csv,Historical institution expenditure by level and sector from Eurostat UOE,,,,
2021,PUBL,Public institutions,ED02-8,Pre-primary to tertiary education,76932.2,76932200000.0,eurostat_level_history,112.541250526224,83241632757.38513,2022,,,educ_uoe_fini01$defaultview_linear_2_0.csv,Historical institution expenditure by level and sector from Eurostat UOE,,,,
2021,TOT_SEC,Total,ED02-8,Pre-primary to tertiary education,82751.9,82751900000.0,eurostat_level_history,112.541250526224,89538623226.3715,2022,,,educ_uoe_fini01$defaultview_linear_2_0.csv,Historical institution expenditure by level and sector from Eurostat UOE,,,,
2022,PRIV,Private institutions,ED02-8,Pre-primary to tertiary education,5860.2,5860200000.0,eurostat_level_history,121.771084752039,5860200000.0,2022,,,educ_uoe_fini01$defaultview_linear_2_0.csv,Historical institution expenditure by level and sector from Eurostat UOE,,,,
2022,PUBL,Public institutions,ED02-8,Pre-primary to tertiary education,80914.6,80914600000.0,eurostat_level_history,121.771084752039,80914600000.0,2022,,,educ_uoe_fini01$defaultview_linear_2_0.csv,Historical institution expenditure by level and sector from Eurostat UOE,,,,
2022,TOT_SEC,Total,ED02-8,Pre-primary to tertiary education,86774.8,86774800000.0,eurostat_level_history,121.771084752039,86774800000.0,2022,,,educ_uoe_fini01$defaultview_linear_2_0.csv,Historical institution expenditure by level and sector from Eurostat UOE,,,,
2020,PUBL_LEDGER_PROXY,School ledger proxy,SCHOOL_ALL,School system all levels,21.47198005,21471980.05,siope_school_proxy,110.471258578492,23668294.686847158,2022,3.2954531927648527,School students total from ministry_students_by_region_order_2024_25.csv (2024/25 stock),siope_school_expenditure_summary.csv,School-ledger expenditure proxy; comparable within SIOPE but not directly additive to Eurostat institutional totals,,,,
2021,PUBL_LEDGER_PROXY,School ledger proxy,SCHOOL_ALL,School system all levels,41.57128633,41571286.33,siope_school_proxy,112.541250526224,44980668.04191177,2022,6.380232654116143,School students total from ministry_students_by_region_order_2024_25.csv (2024/25 stock),siope_school_expenditure_summary.csv,School-ledger expenditure proxy; comparable within SIOPE but not directly additive to Eurostat institutional totals,,,,
2022,PUBL_LEDGER_PROXY,School ledger proxy,SCHOOL_ALL,School system all levels,51.99501412,51995014.12,siope_school_proxy,121.771084752039,51995014.12,2022,7.980034206934148,School students total from ministry_students_by_region_order_2024_25.csv (2024/25 stock),siope_school_expenditure_summary.csv,School-ledger expenditure proxy; comparable within SIOPE but not directly additive to Eurostat institutional totals,,,,
2023,PUBL_LEDGER_PROXY,School ledger proxy,SCHOOL_ALL,School system all levels,125.0623938,125062393.8,siope_school_proxy,128.617291886527,118405411.36683623,2022,19.19419000871442,School students total from ministry_students_by_region_order_2024_25.csv (2024/25 stock),siope_school_expenditure_summary.csv,School-ledger expenditure proxy; comparable within SIOPE but not directly additive to Eurostat institutional totals,,,,
2024,PUBL_LEDGER_PROXY,School ledger proxy,SCHOOL_ALL,School system all levels,357.02274542000004,357022745.42,siope_school_proxy,129.880793465012,334730377.22591376,2022,54.794748483571375,School students total from ministry_students_by_region_order_2024_25.csv (2024/25 stock),siope_school_expenditure_summary.csv,School-ledger expenditure proxy; comparable within SIOPE but not directly additive to Eurostat institutional totals,,,,
2025,PUBL_LEDGER_PROXY,School ledger proxy,SCHOOL_ALL,School system all levels,658.39346113,658393461.13,siope_school_proxy,,,2022,101.0481953002914,School students total from ministry_students_by_region_order_2024_25.csv (2024/25 stock),siope_school_expenditure_summary.csv,School-ledger expenditure proxy; comparable within SIOPE but not directly additive to Eurostat institutional totals,,,,
2026,PUBL_LEDGER_PROXY,School ledger proxy,SCHOOL_ALL,School system all levels,274.01558568,274015585.68,siope_school_proxy,,,2022,42.05506593214663,School students total from ministry_students_by_region_order_2024_25.csv (2024/25 stock),siope_school_expenditure_summary.csv,School-ledger expenditure proxy; comparable within SIOPE but not directly additive to Eurostat institutional totals,,,,
2023,HOUSEHOLD_TUITION_PROXY,Household tuition proxy,ED6-8,Tertiary education,0.00149461,1494.61,university_tuition_proxy,128.617291886527,1415.052970807497,2022,1494.61,Average tuition per enrolled student from national MUR benchmark,italy_mur_tuition_benchmark_2024.csv,Micro-cost proxy rather than full tertiary expenditure,2023-2024,Totale Italia,1494.61,2160.32
2023,HOUSEHOLD_TUITION_PROXY,Household tuition proxy,ED6-8,Tertiary education,0.00094314,943.14,university_tuition_proxy,128.617291886527,892.9373273880027,2022,943.14,Average tuition per enrolled student from national MUR benchmark,italy_mur_tuition_benchmark_2024.csv,Micro-cost proxy rather than full tertiary expenditure,2023-2024,Totale Atenei Statali,943.14,1492.59
