COD_ATENEO,NOME_ATENEO,ISCRITTI_LAUREA,ISCRITTI_DOTTORATO,ISCRITTI_SPECIALIZZAZIONE,ISCRITTI_MASTER,TASSA_MEDIA_PAGANTI_LAUREA,TASSA_MEDIA_TOTALE_ISCRITTI_LAUREA
5815,Roma - Università telematica Niccolò Cusano (già UNISU),18579.0,52.0,0.0,2949.0,"3138,15","3138,15"
3201,Trieste - Università degli studi,17265.0,523.0,572.0,324.0,"1670,32","1086,96"
2201,Trento - Università degli studi,16959.0,848.0,48.0,110.0,"1571,61","1209,83"
1701,Brescia - Università degli studi,16872.0,356.0,1186.0,152.0,"1642,07","1203,73"
6601,L'Aquila - Università degli studi,16523.0,380.0,506.0,128.0,"717,18","525,48"
4201,Ancona - Università Politecnica delle Marche,15728.0,355.0,680.0,176.0,"1352,47","859,58"
5201,Siena - Università degli studi,14930.0,628.0,630.0,473.0,"1598,88","1130,24"
6302,"Napoli - Università degli studi ""Parthenope""",14743.0,237.0,40.0,344.0,"1490,77","610,23"
3001,Udine - Università degli studi,14443.0,309.0,525.0,600.0,"1707,05","1199,28"
5816,"Roma - Università telematica ""San Raffaele"" - già ""UNITEL""",14185.0,20.0,0.0,1294.0,"2321,04","2312,91"
1503,"Milano - Università commerciale ""Luigi Bocconi""",13933.0,173.0,0.0,1750.0,"14930,76","12842,67"
201,"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""",13820.0,247.0,580.0,176.0,"1590,48","1038,04"
4101,"Urbino - Università degli studi ""Carlo Bo""",13101.0,170.0,0.0,458.0,"1530,49","900,01"
7101,Foggia - Università degli studi,13012.0,73.0,2.0,42.0,"1017,89","520,85"
5805,Roma - Luiss Libera Università internazionale degli studi sociali Guido Carli,11720.0,124.0,0.0,2089.0,"11958,65","10552,83"
7901,"Catanzaro - Università degli studi ""Magna Grecia""",11712.0,261.0,767.0,471.0,"1171,62","514,68"
9001,Sassari - Università degli studi,11454.0,235.0,361.0,80.0,"822,77","493,77"
1202,Varese - Università dell' Insubria,10859.0,239.0,594.0,177.0,"2378,49","1730,58"
7202,Bari - Politecnico,10410.0,398.0,7.0,40.0,"1068,17","691,78"
5813,"Roma - Università telematica internazionale ""UNINETTUNO""",10096.0,34.0,0.0,638.0,"1628,55","1100,91"
4301,Macerata - Università degli studi,9026.0,207.0,79.0,142.0,"1037,31","662,16"
6304,"Napoli - Università degli studi ""Suor Orsola Benincasa""",8998.0,36.0,108.0,3717.0,"3204,94","2213,71"
5803,Roma - Libera Università Maria SS.Assunta (LUMSA),8848.0,89.0,0.0,1001.0,"4563,6","3961,42"
6303,"Napoli - Università degli studi ""L' Orientale""",8455.0,114.0,0.0,70.0,"744,77","431,9"
1505,Milano - Libera Università di Lingue e Comunicazione (IULM),7938.0,59.0,0.0,342.0,"7151,78","6376,07"
5601,Viterbo - Università della Tuscia,7763.0,269.0,58.0,115.0,"1019,27","634,48"
6001,Cassino - Università degli Studi di Cassino e del Lazio Meridionale,7249.0,122.0,0.0,163.0,"1165,98","548,55"
7001,Campobasso - Università degli studi del Molise,6695.0,150.0,86.0,217.0,"1314,12","797,39"
4302,Camerino - Università degli studi,6131.0,322.0,168.0,508.0,"1395,98","809,86"
1508,Milano - Università Vita-Salute San Raffaele,6079.0,181.0,955.0,211.0,"13923,4","13234,78"
5811,"Roma - Università telematica ""Unitelma Sapienza""",5875.0,0.0,0.0,6204.0,"1284,06","1272,62"
8601,"Enna - Libera Università della Sicilia Centrale ""KORE""",5654.0,110.0,68.0,30.0,"4688,73","3677,98"
7601,Potenza - Università degli studi della Basilicata,5037.0,139.0,36.0,87.0,"1131,95","729,63"
8001,Reggio Calabria - Università degli studi Mediterranea,5003.0,87.0,14.0,62.0,"1198,26","567,25"
2702,Venezia - Università IUAV,4715.0,114.0,26.0,102.0,"2297,01","1624,24"
6701,Teramo - Università degli studi,4660.0,125.0,210.0,330.0,"1315,66","826,96"
6201,Benevento - Università degli studi del Sannio,3734.0,115.0,0.0,73.0,"1352,2","711,54"
5818,Roma - Saint Camillus International,3438.0,0.0,1.0,5209.0,"13954,53","13954,53"
2101,Bolzano - Libera Università,3363.0,257.0,0.0,32.0,"1217,58","923,21"
5808,"Roma - Università ""Campus Bio-Medico""",3252.0,226.0,613.0,297.0,"10292,27","9322,84"
6202,"Benevento - Università telematica ""Giustino Fortunato""",2542.0,0.0,0.0,1015.0,"2689,78","2684,17"
7203,"Casamassima - Libera Università Mediterranea ""Giuseppe Degennaro""",2447.0,28.0,3.0,1105.0,"7749,4","7403,11"
5806,"Roma - Università degli studi del ""Foro Italico""",2437.0,39.0,0.0,0.0,"1211,22","854,2"
5812,Roma - Università Europea,2400.0,24.0,0.0,124.0,"5301,25",5256
1201,"Castellanza - Università ""Carlo Cattaneo""",2349.0,26.0,0.0,137.0,"7271,87","6913,89"
1510,Rozzano (MI) - Humanitas University,2141.0,126.0,447.0,48.0,"13276,28","13178,21"
4804,"Firenze - Università telematica ""Italian University line""",1846.0,0.0,0.0,37.0,"1653,21","1579,21"
5202,Siena - Università per stranieri,1547.0,42.0,41.0,52.0,"1370,68","878,38"
5817,Roma - Link Campus University,1445.0,21.0,0.0,63.0,"9660,38","8979,89"
5809,Roma - Università degli Studi Internazionali  UNINT,1201.0,21.0,0.0,244.0,"5898,55","4973,86"
701,Aosta - Università degli studi,1063.0,0.0,0.0,39.0,"1518,18","1213,71"
5403,Perugia - Università per stranieri,1023.0,36.0,0.0,69.0,"914,21","413,49"
6902,"Torrevecchia Teatina (CH) - Università telematica ""Leonardo da Vinci""",578.0,26.0,0.0,557.0,"1564,1","1536,03"
401,Bra (CN) - Università di Scienze Gastronomiche,298.0,22.0,0.0,90.0,"13161,46","11984,77"
8003,Reggio Calabria - Università per Stranieri,189.0,0.0,0.0,0.0,"1010,05","840,09"
3202,Trieste - Scuola internazionale superiore di studi avanzati,0.0,320.0,0.0,0.0,,
1802,Pavia - Istituto universitario di studi superiori,0.0,393.0,0.0,0.0,,
4601,Lucca - Scuola IMT Alti Studi,0.0,295.0,0.0,0.0,,
5002,Pisa - Scuola normale superiore,0.0,435.0,0.0,0.0,,
5819,Roma - CASD - Centro Alti Studi per la Difesa,0.0,24.0,0.0,17.0,,
5003,"Pisa - Scuola superiore studi universitari e perfezionamento ""S. Anna""",0.0,348.0,0.0,137.0,,
6308,Napoli - Scuola Superiore Meridionale,0.0,137.0,0.0,0.0,,
6603,L'Aquila - Gran Sasso Science Institute,0.0,159.0,0.0,0.0,,
