REF_AREA,REF_AREA_LABEL,TIME_PERIOD,lower_disability_per_1000_t_minus_1,lower_class_size_t_minus_1,lower_exam_success_t_minus_1,lower_foreign_share_t_minus_1,lower_median_grade_t_minus_1,lower_public_share_t_minus_1,lower_exam_failure_t_minus_1,upper_repeaters_all_t,upper_repeaters_fir_t,upper_lic_t,upper_tec_t,upper_voc_t,upper_voc_minus_lic_t,upper_tec_minus_lic_t,transition_jump_all_t,transition_jump_fir_t
àIàTàDà1à,àPàràoàvàiànàcàiàaà àAàuàtàoànàoàmàaà àBàoàlàzàaànàoà à/à àBàoàzàeànà,2017,46.6,19.7,99.9,10.3,8.0,94.3,0.1,6.6,13.3,3.4,7.7,9.4,6.0,4.3,6.5,13.2
àIàTàDà2à,àPàràoàvàiànàcàiàaà àAàuàtàoànàoàmàaà àTàràeànàtàoà,2017,46.3,21.5,99.8,11.6,8.0,92.3,0.2,5.7,8.6,3.4,7.7,9.4,6.0,4.3,5.5,8.4
àIàTàDà3à,àVàeànàeàtàoà,2017,36.3,21.4,99.8,12.8,7.0,95.2,0.2,5.6,10.0,3.4,7.7,9.4,6.0,4.3,5.4,9.8
àIàTàDà4à,àFàràiàuàlàià-àVàeànàeàzàiàaà àGàiàuàlàiàaà,2017,31.5,20.4,99.7,11.3,7.0,95.9,0.3,6.4,11.1,3.4,7.7,9.4,6.0,4.3,6.1,10.8
àIàTàDà5à,àEàmàiàlàiàaà-àRàoàmàaàgànàaà,2017,36.0,22.5,99.9,15.3,7.0,95.9,0.1,6.5,11.2,3.4,7.7,9.4,6.0,4.3,6.4,11.1
àIàTàDàAà,àTàràeànàtàiànàoà àAàlàtàoà àAàdàiàgàeà à/à àSàüàdàtàiàràoàlà,2017,23.0,20.5,99.9,11.0,8.0,93.3,0.1,6.1,10.9,3.4,7.7,9.4,6.0,4.3,6.0,10.8
àIàTàEà1à,àTàoàsàcàaànàaà,2017,34.0,22.1,99.9,13.9,7.0,98.0,0.1,7.3,11.8,3.4,7.7,9.4,6.0,4.3,7.2,11.7
àIàTàEà2à,àUàmàbàràiàaà,2017,41.0,20.8,100.0,14.4,8.0,99.3,0.0,4.3,6.7,3.4,7.7,9.4,6.0,4.3,4.3,6.7
àIàTàEà3à,àMàaàràcàhàeà,2017,38.2,21.6,99.8,11.8,7.0,99.2,0.2,5.2,9.1,3.4,7.7,9.4,6.0,4.3,5.0,8.9
àIàTàEà4à,àLàaàzàiàoà,2017,42.0,21.1,99.8,10.0,8.0,95.0,0.2,6.0,9.5,3.4,7.7,9.4,6.0,4.3,5.8,9.3
àIàTàFà1à,àAàbàràuàzàzàoà,2017,47.9,19.9,99.8,7.8,8.0,99.2,0.2,5.8,9.6,3.4,7.7,9.4,6.0,4.3,5.6,9.4
àIàTàFà2à,àMàoàlàiàsàeà,2017,39.0,18.7,99.9,4.3,8.0,100.0,0.1,4.0,6.1,3.4,7.7,9.4,6.0,4.3,3.9,6.0
àIàTàFà3à,àCàaàmàpàaànàiàaà,2017,36.3,20.4,99.7,2.4,7.0,98.8,0.3,6.7,12.7,3.4,7.7,9.4,6.0,4.3,6.4,12.4
àIàTàFà4à,àPàuàgàlàiàaà,2017,34.8,22.0,99.9,2.9,8.0,99.5,0.1,6.1,10.5,3.4,7.7,9.4,6.0,4.3,6.0,10.4
àIàTàFà5à,àBàaàsàiàlàiàcàaàtàaà,2017,27.1,18.9,99.9,3.7,8.0,100.0,0.1,5.3,8.7,3.4,7.7,9.4,6.0,4.3,5.2,8.6
àIàTàFà6à,àCàaàlàaàbàràiàaà,2017,33.2,18.5,99.8,4.4,8.0,99.2,0.2,5.9,10.6,3.4,7.7,9.4,6.0,4.3,5.7,10.4
àIàTàGà1à,àSàiàcàiàlàiàaà,2017,41.6,20.5,99.6,3.6,7.0,99.0,0.4,7.5,12.4,3.4,7.7,9.4,6.0,4.3,7.1,12.0
àIàTàGà2à,àSàaàràdàeàgànàaà,2017,39.8,18.6,99.6,2.8,7.0,98.6,0.4,11.5,17.5,3.4,7.7,9.4,6.0,4.3,11.1,17.1
àIàTàCà1à,àPàiàeàmàoànàtàeà,2018,35.8,21.2,99.8,13.0,7.0,95.3,0.2,6.6,11.0,3.4,7.7,9.4,6.0,4.3,6.4,10.8
àIàTàCà2à,àVàaàlàlàeà àdà'àAàoàsàtàaà à/à àVàaàlàlàéàeà àdà'àAàoàsàtàeà,2018,29.7,21.5,99.8,6.2,7.0,100.0,0.2,5.7,8.8,3.4,7.7,9.4,6.0,4.3,5.5,8.6
àIàTàCà3à,àLàiàgàuàràiàaà,2018,43.6,21.3,99.8,12.3,8.0,95.5,0.2,7.1,11.0,3.4,7.7,9.4,6.0,4.3,6.9,10.8
àIàTàCà4à,àLàoàmàbàaàràdàiàaà,2018,47.6,21.8,99.9,14.8,7.0,91.4,0.1,6.5,11.1,3.4,7.7,9.4,6.0,4.3,6.4,11.0
àIàTàDà1à,àPàràoàvàiànàcàiàaà àAàuàtàoànàoàmàaà àBàoàlàzàaànàoà à/à àBàoàzàeànà,2018,45.75,19.7,99.9,10.7,6.0,100.0,0.1,6.9,13.2,3.4,7.7,9.4,6.0,4.3,6.8,13.1
àIàTàDà2à,àPàràoàvàiànàcàiàaà àAàuàtàoànàoàmàaà àTàràeànàtàoà,2018,43.9,21.4,99.9,11.5,8.0,100.0,0.1,6.3,8.9,3.4,7.7,9.4,6.0,4.3,6.2,8.8
àIàTàDà3à,àVàeànàeàtàoà,2018,35.4,21.4,99.8,13.1,7.0,95.1,0.2,5.8,9.8,3.4,7.7,9.4,6.0,4.3,5.6,9.6
àIàTàDà4à,àFàràiàuàlàià-àVàeànàeàzàiàaà àGàiàuàlàiàaà,2018,34.6,20.4,99.8,11.6,7.0,96.0,0.2,6.8,10.8,3.4,7.7,9.4,6.0,4.3,6.6,10.6
àIàTàDà5à,àEàmàiàlàiàaà-àRàoàmàaàgànàaà,2018,36.1,22.3,99.9,15.6,8.0,95.8,0.1,6.6,11.3,3.4,7.7,9.4,6.0,4.3,6.5,11.2
àIàTàDàAà,àTàràeànàtàiànàoà àAàlàtàoà àAàdàiàgàeà à/à àSàüàdàtàiàràoàlà,2018,21.6,20.5,99.9,11.1,8.0,100.0,0.1,6.6,11.1,3.4,7.7,9.4,6.0,4.3,6.5,11.0
àIàTàEà1à,àTàoàsàcàaànàaà,2018,35.3,22.0,99.8,14.0,8.0,98.0,0.2,7.8,12.0,3.4,7.7,9.4,6.0,4.3,7.6,11.8
àIàTàEà2à,àUàmàbàràiàaà,2018,42.7,20.9,99.9,14.8,8.0,99.3,0.1,3.9,5.7,3.4,7.7,9.4,6.0,4.3,3.8,5.6
àIàTàEà3à,àMàaàràcàhàeà,2018,39.6,21.6,99.9,11.5,7.0,99.2,0.1,5.4,9.2,3.4,7.7,9.4,6.0,4.3,5.3,9.1
àIàTàEà4à,àLàaàzàiàoà,2018,41.5,21.1,99.8,10.0,8.0,95.0,0.2,6.0,8.9,3.4,7.7,9.4,6.0,4.3,5.8,8.7
àIàTàFà1à,àAàbàràuàzàzàoà,2018,48.7,19.7,99.8,7.9,8.0,99.2,0.2,5.6,9.3,3.4,7.7,9.4,6.0,4.3,5.4,9.1
àIàTàFà2à,àMàoàlàiàsàeà,2018,48.6,18.7,99.8,4.4,8.0,100.0,0.2,4.3,5.9,3.4,7.7,9.4,6.0,4.3,4.1,5.7
àIàTàFà3à,àCàaàmàpàaànàiàaà,2018,38.1,20.2,99.7,2.6,7.0,98.9,0.3,6.7,12.2,3.4,7.7,9.4,6.0,4.3,6.4,11.9
àIàTàFà4à,àPàuàgàlàiàaà,2018,38.0,21.8,99.8,3.0,8.0,99.5,0.2,6.2,10.0,3.4,7.7,9.4,6.0,4.3,6.0,9.8
àIàTàFà5à,àBàaàsàiàlàiàcàaàtàaà,2018,27.6,18.7,99.9,4.2,8.0,100.0,0.1,5.5,8.4,3.4,7.7,9.4,6.0,4.3,5.4,8.3
àIàTàFà6à,àCàaàlàaàbàràiàaà,2018,36.5,18.4,99.7,4.5,8.0,99.2,0.3,5.5,9.5,3.4,7.7,9.4,6.0,4.3,5.2,9.2
àIàTàGà1à,àSàiàcàiàlàiàaà,2018,45.0,20.4,99.5,3.8,7.0,99.0,0.5,7.3,11.4,3.4,7.7,9.4,6.0,4.3,6.8,10.9
àIàTàGà2à,àSàaàràdàeàgànàaà,2018,42.7,18.5,99.6,2.8,7.0,98.5,0.4,11.4,16.0,3.4,7.7,9.4,6.0,4.3,11.0,15.6
àIàTàCà1à,àPàiàeàmàoànàtàeà,2019,37.3,21.0,99.8,13.5,7.0,95.0,0.2,6.2,10.5,3.4,7.7,9.4,6.0,4.3,6.0,10.3
àIàTàCà2à,àVàaàlàlàeà àdà'àAàoàsàtàaà à/à àVàaàlàlàéàeà àdà'àAàoàsàtàeà,2019,30.0,20.3,99.6,5.5,7.0,95.7,0.4,5.1,9.1,3.4,7.7,9.4,6.0,4.3,4.7,8.7
àIàTàCà3à,àLàiàgàuàràiàaà,2019,43.4,21.5,99.6,12.7,7.0,95.6,0.4,7.6,11.7,3.4,7.7,9.4,6.0,4.3,7.2,11.3
àIàTàCà4à,àLàoàmàbàaàràdàiàaà,2019,47.9,21.8,99.9,15.5,7.0,91.3,0.1,6.6,11.1,3.4,7.7,9.4,6.0,4.3,6.5,11.0
àIàTàDà1à,àPàràoàvàiànàcàiàaà àAàuàtàoànàoàmàaà àBàoàlàzàaànàoà à/à àBàoàzàeànà,2019,45.3,19.5,100.0,11.1,6.0,94.0,0.0,6.2,11.7,3.4,7.7,9.4,6.0,4.3,6.2,11.7
àIàTàDà2à,àPàràoàvàiànàcàiàaà àAàuàtàoànàoàmàaà àTàràeànàtàoà,2019,42.7,21.3,99.9,11.9,8.0,92.3,0.1,5.9,8.4,3.4,7.7,9.4,6.0,4.3,5.8,8.3
àIàTàDà3à,àVàeànàeàtàoà,2019,36.3,21.5,99.9,13.7,7.0,94.9,0.1,5.8,9.8,3.4,7.7,9.4,6.0,4.3,5.7,9.7
àIàTàDà4à,àFàràiàuàlàià-àVàeànàeàzàiàaà àGàiàuàlàiàaà,2019,34.7,20.4,99.9,12.2,7.0,95.9,0.1,6.7,10.8,3.4,7.7,9.4,6.0,4.3,6.6,10.7
àIàTàDà5à,àEàmàiàlàiàaà-àRàoàmàaàgànàaà,2019,37.7,22.3,99.9,16.2,7.0,95.6,0.1,6.6,11.1,3.4,7.7,9.4,6.0,4.3,6.5,11.0
àIàTàDàAà,àTàràeànàtàiànàoà àAàlàtàoà àAàdàiàgàeà à/à àSàüàdàtàiàràoàlà,2019,21.0,20.4,100.0,11.5,8.0,93.2,0.0,6.1,10.0,3.4,7.7,9.4,6.0,4.3,6.1,10.0
àIàTàEà1à,àTàoàsàcàaànàaà,2019,36.8,22.0,99.9,14.4,7.0,98.0,0.1,7.6,11.5,3.4,7.7,9.4,6.0,4.3,7.5,11.4
àIàTàEà2à,àUàmàbàràiàaà,2019,41.2,21.0,99.9,14.7,8.0,99.4,0.1,4.0,5.7,3.4,7.7,9.4,6.0,4.3,3.9,5.6
àIàTàEà3à,àMàaàràcàhàeà,2019,39.2,21.6,99.8,11.8,7.0,99.2,0.2,5.3,8.3,3.4,7.7,9.4,6.0,4.3,5.1,8.1
àIàTàEà4à,àLàaàzàiàoà,2019,41.5,21.1,99.8,10.0,8.0,94.9,0.2,5.6,8.6,3.4,7.7,9.4,6.0,4.3,5.4,8.4
àIàTàFà1à,àAàbàràuàzàzàoà,2019,48.4,19.7,99.8,8.0,8.0,99.3,0.2,5.4,8.6,3.4,7.7,9.4,6.0,4.3,5.2,8.4
àIàTàFà2à,àMàoàlàiàsàeà,2019,35.6,18.7,99.8,3.8,7.0,100.0,0.2,4.3,5.8,3.4,7.7,9.4,6.0,4.3,4.1,5.6
àIàTàFà3à,àCàaàmàpàaànàiàaà,2019,38.9,20.0,99.8,2.7,7.0,99.0,0.2,6.6,11.6,3.4,7.7,9.4,6.0,4.3,6.4,11.4
àIàTàFà4à,àPàuàgàlàiàaà,2019,39.0,21.6,99.8,3.0,8.0,99.5,0.2,6.2,9.6,3.4,7.7,9.4,6.0,4.3,6.0,9.4
àIàTàFà5à,àBàaàsàiàlàiàcàaàtàaà,2019,29.0,18.5,99.9,4.2,7.0,100.0,0.1,4.9,8.0,3.4,7.7,9.4,6.0,4.3,4.8,7.9
àIàTàFà6à,àCàaàlàaàbàràiàaà,2019,38.4,18.4,99.8,4.5,8.0,99.3,0.2,5.5,8.7,3.4,7.7,9.4,6.0,4.3,5.3,8.5
àIàTàGà1à,àSàiàcàiàlàiàaà,2019,47.9,20.2,99.6,3.8,7.0,99.1,0.4,7.2,11.4,3.4,7.7,9.4,6.0,4.3,6.8,11.0
àIàTàGà2à,àSàaàràdàeàgànàaà,2019,45.4,18.3,99.7,2.8,7.0,98.5,0.3,11.8,16.5,3.4,7.7,9.4,6.0,4.3,11.5,16.2
àIàTàCà1à,àPàiàeàmàoànàtàeà,2020,38.5,20.9,99.9,13.9,7.0,94.8,0.1,5.9,9.9,3.4,7.7,9.4,6.0,4.3,5.8,9.8
àIàTàCà2à,àVàaàlàlàeà àdà'àAàoàsàtàaà à/à àVàaàlàlàéàeà àdà'àAàoàsàtàeà,2020,28.3,20.3,99.3,6.1,7.0,95.8,0.7,5.1,8.6,4.1,7.5,5.2,1.1,3.4,4.4,7.9
àIàTàCà3à,àLàiàgàuàràiàaà,2020,46.1,21.5,99.8,13.3,8.0,95.5,0.2,7.0,10.9,3.8,8.2,13.1,9.3,4.4,6.8,10.7
àIàTàCà4à,àLàoàmàbàaàràdàiàaà,2020,49.3,21.7,99.9,16.2,7.0,91.2,0.1,6.4,10.8,3.5,8.0,11.0,7.5,4.5,6.3,10.7
àIàTàDà1à,àPàràoàvàiànàcàiàaà àAàuàtàoànàoàmàaà àBàoàlàzàaànàoà à/à àBàoàzàeànà,2020,46.95,19.8,100.0,11.7,8.0,94.0,0.0,5.5,10.5,3.8,7.0,10.0,6.2,3.2,5.5,10.5
àIàTàDà2à,àPàràoàvàiànàcàiàaà àAàuàtàoànàoàmàaà àTàràeànàtàoà,2020,44.6,21.3,99.9,12.4,8.0,92.2,0.1,5.8,9.1,4.1,7.6,10.7,6.6,3.5,5.7,9.0
àIàTàDà3à,àVàeànàeàtàoà,2020,36.0,21.4,99.9,14.3,7.0,94.7,0.1,5.5,9.2,3.0,6.6,8.9,5.9,3.6,5.4,9.1
àIàTàDà4à,àFàràiàuàlàià-àVàeànàeàzàiàaà àGàiàuàlàiàaà,2020,36.5,20.2,99.9,12.8,7.0,95.8,0.1,6.5,10.4,3.4,8.1,11.6,8.2,4.7,6.4,10.3
àIàTàDà5à,àEàmàiàlàiàaà-àRàoàmàaàgànàaà,2020,38.1,22.4,99.9,16.6,7.0,95.6,0.1,6.6,10.7,3.2,7.3,12.2,9.0,4.1,6.5,10.6
àIàTàDàAà,àTàràeànàtàiànàoà àAàlàtàoà àAàdàiàgàeà à/à àSàüàdàtàiàràoàlà,2020,21.7,20.5,100.0,12.1,8.0,93.1,0.0,5.6,9.8,4.0,7.3,10.3,6.3,3.3,5.6,9.8
àIàTàEà1à,àTàoàsàcàaànàaà,2020,37.7,21.9,99.9,14.8,7.0,98.1,0.1,7.4,10.9,3.9,8.6,14.1,10.2,4.7,7.3,10.8
àIàTàEà2à,àUàmàbàràiàaà,2020,41.5,21.0,99.9,14.8,8.0,99.5,0.1,4.0,5.4,1.8,5.2,9.0,7.2,3.4,3.9,5.3
àIàTàEà3à,àMàaàràcàhàeà,2020,41.4,21.5,99.8,12.0,8.0,99.1,0.2,5.1,8.2,2.2,5.7,11.0,8.8,3.5,4.9,8.0
àIàTàEà4à,àLàaàzàiàoà,2020,41.3,21.2,99.9,10.2,8.0,94.9,0.1,5.4,8.3,3.1,8.3,9.6,6.5,5.2,5.3,8.2
àIàTàFà1à,àAàbàràuàzàzàoà,2020,47.4,19.7,99.9,8.0,8.0,99.4,0.1,5.6,8.7,2.9,8.1,11.6,8.7,5.2,5.5,8.6
àIàTàFà2à,àMàoàlàiàsàeà,2020,35.9,18.1,99.9,4.0,8.0,100.0,0.1,4.3,6.9,2.1,5.8,8.5,6.4,3.7,4.2,6.8
àIàTàFà3à,àCàaàmàpàaànàiàaà,2020,40.3,19.7,99.8,2.9,8.0,99.0,0.2,6.1,11.0,2.7,8.8,10.6,7.9,6.1,5.9,10.8
àIàTàFà4à,àPàuàgàlàiàaà,2020,39.6,21.4,99.8,3.2,8.0,99.5,0.2,5.7,8.8,2.0,7.3,12.1,10.1,5.3,5.5,8.6
àIàTàFà5à,àBàaàsàiàlàiàcàaàtàaà,2020,28.8,18.1,99.9,3.9,8.0,100.0,0.1,4.5,7.3,2.4,5.2,8.5,6.1,2.8,4.4,7.2
àIàTàFà6à,àCàaàlàaàbàràiàaà,2020,41.2,18.2,99.8,4.7,8.0,99.3,0.2,5.9,9.8,2.1,7.6,12.5,10.4,5.5,5.7,9.6
àIàTàGà1à,àSàiàcàiàlàiàaà,2020,49.9,19.8,99.6,3.8,7.0,99.1,0.4,6.9,10.1,3.2,9.3,12.8,9.6,6.1,6.5,9.7
àIàTàGà2à,àSàaàràdàeàgànàaà,2020,46.5,18.1,99.8,2.7,8.0,98.5,0.2,11.4,15.5,6.3,15.4,17.8,11.5,9.1,11.2,15.3
àIàTàCà1à,àPàiàeàmàoànàtàeà,2021,39.9,20.9,99.8,14.3,8.0,94.6,0.2,0.7,1.2,0.2,0.9,1.5,1.3,0.7,0.5,1.0
àIàTàCà2à,àVàaàlàlàeà àdà'àAàoàsàtàaà à/à àVàaàlàlàéàeà àdà'àAàoàsàtàeà,2021,33.9,20.5,99.4,6.2,7.0,96.0,0.6,0.6,0.9,0.3,1.1,0.8,0.5,0.8,0.0,0.3
àIàTàCà3à,àLàiàgàuàràiàaà,2021,47.9,21.5,99.8,13.8,8.0,95.9,0.2,1.0,1.3,0.4,1.0,2.6,2.2,0.6,0.8,1.1
àIàTàCà4à,àLàoàmàbàaàràdàiàaà,2021,51.6,21.7,99.8,16.9,8.0,91.1,0.2,0.6,1.1,0.2,0.6,1.8,1.6,0.4,0.4,0.9
àIàTàDà1à,àPàràoàvàiànàcàiàaà àAàuàtàoànàoàmàaà àBàoàlàzàaànàoà à/à àBàoàzàeànà,2021,0.0,19.9,100.0,12.8,8.0,94.0,0.0,1.1,1.9,0.7,1.5,2.4,1.7,0.8,1.1,1.9
àIàTàDà2à,àPàràoàvàiànàcàiàaà àAàuàtàoànàoàmàaà àTàràeànàtàoà,2021,46.1,21.0,99.9,12.4,8.0,92.2,0.1,0.9,0.6,0.5,1.4,2.6,2.1,0.9,0.8,0.5
àIàTàDà3à,àVàeànàeàtàoà,2021,37.8,21.3,99.8,15.0,8.0,94.8,0.2,0.5,0.7,0.2,0.4,1.2,1.0,0.2,0.3,0.5
àIàTàDà4à,àFàràiàuàlàià-àVàeànàeàzàiàaà àGàiàuàlàiàaà,2021,34.9,20.1,99.9,13.6,8.0,95.8,0.1,0.6,0.9,0.2,0.6,1.8,1.6,0.4,0.5,0.8
àIàTàDà5à,àEàmàiàlàiàaà-àRàoàmàaàgànàaà,2021,40.1,22.4,99.8,17.2,8.0,95.4,0.2,0.6,0.8,0.3,0.5,1.4,1.1,0.2,0.4,0.6
àIàTàDàAà,àTàràeànàtàiànàoà àAàlàtàoà àAàdàiàgàeà à/à àSàüàdàtàiàràoàlà,2021,22.5,20.4,100.0,12.6,8.0,93.1,0.0,1.0,1.2,0.6,1.5,2.5,1.9,0.9,1.0,1.2
àIàTàEà1à,àTàoàsàcàaànàaà,2021,40.6,21.8,99.8,15.4,8.0,98.1,0.2,1.2,1.4,0.4,0.9,4.0,3.6,0.5,1.0,1.2
àIàTàEà2à,àUàmàbàràiàaà,2021,43.2,20.9,99.8,14.8,8.0,99.4,0.2,0.5,0.6,0.2,0.4,1.7,1.5,0.2,0.3,0.4
àIàTàEà3à,àMàaàràcàhàeà,2021,39.3,21.3,99.7,12.2,8.0,99.2,0.3,0.9,1.0,0.2,0.8,2.7,2.5,0.6,0.6,0.7
àIàTàEà4à,àLàaàzàiàoà,2021,43.7,21.1,99.9,10.4,8.0,94.8,0.1,0.8,1.1,0.2,1.5,2.4,2.2,1.3,0.7,1.0
àIàTàFà1à,àAàbàràuàzàzàoà,2021,45.2,19.7,99.8,8.1,8.0,99.6,0.2,0.8,1.2,0.3,1.1,2.3,2.0,0.8,0.6,1.0
àIàTàFà2à,àMàoàlàiàsàeà,2021,39.8,17.8,99.7,3.9,8.0,100.0,0.3,0.5,1.2,0.2,0.4,1.4,1.2,0.2,0.2,0.9
àIàTàFà3à,àCàaàmàpàaànàiàaà,2021,41.0,19.5,99.7,3.0,8.0,99.0,0.3,1.7,3.1,0.6,2.4,3.7,3.1,1.8,1.4,2.8
àIàTàFà4à,àPàuàgàlàiàaà,2021,39.9,21.1,99.9,3.4,8.0,99.5,0.1,1.4,1.9,0.3,1.3,4.2,3.9,1.0,1.3,1.8
àIàTàFà5à,àBàaàsàiàlàiàcàaàtàaà,2021,29.7,18.0,99.9,3.9,8.0,100.0,0.1,0.9,1.3,0.3,1.2,1.9,1.6,0.9,0.8,1.2
àIàTàFà6à,àCàaàlàaàbàràiàaà,2021,40.2,17.9,99.9,4.7,8.0,99.3,0.1,2.0,3.7,0.4,2.3,5.5,5.1,1.9,1.9,3.6
àIàTàGà1à,àSàiàcàiàlàiàaà,2021,51.8,19.6,99.8,3.8,8.0,99.1,0.2,1.8,3.3,0.5,2.4,4.5,4.0,1.9,1.6,3.1
àIàTàGà2à,àSàaàràdàeàgànàaà,2021,48.5,17.9,99.8,2.8,8.0,98.7,0.2,1.7,2.1,0.6,2.3,4.0,3.4,1.7,1.5,1.9
àIàTàCà1à,àPàiàeàmàoànàtàeà,2022,40.4,20.7,99.9,14.3,8.0,94.5,0.1,6.6,8.1,3.6,8.4,11.4,7.8,4.8,6.5,8.0
