AnnoS;AteneoNOME;AteneoCOD;Nome Gruppo Disciplinare;SESSO;Lau
2024;Molise;7001;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;M;40
2024;Napoli Federico II;6301;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;M;302
2024;Napoli Vanvitelli;6306;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;M;9
2024;Padova;2801;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;M;402
2024;Palermo;8201;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;M;156
2024;Parma;3401;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;M;116
2024;Pavia;1801;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;M;3
2024;Perugia;5401;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;M;102
2024;Pisa;5001;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;M;158
2024;Reggio Calabria;8001;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;M;53
2024;Roma Biomedico;5808;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;M;2
2024;Roma La Sapienza;5801;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;M;5
2024;Roma San Raffaele - telematica;5816;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;M;129
2024;Roma Tre;5807;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;M;18
2024;Salento;7501;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;M;9
2024;Salerno;6501;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;M;23
2024;Sannio;6201;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;M;1
2024;Sassari;9001;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;M;99
2024;Siena;5201;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;M;9
2024;Teramo;6701;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;M;76
2024;Torino;101;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;M;297
2024;Trento;2201;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;M;37
2024;Tuscia;5601;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;M;165
2024;Udine;3001;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;M;141
2024;Verona;2301;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;M;27
2024;Bari Politecnico;7202;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;F;164
2024;Basilicata;7601;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;F;37
2024;Bergamo;1601;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;F;18
2024;Bologna;3701;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;F;255
2024;Brescia;1701;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;F;58
2024;Cagliari;9201;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;F;114
2024;Calabria;7801;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;F;55
2024;Camerino;4302;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;F;47
2024;Cassino;6001;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;F;17
2024;Catania;8701;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;F;103
2024;Chieti e Pescara;6901;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;F;76
2024;Enna KORE;8601;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;F;11
2024;Ferrara;3801;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;F;93
2024;Firenze;4801;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;F;256
2024;Genova;1001;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;F;156
2024;Insubria;1202;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;F;15
2024;L'Aquila;6601;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;F;44
2024;Marche;4201;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;F;49
2024;Messina;8301;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;F;6
2024;Milano;1501;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;F;3
2024;Milano Politecnico;1502;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;F;1898
2024;Modena e Reggio Emilia;3601;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;F;33
2024;Molise;7001;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;F;1
2024;Napoli Federico II;6301;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;F;373
2024;Napoli Parthenope;6302;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;F;2
2024;Napoli Pegaso - telematica;6307;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;F;155
2024;Napoli Vanvitelli;6306;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;F;60
2024;Novedrate e-Campus - telematica;1301;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;F;135
2024;Padova;2801;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;F;117
2024;Palermo;8201;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;F;96
2024;Parma;3401;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;F;101
2024;Pavia;1801;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;F;44
2024;Perugia;5401;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;F;28
2024;Pisa;5001;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;F;46
2024;Reggio Calabria;8001;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;F;65
2024;Roma  Mercatorum - telematica;5814;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;F;8
2024;Roma La Sapienza;5801;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;F;551
2024;Roma Marconi - telematica;5810;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;F;18
2024;Roma Tor Vergata;5802;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;F;43
2024;Roma Tre;5807;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;F;177
2024;Roma UNICUSANO - telematica;5815;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;F;6
2024;Roma UNINETTUNO - telematica;5813;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;F;19
2024;Salento;7501;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;F;17
2024;Salerno;6501;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;F;75
2024;Sannio;6201;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;F;13
2024;Sassari;9001;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;F;46
2024;Torino Politecnico;102;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;F;654
2024;Trento;2201;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;F;62
2024;Trieste;3201;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;F;33
2024;Tuscia;5601;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;F;9
2024;Udine;3001;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;F;46
2024;Urbino;4101;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;F;1
2024;Venezia Iuav;2702;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;F;454
2024;Bari Politecnico;7202;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;M;185
2024;Basilicata;7601;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;M;43
2024;Bergamo;1601;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;M;35
2024;Bologna;3701;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;M;321
2024;Brescia;1701;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;M;81
2024;Cagliari;9201;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;M;111
2024;Calabria;7801;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;M;87
2024;Camerino;4302;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;M;42
2024;Cassino;6001;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;M;44
2024;Catania;8701;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;M;134
2024;Chieti e Pescara;6901;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;M;79
2024;Enna KORE;8601;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;M;25
2024;Ferrara;3801;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;M;84
2024;Firenze;4801;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;M;219
2024;Genova;1001;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;M;127
2024;Insubria;1202;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;M;57
2024;L'Aquila;6601;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;M;47
2024;Marche;4201;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;M;82
2024;Messina;8301;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;M;15
2024;Milano;1501;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;M;7
2024;Milano Politecnico;1502;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;M;1522
2024;Modena e Reggio Emilia;3601;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;M;66
2024;Molise;7001;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;M;8
2024;Napoli Federico II;6301;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;M;240
2024;Napoli Parthenope;6302;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;M;14
2024;Napoli Pegaso - telematica;6307;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;M;856
