ANNO;AteneoCOD;AteneoNOME;CorsoTIPO;PROVENIENZA;Genere;ISC
2024/2025;00401;Bra (CN) - Università di Scienze Gastronomiche;Laurea;0;M;36
2024/2025;00401;Bra (CN) - Università di Scienze Gastronomiche;Laurea;1;F;81
2024/2025;00401;Bra (CN) - Università di Scienze Gastronomiche;Laurea;1;M;92
2024/2025;00401;Bra (CN) - Università di Scienze Gastronomiche;Laurea Magistrale;0;F;11
2024/2025;00401;Bra (CN) - Università di Scienze Gastronomiche;Laurea Magistrale;0;M;6
2024/2025;00401;Bra (CN) - Università di Scienze Gastronomiche;Laurea Magistrale;1;F;13
2024/2025;00401;Bra (CN) - Università di Scienze Gastronomiche;Laurea Magistrale;1;M;13
2024/2025;00701;Aosta - Università degli studi;Laurea;0;F;293
2024/2025;00701;Aosta - Università degli studi;Laurea;0;M;173
2024/2025;00701;Aosta - Università degli studi;Laurea;1;F;272
2024/2025;00701;Aosta - Università degli studi;Laurea;1;M;89
2024/2025;00701;Aosta - Università degli studi;Laurea Magistrale;0;F;36
2024/2025;00701;Aosta - Università degli studi;Laurea Magistrale;0;M;21
2024/2025;00701;Aosta - Università degli studi;Laurea Magistrale;1;F;21
2024/2025;00701;Aosta - Università degli studi;Laurea Magistrale;1;M;6
2024/2025;00701;Aosta - Università degli studi;Laurea Magistrale Ciclo Unico;0;F;110
2024/2025;00701;Aosta - Università degli studi;Laurea Magistrale Ciclo Unico;0;M;11
2024/2025;00701;Aosta - Università degli studi;Laurea Magistrale Ciclo Unico;1;F;11
2024/2025;00701;Aosta - Università degli studi;Vecchio Ordinamento;0;F;6
2024/2025;00701;Aosta - Università degli studi;Vecchio Ordinamento;0;M;1
2024/2025;01001;Genova - Università degli studi;Laurea;0;F;9258
2024/2025;01001;Genova - Università degli studi;Laurea;0;M;7967
2024/2025;01001;Genova - Università degli studi;Laurea;1;F;1801
2024/2025;01001;Genova - Università degli studi;Laurea;1;M;1589
2024/2025;01001;Genova - Università degli studi;Laurea Magistrale;0;F;2162
2024/2025;01001;Genova - Università degli studi;Laurea Magistrale;0;M;1946
2024/2025;01001;Genova - Università degli studi;Laurea Magistrale;1;F;1012
2024/2025;01001;Genova - Università degli studi;Laurea Magistrale;1;M;966
2024/2025;01001;Genova - Università degli studi;Laurea Magistrale Ciclo Unico;0;F;2518
2024/2025;01001;Genova - Università degli studi;Laurea Magistrale Ciclo Unico;0;M;1026
2024/2025;01001;Genova - Università degli studi;Laurea Magistrale Ciclo Unico;1;F;970
2024/2025;01001;Genova - Università degli studi;Laurea Magistrale Ciclo Unico;1;M;366
2024/2025;01001;Genova - Università degli studi;Vecchio Ordinamento;0;F;207
2024/2025;01001;Genova - Università degli studi;Vecchio Ordinamento;0;M;131
2024/2025;01001;Genova - Università degli studi;Vecchio Ordinamento;1;F;31
2024/2025;01001;Genova - Università degli studi;Vecchio Ordinamento;1;M;26
2024/2025;01201;"Castellanza - Università ""Carlo Cattaneo""";Laurea;0;F;348
2024/2025;01201;"Castellanza - Università ""Carlo Cattaneo""";Laurea;0;M;796
2024/2025;01201;"Castellanza - Università ""Carlo Cattaneo""";Laurea;1;F;129
2024/2025;01201;"Castellanza - Università ""Carlo Cattaneo""";Laurea;1;M;273
2024/2025;01201;"Castellanza - Università ""Carlo Cattaneo""";Laurea Magistrale;0;F;214
2024/2025;01201;"Castellanza - Università ""Carlo Cattaneo""";Laurea Magistrale;0;M;326
2024/2025;01201;"Castellanza - Università ""Carlo Cattaneo""";Laurea Magistrale;1;F;114
2024/2025;01201;"Castellanza - Università ""Carlo Cattaneo""";Laurea Magistrale;1;M;193
2024/2025;01201;"Castellanza - Università ""Carlo Cattaneo""";Laurea Magistrale Ciclo Unico;0;F;3
2024/2025;01201;"Castellanza - Università ""Carlo Cattaneo""";Laurea Magistrale Ciclo Unico;0;M;2
2024/2025;01201;"Castellanza - Università ""Carlo Cattaneo""";Laurea Magistrale Ciclo Unico;1;F;1
2024/2025;01201;"Castellanza - Università ""Carlo Cattaneo""";Laurea Magistrale Ciclo Unico;1;M;1
2024/2025;01202;Varese - Università dell' Insubria;Laurea;0;F;4014
2024/2025;01202;Varese - Università dell' Insubria;Laurea;0;M;3449
2024/2025;01202;Varese - Università dell' Insubria;Laurea;1;F;313
2024/2025;01202;Varese - Università dell' Insubria;Laurea;1;M;252
2024/2025;01202;Varese - Università dell' Insubria;Laurea Magistrale;0;F;472
2024/2025;01202;Varese - Università dell' Insubria;Laurea Magistrale;0;M;417
2024/2025;01202;Varese - Università dell' Insubria;Laurea Magistrale;1;F;106
2024/2025;01202;Varese - Università dell' Insubria;Laurea Magistrale;1;M;68
2024/2025;01202;Varese - Università dell' Insubria;Laurea Magistrale Ciclo Unico;0;F;1224
2024/2025;01202;Varese - Università dell' Insubria;Laurea Magistrale Ciclo Unico;0;M;677
2024/2025;01202;Varese - Università dell' Insubria;Laurea Magistrale Ciclo Unico;1;F;134
2024/2025;01202;Varese - Università dell' Insubria;Laurea Magistrale Ciclo Unico;1;M;88
2024/2025;01301;"Novedrate (CO) - Università telematica ""e-Campus""";Laurea;0;F;3244
2024/2025;01301;"Novedrate (CO) - Università telematica ""e-Campus""";Laurea;0;M;2392
2024/2025;01301;"Novedrate (CO) - Università telematica ""e-Campus""";Laurea;1;F;16859
2024/2025;01301;"Novedrate (CO) - Università telematica ""e-Campus""";Laurea;1;M;15847
2024/2025;01301;"Novedrate (CO) - Università telematica ""e-Campus""";Laurea Magistrale;0;F;693
2024/2025;01301;"Novedrate (CO) - Università telematica ""e-Campus""";Laurea Magistrale;0;M;340
2024/2025;01301;"Novedrate (CO) - Università telematica ""e-Campus""";Laurea Magistrale;1;F;5586
2024/2025;01301;"Novedrate (CO) - Università telematica ""e-Campus""";Laurea Magistrale;1;M;3369
2024/2025;01301;"Novedrate (CO) - Università telematica ""e-Campus""";Laurea Magistrale Ciclo Unico;0;F;73
2024/2025;01301;"Novedrate (CO) - Università telematica ""e-Campus""";Laurea Magistrale Ciclo Unico;0;M;60
2024/2025;01301;"Novedrate (CO) - Università telematica ""e-Campus""";Laurea Magistrale Ciclo Unico;1;F;763
2024/2025;01301;"Novedrate (CO) - Università telematica ""e-Campus""";Laurea Magistrale Ciclo Unico;1;M;630
2024/2025;01501;Milano - Università degli studi;Laurea;0;F;16323
2024/2025;01501;Milano - Università degli studi;Laurea;0;M;12761
2024/2025;01501;Milano - Università degli studi;Laurea;1;F;2559
2024/2025;01501;Milano - Università degli studi;Laurea;1;M;2212
2024/2025;01501;Milano - Università degli studi;Laurea Magistrale;0;F;4048
2024/2025;01501;Milano - Università degli studi;Laurea Magistrale;0;M;3422
2024/2025;01501;Milano - Università degli studi;Laurea Magistrale;1;F;2535
2024/2025;01501;Milano - Università degli studi;Laurea Magistrale;1;M;1648
2024/2025;01501;Milano - Università degli studi;Laurea Magistrale Ciclo Unico;0;F;6454
2024/2025;01501;Milano - Università degli studi;Laurea Magistrale Ciclo Unico;0;M;2955
2024/2025;01501;Milano - Università degli studi;Laurea Magistrale Ciclo Unico;1;F;1495
2024/2025;01501;Milano - Università degli studi;Laurea Magistrale Ciclo Unico;1;M;810
2024/2025;01501;Milano - Università degli studi;Vecchio Ordinamento;0;F;420
2024/2025;01501;Milano - Università degli studi;Vecchio Ordinamento;0;M;284
2024/2025;01501;Milano - Università degli studi;Vecchio Ordinamento;1;F;40
2024/2025;01501;Milano - Università degli studi;Vecchio Ordinamento;1;M;50
2024/2025;01502;Milano - Politecnico;Laurea;0;F;5578
2024/2025;01502;Milano - Politecnico;Laurea;0;M;11613
2024/2025;01502;Milano - Politecnico;Laurea;1;F;3598
2024/2025;01502;Milano - Politecnico;Laurea;1;M;5908
2024/2025;01502;Milano - Politecnico;Laurea Magistrale;0;F;2867
2024/2025;01502;Milano - Politecnico;Laurea Magistrale;0;M;5756
2024/2025;01502;Milano - Politecnico;Laurea Magistrale;1;F;5100
2024/2025;01502;Milano - Politecnico;Laurea Magistrale;1;M;7022
2024/2025;01502;Milano - Politecnico;Laurea Magistrale Ciclo Unico;0;F;228
2024/2025;01502;Milano - Politecnico;Laurea Magistrale Ciclo Unico;0;M;236
2024/2025;01502;Milano - Politecnico;Laurea Magistrale Ciclo Unico;1;F;117
2024/2025;01502;Milano - Politecnico;Laurea Magistrale Ciclo Unico;1;M;101
2024/2025;01503;"Milano - Università commerciale ""Luigi Bocconi""";Laurea;0;F;900
2024/2025;01503;"Milano - Università commerciale ""Luigi Bocconi""";Laurea;0;M;1300
2024/2025;01503;"Milano - Università commerciale ""Luigi Bocconi""";Laurea;1;F;2532
2024/2025;01503;"Milano - Università commerciale ""Luigi Bocconi""";Laurea;1;M;3508
2024/2025;01503;"Milano - Università commerciale ""Luigi Bocconi""";Laurea Magistrale;0;F;450
2024/2025;01503;"Milano - Università commerciale ""Luigi Bocconi""";Laurea Magistrale;0;M;643
2024/2025;01503;"Milano - Università commerciale ""Luigi Bocconi""";Laurea Magistrale;1;F;1309
2024/2025;01503;"Milano - Università commerciale ""Luigi Bocconi""";Laurea Magistrale;1;M;1865
2024/2025;01503;"Milano - Università commerciale ""Luigi Bocconi""";Laurea Magistrale Ciclo Unico;0;F;267
2024/2025;01503;"Milano - Università commerciale ""Luigi Bocconi""";Laurea Magistrale Ciclo Unico;0;M;203
2024/2025;01503;"Milano - Università commerciale ""Luigi Bocconi""";Laurea Magistrale Ciclo Unico;1;F;542
2024/2025;01503;"Milano - Università commerciale ""Luigi Bocconi""";Laurea Magistrale Ciclo Unico;1;M;413
2024/2025;01503;"Milano - Università commerciale ""Luigi Bocconi""";Vecchio Ordinamento;0;F;24
2024/2025;01503;"Milano - Università commerciale ""Luigi Bocconi""";Vecchio Ordinamento;0;M;18
2024/2025;01503;"Milano - Università commerciale ""Luigi Bocconi""";Vecchio Ordinamento;1;F;4
2024/2025;01503;"Milano - Università commerciale ""Luigi Bocconi""";Vecchio Ordinamento;1;M;22
2024/2025;01504;"Milano - Università Cattolica del ""Sacro Cuore""";Laurea;0;F;10927
2024/2025;01504;"Milano - Università Cattolica del ""Sacro Cuore""";Laurea;0;M;5865
2024/2025;01504;"Milano - Università Cattolica del ""Sacro Cuore""";Laurea;1;F;4016
2024/2025;01504;"Milano - Università Cattolica del ""Sacro Cuore""";Laurea;1;M;2542
2024/2025;01504;"Milano - Università Cattolica del ""Sacro Cuore""";Laurea Magistrale;0;F;3497
2024/2025;01504;"Milano - Università Cattolica del ""Sacro Cuore""";Laurea Magistrale;0;M;1594
2024/2025;01504;"Milano - Università Cattolica del ""Sacro Cuore""";Laurea Magistrale;1;F;2490
2024/2025;01504;"Milano - Università Cattolica del ""Sacro Cuore""";Laurea Magistrale;1;M;1678
2024/2025;01504;"Milano - Università Cattolica del ""Sacro Cuore""";Laurea Magistrale Ciclo Unico;0;F;3874
2024/2025;01504;"Milano - Università Cattolica del ""Sacro Cuore""";Laurea Magistrale Ciclo Unico;0;M;924
2024/2025;01504;"Milano - Università Cattolica del ""Sacro Cuore""";Laurea Magistrale Ciclo Unico;1;F;2954
2024/2025;01504;"Milano - Università Cattolica del ""Sacro Cuore""";Laurea Magistrale Ciclo Unico;1;M;1480
2024/2025;01504;"Milano - Università Cattolica del ""Sacro Cuore""";Vecchio Ordinamento;0;F;21
2024/2025;01504;"Milano - Università Cattolica del ""Sacro Cuore""";Vecchio Ordinamento;0;M;1
2024/2025;01504;"Milano - Università Cattolica del ""Sacro Cuore""";Vecchio Ordinamento;1;F;4
2024/2025;01505;Milano - Libera Università di Lingue e Comunicazione (IULM);Laurea;0;F;3199
2024/2025;01505;Milano - Libera Università di Lingue e Comunicazione (IULM);Laurea;0;M;924
2024/2025;01505;Milano - Libera Università di Lingue e Comunicazione (IULM);Laurea;1;F;1813
2024/2025;01505;Milano - Libera Università di Lingue e Comunicazione (IULM);Laurea;1;M;514
2024/2025;01505;Milano - Libera Università di Lingue e Comunicazione (IULM);Laurea Magistrale;0;F;453
2024/2025;01505;Milano - Libera Università di Lingue e Comunicazione (IULM);Laurea Magistrale;0;M;126
2024/2025;01505;Milano - Libera Università di Lingue e Comunicazione (IULM);Laurea Magistrale;1;F;567
2024/2025;01505;Milano - Libera Università di Lingue e Comunicazione (IULM);Laurea Magistrale;1;M;166
2024/2025;01505;Milano - Libera Università di Lingue e Comunicazione (IULM);Laurea Magistrale Ciclo Unico;0;F;20
2024/2025;01505;Milano - Libera Università di Lingue e Comunicazione (IULM);Laurea Magistrale Ciclo Unico;0;M;4
2024/2025;01505;Milano - Libera Università di Lingue e Comunicazione (IULM);Laurea Magistrale Ciclo Unico;1;F;44
2024/2025;01505;Milano - Libera Università di Lingue e Comunicazione (IULM);Laurea Magistrale Ciclo Unico;1;M;3
2024/2025;01508;Milano - Università Vita-Salute San Raffaele;Laurea;0;F;669
2024/2025;01508;Milano - Università Vita-Salute San Raffaele;Laurea;0;M;225
2024/2025;01508;Milano - Università Vita-Salute San Raffaele;Laurea;1;F;155
2024/2025;01508;Milano - Università Vita-Salute San Raffaele;Laurea;1;M;66
2024/2025;01508;Milano - Università Vita-Salute San Raffaele;Laurea Magistrale;0;F;260
2024/2025;01508;Milano - Università Vita-Salute San Raffaele;Laurea Magistrale;0;M;67
2024/2025;01508;Milano - Università Vita-Salute San Raffaele;Laurea Magistrale;1;F;160
2024/2025;01508;Milano - Università Vita-Salute San Raffaele;Laurea Magistrale;1;M;42
2024/2025;01508;Milano - Università Vita-Salute San Raffaele;Laurea Magistrale Ciclo Unico;0;F;871
2024/2025;01508;Milano - Università Vita-Salute San Raffaele;Laurea Magistrale Ciclo Unico;0;M;404
2024/2025;01508;Milano - Università Vita-Salute San Raffaele;Laurea Magistrale Ciclo Unico;1;F;1923
2024/2025;01508;Milano - Università Vita-Salute San Raffaele;Laurea Magistrale Ciclo Unico;1;M;999
2024/2025;01509;Milano-Bicocca - Università degli studi;Laurea;0;F;10539
2024/2025;01509;Milano-Bicocca - Università degli studi;Laurea;0;M;8331
2024/2025;01509;Milano-Bicocca - Università degli studi;Laurea;1;F;1232
2024/2025;01509;Milano-Bicocca - Università degli studi;Laurea;1;M;1028
2024/2025;01509;Milano-Bicocca - Università degli studi;Laurea Magistrale;0;F;3525
2024/2025;01509;Milano-Bicocca - Università degli studi;Laurea Magistrale;0;M;2126
2024/2025;01509;Milano-Bicocca - Università degli studi;Laurea Magistrale;1;F;1241
2024/2025;01509;Milano-Bicocca - Università degli studi;Laurea Magistrale;1;M;881
2024/2025;01509;Milano-Bicocca - Università degli studi;Laurea Magistrale Ciclo Unico;0;F;4637
2024/2025;01509;Milano-Bicocca - Università degli studi;Laurea Magistrale Ciclo Unico;0;M;1163
2024/2025;01509;Milano-Bicocca - Università degli studi;Laurea Magistrale Ciclo Unico;1;F;953
2024/2025;01509;Milano-Bicocca - Università degli studi;Laurea Magistrale Ciclo Unico;1;M;439
2024/2025;01509;Milano-Bicocca - Università degli studi;Vecchio Ordinamento;0;F;90
2024/2025;01509;Milano-Bicocca - Università degli studi;Vecchio Ordinamento;0;M;25
2024/2025;01509;Milano-Bicocca - Università degli studi;Vecchio Ordinamento;1;F;5
2024/2025;01510;Rozzano (MI) - Humanitas University;Laurea;0;F;403
2024/2025;01510;Rozzano (MI) - Humanitas University;Laurea;0;M;223
2024/2025;01510;Rozzano (MI) - Humanitas University;Laurea;1;F;48
2024/2025;01510;Rozzano (MI) - Humanitas University;Laurea;1;M;45
2024/2025;01510;Rozzano (MI) - Humanitas University;Laurea Magistrale;0;F;44
2024/2025;01510;Rozzano (MI) - Humanitas University;Laurea Magistrale;0;M;18
2024/2025;01510;Rozzano (MI) - Humanitas University;Laurea Magistrale;1;F;18
2024/2025;01510;Rozzano (MI) - Humanitas University;Laurea Magistrale;1;M;4
2024/2025;01510;Rozzano (MI) - Humanitas University;Laurea Magistrale Ciclo Unico;0;F;304
2024/2025;01510;Rozzano (MI) - Humanitas University;Laurea Magistrale Ciclo Unico;0;M;163
2024/2025;01510;Rozzano (MI) - Humanitas University;Laurea Magistrale Ciclo Unico;1;F;576
2024/2025;01510;Rozzano (MI) - Humanitas University;Laurea Magistrale Ciclo Unico;1;M;349
2024/2025;01601;Bergamo - Università degli studi;Laurea;0;F;7282
2024/2025;01601;Bergamo - Università degli studi;Laurea;0;M;5126
2024/2025;01601;Bergamo - Università degli studi;Laurea;1;F;223
2024/2025;01601;Bergamo - Università degli studi;Laurea;1;M;146
2024/2025;01601;Bergamo - Università degli studi;Laurea Magistrale;0;F;2082
2024/2025;01601;Bergamo - Università degli studi;Laurea Magistrale;0;M;1431
2024/2025;01601;Bergamo - Università degli studi;Laurea Magistrale;1;F;497
2024/2025;01601;Bergamo - Università degli studi;Laurea Magistrale;1;M;335
2024/2025;01601;Bergamo - Università degli studi;Laurea Magistrale Ciclo Unico;0;F;1172
2024/2025;01601;Bergamo - Università degli studi;Laurea Magistrale Ciclo Unico;0;M;252
2024/2025;01601;Bergamo - Università degli studi;Laurea Magistrale Ciclo Unico;1;F;135
2024/2025;01601;Bergamo - Università degli studi;Laurea Magistrale Ciclo Unico;1;M;241
2024/2025;01601;Bergamo - Università degli studi;Vecchio Ordinamento;0;F;14
2024/2025;01601;Bergamo - Università degli studi;Vecchio Ordinamento;0;M;16
2024/2025;01601;Bergamo - Università degli studi;Vecchio Ordinamento;1;M;2
2024/2025;01701;Brescia - Università degli studi;Laurea;0;F;4395
2024/2025;01701;Brescia - Università degli studi;Laurea;0;M;5477
2024/2025;01701;Brescia - Università degli studi;Laurea;1;F;292
2024/2025;01701;Brescia - Università degli studi;Laurea;1;M;326
2024/2025;01701;Brescia - Università degli studi;Laurea Magistrale;0;F;727
2024/2025;01701;Brescia - Università degli studi;Laurea Magistrale;0;M;1203
2024/2025;01701;Brescia - Università degli studi;Laurea Magistrale;1;F;94
2024/2025;01701;Brescia - Università degli studi;Laurea Magistrale;1;M;157
2024/2025;01701;Brescia - Università degli studi;Laurea Magistrale Ciclo Unico;0;F;2276
2024/2025;01701;Brescia - Università degli studi;Laurea Magistrale Ciclo Unico;0;M;1172
2024/2025;01701;Brescia - Università degli studi;Laurea Magistrale Ciclo Unico;1;F;185
2024/2025;01701;Brescia - Università degli studi;Laurea Magistrale Ciclo Unico;1;M;76
2024/2025;01701;Brescia - Università degli studi;Vecchio Ordinamento;0;F;30
2024/2025;01701;Brescia - Università degli studi;Vecchio Ordinamento;0;M;42
2024/2025;01701;Brescia - Università degli studi;Vecchio Ordinamento;1;F;2
2024/2025;01701;Brescia - Università degli studi;Vecchio Ordinamento;1;M;2
2024/2025;01801;Pavia - Università degli studi;Laurea;0;F;5656
2024/2025;01801;Pavia - Università degli studi;Laurea;0;M;5236
2024/2025;01801;Pavia - Università degli studi;Laurea;1;F;2105
2024/2025;01801;Pavia - Università degli studi;Laurea;1;M;1659
2024/2025;01801;Pavia - Università degli studi;Laurea Magistrale;0;F;1473
2024/2025;01801;Pavia - Università degli studi;Laurea Magistrale;0;M;1161
2024/2025;01801;Pavia - Università degli studi;Laurea Magistrale;1;F;1953
2024/2025;01801;Pavia - Università degli studi;Laurea Magistrale;1;M;1283
2024/2025;01801;Pavia - Università degli studi;Laurea Magistrale Ciclo Unico;0;F;2202
2024/2025;01801;Pavia - Università degli studi;Laurea Magistrale Ciclo Unico;0;M;1057
2024/2025;01801;Pavia - Università degli studi;Laurea Magistrale Ciclo Unico;1;F;1691
2024/2025;01801;Pavia - Università degli studi;Laurea Magistrale Ciclo Unico;1;M;1039
2024/2025;02101;Bolzano - Libera Università;Laurea;0;F;518
2024/2025;02101;Bolzano - Libera Università;Laurea;0;M;548
2024/2025;02101;Bolzano - Libera Università;Laurea;1;F;484
2024/2025;02101;Bolzano - Libera Università;Laurea;1;M;269
2024/2025;02101;Bolzano - Libera Università;Laurea Magistrale;0;F;128
2024/2025;02101;Bolzano - Libera Università;Laurea Magistrale;0;M;134
2024/2025;02101;Bolzano - Libera Università;Laurea Magistrale;1;F;221
2024/2025;02101;Bolzano - Libera Università;Laurea Magistrale;1;M;174
2024/2025;02101;Bolzano - Libera Università;Laurea Magistrale Ciclo Unico;0;F;834
2024/2025;02101;Bolzano - Libera Università;Laurea Magistrale Ciclo Unico;0;M;55
2024/2025;02101;Bolzano - Libera Università;Laurea Magistrale Ciclo Unico;1;F;42
2024/2025;02101;Bolzano - Libera Università;Laurea Magistrale Ciclo Unico;1;M;2
2024/2025;02101;Bolzano - Libera Università;Vecchio Ordinamento;0;F;10
2024/2025;02101;Bolzano - Libera Università;Vecchio Ordinamento;0;M;2
2024/2025;02101;Bolzano - Libera Università;Vecchio Ordinamento;1;F;1
2024/2025;02201;Trento - Università degli studi;Laurea;0;F;1971
2024/2025;02201;Trento - Università degli studi;Laurea;0;M;2386
2024/2025;02201;Trento - Università degli studi;Laurea;1;F;2276
2024/2025;02201;Trento - Università degli studi;Laurea;1;M;2421
2024/2025;02201;Trento - Università degli studi;Laurea Magistrale;0;F;637
2024/2025;02201;Trento - Università degli studi;Laurea Magistrale;0;M;633
2024/2025;02201;Trento - Università degli studi;Laurea Magistrale;1;F;1408
2024/2025;02201;Trento - Università degli studi;Laurea Magistrale;1;M;1394
2024/2025;02201;Trento - Università degli studi;Laurea Magistrale Ciclo Unico;0;F;713
2024/2025;02201;Trento - Università degli studi;Laurea Magistrale Ciclo Unico;0;M;392
2024/2025;02201;Trento - Università degli studi;Laurea Magistrale Ciclo Unico;1;F;1767
2024/2025;02201;Trento - Università degli studi;Laurea Magistrale Ciclo Unico;1;M;803
2024/2025;02201;Trento - Università degli studi;Vecchio Ordinamento;0;F;44
2024/2025;02201;Trento - Università degli studi;Vecchio Ordinamento;0;M;42
2024/2025;02201;Trento - Università degli studi;Vecchio Ordinamento;1;F;20
2024/2025;02201;Trento - Università degli studi;Vecchio Ordinamento;1;M;16
2024/2025;02301;Verona - Università degli studi;Laurea;0;F;7657
2024/2025;02301;Verona - Università degli studi;Laurea;0;M;4899
2024/2025;02301;Verona - Università degli studi;Laurea;1;F;3554
2024/2025;02301;Verona - Università degli studi;Laurea;1;M;1555
2024/2025;02301;Verona - Università degli studi;Laurea Magistrale;0;F;1802
2024/2025;02301;Verona - Università degli studi;Laurea Magistrale;0;M;1083
2024/2025;02301;Verona - Università degli studi;Laurea Magistrale;1;F;1456
2024/2025;02301;Verona - Università degli studi;Laurea Magistrale;1;M;800
2024/2025;02301;Verona - Università degli studi;Laurea Magistrale Ciclo Unico;0;F;1662
2024/2025;02301;Verona - Università degli studi;Laurea Magistrale Ciclo Unico;0;M;773
2024/2025;02301;Verona - Università degli studi;Laurea Magistrale Ciclo Unico;1;F;742
2024/2025;02301;Verona - Università degli studi;Laurea Magistrale Ciclo Unico;1;M;271
2024/2025;02301;Verona - Università degli studi;Vecchio Ordinamento;0;F;36
2024/2025;02301;Verona - Università degli studi;Vecchio Ordinamento;0;M;20
2024/2025;02301;Verona - Università degli studi;Vecchio Ordinamento;1;F;10
2024/2025;02301;Verona - Università degli studi;Vecchio Ordinamento;1;M;2
2024/2025;02701;Venezia - Università Ca' Foscari Venezia;Laurea;0;F;5349
2024/2025;02701;Venezia - Università Ca' Foscari Venezia;Laurea;0;M;4068
2024/2025;02701;Venezia - Università Ca' Foscari Venezia;Laurea;1;F;2551
2024/2025;02701;Venezia - Università Ca' Foscari Venezia;Laurea;1;M;1065
2024/2025;02701;Venezia - Università Ca' Foscari Venezia;Laurea Magistrale;0;F;1964
2024/2025;02701;Venezia - Università Ca' Foscari Venezia;Laurea Magistrale;0;M;1258
2024/2025;02701;Venezia - Università Ca' Foscari Venezia;Laurea Magistrale;1;F;1916
2024/2025;02701;Venezia - Università Ca' Foscari Venezia;Laurea Magistrale;1;M;770
2024/2025;02702;Venezia - Università IUAV;Laurea;0;F;1208
2024/2025;02702;Venezia - Università IUAV;Laurea;0;M;871
2024/2025;02702;Venezia - Università IUAV;Laurea;1;F;609
2024/2025;02702;Venezia - Università IUAV;Laurea;1;M;355
2024/2025;02702;Venezia - Università IUAV;Laurea Magistrale;0;F;396
2024/2025;02702;Venezia - Università IUAV;Laurea Magistrale;0;M;309
2024/2025;02702;Venezia - Università IUAV;Laurea Magistrale;1;F;584
2024/2025;02702;Venezia - Università IUAV;Laurea Magistrale;1;M;290
2024/2025;02702;Venezia - Università IUAV;Laurea Magistrale Ciclo Unico;0;F;33
2024/2025;02702;Venezia - Università IUAV;Laurea Magistrale Ciclo Unico;0;M;25
