Anno;CODICE_ATENEO;NOME_ATENEO;REGIONE;AREA_GEO;CLASSE_ETA;GENERE;PERC_CL-ETA_PERS_TA
2024;03001;Università degli Studi di UDINE;Friuli-Venezia Giulia;NORD-EST;Minore di 35 anni;F;12,2%
2024;03001;Università degli Studi di UDINE;Friuli-Venezia Giulia;NORD-EST;35- 44 anni;F;15,0%
2024;03001;Università degli Studi di UDINE;Friuli-Venezia Giulia;NORD-EST;45 - 54 anni;F;28,2%
2024;03001;Università degli Studi di UDINE;Friuli-Venezia Giulia;NORD-EST;55 - 64 anni;F;43,9%
2024;03001;Università degli Studi di UDINE;Friuli-Venezia Giulia;NORD-EST;Maggiore di 64 anni;F;0,6%
2024;03201;Università degli Studi di TRIESTE;Friuli-Venezia Giulia;NORD-EST;Minore di 35 anni;F;12,6%
2024;03201;Università degli Studi di TRIESTE;Friuli-Venezia Giulia;NORD-EST;35- 44 anni;F;18,2%
2024;03201;Università degli Studi di TRIESTE;Friuli-Venezia Giulia;NORD-EST;45 - 54 anni;F;31,6%
2024;03201;Università degli Studi di TRIESTE;Friuli-Venezia Giulia;NORD-EST;55 - 64 anni;F;36,1%
2024;03201;Università degli Studi di TRIESTE;Friuli-Venezia Giulia;NORD-EST;Maggiore di 64 anni;F;1,5%
2024;03202;Scuola Internazionale Superiore di Studi Avanzati di TRIESTE;Friuli-Venezia Giulia;NORD-EST;Minore di 35 anni;F;9,8%
2024;03202;Scuola Internazionale Superiore di Studi Avanzati di TRIESTE;Friuli-Venezia Giulia;NORD-EST;35- 44 anni;F;26,8%
2024;03202;Scuola Internazionale Superiore di Studi Avanzati di TRIESTE;Friuli-Venezia Giulia;NORD-EST;45 - 54 anni;F;45,1%
2024;03202;Scuola Internazionale Superiore di Studi Avanzati di TRIESTE;Friuli-Venezia Giulia;NORD-EST;55 - 64 anni;F;18,3%
2024;03202;Scuola Internazionale Superiore di Studi Avanzati di TRIESTE;Friuli-Venezia Giulia;NORD-EST;Maggiore di 64 anni;F;0,0%
2024;03401;Università degli Studi di PARMA;Emilia-Romagna;NORD-EST;Minore di 35 anni;F;9,2%
2024;03401;Università degli Studi di PARMA;Emilia-Romagna;NORD-EST;35- 44 anni;F;16,9%
2024;03401;Università degli Studi di PARMA;Emilia-Romagna;NORD-EST;45 - 54 anni;F;34,0%
2024;03401;Università degli Studi di PARMA;Emilia-Romagna;NORD-EST;55 - 64 anni;F;38,2%
2024;03401;Università degli Studi di PARMA;Emilia-Romagna;NORD-EST;Maggiore di 64 anni;F;1,7%
2024;03601;Università degli Studi di MODENA e REGGIO EMILIA;Emilia-Romagna;NORD-EST;Minore di 35 anni;F;11,6%
2024;03601;Università degli Studi di MODENA e REGGIO EMILIA;Emilia-Romagna;NORD-EST;35- 44 anni;F;21,4%
2024;03601;Università degli Studi di MODENA e REGGIO EMILIA;Emilia-Romagna;NORD-EST;45 - 54 anni;F;33,0%
2024;03601;Università degli Studi di MODENA e REGGIO EMILIA;Emilia-Romagna;NORD-EST;55 - 64 anni;F;32,2%
2024;03601;Università degli Studi di MODENA e REGGIO EMILIA;Emilia-Romagna;NORD-EST;Maggiore di 64 anni;F;1,8%
2024;03701;Università degli Studi di BOLOGNA;Emilia-Romagna;NORD-EST;Minore di 35 anni;F;11,3%
2024;03701;Università degli Studi di BOLOGNA;Emilia-Romagna;NORD-EST;35- 44 anni;F;22,5%
2024;03701;Università degli Studi di BOLOGNA;Emilia-Romagna;NORD-EST;45 - 54 anni;F;34,7%
2024;03701;Università degli Studi di BOLOGNA;Emilia-Romagna;NORD-EST;55 - 64 anni;F;29,7%
2024;03701;Università degli Studi di BOLOGNA;Emilia-Romagna;NORD-EST;Maggiore di 64 anni;F;1,9%
2024;03801;Università degli Studi di FERRARA;Emilia-Romagna;NORD-EST;Minore di 35 anni;F;14,6%
2024;03801;Università degli Studi di FERRARA;Emilia-Romagna;NORD-EST;35- 44 anni;F;16,9%
2024;03801;Università degli Studi di FERRARA;Emilia-Romagna;NORD-EST;45 - 54 anni;F;33,6%
2024;03801;Università degli Studi di FERRARA;Emilia-Romagna;NORD-EST;55 - 64 anni;F;33,1%
2024;03801;Università degli Studi di FERRARA;Emilia-Romagna;NORD-EST;Maggiore di 64 anni;F;1,8%
2024;04101;"Università degli studi ""Carlo Bo"" di Urbino";Marche;CENTRO;Minore di 35 anni;F;12,0%
2024;04101;"Università degli studi ""Carlo Bo"" di Urbino";Marche;CENTRO;35- 44 anni;F;15,0%
2024;04101;"Università degli studi ""Carlo Bo"" di Urbino";Marche;CENTRO;45 - 54 anni;F;31,2%
2024;04101;"Università degli studi ""Carlo Bo"" di Urbino";Marche;CENTRO;55 - 64 anni;F;40,6%
2024;04101;"Università degli studi ""Carlo Bo"" di Urbino";Marche;CENTRO;Maggiore di 64 anni;F;1,3%
2024;04201;Università Politecnica delle Marche - Ancona;Marche;CENTRO;Minore di 35 anni;F;13,0%
2024;04201;Università Politecnica delle Marche - Ancona;Marche;CENTRO;35- 44 anni;F;22,5%
2024;04201;Università Politecnica delle Marche - Ancona;Marche;CENTRO;45 - 54 anni;F;25,5%
2024;04201;Università Politecnica delle Marche - Ancona;Marche;CENTRO;55 - 64 anni;F;36,3%
2024;04201;Università Politecnica delle Marche - Ancona;Marche;CENTRO;Maggiore di 64 anni;F;2,7%
2024;04301;Università degli Studi di MACERATA;Marche;CENTRO;Minore di 35 anni;F;11,4%
2024;04301;Università degli Studi di MACERATA;Marche;CENTRO;35- 44 anni;F;19,9%
2024;04301;Università degli Studi di MACERATA;Marche;CENTRO;45 - 54 anni;F;34,8%
2024;04301;Università degli Studi di MACERATA;Marche;CENTRO;55 - 64 anni;F;31,8%
2024;04301;Università degli Studi di MACERATA;Marche;CENTRO;Maggiore di 64 anni;F;2,0%
2024;04302;Università degli Studi di CAMERINO;Marche;CENTRO;Minore di 35 anni;F;9,9%
2024;04302;Università degli Studi di CAMERINO;Marche;CENTRO;35- 44 anni;F;16,7%
2024;04302;Università degli Studi di CAMERINO;Marche;CENTRO;45 - 54 anni;F;30,9%
2024;04302;Università degli Studi di CAMERINO;Marche;CENTRO;55 - 64 anni;F;36,4%
2024;04302;Università degli Studi di CAMERINO;Marche;CENTRO;Maggiore di 64 anni;F;6,2%
2024;04601;Scuola IMT Alti Studi di Lucca;Toscana;CENTRO;Minore di 35 anni;F;21,6%
2024;04601;Scuola IMT Alti Studi di Lucca;Toscana;CENTRO;35- 44 anni;F;43,2%
2024;04601;Scuola IMT Alti Studi di Lucca;Toscana;CENTRO;45 - 54 anni;F;27,0%
2024;04601;Scuola IMT Alti Studi di Lucca;Toscana;CENTRO;55 - 64 anni;F;8,1%
2024;04801;Università degli Studi di FIRENZE;Toscana;CENTRO;Minore di 35 anni;F;10,1%
2024;04801;Università degli Studi di FIRENZE;Toscana;CENTRO;35- 44 anni;F;19,8%
2024;04801;Università degli Studi di FIRENZE;Toscana;CENTRO;45 - 54 anni;F;30,8%
2024;04801;Università degli Studi di FIRENZE;Toscana;CENTRO;55 - 64 anni;F;34,6%
2024;04801;Università degli Studi di FIRENZE;Toscana;CENTRO;Maggiore di 64 anni;F;4,6%
2024;05001;Università di PISA;Toscana;CENTRO;Minore di 35 anni;F;5,4%
2024;05001;Università di PISA;Toscana;CENTRO;35- 44 anni;F;9,1%
2024;05001;Università di PISA;Toscana;CENTRO;45 - 54 anni;F;31,3%
2024;05001;Università di PISA;Toscana;CENTRO;55 - 64 anni;F;48,9%
2024;05001;Università di PISA;Toscana;CENTRO;Maggiore di 64 anni;F;5,3%
2024;05002;Scuola Normale Superiore di PISA;Toscana;CENTRO;Minore di 35 anni;F;3,5%
2024;05002;Scuola Normale Superiore di PISA;Toscana;CENTRO;35- 44 anni;F;22,0%
2024;05002;Scuola Normale Superiore di PISA;Toscana;CENTRO;45 - 54 anni;F;32,6%
2024;05002;Scuola Normale Superiore di PISA;Toscana;CENTRO;55 - 64 anni;F;39,0%
2024;05002;Scuola Normale Superiore di PISA;Toscana;CENTRO;Maggiore di 64 anni;F;2,8%
2024;05003;"Scuola superiore di studi universitari e perfezionamento ""S. Anna"" di Pisa";Toscana;CENTRO;Minore di 35 anni;F;13,0%
2024;05003;"Scuola superiore di studi universitari e perfezionamento ""S. Anna"" di Pisa";Toscana;CENTRO;35- 44 anni;F;17,8%
2024;05003;"Scuola superiore di studi universitari e perfezionamento ""S. Anna"" di Pisa";Toscana;CENTRO;45 - 54 anni;F;39,6%
2024;05003;"Scuola superiore di studi universitari e perfezionamento ""S. Anna"" di Pisa";Toscana;CENTRO;55 - 64 anni;F;29,0%
2024;05003;"Scuola superiore di studi universitari e perfezionamento ""S. Anna"" di Pisa";Toscana;CENTRO;Maggiore di 64 anni;F;0,6%
2024;05201;Università degli Studi di SIENA;Toscana;CENTRO;Minore di 35 anni;F;3,6%
2024;05201;Università degli Studi di SIENA;Toscana;CENTRO;35- 44 anni;F;5,2%
2024;05201;Università degli Studi di SIENA;Toscana;CENTRO;45 - 54 anni;F;31,7%
2024;05201;Università degli Studi di SIENA;Toscana;CENTRO;55 - 64 anni;F;54,9%
2024;05201;Università degli Studi di SIENA;Toscana;CENTRO;Maggiore di 64 anni;F;4,6%
2024;05202;Università per Stranieri di SIENA;Toscana;CENTRO;Minore di 35 anni;F;6,9%
2024;05202;Università per Stranieri di SIENA;Toscana;CENTRO;35- 44 anni;F;19,4%
2024;05202;Università per Stranieri di SIENA;Toscana;CENTRO;45 - 54 anni;F;31,9%
2024;05202;Università per Stranieri di SIENA;Toscana;CENTRO;55 - 64 anni;F;40,3%
2024;05202;Università per Stranieri di SIENA;Toscana;CENTRO;Maggiore di 64 anni;F;1,4%
2024;05401;Università degli Studi di PERUGIA;Umbria;CENTRO;Minore di 35 anni;F;4,3%
2024;05401;Università degli Studi di PERUGIA;Umbria;CENTRO;35- 44 anni;F;8,8%
2024;05401;Università degli Studi di PERUGIA;Umbria;CENTRO;45 - 54 anni;F;33,5%
2024;05401;Università degli Studi di PERUGIA;Umbria;CENTRO;55 - 64 anni;F;49,2%
2024;05401;Università degli Studi di PERUGIA;Umbria;CENTRO;Maggiore di 64 anni;F;4,3%
2024;05403;Università per Stranieri di PERUGIA;Umbria;CENTRO;Minore di 35 anni;F;7,0%
2024;05403;Università per Stranieri di PERUGIA;Umbria;CENTRO;35- 44 anni;F;12,8%
2024;05403;Università per Stranieri di PERUGIA;Umbria;CENTRO;45 - 54 anni;F;36,0%
2024;05403;Università per Stranieri di PERUGIA;Umbria;CENTRO;55 - 64 anni;F;43,0%
2024;05403;Università per Stranieri di PERUGIA;Umbria;CENTRO;Maggiore di 64 anni;F;1,2%
2024;05601;Università degli Studi della TUSCIA;Lazio;CENTRO;Minore di 35 anni;F;8,0%
2024;05601;Università degli Studi della TUSCIA;Lazio;CENTRO;35- 44 anni;F;13,0%
2024;05601;Università degli Studi della TUSCIA;Lazio;CENTRO;45 - 54 anni;F;26,5%
2024;05601;Università degli Studi della TUSCIA;Lazio;CENTRO;55 - 64 anni;F;50,0%
2024;05601;Università degli Studi della TUSCIA;Lazio;CENTRO;Maggiore di 64 anni;F;2,5%
2024;05801;Università degli studi di Roma La Sapienza;Lazio;CENTRO;Minore di 35 anni;F;7,7%
2024;05801;Università degli studi di Roma La Sapienza;Lazio;CENTRO;35- 44 anni;F;15,1%
2024;05801;Università degli studi di Roma La Sapienza;Lazio;CENTRO;45 - 54 anni;F;23,9%
2024;05801;Università degli studi di Roma La Sapienza;Lazio;CENTRO;55 - 64 anni;F;48,5%
2024;05801;Università degli studi di Roma La Sapienza;Lazio;CENTRO;Maggiore di 64 anni;F;4,7%
2024;05802;Università degli studi di Roma Tor Vergata;Lazio;CENTRO;Minore di 35 anni;F;5,6%
2024;05802;Università degli studi di Roma Tor Vergata;Lazio;CENTRO;35- 44 anni;F;16,0%
2024;05802;Università degli studi di Roma Tor Vergata;Lazio;CENTRO;45 - 54 anni;F;27,9%
2024;05802;Università degli studi di Roma Tor Vergata;Lazio;CENTRO;55 - 64 anni;F;45,9%
2024;05802;Università degli studi di Roma Tor Vergata;Lazio;CENTRO;Maggiore di 64 anni;F;4,6%
2024;05806;"Università degli Studi di ROMA ""Foro Italico""";Lazio;CENTRO;Minore di 35 anni;F;8,5%
2024;05806;"Università degli Studi di ROMA ""Foro Italico""";Lazio;CENTRO;35- 44 anni;F;11,9%
2024;05806;"Università degli Studi di ROMA ""Foro Italico""";Lazio;CENTRO;45 - 54 anni;F;33,9%
2024;05806;"Università degli Studi di ROMA ""Foro Italico""";Lazio;CENTRO;55 - 64 anni;F;37,3%
2024;05806;"Università degli Studi di ROMA ""Foro Italico""";Lazio;CENTRO;Maggiore di 64 anni;F;8,5%
2024;05807;Università degli Studi ROMA TRE;Lazio;CENTRO;Minore di 35 anni;F;4,8%
2024;05807;Università degli Studi ROMA TRE;Lazio;CENTRO;35- 44 anni;F;17,3%
2024;05807;Università degli Studi ROMA TRE;Lazio;CENTRO;45 - 54 anni;F;38,0%
2024;05807;Università degli Studi ROMA TRE;Lazio;CENTRO;55 - 64 anni;F;35,5%
2024;05807;Università degli Studi ROMA TRE;Lazio;CENTRO;Maggiore di 64 anni;F;4,3%
2024;06001;Università degli Studi di CASSINO e del LAZIO MERIDIONALE;Lazio;CENTRO;Minore di 35 anni;F;1,6%
2024;06001;Università degli Studi di CASSINO e del LAZIO MERIDIONALE;Lazio;CENTRO;35- 44 anni;F;7,8%
2024;06001;Università degli Studi di CASSINO e del LAZIO MERIDIONALE;Lazio;CENTRO;45 - 54 anni;F;31,8%
2024;06001;Università degli Studi di CASSINO e del LAZIO MERIDIONALE;Lazio;CENTRO;55 - 64 anni;F;53,5%
2024;06001;Università degli Studi di CASSINO e del LAZIO MERIDIONALE;Lazio;CENTRO;Maggiore di 64 anni;F;5,4%
2024;06201;Università degli Studi del Sannio;Campania;SUD;Minore di 35 anni;F;10,7%
2024;06201;Università degli Studi del Sannio;Campania;SUD;35- 44 anni;F;6,7%
2024;06201;Università degli Studi del Sannio;Campania;SUD;45 - 54 anni;F;49,3%
2024;06201;Università degli Studi del Sannio;Campania;SUD;55 - 64 anni;F;32,0%
2024;06201;Università degli Studi del Sannio;Campania;SUD;Maggiore di 64 anni;F;1,3%
2024;06301;Università degli Studi di Napoli Federico II;Campania;SUD;Minore di 35 anni;F;11,6%
2024;06301;Università degli Studi di Napoli Federico II;Campania;SUD;35- 44 anni;F;20,1%
2024;06301;Università degli Studi di Napoli Federico II;Campania;SUD;45 - 54 anni;F;26,6%
2024;06301;Università degli Studi di Napoli Federico II;Campania;SUD;55 - 64 anni;F;36,5%
2024;06301;Università degli Studi di Napoli Federico II;Campania;SUD;Maggiore di 64 anni;F;5,3%
2024;06302;Università degli studi di Napoli - Parthenope;Campania;SUD;Minore di 35 anni;F;16,7%
2024;06302;Università degli studi di Napoli - Parthenope;Campania;SUD;35- 44 anni;F;21,7%
2024;06302;Università degli studi di Napoli - Parthenope;Campania;SUD;45 - 54 anni;F;34,1%
2024;06302;Università degli studi di Napoli - Parthenope;Campania;SUD;55 - 64 anni;F;24,6%
2024;06302;Università degli studi di Napoli - Parthenope;Campania;SUD;Maggiore di 64 anni;F;2,9%
2024;06303;Università degli studi L'Orientale di Napoli;Campania;SUD;Minore di 35 anni;F;11,7%
2024;06303;Università degli studi L'Orientale di Napoli;Campania;SUD;35- 44 anni;F;23,4%
2024;06303;Università degli studi L'Orientale di Napoli;Campania;SUD;45 - 54 anni;F;34,3%
2024;06303;Università degli studi L'Orientale di Napoli;Campania;SUD;55 - 64 anni;F;27,0%
2024;06303;Università degli studi L'Orientale di Napoli;Campania;SUD;Maggiore di 64 anni;F;3,6%
2024;06306;"Università degli Studi della Campania ""Luigi Vanvitelli""";Campania;SUD;Minore di 35 anni;F;10,8%
2024;06306;"Università degli Studi della Campania ""Luigi Vanvitelli""";Campania;SUD;35- 44 anni;F;14,1%
2024;06306;"Università degli Studi della Campania ""Luigi Vanvitelli""";Campania;SUD;45 - 54 anni;F;29,3%
2024;06306;"Università degli Studi della Campania ""Luigi Vanvitelli""";Campania;SUD;55 - 64 anni;F;39,8%
2024;06306;"Università degli Studi della Campania ""Luigi Vanvitelli""";Campania;SUD;Maggiore di 64 anni;F;5,9%
2024;06501;Università degli Studi di SALERNO;Campania;SUD;Minore di 35 anni;F;12,3%
2024;06501;Università degli Studi di SALERNO;Campania;SUD;35- 44 anni;F;23,1%
2024;06501;Università degli Studi di SALERNO;Campania;SUD;45 - 54 anni;F;33,2%
2024;06501;Università degli Studi di SALERNO;Campania;SUD;55 - 64 anni;F;28,6%
2024;06501;Università degli Studi di SALERNO;Campania;SUD;Maggiore di 64 anni;F;2,8%
2024;06601;Università degli studi di L'Aquila;Abruzzo;SUD;Minore di 35 anni;F;4,0%
2024;06601;Università degli studi di L'Aquila;Abruzzo;SUD;35- 44 anni;F;10,4%
2024;06601;Università degli studi di L'Aquila;Abruzzo;SUD;45 - 54 anni;F;20,4%
2024;06601;Università degli studi di L'Aquila;Abruzzo;SUD;55 - 64 anni;F;60,8%
2024;06601;Università degli studi di L'Aquila;Abruzzo;SUD;Maggiore di 64 anni;F;4,4%
2024;06603;Gran Sasso Science Institute - Scuola di dottorato internazionale dell'Aquila;Abruzzo;SUD;Minore di 35 anni;F;9,5%
2024;06603;Gran Sasso Science Institute - Scuola di dottorato internazionale dell'Aquila;Abruzzo;SUD;35- 44 anni;F;42,9%
2024;06603;Gran Sasso Science Institute - Scuola di dottorato internazionale dell'Aquila;Abruzzo;SUD;45 - 54 anni;F;33,3%
2024;06603;Gran Sasso Science Institute - Scuola di dottorato internazionale dell'Aquila;Abruzzo;SUD;55 - 64 anni;F;14,3%
2024;06701;Università degli Studi di TERAMO;Abruzzo;SUD;Minore di 35 anni;F;3,6%
2024;06701;Università degli Studi di TERAMO;Abruzzo;SUD;35- 44 anni;F;10,0%
