Decreto Ministeriale;Cod_settore;Settore_Descrizione;Area_Descrizione;FoRD;Area STEM
DM  639/2024 ;ARTE-01/B;ARTE-01/B Storia dell’arte moderna;10 - Scienze dell'antichità, filologico-letterarie e storico-artistiche;06 - Humanities and the arts;No
DM  639/2024 ;ARTE-01/C;ARTE-01/C Storia dell’arte contemporanea;10 - Scienze dell'antichità, filologico-letterarie e storico-artistiche;06 - Humanities and the arts;No
DM  639/2024 ;ARTE-01/D;ARTE-01/D Museologia e critica artistica e del restauro;10 - Scienze dell'antichità, filologico-letterarie e storico-artistiche;06 - Humanities and the arts;No
DM  639/2024 ;ASIA-01/A;ASIA-01/A Archeologia e storia dell’arte dell’Asia centrale e dell’India;10 - Scienze dell'antichità, filologico-letterarie e storico-artistiche;06 - Humanities and the arts;No
DM  639/2024 ;ASIA-01/B;ASIA-01/B Storia, religioni e filosofie dell’Asia meridionale e centrale;10 - Scienze dell'antichità, filologico-letterarie e storico-artistiche;06 - Humanities and the arts;No
DM  639/2024 ;ASIA-01/C;ASIA-01/C Indologia e tibetologia;10 - Scienze dell'antichità, filologico-letterarie e storico-artistiche;06 - Humanities and the arts;No
DM  639/2024 ;ASIA-01/D;ASIA-01/D Lingue e letterature moderne del subcontinente indiano;10 - Scienze dell'antichità, filologico-letterarie e storico-artistiche;06 - Humanities and the arts;No
DM  639/2024 ;ASIA-01/E;ASIA-01/E Archeologia, storia dell’arte, religioni e filosofie dell’Asia orientale e sud-orientale;10 - Scienze dell'antichità, filologico-letterarie e storico-artistiche;06 - Humanities and the arts;No
DM  639/2024 ;ASIA-01/F;ASIA-01/F Lingue e letterature della Cina e dell’Asia sud-orientale;10 - Scienze dell'antichità, filologico-letterarie e storico-artistiche;06 - Humanities and the arts;No
DM  639/2024 ;ASIA-01/G;ASIA-01/G Lingua e letteratura del Giappone, lingua e letteratura della Corea;10 - Scienze dell'antichità, filologico-letterarie e storico-artistiche;06 - Humanities and the arts;No
DM  639/2024 ;ASIA-01/H;ASIA-01/H Storia dell’Asia orientale e sud-orientale;10 - Scienze dell'antichità, filologico-letterarie e storico-artistiche;06 - Humanities and the arts;No
DM ottobre 2000;BIO/01;BIO/01 BOTANICA GENERALE;05 - Scienze biologiche;01 - Natural sciences;Sì
DM ottobre 2000;BIO/02;BIO/02 BOTANICA SISTEMATICA;05 - Scienze biologiche;01 - Natural sciences;Sì
DM ottobre 2000;BIO/03;BIO/03 BOTANICA AMBIENTALE E APPLICATA;05 - Scienze biologiche;01 - Natural sciences;Sì
DM ottobre 2000;BIO/04;BIO/04 FISIOLOGIA VEGETALE;05 - Scienze biologiche;01 - Natural sciences;Sì
DM ottobre 2000;BIO/05;BIO/05 ZOOLOGIA;05 - Scienze biologiche;01 - Natural sciences;Sì
DM ottobre 2000;BIO/06;BIO/06 ANATOMIA COMPARATA E CITOLOGIA;05 - Scienze biologiche;01 - Natural sciences;Sì
DM ottobre 2000;BIO/07;BIO/07 ECOLOGIA;05 - Scienze biologiche;01 - Natural sciences;Sì
DM ottobre 2000;BIO/08;BIO/08 ANTROPOLOGIA;05 - Scienze biologiche;01 - Natural sciences;Sì
DM ottobre 2000;BIO/09;BIO/09 FISIOLOGIA;05 - Scienze biologiche;01 - Natural sciences;Sì
DM ottobre 2000;BIO/10;BIO/10 BIOCHIMICA;05 - Scienze biologiche;01 - Natural sciences;Sì
DM ottobre 2000;BIO/11;BIO/11 BIOLOGIA MOLECOLARE;05 - Scienze biologiche;01 - Natural sciences;Sì
DM ottobre 2000;BIO/12;BIO/12 BIOCHIMICA CLINICA E BIOLOGIA MOLECOLARE CLINICA;05 - Scienze biologiche;01 - Natural sciences;Sì
DM ottobre 2000;BIO/13;BIO/13 BIOLOGIA APPLICATA;05 - Scienze biologiche;01 - Natural sciences;Sì
DM ottobre 2000;BIO/14;BIO/14 FARMACOLOGIA;05 - Scienze biologiche;01 - Natural sciences;Sì
DM ottobre 2000;BIO/15;BIO/15 BIOLOGIA FARMACEUTICA;05 - Scienze biologiche;01 - Natural sciences;Sì
DM ottobre 2000;BIO/16;BIO/16 ANATOMIA UMANA;05 - Scienze biologiche;01 - Natural sciences;Sì
DM ottobre 2000;BIO/17;BIO/17 ISTOLOGIA;05 - Scienze biologiche;01 - Natural sciences;Sì
DM ottobre 2000;BIO/18;BIO/18 GENETICA;05 - Scienze biologiche;01 - Natural sciences;Sì
DM ottobre 2000;BIO/19;BIO/19 MICROBIOLOGIA GENERALE;05 - Scienze biologiche;01 - Natural sciences;Sì
DM  639/2024 ;BIOS-01/A;BIOS-01/A Botanica generale;05 - Scienze biologiche;01 - Natural sciences;Sì
DM  639/2024 ;BIOS-01/B;BIOS-01/B Botanica sistematica;05 - Scienze biologiche;01 - Natural sciences;Sì
DM  639/2024 ;BIOS-01/C;BIOS-01/C Botanica ambientale e applicata;05 - Scienze biologiche;01 - Natural sciences;Sì
DM  639/2024 ;BIOS-01/D;BIOS-01/D Biologia farmaceutica;05 - Scienze biologiche;01 - Natural sciences;Sì
DM  639/2024 ;BIOS-02/A;BIOS-02/A Fisiologia vegetale;05 - Scienze biologiche;01 - Natural sciences;Sì
DM  639/2024 ;BIOS-03/A;BIOS-03/A Zoologia;05 - Scienze biologiche;01 - Natural sciences;Sì
DM  639/2024 ;BIOS-03/B;BIOS-03/B Antropologia;05 - Scienze biologiche;01 - Natural sciences;Sì
DM  639/2024 ;BIOS-04/A;BIOS-04/A Anatomia, biologia cellulare e biologia dello sviluppo comparate;05 - Scienze biologiche;01 - Natural sciences;Sì
DM  639/2024 ;BIOS-05/A;BIOS-05/A Ecologia;05 - Scienze biologiche;01 - Natural sciences;Sì
DM  639/2024 ;BIOS-06/A;BIOS-06/A Fisiologia;05 - Scienze biologiche;01 - Natural sciences;Sì
DM  639/2024 ;BIOS-07/A;BIOS-07/A Biochimica;05 - Scienze biologiche;01 - Natural sciences;Sì
DM  639/2024 ;BIOS-08/A;BIOS-08/A Biologia molecolare;05 - Scienze biologiche;01 - Natural sciences;Sì
DM  639/2024 ;BIOS-09/A;BIOS-09/A Biochimica clinica e biologia molecolare clinica;05 - Scienze biologiche;01 - Natural sciences;Sì
DM  639/2024 ;BIOS-10/A;BIOS-10/A Biologia cellulare e applicata;05 - Scienze biologiche;01 - Natural sciences;Sì
DM  639/2024 ;BIOS-11/A;BIOS-11/A Farmacologia;05 - Scienze biologiche;01 - Natural sciences;Sì
DM  639/2024 ;BIOS-12/A;BIOS-12/A Anatomia umana;05 - Scienze biologiche;01 - Natural sciences;Sì
DM  639/2024 ;BIOS-13/A;BIOS-13/A Istologia ed embriologia umana;05 - Scienze biologiche;01 - Natural sciences;Sì
DM  639/2024 ;BIOS-14/A;BIOS-14/A Genetica;05 - Scienze biologiche;01 - Natural sciences;Sì
DM  639/2024 ;BIOS-15/A;BIOS-15/A Microbiologia;05 - Scienze biologiche;01 - Natural sciences;Sì
DM  639/2024 ;CEAR-01/A;CEAR-01/A Idraulica;08 - Ingegneria civile e Architettura;02 - Engineering and technology;Sì
DM  639/2024 ;CEAR-01/B;CEAR-01/B Costruzioni idrauliche e marittime e idrologia;08 - Ingegneria civile e Architettura;02 - Engineering and technology;Sì
DM  639/2024 ;CEAR-02/A;CEAR-02/A Ingegneria sanitaria-ambientale;08 - Ingegneria civile e Architettura;02 - Engineering and technology;Sì
DM  639/2024 ;CEAR-02/B;CEAR-02/B Ingegneria e sicurezza degli scavi;08 - Ingegneria civile e Architettura;02 - Engineering and technology;Sì
DM  639/2024 ;CEAR-02/C;CEAR-02/C Ingegneria delle materie prime;08 - Ingegneria civile e Architettura;02 - Engineering and technology;Sì
DM  639/2024 ;CEAR-02/D;CEAR-02/D Idrocarburi e fluidi nel sottosuolo;08 - Ingegneria civile e Architettura;02 - Engineering and technology;Sì
DM  639/2024 ;CEAR-03/A;CEAR-03/A Strade, ferrovie e aeroporti;08 - Ingegneria civile e Architettura;02 - Engineering and technology;Sì
DM  639/2024 ;CEAR-03/B;CEAR-03/B Trasporti;08 - Ingegneria civile e Architettura;02 - Engineering and technology;Sì
DM  639/2024 ;CEAR-03/C;CEAR-03/C Estimo e valutazione;08 - Ingegneria civile e Architettura;02 - Engineering and technology;Sì
DM  639/2024 ;CEAR-04/A;CEAR-04/A Geomatica;08 - Ingegneria civile e Architettura;02 - Engineering and technology;Sì
DM  639/2024 ;CEAR-05/A;CEAR-05/A Geotecnica;08 - Ingegneria civile e Architettura;02 - Engineering and technology;Sì
DM  639/2024 ;CEAR-06/A;CEAR-06/A Scienza delle costruzioni;08 - Ingegneria civile e Architettura;02 - Engineering and technology;Sì
DM  639/2024 ;CEAR-07/A;CEAR-07/A Tecnica delle costruzioni;08 - Ingegneria civile e Architettura;02 - Engineering and technology;Sì
DM  639/2024 ;CEAR-08/A;CEAR-08/A Architettura tecnica;08 - Ingegneria civile e Architettura;02 - Engineering and technology;Sì
DM  639/2024 ;CEAR-08/B;CEAR-08/B Produzione e gestione dell’ambiente costruito;08 - Ingegneria civile e Architettura;02 - Engineering and technology;Sì
DM  639/2024 ;CEAR-08/C;CEAR-08/C Progettazione tecnologica e ambientale dell’architettura;08 - Ingegneria civile e Architettura;02 - Engineering and technology;Sì
DM  639/2024 ;CEAR-08/D;CEAR-08/D Design;08 - Ingegneria civile e Architettura;02 - Engineering and technology;Sì
DM  639/2024 ;CEAR-09/A;CEAR-09/A Composizione architettonica e urbana;08 - Ingegneria civile e Architettura;02 - Engineering and technology;Sì
DM  639/2024 ;CEAR-09/B;CEAR-09/B Architettura del paesaggio;08 - Ingegneria civile e Architettura;02 - Engineering and technology;Sì
DM  639/2024 ;CEAR-09/C;CEAR-09/C Architettura degli interni e allestimento;08 - Ingegneria civile e Architettura;02 - Engineering and technology;Sì
DM  639/2024 ;CEAR-10/A;CEAR-10/A Disegno;08 - Ingegneria civile e Architettura;02 - Engineering and technology;Sì
DM  639/2024 ;CEAR-11/A;CEAR-11/A Storia dell’architettura;08 - Ingegneria civile e Architettura;02 - Engineering and technology;Sì
DM  639/2024 ;CEAR-11/B;CEAR-11/B Restauro dell’architettura;08 - Ingegneria civile e Architettura;02 - Engineering and technology;Sì
DM  639/2024 ;CEAR-12/A;CEAR-12/A Tecnica e pianificazione urbanistica;08 - Ingegneria civile e Architettura;02 - Engineering and technology;Sì
DM  639/2024 ;CEAR-12/B;CEAR-12/B Urbanistica;08 - Ingegneria civile e Architettura;02 - Engineering and technology;Sì
DM  639/2024 ;CHEM-01/A;CHEM-01/A Chimica analitica;03 - Scienze chimiche;01 - Natural sciences;Sì
DM  639/2024 ;CHEM-01/B;CHEM-01/B Chimica dell’ambiente e dei beni culturali;03 - Scienze chimiche;01 - Natural sciences;Sì
DM  639/2024 ;CHEM-02/A;CHEM-02/A Chimica fisica;03 - Scienze chimiche;01 - Natural sciences;Sì
DM  639/2024 ;CHEM-03/A;CHEM-03/A Chimica generale e inorganica;03 - Scienze chimiche;01 - Natural sciences;Sì
DM  639/2024 ;CHEM-04/A;CHEM-04/A Chimica industriale;03 - Scienze chimiche;01 - Natural sciences;Sì
DM  639/2024 ;CHEM-05/A;CHEM-05/A Chimica organica;03 - Scienze chimiche;01 - Natural sciences;Sì
DM  639/2024 ;CHEM-06/A;CHEM-06/A Fondamenti chimici delle tecnologie;03 - Scienze chimiche;01 - Natural sciences;Sì
DM  639/2024 ;CHEM-07/A;CHEM-07/A Chimica farmaceutica;03 - Scienze chimiche;01 - Natural sciences;Sì
DM  639/2024 ;CHEM-07/B;CHEM-07/B Chimica degli alimenti;03 - Scienze chimiche;01 - Natural sciences;Sì
DM  639/2024 ;CHEM-07/C;CHEM-07/C Chimica e biotecnologia delle fermentazioni;03 - Scienze chimiche;01 - Natural sciences;Sì
DM  639/2024 ;CHEM-08/A;CHEM-08/A Tecnologia, socioeconomia e normativa dei medicinali e dei prodotti per il benessere e per la salute;03 - Scienze chimiche;01 - Natural sciences;Sì
DM ottobre 2000;CHIM/01;CHIM/01 CHIMICA ANALITICA;03 - Scienze chimiche;01 - Natural sciences;Sì
DM ottobre 2000;CHIM/02;CHIM/02 CHIMICA FISICA;03 - Scienze chimiche;01 - Natural sciences;Sì
DM ottobre 2000;CHIM/03;CHIM/03 CHIMICA GENERALE E INORGANICA;03 - Scienze chimiche;01 - Natural sciences;Sì
DM ottobre 2000;CHIM/04;CHIM/04 CHIMICA INDUSTRIALE;03 - Scienze chimiche;01 - Natural sciences;Sì
DM ottobre 2000;CHIM/05;CHIM/05 SCIENZA E TECNOLOGIA DEI MATERIALI POLIMERICI;03 - Scienze chimiche;01 - Natural sciences;Sì
DM ottobre 2000;CHIM/06;CHIM/06 CHIMICA ORGANICA;03 - Scienze chimiche;01 - Natural sciences;Sì
DM ottobre 2000;CHIM/07;CHIM/07 FONDAMENTI CHIMICI DELLE TECNOLOGIE;03 - Scienze chimiche;01 - Natural sciences;Sì
DM ottobre 2000;CHIM/08;CHIM/08 CHIMICA FARMACEUTICA;03 - Scienze chimiche;01 - Natural sciences;Sì
DM ottobre 2000;CHIM/09;CHIM/09 FARMACEUTICO TECNOLOGICO APPLICATIVO;03 - Scienze chimiche;01 - Natural sciences;Sì
DM ottobre 2000;CHIM/10;CHIM/10 CHIMICA DEGLI ALIMENTI;03 - Scienze chimiche;01 - Natural sciences;Sì
DM ottobre 2000;CHIM/11;CHIM/11 CHIMICA E BIOTECNOLOGIA DELLE FERMENTAZIONI;03 - Scienze chimiche;01 - Natural sciences;Sì
DM ottobre 2000;CHIM/12;CHIM/12 CHIMICA DELL'AMBIENTE E DEI BENI CULTURALI;03 - Scienze chimiche;01 - Natural sciences;Sì
DM  639/2024 ;COMP-01/A;COMP-01/A Critica letteraria e letterature comparate;10 - Scienze dell'antichità, filologico-letterarie e storico-artistiche;06 - Humanities and the arts;No
DM  639/2024 ;ECON-01/A;ECON-01/A Economia politica;13 - Scienze economiche e statistiche;05 - Social sciences;No
DM  639/2024 ;ECON-02/A;ECON-02/A Politica economica;13 - Scienze economiche e statistiche;05 - Social sciences;No
DM  639/2024 ;ECON-03/A;ECON-03/A Scienza delle finanze;13 - Scienze economiche e statistiche;05 - Social sciences;No
DM  639/2024 ;ECON-04/A;ECON-04/A Economia applicata;13 - Scienze economiche e statistiche;05 - Social sciences;No
DM  639/2024 ;ECON-05/A;ECON-05/A Econometria;13 - Scienze economiche e statistiche;05 - Social sciences;No
DM  639/2024 ;ECON-06/A;ECON-06/A Economia aziendale;13 - Scienze economiche e statistiche;05 - Social sciences;No
DM  639/2024 ;ECON-07/A;ECON-07/A Economia e gestione delle imprese;13 - Scienze economiche e statistiche;05 - Social sciences;No
DM  639/2024 ;ECON-08/A;ECON-08/A Organizzazione aziendale;13 - Scienze economiche e statistiche;05 - Social sciences;No
DM  639/2024 ;ECON-09/A;ECON-09/A Finanza aziendale;13 - Scienze economiche e statistiche;05 - Social sciences;No
DM  639/2024 ;ECON-09/B;ECON-09/B Economia degli intermediari finanziari;13 - Scienze economiche e statistiche;05 - Social sciences;No
DM  639/2024 ;ECON-10/A;ECON-10/A Scienze merceologiche;13 - Scienze economiche e statistiche;05 - Social sciences;No
DM  639/2024 ;FICP-01/A;FICP-01/A Filologia greca e latina;10 - Scienze dell'antichità, filologico-letterarie e storico-artistiche;06 - Humanities and the arts;No
DM  639/2024 ;FICP-01/B;FICP-01/B Letteratura cristiana antica;10 - Scienze dell'antichità, filologico-letterarie e storico-artistiche;06 - Humanities and the arts;No
DM  639/2024 ;FICP-01/C;FICP-01/C Papirologia;10 - Scienze dell'antichità, filologico-letterarie e storico-artistiche;06 - Humanities and the arts;No
DM ottobre 2000;FIS/01;FIS/01 FISICA SPERIMENTALE;02 - Scienze fisiche;01 - Natural sciences;Sì
DM ottobre 2000;FIS/02;FIS/02 FISICA TEORICA, MODELLI E METODI MATEMATICI;02 - Scienze fisiche;01 - Natural sciences;Sì
DM ottobre 2000;FIS/03;FIS/03 FISICA DELLA MATERIA;02 - Scienze fisiche;01 - Natural sciences;Sì
DM ottobre 2000;FIS/04;FIS/04 FISICA NUCLEARE E SUBNUCLEARE;02 - Scienze fisiche;01 - Natural sciences;Sì
DM ottobre 2000;FIS/05;FIS/05 ASTRONOMIA E ASTROFISICA;02 - Scienze fisiche;01 - Natural sciences;Sì
DM ottobre 2000;FIS/06;FIS/06 FISICA PER IL SISTEMA TERRA E IL MEZZO CIRCUMTERRESTRE;02 - Scienze fisiche;01 - Natural sciences;Sì
DM ottobre 2000;FIS/07;FIS/07 FISICA APPLICATA (A BENI CULTURALI, AMBIENTALI, BIOLOGIA E MEDICINA);02 - Scienze fisiche;01 - Natural sciences;Sì
DM ottobre 2000;FIS/08;FIS/08 DIDATTICA E STORIA DELLA FISICA ;02 - Scienze fisiche;01 - Natural sciences;Sì
DM  639/2024 ;FLMR-01/A;FLMR-01/A Letteratura latina medievale e umanistica;10 - Scienze dell'antichità, filologico-letterarie e storico-artistiche;06 - Humanities and the arts;No
DM  639/2024 ;FLMR-01/B;FLMR-01/B Filologia e linguistica romanza;10 - Scienze dell'antichità, filologico-letterarie e storico-artistiche;06 - Humanities and the arts;No
DM  639/2024 ;FLMR-01/C;FLMR-01/C Letterature portoghese, brasiliana e di espressione lusofona;10 - Scienze dell'antichità, filologico-letterarie e storico-artistiche;06 - Humanities and the arts;No
DM  639/2024 ;FLMR-01/D;FLMR-01/D Lingua, traduzione e linguistica portoghese / brasiliana;10 - Scienze dell'antichità, filologico-letterarie e storico-artistiche;06 - Humanities and the arts;No
DM  639/2024 ;FLMR-01/E;FLMR-01/E Lingua e letteratura romena;10 - Scienze dell'antichità, filologico-letterarie e storico-artistiche;06 - Humanities and the arts;No
DM  639/2024 ;FRAN-01/A;FRAN-01/A Letteratura francese;10 - Scienze dell'antichità, filologico-letterarie e storico-artistiche;06 - Humanities and the arts;No
DM  639/2024 ;FRAN-01/B;FRAN-01/B Lingua, traduzione e linguistica francese;10 - Scienze dell'antichità, filologico-letterarie e storico-artistiche;06 - Humanities and the arts;No
DM ottobre 2000;GEO/01;GEO/01 PALEONTOLOGIA E PALEOECOLOGIA;04 - Scienze della terra;01 - Natural sciences;Sì
DM ottobre 2000;GEO/02;GEO/02 GEOLOGIA STRATIGRAFICA E SEDIMENTOLOGICA;04 - Scienze della terra;01 - Natural sciences;Sì
DM ottobre 2000;GEO/03;GEO/03 GEOLOGIA STRUTTURALE;04 - Scienze della terra;01 - Natural sciences;Sì
DM ottobre 2000;GEO/04;GEO/04 GEOGRAFIA FISICA E GEOMORFOLOGIA;04 - Scienze della terra;01 - Natural sciences;Sì
DM ottobre 2000;GEO/05;GEO/05 GEOLOGIA APPLICATA;04 - Scienze della terra;01 - Natural sciences;Sì
DM ottobre 2000;GEO/06;GEO/06 MINERALOGIA;04 - Scienze della terra;01 - Natural sciences;Sì
DM ottobre 2000;GEO/07;GEO/07 PETROLOGIA E PETROGRAFIA;04 - Scienze della terra;01 - Natural sciences;Sì
DM ottobre 2000;GEO/08;GEO/08 GEOCHIMICA E VULCANOLOGIA;04 - Scienze della terra;01 - Natural sciences;Sì
DM ottobre 2000;GEO/09;GEO/09 GEORISORSE MINERARIE E APPLICAZIONI MINERALOGICO- PETROGRAFICHE PER L'AMBIENTE ED I BENI CULTURALI;04 - Scienze della terra;01 - Natural sciences;Sì
DM ottobre 2000;GEO/10;GEO/10 GEOFISICA DELLA TERRA SOLIDA;04 - Scienze della terra;01 - Natural sciences;Sì
