ANNO;CODICE_ATENEO;NOME_ATENEO;REGIONE;AREA_GEO;GRADE;GENERE;CLASSE_ETA';N_AcStaff
2024;03801;Ferrara - Università degli studi;Emilia-Romagna;NORD-EST;D;M;45 - 54;8
2024;03801;Ferrara - Università degli studi;Emilia-Romagna;NORD-EST;D;M;35 - 44;16
2024;03801;Ferrara - Università degli studi;Emilia-Romagna;NORD-EST;D;M;>= 55;5
2024;04101;"Urbino - Università degli studi ""Carlo Bo""";Marche;CENTRO;A;M;35 - 44;2
2024;03801;Ferrara - Università degli studi;Emilia-Romagna;NORD-EST;D;F;45 - 54;4
2024;04101;"Urbino - Università degli studi ""Carlo Bo""";Marche;CENTRO;A;M;45 - 54;5
2024;03801;Ferrara - Università degli studi;Emilia-Romagna;NORD-EST;D;F;< 35;130
2024;03801;Ferrara - Università degli studi;Emilia-Romagna;NORD-EST;C;M;45 - 54;13
2024;03801;Ferrara - Università degli studi;Emilia-Romagna;NORD-EST;C;M;35 - 44;39
2024;03801;Ferrara - Università degli studi;Emilia-Romagna;NORD-EST;C;M;>= 55;16
2024;03801;Ferrara - Università degli studi;Emilia-Romagna;NORD-EST;C;M;< 35;13
2024;03801;Ferrara - Università degli studi;Emilia-Romagna;NORD-EST;C;F;45 - 54;16
2024;03801;Ferrara - Università degli studi;Emilia-Romagna;NORD-EST;C;F;35 - 44;49
2024;03801;Ferrara - Università degli studi;Emilia-Romagna;NORD-EST;D;M;< 35;104
2024;04101;"Urbino - Università degli studi ""Carlo Bo""";Marche;CENTRO;C;F;>= 55;24
2024;04101;"Urbino - Università degli studi ""Carlo Bo""";Marche;CENTRO;D;F;35 - 44;23
2024;04101;"Urbino - Università degli studi ""Carlo Bo""";Marche;CENTRO;D;F;>= 55;3
2024;04101;"Urbino - Università degli studi ""Carlo Bo""";Marche;CENTRO;D;F;< 35;43
2024;04101;"Urbino - Università degli studi ""Carlo Bo""";Marche;CENTRO;C;M;45 - 54;11
2024;04101;"Urbino - Università degli studi ""Carlo Bo""";Marche;CENTRO;C;M;35 - 44;14
2024;04101;"Urbino - Università degli studi ""Carlo Bo""";Marche;CENTRO;C;M;>= 55;16
2024;04101;"Urbino - Università degli studi ""Carlo Bo""";Marche;CENTRO;C;M;< 35;6
2024;04101;"Urbino - Università degli studi ""Carlo Bo""";Marche;CENTRO;A;M;>= 55;47
2024;04101;"Urbino - Università degli studi ""Carlo Bo""";Marche;CENTRO;C;F;35 - 44;13
2024;03801;Ferrara - Università degli studi;Emilia-Romagna;NORD-EST;B;M;45 - 54;68
2024;04101;"Urbino - Università degli studi ""Carlo Bo""";Marche;CENTRO;C;F;< 35;5
2024;04101;"Urbino - Università degli studi ""Carlo Bo""";Marche;CENTRO;B;M;45 - 54;45
2024;04101;"Urbino - Università degli studi ""Carlo Bo""";Marche;CENTRO;B;M;35 - 44;11
2024;04101;"Urbino - Università degli studi ""Carlo Bo""";Marche;CENTRO;B;M;>= 55;37
2024;04101;"Urbino - Università degli studi ""Carlo Bo""";Marche;CENTRO;B;F;45 - 54;32
2024;04101;"Urbino - Università degli studi ""Carlo Bo""";Marche;CENTRO;B;F;35 - 44;10
2024;04101;"Urbino - Università degli studi ""Carlo Bo""";Marche;CENTRO;B;F;>= 55;45
2024;04101;"Urbino - Università degli studi ""Carlo Bo""";Marche;CENTRO;C;F;45 - 54;13
2024;03701;Bologna - Università degli studi;Emilia-Romagna;NORD-EST;B;M;35 - 44;216
2024;03701;Bologna - Università degli studi;Emilia-Romagna;NORD-EST;C;M;45 - 54;71
2024;03701;Bologna - Università degli studi;Emilia-Romagna;NORD-EST;C;M;35 - 44;234
2024;03701;Bologna - Università degli studi;Emilia-Romagna;NORD-EST;C;M;>= 55;71
2024;03701;Bologna - Università degli studi;Emilia-Romagna;NORD-EST;C;M;< 35;138
2024;03701;Bologna - Università degli studi;Emilia-Romagna;NORD-EST;C;F;45 - 54;76
2024;03701;Bologna - Università degli studi;Emilia-Romagna;NORD-EST;C;F;35 - 44;225
2024;03701;Bologna - Università degli studi;Emilia-Romagna;NORD-EST;C;F;>= 55;53
2024;03801;Ferrara - Università degli studi;Emilia-Romagna;NORD-EST;C;F;>= 55;20
2024;03701;Bologna - Università degli studi;Emilia-Romagna;NORD-EST;B;M;45 - 54;334
2024;03701;Bologna - Università degli studi;Emilia-Romagna;NORD-EST;D;F;35 - 44;189
2024;03701;Bologna - Università degli studi;Emilia-Romagna;NORD-EST;B;M;>= 55;280
2024;03701;Bologna - Università degli studi;Emilia-Romagna;NORD-EST;B;M;< 35;4
2024;03701;Bologna - Università degli studi;Emilia-Romagna;NORD-EST;B;F;45 - 54;331
2024;03701;Bologna - Università degli studi;Emilia-Romagna;NORD-EST;B;F;35 - 44;131
2024;03701;Bologna - Università degli studi;Emilia-Romagna;NORD-EST;B;F;>= 55;228
2024;03701;Bologna - Università degli studi;Emilia-Romagna;NORD-EST;A;M;45 - 54;198
2024;03701;Bologna - Università degli studi;Emilia-Romagna;NORD-EST;A;M;35 - 44;17
2024;03701;Bologna - Università degli studi;Emilia-Romagna;NORD-EST;C;F;< 35;60
2024;03801;Ferrara - Università degli studi;Emilia-Romagna;NORD-EST;A;F;45 - 54;10
2024;03202;Trieste - Scuola internazionale superiore di studi avanzati;Friuli-Venezia Giulia;NORD-EST;B;M;35 - 44;12
2024;03801;Ferrara - Università degli studi;Emilia-Romagna;NORD-EST;B;M;35 - 44;40
2024;03801;Ferrara - Università degli studi;Emilia-Romagna;NORD-EST;B;M;>= 55;78
2024;03801;Ferrara - Università degli studi;Emilia-Romagna;NORD-EST;B;F;45 - 54;68
2024;03801;Ferrara - Università degli studi;Emilia-Romagna;NORD-EST;B;F;35 - 44;25
2024;03801;Ferrara - Università degli studi;Emilia-Romagna;NORD-EST;B;F;>= 55;61
2024;03801;Ferrara - Università degli studi;Emilia-Romagna;NORD-EST;A;M;45 - 54;34
2024;03701;Bologna - Università degli studi;Emilia-Romagna;NORD-EST;D;F;< 35;697
2024;03801;Ferrara - Università degli studi;Emilia-Romagna;NORD-EST;A;M;>= 55;118
2024;03701;Bologna - Università degli studi;Emilia-Romagna;NORD-EST;D;F;>= 55;8
2024;03801;Ferrara - Università degli studi;Emilia-Romagna;NORD-EST;A;F;35 - 44;1
2024;03801;Ferrara - Università degli studi;Emilia-Romagna;NORD-EST;A;F;>= 55;29
2024;03701;Bologna - Università degli studi;Emilia-Romagna;NORD-EST;D;M;45 - 54;27
2024;03701;Bologna - Università degli studi;Emilia-Romagna;NORD-EST;D;M;35 - 44;191
2024;03701;Bologna - Università degli studi;Emilia-Romagna;NORD-EST;D;M;>= 55;14
2024;03701;Bologna - Università degli studi;Emilia-Romagna;NORD-EST;D;M;< 35;755
2024;03701;Bologna - Università degli studi;Emilia-Romagna;NORD-EST;D;F;45 - 54;37
2024;03801;Ferrara - Università degli studi;Emilia-Romagna;NORD-EST;C;F;< 35;17
2024;03801;Ferrara - Università degli studi;Emilia-Romagna;NORD-EST;A;M;35 - 44;2
2024;02702;Venezia - Università IUAV;Veneto;NORD-EST;B;M;45 - 54;14
2024;02801;Padova - Università degli studi;Veneto;NORD-EST;C;F;>= 55;35
2024;02702;Venezia - Università IUAV;Veneto;NORD-EST;D;F;< 35;44
2024;02702;Venezia - Università IUAV;Veneto;NORD-EST;C;M;45 - 54;1
2024;02702;Venezia - Università IUAV;Veneto;NORD-EST;C;M;35 - 44;14
2024;02702;Venezia - Università IUAV;Veneto;NORD-EST;C;M;>= 55;4
2024;02702;Venezia - Università IUAV;Veneto;NORD-EST;C;F;45 - 54;2
2024;02702;Venezia - Università IUAV;Veneto;NORD-EST;C;F;35 - 44;8
2024;02702;Venezia - Università IUAV;Veneto;NORD-EST;D;F;45 - 54;4
2024;02702;Venezia - Università IUAV;Veneto;NORD-EST;C;F;< 35;4
2024;02702;Venezia - Università IUAV;Veneto;NORD-EST;D;M;< 35;36
2024;02702;Venezia - Università IUAV;Veneto;NORD-EST;B;M;35 - 44;9
2024;02702;Venezia - Università IUAV;Veneto;NORD-EST;B;M;>= 55;25
2024;02702;Venezia - Università IUAV;Veneto;NORD-EST;B;F;45 - 54;19
2024;02702;Venezia - Università IUAV;Veneto;NORD-EST;B;F;35 - 44;4
2024;02702;Venezia - Università IUAV;Veneto;NORD-EST;B;F;>= 55;13
2024;02702;Venezia - Università IUAV;Veneto;NORD-EST;A;M;45 - 54;6
2024;02702;Venezia - Università IUAV;Veneto;NORD-EST;A;M;35 - 44;1
2024;02702;Venezia - Università IUAV;Veneto;NORD-EST;C;F;>= 55;3
2024;02801;Padova - Università degli studi;Veneto;NORD-EST;A;M;35 - 44;24
2024;03202;Trieste - Scuola internazionale superiore di studi avanzati;Friuli-Venezia Giulia;NORD-EST;C;F;< 35;2
2024;02801;Padova - Università degli studi;Veneto;NORD-EST;B;M;45 - 54;308
2024;02801;Padova - Università degli studi;Veneto;NORD-EST;B;M;35 - 44;176
2024;02801;Padova - Università degli studi;Veneto;NORD-EST;B;M;>= 55;266
2024;02801;Padova - Università degli studi;Veneto;NORD-EST;B;M;< 35;2
2024;02801;Padova - Università degli studi;Veneto;NORD-EST;B;F;45 - 54;218
2024;02801;Padova - Università degli studi;Veneto;NORD-EST;B;F;35 - 44;122
2024;02702;Venezia - Università IUAV;Veneto;NORD-EST;D;F;35 - 44;17
2024;02801;Padova - Università degli studi;Veneto;NORD-EST;A;M;45 - 54;134
2024;02702;Venezia - Università IUAV;Veneto;NORD-EST;A;F;>= 55;16
2024;02801;Padova - Università degli studi;Veneto;NORD-EST;A;M;>= 55;347
2024;02801;Padova - Università degli studi;Veneto;NORD-EST;A;F;45 - 54;54
2024;02801;Padova - Università degli studi;Veneto;NORD-EST;A;F;35 - 44;3
2024;02801;Padova - Università degli studi;Veneto;NORD-EST;A;F;>= 55;123
2024;02702;Venezia - Università IUAV;Veneto;NORD-EST;D;M;45 - 54;5
2024;02702;Venezia - Università IUAV;Veneto;NORD-EST;D;M;35 - 44;19
2024;02702;Venezia - Università IUAV;Veneto;NORD-EST;D;M;>= 55;1
2024;02801;Padova - Università degli studi;Veneto;NORD-EST;B;F;>= 55;170
2024;02301;Verona - Università degli studi;Veneto;NORD-EST;D;M;45 - 54;7
2024;02701;"Venezia - Università degli studi ""Cà Foscari""";Veneto;NORD-EST;B;F;45 - 54;53
2024;02701;"Venezia - Università degli studi ""Cà Foscari""";Veneto;NORD-EST;B;F;35 - 44;37
2024;02701;"Venezia - Università degli studi ""Cà Foscari""";Veneto;NORD-EST;B;F;>= 55;52
2024;02701;"Venezia - Università degli studi ""Cà Foscari""";Veneto;NORD-EST;A;M;45 - 54;34
2024;02701;"Venezia - Università degli studi ""Cà Foscari""";Veneto;NORD-EST;A;M;35 - 44;8
2024;02701;"Venezia - Università degli studi ""Cà Foscari""";Veneto;NORD-EST;A;M;>= 55;80
2024;02701;"Venezia - Università degli studi ""Cà Foscari""";Veneto;NORD-EST;A;F;45 - 54;14
2024;02702;Venezia - Università IUAV;Veneto;NORD-EST;A;M;>= 55;21
2024;02701;"Venezia - Università degli studi ""Cà Foscari""";Veneto;NORD-EST;A;F;>= 55;45
2024;02701;"Venezia - Università degli studi ""Cà Foscari""";Veneto;NORD-EST;B;M;45 - 54;74
2024;02301;Verona - Università degli studi;Veneto;NORD-EST;D;M;35 - 44;36
2024;02301;Verona - Università degli studi;Veneto;NORD-EST;D;M;>= 55;5
2024;02301;Verona - Università degli studi;Veneto;NORD-EST;D;M;< 35;136
2024;02301;Verona - Università degli studi;Veneto;NORD-EST;D;F;45 - 54;15
2024;02301;Verona - Università degli studi;Veneto;NORD-EST;D;F;35 - 44;68
2024;02301;Verona - Università degli studi;Veneto;NORD-EST;D;F;>= 55;6
2024;05403;Perugia - Università per stranieri;Umbria;CENTRO;C;F;>= 55;2
2024;02701;"Venezia - Università degli studi ""Cà Foscari""";Veneto;NORD-EST;A;F;35 - 44;3
2024;02701;"Venezia - Università degli studi ""Cà Foscari""";Veneto;NORD-EST;C;M;45 - 54;26
2024;02801;Padova - Università degli studi;Veneto;NORD-EST;C;F;35 - 44;188
2024;02701;"Venezia - Università degli studi ""Cà Foscari""";Veneto;NORD-EST;D;M;45 - 54;24
2024;02701;"Venezia - Università degli studi ""Cà Foscari""";Veneto;NORD-EST;D;M;35 - 44;65
2024;02701;"Venezia - Università degli studi ""Cà Foscari""";Veneto;NORD-EST;D;M;>= 55;3
2024;02701;"Venezia - Università degli studi ""Cà Foscari""";Veneto;NORD-EST;D;M;< 35;100
2024;02701;"Venezia - Università degli studi ""Cà Foscari""";Veneto;NORD-EST;D;F;45 - 54;25
2024;02701;"Venezia - Università degli studi ""Cà Foscari""";Veneto;NORD-EST;D;F;35 - 44;82
2024;02701;"Venezia - Università degli studi ""Cà Foscari""";Veneto;NORD-EST;B;M;>= 55;58
2024;02701;"Venezia - Università degli studi ""Cà Foscari""";Veneto;NORD-EST;D;F;< 35;120
2024;02701;"Venezia - Università degli studi ""Cà Foscari""";Veneto;NORD-EST;B;M;35 - 44;47
2024;02701;"Venezia - Università degli studi ""Cà Foscari""";Veneto;NORD-EST;C;M;35 - 44;47
2024;02701;"Venezia - Università degli studi ""Cà Foscari""";Veneto;NORD-EST;C;M;>= 55;6
2024;02701;"Venezia - Università degli studi ""Cà Foscari""";Veneto;NORD-EST;C;M;< 35;17
2024;02701;"Venezia - Università degli studi ""Cà Foscari""";Veneto;NORD-EST;C;F;45 - 54;20
2024;02701;"Venezia - Università degli studi ""Cà Foscari""";Veneto;NORD-EST;C;F;35 - 44;47
2024;02701;"Venezia - Università degli studi ""Cà Foscari""";Veneto;NORD-EST;C;F;>= 55;12
2024;02701;"Venezia - Università degli studi ""Cà Foscari""";Veneto;NORD-EST;C;F;< 35;9
2024;02702;Venezia - Università IUAV;Veneto;NORD-EST;A;F;45 - 54;4
2024;02701;"Venezia - Università degli studi ""Cà Foscari""";Veneto;NORD-EST;D;F;>= 55;5
2024;03201;Trieste - Università degli studi;Friuli-Venezia Giulia;NORD-EST;B;F;35 - 44;22
2024;02801;Padova - Università degli studi;Veneto;NORD-EST;C;F;< 35;75
2024;03201;Trieste - Università degli studi;Friuli-Venezia Giulia;NORD-EST;C;F;35 - 44;28
2024;03201;Trieste - Università degli studi;Friuli-Venezia Giulia;NORD-EST;C;F;>= 55;32
2024;03201;Trieste - Università degli studi;Friuli-Venezia Giulia;NORD-EST;C;F;< 35;8
2024;03201;Trieste - Università degli studi;Friuli-Venezia Giulia;NORD-EST;B;M;45 - 54;92
2024;03201;Trieste - Università degli studi;Friuli-Venezia Giulia;NORD-EST;B;M;35 - 44;44
2024;03201;Trieste - Università degli studi;Friuli-Venezia Giulia;NORD-EST;B;M;>= 55;110
2024;03201;Trieste - Università degli studi;Friuli-Venezia Giulia;NORD-EST;C;M;< 35;13
2024;03201;Trieste - Università degli studi;Friuli-Venezia Giulia;NORD-EST;B;F;45 - 54;45
2024;03201;Trieste - Università degli studi;Friuli-Venezia Giulia;NORD-EST;C;M;>= 55;31
2024;03201;Trieste - Università degli studi;Friuli-Venezia Giulia;NORD-EST;B;F;>= 55;59
2024;03201;Trieste - Università degli studi;Friuli-Venezia Giulia;NORD-EST;A;M;45 - 54;17
2024;03201;Trieste - Università degli studi;Friuli-Venezia Giulia;NORD-EST;A;M;35 - 44;2
2024;03201;Trieste - Università degli studi;Friuli-Venezia Giulia;NORD-EST;A;M;>= 55;91
2024;03201;Trieste - Università degli studi;Friuli-Venezia Giulia;NORD-EST;A;F;45 - 54;2
2024;03201;Trieste - Università degli studi;Friuli-Venezia Giulia;NORD-EST;A;F;>= 55;28
2024;03001;Udine - Università degli studi;Friuli-Venezia Giulia;NORD-EST;D;M;45 - 54;8
2024;03201;Trieste - Università degli studi;Friuli-Venezia Giulia;NORD-EST;B;M;< 35;3
2024;03201;Trieste - Università degli studi;Friuli-Venezia Giulia;NORD-EST;D;M;35 - 44;26
2024;03202;Trieste - Scuola internazionale superiore di studi avanzati;Friuli-Venezia Giulia;NORD-EST;B;M;>= 55;4
2024;03202;Trieste - Scuola internazionale superiore di studi avanzati;Friuli-Venezia Giulia;NORD-EST;B;F;35 - 44;1
2024;03202;Trieste - Scuola internazionale superiore di studi avanzati;Friuli-Venezia Giulia;NORD-EST;B;F;>= 55;1
2024;03202;Trieste - Scuola internazionale superiore di studi avanzati;Friuli-Venezia Giulia;NORD-EST;A;M;45 - 54;19
