Anno;CODICE_ATENEO;NOME_ATENEO;REGIONE;AREA_GEO;Qualifica;GENERE;PERC_QUAL_PERS_TA
2024;00201;"Università degli studi del Piemonte orientale ""Amedeo Avogadro""";Piemonte;NORD-OVEST;DIRIGENTE II FASCIA;M;50,0%
2024;00201;"Università degli studi del Piemonte orientale ""Amedeo Avogadro""";Piemonte;NORD-OVEST;FUNZIONARIO;F;67,9%
2024;00201;"Università degli studi del Piemonte orientale ""Amedeo Avogadro""";Piemonte;NORD-OVEST;FUNZIONARIO;M;32,1%
2024;00201;"Università degli studi del Piemonte orientale ""Amedeo Avogadro""";Piemonte;NORD-OVEST;OPERATORE;F;87,5%
2024;00201;"Università degli studi del Piemonte orientale ""Amedeo Avogadro""";Piemonte;NORD-OVEST;OPERATORE;M;12,5%
2024;00201;"Università degli studi del Piemonte orientale ""Amedeo Avogadro""";Piemonte;NORD-OVEST;POSIZIONE ECONOMICA EP;F;55,6%
2024;00201;"Università degli studi del Piemonte orientale ""Amedeo Avogadro""";Piemonte;NORD-OVEST;POSIZIONE ECONOMICA EP;M;44,4%
2024;01001;Università degli Studi di GENOVA;Liguria;NORD-OVEST;COLLABORATORE;F;64,3%
2024;01001;Università degli Studi di GENOVA;Liguria;NORD-OVEST;COLLABORATORE;M;35,7%
2024;01001;Università degli Studi di GENOVA;Liguria;NORD-OVEST;DIRETTORE GENERALE;F;100,0%
2024;01001;Università degli Studi di GENOVA;Liguria;NORD-OVEST;DIRETTORE GENERALE;M;0,0%
2024;01001;Università degli Studi di GENOVA;Liguria;NORD-OVEST;DIRIGENTE II FASCIA;F;75,0%
2024;01001;Università degli Studi di GENOVA;Liguria;NORD-OVEST;DIRIGENTE II FASCIA;M;25,0%
2024;01001;Università degli Studi di GENOVA;Liguria;NORD-OVEST;FUNZIONARIO;F;64,7%
2024;01001;Università degli Studi di GENOVA;Liguria;NORD-OVEST;FUNZIONARIO;M;35,3%
2024;01001;Università degli Studi di GENOVA;Liguria;NORD-OVEST;OPERATORE;F;60,8%
2024;01001;Università degli Studi di GENOVA;Liguria;NORD-OVEST;OPERATORE;M;39,2%
2024;01001;Università degli Studi di GENOVA;Liguria;NORD-OVEST;POSIZIONE ECONOMICA EP;F;44,9%
2024;01001;Università degli Studi di GENOVA;Liguria;NORD-OVEST;POSIZIONE ECONOMICA EP;M;55,1%
2024;01202;Università degli studi dell' Insubria;Lombardia;NORD-OVEST;COLLABORATORE;F;77,3%
2024;01202;Università degli studi dell' Insubria;Lombardia;NORD-OVEST;COLLABORATORE;M;22,7%
2024;01202;Università degli studi dell' Insubria;Lombardia;NORD-OVEST;DIRETTORE GENERALE;F;0,0%
2024;01202;Università degli studi dell' Insubria;Lombardia;NORD-OVEST;DIRETTORE GENERALE;M;100,0%
2024;01202;Università degli studi dell' Insubria;Lombardia;NORD-OVEST;DIRIGENTE II FASCIA;F;50,0%
2024;01202;Università degli studi dell' Insubria;Lombardia;NORD-OVEST;DIRIGENTE II FASCIA;M;50,0%
2024;01202;Università degli studi dell' Insubria;Lombardia;NORD-OVEST;FUNZIONARIO;F;77,0%
2024;01202;Università degli studi dell' Insubria;Lombardia;NORD-OVEST;FUNZIONARIO;M;23,0%
2024;01202;Università degli studi dell' Insubria;Lombardia;NORD-OVEST;OPERATORE;F;63,0%
2024;01202;Università degli studi dell' Insubria;Lombardia;NORD-OVEST;OPERATORE;M;37,0%
2024;01202;Università degli studi dell' Insubria;Lombardia;NORD-OVEST;POSIZIONE ECONOMICA EP;F;52,4%
2024;01202;Università degli studi dell' Insubria;Lombardia;NORD-OVEST;POSIZIONE ECONOMICA EP;M;47,6%
2024;01501;Università degli Studi di MILANO;Lombardia;NORD-OVEST;COLLABORATORE;F;62,5%
2024;01501;Università degli Studi di MILANO;Lombardia;NORD-OVEST;COLLABORATORE;M;37,5%
2024;01501;Università degli Studi di MILANO;Lombardia;NORD-OVEST;DIRETTORE GENERALE;F;0,0%
2024;01501;Università degli Studi di MILANO;Lombardia;NORD-OVEST;DIRETTORE GENERALE;M;100,0%
2024;01501;Università degli Studi di MILANO;Lombardia;NORD-OVEST;DIRIGENTE II FASCIA;F;75,0%
2024;01501;Università degli Studi di MILANO;Lombardia;NORD-OVEST;DIRIGENTE II FASCIA;M;25,0%
2024;01501;Università degli Studi di MILANO;Lombardia;NORD-OVEST;FUNZIONARIO;F;65,6%
2024;01501;Università degli Studi di MILANO;Lombardia;NORD-OVEST;FUNZIONARIO;M;34,4%
2024;01501;Università degli Studi di MILANO;Lombardia;NORD-OVEST;OPERATORE;F;65,7%
2024;01501;Università degli Studi di MILANO;Lombardia;NORD-OVEST;OPERATORE;M;34,3%
2024;01501;Università degli Studi di MILANO;Lombardia;NORD-OVEST;POSIZIONE ECONOMICA EP;F;61,8%
2024;01501;Università degli Studi di MILANO;Lombardia;NORD-OVEST;POSIZIONE ECONOMICA EP;M;38,2%
2024;01502;Politecnico di MILANO;Lombardia;NORD-OVEST;COLLABORATORE;F;66,1%
2024;01502;Politecnico di MILANO;Lombardia;NORD-OVEST;COLLABORATORE;M;33,9%
2024;01502;Politecnico di MILANO;Lombardia;NORD-OVEST;DIRETTORE GENERALE;F;0,0%
2024;01502;Politecnico di MILANO;Lombardia;NORD-OVEST;DIRETTORE GENERALE;M;100,0%
2024;01502;Politecnico di MILANO;Lombardia;NORD-OVEST;DIRIGENTE II FASCIA;F;44,4%
2024;01502;Politecnico di MILANO;Lombardia;NORD-OVEST;DIRIGENTE II FASCIA;M;55,6%
2024;01502;Politecnico di MILANO;Lombardia;NORD-OVEST;FUNZIONARIO;F;59,4%
2024;01502;Politecnico di MILANO;Lombardia;NORD-OVEST;FUNZIONARIO;M;40,6%
2024;01502;Politecnico di MILANO;Lombardia;NORD-OVEST;OPERATORE;F;64,9%
2024;01502;Politecnico di MILANO;Lombardia;NORD-OVEST;OPERATORE;M;35,1%
2024;01502;Politecnico di MILANO;Lombardia;NORD-OVEST;POSIZIONE ECONOMICA EP;F;38,8%
2024;01502;Politecnico di MILANO;Lombardia;NORD-OVEST;POSIZIONE ECONOMICA EP;M;61,3%
2024;01509;Università degli Studi di MILANO-BICOCCA;Lombardia;NORD-OVEST;COLLABORATORE;F;58,0%
2024;01509;Università degli Studi di MILANO-BICOCCA;Lombardia;NORD-OVEST;COLLABORATORE;M;42,0%
2024;01509;Università degli Studi di MILANO-BICOCCA;Lombardia;NORD-OVEST;DIRETTORE GENERALE;F;0,0%
2024;01509;Università degli Studi di MILANO-BICOCCA;Lombardia;NORD-OVEST;DIRETTORE GENERALE;M;100,0%
2024;01509;Università degli Studi di MILANO-BICOCCA;Lombardia;NORD-OVEST;DIRIGENTE II FASCIA;F;75,0%
2024;01509;Università degli Studi di MILANO-BICOCCA;Lombardia;NORD-OVEST;DIRIGENTE II FASCIA;M;25,0%
2024;01509;Università degli Studi di MILANO-BICOCCA;Lombardia;NORD-OVEST;FUNZIONARIO;F;63,5%
2024;01509;Università degli Studi di MILANO-BICOCCA;Lombardia;NORD-OVEST;FUNZIONARIO;M;36,5%
2024;01509;Università degli Studi di MILANO-BICOCCA;Lombardia;NORD-OVEST;OPERATORE;F;42,9%
2024;01509;Università degli Studi di MILANO-BICOCCA;Lombardia;NORD-OVEST;OPERATORE;M;57,1%
2024;01509;Università degli Studi di MILANO-BICOCCA;Lombardia;NORD-OVEST;POSIZIONE ECONOMICA EP;F;66,1%
2024;01509;Università degli Studi di MILANO-BICOCCA;Lombardia;NORD-OVEST;POSIZIONE ECONOMICA EP;M;33,9%
2024;01601;Università degli Studi di BERGAMO;Lombardia;NORD-OVEST;COLLABORATORE;F;78,5%
2024;01601;Università degli Studi di BERGAMO;Lombardia;NORD-OVEST;COLLABORATORE;M;21,5%
2024;01601;Università degli Studi di BERGAMO;Lombardia;NORD-OVEST;DIRETTORE GENERALE;F;100,0%
2024;01601;Università degli Studi di BERGAMO;Lombardia;NORD-OVEST;DIRETTORE GENERALE;M;0,0%
2024;01601;Università degli Studi di BERGAMO;Lombardia;NORD-OVEST;DIRIGENTE II FASCIA;F;50,0%
2024;01601;Università degli Studi di BERGAMO;Lombardia;NORD-OVEST;DIRIGENTE II FASCIA;M;50,0%
2024;01601;Università degli Studi di BERGAMO;Lombardia;NORD-OVEST;FUNZIONARIO;F;70,6%
2024;01601;Università degli Studi di BERGAMO;Lombardia;NORD-OVEST;FUNZIONARIO;M;29,4%
2024;01601;Università degli Studi di BERGAMO;Lombardia;NORD-OVEST;OPERATORE;F;35,7%
2024;01601;Università degli Studi di BERGAMO;Lombardia;NORD-OVEST;OPERATORE;M;64,3%
2024;01601;Università degli Studi di BERGAMO;Lombardia;NORD-OVEST;POSIZIONE ECONOMICA EP;F;77,8%
2024;01601;Università degli Studi di BERGAMO;Lombardia;NORD-OVEST;POSIZIONE ECONOMICA EP;M;22,2%
2024;01701;Università degli Studi di BRESCIA;Lombardia;NORD-OVEST;COLLABORATORE;F;68,8%
2024;01701;Università degli Studi di BRESCIA;Lombardia;NORD-OVEST;COLLABORATORE;M;31,2%
2024;01701;Università degli Studi di BRESCIA;Lombardia;NORD-OVEST;DIRETTORE GENERALE;F;100,0%
2024;01701;Università degli Studi di BRESCIA;Lombardia;NORD-OVEST;DIRETTORE GENERALE;M;0,0%
2024;01701;Università degli Studi di BRESCIA;Lombardia;NORD-OVEST;DIRIGENTE II FASCIA;F;50,0%
2024;01701;Università degli Studi di BRESCIA;Lombardia;NORD-OVEST;DIRIGENTE II FASCIA;M;50,0%
2024;01701;Università degli Studi di BRESCIA;Lombardia;NORD-OVEST;FUNZIONARIO;F;69,6%
2024;01701;Università degli Studi di BRESCIA;Lombardia;NORD-OVEST;FUNZIONARIO;M;30,4%
2024;01701;Università degli Studi di BRESCIA;Lombardia;NORD-OVEST;OPERATORE;F;71,7%
2024;01701;Università degli Studi di BRESCIA;Lombardia;NORD-OVEST;OPERATORE;M;28,3%
2024;01701;Università degli Studi di BRESCIA;Lombardia;NORD-OVEST;POSIZIONE ECONOMICA EP;F;41,7%
2024;01701;Università degli Studi di BRESCIA;Lombardia;NORD-OVEST;POSIZIONE ECONOMICA EP;M;58,3%
2024;01801;Università degli Studi di PAVIA;Lombardia;NORD-OVEST;COLLABORATORE;F;69,6%
2024;01801;Università degli Studi di PAVIA;Lombardia;NORD-OVEST;COLLABORATORE;M;30,4%
2024;01801;Università degli Studi di PAVIA;Lombardia;NORD-OVEST;DIRETTORE GENERALE;F;100,0%
2024;01801;Università degli Studi di PAVIA;Lombardia;NORD-OVEST;DIRETTORE GENERALE;M;0,0%
2024;01801;Università degli Studi di PAVIA;Lombardia;NORD-OVEST;DIRIGENTE II FASCIA;F;33,3%
2024;01801;Università degli Studi di PAVIA;Lombardia;NORD-OVEST;DIRIGENTE II FASCIA;M;66,7%
2024;01801;Università degli Studi di PAVIA;Lombardia;NORD-OVEST;FUNZIONARIO;F;69,6%
2024;01801;Università degli Studi di PAVIA;Lombardia;NORD-OVEST;FUNZIONARIO;M;30,4%
2024;01801;Università degli Studi di PAVIA;Lombardia;NORD-OVEST;OPERATORE;F;59,2%
2024;01801;Università degli Studi di PAVIA;Lombardia;NORD-OVEST;OPERATORE;M;40,8%
2024;01801;Università degli Studi di PAVIA;Lombardia;NORD-OVEST;POSIZIONE ECONOMICA EP;F;74,3%
2024;01801;Università degli Studi di PAVIA;Lombardia;NORD-OVEST;POSIZIONE ECONOMICA EP;M;25,7%
2024;01802;Istituto universitario di studi superiori di Pavia;Lombardia;NORD-OVEST;COLLABORATORE;F;77,8%
2024;01802;Istituto universitario di studi superiori di Pavia;Lombardia;NORD-OVEST;COLLABORATORE;M;22,2%
2024;01802;Istituto universitario di studi superiori di Pavia;Lombardia;NORD-OVEST;DIRETTORE GENERALE;F;0,0%
2024;01802;Istituto universitario di studi superiori di Pavia;Lombardia;NORD-OVEST;DIRETTORE GENERALE;M;100,0%
2024;01802;Istituto universitario di studi superiori di Pavia;Lombardia;NORD-OVEST;FUNZIONARIO;F;87,5%
2024;01802;Istituto universitario di studi superiori di Pavia;Lombardia;NORD-OVEST;FUNZIONARIO;M;12,5%
2024;01802;Istituto universitario di studi superiori di Pavia;Lombardia;NORD-OVEST;OPERATORE;F;0,0%
2024;01802;Istituto universitario di studi superiori di Pavia;Lombardia;NORD-OVEST;OPERATORE;M;100,0%
2024;01802;Istituto universitario di studi superiori di Pavia;Lombardia;NORD-OVEST;POSIZIONE ECONOMICA EP;F;66,7%
2024;01802;Istituto universitario di studi superiori di Pavia;Lombardia;NORD-OVEST;POSIZIONE ECONOMICA EP;M;33,3%
2024;02201;Università degli Studi di TRENTO;Trentino-Alto Adige;NORD-EST;COLLABORATORE;F;69,7%
2024;02201;Università degli Studi di TRENTO;Trentino-Alto Adige;NORD-EST;COLLABORATORE;M;30,3%
2024;02201;Università degli Studi di TRENTO;Trentino-Alto Adige;NORD-EST;DIRETTORE GENERALE;F;0,0%
2024;02201;Università degli Studi di TRENTO;Trentino-Alto Adige;NORD-EST;DIRETTORE GENERALE;M;100,0%
2024;02201;Università degli Studi di TRENTO;Trentino-Alto Adige;NORD-EST;DIRIGENTE II FASCIA;F;0,0%
2024;02201;Università degli Studi di TRENTO;Trentino-Alto Adige;NORD-EST;DIRIGENTE II FASCIA;M;100,0%
2024;02201;Università degli Studi di TRENTO;Trentino-Alto Adige;NORD-EST;FUNZIONARIO;F;66,9%
2024;02201;Università degli Studi di TRENTO;Trentino-Alto Adige;NORD-EST;FUNZIONARIO;M;33,1%
2024;02201;Università degli Studi di TRENTO;Trentino-Alto Adige;NORD-EST;OPERATORE;F;20,0%
2024;02201;Università degli Studi di TRENTO;Trentino-Alto Adige;NORD-EST;OPERATORE;M;80,0%
2024;02201;Università degli Studi di TRENTO;Trentino-Alto Adige;NORD-EST;POSIZIONE ECONOMICA EP;F;46,2%
2024;02201;Università degli Studi di TRENTO;Trentino-Alto Adige;NORD-EST;POSIZIONE ECONOMICA EP;M;53,8%
2024;02301;Università degli Studi di VERONA;Veneto;NORD-EST;COLLABORATORE;F;69,3%
2024;02301;Università degli Studi di VERONA;Veneto;NORD-EST;COLLABORATORE;M;30,7%
2024;02301;Università degli Studi di VERONA;Veneto;NORD-EST;DIRETTORE GENERALE;F;0,0%
2024;02301;Università degli Studi di VERONA;Veneto;NORD-EST;DIRETTORE GENERALE;M;100,0%
2024;02301;Università degli Studi di VERONA;Veneto;NORD-EST;DIRIGENTE II FASCIA;F;60,0%
2024;02301;Università degli Studi di VERONA;Veneto;NORD-EST;DIRIGENTE II FASCIA;M;40,0%
2024;02301;Università degli Studi di VERONA;Veneto;NORD-EST;FUNZIONARIO;F;68,8%
2024;02301;Università degli Studi di VERONA;Veneto;NORD-EST;FUNZIONARIO;M;31,2%
2024;02301;Università degli Studi di VERONA;Veneto;NORD-EST;OPERATORE;F;48,0%
2024;02301;Università degli Studi di VERONA;Veneto;NORD-EST;OPERATORE;M;52,0%
2024;02301;Università degli Studi di VERONA;Veneto;NORD-EST;POSIZIONE ECONOMICA EP;F;57,1%
2024;02301;Università degli Studi di VERONA;Veneto;NORD-EST;POSIZIONE ECONOMICA EP;M;42,9%
2024;02701;Università degli studi Ca' Foscari di Venezia;Veneto;NORD-EST;COLLABORATORE;F;71,0%
2024;02701;Università degli studi Ca' Foscari di Venezia;Veneto;NORD-EST;COLLABORATORE;M;29,0%
2024;02701;Università degli studi Ca' Foscari di Venezia;Veneto;NORD-EST;DIRETTORE GENERALE;F;0,0%
2024;02701;Università degli studi Ca' Foscari di Venezia;Veneto;NORD-EST;DIRETTORE GENERALE;M;100,0%
2024;02701;Università degli studi Ca' Foscari di Venezia;Veneto;NORD-EST;DIRIGENTE II FASCIA;F;40,0%
2024;02701;Università degli studi Ca' Foscari di Venezia;Veneto;NORD-EST;DIRIGENTE II FASCIA;M;60,0%
2024;02701;Università degli studi Ca' Foscari di Venezia;Veneto;NORD-EST;FUNZIONARIO;F;72,5%
2024;02701;Università degli studi Ca' Foscari di Venezia;Veneto;NORD-EST;FUNZIONARIO;M;27,5%
2024;02701;Università degli studi Ca' Foscari di Venezia;Veneto;NORD-EST;OPERATORE;F;73,2%
2024;02701;Università degli studi Ca' Foscari di Venezia;Veneto;NORD-EST;OPERATORE;M;26,8%
2024;02701;Università degli studi Ca' Foscari di Venezia;Veneto;NORD-EST;POSIZIONE ECONOMICA EP;F;69,7%
2024;02701;Università degli studi Ca' Foscari di Venezia;Veneto;NORD-EST;POSIZIONE ECONOMICA EP;M;30,3%
2024;02702;Università IUAV di VENEZIA;Veneto;NORD-EST;COLLABORATORE;F;70,4%
2024;02702;Università IUAV di VENEZIA;Veneto;NORD-EST;COLLABORATORE;M;29,6%
2024;02702;Università IUAV di VENEZIA;Veneto;NORD-EST;DIRETTORE GENERALE;F;0,0%
2024;02702;Università IUAV di VENEZIA;Veneto;NORD-EST;DIRETTORE GENERALE;M;100,0%
2024;02702;Università IUAV di VENEZIA;Veneto;NORD-EST;DIRIGENTE II FASCIA;F;50,0%
2024;02702;Università IUAV di VENEZIA;Veneto;NORD-EST;DIRIGENTE II FASCIA;M;50,0%
2024;02702;Università IUAV di VENEZIA;Veneto;NORD-EST;FUNZIONARIO;F;65,5%
2024;02702;Università IUAV di VENEZIA;Veneto;NORD-EST;FUNZIONARIO;M;34,5%
2024;02702;Università IUAV di VENEZIA;Veneto;NORD-EST;POSIZIONE ECONOMICA EP;F;80,0%
2024;02702;Università IUAV di VENEZIA;Veneto;NORD-EST;POSIZIONE ECONOMICA EP;M;20,0%
2024;02801;Università degli Studi di PADOVA;Veneto;NORD-EST;COLLABORATORE;F;64,8%
2024;02801;Università degli Studi di PADOVA;Veneto;NORD-EST;COLLABORATORE;M;35,2%
2024;02801;Università degli Studi di PADOVA;Veneto;NORD-EST;DIRETTORE GENERALE;F;0,0%
2024;02801;Università degli Studi di PADOVA;Veneto;NORD-EST;DIRETTORE GENERALE;M;100,0%
2024;02801;Università degli Studi di PADOVA;Veneto;NORD-EST;DIRIGENTE II FASCIA;F;37,5%
2024;02801;Università degli Studi di PADOVA;Veneto;NORD-EST;DIRIGENTE II FASCIA;M;62,5%
2024;02801;Università degli Studi di PADOVA;Veneto;NORD-EST;FUNZIONARIO;F;63,7%
2024;02801;Università degli Studi di PADOVA;Veneto;NORD-EST;FUNZIONARIO;M;36,3%
2024;02801;Università degli Studi di PADOVA;Veneto;NORD-EST;OPERATORE;F;61,1%
2024;02801;Università degli Studi di PADOVA;Veneto;NORD-EST;OPERATORE;M;38,9%
2024;02801;Università degli Studi di PADOVA;Veneto;NORD-EST;POSIZIONE ECONOMICA EP;F;60,9%
2024;02801;Università degli Studi di PADOVA;Veneto;NORD-EST;POSIZIONE ECONOMICA EP;M;39,1%
2024;03001;Università degli Studi di UDINE;Friuli-Venezia Giulia;NORD-EST;COLLABORATORE;F;70,3%
2024;03001;Università degli Studi di UDINE;Friuli-Venezia Giulia;NORD-EST;COLLABORATORE;M;29,7%
2024;03001;Università degli Studi di UDINE;Friuli-Venezia Giulia;NORD-EST;DIRETTORE GENERALE;F;0,0%
2024;03001;Università degli Studi di UDINE;Friuli-Venezia Giulia;NORD-EST;DIRETTORE GENERALE;M;100,0%
2024;03001;Università degli Studi di UDINE;Friuli-Venezia Giulia;NORD-EST;DIRIGENTE II FASCIA;F;0,0%
2024;03001;Università degli Studi di UDINE;Friuli-Venezia Giulia;NORD-EST;DIRIGENTE II FASCIA;M;100,0%
2024;03001;Università degli Studi di UDINE;Friuli-Venezia Giulia;NORD-EST;FUNZIONARIO;F;64,3%
2024;03001;Università degli Studi di UDINE;Friuli-Venezia Giulia;NORD-EST;FUNZIONARIO;M;35,7%
2024;03001;Università degli Studi di UDINE;Friuli-Venezia Giulia;NORD-EST;OPERATORE;F;27,8%
2024;03001;Università degli Studi di UDINE;Friuli-Venezia Giulia;NORD-EST;OPERATORE;M;72,2%
2024;03001;Università degli Studi di UDINE;Friuli-Venezia Giulia;NORD-EST;POSIZIONE ECONOMICA EP;F;81,3%
2024;03001;Università degli Studi di UDINE;Friuli-Venezia Giulia;NORD-EST;POSIZIONE ECONOMICA EP;M;18,8%
2024;03201;Università degli Studi di TRIESTE;Friuli-Venezia Giulia;NORD-EST;COLLABORATORE;F;60,7%
2024;03201;Università degli Studi di TRIESTE;Friuli-Venezia Giulia;NORD-EST;COLLABORATORE;M;39,3%
2024;03201;Università degli Studi di TRIESTE;Friuli-Venezia Giulia;NORD-EST;DIRETTORE GENERALE;F;100,0%
2024;03201;Università degli Studi di TRIESTE;Friuli-Venezia Giulia;NORD-EST;DIRETTORE GENERALE;M;0,0%
2024;03201;Università degli Studi di TRIESTE;Friuli-Venezia Giulia;NORD-EST;DIRIGENTE II FASCIA;F;33,3%
2024;03201;Università degli Studi di TRIESTE;Friuli-Venezia Giulia;NORD-EST;DIRIGENTE II FASCIA;M;66,7%
2024;03201;Università degli Studi di TRIESTE;Friuli-Venezia Giulia;NORD-EST;FUNZIONARIO;F;64,7%
2024;03201;Università degli Studi di TRIESTE;Friuli-Venezia Giulia;NORD-EST;FUNZIONARIO;M;35,3%
2024;03201;Università degli Studi di TRIESTE;Friuli-Venezia Giulia;NORD-EST;OPERATORE;F;45,7%
2024;03201;Università degli Studi di TRIESTE;Friuli-Venezia Giulia;NORD-EST;OPERATORE;M;54,3%
2024;03201;Università degli Studi di TRIESTE;Friuli-Venezia Giulia;NORD-EST;POSIZIONE ECONOMICA EP;F;44,8%
2024;03201;Università degli Studi di TRIESTE;Friuli-Venezia Giulia;NORD-EST;POSIZIONE ECONOMICA EP;M;55,2%
2024;03202;Scuola Internazionale Superiore di Studi Avanzati di TRIESTE;Friuli-Venezia Giulia;NORD-EST;COLLABORATORE;F;68,7%
2024;03202;Scuola Internazionale Superiore di Studi Avanzati di TRIESTE;Friuli-Venezia Giulia;NORD-EST;COLLABORATORE;M;31,3%
2024;03202;Scuola Internazionale Superiore di Studi Avanzati di TRIESTE;Friuli-Venezia Giulia;NORD-EST;DIRETTORE GENERALE;F;0,0%
2024;03202;Scuola Internazionale Superiore di Studi Avanzati di TRIESTE;Friuli-Venezia Giulia;NORD-EST;DIRETTORE GENERALE;M;100,0%
2024;03202;Scuola Internazionale Superiore di Studi Avanzati di TRIESTE;Friuli-Venezia Giulia;NORD-EST;DIRIGENTE II FASCIA;F;100,0%
2024;03202;Scuola Internazionale Superiore di Studi Avanzati di TRIESTE;Friuli-Venezia Giulia;NORD-EST;DIRIGENTE II FASCIA;M;0,0%
2024;03202;Scuola Internazionale Superiore di Studi Avanzati di TRIESTE;Friuli-Venezia Giulia;NORD-EST;FUNZIONARIO;F;60,4%
2024;03202;Scuola Internazionale Superiore di Studi Avanzati di TRIESTE;Friuli-Venezia Giulia;NORD-EST;FUNZIONARIO;M;39,6%
2024;03202;Scuola Internazionale Superiore di Studi Avanzati di TRIESTE;Friuli-Venezia Giulia;NORD-EST;POSIZIONE ECONOMICA EP;F;50,0%
2024;03202;Scuola Internazionale Superiore di Studi Avanzati di TRIESTE;Friuli-Venezia Giulia;NORD-EST;POSIZIONE ECONOMICA EP;M;50,0%
2024;03401;Università degli Studi di PARMA;Emilia-Romagna;NORD-EST;COLLABORATORE;F;60,7%
