ANNO_SOLARE;TIPOLOGIA_COLLEGIO;CODICE_COLLEGIO;NOME_COLLEGIO;TIPOLOGIA_ISTITUTO;CODICE_SPESA;DESCRIZIONE_SPESA;SPESA_LAUREA;SPESA_DOTTORATO;SPESA_SPECIALIZZAZIONE
2024;CLR;0316;Collegio universitario Ghislieri;S   ;7;Attività di collaborazione a tempo parziale - Spesa per attività di collaborazione a tempo parziale;37010,7;543;0
2024;CLR;0316;Collegio universitario Ghislieri;S   ;8;Altri interventi di tipo finanziario - Spesa per premi per il conseguimento del titolo;10250;0;0
2024;CLR;0316;Collegio universitario Ghislieri;S   ;9;Altri interventi di tipo finanziario - Spesa per contributi finanziari per il trasporto;0;0;0
2024;CLR;0316;Collegio universitario Ghislieri;S   ;10;Altri interventi di tipo finanziario - Spesa per contributi straordinari;0;0;0
2024;CLR;0316;Collegio universitario Ghislieri;S   ;11;Altri interventi di tipo finanziario - Spesa per altri sussidi concessi;10507,8;20000;0
2024;CLR;0316;Collegio universitario Ghislieri;S_AF;1;Posti alloggio e contributi-alloggio - Spesa per posti alloggio assegnati gratuitamente;0;;
2024;CLR;0316;Collegio universitario Ghislieri;S_AF;2;Posti alloggio e contributi-alloggio - Spesa per posti alloggio a tariffa agevolata;0;;
2024;CLR;0316;Collegio universitario Ghislieri;S_AF;3;Posti alloggio e contributi-alloggio - Spesa per contributi assegnati per alloggio esterno;0;;
2024;CLR;0316;Collegio universitario Ghislieri;S_AF;4;Prestiti di onore e altri prestiti agevolati - Spesa per prestiti concessi;0;;
2024;CLR;0316;Collegio universitario Ghislieri;S_AF;5;Mobilità internazionale - Spesa per contributi concessi;0;;
2024;CLR;0316;Collegio universitario Ghislieri;S_AF;6;Interventi a favore di studenti in situazione di disabilità - Spesa per interventi concessi;0;;
2024;CLR;0316;Collegio universitario Ghislieri;S_AF;7;Attività di collaborazione a tempo parziale - Spesa per attività di collaborazione a tempo parziale;0;;
2024;CLR;0316;Collegio universitario Ghislieri;S_AF;8;Altri interventi di tipo finanziario - Spesa per premi per il conseguimento del titolo;0;;
2024;CLR;0316;Collegio universitario Ghislieri;S_AF;9;Altri interventi di tipo finanziario - Spesa per contributi finanziari per il trasporto;0;;
2024;CLR;0316;Collegio universitario Ghislieri;S_AF;10;Altri interventi di tipo finanziario - Spesa per contributi straordinari;0;;
2024;CLR;0316;Collegio universitario Ghislieri;S_AF;11;Altri interventi di tipo finanziario - Spesa per altri sussidi concessi;0;;
2024;CLR;0317;"Collegio universitario ''S. Caterina da Siena""";S   ;1;Posti alloggio e contributi-alloggio - Spesa per posti alloggio assegnati gratuitamente;397870;0;0
2024;CLR;0317;"Collegio universitario ''S. Caterina da Siena""";S   ;2;Posti alloggio e contributi-alloggio - Spesa per posti alloggio a tariffa agevolata;523777;58970;0
2024;CLR;0317;"Collegio universitario ''S. Caterina da Siena""";S   ;3;Posti alloggio e contributi-alloggio - Spesa per contributi assegnati per alloggio esterno;0;0;0
2024;CLR;0317;"Collegio universitario ''S. Caterina da Siena""";S   ;4;Prestiti di onore e altri prestiti agevolati - Spesa per prestiti concessi;0;0;0
2024;CLR;0317;"Collegio universitario ''S. Caterina da Siena""";S   ;5;Mobilità internazionale - Spesa per contributi concessi;0;0;0
2024;CLR;0317;"Collegio universitario ''S. Caterina da Siena""";S   ;6;Interventi a favore di studenti in situazione di disabilità - Spesa per interventi concessi;0;0;0
2024;CLR;0317;"Collegio universitario ''S. Caterina da Siena""";S   ;7;Attività di collaborazione a tempo parziale - Spesa per attività di collaborazione a tempo parziale;0;0;0
2024;CLR;0317;"Collegio universitario ''S. Caterina da Siena""";S   ;8;Altri interventi di tipo finanziario - Spesa per premi per il conseguimento del titolo;0;0;0
2024;CLR;0317;"Collegio universitario ''S. Caterina da Siena""";S   ;9;Altri interventi di tipo finanziario - Spesa per contributi finanziari per il trasporto;0;0;0
2024;CLR;0317;"Collegio universitario ''S. Caterina da Siena""";S   ;10;Altri interventi di tipo finanziario - Spesa per contributi straordinari;0;0;0
2024;CLR;0317;"Collegio universitario ''S. Caterina da Siena""";S   ;11;Altri interventi di tipo finanziario - Spesa per altri sussidi concessi;12700;0;0
2024;CLR;0317;"Collegio universitario ''S. Caterina da Siena""";S_AF;1;Posti alloggio e contributi-alloggio - Spesa per posti alloggio assegnati gratuitamente;0;;
2024;CLR;0317;"Collegio universitario ''S. Caterina da Siena""";S_AF;2;Posti alloggio e contributi-alloggio - Spesa per posti alloggio a tariffa agevolata;0;;
2024;CLR;0317;"Collegio universitario ''S. Caterina da Siena""";S_AF;3;Posti alloggio e contributi-alloggio - Spesa per contributi assegnati per alloggio esterno;0;;
2024;CLR;0317;"Collegio universitario ''S. Caterina da Siena""";S_AF;4;Prestiti di onore e altri prestiti agevolati - Spesa per prestiti concessi;0;;
2024;CLR;0317;"Collegio universitario ''S. Caterina da Siena""";S_AF;5;Mobilità internazionale - Spesa per contributi concessi;0;;
2024;CLR;0317;"Collegio universitario ''S. Caterina da Siena""";S_AF;6;Interventi a favore di studenti in situazione di disabilità - Spesa per interventi concessi;0;;
2024;CLR;0317;"Collegio universitario ''S. Caterina da Siena""";S_AF;7;Attività di collaborazione a tempo parziale - Spesa per attività di collaborazione a tempo parziale;0;;
2024;CLR;0317;"Collegio universitario ''S. Caterina da Siena""";S_AF;8;Altri interventi di tipo finanziario - Spesa per premi per il conseguimento del titolo;0;;
2024;CLR;0317;"Collegio universitario ''S. Caterina da Siena""";S_AF;9;Altri interventi di tipo finanziario - Spesa per contributi finanziari per il trasporto;0;;
2024;CLR;0317;"Collegio universitario ''S. Caterina da Siena""";S_AF;10;Altri interventi di tipo finanziario - Spesa per contributi straordinari;0;;
2024;CLR;0317;"Collegio universitario ''S. Caterina da Siena""";S_AF;11;Altri interventi di tipo finanziario - Spesa per altri sussidi concessi;0;;
2024;CLR;0318;Fondazione Collegio delle Università Milanesi;S   ;1;Posti alloggio e contributi-alloggio - Spesa per posti alloggio assegnati gratuitamente;50400;0;0
2024;CLR;0318;Fondazione Collegio delle Università Milanesi;S   ;2;Posti alloggio e contributi-alloggio - Spesa per posti alloggio a tariffa agevolata;289355;8050;30127
2024;CLR;0318;Fondazione Collegio delle Università Milanesi;S   ;3;Posti alloggio e contributi-alloggio - Spesa per contributi assegnati per alloggio esterno;0;0;0
2024;CLR;0318;Fondazione Collegio delle Università Milanesi;S   ;4;Prestiti di onore e altri prestiti agevolati - Spesa per prestiti concessi;0;0;0
2024;CLR;0318;Fondazione Collegio delle Università Milanesi;S   ;5;Mobilità internazionale - Spesa per contributi concessi;0;0;0
2024;CLR;0318;Fondazione Collegio delle Università Milanesi;S   ;6;Interventi a favore di studenti in situazione di disabilità - Spesa per interventi concessi;0;0;0
2024;CLR;0318;Fondazione Collegio delle Università Milanesi;S   ;7;Attività di collaborazione a tempo parziale - Spesa per attività di collaborazione a tempo parziale;0;0;0
2024;CLR;0318;Fondazione Collegio delle Università Milanesi;S   ;8;Altri interventi di tipo finanziario - Spesa per premi per il conseguimento del titolo;0;0;0
2024;CLR;0318;Fondazione Collegio delle Università Milanesi;S   ;9;Altri interventi di tipo finanziario - Spesa per contributi finanziari per il trasporto;0;0;0
2024;CLR;0318;Fondazione Collegio delle Università Milanesi;S   ;10;Altri interventi di tipo finanziario - Spesa per contributi straordinari;0;0;0
2024;CLR;0318;Fondazione Collegio delle Università Milanesi;S   ;11;Altri interventi di tipo finanziario - Spesa per altri sussidi concessi;0;0;0
2024;CLR;0318;Fondazione Collegio delle Università Milanesi;S_AF;1;Posti alloggio e contributi-alloggio - Spesa per posti alloggio assegnati gratuitamente;0;;
2024;CLR;0318;Fondazione Collegio delle Università Milanesi;S_AF;2;Posti alloggio e contributi-alloggio - Spesa per posti alloggio a tariffa agevolata;37790,97;;
2024;CLR;0318;Fondazione Collegio delle Università Milanesi;S_AF;3;Posti alloggio e contributi-alloggio - Spesa per contributi assegnati per alloggio esterno;0;;
2024;CLR;0318;Fondazione Collegio delle Università Milanesi;S_AF;4;Prestiti di onore e altri prestiti agevolati - Spesa per prestiti concessi;0;;
2024;CLR;0318;Fondazione Collegio delle Università Milanesi;S_AF;5;Mobilità internazionale - Spesa per contributi concessi;0;;
2024;CLR;0318;Fondazione Collegio delle Università Milanesi;S_AF;6;Interventi a favore di studenti in situazione di disabilità - Spesa per interventi concessi;0;;
2024;CLR;0318;Fondazione Collegio delle Università Milanesi;S_AF;7;Attività di collaborazione a tempo parziale - Spesa per attività di collaborazione a tempo parziale;0;;
2024;CLR;0318;Fondazione Collegio delle Università Milanesi;S_AF;8;Altri interventi di tipo finanziario - Spesa per premi per il conseguimento del titolo;0;;
2024;CLR;0318;Fondazione Collegio delle Università Milanesi;S_AF;9;Altri interventi di tipo finanziario - Spesa per contributi finanziari per il trasporto;0;;
2024;CLR;0318;Fondazione Collegio delle Università Milanesi;S_AF;10;Altri interventi di tipo finanziario - Spesa per contributi straordinari;0;;
2024;CLR;0318;Fondazione Collegio delle Università Milanesi;S_AF;11;Altri interventi di tipo finanziario - Spesa per altri sussidi concessi;0;;
2024;CLR;0346;Collegio Universitario Lucchini di Brescia;S   ;1;Posti alloggio e contributi-alloggio - Spesa per posti alloggio assegnati gratuitamente;0;0;0
2024;CLR;0346;Collegio Universitario Lucchini di Brescia;S   ;2;Posti alloggio e contributi-alloggio - Spesa per posti alloggio a tariffa agevolata;49775;15075;0
2024;CLR;0346;Collegio Universitario Lucchini di Brescia;S   ;3;Posti alloggio e contributi-alloggio - Spesa per contributi assegnati per alloggio esterno;0;0;0
2024;CLR;0346;Collegio Universitario Lucchini di Brescia;S   ;4;Prestiti di onore e altri prestiti agevolati - Spesa per prestiti concessi;0;0;0
2024;CLR;0346;Collegio Universitario Lucchini di Brescia;S   ;5;Mobilità internazionale - Spesa per contributi concessi;0;0;0
2024;CLR;0346;Collegio Universitario Lucchini di Brescia;S   ;6;Interventi a favore di studenti in situazione di disabilità - Spesa per interventi concessi;0;0;0
2024;CLR;0346;Collegio Universitario Lucchini di Brescia;S   ;7;Attività di collaborazione a tempo parziale - Spesa per attività di collaborazione a tempo parziale;0;0;0
2024;CLR;0346;Collegio Universitario Lucchini di Brescia;S   ;8;Altri interventi di tipo finanziario - Spesa per premi per il conseguimento del titolo;0;0;0
2024;CLR;0346;Collegio Universitario Lucchini di Brescia;S   ;9;Altri interventi di tipo finanziario - Spesa per contributi finanziari per il trasporto;0;0;0
2024;CLR;0346;Collegio Universitario Lucchini di Brescia;S   ;10;Altri interventi di tipo finanziario - Spesa per contributi straordinari;0;0;0
2024;CLR;0346;Collegio Universitario Lucchini di Brescia;S   ;11;Altri interventi di tipo finanziario - Spesa per altri sussidi concessi;0;0;0
2024;CLR;0346;Collegio Universitario Lucchini di Brescia;S_AF;1;Posti alloggio e contributi-alloggio - Spesa per posti alloggio assegnati gratuitamente;0;;
2024;CLR;0346;Collegio Universitario Lucchini di Brescia;S_AF;2;Posti alloggio e contributi-alloggio - Spesa per posti alloggio a tariffa agevolata;0;;
2024;CLR;0346;Collegio Universitario Lucchini di Brescia;S_AF;3;Posti alloggio e contributi-alloggio - Spesa per contributi assegnati per alloggio esterno;0;;
2024;CLR;0346;Collegio Universitario Lucchini di Brescia;S_AF;4;Prestiti di onore e altri prestiti agevolati - Spesa per prestiti concessi;0;;
2024;CLR;0346;Collegio Universitario Lucchini di Brescia;S_AF;5;Mobilità internazionale - Spesa per contributi concessi;0;;
2024;CLR;0346;Collegio Universitario Lucchini di Brescia;S_AF;6;Interventi a favore di studenti in situazione di disabilità - Spesa per interventi concessi;0;;
2024;CLR;0346;Collegio Universitario Lucchini di Brescia;S_AF;7;Attività di collaborazione a tempo parziale - Spesa per attività di collaborazione a tempo parziale;0;;
2024;CLR;0346;Collegio Universitario Lucchini di Brescia;S_AF;8;Altri interventi di tipo finanziario - Spesa per premi per il conseguimento del titolo;0;;
2024;CLR;0346;Collegio Universitario Lucchini di Brescia;S_AF;9;Altri interventi di tipo finanziario - Spesa per contributi finanziari per il trasporto;0;;
2024;CLR;0346;Collegio Universitario Lucchini di Brescia;S_AF;10;Altri interventi di tipo finanziario - Spesa per contributi straordinari;0;;
2024;CLR;0346;Collegio Universitario Lucchini di Brescia;S_AF;11;Altri interventi di tipo finanziario - Spesa per altri sussidi concessi;0;;
2024;CS;0349;Collegio Cairoli di Pavia;S   ;1;Posti alloggio e contributi-alloggio - Spesa per posti alloggio assegnati gratuitamente;54327;0;0
2024;CS;0349;Collegio Cairoli di Pavia;S   ;2;Posti alloggio e contributi-alloggio - Spesa per posti alloggio a tariffa agevolata;192650;8500;3600
2024;CS;0349;Collegio Cairoli di Pavia;S   ;3;Posti alloggio e contributi-alloggio - Spesa per contributi assegnati per alloggio esterno;0;0;0
2024;CS;0349;Collegio Cairoli di Pavia;S   ;4;Prestiti di onore e altri prestiti agevolati - Spesa per prestiti concessi;0;0;0
2024;CS;0349;Collegio Cairoli di Pavia;S   ;5;Mobilità internazionale - Spesa per contributi concessi;0;0;0
2024;CS;0349;Collegio Cairoli di Pavia;S   ;6;Interventi a favore di studenti in situazione di disabilità - Spesa per interventi concessi;0;0;0
2024;CS;0349;Collegio Cairoli di Pavia;S   ;7;Attività di collaborazione a tempo parziale - Spesa per attività di collaborazione a tempo parziale;0;0;0
2024;CS;0349;Collegio Cairoli di Pavia;S   ;8;Altri interventi di tipo finanziario - Spesa per premi per il conseguimento del titolo;0;0;0
2024;CS;0349;Collegio Cairoli di Pavia;S   ;9;Altri interventi di tipo finanziario - Spesa per contributi finanziari per il trasporto;0;0;0
2024;CS;0349;Collegio Cairoli di Pavia;S   ;10;Altri interventi di tipo finanziario - Spesa per contributi straordinari;36500;0;0
2024;CS;0349;Collegio Cairoli di Pavia;S   ;11;Altri interventi di tipo finanziario - Spesa per altri sussidi concessi;0;0;0
2024;CLR;0508;"Collegio universitario ''don Nicola Mazza""";S   ;1;Posti alloggio e contributi-alloggio - Spesa per posti alloggio assegnati gratuitamente;0;0;0
2024;CLR;0508;"Collegio universitario ''don Nicola Mazza""";S   ;2;Posti alloggio e contributi-alloggio - Spesa per posti alloggio a tariffa agevolata;1473717;95212;0
2024;CLR;0508;"Collegio universitario ''don Nicola Mazza""";S   ;3;Posti alloggio e contributi-alloggio - Spesa per contributi assegnati per alloggio esterno;0;0;0
2024;CLR;0508;"Collegio universitario ''don Nicola Mazza""";S   ;4;Prestiti di onore e altri prestiti agevolati - Spesa per prestiti concessi;0;0;0
2024;CLR;0508;"Collegio universitario ''don Nicola Mazza""";S   ;5;Mobilità internazionale - Spesa per contributi concessi;19350;0;0
2024;CLR;0508;"Collegio universitario ''don Nicola Mazza""";S   ;6;Interventi a favore di studenti in situazione di disabilità - Spesa per interventi concessi;0;0;0
2024;CLR;0508;"Collegio universitario ''don Nicola Mazza""";S   ;7;Attività di collaborazione a tempo parziale - Spesa per attività di collaborazione a tempo parziale;8142;0;0
2024;CLR;0508;"Collegio universitario ''don Nicola Mazza""";S   ;8;Altri interventi di tipo finanziario - Spesa per premi per il conseguimento del titolo;0;0;0
2024;CLR;0508;"Collegio universitario ''don Nicola Mazza""";S   ;9;Altri interventi di tipo finanziario - Spesa per contributi finanziari per il trasporto;0;0;0
2024;CLR;0508;"Collegio universitario ''don Nicola Mazza""";S   ;10;Altri interventi di tipo finanziario - Spesa per contributi straordinari;11850;0;0
2024;CLR;0508;"Collegio universitario ''don Nicola Mazza""";S   ;11;Altri interventi di tipo finanziario - Spesa per altri sussidi concessi;0;0;0
2024;CLR;0508;"Collegio universitario ''don Nicola Mazza""";S_AF;1;Posti alloggio e contributi-alloggio - Spesa per posti alloggio assegnati gratuitamente;0;;
2024;CLR;0508;"Collegio universitario ''don Nicola Mazza""";S_AF;2;Posti alloggio e contributi-alloggio - Spesa per posti alloggio a tariffa agevolata;0;;
2024;CLR;0508;"Collegio universitario ''don Nicola Mazza""";S_AF;3;Posti alloggio e contributi-alloggio - Spesa per contributi assegnati per alloggio esterno;0;;
2024;CLR;0508;"Collegio universitario ''don Nicola Mazza""";S_AF;4;Prestiti di onore e altri prestiti agevolati - Spesa per prestiti concessi;0;;
2024;CLR;0508;"Collegio universitario ''don Nicola Mazza""";S_AF;5;Mobilità internazionale - Spesa per contributi concessi;0;;
