ANNO_SOLARE;TIPOLOGIA_COLLEGIO;CODICE_COLLEGIO;NOME_COLLEGIO;CODICE_TIPOLOGIA;DESCRIZIONE_TIPOLOGIA;NUMERO
2024;1212;CLR;Fondazione Rui - ROMA;11;Pasti erogati in servizi di ristorazione convenzionati;0
2024;1212;CLR;Fondazione Rui - ROMA;12;Studenti che usufruiscono delle mense;508
2024;1214;CLR;Collegio Universitario Pozzani di Roma;9;Pasti erogati in mense a gestione diretta;0
2024;1214;CLR;Collegio Universitario Pozzani di Roma;10;Pasti erogati in mense a gestione indiretta;26840
2024;1214;CLR;Collegio Universitario Pozzani di Roma;11;Pasti erogati in servizi di ristorazione convenzionati;0
2024;1214;CLR;Collegio Universitario Pozzani di Roma;12;Studenti che usufruiscono delle mense;77
2024;1508;CLR;Ipe - Istituto per ricerche ed attività educative;9;Pasti erogati in mense a gestione diretta;68000
2024;1508;CLR;Ipe - Istituto per ricerche ed attività educative;10;Pasti erogati in mense a gestione indiretta;0
2024;1508;CLR;Ipe - Istituto per ricerche ed attività educative;11;Pasti erogati in servizi di ristorazione convenzionati;0
2024;1508;CLR;Ipe - Istituto per ricerche ed attività educative;12;Studenti che usufruiscono delle mense;100
2024;1905;CLR;Associazione ARCES;9;Pasti erogati in mense a gestione diretta;31330
2024;1905;CLR;Associazione ARCES;10;Pasti erogati in mense a gestione indiretta;0
2024;1905;CLR;Associazione ARCES;11;Pasti erogati in servizi di ristorazione convenzionati;0
2024;1905;CLR;Associazione ARCES;12;Studenti che usufruiscono delle mense;65
2024;2003;CLR;College Universitario Sant’Efisio di Cagliari;9;Pasti erogati in mense a gestione diretta;0
2024;2003;CLR;College Universitario Sant’Efisio di Cagliari;10;Pasti erogati in mense a gestione indiretta;12751
2024;2003;CLR;College Universitario Sant’Efisio di Cagliari;11;Pasti erogati in servizi di ristorazione convenzionati;0
2024;2003;CLR;College Universitario Sant’Efisio di Cagliari;12;Studenti che usufruiscono delle mense;144
