Numero Classe;Tipo_Laurea;Denominazione Classe;Ordinamento Classe;ISCED_F_1dgt;ISCED_F_2dgt;ISCED_F_3dgt;Nome Gruppo Disciplinare;Area Disciplinare;Macro Area Disciplinare;STEAM
95/S;Laurea Specialistica - dm 509/99;Specialistiche in storia dell'arte;D.M. 509/99;02;021;0213;Arte e Design                                                                                                                                                                                                                                             ;Artistica, Letteraria ed Educazione;Umanistica;SI
51/S;Laurea Specialistica - dm 509/99;Specialistiche in musicologia e beni musicali;D.M. 509/99;02;021;0215;Arte e Design                                                                                                                                                                                                                                             ;Artistica, Letteraria ed Educazione;Umanistica;SI
LM-45ab;Laurea Magistrale - dm 270/04;Musicologia e beni musicali (abilitazione A032);D.M. 270/04;02;021;0215;Arte e Design                                                                                                                                                                                                                                             ;Artistica, Letteraria ed Educazione;Umanistica;SI
LM-45;Laurea Magistrale - dm 270/04;Musicologia e beni musicali;D.M. 270/04;02;021;0215;Arte e Design                                                                                                                                                                                                                                             ;Artistica, Letteraria ed Educazione;Umanistica;SI
L-03;Laurea - dm 270/04;Discipline delle arti figurative, della musica, dello spettacolo e della moda;D.M. 270/04;02;021;0219;Arte e Design                                                                                                                                                                                                                                             ;Artistica, Letteraria ed Educazione;Umanistica;SI
23;Laurea  - dm 509/99;Scienze e tecnologie delle arti figurative, della musica, dello spettacolo e della moda;D.M. 509/99;02;021;0219;Arte e Design                                                                                                                                                                                                                                             ;Artistica, Letteraria ed Educazione;Umanistica;SI
LM-64;Laurea Magistrale - dm 270/04;Scienze delle religioni;D.M. 270/04;02;022;0221;Letterario-Umanistico                                                                                                                                                                                                                                     ;Artistica, Letteraria ed Educazione;Umanistica;
72/S;Laurea Specialistica - dm 509/99;Specialistiche in scienze delle religioni;D.M. 509/99;02;022;0221;Letterario-Umanistico                                                                                                                                                                                                                                     ;Artistica, Letteraria ed Educazione;Umanistica;
LM-84;Laurea Magistrale - dm 270/04;Scienze storiche;D.M. 270/04;02;022;0222;Letterario-Umanistico                                                                                                                                                                                                                                     ;Artistica, Letteraria ed Educazione;Umanistica;
L-42;Laurea - dm 270/04;Storia;D.M. 270/04;02;022;0222;Letterario-Umanistico                                                                                                                                                                                                                                     ;Artistica, Letteraria ed Educazione;Umanistica;
LM-02;Laurea Magistrale - dm 270/04;Archeologia;D.M. 270/04;02;022;0222;Letterario-Umanistico                                                                                                                                                                                                                                     ;Artistica, Letteraria ed Educazione;Umanistica;
98/S;Laurea Specialistica - dm 509/99;Specialistiche in storia moderna;D.M. 509/99;02;022;0222;Letterario-Umanistico                                                                                                                                                                                                                                     ;Artistica, Letteraria ed Educazione;Umanistica;
02/S;Laurea Specialistica - dm 509/99;Specialistiche in archeologia;D.M. 509/99;02;022;0222;Letterario-Umanistico                                                                                                                                                                                                                                     ;Artistica, Letteraria ed Educazione;Umanistica;
93/S;Laurea Specialistica - dm 509/99;Specialistiche in storia antica;D.M. 509/99;02;022;0222;Letterario-Umanistico                                                                                                                                                                                                                                     ;Artistica, Letteraria ed Educazione;Umanistica;
38;Laurea  - dm 509/99;Scienze storiche;D.M. 509/99;02;022;0222;Letterario-Umanistico                                                                                                                                                                                                                                     ;Artistica, Letteraria ed Educazione;Umanistica;
94/S;Laurea Specialistica - dm 509/99;Specialistiche in storia contemporanea;D.M. 509/99;02;022;0222;Letterario-Umanistico                                                                                                                                                                                                                                     ;Artistica, Letteraria ed Educazione;Umanistica;
LMR/02;Laurea Magistrale a Ciclo Unico - dm 270/04;Conservazione e restauro dei beni culturali;D.M. 270/04;02;022;0222;Letterario-Umanistico                                                                                                                                                                                                                                     ;Artistica, Letteraria ed Educazione;Umanistica;SI
97/S;Laurea Specialistica - dm 509/99;Specialistiche in storia medievale;D.M. 509/99;02;022;0222;Letterario-Umanistico                                                                                                                                                                                                                                     ;Artistica, Letteraria ed Educazione;Umanistica;
29;Laurea  - dm 509/99;Filosofia;D.M. 509/99;02;022;0223;Letterario-Umanistico                                                                                                                                                                                                                                     ;Artistica, Letteraria ed Educazione;Umanistica;
17/S;Laurea Specialistica - dm 509/99;Specialistiche in filosofia e storia della scienza;D.M. 509/99;02;022;0223;Letterario-Umanistico                                                                                                                                                                                                                                     ;Artistica, Letteraria ed Educazione;Umanistica;
18/S;Laurea Specialistica - dm 509/99;Specialistiche in filosofia teoretica, morale, politica ed estetica;D.M. 509/99;02;022;0223;Letterario-Umanistico                                                                                                                                                                                                                                     ;Artistica, Letteraria ed Educazione;Umanistica;
LM-78;Laurea Magistrale - dm 270/04;Scienze filosofiche;D.M. 270/04;02;022;0223;Letterario-Umanistico                                                                                                                                                                                                                                     ;Artistica, Letteraria ed Educazione;Umanistica;
96/S;Laurea Specialistica - dm 509/99;Specialistiche in storia della filosofia;D.M. 509/99;02;022;0223;Letterario-Umanistico                                                                                                                                                                                                                                     ;Artistica, Letteraria ed Educazione;Umanistica;
L-05;Laurea - dm 270/04;Filosofia;D.M. 270/04;02;022;0223;Letterario-Umanistico                                                                                                                                                                                                                                     ;Artistica, Letteraria ed Educazione;Umanistica;
LM-36;Laurea Magistrale - dm 270/04;Lingue e letterature dell'Africa e dell'Asia;D.M. 270/04;02;023;0231;Linguistico                                                                                                                                                                                                                                               ;Artistica, Letteraria ed Educazione;Umanistica;
03;Laurea  - dm 509/99;Scienze della mediazione linguistica;D.M. 509/99;02;023;0231;Linguistico                                                                                                                                                                                                                                               ;Artistica, Letteraria ed Educazione;Umanistica;
11;Laurea  - dm 509/99;Lingue e culture moderne;D.M. 509/99;02;023;0231;Linguistico                                                                                                                                                                                                                                               ;Artistica, Letteraria ed Educazione;Umanistica;
L-12;Laurea - dm 270/04;Mediazione linguistica;D.M. 270/04;02;023;0231;Linguistico                                                                                                                                                                                                                                               ;Artistica, Letteraria ed Educazione;Umanistica;
LM-39;Laurea Magistrale - dm 270/04;Linguistica;D.M. 270/04;02;023;0231;Linguistico                                                                                                                                                                                                                                               ;Artistica, Letteraria ed Educazione;Umanistica;
39/S;Laurea Specialistica - dm 509/99;Specialistiche in interpretariato di conferenza;D.M. 509/99;02;023;0231;Linguistico                                                                                                                                                                                                                                               ;Artistica, Letteraria ed Educazione;Umanistica;
LM-37;Laurea Magistrale - dm 270/04;Lingue e letterature moderne europee e americane;D.M. 270/04;02;023;0231;Linguistico                                                                                                                                                                                                                                               ;Artistica, Letteraria ed Educazione;Umanistica;
104/S;Laurea Specialistica - dm 509/99;Specialistiche in traduzione letteraria e in traduzione tecnico-scientifica;D.M. 509/99;02;023;0231;Linguistico                                                                                                                                                                                                                                               ;Artistica, Letteraria ed Educazione;Umanistica;
44/S;Laurea Specialistica - dm 509/99;Specialistiche in linguistica;D.M. 509/99;02;023;0231;Linguistico                                                                                                                                                                                                                                               ;Artistica, Letteraria ed Educazione;Umanistica;
43/S;Laurea Specialistica - dm 509/99;Specialistiche in lingue straniere per la comunicazione internazionale;D.M. 509/99;02;023;0231;Linguistico                                                                                                                                                                                                                                               ;Artistica, Letteraria ed Educazione;Umanistica;
42/S;Laurea Specialistica - dm 509/99;Specialistiche in lingue e letterature moderne euroamericane;D.M. 509/99;02;023;0231;Linguistico                                                                                                                                                                                                                                               ;Artistica, Letteraria ed Educazione;Umanistica;
41/S;Laurea Specialistica - dm 509/99;Specialistiche in lingue e letterature afroasiatiche;D.M. 509/99;02;023;0231;Linguistico                                                                                                                                                                                                                                               ;Artistica, Letteraria ed Educazione;Umanistica;
L-11;Laurea - dm 270/04;Lingue e culture moderne;D.M. 270/04;02;023;0231;Linguistico                                                                                                                                                                                                                                               ;Artistica, Letteraria ed Educazione;Umanistica;
LM-38;Laurea Magistrale - dm 270/04;Lingue moderne per la comunicazione e la cooperazione internazionale;D.M. 270/04;02;023;0231;Linguistico                                                                                                                                                                                                                                               ;Artistica, Letteraria ed Educazione;Umanistica;
LM-94;Laurea Magistrale - dm 270/04;Traduzione specialistica e interpretariato;D.M. 270/04;02;023;0231;Linguistico                                                                                                                                                                                                                                               ;Artistica, Letteraria ed Educazione;Umanistica;
LM-37ab;Laurea Magistrale - dm 270/04;Lingue e letterature moderne europee e americane (abilitazione A045);D.M. 270/04;02;023;0231;Linguistico                                                                                                                                                                                                                                               ;Artistica, Letteraria ed Educazione;Umanistica;
15/S;Laurea Specialistica - dm 509/99;Specialistiche in filologia e letterature dell'antichita;D.M. 509/99;02;023;0232;Letterario-Umanistico                                                                                                                                                                                                                                     ;Artistica, Letteraria ed Educazione;Umanistica;
05;Laurea  - dm 509/99;Lettere;D.M. 509/99;02;023;0232;Letterario-Umanistico                                                                                                                                                                                                                                     ;Artistica, Letteraria ed Educazione;Umanistica;
LM-15;Laurea Magistrale - dm 270/04;Filologia, letterature e storia dell'antichità;D.M. 270/04;02;023;0232;Letterario-Umanistico                                                                                                                                                                                                                                     ;Artistica, Letteraria ed Educazione;Umanistica;
LM-14ab;Laurea Magistrale - dm 270/04;Filologia moderna (abilitazione A043);D.M. 270/04;02;023;0232;Letterario-Umanistico                                                                                                                                                                                                                                     ;Artistica, Letteraria ed Educazione;Umanistica;
40/S;Laurea Specialistica - dm 509/99;Specialistiche in lingua e cultura italiana;D.M. 509/99;02;023;0232;Letterario-Umanistico                                                                                                                                                                                                                                     ;Artistica, Letteraria ed Educazione;Umanistica;
LM-14;Laurea Magistrale - dm 270/04;Filologia moderna;D.M. 270/04;02;023;0232;Letterario-Umanistico                                                                                                                                                                                                                                     ;Artistica, Letteraria ed Educazione;Umanistica;
16/S;Laurea Specialistica - dm 509/99;Specialistiche in filologia moderna;D.M. 509/99;02;023;0232;Letterario-Umanistico                                                                                                                                                                                                                                     ;Artistica, Letteraria ed Educazione;Umanistica;
L-10;Laurea - dm 270/04;Lettere;D.M. 270/04;02;023;0232;Letterario-Umanistico                                                                                                                                                                                                                                     ;Artistica, Letteraria ed Educazione;Umanistica;
11/S;Laurea Specialistica - dm 509/99;Specialistiche in conservazione dei beni scientifici e della civilta industriale;D.M. 509/99;02;028;0288;Letterario-Umanistico                                                                                                                                                                                                                                     ;Artistica, Letteraria ed Educazione;Umanistica;
28;Laurea  - dm 509/99;Scienze economiche;D.M. 509/99;03;031;0311;Economico                                                                                                                                                                                                                                                 ;Economica, Giuridica e Sociale;Umanistica;
L-33;Laurea - dm 270/04;Scienze economiche;D.M. 270/04;03;031;0311;Economico                                                                                                                                                                                                                                                 ;Economica, Giuridica e Sociale;Umanistica;
64/S;Laurea Specialistica - dm 509/99;Specialistiche in scienze dell'economia;D.M. 509/99;03;031;0311;Economico                                                                                                                                                                                                                                                 ;Economica, Giuridica e Sociale;Umanistica;
LM-56;Laurea Magistrale - dm 270/04;Scienze dell'economia;D.M. 270/04;03;031;0311;Economico                                                                                                                                                                                                                                                 ;Economica, Giuridica e Sociale;Umanistica;
LM-63;Laurea Magistrale - dm 270/04;Scienze delle pubbliche amministrazioni;D.M. 270/04;03;031;0312;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;Economica, Giuridica e Sociale;Umanistica;
71/S;Laurea Specialistica - dm 509/99;Specialistiche in scienze delle pubbliche amministrazioni;D.M. 509/99;03;031;0312;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;Economica, Giuridica e Sociale;Umanistica;
70/S;Laurea Specialistica - dm 509/99;Specialistiche in scienze della politica;D.M. 509/99;03;031;0312;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;Economica, Giuridica e Sociale;Umanistica;
LM-62;Laurea Magistrale - dm 270/04;Scienze della politica;D.M. 270/04;03;031;0312;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;Economica, Giuridica e Sociale;Umanistica;
LM-90;Laurea Magistrale - dm 270/04;Studi europei;D.M. 270/04;03;031;0312;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;Economica, Giuridica e Sociale;Umanistica;
88/S;Laurea Specialistica - dm 509/99;Specialistiche in scienze per la cooperazione allo sviluppo;D.M. 509/99;03;031;0312;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;Economica, Giuridica e Sociale;Umanistica;
15;Laurea  - dm 509/99;Scienze politiche e delle relazioni internazionali;D.M. 509/99;03;031;0312;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;Economica, Giuridica e Sociale;Umanistica;
L-16;Laurea - dm 270/04;Scienze dell'amministrazione e dell'organizzazione;D.M. 270/04;03;031;0312;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;Economica, Giuridica e Sociale;Umanistica;
19;Laurea  - dm 509/99;Scienze dell'amministrazione;D.M. 509/99;03;031;0312;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;Economica, Giuridica e Sociale;Umanistica;
35;Laurea  - dm 509/99;Scienze sociali per la cooperazione, lo sviluppo e la pace;D.M. 509/99;03;031;0312;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;Economica, Giuridica e Sociale;Umanistica;
LM-81;Laurea Magistrale - dm 270/04;Scienze per la cooperazione allo sviluppo;D.M. 270/04;03;031;0312;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;Economica, Giuridica e Sociale;Umanistica;
L-37;Laurea - dm 270/04;Scienze sociali per la cooperazione, lo sviluppo e la pace;D.M. 270/04;03;031;0312;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;Economica, Giuridica e Sociale;Umanistica;
L-36;Laurea - dm 270/04;Scienze politiche e delle relazioni internazionali;D.M. 270/04;03;031;0312;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;Economica, Giuridica e Sociale;Umanistica;
60/S;Laurea Specialistica - dm 509/99;Specialistiche in relazioni internazionali;D.M. 509/99;03;031;0312;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;Economica, Giuridica e Sociale;Umanistica;
LM-52;Laurea Magistrale - dm 270/04;Relazioni internazionali;D.M. 270/04;03;031;0312;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;Economica, Giuridica e Sociale;Umanistica;
99/S;Laurea Specialistica - dm 509/99;Specialistiche in studi europei;D.M. 509/99;03;031;0312;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;Economica, Giuridica e Sociale;Umanistica;
L-24;Laurea - dm 270/04;Scienze e tecniche psicologiche;D.M. 270/04;03;031;0313;Psicologico                                                                                                                                                                                                                                               ;Economica, Giuridica e Sociale;Umanistica;
LM-51;Laurea Magistrale - dm 270/04;Psicologia;D.M. 270/04;03;031;0313;Psicologico                                                                                                                                                                                                                                               ;Economica, Giuridica e Sociale;Umanistica;
58/S;Laurea Specialistica - dm 509/99;Specialistiche in psicologia;D.M. 509/99;03;031;0313;Psicologico                                                                                                                                                                                                                                               ;Economica, Giuridica e Sociale;Umanistica;
34;Laurea  - dm 509/99;Scienze e tecniche psicologiche;D.M. 509/99;03;031;0313;Psicologico                                                                                                                                                                                                                                               ;Economica, Giuridica e Sociale;Umanistica;
LM-55;Laurea Magistrale - dm 270/04;Scienze cognitive;D.M. 270/04;03;031;0313;Psicologico                                                                                                                                                                                                                                               ;Economica, Giuridica e Sociale;Umanistica;
63/S;Laurea Specialistica - dm 509/99;Specialistiche in scienze cognitive;D.M. 509/99;03;031;0313;Psicologico                                                                                                                                                                                                                                               ;Economica, Giuridica e Sociale;Umanistica;
30;Laurea  - dm 509/99;Scienze geografiche;D.M. 509/99;03;031;0314;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;Economica, Giuridica e Sociale;Umanistica;
LM-01;Laurea Magistrale - dm 270/04;Antropologia culturale ed etnologia;D.M. 270/04;03;031;0314;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;Economica, Giuridica e Sociale;Umanistica;
L/SC;Laurea - dm 270/04;Scienze criminologiche e della sicurezza;D.M. 270/04;03;031;0314;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;Economica, Giuridica e Sociale;Umanistica;
L-40;Laurea - dm 270/04;Sociologia;D.M. 270/04;03;031;0314;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;Economica, Giuridica e Sociale;Umanistica;
01/S;Laurea Specialistica - dm 509/99;Specialistiche in antropologia culturale ed etnologia;D.M. 509/99;03;031;0314;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;Economica, Giuridica e Sociale;Umanistica;
89/S;Laurea Specialistica - dm 509/99;Specialistiche in sociologia;D.M. 509/99;03;031;0314;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;Economica, Giuridica e Sociale;Umanistica;
LM-80;Laurea Magistrale - dm 270/04;Scienze geografiche;D.M. 270/04;03;031;0314;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;Economica, Giuridica e Sociale;Umanistica;
L-06;Laurea - dm 270/04;Geografia;D.M. 270/04;03;031;0314;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;Economica, Giuridica e Sociale;Umanistica;
21/S;Laurea Specialistica - dm 509/99;Specialistiche in geografia;D.M. 509/99;03;031;0314;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;Economica, Giuridica e Sociale;Umanistica;
LM-88;Laurea Magistrale - dm 270/04;Sociologia e ricerca sociale;D.M. 270/04;03;031;0314;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;Economica, Giuridica e Sociale;Umanistica;
49/S;Laurea Specialistica - dm 509/99;Specialistiche in metodi per la ricerca empirica nelle scienze sociali;D.M. 509/99;03;031;0314;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;Economica, Giuridica e Sociale;Umanistica;
LM/SC;Laurea Magistrale - dm 270/04;Scienze criminologiche applicate all'investigazione e alla sicurezza;D.M. 270/04;03;031;0314;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;Economica, Giuridica e Sociale;Umanistica;
36;Laurea  - dm 509/99;Scienze sociologiche;D.M. 509/99;03;031;0314;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;Economica, Giuridica e Sociale;Umanistica;
DS1/S;Laurea Specialistica - dm 509/99;Specialistiche nelle scienze della difesa e della sicurezza;D.M. 509/99;03;031;0319;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;Economica, Giuridica e Sociale;Umanistica;
LM/DS;Laurea Magistrale - dm 270/04;Scienze della difesa e della sicurezza;D.M. 270/04;03;031;0319;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;Economica, Giuridica e Sociale;Umanistica;
L/DS;Laurea - dm 270/04;Scienze della difesa e della sicurezza;D.M. 270/04;03;031;0319;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;Economica, Giuridica e Sociale;Umanistica;
DS1;Laurea  - dm 509/99;Scienze della difesa e della sicurezza;D.M. 509/99;03;031;0319;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;Economica, Giuridica e Sociale;Umanistica;
L-20;Laurea - dm 270/04;Scienze della comunicazione;D.M. 270/04;03;032;0321;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;Economica, Giuridica e Sociale;Umanistica;
13/S;Laurea Specialistica - dm 509/99;Specialistiche in editoria, comunicazione multimediale e giornalismo;D.M. 509/99;03;032;0321;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;Economica, Giuridica e Sociale;Umanistica;
14;Laurea  - dm 509/99;Scienze della comunicazione;D.M. 509/99;03;032;0321;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;Economica, Giuridica e Sociale;Umanistica;
101/S;Laurea Specialistica - dm 509/99;Specialistiche in teoria della comunicazione;D.M. 509/99;03;032;0321;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;Economica, Giuridica e Sociale;Umanistica;
LM-92;Laurea Magistrale - dm 270/04;Teorie della comunicazione;D.M. 270/04;03;032;0321;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;Economica, Giuridica e Sociale;Umanistica;
LM-19;Laurea Magistrale - dm 270/04;Informazione e sistemi editoriali;D.M. 270/04;03;032;0321;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;Economica, Giuridica e Sociale;Umanistica;
LM-59;Laurea Magistrale - dm 270/04;Scienze della comunicazione pubblica, d'impresa e pubblicità;D.M. 270/04;03;032;0321;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;Economica, Giuridica e Sociale;Umanistica;
67/S;Laurea Specialistica - dm 509/99;Specialistiche in scienze della comunicazione sociale e istituzionale;D.M. 509/99;03;032;0321;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;Economica, Giuridica e Sociale;Umanistica;
LM-05;Laurea Magistrale - dm 270/04;Archivistica e biblioteconomia;D.M. 270/04;03;032;0322;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;Economica, Giuridica e Sociale;Umanistica;
05/S;Laurea Specialistica - dm 509/99;Specialistiche in archivistica e biblioteconomia;D.M. 509/99;03;032;0322;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;Economica, Giuridica e Sociale;Umanistica;
LM-43;Laurea Magistrale - dm 270/04;Metodologie informatiche per le discipline umanistiche;D.M. 270/04;03;032;0322;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;Economica, Giuridica e Sociale;Umanistica;
24/S;Laurea Specialistica - dm 509/99;Specialistiche in informatica per le discipline umanistiche;D.M. 509/99;03;032;0322;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;Economica, Giuridica e Sociale;Umanistica;
LM-16;Laurea Magistrale - dm 270/04;Finanza;D.M. 270/04;04;041;0412;Economico                                                                                                                                                                                                                                                 ;Economica, Giuridica e Sociale;Umanistica;
19/S;Laurea Specialistica - dm 509/99;Specialistiche in finanza;D.M. 509/99;04;041;0412;Economico                                                                                                                                                                                                                                                 ;Economica, Giuridica e Sociale;Umanistica;
LM-77;Laurea Magistrale - dm 270/04;Scienze economico-aziendali;D.M. 270/04;04;041;0413;Economico                                                                                                                                                                                                                                                 ;Economica, Giuridica e Sociale;Umanistica;
84/S;Laurea Specialistica - dm 509/99;Specialistiche in scienze economico-aziendali;D.M. 509/99;04;041;0413;Economico                                                                                                                                                                                                                                                 ;Economica, Giuridica e Sociale;Umanistica;
L-18;Laurea - dm 270/04;Scienze dell'economia e della gestione aziendale;D.M. 270/04;04;041;0413;Economico                                                                                                                                                                                                                                                 ;Economica, Giuridica e Sociale;Umanistica;
17;Laurea  - dm 509/99;Scienze dell'economia e della gestione aziendale;D.M. 509/99;04;041;0413;Economico                                                                                                                                                                                                                                                 ;Economica, Giuridica e Sociale;Umanistica;
59/S;Laurea Specialistica - dm 509/99;Specialistiche in pubblicita e comunicazione d'impresa;D.M. 509/99;04;041;0414;Economico                                                                                                                                                                                                                                                 ;Economica, Giuridica e Sociale;Umanistica;
