COD_Ateneo;NomeEsteso;NomeOperativo;Status;Descrizione;StataleLibera;Indirizzo;CITTA;PROVINCIA;REGIONE;NOME_REGIONE_MACRO;;
04302;Università degli studi di Camerino;Camerino;A;Università;S;Piazza Cavour 19/f;CAMERINO;MACERATA;MARCHE;CENTRO;;
04601;Scuola IMT Alti Studi di Lucca;Lucca IMT;A;Scuola Superiore ad Ordinamento Speciale;S;Piazza S. Ponziano,6;LUCCA;LUCCA;TOSCANA;CENTRO;;
04801;Università degli studi di Firenze;Firenze;A;Università;S;P.zza S. Marco, 4;FIRENZE;FIRENZE;TOSCANA;CENTRO;;
04802;Istituto Superiore di Educazione Fisica di Firenze;Firenze ISEF;M;ISEF;L;;;FIRENZE;TOSCANA;CENTRO;;
04803;Istituto Italiano di Scienze Umane di Firenze;Firenze - Istituto Italiano di Scienze Umane;M;Scuola Superiore ad Ordinamento Speciale;S;;;FIRENZE;TOSCANA;CENTRO;;
04804;"Università telematica ""Italian University line"" di Firenze";Firenze IUL - telematica;A;Universita Telematica;L;Via M. Buonarroti, 10;FIRENZE;FIRENZE;TOSCANA;CENTRO;;
05001;Università di Pisa;Pisa;A;Università;S;Lungarno Pacinotti, 43/44;PISA;PISA;TOSCANA;CENTRO;;
05002;Scuola normale superiore di Pisa;Pisa Normale;A;Scuola Superiore ad Ordinamento Speciale;S;P.zza dei Cavalieri, 7;PISA;PISA;TOSCANA;CENTRO;;
05003;"Scuola superiore di studi universitari e perfezionamento ""S. Anna"" di Pisa";Pisa S.Anna;A;Scuola Superiore ad Ordinamento Speciale;S;P.zza Martiri della Libertà, 33;PISA;PISA;TOSCANA;CENTRO;;
05201;Università degli studi di Siena;Siena;A;Università;S;Via Banchi di Sotto, 55;SIENA;SIENA;TOSCANA;CENTRO;;
05202;Università per stranieri di Siena;Siena Stranieri;A;Università;S;Piazza Rosselli, 27-28;SIENA;SIENA;TOSCANA;CENTRO;;
05401;Università degli studi di Perugia;Perugia;A;Università;S;P.zza dell' Universita', 1;PERUGIA;PERUGIA;UMBRIA;CENTRO;;
05402;Istituto Superiore di Educazione Fisica di Perugia;Perugia ISEF;M;ISEF;L;;;PERUGIA;UMBRIA;CENTRO;;
05403;Università per stranieri di Perugia;Perugia Stranieri;A;Università;S;P.zza Fortebraccio, 4 Palazzo Gallenga;PERUGIA;PERUGIA;UMBRIA;CENTRO;;
05601;Università degli Studi della Tuscia;Tuscia;A;Università;S;Via S.Maria in Gradi, 4;VITERBO;VITERBO;LAZIO;CENTRO;;
05801;Università degli studi di Roma La Sapienza;Roma La Sapienza;A;Università;S;P.zza Aldo Moro, 5;ROMA;ROMA;LAZIO;CENTRO;;
05802;Università degli studi di Roma Tor Vergata;Roma Tor Vergata;A;Università;S;Via Cracovia n. 50;ROMA;ROMA;LAZIO;CENTRO;;
05803;Libera Università Maria SS.Assunta - (LUMSA) di Roma;Roma LUMSA;A;Università;L;Via della Traspontina, 21;ROMA;ROMA;LAZIO;CENTRO;;
05805;Luiss - Libera Università internazionale degli studi sociali Guido Carli di Roma;Roma Luiss;A;Università;L;Viale Pola, 12;ROMA;ROMA;LAZIO;CENTRO;;
05806;"Università degli studi di Roma ""Foro Italico""";Roma Foro Italico;A;Università;S;Piazza Lauro de Bosis, 15;ROMA;ROMA;LAZIO;CENTRO;;
05807;Università degli studi Roma Tre;Roma Tre;A;Università;S;Via Ostiense, 133;ROMA;ROMA;LAZIO;CENTRO;;
05808;Università Campus Bio-Medico di Roma;Roma Biomedico;A;Università;L;Via Alvaro del Portillo, 21;ROMA;ROMA;LAZIO;CENTRO;;
05809;Università degli Studi Internazionali di Roma – UNINT;Roma UNINT;A;Università;L;Via Cristoforo Colombo, 200;ROMA;ROMA;LAZIO;CENTRO;;
05810;Università telematica Guglielmo Marconi di Roma;Roma Marconi - telematica;A;Universita Telematica;L;via Plinio, 44;ROMA;ROMA;LAZIO;CENTRO;;
05811;Università telematica Unitelma Sapienza di Roma;Roma UNITELMA - telematica;A;Universita Telematica;L;Piazza Sassari, 4;ROMA;ROMA;LAZIO;CENTRO;;
05812;Università Europea di Roma;Roma Europea;A;Università;L;Via degli Aldobrandeschi, 190;ROMA;ROMA;LAZIO;CENTRO;;
05813;Università telematica internazionale UNINETTUNO di Roma;Roma UNINETTUNO - telematica;A;Universita Telematica;L;Corso Vittorio Emanuele II, 39;ROMA;ROMA;LAZIO;CENTRO;;
05814;Universitas telematica Mercatorum di Roma;Roma  Mercatorum - telematica;A;Universita Telematica;L;Piazza Mattei, 10;ROMA;ROMA;LAZIO;CENTRO;;
05815;Università telematica Niccolò Cusano di Roma;Roma UNICUSANO - telematica;A;Universita Telematica;L;Via Don Carlo Gnocchi, 3;ROMA;ROMA;LAZIO;CENTRO;;
05816;"Università telematica ""San Raffaele"" di Roma - già ""UNITEL""";Roma San Raffaele - telematica;A;Universita Telematica;L;Via di Val Cannuta, 247;ROMA;ROMA;LAZIO;CENTRO;;
05817;Link Campus University di Roma;Roma Link Campus;A;Università;L;via del Casale di San Pio n. 44;ROMA;ROMA;LAZIO;CENTRO;;
05818;Saint Camillus International University of Health;Roma Saint Camillus;A;Università;L;via di S.Alessandro 8;ROMA;ROMA;LAZIO;CENTRO;;
05819;Centro Alti Studi per la Difesa (CASD) di Roma;Roma - CASD;A;Scuola Superiore ad Ordinamento Speciale;S;P.zza della Rovere, 83;ROMA;ROMA;LAZIO;CENTRO;;
06001;Università degli Studi di Cassino e del Lazio Meridionale;Cassino;A;Università;S;Viale dell'Università-Rettorato CampusUniversitario - località Folcara;CASSINO;FROSINONE;LAZIO;CENTRO;;
06201;Università degli Studi del Sannio;Sannio;A;Università;S;Piazza Guerrazzi, 1;BENEVENTO;BENEVENTO;CAMPANIA;SUD;;
06202;"Università telematica ""Giustino Fortunato"" di Benevento";Benevento Giustino Fortunato - telematica;A;Universita Telematica;L;Viale R. Delcogliano, 12;BENEVENTO;BENEVENTO;CAMPANIA;SUD;;
06301;Università degli studi di Napoli Federico II;Napoli Federico II;A;Università;S;C.so Umberto I, 40;NAPOLI;NAPOLI;CAMPANIA;SUD;;
06302;Università degli studi di Napoli - Parthenope;Napoli Parthenope;A;Università;S;Via Amm.F. Acton, 38;NAPOLI;NAPOLI;CAMPANIA;SUD;;
06303;Università degli studi L'Orientale di Napoli;Napoli L'Orientale;A;Università;S;Via Chiatamone, 61/62;NAPOLI;NAPOLI;CAMPANIA;SUD;;
06304;Università degli studi Suor Orsola Benincasa di Napoli;Napoli Benincasa;A;Università;L;Via Suor Orsola, 10;NAPOLI;NAPOLI;CAMPANIA;SUD;;
06305;Istituto Superiore di Educazione Fisica di Napoli;Napoli ISEF;M;ISEF;L;;;NAPOLI;CAMPANIA;SUD;;
06306;"Università degli studi della Campania ""Luigi Vanvitelli""";Napoli Vanvitelli;A;Università;S;Viale Abramo Lincoln n.5;CASERTA;CASERTA;CAMPANIA;SUD;;
06307;"Università telematica ""Pegaso"" di Napoli";Napoli Pegaso - telematica;A;Universita Telematica;L;Centro Direzionale, Isola F2;NAPOLI;NAPOLI;CAMPANIA;SUD;;
06308;Scuola Superiore Meridionale di Napoli;Napoli Meridionale;A;Scuola Superiore ad Ordinamento Speciale;S;Via Mezzocannone, 4;NAPOLI;NAPOLI;CAMPANIA;SUD;;
06501;Università degli studi di Salerno;Salerno;A;Università;S;Via Giovanni Paolo II, 132;FISCIANO - SALERNO;SALERNO;CAMPANIA;SUD;;
06601;Università degli studi di L'Aquila;L'Aquila;A;Università;S;Palazzo Camponeschi, Piazza Santa Margherita 2;L'AQUILA;L'AQUILA;ABRUZZO;SUD;;
06602;Istituto Superiore di Educazione Fisica di L'Aquila;L'Aquila ISEF;M;ISEF;L;;;L'AQUILA;ABRUZZO;SUD;;
06603;Gran Sasso Science Institute - Scuola di dottorato internazionale dell'Aquila;L'Aquila GSSI;A;Scuola Superiore ad Ordinamento Speciale;S;Viale F. Crispi, 7;L'AQUILA;L'AQUILA;ABRUZZO;SUD;;
06701;Università degli studi di Teramo;Teramo;A;Università;S;Via Renato Balzarini, 1 ;TERAMO;TERAMO;ABRUZZO;SUD;;
06901;Università degli studi Gabriele D'Annunzio di Chieti e Pescara;Chieti e Pescara;A;Università;S;Via dei Vestini, 31 Campus Universitario;CHIETI SCALO;CHIETI;ABRUZZO;SUD;;
06902;"Università telematica non statale ""Leonardo da Vinci"" di Torrevecchia Teatina (CH)";Torrevecchia Teatina Leonardo da Vinci - telematica;A;Universita Telematica;L;Piazza San Rocco, 2;TORREVECCHIA TEATINA;CHIETI;ABRUZZO;SUD;;
07001;Università degli studi del Molise;Molise;A;Università;S;Via de Sanctis, s.n. II Edificio Polif.;CAMPOBASSO;CAMPOBASSO;MOLISE;SUD;;
07101;Università degli studi di Foggia;Foggia;A;Università;S;Via Gramsci, 89/91;FOGGIA;FOGGIA;PUGLIA;SUD;;
07201;Università degli studi di Bari;Bari;A;Università;S;P.zza Umberto I, 1 Palazzo Ateneo;BARI;BARI;PUGLIA;SUD;;
07202;Politecnico di Bari;Bari Politecnico;A;Politecnico;S;Via Amendola, 126/B;BARI;BARI;PUGLIA;SUD;;
07203;"Libera Università Mediterranea ""Giuseppe Degennaro""";Casamassima – LUM G. Degennaro;A;Università;L;S.S. 100 Km 18;CASAMASSIMA;BARI;PUGLIA;SUD;;
07501;Università del Salento;Salento;A;Università;S;piazza Tancredi,7;LECCE;LECCE;PUGLIA;SUD;;
07601;Università degli studi della Basilicata;Basilicata;A;Università;S;Via Nazario Sauro, 85;POTENZA;POTENZA;BASILICATA;SUD;;
07801;Università della Calabria;Calabria;A;Università;S;Via Pietro Bucci;ARCAVACATA DI RENDE;COSENZA;CALABRIA;SUD;;
07901;Università degli studi di Catanzaro - Magna Grecia;Catanzaro;A;Università;S;Viale Europa - Loc. GERMANETO;CATANZARO;CATANZARO;CALABRIA;SUD;;
08001;Università degli studi Mediterranea di Reggio Calabria;Reggio Calabria;A;Università;S;Via dell'Universita' n. 25;REGGIO CALABRIA;REGGIO CALABRIA;CALABRIA;SUD;;
08003;"Università per stranieri ""Dante Alighieri"" di Reggio Calabria";Reggio Calabria - Dante Alighieri;A;Università;L;Via Torrione, 95;REGGIO CALABRIA;REGGIO CALABRIA;CALABRIA;SUD;;
08201;Università degli studi di Palermo;Palermo;A;Università;S;P.zza della Marina, 61 Pal. Steri;PALERMO;PALERMO;SICILIA;ISOLE;;
08202;Istituto Superiore di Educazione Fisica di Palermo;Palermo ISEF;M;ISEF;L;;;PALERMO;SICILIA;ISOLE;;
08301;Università degli studi di Messina;Messina;A;Università;S;P.zza S. Pugliatti, 1;MESSINA;MESSINA;SICILIA;ISOLE;;
08601;"Libera Università della Sicilia Centrale ""KORE"" di Enna";Enna KORE;A;Università;L;Via delle Olimpiadi, 4;ENNA BASSA;ENNA;SICILIA;ISOLE;;
08701;Università degli studi di Catania;Catania;A;Università;S;P.zza dell'Universita',2;CATANIA;CATANIA;SICILIA;ISOLE;;
09001;Università degli studi di Sassari;Sassari;A;Università;S;P.zza dell'Universita', 21;SASSARI;SASSARI;SARDEGNA;ISOLE;;
09201;Università degli studi di Cagliari;Cagliari;A;Università;S;Via Universita', 40;CAGLIARI;CAGLIARI;SARDEGNA;ISOLE;;
;;;;;;;;;;;;
