AnnoA;ClasseNUMERO;SedeR;ResidenzaR;Isc
2024/2025;L/SNT1;CAMPANIA;CAMPANIA;4318
2023/2024;L-18;VENETO;VENETO;4310
2023/2024;L-33;LOMBARDIA;LOMBARDIA;4295
2024/2025;LMG/01;EMILIA ROMAGNA;EMILIA ROMAGNA;4285
2024/2025;L-31;LOMBARDIA;LOMBARDIA;4265
2024/2025;L-24;SICILIA;SICILIA;4238
2023/2024;L-24;SICILIA;SICILIA;4238
2024/2025;L-18;VENETO;VENETO;4235
2023/2024;LMG/01;EMILIA ROMAGNA;EMILIA ROMAGNA;4220
2023/2024;LMG/01;TOSCANA;TOSCANA;4182
2023/2024;L-19;SICILIA;SICILIA;4169
2023/2024;LM-41;TOSCANA;TOSCANA;4158
2024/2025;L-11;LAZIO;LAZIO;4158
2023/2024;L-9;SICILIA;SICILIA;4149
2023/2024;L-13;CAMPANIA;CAMPANIA;4118
2023/2024;L/SNT1;CAMPANIA;CAMPANIA;4110
2023/2024;LM-41;PUGLIA;PUGLIA;4105
2024/2025;L-9;TOSCANA;TOSCANA;4094
2024/2025;L-33;LOMBARDIA;LOMBARDIA;4061
2024/2025;L-19;EMILIA ROMAGNA;EMILIA ROMAGNA;4028
2023/2024;LM-85 bis;CAMPANIA;CAMPANIA;4026
2024/2025;L-8;SICILIA;SICILIA;4006
2024/2025;L-22;CAMPANIA;CAMPANIA;4005
2024/2025;L-31;CAMPANIA;CAMPANIA;4004
2023/2024;L-19;EMILIA ROMAGNA;EMILIA ROMAGNA;3983
2023/2024;L-9;TOSCANA;TOSCANA;3978
2024/2025;L-13;CAMPANIA;CAMPANIA;3935
2024/2025;L-36;LOMBARDIA;LOMBARDIA;3918
2024/2025;LMG/01;PIEMONTE;PIEMONTE;3907
2023/2024;L-36;LOMBARDIA;LOMBARDIA;3906
2024/2025;LMG/01;VENETO;VENETO;3890
2023/2024;L-8;SICILIA;SICILIA;3881
2023/2024;L-31;CAMPANIA;CAMPANIA;3862
2024/2025;LM-85 bis;SICILIA;SICILIA;3836
2024/2025;L-8;EMILIA ROMAGNA;EMILIA ROMAGNA;3826
2023/2024;L/SNT1;TOSCANA;TOSCANA;3756
2024/2025;L-14;LOMBARDIA;LOMBARDIA;3719
2024/2025;L/SNT1;TOSCANA;TOSCANA;3714
2023/2024;LMG/01;PIEMONTE;PIEMONTE;3712
2023/2024;L-8;EMILIA ROMAGNA;EMILIA ROMAGNA;3689
2023/2024;L-14;LOMBARDIA;LOMBARDIA;3672
2024/2025;LM-41;PIEMONTE;PIEMONTE;3671
2023/2024;LMG/01;VENETO;VENETO;3661
2023/2024;LM-13;CAMPANIA;CAMPANIA;3655
2024/2025;L-20;PIEMONTE;PIEMONTE;3645
2023/2024;LM-41;PIEMONTE;PIEMONTE;3549
2023/2024;L-20;PIEMONTE;PIEMONTE;3537
2024/2025;LM-41;VENETO;VENETO;3530
2024/2025;L/SNT1;VENETO;VENETO;3502
2024/2025;L-11;LOMBARDIA;LOMBARDIA;3481
2024/2025;L-8;PIEMONTE;PIEMONTE;3469
2023/2024;L/SNT1;VENETO;VENETO;3450
2024/2025;LM-13;CAMPANIA;CAMPANIA;3449
2024/2025;LM-85 bis;LAZIO;LAZIO;3438
2023/2024;LM-85 bis;SICILIA;SICILIA;3437
2023/2024;L-22;CAMPANIA;CAMPANIA;3378
2023/2024;L-19;PUGLIA;PUGLIA;3372
2024/2025;L-10;LOMBARDIA;LOMBARDIA;3369
2023/2024;LM-13;LOMBARDIA;LOMBARDIA;3368
2024/2025;L-24;CAMPANIA;CAMPANIA;3363
2024/2025;L-19;PUGLIA;PUGLIA;3361
2023/2024;L-11;LOMBARDIA;LOMBARDIA;3346
2024/2025;LM-13;LOMBARDIA;LOMBARDIA;3317
2023/2024;L-24;CAMPANIA;CAMPANIA;3300
2023/2024;L-10;LAZIO;LAZIO;3297
2024/2025;L/SNT1;PUGLIA;PUGLIA;3283
2023/2024;L-8;PIEMONTE;PIEMONTE;3270
2023/2024;L-10;LOMBARDIA;LOMBARDIA;3258
2023/2024;LM-41;VENETO;VENETO;3227
2024/2025;L-10;LAZIO;LAZIO;3216
2024/2025;L-8;VENETO;VENETO;3198
2023/2024;L-33;CAMPANIA;CAMPANIA;3124
2023/2024;L-13;LAZIO;LAZIO;3119
2024/2025;L-13;LAZIO;LAZIO;3116
2024/2025;LM-77;CAMPANIA;CAMPANIA;3109
2024/2025;L-22;LOMBARDIA;LOMBARDIA;3104
2023/2024;L/SNT1;PUGLIA;PUGLIA;3101
2024/2025;L-33;VENETO;VENETO;3086
2024/2025;L/SNT1;PIEMONTE;PIEMONTE;3081
2023/2024;L-8;VENETO;VENETO;3070
2024/2025;L/SNT1;EMILIA ROMAGNA;EMILIA ROMAGNA;3067
2023/2024;L/SNT1;EMILIA ROMAGNA;EMILIA ROMAGNA;3063
2023/2024;LM-85 bis;LAZIO;LAZIO;3059
2023/2024;L/SNT1;PIEMONTE;PIEMONTE;3047
2023/2024;LM-77;CAMPANIA;CAMPANIA;3019
2024/2025;L-8;TOSCANA;TOSCANA;3016
2024/2025;L-33;CAMPANIA;CAMPANIA;3005
2023/2024;L-8;TOSCANA;TOSCANA;3000
2023/2024;L-22;LOMBARDIA;LOMBARDIA;2989
2024/2025;L-10;SICILIA;SICILIA;2984
2024/2025;L-9;PUGLIA;PUGLIA;2983
2023/2024;L-33;VENETO;VENETO;2982
2023/2024;L-10;SICILIA;SICILIA;2973
2024/2025;L-8;LOMBARDIA;LOMBARDIA;2946
2023/2024;LM-13;SICILIA;SICILIA;2903
2023/2024;L-20;SICILIA;SICILIA;2892
2024/2025;L-20;SICILIA;SICILIA;2866
2024/2025;L-5;LOMBARDIA;LOMBARDIA;2863
2023/2024;L-3;LAZIO;LAZIO;2859
2023/2024;L-19;CAMPANIA;CAMPANIA;2845
2023/2024;L-11;VENETO;VENETO;2834
2024/2025;L-20;EMILIA ROMAGNA;EMILIA ROMAGNA;2834
2023/2024;L-9;PUGLIA;PUGLIA;2824
2024/2025;L-36;VENETO;VENETO;2819
2023/2024;L-33;SICILIA;SICILIA;2806
2024/2025;L-11;VENETO;VENETO;2780
2024/2025;L-3;LAZIO;LAZIO;2766
2024/2025;L-22;LAZIO;LAZIO;2764
2024/2025;L-33;SICILIA;SICILIA;2760
2024/2025;L-19;CAMPANIA;CAMPANIA;2723
2023/2024;L-8;LOMBARDIA;LOMBARDIA;2719
2024/2025;LM-13;SICILIA;SICILIA;2716
2024/2025;LM-4cu;CAMPANIA;CAMPANIA;2687
2023/2024;L-18;SARDEGNA;SARDEGNA;2675
2024/2025;L/SNT2;LAZIO;LAZIO;2645
2023/2024;L-36;VENETO;VENETO;2644
2023/2024;L-22;SICILIA;SICILIA;2644
2023/2024;LMG/01;CALABRIA;CALABRIA;2639
2023/2024;L-22;LAZIO;LAZIO;2629
2023/2024;L-20;EMILIA ROMAGNA;EMILIA ROMAGNA;2628
2023/2024;LM-4cu;CAMPANIA;CAMPANIA;2612
2023/2024;L-5;LOMBARDIA;LOMBARDIA;2610
2023/2024;L-40;CAMPANIA;CAMPANIA;2588
2024/2025;L-18;SARDEGNA;SARDEGNA;2582
2024/2025;L-22;SICILIA;SICILIA;2578
2023/2024;L-10;PUGLIA;PUGLIA;2538
2024/2025;LMG/01;CALABRIA;CALABRIA;2537
2023/2024;LM-13;LAZIO;LAZIO;2533
2024/2025;L-8;CALABRIA;CALABRIA;2532
2024/2025;LM-13;LAZIO;LAZIO;2524
2024/2025;L-31;PIEMONTE;PIEMONTE;2519
2024/2025;L-36;TOSCANA;TOSCANA;2511
2024/2025;L-40;CAMPANIA;CAMPANIA;2501
2023/2024;L-11;SICILIA;SICILIA;2497
2024/2025;L-24;PUGLIA;PUGLIA;2487
2024/2025;LM-85 bis;TOSCANA;TOSCANA;2476
2023/2024;L-24;PUGLIA;PUGLIA;2467
2023/2024;L-8;CALABRIA;CALABRIA;2450
2023/2024;L/SNT2;LAZIO;LAZIO;2442
2023/2024;L-13;SICILIA;SICILIA;2404
2023/2024;L-36;TOSCANA;TOSCANA;2403
2024/2025;LM-41;SARDEGNA;SARDEGNA;2403
2024/2025;L-10;PUGLIA;PUGLIA;2400
2024/2025;L-11;SICILIA;SICILIA;2398
2024/2025;L-31;LAZIO;LAZIO;2398
2024/2025;L-8;PUGLIA;PUGLIA;2384
2024/2025;L-13;SICILIA;SICILIA;2364
2023/2024;L-31;LAZIO;LAZIO;2352
2023/2024;L-11;TOSCANA;TOSCANA;2348
2023/2024;L-31;PIEMONTE;PIEMONTE;2347
2023/2024;L-1;LOMBARDIA;LOMBARDIA;2340
2024/2025;LM-85 bis;EMILIA ROMAGNA;EMILIA ROMAGNA;2338
2024/2025;L-31;VENETO;VENETO;2331
2024/2025;L-33;PIEMONTE;PIEMONTE;2331
2023/2024;L-36;CAMPANIA;CAMPANIA;2329
2024/2025;LM-85 bis;PUGLIA;PUGLIA;2326
2024/2025;LM-85 bis;CALABRIA;CALABRIA;2319
2023/2024;L-19;TOSCANA;TOSCANA;2311
2024/2025;L-36;PIEMONTE;PIEMONTE;2305
2023/2024;L-31;VENETO;VENETO;2304
2024/2025;L-36;CAMPANIA;CAMPANIA;2302
2024/2025;L-30;LOMBARDIA;LOMBARDIA;2290
2023/2024;LM-41;SARDEGNA;SARDEGNA;2290
2024/2025;L-11;TOSCANA;TOSCANA;2289
2024/2025;LM-4cu;LAZIO;LAZIO;2289
2023/2024;LM-4cu;LAZIO;LAZIO;2278
2024/2025;L-1;LOMBARDIA;LOMBARDIA;2275
2023/2024;L-8;PUGLIA;PUGLIA;2268
2023/2024;L/SNT2;LOMBARDIA;LOMBARDIA;2266
2024/2025;L/SNT2;LOMBARDIA;LOMBARDIA;2266
2023/2024;L-1;LAZIO;LAZIO;2253
2023/2024;L-20;TOSCANA;TOSCANA;2250
2024/2025;L-1;LAZIO;LAZIO;2245
2024/2025;L-18;LIGURIA;LIGURIA;2244
2024/2025;L-20;TOSCANA;TOSCANA;2238
2024/2025;L-24;VENETO;VENETO;2230
2023/2024;LM-13;EMILIA ROMAGNA;EMILIA ROMAGNA;2228
2024/2025;L/SNT1;CALABRIA;CALABRIA;2222
2023/2024;LM-85 bis;CALABRIA;CALABRIA;2222
2024/2025;LM-51;LOMBARDIA;LOMBARDIA;2213
2024/2025;LM-13;EMILIA ROMAGNA;EMILIA ROMAGNA;2208
2023/2024;L-36;PIEMONTE;PIEMONTE;2205
2023/2024;LM-85 bis;TOSCANA;TOSCANA;2201
2024/2025;L-31;PUGLIA;PUGLIA;2193
2023/2024;L-24;VENETO;VENETO;2186
2023/2024;L-18;LIGURIA;LIGURIA;2182
2023/2024;LM-77;EMILIA ROMAGNA;EMILIA ROMAGNA;2177
2023/2024;LM-85 bis;EMILIA ROMAGNA;EMILIA ROMAGNA;2167
2023/2024;L-30;LOMBARDIA;LOMBARDIA;2166
2023/2024;L-1;CAMPANIA;CAMPANIA;2161
2024/2025;L-19;TOSCANA;TOSCANA;2160
2024/2025;LM-51;LAZIO;LAZIO;2140
2023/2024;L-13;LOMBARDIA;LOMBARDIA;2133
2024/2025;L-13;LOMBARDIA;LOMBARDIA;2132
2024/2025;L-31;SICILIA;SICILIA;2123
2024/2025;L/SNT3;LAZIO;LAZIO;2103
2024/2025;LM-77;EMILIA ROMAGNA;EMILIA ROMAGNA;2102
2023/2024;L-31;PUGLIA;PUGLIA;2092
2024/2025;L-19;VENETO;VENETO;2088
2023/2024;L-2;LOMBARDIA;LOMBARDIA;2087
2024/2025;L-1;CAMPANIA;CAMPANIA;2078
2024/2025;LM-41;CALABRIA;CALABRIA;2074
2024/2025;L-22;PUGLIA;PUGLIA;2072
2024/2025;L-31;EMILIA ROMAGNA;EMILIA ROMAGNA;2071
2024/2025;L-2;LOMBARDIA;LOMBARDIA;2060
2023/2024;LM-51;LOMBARDIA;LOMBARDIA;2060
2023/2024;LM-13;TOSCANA;TOSCANA;2055
2023/2024;LM-51;LAZIO;LAZIO;2054
2023/2024;L-31;EMILIA ROMAGNA;EMILIA ROMAGNA;2054
2023/2024;L-33;PUGLIA;PUGLIA;2043
2023/2024;LM-85 bis;PUGLIA;PUGLIA;2022
2024/2025;LM-13;TOSCANA;TOSCANA;2018
2023/2024;L-19;VENETO;VENETO;2018
2024/2025;L-33;PUGLIA;PUGLIA;2015
2024/2025;L-22;EMILIA ROMAGNA;EMILIA ROMAGNA;2015
2024/2025;LM-85 bis;PIEMONTE;PIEMONTE;2012
2023/2024;L-14;VENETO;VENETO;2007
2023/2024;L-12;PUGLIA;PUGLIA;2007
2023/2024;L-11;EMILIA ROMAGNA;EMILIA ROMAGNA;1986
2024/2025;L-18;CALABRIA;CALABRIA;1986
2023/2024;L-31;SICILIA;SICILIA;1977
2023/2024;L-12;VENETO;VENETO;1976
2024/2025;L-30;LAZIO;LAZIO;1971
2023/2024;L-22;PUGLIA;PUGLIA;1970
2024/2025;L-17;LOMBARDIA;LOMBARDIA;1961
2023/2024;L/SNT3;LAZIO;LAZIO;1953
2023/2024;L/SNT1;CALABRIA;CALABRIA;1947
2023/2024;LMG/01;SARDEGNA;SARDEGNA;1942
2023/2024;L-17;LOMBARDIA;LOMBARDIA;1939
2024/2025;LMG/01;SARDEGNA;SARDEGNA;1933
2024/2025;L-14;VENETO;VENETO;1930
2024/2025;L-12;VENETO;VENETO;1930
2024/2025;L-11;EMILIA ROMAGNA;EMILIA ROMAGNA;1922
2023/2024;L-18;CALABRIA;CALABRIA;1909
2023/2024;L-22;EMILIA ROMAGNA;EMILIA ROMAGNA;1904
2023/2024;LM-85 bis;PIEMONTE;PIEMONTE;1904
2024/2025;LM-41;LAZIO;CAMPANIA;1895
2024/2025;L-19;PIEMONTE;PIEMONTE;1858
2024/2025;L-36;EMILIA ROMAGNA;EMILIA ROMAGNA;1858
2024/2025;L-12;PUGLIA;PUGLIA;1844
2023/2024;L-19;PIEMONTE;PIEMONTE;1840
2024/2025;L-1;VENETO;VENETO;1834
2023/2024;L-1;VENETO;VENETO;1833
2024/2025;L-10;TOSCANA;TOSCANA;1828
2023/2024;LM-77;VENETO;VENETO;1824
2023/2024;L-13;PIEMONTE;PIEMONTE;1819
2023/2024;L-30;LAZIO;LAZIO;1819
2023/2024;L-12;CAMPANIA;CAMPANIA;1818
2023/2024;L-12;LAZIO;LAZIO;1815
2023/2024;L-10;TOSCANA;TOSCANA;1812
2024/2025;L-13;PIEMONTE;PIEMONTE;1808
2024/2025;LM-77;VENETO;VENETO;1801
2023/2024;L-33;PIEMONTE;PIEMONTE;1792
2024/2025;L-18;ABRUZZO;ABRUZZO;1786
2023/2024;L-24;TOSCANA;TOSCANA;1773
2024/2025;L-12;LAZIO;LAZIO;1771
2023/2024;LM-4cu;SICILIA;SICILIA;1752
2024/2025;L-4;LOMBARDIA;LOMBARDIA;1749
2024/2025;LM-77;PIEMONTE;PIEMONTE;1749
2024/2025;LM-4cu;SICILIA;SICILIA;1748
2023/2024;LM-41;CALABRIA;CALABRIA;1745
2023/2024;L-36;EMILIA ROMAGNA;EMILIA ROMAGNA;1739
2024/2025;L-9;LIGURIA;LIGURIA;1734
2024/2025;L-22;PIEMONTE;PIEMONTE;1732
2024/2025;L-18;LOMBARDIA;REGIONE ESTERA;1731
2023/2024;LM-77;PIEMONTE;PIEMONTE;1731
2023/2024;L-18;ABRUZZO;ABRUZZO;1719
2024/2025;L-24;TOSCANA;TOSCANA;1703
2024/2025;L-33;TOSCANA;TOSCANA;1699
2024/2025;L-5;LAZIO;LAZIO;1694
2024/2025;L-14;PIEMONTE;PIEMONTE;1691
2023/2024;L-33;TOSCANA;TOSCANA;1687
2024/2025;LM-85 bis;MARCHE;MARCHE;1665
2023/2024;L-4;LOMBARDIA;LOMBARDIA;1658
2023/2024;L-22;PIEMONTE;PIEMONTE;1658
2023/2024;L-9;LIGURIA;LIGURIA;1658
2023/2024;LM-13;PIEMONTE;PIEMONTE;1654
2023/2024;L-12;PIEMONTE;PIEMONTE;1650
2024/2025;L-20;SARDEGNA;SARDEGNA;1640
2023/2024;L-32;LOMBARDIA;LOMBARDIA;1631
2024/2025;L-20;CAMPANIA;CAMPANIA;1630
2024/2025;LM-13;PIEMONTE;PIEMONTE;1622
2023/2024;L-13;TOSCANA;TOSCANA;1621
2024/2025;L-31;TOSCANA;TOSCANA;1617
2024/2025;L-14;EMILIA ROMAGNA;EMILIA ROMAGNA;1617
2024/2025;L-13;TOSCANA;TOSCANA;1616
2023/2024;L-14;EMILIA ROMAGNA;EMILIA ROMAGNA;1615
2023/2024;L-20;CAMPANIA;CAMPANIA;1606
2024/2025;L-18;UMBRIA;UMBRIA;1604
2024/2025;L-39;CAMPANIA;CAMPANIA;1602
2024/2025;L-24;EMILIA ROMAGNA;EMILIA ROMAGNA;1599
2023/2024;L-19;CALABRIA;CALABRIA;1598
2023/2024;L-14;PIEMONTE;PIEMONTE;1590
2024/2025;L-18;FRIULI VENEZIA GIULIA;FRIULI VENEZIA GIULIA;1586
2023/2024;L-13;PUGLIA;PUGLIA;1580
2023/2024;LM-13;CALABRIA;CALABRIA;1578
2024/2025;L/SNT3;LOMBARDIA;LOMBARDIA;1578
2024/2025;L-10;VENETO;VENETO;1576
2024/2025;L-42;LOMBARDIA;LOMBARDIA;1575
2023/2024;L-18;UMBRIA;UMBRIA;1574
2023/2024;L-10;VENETO;VENETO;1574
2024/2025;LM-85 bis;VENETO;VENETO;1573
2024/2025;LM-14;CAMPANIA;CAMPANIA;1572
2023/2024;L-39;PUGLIA;PUGLIA;1569
2024/2025;LM-41;LOMBARDIA;REGIONE ESTERA;1569
2024/2025;L-12;CAMPANIA;CAMPANIA;1565
2023/2024;LM-85 bis;VENETO;VENETO;1565
2024/2025;L-13;PUGLIA;PUGLIA;1561
2024/2025;LM-13;CALABRIA;CALABRIA;1560
2023/2024;L-18;FRIULI VENEZIA GIULIA;FRIULI VENEZIA GIULIA;1560
2024/2025;LM-51;SICILIA;SICILIA;1560
2023/2024;L-20;SARDEGNA;SARDEGNA;1558
2024/2025;L-2;CAMPANIA;CAMPANIA;1558
2024/2025;L-33;MARCHE;MARCHE;1548
2024/2025;L-32;LOMBARDIA;LOMBARDIA;1547
2023/2024;LM-41;LAZIO;CAMPANIA;1547
2023/2024;LM-85 bis;MARCHE;MARCHE;1545
2023/2024;L-2;CAMPANIA;CAMPANIA;1539
2023/2024;L-1;TOSCANA;TOSCANA;1525
2024/2025;L-1;TOSCANA;TOSCANA;1524
2024/2025;L-42;LAZIO;LAZIO;1521
2023/2024;LM-14;CAMPANIA;CAMPANIA;1521
2023/2024;L-31;TOSCANA;TOSCANA;1517
2024/2025;L-39;PUGLIA;PUGLIA;1508
2024/2025;L-27;LOMBARDIA;LOMBARDIA;1496
2024/2025;L-12;PIEMONTE;PIEMONTE;1496
2024/2025;L-19;CALABRIA;CALABRIA;1496
2023/2024;L-42;LOMBARDIA;LOMBARDIA;1496
2023/2024;L/SNT3;LOMBARDIA;LOMBARDIA;1495
2023/2024;L-33;MARCHE;MARCHE;1492
2023/2024;L-42;LAZIO;LAZIO;1484
2023/2024;LM-13;PUGLIA;PUGLIA;1475
2023/2024;L-14;PUGLIA;PUGLIA;1474
2023/2024;LM-51;SICILIA;SICILIA;1463
2023/2024;L-5;LAZIO;LAZIO;1460
2024/2025;LM-41;LAZIO;PUGLIA;1455
2024/2025;L-14;PUGLIA;PUGLIA;1454
2024/2025;L-42;EMILIA ROMAGNA;EMILIA ROMAGNA;1451
2023/2024;L-39;CAMPANIA;CAMPANIA;1444
2023/2024;L-27;LAZIO;LAZIO;1444
2024/2025;L-10;EMILIA ROMAGNA;EMILIA ROMAGNA;1436
2023/2024;L-42;EMILIA ROMAGNA;EMILIA ROMAGNA;1435
2024/2025;L-27;LAZIO;LAZIO;1434
2024/2025;LM-41;EMILIA ROMAGNA;VENETO;1433
2023/2024;L/SNT1;LAZIO;CAMPANIA;1430
2023/2024;L-24;EMILIA ROMAGNA;EMILIA ROMAGNA;1428
2024/2025;LM-41;ABRUZZO;ABRUZZO;1412
2023/2024;LM-41;ABRUZZO;ABRUZZO;1411
2024/2025;L-9;CALABRIA;CALABRIA;1409
2024/2025;L-9;PUGLIA;PUGLIA;1408
2024/2025;L-36;SICILIA;SICILIA;1408
2023/2024;L-10;PIEMONTE;PIEMONTE;1408
2024/2025;L-18;MARCHE;MARCHE;1406
2024/2025;LM-13;PUGLIA;PUGLIA;1399
2023/2024;L-9;PUGLIA;PUGLIA;1386
2024/2025;L-10;PIEMONTE;PIEMONTE;1385
2023/2024;LM-41;LAZIO;PUGLIA;1382
2023/2024;99999;SICILIA;SICILIA;1382
2023/2024;L-10;EMILIA ROMAGNA;EMILIA ROMAGNA;1379
2023/2024;L-18;LOMBARDIA;REGIONE ESTERA;1373
2024/2025;L-13;EMILIA ROMAGNA;EMILIA ROMAGNA;1369
2024/2025;LM-51;CAMPANIA;CAMPANIA;1368
2023/2024;L-27;LOMBARDIA;LOMBARDIA;1365
2023/2024;L-39;LAZIO;LAZIO;1362
2023/2024;LM-6;CAMPANIA;CAMPANIA;1355
2024/2025;L-11;PIEMONTE;PIEMONTE;1345
2023/2024;LM-41;LOMBARDIA;REGIONE ESTERA;1344
2023/2024;LM-41;EMILIA ROMAGNA;VENETO;1343
2023/2024;L-36;SICILIA;SICILIA;1341
2024/2025;LM-6;CAMPANIA;CAMPANIA;1337
2023/2024;L-13;EMILIA ROMAGNA;EMILIA ROMAGNA;1328
2024/2025;L-19;SARDEGNA;SARDEGNA;1326
2023/2024;L-19;MARCHE;MARCHE;1322
2024/2025;L-2;SICILIA;SICILIA;1318
2024/2025;L-11;PUGLIA;PUGLIA;1317
2023/2024;L-11;PUGLIA;PUGLIA;1317
2023/2024;L-35;LOMBARDIA;LOMBARDIA;1316
2024/2025;L-19;MARCHE;MARCHE;1316
2023/2024;L-19;SARDEGNA;SARDEGNA;1304
2023/2024;99999;LAZIO;LAZIO;1302
2024/2025;L-8;MARCHE;MARCHE;1301
