AnnoA;ClasseNOME;ClasseNUMERO;SESSO;Isc_D
2024/2025;Mediazione linguistica;L-12;M;295
2024/2025;Scienze e tecnologie chimiche;L-27;F;93
2024/2025;Linguistica;LM-39;F;423
2024/2025;Farmacia e farmacia industriale;LM-13;M;575
2024/2025;Scienze dell'amministrazione e dell'organizzazione;L-16;M;111
2024/2025;Scienze matematiche;L-35;M;173
2024/2025;Musicologia e beni musicali;LM-45;F;70
2024/2025;Medicina e chirurgia;LM-41;M;3412
2024/2025;Statistica;L-41;M;274
2024/2025;Professioni sanitarie della prevenzione;L/SNT4;F;22
2024/2025;Scienze della mediazione linguistica;L-12;F;5
2024/2025;Antropologia culturale ed etnologia;LM-1;F;45
2024/2025;Specialistiche in medicina veterinaria;LM-42;F;2
2024/2025;Diagnostica per la conservazione dei beni culturali;L-43;M;5
2024/2025;Finanza;LM-16;F;259
2024/2025;Ingegneria dei sistemi edilizi;LM-24;M;404
2024/2025;Scienze e tecnologie forestali ed ambientali;LM-73;M;105
2024/2025;Scienze chimiche;LM-54;F;150
2024/2025;Classe non definita;LM-13;M;4
2024/2025;Ingegneria aerospaziale e astronautica;LM-20;F;89
2024/2025;Architettura e ingegneria edile-architettura (quinquennale);LM-4cu;F;293
2024/2025;Psicologia;LM-51;M;222
2024/2025;Specialistiche in scienze dell'economia;LM-56;M;1
2024/2025;Scienze statistiche;LM-82;F;83
2024/2025;Archeologia;LM-2;F;244
2024/2025;Scienze e tecnologie informatiche;L-31;F;911
2024/2025;Classe non definita;LM-60;F;2
2024/2025;Scienze e tecnologie agrarie e forestali;L-25;M;141
2024/2025;Lingue e culture moderne;L-11;F;1250
2024/2025;Scienze dei servizi giuridici;L-14;F;946
2024/2025;Scienze pedagogiche;LM-85;M;15
2024/2025;Scienze economico-aziendali;LM-77;F;2295
2024/2025;Scienze dell'architettura e dell'ingegneria edile;L-17/L-23;F;1
2024/2025;Scienze dello spettacolo e produzione multimediale;LM-65;F;510
2024/2025;Ingegneria meccanica;LM-33;M;1388
2024/2025;Biotecnologie;L-2;F;454
2024/2025;Informatica;LM-18;F;379
2024/2025;Classe non definita;LM-18;F;2
2024/2025;Scienze, culture e politiche della gastronomia;L/GASTR;M;248
2024/2025;Ingegneria civile;LM-23;M;891
2024/2025;Discipline delle arti figurative, della musica, dello spettacolo e della moda;L-3;M;440
2024/2025;Scienze e tecnologie per l'ambiente e il territorio;LM-75;F;144
2024/2025;Specialistiche in scienze economico-aziendali;LM-77;F;2
2024/2025;Scienze delle attività motorie e sportive;L-22;F;97
2024/2025;Scienze della politica;LM-62;M;218
2024/2025;Classe non definita;LM-14;M;2
2024/2025;Data Science;LM-Data;M;511
2024/2025;Scienze dell'educazione e della formazione;L-19;M;71
2024/2025;Scienze giuridiche;L-14;M;2
2024/2025;Scienze economiche  e sociali della gastronomia;LM/GASTR;M;4
2024/2025;Scienze economiche per l'ambiente e la cultura;LM-76;M;105
2024/2025;Ingegneria dell'informazione;L-8;M;2777
2024/2025;Lettere;L-10;F;572
2024/2025;Architettura del paesaggio;LM-3;M;126
2024/2025;Scienze della formazione primaria;LM-85 bis;M;6
2024/2025;Matematica;LM-40;M;113
2024/2025;Teorie della comunicazione;LM-92;F;352
2024/2025;Scienze e tecniche dello sport;LM-68;M;101
2024/2025;Scienze e tecnologie per l'ambiente e la natura;L-32;M;63
2024/2025;Classe non definita;LM-41;M;32
2024/2025;Scienze infermieristiche e ostetriche;LM/SNT1;M;3
2024/2025;Scienze Giuridiche;LM/SC-GIUR;M;126
2024/2025;Specialistiche in lingua e cultura italiana;LM-14;F;1
2024/2025;Ingegneria dell'automazione;LM-25;M;518
2024/2025;Professioni sanitarie della riabilitazione;L/SNT2;M;60
2024/2025;Ingegneria industriale;L-9;F;880
2024/2025;Scienze della difesa e della sicurezza;L/DS;M;51
2024/2025;Ingegneria elettrica;LM-28;M;387
2024/2025;Scienze e tecnologie alimentari;L-26;M;56
2024/2025;Scienze geofisiche;LM-79;F;48
2024/2025;Scienze della natura;LM-60;F;95
2024/2025;Scienze del Servizio sociale;L-39;M;1
2024/2025;Classe non definita;LM-42;F;6
2024/2025;Ingegneria elettronica;LM-29;M;685
2024/2025;Pianificazione territoriale urbanistica e ambientale;LM-48;F;286
2024/2025;Tecnologie per la conservazione e il restauro dei beni culturali;L-43;F;1
2024/2025;Scienze e tecniche dell'edilizia;L-23;F;314
2024/2025;Scienze e tecnologie agrarie, agroalimentari e forestali;L-25/L-26;M;1
2024/2025;Teorie e metodologie dell'e-learning e della media education;LM-93;F;4
2024/2025;Scienze della nutrizione umana;LM-61;M;45
2024/2025;Scienze zootecniche e tecnologie delle produzioni animali;L-38;F;104
2024/2025;Sociologia;L-40;M;29
2024/2025;Sociologia e ricerca sociale;LM-88;M;21
2024/2025;Organizzazione e gestione dei servizi per lo sport e le attività motorie;LM-47;M;11
2024/2025;Scienze delle professioni sanitarie tecniche;LM/SNT3;F;2
2024/2025;Classe non definita;LM-23;F;2
2024/2025;Architettura e ingegneria edile-architettura;LM-4;F;2032
2024/2025;Scienze sociali per la cooperazione, lo sviluppo e la pace;L-37;F;69
2024/2025;Professioni tecniche industriali e dell’informazione;L-P03;M;17
2024/2025;Professioni sanitarie tecniche;L/SNT3;M;77
2024/2025;Scienze e tecniche delle attività motorie preventive e adattate;LM-67;F;40
2024/2025;Scienze dei beni culturali;L-1;M;1
2024/2025;Scienze dell'economia e della gestione aziendale;L-18;M;4079
2024/2025;Ingegneria dei materiali;LM-53;F;191
2024/2025;Scienze filosofiche;LM-78;F;63
2024/2025;Classe non definita;LMG/01;F;10
2024/2025;Programmazione e gestione dei servizi educativi;LM-50;F;34
2024/2025;Scienze e tecniche psicologiche;L-24;M;340
2024/2025;Servizio sociale e politiche sociali;LM-87;F;63
2024/2025;Scienze e tecnologie alimentari;LM-70;F;290
2024/2025;Progettazione e gestione dei sistemi turistici;LM-49;M;339
2024/2025;Ingegneria energetica e nucleare;LM-30;F;187
2024/2025;Lingue moderne per la comunicazione e la cooperazione internazionale;LM-38;F;273
2024/2025;Scienze della Formazione Primaria - Quadriennale;LM-85 bis;F;1
2024/2025;Professioni tecniche agrarie, alimentari e forestali;L-P02;M;16
2024/2025;Servizio sociale e politiche sociali;LM-87;M;12
2024/2025;Scienze infermieristiche e ostetriche;LM/SNT1;F;32
2024/2025;Archivistica e biblioteconomia;LM-5;M;1
2024/2025;Magistrali in giurisprudenza;LMG/01;F;827
2024/2025;Scienze del turismo;L-15;M;169
2024/2025;Matematica;LM-40;F;67
2024/2025;Classe non definita;LM-52;F;6
2024/2025;Scienze dell'economia;LM-56;M;1028
2024/2025;Scienza e ingegneria dei materiali;LM-53;F;60
2024/2025;Scienze della pianificazione territoriale, urbanistica, paesaggistica e ambientale;L-21;M;41
2024/2025;Scienze delle pubbliche amministrazioni;LM-63;F;73
2024/2025;Scienze Giuridiche;LM/SC-GIUR;F;264
2024/2025;Scienze zootecniche e tecnologie delle produzioni animali;L-38;M;23
2024/2025;Storia dell'arte;LM-89;M;50
2024/2025;Scienze della nutrizione umana;LM-61;F;193
2024/2025;Scienze e tecnologie della chimica industriale;LM-71;M;117
2024/2025;Scienze giuridiche;L-14;F;4
2024/2025;Tecniche e metodi per la societa dell'informazione;LM-91;F;297
2024/2025;Professioni tecniche per l'edilizia e il territorio;L-P01;M;6
2024/2025;Classe non definita;LM-29;M;2
2024/2025;Specialistiche in lingue e letterature moderne euroamericane;LM-37;M;1
2024/2025;Lingue e letterature dell'Africa e dell'Asia;LM-36;M;21
2024/2025;Scienze della difesa e della sicurezza;L/DS;F;7
2024/2025;Scienze della comunicazione;L-20;M;506
2024/2025;Scienze e tecniche delle attività motorie preventive e adattate;LM-67;M;69
2024/2025;Conservazione e restauro dei beni culturali;LMR/02;F;13
2024/2025;Lingue e letterature moderne europee e americane;LM-37;M;152
2024/2025;Scienze e tecnologie alimentari;L-26;F;112
2024/2025;Scienze delle religioni;LM-64;M;8
2024/2025;Scienze dell'educazione degli adulti e della formazione continua;LM-57;M;4
2024/2025;Scienze filosofiche;LM-78;M;71
2024/2025;Specialistiche in odontoiatria e protesi dentaria;LM-46;F;2
2024/2025;Filologia moderna;LM-14;M;97
2024/2025;Scienze e tecnologie agrarie;LM-69;F;174
2024/2025;Scienze geologiche;L-34;M;151
2024/2025;Professioni sanitarie tecniche;L/SNT3;F;177
2024/2025;Scienze sociali per la cooperazione, lo sviluppo e la pace;L-37;M;43
2024/2025;Design;LM-12;F;886
2024/2025;Scienze economiche  e sociali della gastronomia;LM/GASTR;F;5
2024/2025;Specialistiche in farmacia e farmacia industriale;LM-13;M;20
2024/2025;Odontoiatria e protesi dentaria;LM-46;F;387
2024/2025;Scienze della politica;LM-62;F;274
2024/2025;Scienze zootecniche e tecnologie  animali;LM-86;F;44
2024/2025;Ingegneria biomedica;LM-21;F;187
2024/2025;Scienze storiche;LM-84;M;101
2024/2025;Filologia, letterature e storia dell'antichità;LM-15;F;12
2024/2025;Storia;L-42;M;226
2024/2025;Modellistica matematico-fisica per l'ingegneria;LM-44;M;327
2024/2025;Specialistiche in lingue straniere per la comunicazione internazionale;LM-38;F;1
2024/2025;Geografia;L-6;F;9
2024/2025;Scienze per la conservazione dei beni culturali;LM-11;F;66
2024/2025;Scienze e tecnologie fisiche;L-30;F;100
2024/2025;Classe non definita;LM-33;M;4
2024/2025;Ingegneria aerospaziale e astronautica;LM-20;M;293
2024/2025;Scienze chimiche;LM-54;M;113
2024/2025;Ingegneria gestionale;LM-31;M;734
2024/2025;Relazioni internazionali;LM-52;F;783
2024/2025;Architettura e ingegneria edile-architettura (quinquennale);LM-4cu;M;167
2024/2025;Professioni sanitarie della prevenzione;L/SNT4;M;3
2024/2025;Studi europei;LM-90;F;566
2024/2025;Metodologie informatiche per le discipline umanistiche;LM-43;M;46
2024/2025;Scienze e tecnologie geologiche;LM-74;M;94
2024/2025;Lingue e culture moderne;L-11;M;594
2024/2025;Sicurezza informatica;LM-66;F;42
2024/2025;Scienze statistiche attuariali e finanziarie;LM-83;F;9
2024/2025;Ingegneria delle telecomunicazioni;LM-27;F;355
2024/2025;Informazione e sistemi editoriali;LM-19;F;60
2024/2025;Classe non definita;LM-37;F;4
2024/2025;Servizio sociale;L-39;F;129
2024/2025;Ingegneria chimica;LM-22;M;272
2024/2025;Scienze cognitive;LM-55;M;122
2024/2025;Scienze riabilitative delle professioni sanitarie;LM/SNT2;M;2
2024/2025;Specialistiche in medicina e chirurgia;LM-41;F;85
2024/2025;Scienze della difesa e della sicurezza;LM/DS;F;86
2024/2025;Specialistiche in architettura e ingegneria edile;LM-4;F;2
2024/2025;Specialistiche in medicina veterinaria;LM-42;M;1
2024/2025;Ingegneria per l'ambiente e il territorio;LM-35;F;343
2024/2025;Specialistiche in finanza;LM-16;F;1
2024/2025;Ingegneria della sicurezza;LM-26;M;156
2024/2025;Filosofia;L-5;F;162
2024/2025;Medicina veterinaria;LM-42;M;63
2024/2025;Linguistica;LM-39;M;102
2024/2025;Scienze e tecnologie chimiche;L-27;M;54
2024/2025;Disegno industriale;L-4;F;423
2024/2025;Teorie e metodologie dell'e-learning e della media education;LM-93;M;7
2024/2025;Musicologia e beni musicali;LM-45;M;25
2024/2025;Pianificazione territoriale urbanistica e ambientale;LM-48;M;157
2024/2025;Ingegneria dell'informazione;L-8;F;1151
2024/2025;Traduzione specialistica e interpretariato;LM-94;F;54
2024/2025;Relazioni internazionali;LM-52;M;431
2024/2025;Scienze e tecnologie zootecniche e delle produzioni animali;L-38;F;1
2024/2025;Scienze dell'educazione e della formazione;L-19;F;559
2024/2025;Professioni tecniche industriali e dell’informazione;L-P03;F;8
2024/2025;Scienze e tecnologie per l'ambiente e la natura;L-32;F;113
2024/2025;Scienze geografiche;LM-80;F;41
2024/2025;Modellistica matematico-fisica per l'ingegneria;LM-44;F;157
2024/2025;Scienze e tecniche dello sport;LM-68;F;110
2024/2025;Biotecnologie industriali;LM-8;F;186
2024/2025;Scienze statistiche attuariali e finanziarie;LM-83;M;12
2024/2025;Scienze della comunicazione pubblica, d'impresa e pubblicità;LM-59;F;334
2024/2025;Biologia;LM-6;F;632
2024/2025;Ingegneria navale;LM-34;F;4
2024/2025;Scienze e tecnologie della navigazione;L-28;F;11
2024/2025;Scienze riabilitative delle professioni sanitarie;LM/SNT2;F;3
2024/2025;Scienze e tecniche dell'edilizia;L-23;M;359
2024/2025;Ingegneria per l'ambiente e il territorio;LM-35;M;567
2024/2025;Ingegneria elettrica;LM-28;F;109
2024/2025;Beni culturali;L-1;F;432
2024/2025;Scienze della difesa e della sicurezza;LM/DS;M;157
2024/2025;Scienze per la cooperazione allo sviluppo;LM-81;F;615
2024/2025;Ingegneria industriale;L-9;M;2343
2024/2025;Teorie della comunicazione;LM-92;M;73
2024/2025;Ingegneria chimica;LM-22;F;194
2024/2025;Scienze del servizio sociale;L-39;F;4
2024/2025;Scienze economiche;L-33;F;1824
2024/2025;Scienze geofisiche;LM-79;M;93
2024/2025;Scienze della natura;LM-60;M;43
2024/2025;Architettura e ingegneria edile-architettura;LM-4;M;1033
2024/2025;Specialistiche in lingue e letterature moderne euroamericane;LM-37;F;1
2024/2025;Ingegneria energetica e nucleare;LM-30;M;621
2024/2025;Lettere;L-10;M;499
2024/2025;Ingegneria della sicurezza;LM-26;F;99
2024/2025;Scienze e tecnologie fisiche;L-30;M;109
2024/2025;Programmazione e gestione dei servizi educativi;LM-50;M;6
2024/2025;Scienze geologiche;L-34;F;101
2024/2025;Scienze e tecnologie alimentari;LM-70;M;141
2024/2025;Classe non definita;LM-23;M;6
2024/2025;Ingegneria dei materiali;LM-53;M;265
2024/2025;Scienze delle professioni sanitarie tecniche;LM/SNT3;M;1
2024/2025;Sociologia;L-40;F;52
2024/2025;Scienze per la conservazione dei beni culturali;LM-11;M;15
2024/2025;Data Science;LM-Data;F;267
2024/2025;Scienze dei Materiali;LM-Sc.Mat.;F;79
2024/2025;Magistrali in giurisprudenza;LMG/01;M;352
2024/2025;Scienze dell'amministrazione e dell'organizzazione;L-16;F;258
2024/2025;Scienze, culture e politiche della gastronomia;L/GASTR;F;189
2024/2025;Ingegneria civile;LM-23;F;313
2024/2025;Specialistiche in geografia;LM-80;M;1
2024/2025;Ingegneria dei sistemi edilizi;LM-24;F;396
2024/2025;Ingegneria civile e ambientale;L-7;F;392
2024/2025;Scienze matematiche;L-35;F;93
2024/2025;Lingue moderne per la comunicazione e la cooperazione internazionale;LM-38;M;57
2024/2025;Scienze delle attività motorie e sportive;L-22;M;227
2024/2025;Ingegneria informatica;LM-32;F;580
2024/2025;Classe non definita;LM-56;M;2
2024/2025;Biotecnologie;L-2;M;254
2024/2025;Scienze biologiche;L-13;F;367
2024/2025;Statistica;L-41;F;182
2024/2025;Ingegneria delle telecomunicazioni;LM-27;M;674
2024/2025;Fisica;LM-17;M;397
2024/2025;Antropologia culturale ed etnologia;LM-1;M;15
2024/2025;Scienze dell'architettura e dell'ingegneria edile;L-17/L-23;M;3
2024/2025;Scienze cognitive;LM-55;F;260
2024/2025;Scienze pedagogiche;LM-85;F;117
2024/2025;Scienze dell'universo;LM-58;F;38
2024/2025;Classe non definita;LM-52;M;2
2024/2025;Classe non definita;LM-77;F;4
2024/2025;Farmacia e farmacia industriale;LM-13;F;1531
2024/2025;Archeologia;LM-2;M;146
2024/2025;Scienze politiche e delle relazioni internazionali;L-36;F;1816
2024/2025;Scienze dei Materiali;L-Sc.Mat.;F;10
2024/2025;Specialistiche in medicina e chirurgia;LM-41;M;69
2024/2025;Ingegneria biomedica;LM-21;M;174
2024/2025;Biotecnologie mediche, veterinarie e farmaceutiche;LM-9;M;433
2024/2025;Scienze statistiche;LM-82;M;97
2024/2025;Psicologia;LM-51;F;1036
2024/2025;Diagnostica per la conservazione dei beni culturali;L-43;F;19
2024/2025;Discipline delle arti figurative, della musica, dello spettacolo e della moda;L-3;F;564
2024/2025;Conservazione e restauro dei beni culturali;LMR/02;M;1
2024/2025;Classe non definita;LM-17;M;2
2024/2025;Scienze delle pubbliche amministrazioni;LM-63;M;39
2024/2025;Finanza;LM-16;M;387
2024/2025;Scienze delle professioni sanitarie della prevenzione;LM/SNT4;F;1
2024/2025;Scienze dello spettacolo e produzione multimediale;LM-65;M;110
2024/2025;Scienze economico-aziendali;LM-77;M;1560
2024/2025;Biotecnologie agrarie;LM-7;M;67
2024/2025;Scienze dell'architettura;L-17;F;749
2024/2025;Mediazione linguistica;L-12;F;640
2024/2025;Scienze e tecnologie della navigazione;LM-72;M;1
2024/2025;Scienze e tecnologie informatiche;L-31;M;1981
2024/2025;Specialistiche in ingegneria delle telecomunicazioni;LM-27;M;1
2024/2025;Scienze dei servizi giuridici;L-14;M;593
2024/2025;Professioni sanitarie, infermieristiche e professione sanitaria ostetrica;L/SNT1;F;1842
2023/2024;Musicologia e beni musicali;LM-45;M;18
2023/2024;Lingue e letterature dell'Africa e dell'Asia;LM-36;M;20
2023/2024;Classe non definita;LMG/01;F;8
2023/2024;Conservazione e restauro dei beni culturali;LMR/02;M;3
2023/2024;Lingue e letterature moderne europee e americane;LM-37;F;632
2023/2024;Specialistiche in ingegneria informatica;LM-32;M;1
2023/2024;Beni culturali;L-1;F;435
2023/2024;Classe non definita;LM-23;F;2
2023/2024;Progettazione e gestione dei sistemi turistici;LM-49;M;338
2023/2024;Scienze dell'economia;LM-56;M;925
2023/2024;Filologia, letterature e storia dell'antichità;LM-15;M;10
2023/2024;Farmacia e farmacia industriale;LM-13;F;1446
2023/2024;Magistrali in giurisprudenza;LMG/01;M;338
2023/2024;Scienze delle pubbliche amministrazioni;LM-63;F;67
2023/2024;Scienze giuridiche;L-14;F;6
2023/2024;Ingegneria navale;LM-34;M;27
2023/2024;Scienze e tecnologie forestali ed ambientali;LM-73;M;98
2023/2024;Traduzione specialistica e interpretariato;LM-94;F;66
2023/2024;Data Science;LM-Data;F;134
2023/2024;Programmazione e gestione dei servizi educativi;LM-50;F;33
2023/2024;Professioni tecniche industriali e dell’informazione;L-P03;M;10
2023/2024;Tecniche e metodi per la societa dell'informazione;LM-91;M;441
2023/2024;Specialistiche in giurisprudenza;LM/SC-GIUR;F;2
2023/2024;Biotecnologie industriali;LM-8;F;168
2023/2024;Professioni sanitarie tecniche;L/SNT3;M;67
2023/2024;Scienze e tecnologie per l'ambiente e il territorio;LM-75;F;159
2023/2024;Scienze economiche per l'ambiente e la cultura;LM-76;F;199
2023/2024;Ingegneria biomedica;LM-21;M;162
2023/2024;Ingegneria della sicurezza;LM-26;M;109
2023/2024;Design;LM-12;F;825
2023/2024;Scienze e tecnologie agrarie e forestali;L-25;M;131
2023/2024;Scienze e tecnologie informatiche;L-31;M;1487
2023/2024;Classe non definita;LM-42;F;6
2023/2024;Modellistica matematico-fisica per l'ingegneria;LM-44;M;264
2023/2024;Classe non definita;LM-77;F;4
2023/2024;Specialistiche in architettura e ingegneria edile;LM-4;M;10
2023/2024;Specialistiche in odontoiatria e protesi dentaria;LM-46;M;3
2023/2024;Professioni sanitarie, infermieristiche e professione sanitaria ostetrica;L/SNT1;F;1549
2023/2024;Scienze della natura;LM-60;F;72
2023/2024;Ingegneria informatica;LM-32;M;1073
2023/2024;Scienze del servizio sociale;L-39;M;1
2023/2024;Filologia moderna;LM-14;M;93
2023/2024;Statistica;L-41;M;256
2023/2024;Scienze dell'amministrazione e dell'organizzazione;L-16;M;82
2023/2024;Linguistica;LM-39;M;88
2023/2024;Ingegneria aerospaziale e astronautica;LM-20;F;70
2023/2024;Scienze e tecnologie chimiche;L-27;M;48
2023/2024;Scienze e tecniche delle attività motorie preventive e adattate;LM-67;M;27
2023/2024;Ingegneria meccanica;LM-33;M;1133
2023/2024;Scienze storiche;LM-84;F;166
2023/2024;Scienze dell'educazione degli adulti e della formazione continua;LM-57;F;24
2023/2024;Scienze e tecnologie alimentari;LM-70;F;258
2023/2024;Scienze della formazione primaria;LM-85 bis;M;7
2023/2024;Scienze geologiche;L-34;F;57
2023/2024;Scienze dei servizi giuridici;L-14;M;481
2023/2024;Scienze dello spettacolo e produzione multimediale;LM-65;F;455
2023/2024;Scienze zootecniche e tecnologie delle produzioni animali;L-38;F;90
2023/2024;Medicina veterinaria;LM-42;M;64
2023/2024;Classe non definita;LM-51;F;2
2023/2024;Scienze per la cooperazione allo sviluppo;LM-81;M;223
2023/2024;Scienze dell'educazione e della formazione;L-19;F;545
2023/2024;Discipline delle arti figurative, della musica, dello spettacolo e della moda;L-3;M;376
2023/2024;Storia dell'arte;LM-89;M;35
2023/2024;Sociologia e ricerca sociale;LM-88;M;20
2023/2024;Ingegneria civile e ambientale;L-7;M;541
2023/2024;Scienze dell'universo;LM-58;M;30
2023/2024;Scienze infermieristiche e ostetriche;LM/SNT1;F;29
2023/2024;Scienze della comunicazione pubblica, d'impresa e pubblicità;LM-59;M;93
2023/2024;Organizzazione e gestione dei servizi per lo sport e le attività motorie;LM-47;M;13
2023/2024;Specialistiche in ingegneria delle telecomunicazioni;LM-27;M;1
2023/2024;Mediazione linguistica;L-12;F;620
2023/2024;Scienze geografiche;LM-80;F;33
2023/2024;Scienze delle professioni sanitarie tecniche;LM/SNT3;M;2
2023/2024;Scienze e tecnologie per l'ambiente e la natura;L-32;M;61
2023/2024;Scienze statistiche attuariali e finanziarie;LM-83;F;10
2023/2024;Scienze della pianificazione territoriale, urbanistica, paesaggistica e ambientale;L-21;F;53
2023/2024;Archeologia;LM-2;M;126
2023/2024;Odontoiatria e protesi dentaria;LM-46;F;348
2023/2024;Lettere;L-10;M;248
2023/2024;Specialistiche in finanza;LM-16;F;1
2023/2024;Scienze e tecniche dell'edilizia;L-23;F;212
2023/2024;Classe non definita;LM-4cu;F;6
2023/2024;Classe non definita;LM-14;M;2
2023/2024;Scienze della politica;LM-62;M;201
2023/2024;Classe non definita;LM-37;F;6
2023/2024;Storia;L-42;M;195
2023/2024;Scienze e tecnologie della navigazione;L-28;M;37
2023/2024;Classe non definita;LM-33;M;4
2023/2024;Teorie e metodologie dell'e-learning e della media education;LM-93;M;2
2023/2024;Scienze biologiche;L-13;M;111
2023/2024;Scienze cognitive;LM-55;F;194
2023/2024;Scienze dei servizi giuridici;L-14;F;753
2023/2024;Scienze delle religioni;LM-64;M;4
2023/2024;Studi europei;LM-90;F;565
2023/2024;Classe non definita;LM-14;F;2
2023/2024;Relazioni internazionali;LM-52;M;396
2023/2024;Architettura e ingegneria edile-architettura (quinquennale);LM-4cu;M;157
