AnnoA;Continente;CittadinanzaNOME;Isc_D
2023/2024;Africa;Botswana;8
2023/2024;Africa;Burkina Faso;36
2023/2024;Africa;Burundi;53
2023/2024;Africa;Camerun;2384
2023/2024;Africa;Capo Verde;6
2023/2024;Africa;Ciad;14
2023/2024;Africa;Congo;546
2023/2024;Africa;Costa d'Avorio;132
2023/2024;Africa;Egitto;1899
2023/2024;Africa;Eritrea;55
2023/2024;Africa;Eswatini;4
2023/2024;Africa;Etiopia;1587
2023/2024;Africa;Gabon;192
2023/2024;Africa;Gambia;216
2023/2024;Africa;Ghana;222
2023/2024;Africa;Gibuti;12
2023/2024;Africa;Guinea;23
2023/2024;Africa;Guinea equatoriale;6
2023/2024;Africa;Guinea-Bissau;7
2023/2024;Africa;Kenya;174
2023/2024;Africa;Lesotho;4
2023/2024;Africa;Liberia;14
2023/2024;Africa;Libia;221
2023/2024;Africa;Madagascar;204
2023/2024;Africa;Malawi;10
2023/2024;Africa;Mali;24
2023/2024;Africa;Marocco;2516
2023/2024;Africa;Mauritania;4
2023/2024;Africa;Maurizio;20
2023/2024;Africa;Mozambico;45
2023/2024;Africa;Namibia;4
2023/2024;Africa;Niger;9
2023/2024;Africa;Nigeria;526
2023/2024;Africa;Repubblica Centrafricana;10
2023/2024;Africa;Repubblica Democratica del Congo;200
2023/2024;Africa;Ruanda;188
2023/2024;Africa;Senegal;216
2023/2024;Africa;Seychelles;1
2023/2024;Africa;Sierra Leone;6
2023/2024;Africa;Somalia;68
2023/2024;Africa;Sud Sudan;19
2023/2024;Africa;Sudafrica;116
2023/2024;Africa;Sudan;203
2023/2024;Africa;Tanzania;35
2023/2024;Africa;Togo;119
2023/2024;Africa;Tunisia;2628
2023/2024;Africa;Uganda;154
2023/2024;Africa;Zambia;27
2023/2024;Africa;Zimbabwe;98
2023/2024;America;Antigua e Barbuda;1
2023/2024;America;Argentina;657
2023/2024;America;Aruba;1
2023/2024;America;Bahamas;1
2023/2024;America;Bolivia;180
2023/2024;America;Brasile;1861
2023/2024;America;Canada;451
2023/2024;America;Cile;285
2023/2024;America;Colombia;928
2023/2024;America;Costa Rica;68
2023/2024;America;Cuba;320
2023/2024;America;Curaçao;1
2023/2024;America;Dominica;1
2023/2024;America;Ecuador;830
2023/2024;America;El Salvador;77
2023/2024;America;Giamaica;5
2023/2024;America;Guatemala;53
2023/2024;America;Guyana;1
2023/2024;America;Haiti;138
2023/2024;America;Honduras;58
2023/2024;America;Messico;530
2023/2024;America;Nicaragua;20
2023/2024;America;Panama;53
2023/2024;America;Paraguay;86
2023/2024;America;Perù;820
2023/2024;America;Portorico;8
2023/2024;America;Repubblica Dominicana;144
2023/2024;America;Stati Uniti d'America;1378
2023/2024;America;Suriname;1
2023/2024;America;Trinidad e Tobago;10
2023/2024;America;Uruguay;46
2023/2024;America;Venezuela;413
2023/2024;Asia;;1
2023/2024;Asia;Afghanistan;569
2023/2024;Asia;Arabia Saudita;211
2023/2024;Asia;Armenia;115
2023/2024;Asia;Azerbaigian;522
2023/2024;Asia;Bahrein;18
2023/2024;Asia;Bangladesh;828
2023/2024;Asia;Bhutan;1
2023/2024;Asia;Brunei Darussalam;2
2023/2024;Asia;Cambogia;5
2023/2024;Asia;Cina;6128
2023/2024;Asia;Corea del Nord;1
2023/2024;Asia;Corea del Sud;137
2023/2024;Asia;Emirati Arabi Uniti;292
2023/2024;Asia;Filippine;187
2023/2024;Asia;Georgia;346
2023/2024;Asia;Giappone;190
2023/2024;Asia;Giordania;145
2023/2024;Asia;Hong Kong;43
2023/2024;Asia;India;4185
2023/2024;Asia;Indonesia;303
2023/2024;Asia;Iran;13079
2023/2024;Asia;Iraq;118
2023/2024;Asia;Israele;1687
2023/2024;Asia;Kazakhstan;2454
2023/2024;Asia;Kirghizistan;891
2023/2024;Asia;Kuwait;54
2023/2024;Asia;Laos;4
2023/2024;Asia;Libano;1644
2023/2024;Asia;Macao;1
2023/2024;Asia;Malaysia;41
2023/2024;Asia;Maldive;1
2023/2024;Asia;Mongolia;265
2023/2024;Asia;Myanmar/Birmania;69
2023/2024;Asia;Nepal;133
2023/2024;Asia;Oman;35
2023/2024;Asia;Pakistan;2534
2023/2024;Asia;Palestina;98
2023/2024;Asia;Qatar;47
2023/2024;Asia;Singapore;54
2023/2024;Asia;Siria;324
2023/2024;Asia;Sri Lanka;345
2023/2024;Asia;Tagikistan;44
2023/2024;Asia;Taiwan;71
2023/2024;Asia;Thailandia;68
2023/2024;Asia;Timor Leste;4
2023/2024;Asia;Turkmenistan;20
2023/2024;Asia;Uzbekistan;795
2023/2024;Asia;Vietnam;455
2023/2024;Asia;Yemen;26
2023/2024;Europa;Albania;2996
2023/2024;Europa;Andorra;1
2023/2024;Europa;Austria;234
2023/2024;Europa;Belgio;478
2023/2024;Europa;Bielorussia;400
2023/2024;Europa;Bosnia-Erzegovina;137
2023/2024;Europa;Bulgaria;503
2023/2024;Europa;Cecoslovacchia;1
2023/2024;Europa;Cipro;227
2023/2024;Europa;Croazia;500
2023/2024;Europa;Danimarca;67
2023/2024;Europa;Estonia;37
2023/2024;Europa;Federazione russa;3152
2023/2024;Europa;Finlandia;105
2023/2024;Europa;Francia;2234
2023/2024;Europa;Germania;1553
2023/2024;Europa;Grecia;1679
2023/2024;Europa;Irlanda;230
2023/2024;Europa;Islanda;13
2023/2024;Europa;Jogoslavia;19
2023/2024;Europa;Kosovo;108
2023/2024;Europa;Lettonia;67
2023/2024;Europa;Lituania;105
2023/2024;Europa;Lussemburgo;138
2023/2024;Europa;Macedonia del Nord;175
2023/2024;Europa;Malta;35
2023/2024;Europa;Moldova;493
2023/2024;Europa;Monaco;33
2023/2024;Europa;Montenegro;153
2023/2024;Europa;Norvegia;137
2023/2024;Europa;Paesi Bassi;298
2023/2024;Europa;Polonia;816
2023/2024;Europa;Portogallo;235
2023/2024;Europa;Regno Unito;1113
2023/2024;Europa;Repubblica ceca;104
2023/2024;Europa;REPUBBLICA DEMOCRATICA TEDESCA;2
2023/2024;Europa;REPUBBLICA FEDERALE TEDESCA;9
2023/2024;Europa;Romania;1471
2023/2024;Europa;San Marino;469
2023/2024;Europa;Serbia;565
2023/2024;Europa;Serbia e Montenegro;7
2023/2024;Europa;Slovacchia;135
2023/2024;Europa;Slovenia;154
2023/2024;Europa;Spagna;904
2023/2024;Europa;Stato della Città del Vaticano;6
2023/2024;Europa;Svezia;120
2023/2024;Europa;Svizzera;1364
2023/2024;Europa;Turchia;6407
2023/2024;Europa;Ucraina;1052
2023/2024;Europa;Ungheria;274
2023/2024;Europa;Unione Sovietica;44
2023/2024;non disponibile;non disponibile;267
2023/2024;Oceania;Australia;100
2023/2024;Oceania;Figi;1
2023/2024;Oceania;Nuova Zelanda;23
2023/2024;Oceania;Polinesia francese;3
2023/2024;Oceania;Vanuatu;1
