AnnoA;AteneoCOD;AteneoNOME;Isc_D
2023/2024;Napoli Pegaso - telematica;6307;424
2023/2024;Napoli Vanvitelli;6306;804
2023/2024;Novedrate e-Campus - telematica;1301;850
2023/2024;Padova;2801;6060
2023/2024;Palermo;8201;646
2023/2024;Parma;3401;1668
2023/2024;Pavia;1801;2920
2023/2024;Perugia;5401;1237
2023/2024;Perugia Stranieri;5403;465
2023/2024;Piemonte Orientale;201;920
2023/2024;Pisa;5001;1883
2023/2024;Reggio Calabria;8001;28
2023/2024;Reggio Calabria - Dante Alighieri;8003;58
2023/2024;Roma  Mercatorum - telematica;5814;337
2023/2024;Roma Biomedico;5808;85
2023/2024;Roma Europea;5812;53
2023/2024;Roma Foro Italico;5806;40
2023/2024;Roma La Sapienza;5801;7287
2023/2024;Roma Link Campus;5817;103
2023/2024;Roma Luiss;5805;1179
2023/2024;Roma LUMSA;5803;349
2023/2024;Roma Marconi - telematica;5810;319
2023/2024;Roma Saint Camillus;5818;612
2023/2024;Roma San Raffaele - telematica;5816;82
2023/2024;Roma Tor Vergata;5802;2647
2023/2024;Roma Tre;5807;912
2023/2024;Roma UNICUSANO - telematica;5815;267
2023/2024;Roma UNINETTUNO - telematica;5813;705
2023/2024;Roma UNINT;5809;39
2023/2024;Roma UNITELMA - telematica;5811;50
2023/2024;Rozzano (MI) Humanitas University;1510;529
2023/2024;Salento;7501;341
2023/2024;Salerno;6501;219
2023/2024;Sannio;6201;34
2023/2024;Sassari;9001;257
2023/2024;Siena;5201;1271
2023/2024;Siena Stranieri;5202;154
2023/2024;Teramo;6701;118
2023/2024;Torino;101;3605
2023/2024;Torino Politecnico;102;6504
2023/2024;Torrevecchia Teatina Leonardo da Vinci - telematica;6902;24
2023/2024;Trento;2201;759
2023/2024;Trieste;3201;1126
2023/2024;Tuscia;5601;517
2023/2024;Udine;3001;485
2023/2024;Urbino;4101;419
2023/2024;Venezia Iuav;2702;375
2023/2024;Verona;2301;840
