AnnoA;AteneoNOME;AteneoCOD;SESSO;Isc
2024/2025;L'Aquila;6601;F;8972
2024/2025;L'Aquila;6601;M;8052
2024/2025;Macerata;4301;F;6803
2024/2025;Macerata;4301;M;2378
2024/2025;Marche;4201;F;7725
2024/2025;Marche;4201;M;8516
2024/2025;Messina;8301;F;15978
2024/2025;Messina;8301;M;9678
2024/2025;Milano;1501;F;33874
2024/2025;Milano;1501;M;24142
2024/2025;Milano Bicocca;1509;F;22222
2024/2025;Milano Bicocca;1509;M;13993
2024/2025;Milano Bocconi;1503;F;6028
2024/2025;Milano Bocconi;1503;M;7972
2024/2025;Milano Cattolica;1504;F;27783
2024/2025;Milano Cattolica;1504;M;14084
2024/2025;Milano IULM;1505;F;6096
2024/2025;Milano IULM;1505;M;1737
2024/2025;Milano Politecnico;1502;F;17488
2024/2025;Milano Politecnico;1502;M;30636
2024/2025;Milano San Raffaele;1508;F;4038
2024/2025;Milano San Raffaele;1508;M;1803
2024/2025;Modena e Reggio Emilia;3601;F;13920
2024/2025;Modena e Reggio Emilia;3601;M;11931
2024/2025;Molise;7001;F;4261
2024/2025;Molise;7001;M;2628
2024/2025;Napoli Benincasa;6304;F;7857
2024/2025;Napoli Benincasa;6304;M;1232
2024/2025;Napoli Federico II;6301;F;40356
2024/2025;Napoli Federico II;6301;M;31551
2024/2025;Napoli L'Orientale;6303;F;6834
2024/2025;Napoli L'Orientale;6303;M;1674
2024/2025;Napoli Parthenope;6302;F;6286
2024/2025;Napoli Parthenope;6302;M;8559
2024/2025;Napoli Pegaso - telematica;6307;F;57797
2024/2025;Napoli Pegaso - telematica;6307;M;50907
2024/2025;Napoli Vanvitelli;6306;F;14094
2024/2025;Napoli Vanvitelli;6306;M;9423
2024/2025;Novedrate e-Campus - telematica;1301;F;27218
2024/2025;Novedrate e-Campus - telematica;1301;M;22638
2024/2025;Padova;2801;F;40156
2024/2025;Padova;2801;M;32387
2024/2025;Palermo;8201;F;26498
2024/2025;Palermo;8201;M;17941
2024/2025;Parma;3401;F;18696
2024/2025;Parma;3401;M;12146
2024/2025;Pavia;1801;F;15080
2024/2025;Pavia;1801;M;11435
2024/2025;Perugia;5401;F;17932
2024/2025;Perugia;5401;M;11594
2024/2025;Perugia Stranieri;5403;F;738
2024/2025;Perugia Stranieri;5403;M;360
2024/2025;Piemonte Orientale;201;F;8584
2024/2025;Piemonte Orientale;201;M;5651
2024/2025;Pisa;5001;F;23072
2024/2025;Pisa;5001;M;21637
2024/2025;Reggio Calabria;8001;F;3061
2024/2025;Reggio Calabria;8001;M;1927
2024/2025;Reggio Calabria - Dante Alighieri;8003;F;190
2024/2025;Reggio Calabria - Dante Alighieri;8003;M;29
2024/2025;Roma  Mercatorum - telematica;5814;F;29460
2024/2025;Roma  Mercatorum - telematica;5814;M;35281
2024/2025;Roma Biomedico;5808;F;1982
2024/2025;Roma Biomedico;5808;M;1268
2024/2025;Roma Europea;5812;F;2014
2024/2025;Roma Europea;5812;M;552
2024/2025;Roma Foro Italico;5806;F;643
2024/2025;Roma Foro Italico;5806;M;1802
2024/2025;Roma La Sapienza;5801;F;65445
2024/2025;Roma La Sapienza;5801;M;46555
2024/2025;Roma Link Campus;5817;F;804
2024/2025;Roma Link Campus;5817;M;644
2024/2025;Roma Luiss;5805;F;5751
2024/2025;Roma Luiss;5805;M;6010
2024/2025;Roma LUMSA;5803;F;6484
2024/2025;Roma LUMSA;5803;M;2543
2024/2025;Roma Marconi - telematica;5810;F;15075
2024/2025;Roma Marconi - telematica;5810;M;8458
2024/2025;Roma Saint Camillus;5818;F;2224
2024/2025;Roma Saint Camillus;5818;M;1280
2024/2025;Roma San Raffaele - telematica;5816;F;8882
2024/2025;Roma San Raffaele - telematica;5816;M;8237
2024/2025;Roma Tor Vergata;5802;F;18010
2024/2025;Roma Tor Vergata;5802;M;13171
2024/2025;Roma Tre;5807;F;21402
2024/2025;Roma Tre;5807;M;13707
2024/2025;Roma UNICUSANO - telematica;5815;F;10226
2024/2025;Roma UNICUSANO - telematica;5815;M;8357
2024/2025;Roma UNINETTUNO - telematica;5813;F;8054
2024/2025;Roma UNINETTUNO - telematica;5813;M;9381
2024/2025;Roma UNINT;5809;F;990
2024/2025;Roma UNINT;5809;M;202
2024/2025;Roma UNITELMA - telematica;5811;F;2285
2024/2025;Roma UNITELMA - telematica;5811;M;1816
2024/2025;Rozzano (MI) Humanitas University;1510;F;1393
2024/2025;Rozzano (MI) Humanitas University;1510;M;802
2024/2025;Salento;7501;F;12449
2024/2025;Salento;7501;M;7330
2024/2025;Salerno;6501;F;18211
2024/2025;Salerno;6501;M;14301
2024/2025;Sannio;6201;9;1
2024/2025;Sannio;6201;F;1809
2024/2025;Sannio;6201;M;1958
2024/2025;Sassari;9001;F;7625
2024/2025;Sassari;9001;M;4548
2024/2025;Siena;5201;F;9547
2024/2025;Siena;5201;M;5286
2024/2025;Siena Stranieri;5202;F;1273
2024/2025;Siena Stranieri;5202;M;328
2024/2025;Teramo;6701;F;2880
2024/2025;Teramo;6701;M;1852
2024/2025;Torino;101;F;49049
2024/2025;Torino;101;M;30073
2024/2025;Torino Politecnico;102;F;11384
2024/2025;Torino Politecnico;102;M;24221
2024/2025;Torrevecchia Teatina Leonardo da Vinci - telematica;6902;F;403
2024/2025;Torrevecchia Teatina Leonardo da Vinci - telematica;6902;M;143
2024/2025;Trento;2201;F;8836
2024/2025;Trento;2201;M;8087
2024/2025;Trieste;3201;F;10464
2024/2025;Trieste;3201;M;7070
2024/2025;Tuscia;5601;F;3859
2024/2025;Tuscia;5601;M;3865
2024/2025;Udine;3001;F;8101
2024/2025;Udine;3001;M;6606
2024/2025;Urbino;4101;F;8720
2024/2025;Urbino;4101;M;4678
2024/2025;Venezia Iuav;2702;F;2912
2024/2025;Venezia Iuav;2702;M;1909
2024/2025;Verona;2301;F;16919
2024/2025;Verona;2301;M;9403
2023/2024;Aosta;701;F;682
2023/2024;Aosta;701;M;270
2023/2024;Bari;7201;F;25432
2023/2024;Bari;7201;M;15102
2023/2024;Bari Politecnico;7202;F;3094
2023/2024;Bari Politecnico;7202;M;7036
2023/2024;Basilicata;7601;F;3522
2023/2024;Basilicata;7601;M;2093
2023/2024;Benevento Giustino Fortunato - telematica;6202;F;1310
2023/2024;Benevento Giustino Fortunato - telematica;6202;M;867
2023/2024;Bergamo;1601;F;11446
2023/2024;Bergamo;1601;M;7462
2023/2024;Bologna;3701;F;48208
2023/2024;Bologna;3701;M;36621
2023/2024;Bolzano;2101;F;2295
2023/2024;Bolzano;2101;M;1138
2023/2024;Bra Scienze Gastronomiche;401;F;138
2023/2024;Bra Scienze Gastronomiche;401;M;155
2023/2024;Brescia;1701;F;7572
2023/2024;Brescia;1701;M;8215
2023/2024;Ca' Foscari Venezia;2701;F;12246
2023/2024;Ca' Foscari Venezia;2701;M;7146
2023/2024;Cagliari;9201;F;14915
2023/2024;Cagliari;9201;M;9930
2023/2024;Calabria;7801;F;13519
2023/2024;Calabria;7801;M;9706
2023/2024;Camerino;4302;F;2872
2023/2024;Camerino;4302;M;2993
2023/2024;Casamassima – LUM G. Degennaro;7203;F;991
2023/2024;Casamassima – LUM G. Degennaro;7203;M;1018
2023/2024;Cassino;6001;F;3919
2023/2024;Cassino;6001;M;3459
2023/2024;Castellanza LIUC;1201;F;863
2023/2024;Castellanza LIUC;1201;M;1663
2023/2024;Catania;8701;F;22420
2023/2024;Catania;8701;M;16465
2023/2024;Catanzaro;7901;F;7206
2023/2024;Catanzaro;7901;M;4363
2023/2024;Chieti e Pescara;6901;F;13693
2023/2024;Chieti e Pescara;6901;M;7312
2023/2024;Enna KORE;8601;F;3725
2023/2024;Enna KORE;8601;M;1647
2023/2024;Ferrara;3801;F;16183
2023/2024;Ferrara;3801;M;10554
2023/2024;Firenze;4801;F;32471
2023/2024;Firenze;4801;M;22669
2023/2024;Firenze IUL - telematica;4804;F;1235
2023/2024;Firenze IUL - telematica;4804;M;536
2023/2024;Foggia;7101;F;8512
2023/2024;Foggia;7101;M;4579
2023/2024;Genova;1001;F;17973
2023/2024;Genova;1001;M;13944
2023/2024;Insubria;1202;F;6161
2023/2024;Insubria;1202;M;5072
2023/2024;L'Aquila;6601;F;8691
2023/2024;L'Aquila;6601;M;7926
2023/2024;Macerata;4301;F;6697
2023/2024;Macerata;4301;M;2420
2023/2024;Marche;4201;F;7279
2023/2024;Marche;4201;M;8331
2023/2024;Messina;8301;F;15714
2023/2024;Messina;8301;M;9443
2023/2024;Milano;1501;F;34332
2023/2024;Milano;1501;M;24058
2023/2024;Milano Bicocca;1509;F;22236
2023/2024;Milano Bicocca;1509;M;13991
2023/2024;Milano Bocconi;1503;F;5875
2023/2024;Milano Bocconi;1503;M;7946
2023/2024;Milano Cattolica;1504;F;28138
2023/2024;Milano Cattolica;1504;M;14085
2023/2024;Milano IULM;1505;F;6138
2023/2024;Milano IULM;1505;M;1704
2023/2024;Milano Politecnico;1502;F;17035
2023/2024;Milano Politecnico;1502;M;30896
2023/2024;Milano San Raffaele;1508;F;3503
2023/2024;Milano San Raffaele;1508;M;1652
2023/2024;Modena e Reggio Emilia;3601;F;13701
2023/2024;Modena e Reggio Emilia;3601;M;11879
2023/2024;Molise;7001;F;4193
2023/2024;Molise;7001;M;2570
2023/2024;Napoli Benincasa;6304;F;7622
2023/2024;Napoli Benincasa;6304;M;1262
2023/2024;Napoli Federico II;6301;F;40914
2023/2024;Napoli Federico II;6301;M;31679
2023/2024;Napoli L'Orientale;6303;F;7449
2023/2024;Napoli L'Orientale;6303;M;1867
2023/2024;Napoli Parthenope;6302;F;5676
2023/2024;Napoli Parthenope;6302;M;7806
2023/2024;Napoli Pegaso - telematica;6307;F;51305
2023/2024;Napoli Pegaso - telematica;6307;M;47175
2023/2024;Napoli Vanvitelli;6306;F;13781
2023/2024;Napoli Vanvitelli;6306;M;9276
2023/2024;Novedrate e-Campus - telematica;1301;F;30956
2023/2024;Novedrate e-Campus - telematica;1301;M;25208
2023/2024;Padova;2801;F;39210
2023/2024;Padova;2801;M;31799
2023/2024;Palermo;8201;F;25957
2023/2024;Palermo;8201;M;17622
2023/2024;Parma;3401;F;17919
2023/2024;Parma;3401;M;12347
2023/2024;Pavia;1801;F;14766
2023/2024;Pavia;1801;M;11321
2023/2024;Perugia;5401;F;17188
2023/2024;Perugia;5401;M;11045
2023/2024;Perugia Stranieri;5403;F;680
2023/2024;Perugia Stranieri;5403;M;322
2023/2024;Piemonte Orientale;201;F;8414
2023/2024;Piemonte Orientale;201;M;5466
2023/2024;Pisa;5001;F;22922
2023/2024;Pisa;5001;M;21289
2023/2024;Reggio Calabria;8001;F;2975
2023/2024;Reggio Calabria;8001;M;1771
2023/2024;Reggio Calabria - Dante Alighieri;8003;F;297
2023/2024;Reggio Calabria - Dante Alighieri;8003;M;38
2023/2024;Roma  Mercatorum - telematica;5814;F;25109
2023/2024;Roma  Mercatorum - telematica;5814;M;30710
2023/2024;Roma Biomedico;5808;F;1800
2023/2024;Roma Biomedico;5808;M;1130
2023/2024;Roma Europea;5812;F;1894
2023/2024;Roma Europea;5812;M;512
2023/2024;Roma Foro Italico;5806;F;628
2023/2024;Roma Foro Italico;5806;M;1751
2023/2024;Roma La Sapienza;5801;F;65997
2023/2024;Roma La Sapienza;5801;M;46875
2023/2024;Roma Link Campus;5817;F;346
2023/2024;Roma Link Campus;5817;M;503
2023/2024;Roma Luiss;5805;F;5402
2023/2024;Roma Luiss;5805;M;5674
2023/2024;Roma LUMSA;5803;F;6306
2023/2024;Roma LUMSA;5803;M;2604
2023/2024;Roma Marconi - telematica;5810;F;11916
2023/2024;Roma Marconi - telematica;5810;M;6953
2023/2024;Roma Saint Camillus;5818;F;1989
2023/2024;Roma Saint Camillus;5818;M;1124
2023/2024;Roma San Raffaele - telematica;5816;F;6546
2023/2024;Roma San Raffaele - telematica;5816;M;5971
2023/2024;Roma Tor Vergata;5802;F;17412
2023/2024;Roma Tor Vergata;5802;M;13201
2023/2024;Roma Tre;5807;F;20579
2023/2024;Roma Tre;5807;M;13171
2023/2024;Roma UNICUSANO - telematica;5815;F;10398
2023/2024;Roma UNICUSANO - telematica;5815;M;9112
2023/2024;Roma UNINETTUNO - telematica;5813;F;7738
2023/2024;Roma UNINETTUNO - telematica;5813;M;9402
2023/2024;Roma UNINT;5809;F;1115
2023/2024;Roma UNINT;5809;M;238
2023/2024;Roma UNITELMA - telematica;5811;F;2107
2023/2024;Roma UNITELMA - telematica;5811;M;1565
2023/2024;Rozzano (MI) Humanitas University;1510;F;1266
2023/2024;Rozzano (MI) Humanitas University;1510;M;753
2023/2024;Salento;7501;F;12081
2023/2024;Salento;7501;M;7135
2023/2024;Salerno;6501;F;18421
2023/2024;Salerno;6501;M;14554
2023/2024;Sannio;6201;F;1741
2023/2024;Sannio;6201;M;1835
2023/2024;Sassari;9001;F;7658
2023/2024;Sassari;9001;M;4550
2023/2024;Siena;5201;F;9572
2023/2024;Siena;5201;M;5339
2023/2024;Siena Stranieri;5202;F;1333
2023/2024;Siena Stranieri;5202;M;291
2023/2024;Teramo;6701;F;2964
2023/2024;Teramo;6701;M;1956
2023/2024;Torino;101;F;47915
2023/2024;Torino;101;M;29289
2023/2024;Torino Politecnico;102;F;10964
2023/2024;Torino Politecnico;102;M;23771
2023/2024;Torrevecchia Teatina Leonardo da Vinci - telematica;6902;F;235
2023/2024;Torrevecchia Teatina Leonardo da Vinci - telematica;6902;M;111
2023/2024;Trento;2201;F;8487
2023/2024;Trento;2201;M;7944
2023/2024;Trieste;3201;F;10075
2023/2024;Trieste;3201;M;6990
2023/2024;Tuscia;5601;F;3972
2023/2024;Tuscia;5601;M;3741
2023/2024;Udine;3001;F;8001
2023/2024;Udine;3001;M;6703
2023/2024;Urbino;4101;F;8912
2023/2024;Urbino;4101;M;4688
2023/2024;Venezia Iuav;2702;F;2777
2023/2024;Venezia Iuav;2702;M;1889
2023/2024;Verona;2301;F;16418
2023/2024;Verona;2301;M;8988
