AnnoA;ClasseNUMERO;ClasseNOME;SESSO;Isc
2023/2024;18/S;Specialistiche in filosofia teoretica, morale, politica ed estetica;F;5
2023/2024;18/S;Specialistiche in filosofia teoretica, morale, politica ed estetica;M;4
2023/2024;18-bis;Scienze della Formazione Primaria - Quadriennale;F;504
2023/2024;18-bis;Scienze della Formazione Primaria - Quadriennale;M;24
2023/2024;19;Scienze dell'amministrazione;F;59
2023/2024;19;Scienze dell'amministrazione;M;53
2023/2024;19/S;Specialistiche in finanza;F;1
2023/2024;2;Scienze dei servizi giuridici;F;61
2023/2024;2;Scienze dei servizi giuridici;M;37
2023/2024;2/S;Specialistiche in archeologia;F;7
2023/2024;2/S;Specialistiche in archeologia;M;1
2023/2024;20;Scienze e tecnologie agrarie, agroalimentari e forestali;F;50
2023/2024;20;Scienze e tecnologie agrarie, agroalimentari e forestali;M;62
2023/2024;20/S;Specialistiche in fisica;F;2
2023/2024;20/S;Specialistiche in fisica;M;5
2023/2024;21;Scienze e tecnologie chimiche;F;34
2023/2024;21;Scienze e tecnologie chimiche;M;32
2023/2024;21/S;Specialistiche in geografia;F;2
2023/2024;21/S;Specialistiche in geografia;M;2
2023/2024;22;Scienze e tecnologie della navigazione marittima e aerea;F;2
2023/2024;22;Scienze e tecnologie della navigazione marittima e aerea;M;4
2023/2024;22/S;Specialistiche in giurisprudenza;F;34
2023/2024;22/S;Specialistiche in giurisprudenza;M;26
2023/2024;23;Scienze e tecnologie delle arti figurative, della musica, dello spettacolo e della moda;F;51
2023/2024;23;Scienze e tecnologie delle arti figurative, della musica, dello spettacolo e della moda;M;19
2023/2024;23/S;Specialistiche in informatica;F;5
2023/2024;23/S;Specialistiche in informatica;M;20
2023/2024;24;Scienze e tecnologie farmaceutiche;F;76
2023/2024;24;Scienze e tecnologie farmaceutiche;M;13
2023/2024;24/S;Specialistiche in informatica per le discipline umanistiche;M;1
2023/2024;25;Scienze e tecnologie fisiche;F;21
2023/2024;25;Scienze e tecnologie fisiche;M;50
2023/2024;25/S;Specialistiche in ingegneria aerospaziale e astronautica;F;1
2023/2024;25/S;Specialistiche in ingegneria aerospaziale e astronautica;M;6
2023/2024;26;Scienze e tecnologie informatiche;F;29
2023/2024;26;Scienze e tecnologie informatiche;M;160
2023/2024;26/S;Specialistiche in ingegneria biomedica;F;1
2023/2024;26/S;Specialistiche in ingegneria biomedica;M;3
2023/2024;27;Scienze e tecnologie per l'ambiente e la natura;F;35
2023/2024;27;Scienze e tecnologie per l'ambiente e la natura;M;27
2023/2024;27/S;Specialistiche in ingegneria chimica;M;1
2023/2024;28;Scienze economiche;F;120
2023/2024;28;Scienze economiche;M;73
2023/2024;28/S;Specialistiche in ingegneria civile;F;7
2023/2024;28/S;Specialistiche in ingegneria civile;M;18
2023/2024;29;Filosofia;F;56
2023/2024;29;Filosofia;M;52
2023/2024;29/S;Specialistiche in ingegneria dell'automazione;F;1
2023/2024;29/S;Specialistiche in ingegneria dell'automazione;M;3
2023/2024;3;Scienze della mediazione linguistica;F;69
2023/2024;3;Scienze della mediazione linguistica;M;12
2023/2024;3/S;Specialistiche in architettura del paesaggio;F;2
2023/2024;30;Scienze geografiche;F;9
2023/2024;30;Scienze geografiche;M;5
2023/2024;30/S;Specialistiche in ingegneria delle telecomunicazioni;F;2
2023/2024;30/S;Specialistiche in ingegneria delle telecomunicazioni;M;7
2023/2024;31;Scienze giuridiche;F;169
2023/2024;31;Scienze giuridiche;M;102
2023/2024;31/S;Specialistiche in ingegneria elettrica;F;1
2023/2024;31/S;Specialistiche in ingegneria elettrica;M;7
2023/2024;31-bis;Scienze giuridiche - Quinquennale;F;19
2023/2024;31-bis;Scienze giuridiche - Quinquennale;M;10
2023/2024;32;Scienze matematiche;F;47
2023/2024;32;Scienze matematiche;M;20
2023/2024;32/S;Specialistiche in ingegneria elettronica;F;1
2023/2024;32/S;Specialistiche in ingegneria elettronica;M;11
2023/2024;33;Scienze delle attivita motorie e sportive;F;31
2023/2024;33;Scienze delle attivita motorie e sportive;M;64
2023/2024;33/S;Specialistiche in ingegneria energetica e nucleare;F;1
2023/2024;34;Scienze e tecniche psicologiche;F;193
2023/2024;34;Scienze e tecniche psicologiche;M;41
2023/2024;34/S;Specialistiche in ingegneria gestionale;F;7
2023/2024;34/S;Specialistiche in ingegneria gestionale;M;9
2023/2024;35;Scienze sociali per la cooperazione, lo sviluppo e la pace;F;11
2023/2024;35;Scienze sociali per la cooperazione, lo sviluppo e la pace;M;7
2023/2024;35/S;Specialistiche in ingegneria informatica;F;4
2023/2024;35/S;Specialistiche in ingegneria informatica;M;31
2023/2024;36;Scienze sociologiche;F;47
2023/2024;36;Scienze sociologiche;M;18
2023/2024;36/S;Specialistiche in ingegneria meccanica;M;19
2023/2024;37;Scienze statistiche;F;6
2023/2024;37;Scienze statistiche;M;4
2023/2024;37/S;Specialistiche in ingegneria navale;M;2
2023/2024;38;Scienze storiche;F;40
2023/2024;38;Scienze storiche;M;49
2023/2024;38/S;Specialistiche in ingegneria per l'ambiente e il territorio;F;8
2023/2024;38/S;Specialistiche in ingegneria per l'ambiente e il territorio;M;8
2023/2024;39;Scienze del turismo;F;36
2023/2024;39;Scienze del turismo;M;5
2023/2024;39/S;Specialistiche in interpretariato di conferenza;F;1
2023/2024;4;Scienze dell'architettura e dell'ingegneria edile;F;79
2023/2024;4;Scienze dell'architettura e dell'ingegneria edile;M;82
2023/2024;4/S;Specialistiche in architettura e ingegneria edile;F;14
2023/2024;4/S;Specialistiche in architettura e ingegneria edile;M;14
2023/2024;4/S-cu;Scienze dell'architettura e dell'ingegneria edile - Ciclo Unico;F;310
2023/2024;4/S-cu;Scienze dell'architettura e dell'ingegneria edile - Ciclo Unico;M;268
2023/2024;40;Scienze e tecnologie zootecniche e delle produzioni animali;F;27
2023/2024;40;Scienze e tecnologie zootecniche e delle produzioni animali;M;6
2023/2024;40/S;Specialistiche in lingua e cultura italiana;F;4
2023/2024;40/S;Specialistiche in lingua e cultura italiana;M;3
2023/2024;41;Tecnologie per la conservazione e il restauro dei beni culturali;F;7
2023/2024;41;Tecnologie per la conservazione e il restauro dei beni culturali;M;2
2023/2024;41/S;Specialistiche in lingue e letterature afroasiatiche;M;1
2023/2024;42;Disegno industriale;F;5
2023/2024;42;Disegno industriale;M;11
2023/2024;42/S;Specialistiche in lingue e letterature moderne euroamericane;F;10
2023/2024;42/S;Specialistiche in lingue e letterature moderne euroamericane;M;1
2023/2024;43/S;Specialistiche in lingue straniere per la comunicazione internazionale;F;9
2023/2024;44/S;Specialistiche in linguistica;M;1
2023/2024;45/S;Specialistiche in matematica;F;4
2023/2024;45/S;Specialistiche in matematica;M;2
2023/2024;46/S;Specialistiche in medicina e chirurgia;F;1066
2023/2024;46/S;Specialistiche in medicina e chirurgia;M;618
2023/2024;47/S;Specialistiche in medicina veterinaria;F;172
2023/2024;47/S;Specialistiche in medicina veterinaria;M;58
2023/2024;49/S;Specialistiche in metodi per la ricerca empirica nelle scienze sociali;F;1
2023/2024;5;Lettere;F;229
2023/2024;5;Lettere;M;71
2023/2024;5/S;Specialistiche in archivistica e biblioteconomia;F;2
2023/2024;51/S;Specialistiche in musicologia e beni musicali;F;1
2023/2024;52/S;Specialistiche in odontoiatria e protesi dentaria;F;17
2023/2024;52/S;Specialistiche in odontoiatria e protesi dentaria;M;36
2023/2024;53/S;Specialistiche in organizzazione e gestione dei servizi per lo sport e le attivita motorie;F;3
2023/2024;53/S;Specialistiche in organizzazione e gestione dei servizi per lo sport e le attivita motorie;M;1
2023/2024;54/S;Specialistiche in pianificazione territoriale urbanistica e ambientale;M;1
2023/2024;55/S;Specialistiche in progettazione e gestione dei sistemi turistici;F;1
2023/2024;56/S;Specialistiche in programmazione e gestione dei servizi educativi e formativi;F;5
2023/2024;57/S;Specialistiche in programmazione e gestione delle politiche e dei servizi sociali;F;28
2023/2024;57/S;Specialistiche in programmazione e gestione delle politiche e dei servizi sociali;M;4
2023/2024;58/S;Specialistiche in psicologia;F;31
2023/2024;58/S;Specialistiche in psicologia;M;6
2023/2024;59/S;Specialistiche in pubblicita e comunicazione d'impresa;F;2
2023/2024;6;Scienze del servizio sociale;F;77
2023/2024;6;Scienze del servizio sociale;M;11
2023/2024;6/S;Specialistiche in biologia;F;9
2023/2024;6/S;Specialistiche in biologia;M;4
2023/2024;60/S;Specialistiche in relazioni internazionali;F;7
2023/2024;60/S;Specialistiche in relazioni internazionali;M;5
2023/2024;62/S;Specialistiche in scienze chimiche;F;1
2023/2024;62/S;Specialistiche in scienze chimiche;M;1
2023/2024;64/S;Specialistiche in scienze dell'economia;F;4
2023/2024;64/S;Specialistiche in scienze dell'economia;M;8
2023/2024;65/S;Specialistiche in scienze dell'educazione degli adulti e della formazione continua;F;4
2023/2024;66/S;Specialistiche in scienze dell'universo;M;1
2023/2024;67/S;Specialistiche in scienze della comunicazione sociale e istituzionale;F;2
2023/2024;67/S;Specialistiche in scienze della comunicazione sociale e istituzionale;M;1
2023/2024;68/S;Specialistiche in scienze della natura;F;2
2023/2024;7;Urbanistica e scienze della pianificazione territoriale e ambientale;F;4
2023/2024;7;Urbanistica e scienze della pianificazione territoriale e ambientale;M;9
2023/2024;70/S;Specialistiche in scienze della politica;F;4
2023/2024;70/S;Specialistiche in scienze della politica;M;1
2023/2024;71/S;Specialistiche in scienze delle pubbliche amministrazioni;F;3
2023/2024;71/S;Specialistiche in scienze delle pubbliche amministrazioni;M;11
2023/2024;73/S;Specialistiche in scienze dello spettacolo e della produzione multimediale;F;4
2023/2024;73/S;Specialistiche in scienze dello spettacolo e della produzione multimediale;M;2
2023/2024;75/S;Specialistiche in scienze e tecnica dello sport;M;3
2023/2024;76/S;Specialistiche in scienze e tecniche delle attivita motorie preventive e adattative;F;1
2023/2024;76/S;Specialistiche in scienze e tecniche delle attivita motorie preventive e adattative;M;2
2023/2024;77/S;Specialistiche in scienze e tecnologie agrarie;F;1
2023/2024;77/S;Specialistiche in scienze e tecnologie agrarie;M;4
2023/2024;78/S;Specialistiche in scienze e tecnologie agroalimentari;F;1
2023/2024;78/S;Specialistiche in scienze e tecnologie agroalimentari;M;1
2023/2024;79/S;Specialistiche in scienze e tecnologie agrozootecniche;F;1
2023/2024;8;Ingegneria civile e ambientale;F;69
2023/2024;8;Ingegneria civile e ambientale;M;145
2023/2024;8/S;Specialistiche in biotecnologie industriali;F;1
2023/2024;83/S;Specialistiche in scienze economiche per l'ambiente e la cultura;F;2
2023/2024;83/S;Specialistiche in scienze economiche per l'ambiente e la cultura;M;2
2023/2024;84/S;Specialistiche in scienze economico-aziendali;F;32
2023/2024;84/S;Specialistiche in scienze economico-aziendali;M;19
2023/2024;86/S;Specialistiche in scienze geologiche;F;1
2023/2024;86/S;Specialistiche in scienze geologiche;M;2
2023/2024;87/S;Specialistiche in scienze pedagogiche;F;8
2023/2024;87/S;Specialistiche in scienze pedagogiche;M;1
2023/2024;88/S;Specialistiche in scienze per la cooperazione allo sviluppo;F;2
2023/2024;88/S;Specialistiche in scienze per la cooperazione allo sviluppo;M;1
2023/2024;89/S;Specialistiche in sociologia;F;6
2023/2024;89/S;Specialistiche in sociologia;M;2
2023/2024;9;Ingegneria dell'informazione;F;42
2023/2024;9;Ingegneria dell'informazione;M;234
2023/2024;9/S;Specialistiche in biotecnologie mediche, veterinarie e farmaceutiche;F;3
2023/2024;9/S;Specialistiche in biotecnologie mediche, veterinarie e farmaceutiche;M;1
2023/2024;90/S;Specialistiche in statistica demografica e sociale;F;2
2023/2024;91/S;Specialistiche in statistica economica, finanziaria ed attuariale;F;3
2023/2024;91/S;Specialistiche in statistica economica, finanziaria ed attuariale;M;1
2023/2024;92/S;Specialistiche in statistica per la ricerca sperimentale;M;1
2023/2024;93/S;Specialistiche in storia antica;M;1
2023/2024;94/S;Specialistiche in storia contemporanea;F;4
2023/2024;94/S;Specialistiche in storia contemporanea;M;1
2023/2024;95/S;Specialistiche in storia dell'arte;F;16
2023/2024;95/S;Specialistiche in storia dell'arte;M;1
2023/2024;96/S;Specialistiche in storia della filosofia;F;4
2023/2024;96/S;Specialistiche in storia della filosofia;M;2
2023/2024;97/S;Specialistiche in storia medievale;F;1
2023/2024;97/S;Specialistiche in storia medievale;M;2
2023/2024;98/S;Specialistiche in storia moderna;F;2
2023/2024;99/S;Specialistiche in studi europei;F;4
2023/2024;99/S;Specialistiche in studi europei;M;2
2023/2024;99999;Classe non definita;F;8974
2023/2024;99999;Classe non definita;M;5772
2023/2024;DS1;Scienze della difesa e della sicurezza;F;5
2023/2024;DS1;Scienze della difesa e della sicurezza;M;7
2023/2024;DS1/S;Specialistiche nelle scienze della difesa e della sicurezza;M;3
2023/2024;L/DS;Scienze della difesa e della sicurezza;F;264
2023/2024;L/DS;Scienze della difesa e della sicurezza;M;899
2023/2024;L/GASTR;Scienze, culture e politiche della gastronomia;F;1454
2023/2024;L/GASTR;Scienze, culture e politiche della gastronomia;M;1832
2023/2024;L/SNT1;Professioni sanitarie, infermieristiche e professione sanitaria ostetrica;F;43429
2023/2024;L/SNT1;Professioni sanitarie, infermieristiche e professione sanitaria ostetrica;M;13240
2023/2024;L/SNT2;Professioni sanitarie della riabilitazione;F;10380
2023/2024;L/SNT2;Professioni sanitarie della riabilitazione;M;6535
2023/2024;L/SNT3;Professioni sanitarie tecniche;F;8714
2023/2024;L/SNT3;Professioni sanitarie tecniche;M;5055
2023/2024;L/SNT4;Professioni sanitarie della prevenzione;F;1712
2023/2024;L/SNT4;Professioni sanitarie della prevenzione;M;1311
2023/2024;L-1;Beni culturali;F;15285
2023/2024;L-1;Beni culturali;M;5354
2023/2024;L-10;Lettere;F;29764
2023/2024;L-10;Lettere;M;11103
2023/2024;L-11;Lingue e culture moderne;F;33725
2023/2024;L-11;Lingue e culture moderne;M;8520
2023/2024;L-12;Mediazione linguistica;F;23628
2023/2024;L-12;Mediazione linguistica;M;5422
2023/2024;L-13;Scienze biologiche;F;20969
2023/2024;L-13;Scienze biologiche;M;8817
2023/2024;L-14;Scienze dei servizi giuridici;F;22534
2023/2024;L-14;Scienze dei servizi giuridici;M;22332
2023/2024;L-15;Scienze del turismo;F;6236
2023/2024;L-15;Scienze del turismo;M;2533
2023/2024;L-16;Scienze dell'amministrazione e dell'organizzazione;F;4777
2023/2024;L-16;Scienze dell'amministrazione e dell'organizzazione;M;3286
2023/2024;L-17;Scienze dell'architettura;F;6595
2023/2024;L-17;Scienze dell'architettura;M;4470
2023/2024;L-18;Scienze dell'economia e della gestione aziendale;F;63090
2023/2024;L-18;Scienze dell'economia e della gestione aziendale;M;80652
2023/2024;L-19;Scienze dell'educazione e della formazione;F;65795
2023/2024;L-19;Scienze dell'educazione e della formazione;M;5395
2023/2024;L-2;Biotecnologie;F;12425
2023/2024;L-2;Biotecnologie;M;5482
2023/2024;L-20;Scienze della comunicazione;F;34857
2023/2024;L-20;Scienze della comunicazione;M;16848
2023/2024;L-21;Scienze della pianificazione territoriale, urbanistica, paesaggistica e ambientale;F;794
2023/2024;L-21;Scienze della pianificazione territoriale, urbanistica, paesaggistica e ambientale;M;922
2023/2024;L-22;Scienze delle attività motorie e sportive;F;16122
2023/2024;L-22;Scienze delle attività motorie e sportive;M;40890
2023/2024;L-23;Scienze e tecniche dell'edilizia;F;1527
2023/2024;L-23;Scienze e tecniche dell'edilizia;M;2149
2023/2024;L-24;Scienze e tecniche psicologiche;F;53187
2023/2024;L-24;Scienze e tecniche psicologiche;M;14875
2023/2024;L-25;Scienze e tecnologie agrarie e forestali;F;3284
2023/2024;L-25;Scienze e tecnologie agrarie e forestali;M;7842
2023/2024;L-26;Scienze e tecnologie alimentari;F;5182
2023/2024;L-26;Scienze e tecnologie alimentari;M;4790
2023/2024;L-27;Scienze e tecnologie chimiche;F;5136
2023/2024;L-27;Scienze e tecnologie chimiche;M;5965
2023/2024;L-28;Scienze e tecnologie della navigazione;F;251
2023/2024;L-28;Scienze e tecnologie della navigazione;M;759
2023/2024;L-29;Scienze e tecnologie farmaceutiche;F;4070
2023/2024;L-29;Scienze e tecnologie farmaceutiche;M;1358
2023/2024;L-3;Discipline delle arti figurative, della musica, dello spettacolo e della moda;F;10606
2023/2024;L-3;Discipline delle arti figurative, della musica, dello spettacolo e della moda;M;5405
2023/2024;L-30;Scienze e tecnologie fisiche;F;4547
2023/2024;L-30;Scienze e tecnologie fisiche;M;8626
2023/2024;L-31;Scienze e tecnologie informatiche;F;5597
2023/2024;L-31;Scienze e tecnologie informatiche;M;32483
2023/2024;L-32;Scienze e tecnologie per l'ambiente e la natura;F;5405
2023/2024;L-32;Scienze e tecnologie per l'ambiente e la natura;M;5057
2023/2024;L-33;Scienze economiche;F;17600
2023/2024;L-33;Scienze economiche;M;25616
2023/2024;L-34;Scienze geologiche;F;940
2023/2024;L-34;Scienze geologiche;M;1969
2023/2024;L-35;Scienze matematiche;F;4929
2023/2024;L-35;Scienze matematiche;M;5515
2023/2024;L-36;Scienze politiche e delle relazioni internazionali;F;22289
2023/2024;L-36;Scienze politiche e delle relazioni internazionali;M;18905
2023/2024;L-37;Scienze sociali per la cooperazione, lo sviluppo e la pace;F;1345
2023/2024;L-37;Scienze sociali per la cooperazione, lo sviluppo e la pace;M;610
2023/2024;L-38;Scienze zootecniche e tecnologie delle produzioni animali;F;3600
2023/2024;L-38;Scienze zootecniche e tecnologie delle produzioni animali;M;1076
2023/2024;L-39;Servizio sociale;F;12106
2023/2024;L-39;Servizio sociale;M;1175
2023/2024;L-4;Disegno industriale;F;9090
2023/2024;L-4;Disegno industriale;M;5055
2023/2024;L-40;Sociologia;F;8616
2023/2024;L-40;Sociologia;M;2903
2023/2024;L-41;Statistica;F;2143
2023/2024;L-41;Statistica;M;3554
2023/2024;L-42;Storia;F;3979
2023/2024;L-42;Storia;M;7460
2023/2024;L-43;Diagnostica per la conservazione dei beni culturali;F;358
2023/2024;L-43;Diagnostica per la conservazione dei beni culturali;M;81
2023/2024;L-5;Filosofia;F;8392
2023/2024;L-5;Filosofia;M;7966
2023/2024;L-6;Geografia;F;260
2023/2024;L-6;Geografia;M;319
2023/2024;L-7;Ingegneria civile e ambientale;F;6035
2023/2024;L-7;Ingegneria civile e ambientale;M;15443
2023/2024;L-8;Ingegneria dell'informazione;F;14970
2023/2024;L-8;Ingegneria dell'informazione;M;52980
2023/2024;L-9;Ingegneria industriale;F;22455
2023/2024;L-9;Ingegneria industriale;M;71300
2023/2024;LM/DS;Scienze della difesa e della sicurezza;F;206
2023/2024;LM/DS;Scienze della difesa e della sicurezza;M;567
2023/2024;LM/GASTR;Scienze economiche  e sociali della gastronomia;F;50
2023/2024;LM/GASTR;Scienze economiche  e sociali della gastronomia;M;41
2023/2024;LM/SC-GIUR;Scienze Giuridiche;F;932
2023/2024;LM/SC-GIUR;Scienze Giuridiche;M;449
2023/2024;LM/SNT1;Scienze infermieristiche e ostetriche;F;3269
2023/2024;LM/SNT1;Scienze infermieristiche e ostetriche;M;1136
2023/2024;LM/SNT2;Scienze riabilitative delle professioni sanitarie;F;1176
2023/2024;LM/SNT2;Scienze riabilitative delle professioni sanitarie;M;353
2023/2024;LM/SNT3;Scienze delle professioni sanitarie tecniche;F;658
2023/2024;LM/SNT3;Scienze delle professioni sanitarie tecniche;M;421
2023/2024;LM/SNT4;Scienze delle professioni sanitarie della prevenzione;F;365
2023/2024;LM/SNT4;Scienze delle professioni sanitarie della prevenzione;M;255
2023/2024;LM-1;Antropologia culturale ed etnologia;F;1256
2023/2024;LM-1;Antropologia culturale ed etnologia;M;533
2023/2024;LM-10;Conservazione dei beni architettonici e ambientali;F;1
2023/2024;LM-11;Scienze per la conservazione dei beni culturali;F;206
2023/2024;LM-11;Scienze per la conservazione dei beni culturali;M;40
2023/2024;LM-12;Design;F;2636
2023/2024;LM-12;Design;M;1362
2023/2024;LM-13;Farmacia e farmacia industriale;F;25992
2023/2024;LM-13;Farmacia e farmacia industriale;M;8579
2023/2024;LM-14;Filologia moderna;F;10091
2023/2024;LM-14;Filologia moderna;M;2945
2023/2024;LM-15;Filologia, letterature e storia dell'antichità;F;1196
2023/2024;LM-15;Filologia, letterature e storia dell'antichità;M;588
2023/2024;LM-16;Finanza;F;993
2023/2024;LM-16;Finanza;M;2190
2023/2024;LM-17;Fisica;F;1389
2023/2024;LM-17;Fisica;M;3375
2023/2024;LM-18;Informatica;F;1025
2023/2024;LM-18;Informatica;M;4385
2023/2024;LM-19;Informazione e sistemi editoriali;F;2130
2023/2024;LM-19;Informazione e sistemi editoriali;M;790
2023/2024;LM-2;Archeologia;F;1801
2023/2024;LM-2;Archeologia;M;948
2023/2024;LM-20;Ingegneria aerospaziale e astronautica;F;1023
2023/2024;LM-20;Ingegneria aerospaziale e astronautica;M;3621
2023/2024;LM-21;Ingegneria biomedica;F;3904
2023/2024;LM-21;Ingegneria biomedica;M;2496
2023/2024;LM-22;Ingegneria chimica;F;1278
2023/2024;LM-22;Ingegneria chimica;M;1638
2023/2024;LM-23;Ingegneria civile;F;1790
2023/2024;LM-23;Ingegneria civile;M;4467
2023/2024;LM-24;Ingegneria dei sistemi edilizi;F;903
2023/2024;LM-24;Ingegneria dei sistemi edilizi;M;1193
2023/2024;LM-25;Ingegneria dell'automazione;F;640
2023/2024;LM-25;Ingegneria dell'automazione;M;2730
2023/2024;LM-26;Ingegneria della sicurezza;F;638
2023/2024;LM-26;Ingegneria della sicurezza;M;1882
2023/2024;LM-27;Ingegneria delle telecomunicazioni;F;592
2023/2024;LM-27;Ingegneria delle telecomunicazioni;M;1461
2023/2024;LM-28;Ingegneria elettrica;F;310
2023/2024;LM-28;Ingegneria elettrica;M;1702
2023/2024;LM-29;Ingegneria elettronica;F;670
2023/2024;LM-29;Ingegneria elettronica;M;3106
2023/2024;LM-3;Architettura del paesaggio;F;476
2023/2024;LM-3;Architettura del paesaggio;M;238
2023/2024;LM-30;Ingegneria energetica e nucleare;F;858
2023/2024;LM-30;Ingegneria energetica e nucleare;M;2880
2023/2024;LM-31;Ingegneria gestionale;F;4807
2023/2024;LM-31;Ingegneria gestionale;M;8717
2023/2024;LM-32;Ingegneria informatica;F;2242
2023/2024;LM-32;Ingegneria informatica;M;10117
2023/2024;LM-33;Ingegneria meccanica;F;1609
2023/2024;LM-33;Ingegneria meccanica;M;10550
2023/2024;LM-34;Ingegneria navale;F;112
2023/2024;LM-34;Ingegneria navale;M;338
2023/2024;LM-35;Ingegneria per l'ambiente e il territorio;F;1172
2023/2024;LM-35;Ingegneria per l'ambiente e il territorio;M;1640
2023/2024;LM-36;Lingue e letterature dell'Africa e dell'Asia;F;795
2023/2024;LM-36;Lingue e letterature dell'Africa e dell'Asia;M;245
2023/2024;LM-37;Lingue e letterature moderne europee e americane;F;8389
2023/2024;LM-37;Lingue e letterature moderne europee e americane;M;1518
2023/2024;LM-38;Lingue moderne per la comunicazione e la cooperazione internazionale;F;5693
2023/2024;LM-38;Lingue moderne per la comunicazione e la cooperazione internazionale;M;873
2023/2024;LM-39;Linguistica;F;7404
2023/2024;LM-39;Linguistica;M;1270
2023/2024;LM-4;Architettura e ingegneria edile-architettura;F;4751
2023/2024;LM-4;Architettura e ingegneria edile-architettura;M;2939
2023/2024;LM-40;Matematica;F;1730
2023/2024;LM-40;Matematica;M;1914
2023/2024;LM-41;Medicina e chirurgia;F;59459
2023/2024;LM-41;Medicina e chirurgia;M;39619
2023/2024;LM-42;Medicina veterinaria;F;4400
2023/2024;LM-42;Medicina veterinaria;M;1476
2023/2024;LM-43;Metodologie informatiche per le discipline umanistiche;F;646
2023/2024;LM-43;Metodologie informatiche per le discipline umanistiche;M;252
2023/2024;LM-44;Modellistica matematico-fisica per l'ingegneria;F;582
2023/2024;LM-44;Modellistica matematico-fisica per l'ingegneria;M;1323
2023/2024;LM-45;Musicologia e beni musicali;F;424
2023/2024;LM-45;Musicologia e beni musicali;M;281
2023/2024;LM-46;Odontoiatria e protesi dentaria;F;3953
2023/2024;LM-46;Odontoiatria e protesi dentaria;M;3359
2023/2024;LM-47;Organizzazione e gestione dei servizi per lo sport e le attività motorie;F;3235
2023/2024;LM-47;Organizzazione e gestione dei servizi per lo sport e le attività motorie;M;5432
2023/2024;LM-48;Pianificazione territoriale urbanistica e ambientale;F;532
2023/2024;LM-48;Pianificazione territoriale urbanistica e ambientale;M;401
2023/2024;LM-49;Progettazione e gestione dei sistemi turistici;F;1660
2023/2024;LM-49;Progettazione e gestione dei sistemi turistici;M;586
2023/2024;LM-4cu;Architettura e ingegneria edile-architettura (quinquennale);F;9826
2023/2024;LM-4cu;Architettura e ingegneria edile-architettura (quinquennale);M;6161
2023/2024;LM-5;Archivistica e biblioteconomia;F;423
2023/2024;LM-5;Archivistica e biblioteconomia;M;125
2023/2024;LM-50;Programmazione e gestione dei servizi educativi;F;2533
2023/2024;LM-50;Programmazione e gestione dei servizi educativi;M;262
2023/2024;LM-51;Psicologia;F;23306
2023/2024;LM-51;Psicologia;M;5482
2023/2024;LM-52;Relazioni internazionali;F;5622
2023/2024;LM-52;Relazioni internazionali;M;3231
2023/2024;LM-53;Ingegneria dei materiali;F;320
2023/2024;LM-53;Ingegneria dei materiali;M;527
2023/2024;LM-53;Scienza e ingegneria dei materiali;F;356
2023/2024;LM-53;Scienza e ingegneria dei materiali;M;645
