AnnoA;AteneoNOME;AteneoCOD;SESSO;Imm
2023/2024;Ca' Foscari Venezia;2701;M;1382
2023/2024;Cagliari;9201;F;2345
2023/2024;Cagliari;9201;M;1848
2023/2024;Calabria;7801;F;2524
2023/2024;Calabria;7801;M;2062
2023/2024;Camerino;4302;F;492
2023/2024;Camerino;4302;M;587
2023/2024;Casamassima – LUM G. Degennaro;7203;F;220
2023/2024;Casamassima – LUM G. Degennaro;7203;M;251
2023/2024;Cassino;6001;F;837
2023/2024;Cassino;6001;M;753
2023/2024;Castellanza LIUC;1201;F;145
2023/2024;Castellanza LIUC;1201;M;307
2023/2024;Catania;8701;F;4187
2023/2024;Catania;8701;M;3347
2023/2024;Catanzaro;7901;F;1175
2023/2024;Catanzaro;7901;M;816
2023/2024;Chieti e Pescara;6901;F;2232
2023/2024;Chieti e Pescara;6901;M;1335
2023/2024;Enna KORE;8601;F;707
2023/2024;Enna KORE;8601;M;419
2023/2024;Ferrara;3801;F;3948
2023/2024;Ferrara;3801;M;2433
2023/2024;Firenze;4801;F;5983
2023/2024;Firenze;4801;M;4628
2023/2024;Firenze IUL - telematica;4804;F;262
2023/2024;Firenze IUL - telematica;4804;M;123
2023/2024;Foggia;7101;F;1624
2023/2024;Foggia;7101;M;994
2023/2024;Genova;1001;F;3188
2023/2024;Genova;1001;M;2707
2023/2024;Insubria;1202;F;1537
2023/2024;Insubria;1202;M;1228
2023/2024;L'Aquila;6601;F;1233
2023/2024;L'Aquila;6601;M;1234
2023/2024;Macerata;4301;F;1071
2023/2024;Macerata;4301;M;427
2023/2024;Marche;4201;F;1347
2023/2024;Marche;4201;M;1663
2023/2024;Messina;8301;F;2718
2023/2024;Messina;8301;M;1955
2023/2024;Milano;1501;F;6075
2023/2024;Milano;1501;M;4126
2023/2024;Milano Bicocca;1509;F;3266
2023/2024;Milano Bicocca;1509;M;2379
2023/2024;Milano Bocconi;1503;F;1237
2023/2024;Milano Bocconi;1503;M;1522
2023/2024;Milano Cattolica;1504;F;5168
2023/2024;Milano Cattolica;1504;M;2784
2023/2024;Milano IULM;1505;F;1513
2023/2024;Milano IULM;1505;M;412
2023/2024;Milano Politecnico;1502;F;2596
2023/2024;Milano Politecnico;1502;M;4880
2023/2024;Milano San Raffaele;1508;F;733
2023/2024;Milano San Raffaele;1508;M;300
2023/2024;Modena e Reggio Emilia;3601;F;2341
2023/2024;Modena e Reggio Emilia;3601;M;2221
2023/2024;Molise;7001;F;559
2023/2024;Molise;7001;M;489
2023/2024;Napoli Benincasa;6304;F;1495
2023/2024;Napoli Benincasa;6304;M;216
2023/2024;Napoli Federico II;6301;F;7472
2023/2024;Napoli Federico II;6301;M;5867
2023/2024;Napoli L'Orientale;6303;F;1058
2023/2024;Napoli L'Orientale;6303;M;247
2023/2024;Napoli Parthenope;6302;F;1402
2023/2024;Napoli Parthenope;6302;M;2029
2023/2024;Napoli Pegaso - telematica;6307;F;6742
2023/2024;Napoli Pegaso - telematica;6307;M;7038
2023/2024;Napoli Vanvitelli;6306;F;2064
2023/2024;Napoli Vanvitelli;6306;M;1611
2023/2024;Novedrate e-Campus - telematica;1301;F;4136
2023/2024;Novedrate e-Campus - telematica;1301;M;3807
2023/2024;Padova;2801;F;6955
2023/2024;Padova;2801;M;5601
2023/2024;Palermo;8201;F;5018
2023/2024;Palermo;8201;M;3759
2023/2024;Parma;3401;F;3479
2023/2024;Parma;3401;M;2406
2023/2024;Pavia;1801;F;2892
2023/2024;Pavia;1801;M;2304
2023/2024;Perugia;5401;F;3566
2023/2024;Perugia;5401;M;2486
2023/2024;Perugia Stranieri;5403;F;99
2023/2024;Perugia Stranieri;5403;M;55
2023/2024;Piemonte Orientale;201;F;2254
2023/2024;Piemonte Orientale;201;M;1379
2023/2024;Pisa;5001;F;3544
2023/2024;Pisa;5001;M;3489
2023/2024;Reggio Calabria;8001;F;490
2023/2024;Reggio Calabria;8001;M;365
2023/2024;Reggio Calabria - Dante Alighieri;8003;F;39
2023/2024;Reggio Calabria - Dante Alighieri;8003;M;4
2023/2024;Roma  Mercatorum - telematica;5814;F;4050
2023/2024;Roma  Mercatorum - telematica;5814;M;5261
2023/2024;Roma Biomedico;5808;F;303
2023/2024;Roma Biomedico;5808;M;212
2023/2024;Roma Europea;5812;F;287
2023/2024;Roma Europea;5812;M;82
2023/2024;Roma Foro Italico;5806;F;109
2023/2024;Roma Foro Italico;5806;M;353
2023/2024;Roma La Sapienza;5801;F;10245
2023/2024;Roma La Sapienza;5801;M;7355
2023/2024;Roma Link Campus;5817;F;59
2023/2024;Roma Link Campus;5817;M;96
2023/2024;Roma Luiss;5805;F;1202
2023/2024;Roma Luiss;5805;M;1242
2023/2024;Roma LUMSA;5803;F;1022
2023/2024;Roma LUMSA;5803;M;465
2023/2024;Roma Marconi - telematica;5810;F;1793
2023/2024;Roma Marconi - telematica;5810;M;881
2023/2024;Roma Saint Camillus;5818;F;563
2023/2024;Roma Saint Camillus;5818;M;305
2023/2024;Roma San Raffaele - telematica;5816;F;702
2023/2024;Roma San Raffaele - telematica;5816;M;833
2023/2024;Roma Tor Vergata;5802;F;3217
2023/2024;Roma Tor Vergata;5802;M;2784
2023/2024;Roma Tre;5807;F;4156
2023/2024;Roma Tre;5807;M;2895
2023/2024;Roma UNICUSANO - telematica;5815;F;823
2023/2024;Roma UNICUSANO - telematica;5815;M;705
2023/2024;Roma UNINETTUNO - telematica;5813;F;632
2023/2024;Roma UNINETTUNO - telematica;5813;M;568
2023/2024;Roma UNINT;5809;F;68
2023/2024;Roma UNINT;5809;M;21
2023/2024;Roma UNITELMA - telematica;5811;F;235
2023/2024;Roma UNITELMA - telematica;5811;M;222
2023/2024;Rozzano (MI) Humanitas University;1510;F;315
2023/2024;Rozzano (MI) Humanitas University;1510;M;175
2023/2024;Salento;7501;F;2649
2023/2024;Salento;7501;M;1733
2023/2024;Salerno;6501;F;3233
2023/2024;Salerno;6501;M;2629
2023/2024;Sannio;6201;F;379
2023/2024;Sannio;6201;M;447
2023/2024;Sassari;9001;F;1128
2023/2024;Sassari;9001;M;804
2023/2024;Siena;5201;F;1432
2023/2024;Siena;5201;M;768
2023/2024;Siena Stranieri;5202;F;235
2023/2024;Siena Stranieri;5202;M;96
2023/2024;Teramo;6701;F;493
2023/2024;Teramo;6701;M;351
2023/2024;Torino;101;F;7799
2023/2024;Torino;101;M;5110
2023/2024;Torino Politecnico;102;F;1611
2023/2024;Torino Politecnico;102;M;3512
2023/2024;Torrevecchia Teatina Leonardo da Vinci - telematica;6902;F;52
2023/2024;Torrevecchia Teatina Leonardo da Vinci - telematica;6902;M;38
2023/2024;Trento;2201;F;1552
2023/2024;Trento;2201;M;1447
2023/2024;Trieste;3201;F;2060
2023/2024;Trieste;3201;M;1355
2023/2024;Tuscia;5601;F;755
2023/2024;Tuscia;5601;M;770
2023/2024;Udine;3001;F;1587
2023/2024;Udine;3001;M;1454
2023/2024;Urbino;4101;F;1555
2023/2024;Urbino;4101;M;1002
2023/2024;Venezia Iuav;2702;F;504
2023/2024;Venezia Iuav;2702;M;314
2023/2024;Verona;2301;F;3412
2023/2024;Verona;2301;M;1947
2022/2023;Aosta;701;F;155
2022/2023;Aosta;701;M;64
2022/2023;Bari;7201;F;4271
2022/2023;Bari;7201;M;3040
2022/2023;Bari Politecnico;7202;F;554
2022/2023;Bari Politecnico;7202;M;1235
2022/2023;Basilicata;7601;F;538
2022/2023;Basilicata;7601;M;392
2022/2023;Benevento Giustino Fortunato - telematica;6202;F;93
2022/2023;Benevento Giustino Fortunato - telematica;6202;M;96
2022/2023;Bergamo;1601;F;2522
2022/2023;Bergamo;1601;M;1775
2022/2023;Bologna;3701;F;8248
2022/2023;Bologna;3701;M;6401
2022/2023;Bolzano;2101;F;393
2022/2023;Bolzano;2101;M;179
2022/2023;Bra Scienze Gastronomiche;401;F;28
2022/2023;Bra Scienze Gastronomiche;401;M;35
2022/2023;Brescia;1701;F;1499
2022/2023;Brescia;1701;M;1799
2022/2023;Ca' Foscari Venezia;2701;F;2244
2022/2023;Ca' Foscari Venezia;2701;M;1428
2022/2023;Cagliari;9201;F;2290
2022/2023;Cagliari;9201;M;1791
2022/2023;Calabria;7801;F;2359
2022/2023;Calabria;7801;M;1944
2022/2023;Camerino;4302;F;503
2022/2023;Camerino;4302;M;588
2022/2023;Casamassima – LUM G. Degennaro;7203;F;188
2022/2023;Casamassima – LUM G. Degennaro;7203;M;188
2022/2023;Cassino;6001;F;615
2022/2023;Cassino;6001;M;607
2022/2023;Castellanza LIUC;1201;F;157
2022/2023;Castellanza LIUC;1201;M;299
2022/2023;Catania;8701;F;3412
2022/2023;Catania;8701;M;2920
2022/2023;Catanzaro;7901;F;946
2022/2023;Catanzaro;7901;M;691
2022/2023;Chieti e Pescara;6901;F;2367
2022/2023;Chieti e Pescara;6901;M;1328
2022/2023;Enna KORE;8601;F;615
2022/2023;Enna KORE;8601;M;371
2022/2023;Ferrara;3801;F;3877
2022/2023;Ferrara;3801;M;2370
2022/2023;Firenze;4801;F;6053
2022/2023;Firenze;4801;M;4327
2022/2023;Firenze IUL - telematica;4804;F;204
2022/2023;Firenze IUL - telematica;4804;M;109
2022/2023;Foggia;7101;F;1847
2022/2023;Foggia;7101;M;1039
2022/2023;Genova;1001;F;3140
2022/2023;Genova;1001;M;2686
2022/2023;Insubria;1202;F;1508
2022/2023;Insubria;1202;M;1279
2022/2023;L'Aquila;6601;F;1115
2022/2023;L'Aquila;6601;M;1122
2022/2023;Macerata;4301;F;1042
2022/2023;Macerata;4301;M;377
2022/2023;Marche;4201;F;1287
2022/2023;Marche;4201;M;1600
2022/2023;Messina;8301;F;2807
2022/2023;Messina;8301;M;2098
2022/2023;Milano;1501;F;5896
2022/2023;Milano;1501;M;4153
2022/2023;Milano Bicocca;1509;F;3343
2022/2023;Milano Bicocca;1509;M;2423
2022/2023;Milano Bocconi;1503;F;1187
2022/2023;Milano Bocconi;1503;M;1533
2022/2023;Milano Cattolica;1504;F;5379
2022/2023;Milano Cattolica;1504;M;2934
2022/2023;Milano IULM;1505;F;1653
2022/2023;Milano IULM;1505;M;400
2022/2023;Milano Politecnico;1502;F;2639
2022/2023;Milano Politecnico;1502;M;5096
2022/2023;Milano San Raffaele;1508;F;590
2022/2023;Milano San Raffaele;1508;M;321
2022/2023;Modena e Reggio Emilia;3601;F;2382
2022/2023;Modena e Reggio Emilia;3601;M;2205
2022/2023;Molise;7001;F;569
2022/2023;Molise;7001;M;464
2022/2023;Napoli Benincasa;6304;F;1322
2022/2023;Napoli Benincasa;6304;M;208
2022/2023;Napoli Federico II;6301;F;7316
2022/2023;Napoli Federico II;6301;M;5944
2022/2023;Napoli L'Orientale;6303;F;1026
2022/2023;Napoli L'Orientale;6303;M;292
2022/2023;Napoli Parthenope;6302;F;1287
2022/2023;Napoli Parthenope;6302;M;1804
2022/2023;Napoli Pegaso - telematica;6307;F;2014
2022/2023;Napoli Pegaso - telematica;6307;M;4211
2022/2023;Napoli Vanvitelli;6306;F;2264
2022/2023;Napoli Vanvitelli;6306;M;1692
2022/2023;Novedrate e-Campus - telematica;1301;F;4339
2022/2023;Novedrate e-Campus - telematica;1301;M;3908
2022/2023;Padova;2801;F;6826
2022/2023;Padova;2801;M;5696
2022/2023;Palermo;8201;F;4899
2022/2023;Palermo;8201;M;3443
2022/2023;Parma;3401;F;3572
2022/2023;Parma;3401;M;2700
2022/2023;Pavia;1801;F;2824
2022/2023;Pavia;1801;M;2233
2022/2023;Perugia;5401;F;3581
2022/2023;Perugia;5401;M;2416
2022/2023;Perugia Stranieri;5403;F;71
2022/2023;Perugia Stranieri;5403;M;29
2022/2023;Piemonte Orientale;201;F;2352
2022/2023;Piemonte Orientale;201;M;1504
2022/2023;Pisa;5001;F;3359
2022/2023;Pisa;5001;M;3507
2022/2023;Reggio Calabria;8001;F;499
2022/2023;Reggio Calabria;8001;M;391
2022/2023;Reggio Calabria - Dante Alighieri;8003;F;36
2022/2023;Reggio Calabria - Dante Alighieri;8003;M;5
2022/2023;Roma  Mercatorum - telematica;5814;F;3085
2022/2023;Roma  Mercatorum - telematica;5814;M;4455
2022/2023;Roma Biomedico;5808;F;363
2022/2023;Roma Biomedico;5808;M;189
2022/2023;Roma Europea;5812;F;261
2022/2023;Roma Europea;5812;M;82
2022/2023;Roma Foro Italico;5806;F;121
2022/2023;Roma Foro Italico;5806;M;374
2022/2023;Roma La Sapienza;5801;F;10580
2022/2023;Roma La Sapienza;5801;M;7908
2022/2023;Roma Link Campus;5817;F;38
2022/2023;Roma Link Campus;5817;M;108
2022/2023;Roma Luiss;5805;F;917
2022/2023;Roma Luiss;5805;M;983
2022/2023;Roma LUMSA;5803;F;955
2022/2023;Roma LUMSA;5803;M;534
2022/2023;Roma Marconi - telematica;5810;F;1504
2022/2023;Roma Marconi - telematica;5810;M;818
2022/2023;Roma Saint Camillus;5818;F;430
2022/2023;Roma Saint Camillus;5818;M;262
2022/2023;Roma San Raffaele - telematica;5816;F;515
2022/2023;Roma San Raffaele - telematica;5816;M;633
2022/2023;Roma Tor Vergata;5802;F;4148
2022/2023;Roma Tor Vergata;5802;M;2954
2022/2023;Roma Tre;5807;F;3651
2022/2023;Roma Tre;5807;M;2694
2022/2023;Roma UNICUSANO - telematica;5815;F;1029
2022/2023;Roma UNICUSANO - telematica;5815;M;827
2022/2023;Roma UNINETTUNO - telematica;5813;F;773
2022/2023;Roma UNINETTUNO - telematica;5813;M;788
2022/2023;Roma UNINT;5809;F;92
2022/2023;Roma UNINT;5809;M;27
2022/2023;Roma UNITELMA - telematica;5811;F;282
2022/2023;Roma UNITELMA - telematica;5811;M;235
2022/2023;Rozzano (MI) Humanitas University;1510;F;274
2022/2023;Rozzano (MI) Humanitas University;1510;M;176
2022/2023;Salento;7501;F;2405
2022/2023;Salento;7501;M;1610
2022/2023;Salerno;6501;F;3142
2022/2023;Salerno;6501;M;2689
2022/2023;Sannio;6201;F;392
2022/2023;Sannio;6201;M;387
2022/2023;Sassari;9001;F;1170
2022/2023;Sassari;9001;M;800
2022/2023;Siena;5201;F;1490
2022/2023;Siena;5201;M;793
2022/2023;Siena Stranieri;5202;F;226
2022/2023;Siena Stranieri;5202;M;45
2022/2023;Teramo;6701;F;497
2022/2023;Teramo;6701;M;306
2022/2023;Torino;101;F;8169
2022/2023;Torino;101;M;5058
2022/2023;Torino Politecnico;102;F;1691
2022/2023;Torino Politecnico;102;M;3812
2022/2023;Torrevecchia Teatina Leonardo da Vinci - telematica;6902;F;96
2022/2023;Torrevecchia Teatina Leonardo da Vinci - telematica;6902;M;76
2022/2023;Trento;2201;F;1503
2022/2023;Trento;2201;M;1377
2022/2023;Trieste;3201;F;1717
2022/2023;Trieste;3201;M;1256
2022/2023;Tuscia;5601;F;778
2022/2023;Tuscia;5601;M;743
2022/2023;Udine;3001;F;1516
2022/2023;Udine;3001;M;1374
2022/2023;Urbino;4101;F;1658
2022/2023;Urbino;4101;M;906
2022/2023;Venezia Iuav;2702;F;489
2022/2023;Venezia Iuav;2702;M;320
2022/2023;Verona;2301;F;3065
2022/2023;Verona;2301;M;1796
2021/2022;Aosta;701;F;166
2021/2022;Aosta;701;M;41
2021/2022;Bari;7201;F;4299
2021/2022;Bari;7201;M;2954
2021/2022;Bari Politecnico;7202;F;555
2021/2022;Bari Politecnico;7202;M;1332
2021/2022;Basilicata;7601;F;493
2021/2022;Basilicata;7601;M;384
2021/2022;Benevento Giustino Fortunato - telematica;6202;F;103
2021/2022;Benevento Giustino Fortunato - telematica;6202;M;76
2021/2022;Bergamo;1601;F;2400
2021/2022;Bergamo;1601;M;1637
2021/2022;Bologna;3701;F;8628
2021/2022;Bologna;3701;M;6787
2021/2022;Bolzano;2101;F;425
2021/2022;Bolzano;2101;M;188
2021/2022;Bra Scienze Gastronomiche;401;F;30
2021/2022;Bra Scienze Gastronomiche;401;M;30
2021/2022;Brescia;1701;F;1417
2021/2022;Brescia;1701;M;1797
2021/2022;Ca' Foscari Venezia;2701;F;2342
2021/2022;Ca' Foscari Venezia;2701;M;1402
2021/2022;Cagliari;9201;F;2323
2021/2022;Cagliari;9201;M;1745
2021/2022;Calabria;7801;F;2287
2021/2022;Calabria;7801;M;1814
2021/2022;Camerino;4302;F;516
2021/2022;Camerino;4302;M;532
2021/2022;Casamassima – LUM G. Degennaro;7203;F;99
2021/2022;Casamassima – LUM G. Degennaro;7203;M;159
2021/2022;Cassino;6001;F;628
2021/2022;Cassino;6001;M;638
2021/2022;Castellanza LIUC;1201;F;163
2021/2022;Castellanza LIUC;1201;M;289
2021/2022;Catania;8701;F;4027
2021/2022;Catania;8701;M;3020
2021/2022;Catanzaro;7901;F;924
2021/2022;Catanzaro;7901;M;788
2021/2022;Chieti e Pescara;6901;F;2336
2021/2022;Chieti e Pescara;6901;M;1314
2021/2022;Enna KORE;8601;F;526
2021/2022;Enna KORE;8601;M;301
2021/2022;Ferrara;3801;F;3938
2021/2022;Ferrara;3801;M;2554
2021/2022;Firenze;4801;F;5775
2021/2022;Firenze;4801;M;4177
2021/2022;Firenze IUL - telematica;4804;F;172
2021/2022;Firenze IUL - telematica;4804;M;74
2021/2022;Foggia;7101;F;1766
2021/2022;Foggia;7101;M;1031
2021/2022;Genova;1001;F;3322
2021/2022;Genova;1001;M;2838
2021/2022;Insubria;1202;F;1486
2021/2022;Insubria;1202;M;1351
2021/2022;L'Aquila;6601;F;1005
2021/2022;L'Aquila;6601;M;1116
2021/2022;Macerata;4301;F;1162
2021/2022;Macerata;4301;M;437
2021/2022;Marche;4201;F;1168
2021/2022;Marche;4201;M;1528
2021/2022;Messina;8301;F;2692
2021/2022;Messina;8301;M;1962
2021/2022;Milano;1501;F;6844
2021/2022;Milano;1501;M;4329
2021/2022;Milano Bicocca;1509;F;3715
2021/2022;Milano Bicocca;1509;M;2488
2021/2022;Milano Bocconi;1503;F;1220
2021/2022;Milano Bocconi;1503;M;1649
2021/2022;Milano Cattolica;1504;F;5366
2021/2022;Milano Cattolica;1504;M;2750
2021/2022;Milano IULM;1505;F;1549
2021/2022;Milano IULM;1505;M;382
2021/2022;Milano Politecnico;1502;F;2620
2021/2022;Milano Politecnico;1502;M;5285
2021/2022;Milano San Raffaele;1508;F;464
2021/2022;Milano San Raffaele;1508;M;229
2021/2022;Modena e Reggio Emilia;3601;F;2343
2021/2022;Modena e Reggio Emilia;3601;M;2275
2021/2022;Molise;7001;F;596
2021/2022;Molise;7001;M;456
2021/2022;Napoli Benincasa;6304;F;1278
2021/2022;Napoli Benincasa;6304;M;221
2021/2022;Napoli Federico II;6301;F;7689
2021/2022;Napoli Federico II;6301;M;6469
2021/2022;Napoli L'Orientale;6303;F;1360
2021/2022;Napoli L'Orientale;6303;M;401
2021/2022;Napoli Parthenope;6302;F;916
2021/2022;Napoli Parthenope;6302;M;1480
