ANNO;CODICE_ATENEO;NOME_ATENEO;REGIONE;AREA_GEO;Cod_qualifica;Desc_qualifica;GENERE;Età_MEDIA
2024;00102;Torino - Politecnico;Piemonte;NORD-OVEST;1PO;Prof. I fascia (ordinario);M;56
2024;00102;Torino - Politecnico;Piemonte;NORD-OVEST;2PA;Prof. II fascia (associato);F;50
2024;00102;Torino - Politecnico;Piemonte;NORD-OVEST;2PA;Prof. II fascia (associato);M;50
2024;00102;Torino - Politecnico;Piemonte;NORD-OVEST;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo B;M;38
2024;00102;Torino - Politecnico;Piemonte;NORD-OVEST;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo B;F;40
2024;00102;Torino - Politecnico;Piemonte;NORD-OVEST;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo A;M;34
2024;00102;Torino - Politecnico;Piemonte;NORD-OVEST;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo A;F;35
2024;00102;Torino - Politecnico;Piemonte;NORD-OVEST;3RTD;Ricercatore a tempo determinato L. 79/2022;M;33
2024;00102;Torino - Politecnico;Piemonte;NORD-OVEST;3RU;Ricercatore a tempo indeterminato;F;58
2024;00102;Torino - Politecnico;Piemonte;NORD-OVEST;3RU;Ricercatore a tempo indeterminato;M;59
2024;00102;Torino - Politecnico;Piemonte;NORD-OVEST;4AR;Titolare di assegno di ricerca;F;32
2024;00102;Torino - Politecnico;Piemonte;NORD-OVEST;4AR;Titolare di assegno di ricerca;M;31
2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;1PO;Prof. I fascia (ordinario);F;58
2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;1PO;Prof. I fascia (ordinario);M;59
2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;2PA;Prof. II fascia (associato);M;52
2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;2PA;Prof. II fascia (associato);F;52
2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;3RTD;Ricercatore a tempo determinato L. 79/2022;M;40
2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;3RTD;Ricercatore a tempo determinato L. 79/2022;F;43
2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo B;M;41
2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo B;F;42
2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo A;F;39
2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo A;M;37
2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;3RU;Ricercatore a tempo indeterminato;F;54
2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;3RU;Ricercatore a tempo indeterminato;M;58
2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;4AR;Titolare di assegno di ricerca;F;32
2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;4AR;Titolare di assegno di ricerca;M;33
2024;00401;Bra (CN) - Università di Scienze Gastronomiche;Piemonte;NORD-OVEST;1PO;Prof. I fascia (ordinario);M;60
2024;00401;Bra (CN) - Università di Scienze Gastronomiche;Piemonte;NORD-OVEST;1PO;Prof. I fascia (ordinario);F;47
2024;00401;Bra (CN) - Università di Scienze Gastronomiche;Piemonte;NORD-OVEST;2PA;Prof. II fascia (associato);M;50
2024;00401;Bra (CN) - Università di Scienze Gastronomiche;Piemonte;NORD-OVEST;2PA;Prof. II fascia (associato);F;55
2024;00401;Bra (CN) - Università di Scienze Gastronomiche;Piemonte;NORD-OVEST;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo A;M;38
2024;00401;Bra (CN) - Università di Scienze Gastronomiche;Piemonte;NORD-OVEST;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo B;F;44
2024;00401;Bra (CN) - Università di Scienze Gastronomiche;Piemonte;NORD-OVEST;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo B;M;47
2024;00401;Bra (CN) - Università di Scienze Gastronomiche;Piemonte;NORD-OVEST;3RU;Ricercatore a tempo indeterminato;F;60
2024;00401;Bra (CN) - Università di Scienze Gastronomiche;Piemonte;NORD-OVEST;4AR;Titolare di assegno di ricerca;F;32
2024;00401;Bra (CN) - Università di Scienze Gastronomiche;Piemonte;NORD-OVEST;4AR;Titolare di assegno di ricerca;M;38
2024;00701;Aosta - Università degli studi;Valle d'Aosta;NORD-OVEST;1PO;Prof. I fascia (ordinario);M;54
2024;00701;Aosta - Università degli studi;Valle d'Aosta;NORD-OVEST;1PO;Prof. I fascia (ordinario);F;58
2024;00701;Aosta - Università degli studi;Valle d'Aosta;NORD-OVEST;2PA;Prof. II fascia (associato);F;52
2024;00701;Aosta - Università degli studi;Valle d'Aosta;NORD-OVEST;2PA;Prof. II fascia (associato);M;57
2024;00701;Aosta - Università degli studi;Valle d'Aosta;NORD-OVEST;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo A;F;37
2024;00701;Aosta - Università degli studi;Valle d'Aosta;NORD-OVEST;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo A;M;34
2024;00701;Aosta - Università degli studi;Valle d'Aosta;NORD-OVEST;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo B;F;47
2024;00701;Aosta - Università degli studi;Valle d'Aosta;NORD-OVEST;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo B;M;38
2024;00701;Aosta - Università degli studi;Valle d'Aosta;NORD-OVEST;3RU;Ricercatore a tempo indeterminato;F;55
2024;00701;Aosta - Università degli studi;Valle d'Aosta;NORD-OVEST;3RU;Ricercatore a tempo indeterminato;M;58
2024;00701;Aosta - Università degli studi;Valle d'Aosta;NORD-OVEST;4AR;Titolare di assegno di ricerca;F;42
2024;00701;Aosta - Università degli studi;Valle d'Aosta;NORD-OVEST;4AR;Titolare di assegno di ricerca;M;36
2024;01001;Genova - Università degli studi;Liguria;NORD-OVEST;1PO;Prof. I fascia (ordinario);F;58
2024;01001;Genova - Università degli studi;Liguria;NORD-OVEST;1PO;Prof. I fascia (ordinario);M;58
2024;01001;Genova - Università degli studi;Liguria;NORD-OVEST;2PA;Prof. II fascia (associato);F;52
2024;01001;Genova - Università degli studi;Liguria;NORD-OVEST;2PA;Prof. II fascia (associato);M;51
2024;01001;Genova - Università degli studi;Liguria;NORD-OVEST;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo A;F;36
2024;01001;Genova - Università degli studi;Liguria;NORD-OVEST;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo A;M;37
2024;01001;Genova - Università degli studi;Liguria;NORD-OVEST;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo B;F;40
2024;01001;Genova - Università degli studi;Liguria;NORD-OVEST;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo B;M;40
2024;01001;Genova - Università degli studi;Liguria;NORD-OVEST;3RTD;Ricercatore a tempo determinato L. 79/2022;F;37
2024;01001;Genova - Università degli studi;Liguria;NORD-OVEST;3RTD;Ricercatore a tempo determinato L. 79/2022;M;44
2024;01001;Genova - Università degli studi;Liguria;NORD-OVEST;3RU;Ricercatore a tempo indeterminato;M;57
2024;01001;Genova - Università degli studi;Liguria;NORD-OVEST;3RU;Ricercatore a tempo indeterminato;F;56
2024;01001;Genova - Università degli studi;Liguria;NORD-OVEST;4AR;Titolare di assegno di ricerca;F;33
2024;01001;Genova - Università degli studi;Liguria;NORD-OVEST;4AR;Titolare di assegno di ricerca;M;33
2024;01201;"Castellanza - Università ""Carlo Cattaneo""";Lombardia;NORD-OVEST;1PO;Prof. I fascia (ordinario);F;57
2024;01201;"Castellanza - Università ""Carlo Cattaneo""";Lombardia;NORD-OVEST;1PO;Prof. I fascia (ordinario);M;58
2024;01201;"Castellanza - Università ""Carlo Cattaneo""";Lombardia;NORD-OVEST;2PA;Prof. II fascia (associato);F;55
2024;01201;"Castellanza - Università ""Carlo Cattaneo""";Lombardia;NORD-OVEST;2PA;Prof. II fascia (associato);M;52
2024;01201;"Castellanza - Università ""Carlo Cattaneo""";Lombardia;NORD-OVEST;3RTD;Ricercatore a tempo determinato L. 79/2022;F;36
2024;01201;"Castellanza - Università ""Carlo Cattaneo""";Lombardia;NORD-OVEST;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo A;F;34
2024;01201;"Castellanza - Università ""Carlo Cattaneo""";Lombardia;NORD-OVEST;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo A;M;36
2024;01201;"Castellanza - Università ""Carlo Cattaneo""";Lombardia;NORD-OVEST;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo B;F;43
2024;01201;"Castellanza - Università ""Carlo Cattaneo""";Lombardia;NORD-OVEST;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo B;M;35
2024;01201;"Castellanza - Università ""Carlo Cattaneo""";Lombardia;NORD-OVEST;3RU;Ricercatore a tempo indeterminato;M;50
2024;01201;"Castellanza - Università ""Carlo Cattaneo""";Lombardia;NORD-OVEST;4AR;Titolare di assegno di ricerca;F;32
2024;01201;"Castellanza - Università ""Carlo Cattaneo""";Lombardia;NORD-OVEST;4AR;Titolare di assegno di ricerca;M;31
2024;01202;Varese - Università dell' Insubria;Lombardia;NORD-OVEST;1PO;Prof. I fascia (ordinario);F;57
2024;01202;Varese - Università dell' Insubria;Lombardia;NORD-OVEST;1PO;Prof. I fascia (ordinario);M;60
2024;01202;Varese - Università dell' Insubria;Lombardia;NORD-OVEST;2PA;Prof. II fascia (associato);F;52
2024;01202;Varese - Università dell' Insubria;Lombardia;NORD-OVEST;2PA;Prof. II fascia (associato);M;54
2024;01202;Varese - Università dell' Insubria;Lombardia;NORD-OVEST;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo B;M;39
2024;01202;Varese - Università dell' Insubria;Lombardia;NORD-OVEST;3RTD;Ricercatore a tempo determinato L. 79/2022;F;40
2024;01202;Varese - Università dell' Insubria;Lombardia;NORD-OVEST;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo B;F;44
2024;01202;Varese - Università dell' Insubria;Lombardia;NORD-OVEST;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo A;M;37
2024;01202;Varese - Università dell' Insubria;Lombardia;NORD-OVEST;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo A;F;39
2024;01202;Varese - Università dell' Insubria;Lombardia;NORD-OVEST;3RTD;Ricercatore a tempo determinato L. 79/2022;M;37
2024;01202;Varese - Università dell' Insubria;Lombardia;NORD-OVEST;3RU;Ricercatore a tempo indeterminato;F;56
2024;01202;Varese - Università dell' Insubria;Lombardia;NORD-OVEST;3RU;Ricercatore a tempo indeterminato;M;58
2024;01202;Varese - Università dell' Insubria;Lombardia;NORD-OVEST;4AR;Titolare di assegno di ricerca;F;35
2024;01202;Varese - Università dell' Insubria;Lombardia;NORD-OVEST;4AR;Titolare di assegno di ricerca;M;34
2024;01301;"Novedrate (CO) - Università telematica ""e-Campus""";Lombardia;NORD-OVEST;1PO;Prof. I fascia (ordinario);F;60
2024;01301;"Novedrate (CO) - Università telematica ""e-Campus""";Lombardia;NORD-OVEST;1PO;Prof. I fascia (ordinario);M;52
2024;01301;"Novedrate (CO) - Università telematica ""e-Campus""";Lombardia;NORD-OVEST;2PA;Prof. II fascia (associato);M;46
2024;01301;"Novedrate (CO) - Università telematica ""e-Campus""";Lombardia;NORD-OVEST;2PA;Prof. II fascia (associato);F;47
2024;01301;"Novedrate (CO) - Università telematica ""e-Campus""";Lombardia;NORD-OVEST;3RTD;Ricercatore a tempo determinato L. 79/2022;M;43
2024;01301;"Novedrate (CO) - Università telematica ""e-Campus""";Lombardia;NORD-OVEST;3RTD;Ricercatore a tempo determinato L. 79/2022;F;43
2024;01301;"Novedrate (CO) - Università telematica ""e-Campus""";Lombardia;NORD-OVEST;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo A;F;42
2024;01301;"Novedrate (CO) - Università telematica ""e-Campus""";Lombardia;NORD-OVEST;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo A;M;44
2024;01301;"Novedrate (CO) - Università telematica ""e-Campus""";Lombardia;NORD-OVEST;3RU;Ricercatore a tempo indeterminato;M;47
2024;01301;"Novedrate (CO) - Università telematica ""e-Campus""";Lombardia;NORD-OVEST;4AR;Titolare di assegno di ricerca;F;34
2024;01301;"Novedrate (CO) - Università telematica ""e-Campus""";Lombardia;NORD-OVEST;4AR;Titolare di assegno di ricerca;M;32
2024;01501;Milano - Università degli studi;Lombardia;NORD-OVEST;1PO;Prof. I fascia (ordinario);F;59
2024;01501;Milano - Università degli studi;Lombardia;NORD-OVEST;1PO;Prof. I fascia (ordinario);M;59
2024;01501;Milano - Università degli studi;Lombardia;NORD-OVEST;2PA;Prof. II fascia (associato);F;51
2024;01501;Milano - Università degli studi;Lombardia;NORD-OVEST;2PA;Prof. II fascia (associato);M;51
2024;01501;Milano - Università degli studi;Lombardia;NORD-OVEST;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo A;F;39
2024;01501;Milano - Università degli studi;Lombardia;NORD-OVEST;3RTD;Ricercatore a tempo determinato L. 79/2022;M;39
2024;01501;Milano - Università degli studi;Lombardia;NORD-OVEST;3RTD;Ricercatore a tempo determinato L. 79/2022;F;39
2024;01501;Milano - Università degli studi;Lombardia;NORD-OVEST;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo B;M;40
2024;01501;Milano - Università degli studi;Lombardia;NORD-OVEST;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo A;M;38
2024;01501;Milano - Università degli studi;Lombardia;NORD-OVEST;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo B;F;41
2024;01501;Milano - Università degli studi;Lombardia;NORD-OVEST;3RU;Ricercatore a tempo indeterminato;F;58
2024;01501;Milano - Università degli studi;Lombardia;NORD-OVEST;3RU;Ricercatore a tempo indeterminato;M;58
2024;01501;Milano - Università degli studi;Lombardia;NORD-OVEST;4AR;Titolare di assegno di ricerca;F;32
2024;01501;Milano - Università degli studi;Lombardia;NORD-OVEST;4AR;Titolare di assegno di ricerca;M;32
2024;01502;Milano - Politecnico;Lombardia;NORD-OVEST;1PO;Prof. I fascia (ordinario);F;57
2024;01502;Milano - Politecnico;Lombardia;NORD-OVEST;1PO;Prof. I fascia (ordinario);M;57
2024;01502;Milano - Politecnico;Lombardia;NORD-OVEST;2PA;Prof. II fascia (associato);F;51
2024;01502;Milano - Politecnico;Lombardia;NORD-OVEST;2PA;Prof. II fascia (associato);M;50
2024;01502;Milano - Politecnico;Lombardia;NORD-OVEST;3RTD;Ricercatore a tempo determinato L. 79/2022;M;36
2024;01502;Milano - Politecnico;Lombardia;NORD-OVEST;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo A;F;36
2024;01502;Milano - Politecnico;Lombardia;NORD-OVEST;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo A;M;35
2024;01502;Milano - Politecnico;Lombardia;NORD-OVEST;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo B;F;41
2024;01502;Milano - Politecnico;Lombardia;NORD-OVEST;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo B;M;40
2024;01502;Milano - Politecnico;Lombardia;NORD-OVEST;3RTD;Ricercatore a tempo determinato L. 79/2022;F;38
2024;01502;Milano - Politecnico;Lombardia;NORD-OVEST;3RU;Ricercatore a tempo indeterminato;F;57
2024;01502;Milano - Politecnico;Lombardia;NORD-OVEST;3RU;Ricercatore a tempo indeterminato;M;56
2024;01502;Milano - Politecnico;Lombardia;NORD-OVEST;4AR;Titolare di assegno di ricerca;F;31
2024;01502;Milano - Politecnico;Lombardia;NORD-OVEST;4AR;Titolare di assegno di ricerca;M;30
2024;01503;"Milano - Università commerciale ""Luigi Bocconi""";Lombardia;NORD-OVEST;1PO;Prof. I fascia (ordinario);F;54
2024;01503;"Milano - Università commerciale ""Luigi Bocconi""";Lombardia;NORD-OVEST;1PO;Prof. I fascia (ordinario);M;57
2024;01503;"Milano - Università commerciale ""Luigi Bocconi""";Lombardia;NORD-OVEST;2PA;Prof. II fascia (associato);F;52
2024;01503;"Milano - Università commerciale ""Luigi Bocconi""";Lombardia;NORD-OVEST;2PA;Prof. II fascia (associato);M;52
2024;01503;"Milano - Università commerciale ""Luigi Bocconi""";Lombardia;NORD-OVEST;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo B;M;39
2024;01503;"Milano - Università commerciale ""Luigi Bocconi""";Lombardia;NORD-OVEST;3RTD;Ricercatore a tempo determinato L. 79/2022;F;37
2024;01503;"Milano - Università commerciale ""Luigi Bocconi""";Lombardia;NORD-OVEST;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo A;M;34
2024;01503;"Milano - Università commerciale ""Luigi Bocconi""";Lombardia;NORD-OVEST;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo A;F;36
2024;01503;"Milano - Università commerciale ""Luigi Bocconi""";Lombardia;NORD-OVEST;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo B;F;42
2024;01503;"Milano - Università commerciale ""Luigi Bocconi""";Lombardia;NORD-OVEST;3RTD;Ricercatore a tempo determinato L. 79/2022;M;37
2024;01503;"Milano - Università commerciale ""Luigi Bocconi""";Lombardia;NORD-OVEST;3RU;Ricercatore a tempo indeterminato;F;57
2024;01503;"Milano - Università commerciale ""Luigi Bocconi""";Lombardia;NORD-OVEST;3RU;Ricercatore a tempo indeterminato;M;58
2024;01503;"Milano - Università commerciale ""Luigi Bocconi""";Lombardia;NORD-OVEST;4AR;Titolare di assegno di ricerca;F;33
2024;01503;"Milano - Università commerciale ""Luigi Bocconi""";Lombardia;NORD-OVEST;4AR;Titolare di assegno di ricerca;M;32
2024;01504;"Milano - Università Cattolica del ""Sacro Cuore""";Lombardia;NORD-OVEST;1PO;Prof. I fascia (ordinario);F;58
2024;01504;"Milano - Università Cattolica del ""Sacro Cuore""";Lombardia;NORD-OVEST;1PO;Prof. I fascia (ordinario);M;59
2024;01504;"Milano - Università Cattolica del ""Sacro Cuore""";Lombardia;NORD-OVEST;2PA;Prof. II fascia (associato);M;54
2024;01504;"Milano - Università Cattolica del ""Sacro Cuore""";Lombardia;NORD-OVEST;2PA;Prof. II fascia (associato);F;53
2024;01504;"Milano - Università Cattolica del ""Sacro Cuore""";Lombardia;NORD-OVEST;3RTD;Ricercatore a tempo determinato L. 79/2022;M;42
2024;01504;"Milano - Università Cattolica del ""Sacro Cuore""";Lombardia;NORD-OVEST;3RTD;Ricercatore a tempo determinato L. 79/2022;F;45
2024;01504;"Milano - Università Cattolica del ""Sacro Cuore""";Lombardia;NORD-OVEST;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo B;M;44
2024;01504;"Milano - Università Cattolica del ""Sacro Cuore""";Lombardia;NORD-OVEST;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo B;F;43
2024;01504;"Milano - Università Cattolica del ""Sacro Cuore""";Lombardia;NORD-OVEST;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo A;F;40
2024;01504;"Milano - Università Cattolica del ""Sacro Cuore""";Lombardia;NORD-OVEST;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo A;M;38
2024;01504;"Milano - Università Cattolica del ""Sacro Cuore""";Lombardia;NORD-OVEST;3RU;Ricercatore a tempo indeterminato;F;58
2024;01504;"Milano - Università Cattolica del ""Sacro Cuore""";Lombardia;NORD-OVEST;3RU;Ricercatore a tempo indeterminato;M;59
2024;01504;"Milano - Università Cattolica del ""Sacro Cuore""";Lombardia;NORD-OVEST;4AR;Titolare di assegno di ricerca;F;33
2024;01504;"Milano - Università Cattolica del ""Sacro Cuore""";Lombardia;NORD-OVEST;4AR;Titolare di assegno di ricerca;M;35
2024;01505;Milano - Libera Università di Lingue e Comunicazione (IULM);Lombardia;NORD-OVEST;1PO;Prof. I fascia (ordinario);M;58
2024;01505;Milano - Libera Università di Lingue e Comunicazione (IULM);Lombardia;NORD-OVEST;1PO;Prof. I fascia (ordinario);F;57
2024;01505;Milano - Libera Università di Lingue e Comunicazione (IULM);Lombardia;NORD-OVEST;2PA;Prof. II fascia (associato);M;53
2024;01505;Milano - Libera Università di Lingue e Comunicazione (IULM);Lombardia;NORD-OVEST;2PA;Prof. II fascia (associato);F;52
2024;01505;Milano - Libera Università di Lingue e Comunicazione (IULM);Lombardia;NORD-OVEST;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo A;F;38
2024;01505;Milano - Libera Università di Lingue e Comunicazione (IULM);Lombardia;NORD-OVEST;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo A;M;47
2024;01505;Milano - Libera Università di Lingue e Comunicazione (IULM);Lombardia;NORD-OVEST;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo B;F;46
2024;01505;Milano - Libera Università di Lingue e Comunicazione (IULM);Lombardia;NORD-OVEST;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo B;M;43
2024;01505;Milano - Libera Università di Lingue e Comunicazione (IULM);Lombardia;NORD-OVEST;3RTD;Ricercatore a tempo determinato L. 79/2022;F;38
2024;01505;Milano - Libera Università di Lingue e Comunicazione (IULM);Lombardia;NORD-OVEST;3RTD;Ricercatore a tempo determinato L. 79/2022;M;44
2024;01505;Milano - Libera Università di Lingue e Comunicazione (IULM);Lombardia;NORD-OVEST;3RU;Ricercatore a tempo indeterminato;F;55
2024;01505;Milano - Libera Università di Lingue e Comunicazione (IULM);Lombardia;NORD-OVEST;3RU;Ricercatore a tempo indeterminato;M;55
2024;01505;Milano - Libera Università di Lingue e Comunicazione (IULM);Lombardia;NORD-OVEST;4AR;Titolare di assegno di ricerca;F;38
2024;01505;Milano - Libera Università di Lingue e Comunicazione (IULM);Lombardia;NORD-OVEST;4AR;Titolare di assegno di ricerca;M;40
2024;01508;Milano - Università Vita-Salute San Raffaele;Lombardia;NORD-OVEST;1PO;Prof. I fascia (ordinario);M;61
2024;01508;Milano - Università Vita-Salute San Raffaele;Lombardia;NORD-OVEST;1PO;Prof. I fascia (ordinario);F;61
2024;01508;Milano - Università Vita-Salute San Raffaele;Lombardia;NORD-OVEST;2PA;Prof. II fascia (associato);F;51
2024;01508;Milano - Università Vita-Salute San Raffaele;Lombardia;NORD-OVEST;2PA;Prof. II fascia (associato);M;54
2024;01508;Milano - Università Vita-Salute San Raffaele;Lombardia;NORD-OVEST;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo A;F;39
2024;01508;Milano - Università Vita-Salute San Raffaele;Lombardia;NORD-OVEST;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo A;M;39
2024;01508;Milano - Università Vita-Salute San Raffaele;Lombardia;NORD-OVEST;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo B;F;40
2024;01508;Milano - Università Vita-Salute San Raffaele;Lombardia;NORD-OVEST;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo B;M;40
2024;01508;Milano - Università Vita-Salute San Raffaele;Lombardia;NORD-OVEST;3RTD;Ricercatore a tempo determinato L. 79/2022;F;41
2024;01508;Milano - Università Vita-Salute San Raffaele;Lombardia;NORD-OVEST;3RTD;Ricercatore a tempo determinato L. 79/2022;M;38
2024;01508;Milano - Università Vita-Salute San Raffaele;Lombardia;NORD-OVEST;3RU;Ricercatore a tempo indeterminato;M;59
2024;01508;Milano - Università Vita-Salute San Raffaele;Lombardia;NORD-OVEST;4AR;Titolare di assegno di ricerca;M;32
