Indicator 3,"Qualification requirement to enter the profession, by ISCED level",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42
Teachers,Minimum,2021/2022,ISCED 02,ISCED 6,ISCED 6,ISCED 6,ISCED 6,ISCED 3,ISCED 6,ISCED 6,ISCED 6,ISCED 4,ISCED 6,ISCED 6,ISCED 7,ISCED 6,ISCED 7,ISCED 6,ISCED 5,ISCED 6,ISCED 6,ISCED 6,ISCED 4,ISCED 6,ISCED 5,ISCED 5,ISCED 7,ISCED 3,ISCED 6,ISCED 3,ISCED 6,ISCED 6,ISCED 6,ISCED 6,ISCED 6,ISCED 7,ISCED 6,ISCED 6,ISCED 6,ISCED 6,ISCED 6,ISCED 6
Teachers,Minimum,2021/2022,ISCED 1,ISCED 6,ISCED 6,ISCED 6,ISCED 6,ISCED 7,ISCED 6,ISCED 7,ISCED 7,ISCED 6,ISCED 6,ISCED 6,ISCED 7,ISCED 6,ISCED 7,ISCED 6,ISCED 6,ISCED 6,ISCED 6,ISCED 6,ISCED 6,ISCED 6,ISCED 6,ISCED 5,ISCED 7,ISCED 3,ISCED 7,ISCED 7,ISCED 7,ISCED 7,ISCED 6,ISCED 6,ISCED 6,ISCED 7,ISCED 6,ISCED 6,ISCED 6,ISCED 6,ISCED 7,ISCED 6
Teachers,Minimum,2021/2022,ISCED 24,ISCED 6,ISCED 6,ISCED 6,ISCED 6,ISCED 7,ISCED 6,ISCED 7,ISCED 7,ISCED 6,ISCED 6,ISCED 7,ISCED 7,ISCED 6,ISCED 7,ISCED 6,ISCED 6,ISCED 6,ISCED 7,ISCED 7,ISCED 6,ISCED 6,ISCED 6,ISCED 5,ISCED 7,ISCED 6,ISCED 7,ISCED 7,ISCED 7,ISCED 7,ISCED 6,ISCED 6,ISCED 7,ISCED 7,ISCED 7,ISCED 6,ISCED 6,ISCED 6,ISCED 7,ISCED 6
Teachers,Minimum,2021/2022,ISCED 34,ISCED 6,ISCED 7,ISCED 6,ISCED 6,ISCED 7,ISCED 7,ISCED 7,ISCED 7,ISCED 6,ISCED 6,ISCED 7,ISCED 7,ISCED 7,ISCED 7,ISCED 6,ISCED 6,ISCED 6,ISCED 7,ISCED 7,ISCED 6,ISCED 7,ISCED 6,ISCED 7,ISCED 7,ISCED 6,ISCED 7,ISCED 7,ISCED 7,ISCED 7,ISCED 6,ISCED 6,ISCED 7,ISCED 7,ISCED 7,ISCED 6,ISCED 6,ISCED 6,ISCED 7,ISCED 6
Teachers,Higher (if most common),2021/2022,ISCED 02,a,,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,ISCED 7,a,ISCED 6,a,a,a,a,a,a,a,a,a,a,a,a,a,a
Teachers,Higher (if most common),2021/2022,ISCED 1,a,,a,a,a,a,a,a,a,a,a,a,ISCED 7,a,a,a,a,a,a,a,a,a,ISCED 7,a,ISCED 6,a,a,a,a,a,a,a,a,a,a,a,a,a,a
Teachers,Higher (if most common),2021/2022,ISCED 24,a,,a,a,a,a,a,a,a,a,a,a,ISCED 7,a,a,a,a,a,a,a,a,a,ISCED 7,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a
Teachers,Higher (if most common),2021/2022,ISCED 34,ISCED 7,,ISCED 7,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,ISCED 7,a,a
Teachers,Other (if different from minimum and most common),2021/2022,ISCED 02,ISCED 7,:,a,"a
",a,a,a,a,a,a,a,ISCED 7,ISCED 7,a,a,a,a,a,a,ISCED 6,a,:,ISCED 7,a,:,a,ISCED 7,a,a,:,:,a,a,:,a,a,a,:,ISCED 7
Teachers,Other (if different from minimum and most common),2021/2022,ISCED 1,ISCED 7,:,a,"ISCED 8
",a,a,a,a,a,a,a,ISCED 7,ISCED 7,a,a,a,a,a,a,:,a,a,ISCED 7,a,:,a,a,a,a,:,:,a,a,:,a,a,ISCED 7,:,ISCED 7
Teachers,Other (if different from minimum and most common),2021/2022,ISCED 24,ISCED 7,:,ISCED 7,"ISCED 8
",a,a,a,a,a,a,a,ISCED 7,ISCED 7,a,a,a,a,a,a,:,a,a,ISCED 7,a,:,a,a,a,a,:,:,a,a,:,a,a,ISCED 7,:,ISCED 7
Teachers,Other (if different from minimum and most common),2021/2022,ISCED 34,ISCED 7,:,ISCED 7,"ISCED 8
",a,a,a,a,a,a,a,ISCED 7,ISCED 7,a,a,a,a,a,a,:,a,a,ISCED 7,a,:,a,a,a,a,:,:,a,a,:,a,a,ISCED 7,:,ISCED 7
Teachers,Minimum,2022/2023,ISCED 02,ISCED 6,ISCED 6,ISCED 6,ISCED 6,ISCED 3,ISCED 6,ISCED 6,ISCED 6,ISCED 4,ISCED 6,ISCED 6,ISCED 7,ISCED 6,ISCED 7,ISCED 6,ISCED 5,ISCED 6,ISCED 6,ISCED 6,ISCED 4,ISCED 6,ISCED 5,ISCED 5,ISCED 7,ISCED 3,ISCED 6,ISCED 3,ISCED 6,ISCED 6,ISCED 6,ISCED 6,ISCED 6,ISCED 7,ISCED 6,ISCED 6,ISCED 6,ISCED 6,ISCED 6,ISCED 6
Teachers,Minimum,2022/2023,ISCED 1,ISCED 6,ISCED 6,ISCED 6,ISCED 6,ISCED 7,ISCED 6,ISCED 7,ISCED 7,ISCED 6,ISCED 6,ISCED 6,ISCED 7,ISCED 6,ISCED 7,ISCED 6,ISCED 6,ISCED 6,ISCED 6,ISCED 6,ISCED 6,ISCED 6,ISCED 6,ISCED 5,ISCED 7,ISCED 3,ISCED 7,ISCED 7,ISCED 7,ISCED 7,ISCED 6,ISCED 6,ISCED 6,ISCED 7,ISCED 6,ISCED 6,ISCED 6,ISCED 6,ISCED 7,ISCED 6
Teachers,Minimum,2022/2023,ISCED 24,ISCED 6,ISCED 6,ISCED 6,ISCED 6,ISCED 7,ISCED 6,ISCED 7,ISCED 7,ISCED 6,ISCED 6,ISCED 7,ISCED 7,ISCED 6,ISCED 7,ISCED 6,ISCED 6,ISCED 6,ISCED 7,ISCED 6,ISCED 6,ISCED 6,ISCED 6,ISCED 5,ISCED 7,ISCED 6,ISCED 7,ISCED 7,ISCED 7,ISCED 7,ISCED 6,ISCED 6,ISCED 7,ISCED 7,ISCED 7,ISCED 6,ISCED 6,ISCED 6,ISCED 7,ISCED 6
Teachers,Minimum,2022/2023,ISCED 34,ISCED 6,ISCED 7,ISCED 6,ISCED 6,ISCED 7,ISCED 7,ISCED 7,ISCED 7,ISCED 6,ISCED 6,ISCED 7,ISCED 7,ISCED 7,ISCED 7,ISCED 6,ISCED 6,ISCED 6,ISCED 7,ISCED 7,ISCED 6,ISCED 7,ISCED 6,ISCED 7,ISCED 7,ISCED 6,ISCED 7,ISCED 7,ISCED 7,ISCED 7,ISCED 6,ISCED 6,ISCED 7,ISCED 7,ISCED 7,ISCED 6,ISCED 6,ISCED 6,ISCED 7,ISCED 6
Teachers,Higher (if most common),2022/2023,ISCED 02,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,ISCED 5,a,a,ISCED 7,a,ISCED 6,a,a,a,a,a,a,a,a,a,a,a,a,a,a
Teachers,Higher (if most common),2022/2023,ISCED 1,a,a,a,a,a,a,a,a,a,a,a,a,ISCED 7,a,a,a,a,a,a,a,a,a,ISCED 7,a,ISCED 6,a,a,a,a,a,a,a,a,a,a,a,ISCED 6,a,a
Teachers,Higher (if most common),2022/2023,ISCED 24,a,a,a,a,a,a,a,a,a,a,a,a,ISCED 7,a,a,a,a,a,ISCED 7,a,a,a,ISCED 7,a,a,a,a,a,a,a,a,a,a,ISCED 7,a,a,ISCED 6,a,a
Teachers,Higher (if most common),2022/2023,ISCED 34,ISCED 7,a,ISCED 7,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,ISCED 7,a,a
Teachers,Other (if different from minimum and most common),2022/2023,ISCED 02,ISCED 7,a,ISCED 6,ISCED 8,ISCED 3,ISCED 6,ISCED 6,ISCED 6,ISCED 4,ISCED 6,ISCED 6,ISCED 7,ISCED 7,ISCED 7,a,ISCED 5,ISCED 6,ISCED 6,ISCED 6,ISCED 6,ISCED 6,:,ISCED 7,ISCED 7,ISCED 6,ISCED 6,ISCED 7,ISCED 6,ISCED 6,a,ISCED 7,ISCED 6,ISCED 7,a,ISCED 8,ISCED 6,ISCED 6,(a) not applicable,ISCED 8
Teachers,Other (if different from minimum and most common),2022/2023,ISCED 1,ISCED 7,a,ISCED 6,ISCED 8,ISCED 7,ISCED 6,ISCED 7,ISCED 7,ISCED 6,ISCED 6,ISCED 6,ISCED 7,ISCED 7,ISCED 7,a,ISCED 6,ISCED 6,ISCED 6,ISCED 6,a,ISCED 6,ISCED 6,ISCED 7,ISCED 7,ISCED 6,ISCED 7,ISCED 7,ISCED 7,ISCED 7,a,ISCED 7,ISCED 6,ISCED 7,a,ISCED 8,ISCED 6,ISCED 7,(a) not applicable,ISCED 8
Teachers,Other (if different from minimum and most common),2022/2023,ISCED 24,ISCED 7,a,ISCED 7,ISCED 8,ISCED 7,ISCED 6,ISCED 7,ISCED 7,ISCED 6,ISCED 6,ISCED 7,ISCED 7,ISCED 7,ISCED 7,a,ISCED 6,ISCED 6,ISCED 7,ISCED 7,a,ISCED 6,ISCED 6,ISCED 7,ISCED 7,ISCED 6,ISCED 7,ISCED 7,ISCED 7,ISCED 7,a,ISCED 7,ISCED 7,ISCED 7,a,ISCED 8,ISCED 6,ISCED 7,(a) not applicable,ISCED 8
Teachers,Other (if different from minimum and most common),2022/2023,ISCED 34,ISCED 7,a,ISCED 7,ISCED 8,ISCED 7,ISCED 7,ISCED 7,ISCED 7,ISCED 6,ISCED 6,ISCED 7,ISCED 7,ISCED 7,ISCED 7,a,ISCED 6,ISCED 6,ISCED 7,ISCED 7,a,ISCED 7,ISCED 6,ISCED 7,ISCED 7,ISCED 6,ISCED 7,ISCED 7,ISCED 7,ISCED 7,a,ISCED 7,ISCED 7,ISCED 7,a,ISCED 8,ISCED 6,ISCED 7,(a) not applicable,ISCED 8
Teachers,Minimum,2023/2024,ISCED 02,ISCED 6,ISCED 6,ISCED 6,ISCED 6,ISCED 3,ISCED 6,ISCED 6,ISCED 6,ISCED 4,ISCED 6,ISCED 6,ISCED 7,ISCED 6,ISCED 7,ISCED 6,ISCED 5,ISCED 6,ISCED 6,ISCED 6,ISCED 4,ISCED 6,ISCED 5,ISCED 6,ISCED 7,ISCED 3,ISCED 6,ISCED 3,ISCED 6,ISCED 6,ISCED 6,ISCED 6,ISCED 6,ISCED 7,ISCED 6,ISCED 6,:,ISCED 6,ISCED 6,ISCED 6
Teachers,Minimum,2023/2024,ISCED 1,ISCED 6,ISCED 6,ISCED 6,ISCED 6,ISCED 7,ISCED 6,ISCED 7,ISCED 7,ISCED 6,ISCED 6,ISCED 6,ISCED 7,ISCED 6,ISCED 7,ISCED 6,ISCED 6,ISCED 6,ISCED 6,ISCED 6,ISCED 6,ISCED 6,ISCED 6,ISCED 6,ISCED 7,ISCED 3,ISCED 7,ISCED 7,ISCED 7,ISCED 7,ISCED 6,ISCED 6,ISCED 6,ISCED 7,ISCED 6,ISCED 6,:,ISCED 7,ISCED 7,ISCED 6
Teachers,Minimum,2023/2024,ISCED 24,ISCED 6,ISCED 6,ISCED 6,ISCED 6,ISCED 7,ISCED 6,ISCED 7,ISCED 7,ISCED 6,ISCED 6,ISCED 7,ISCED 7,ISCED 6,ISCED 7,ISCED 6,ISCED 6,ISCED 6,ISCED 7,ISCED 6,ISCED 6,ISCED 6,ISCED 6,ISCED 6,ISCED 7,ISCED 6,ISCED 7,ISCED 7,ISCED 7,ISCED 7,ISCED 6,ISCED 6,ISCED 7,ISCED 7,ISCED 7,ISCED 6,:,ISCED 7,ISCED 7,ISCED 6
Teachers,Minimum,2023/2024,ISCED 34,ISCED 6,ISCED 7,ISCED 6,ISCED 6,ISCED 7,ISCED 7,ISCED 7,ISCED 7,ISCED 6,ISCED 6,ISCED 7,ISCED 7,ISCED 7,ISCED 7,ISCED 6,ISCED 6,ISCED 6,ISCED 7,ISCED 7,ISCED 6,ISCED 7,ISCED 6,ISCED 7,ISCED 7,ISCED 6,ISCED 7,ISCED 7,ISCED 7,ISCED 7,ISCED 6,ISCED 6,ISCED 7,ISCED 7,ISCED 7,ISCED 6,:,ISCED 7,ISCED 7,ISCED 6
Teachers,Higher (if most common),2023/2024,ISCED 02,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,ISCED 5,a,a,a,a,ISCED 6,a,a,a,a,a,a,a,a,a,a,0,a,a,a,a
Teachers,Higher (if most common),2023/2024,ISCED 1,a,a,a,a,a,a,a,a,a,a,a,ISCED 7,a,a,a,a,a,a,a,a,a,a,a,ISCED 6,a,a,a,a,a,a,a,a,a,a,0,a,a,a,a
Teachers,Higher (if most common),2023/2024,ISCED 24,a,a,a,a,a,a,a,a,a,a,a,ISCED 7,a,a,a,a,a,ISCED 7,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,0,a,a,a,a
Teachers,Higher (if most common),2023/2024,ISCED 34,ISCED 7,ISCED 7,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,0,ISCED 7,a,a,a
Teachers,Other (if different from minimum and most common),2023/2024,ISCED 02,ISCED 7,a,ISCED 8,a,a,a,a,:,a,a,a,a,a,a,a,a,a,a,ISCED 6,a,:,a,a,a,a,ISCED 7,a,a,ISCED 7,ISCED 7,a,a,a,ISCED 8,0,a,a,ISCED 8,ISCED 8
Teachers,Other (if different from minimum and most common),2023/2024,ISCED 1,ISCED 7,a,ISCED 8,a,a,a,a,:,a,a,a,a,a,a,a,a,a,a,a,a,ISCED 7,ISCED 7,a,a,a,a,a,a,ISCED 7,ISCED 7,a,a,a,ISCED 8,0,ISCED 7,a,ISCED 8,ISCED 8
Teachers,Other (if different from minimum and most common),2023/2024,ISCED 24,ISCED 7,ISCED 7,ISCED 8,a,a,a,a,:,a,a,ISCED 7,a,a,a,a,a,a,a,a,a,ISCED 7,ISCED 7,a,a,a,a,a,a,ISCED 7,ISCED 7,a,a,a,ISCED 8,0,ISCED 7,a,ISCED 8,ISCED 8
Teachers,Other (if different from minimum and most common),2023/2024,ISCED 34,a,a,ISCED 8,a,a,a,a,:,a,a,ISCED 7,a,a,a,a,a,a,a,a,a,ISCED 7,ISCED 7,a,a,a,a,a,a,ISCED 7,ISCED 7,a,a,a,ISCED 8,0,a,a,ISCED 8,ISCED 8
