ANNOSCOLASTICO,AREAGEOGRAFICA,REGIONE,PROVINCIA,CODICEISTITUTORIFERIMENTO,DENOMINAZIONEISTITUTORIFERIMENTO,CODICESCUOLA,DENOMINAZIONESCUOLA,INDIRIZZOSCUOLA,CAPSCUOLA,CODICECOMUNESCUOLA,DESCRIZIONECOMUNE,DESCRIZIONECARATTERISTICASCUOLA,DESCRIZIONETIPOLOGIAGRADOISTRUZIONESCUOLA,INDICAZIONESEDEDIRETTIVO,INDICAZIONESEDEOMNICOMPRENSIVO,INDIRIZZOEMAILSCUOLA,INDIRIZZOPECSCUOLA,SITOWEBSCUOLA,SEDESCOLASTICA,CAP,average_income_per_capita,income_clean,taxpayers,Track_Type
202526,ISOLE,SICILIA,CATANIA,CTIC856009,IC GIOVANNI VERGA - VIAGRANDE,CTAA85605A,PIAZZA CHIESA ANTICA,P.ZZA CHIESA ANTICA,95029,L828,VIAGRANDE,NORMALE,SCUOLA INFANZIA,NO,Non Disponibile,CTIC856009@istruzione.it,Non Disponibile,www.vergaviagrande.gov.it,NO,,,,,Primaria/Infanzia
202526,ISOLE,SICILIA,CATANIA,CTIC8AZ00A,"II IST. COMPRENSIVO ""S.G.BOSCO""",CTEE8AZ06N,LAMBRUSCHINI,VIA STRADA 17 -,95010,E017,GIARRE,NORMALE,SCUOLA PRIMARIA,NO,Non Disponibile,CTIC8AZ00A@istruzione.it,Non Disponibile,www.secondoicgiarre.gov.it,NO,,,,,Primaria/Infanzia
202526,ISOLE,SICILIA,CATANIA,CTIC894004,IC MALERBA CATANIA,CTAA894011,VIA PIDATELLA (EX P. PERGOLESI),VIA PIDATELLA N. 127,95126,C351,CATANIA,NORMALE,SCUOLA INFANZIA,NO,Non Disponibile,CTIC894004@istruzione.it,Non Disponibile,www.icmalerba.edu.it,NO,95126,23583.85132765531,376586938.0,15968.0,Primaria/Infanzia
202526,ISOLE,SICILIA,CATANIA,CTIC82600D,I.C. VERGA FIUMEFREDDO,CTAA82606G,PLESSO PIEMONTE,VIA ETNA S.N.,95013,D623,FIUMEFREDDO DI SICILIA,NORMALE,SCUOLA INFANZIA,NO,Non Disponibile,CTIC82600D@istruzione.it,Non Disponibile,www.icvergafiumefreddodisicilia.it,NO,,,,,Primaria/Infanzia
202526,ISOLE,SICILIA,CATANIA,CTIS053002,IIS LEONARDO,CTIS053002,IIS LEONARDO,VIA VENETO 91,95014,E017,GIARRE,NORMALE,ISTITUTO SUPERIORE,SI,Non Disponibile,CTIS053002@istruzione.it,CTIS053002@pec.istruzione.it,www.liceoleonardo.edu.it,NO,,,,,Altro
202526,ISOLE,SICILIA,CATANIA,CTIC88900L,IC P. PIO DA PIETRALCINA MISTER,CTMM88901N,PADRE PIO DA PIETRALCINA,VIA FERRARA S.N.,95045,F250,MISTERBIANCO,NORMALE,SCUOLA PRIMO GRADO,NO,Non Disponibile,CTIC88900L@istruzione.it,Non Disponibile,www.icspadrepio-misterbianco.edu.it/,NO,,,,,Medie
202526,ISOLE,SICILIA,CATANIA,CTIS007008,I.S.I.S. D. ABRUZZI POLITECNICO DEL MARE,CTRM00701B,C. COLOMBO,VIALE ARTALE ALAGONA 99,95126,C351,CATANIA,NORMALE,IST PROF INDUSTRIA E ATTIVITA' MARINARE,NO,Non Disponibile,CTIS007008@istruzione.it,Non Disponibile,WWW.POLITECNICODELMARE.EDU.IT,NO,95126,23583.85132765531,376586938.0,15968.0,Altro
202526,ISOLE,SICILIA,CATANIA,CTIC80900Q,I.C. E. DE AMICIS MIRABELLA I.,CTAA80902N,SCUOLA MATERNA STATALE,VIA DON PAOLO FIRARELLO1,95040,H805,SAN CONO,NORMALE,SCUOLA INFANZIA,NO,Non Disponibile,CTIC80900Q@istruzione.it,Non Disponibile,icmirabella.it,NO,,,,,Primaria/Infanzia
202526,ISOLE,SICILIA,CATANIA,CTIC89800B,I.C. DIAZ - MANZONI CATANIA,CTEE89803G,VIA MACALLE',VIA MACALLE' N. 19,95124,C351,CATANIA,NORMALE,SCUOLA PRIMARIA,NO,Non Disponibile,CTIC89800B@istruzione.it,Non Disponibile,www.scuoladiazcatania.it,NO,95124,21758.67941040995,236190465.0,10855.0,Primaria/Infanzia
202526,ISOLE,SICILIA,CATANIA,CTIC860001,IC F.DE ROBERTO -ZAFFERANA,CTAA860063,MALOPASSO,VIA POGGIO FELICE 114/B,95019,M139,ZAFFERANA ETNEA,NORMALE,SCUOLA INFANZIA,NO,Non Disponibile,Non Disponibile,Non Disponibile,www.icderobertozafferana.gov.it,NO,,,,,Primaria/Infanzia
202526,ISOLE,SICILIA,CATANIA,CTIC8BQ005,IC T.DI CALCUTTA - SANZIO,CTMM8BQ016,SMS RAFFAELLOSANZIO-TREMESTIERI,VIA SAN MARCO 03,95030,L369,TREMESTIERI ETNEO,NORMALE,SCUOLA PRIMO GRADO,NO,Non Disponibile,Non Disponibile,Non Disponibile,www.cdbelpasso.edu.it,NO,,,,,Medie
202526,ISOLE,SICILIA,CATANIA,CTIC852002,IC D. SAVIO - S. GREGORIO,CTAA85202X,CERZA,VIA NUOVALUCELLO N.188,95027,H940,SAN GREGORIO DI CATANIA,NORMALE,SCUOLA INFANZIA,NO,Non Disponibile,CTIC852002@istruzione.it,Non Disponibile,www.icsaviosangregorio.info,NO,,,,,Primaria/Infanzia
202526,ISOLE,SICILIA,CATANIA,CTIC8BL002,IC PLUCHINOTTA,CTMM8BL013,SMS MARIO PLUCHINOTTA,VIA MARLETTA,95030,I202,SANT'AGATA LI BATTIATI,NORMALE,SCUOLA PRIMO GRADO,NO,Non Disponibile,Non Disponibile,Non Disponibile,www.ICGFAVA.EDU.IT,NO,,,,,Medie
202526,ISOLE,SICILIA,CATANIA,CTIC857005,"I.C.""ERCOLE PATTI"" TRECASTAGNI",CTMM857016,TOMASI DI LAMPEDUSA-TRECASTAGNI,VIA MACHIAVELLI1,95039,L355,TRECASTAGNI,NORMALE,SCUOLA PRIMO GRADO,NO,Non Disponibile,CTIC857005@istruzione.it,Non Disponibile,www.icercolepatti.edu.it,NO,,,,,Medie
202526,ISOLE,SICILIA,CATANIA,CTIC8AZ00A,"II IST. COMPRENSIVO ""S.G.BOSCO""",CTEE8AZ05L,M.ALESSI,PIAZZA RAGUSA,95014,E017,GIARRE,NORMALE,SCUOLA PRIMARIA,NO,Non Disponibile,CTIC8AZ00A@istruzione.it,Non Disponibile,www.secondoicgiarre.gov.it,NO,,,,,Primaria/Infanzia
202526,ISOLE,SICILIA,CATANIA,CTIC899007,IC SAN GIORGIO - CATANIA,CTMM899018,S.S. I G. PLESSO P. BORSELLINO,VIALE GRIMALDI 9,95121,C351,CATANIA,NORMALE,SCUOLA PRIMO GRADO,NO,Non Disponibile,CTIC899007@istruzione.it,Non Disponibile,https//www.icsangiorgioct.edu.it,NO,95121,15005.508239789826,502624504.0,33496.0,Medie
202526,ISOLE,SICILIA,CATANIA,CTIC8BF00D,IC S.G. BOSCO - STURZO,CTEE8BF02L,MARCONI,VIA VITTORIO EMANUELE 101,95033,A841,BIANCAVILLA,NORMALE,SCUOLA PRIMARIA,NO,Non Disponibile,Non Disponibile,Non Disponibile,www.ICGFAVA.EDU.IT,NO,,,,,Primaria/Infanzia
202526,ISOLE,SICILIA,CATANIA,CTIC82600D,I.C. VERGA FIUMEFREDDO,CTAA82607L,SCUOLA INFANZIA FEUDOGRANDE,VIA FEUDOGRANDE,Non Disponibile,D623,FIUMEFREDDO DI SICILIA,NORMALE,SCUOLA INFANZIA,NO,Non Disponibile,CTIC82600D@istruzione.it,Non Disponibile,www.icvergafiumefreddodisicilia.it,NO,,,,,Primaria/Infanzia
202526,ISOLE,SICILIA,CATANIA,CTIC88900L,IC P. PIO DA PIETRALCINA MISTER,CTAA88902E,P. BORSELLINO,VIA FERRARA,95045,F250,MISTERBIANCO,NORMALE,SCUOLA INFANZIA,NO,Non Disponibile,CTIC88900L@istruzione.it,Non Disponibile,www.icspadrepio-misterbianco.edu.it/,NO,,,,,Primaria/Infanzia
