FREQ,REF_AREA,DATA_TYPE,SEX,CITIZENSHIP,SCHOOL_LEVEL,TYPE_SCHOOL_MANAGEMENT,SCHOOL_YEAR,TYPE_SCHOOL,TIME_PERIOD,OBS_VALUE,SOURCE,FLOW_ID,FLOW_TITLE_IT,REF_AREA_LABEL,TYPE_SCHOOL_LABEL,SCHOOL_YEAR_LABEL,TYPE_SCHOOL_MANAGEMENT_LABEL,SCHOOL_YEAR_PROXY
A,IT,REPEA,F,TOTAL,UPP,ALL,ALL,TEC,2023,6.4,ISTAT SDMX,52_1044_DF_DCIS_SCUOLE_15,Secondaria II grado - ripetenti per anno di corso,Italia,TEC,ALL,ALL,2023/2024
A,IT,REPEA,F,TOTAL,UPP,ALL,ALL,TEC,2024,6.2,ISTAT SDMX,52_1044_DF_DCIS_SCUOLE_15,Secondaria II grado - ripetenti per anno di corso,Italia,TEC,ALL,ALL,2024/2025
A,IT,REPEA,F,TOTAL,UPP,ALL,ALL,VOC,2020,9.0,ISTAT SDMX,52_1044_DF_DCIS_SCUOLE_15,Secondaria II grado - ripetenti per anno di corso,Italia,VOC,ALL,ALL,2020/2021
A,IT,REPEA,F,TOTAL,UPP,ALL,ALL,VOC,2021,2.3,ISTAT SDMX,52_1044_DF_DCIS_SCUOLE_15,Secondaria II grado - ripetenti per anno di corso,Italia,VOC,ALL,ALL,2021/2022
A,IT,REPEA,F,TOTAL,UPP,ALL,ALL,VOC,2022,10.1,ISTAT SDMX,52_1044_DF_DCIS_SCUOLE_15,Secondaria II grado - ripetenti per anno di corso,Italia,VOC,ALL,ALL,2022/2023
A,IT,REPEA,F,TOTAL,UPP,ALL,ALL,VOC,2023,9.8,ISTAT SDMX,52_1044_DF_DCIS_SCUOLE_15,Secondaria II grado - ripetenti per anno di corso,Italia,VOC,ALL,ALL,2023/2024
A,IT,REPEA,F,TOTAL,UPP,ALL,ALL,VOC,2024,9.6,ISTAT SDMX,52_1044_DF_DCIS_SCUOLE_15,Secondaria II grado - ripetenti per anno di corso,Italia,VOC,ALL,ALL,2024/2025
A,IT,REPEA,F,TOTAL,UPP,PRI,ALL,ALL,2015,6.1,ISTAT SDMX,52_1044_DF_DCIS_SCUOLE_15,Secondaria II grado - ripetenti per anno di corso,Italia,ALL,ALL,PRI,2015/2016
A,IT,REPEA,F,TOTAL,UPP,PRI,ALL,ALL,2016,5.8,ISTAT SDMX,52_1044_DF_DCIS_SCUOLE_15,Secondaria II grado - ripetenti per anno di corso,Italia,ALL,ALL,PRI,2016/2017
A,IT,REPEA,F,TOTAL,UPP,PRI,ALL,ALL,2017,5.5,ISTAT SDMX,52_1044_DF_DCIS_SCUOLE_15,Secondaria II grado - ripetenti per anno di corso,Italia,ALL,ALL,PRI,2017/2018
A,IT,REPEA,F,TOTAL,UPP,PRI,ALL,ALL,2018,5.4,ISTAT SDMX,52_1044_DF_DCIS_SCUOLE_15,Secondaria II grado - ripetenti per anno di corso,Italia,ALL,ALL,PRI,2018/2019
A,IT,REPEA,F,TOTAL,UPP,PRI,ALL,ALL,2019,5.8,ISTAT SDMX,52_1044_DF_DCIS_SCUOLE_15,Secondaria II grado - ripetenti per anno di corso,Italia,ALL,ALL,PRI,2019/2020
A,IT,REPEA,F,TOTAL,UPP,PRI,ALL,ALL,2020,5.7,ISTAT SDMX,52_1044_DF_DCIS_SCUOLE_15,Secondaria II grado - ripetenti per anno di corso,Italia,ALL,ALL,PRI,2020/2021
A,IT,REPEA,F,TOTAL,UPP,PRI,ALL,ALL,2021,1.3,ISTAT SDMX,52_1044_DF_DCIS_SCUOLE_15,Secondaria II grado - ripetenti per anno di corso,Italia,ALL,ALL,PRI,2021/2022
A,IT,REPEA,F,TOTAL,UPP,PRI,ALL,ALL,2022,5.5,ISTAT SDMX,52_1044_DF_DCIS_SCUOLE_15,Secondaria II grado - ripetenti per anno di corso,Italia,ALL,ALL,PRI,2022/2023
A,IT,REPEA,F,TOTAL,UPP,PRI,ALL,ALL,2023,6.0,ISTAT SDMX,52_1044_DF_DCIS_SCUOLE_15,Secondaria II grado - ripetenti per anno di corso,Italia,ALL,ALL,PRI,2023/2024
A,IT,REPEA,F,TOTAL,UPP,PRI,ALL,ALL,2024,5.7,ISTAT SDMX,52_1044_DF_DCIS_SCUOLE_15,Secondaria II grado - ripetenti per anno di corso,Italia,ALL,ALL,PRI,2024/2025
A,IT,REPEA,F,TOTAL,UPP,PRI,ALL,LIC,2020,4.8,ISTAT SDMX,52_1044_DF_DCIS_SCUOLE_15,Secondaria II grado - ripetenti per anno di corso,Italia,LIC,ALL,PRI,2020/2021
A,IT,REPEA,F,TOTAL,UPP,PRI,ALL,LIC,2021,0.7,ISTAT SDMX,52_1044_DF_DCIS_SCUOLE_15,Secondaria II grado - ripetenti per anno di corso,Italia,LIC,ALL,PRI,2021/2022
A,IT,REPEA,F,TOTAL,UPP,PRI,ALL,LIC,2022,4.7,ISTAT SDMX,52_1044_DF_DCIS_SCUOLE_15,Secondaria II grado - ripetenti per anno di corso,Italia,LIC,ALL,PRI,2022/2023
A,IT,REPEA,F,TOTAL,UPP,PRI,ALL,LIC,2023,5.0,ISTAT SDMX,52_1044_DF_DCIS_SCUOLE_15,Secondaria II grado - ripetenti per anno di corso,Italia,LIC,ALL,PRI,2023/2024
A,IT,REPEA,F,TOTAL,UPP,PRI,ALL,LIC,2024,4.3,ISTAT SDMX,52_1044_DF_DCIS_SCUOLE_15,Secondaria II grado - ripetenti per anno di corso,Italia,LIC,ALL,PRI,2024/2025
A,IT,REPEA,F,TOTAL,UPP,PRI,ALL,TEC,2020,8.9,ISTAT SDMX,52_1044_DF_DCIS_SCUOLE_15,Secondaria II grado - ripetenti per anno di corso,Italia,TEC,ALL,PRI,2020/2021
A,IT,REPEA,F,TOTAL,UPP,PRI,ALL,TEC,2021,2.8,ISTAT SDMX,52_1044_DF_DCIS_SCUOLE_15,Secondaria II grado - ripetenti per anno di corso,Italia,TEC,ALL,PRI,2021/2022
A,IT,REPEA,F,TOTAL,UPP,PRI,ALL,TEC,2022,8.2,ISTAT SDMX,52_1044_DF_DCIS_SCUOLE_15,Secondaria II grado - ripetenti per anno di corso,Italia,TEC,ALL,PRI,2022/2023
A,IT,REPEA,F,TOTAL,UPP,PRI,ALL,TEC,2023,8.5,ISTAT SDMX,52_1044_DF_DCIS_SCUOLE_15,Secondaria II grado - ripetenti per anno di corso,Italia,TEC,ALL,PRI,2023/2024
A,IT,REPEA,F,TOTAL,UPP,PRI,ALL,TEC,2024,8.5,ISTAT SDMX,52_1044_DF_DCIS_SCUOLE_15,Secondaria II grado - ripetenti per anno di corso,Italia,TEC,ALL,PRI,2024/2025
A,IT,REPEA,F,TOTAL,UPP,PRI,ALL,VOC,2020,5.9,ISTAT SDMX,52_1044_DF_DCIS_SCUOLE_15,Secondaria II grado - ripetenti per anno di corso,Italia,VOC,ALL,PRI,2020/2021
A,IT,REPEA,F,TOTAL,UPP,PRI,ALL,VOC,2021,1.8,ISTAT SDMX,52_1044_DF_DCIS_SCUOLE_15,Secondaria II grado - ripetenti per anno di corso,Italia,VOC,ALL,PRI,2021/2022
A,IT,REPEA,F,TOTAL,UPP,PRI,ALL,VOC,2022,4.8,ISTAT SDMX,52_1044_DF_DCIS_SCUOLE_15,Secondaria II grado - ripetenti per anno di corso,Italia,VOC,ALL,PRI,2022/2023
A,IT,REPEA,F,TOTAL,UPP,PRI,ALL,VOC,2023,6.6,ISTAT SDMX,52_1044_DF_DCIS_SCUOLE_15,Secondaria II grado - ripetenti per anno di corso,Italia,VOC,ALL,PRI,2023/2024
A,IT,REPEA,F,TOTAL,UPP,PRI,ALL,VOC,2024,8.4,ISTAT SDMX,52_1044_DF_DCIS_SCUOLE_15,Secondaria II grado - ripetenti per anno di corso,Italia,VOC,ALL,PRI,2024/2025
A,IT,REPEA,F,TOTAL,UPP,PUB,ALL,ALL,2015,5.4,ISTAT SDMX,52_1044_DF_DCIS_SCUOLE_15,Secondaria II grado - ripetenti per anno di corso,Italia,ALL,ALL,PUB,2015/2016
A,IT,REPEA,F,TOTAL,UPP,PUB,ALL,ALL,2016,5.2,ISTAT SDMX,52_1044_DF_DCIS_SCUOLE_15,Secondaria II grado - ripetenti per anno di corso,Italia,ALL,ALL,PUB,2016/2017
A,IT,REPEA,F,TOTAL,UPP,PUB,ALL,ALL,2017,4.7,ISTAT SDMX,52_1044_DF_DCIS_SCUOLE_15,Secondaria II grado - ripetenti per anno di corso,Italia,ALL,ALL,PUB,2017/2018
A,IT,REPEA,F,TOTAL,UPP,PUB,ALL,ALL,2018,4.7,ISTAT SDMX,52_1044_DF_DCIS_SCUOLE_15,Secondaria II grado - ripetenti per anno di corso,Italia,ALL,ALL,PUB,2018/2019
A,IT,REPEA,F,TOTAL,UPP,PUB,ALL,ALL,2019,4.6,ISTAT SDMX,52_1044_DF_DCIS_SCUOLE_15,Secondaria II grado - ripetenti per anno di corso,Italia,ALL,ALL,PUB,2019/2020
A,IT,REPEA,F,TOTAL,UPP,PUB,ALL,ALL,2020,4.5,ISTAT SDMX,52_1044_DF_DCIS_SCUOLE_15,Secondaria II grado - ripetenti per anno di corso,Italia,ALL,ALL,PUB,2020/2021
A,IT,REPEA,F,TOTAL,UPP,PUB,ALL,ALL,2021,0.8,ISTAT SDMX,52_1044_DF_DCIS_SCUOLE_15,Secondaria II grado - ripetenti per anno di corso,Italia,ALL,ALL,PUB,2021/2022
A,IT,REPEA,F,TOTAL,UPP,PUB,ALL,ALL,2022,4.8,ISTAT SDMX,52_1044_DF_DCIS_SCUOLE_15,Secondaria II grado - ripetenti per anno di corso,Italia,ALL,ALL,PUB,2022/2023
A,IT,REPEA,F,TOTAL,UPP,PUB,ALL,ALL,2023,4.4,ISTAT SDMX,52_1044_DF_DCIS_SCUOLE_15,Secondaria II grado - ripetenti per anno di corso,Italia,ALL,ALL,PUB,2023/2024
A,IT,REPEA,F,TOTAL,UPP,PUB,ALL,ALL,2024,4.2,ISTAT SDMX,52_1044_DF_DCIS_SCUOLE_15,Secondaria II grado - ripetenti per anno di corso,Italia,ALL,ALL,PUB,2024/2025
A,IT,REPEA,F,TOTAL,UPP,PUB,ALL,LIC,2020,2.6,ISTAT SDMX,52_1044_DF_DCIS_SCUOLE_15,Secondaria II grado - ripetenti per anno di corso,Italia,LIC,ALL,PUB,2020/2021
A,IT,REPEA,F,TOTAL,UPP,PUB,ALL,LIC,2021,0.3,ISTAT SDMX,52_1044_DF_DCIS_SCUOLE_15,Secondaria II grado - ripetenti per anno di corso,Italia,LIC,ALL,PUB,2021/2022
A,IT,REPEA,F,TOTAL,UPP,PUB,ALL,LIC,2022,2.7,ISTAT SDMX,52_1044_DF_DCIS_SCUOLE_15,Secondaria II grado - ripetenti per anno di corso,Italia,LIC,ALL,PUB,2022/2023
A,IT,REPEA,F,TOTAL,UPP,PUB,ALL,LIC,2023,2.5,ISTAT SDMX,52_1044_DF_DCIS_SCUOLE_15,Secondaria II grado - ripetenti per anno di corso,Italia,LIC,ALL,PUB,2023/2024
A,IT,REPEA,F,TOTAL,UPP,PUB,ALL,LIC,2024,2.3,ISTAT SDMX,52_1044_DF_DCIS_SCUOLE_15,Secondaria II grado - ripetenti per anno di corso,Italia,LIC,ALL,PUB,2024/2025
A,IT,REPEA,F,TOTAL,UPP,PUB,ALL,TEC,2020,6.3,ISTAT SDMX,52_1044_DF_DCIS_SCUOLE_15,Secondaria II grado - ripetenti per anno di corso,Italia,TEC,ALL,PUB,2020/2021
A,IT,REPEA,F,TOTAL,UPP,PUB,ALL,TEC,2021,1.1,ISTAT SDMX,52_1044_DF_DCIS_SCUOLE_15,Secondaria II grado - ripetenti per anno di corso,Italia,TEC,ALL,PUB,2021/2022
A,IT,REPEA,F,TOTAL,UPP,PUB,ALL,TEC,2022,6.8,ISTAT SDMX,52_1044_DF_DCIS_SCUOLE_15,Secondaria II grado - ripetenti per anno di corso,Italia,TEC,ALL,PUB,2022/2023
A,IT,REPEA,F,TOTAL,UPP,PUB,ALL,TEC,2023,6.3,ISTAT SDMX,52_1044_DF_DCIS_SCUOLE_15,Secondaria II grado - ripetenti per anno di corso,Italia,TEC,ALL,PUB,2023/2024
A,IT,REPEA,F,TOTAL,UPP,PUB,ALL,TEC,2024,6.1,ISTAT SDMX,52_1044_DF_DCIS_SCUOLE_15,Secondaria II grado - ripetenti per anno di corso,Italia,TEC,ALL,PUB,2024/2025
A,IT,REPEA,F,TOTAL,UPP,PUB,ALL,VOC,2020,9.0,ISTAT SDMX,52_1044_DF_DCIS_SCUOLE_15,Secondaria II grado - ripetenti per anno di corso,Italia,VOC,ALL,PUB,2020/2021
A,IT,REPEA,F,TOTAL,UPP,PUB,ALL,VOC,2021,2.4,ISTAT SDMX,52_1044_DF_DCIS_SCUOLE_15,Secondaria II grado - ripetenti per anno di corso,Italia,VOC,ALL,PUB,2021/2022
A,IT,REPEA,F,TOTAL,UPP,PUB,ALL,VOC,2022,10.3,ISTAT SDMX,52_1044_DF_DCIS_SCUOLE_15,Secondaria II grado - ripetenti per anno di corso,Italia,VOC,ALL,PUB,2022/2023
A,IT,REPEA,F,TOTAL,UPP,PUB,ALL,VOC,2023,9.9,ISTAT SDMX,52_1044_DF_DCIS_SCUOLE_15,Secondaria II grado - ripetenti per anno di corso,Italia,VOC,ALL,PUB,2023/2024
A,IT,REPEA,F,TOTAL,UPP,PUB,ALL,VOC,2024,9.6,ISTAT SDMX,52_1044_DF_DCIS_SCUOLE_15,Secondaria II grado - ripetenti per anno di corso,Italia,VOC,ALL,PUB,2024/2025
A,IT,REPEA,M,TOTAL,UPP,ALL,ALL,ALL,2015,9.5,ISTAT SDMX,52_1044_DF_DCIS_SCUOLE_15,Secondaria II grado - ripetenti per anno di corso,Italia,ALL,ALL,ALL,2015/2016
A,IT,REPEA,M,TOTAL,UPP,ALL,ALL,ALL,2016,9.2,ISTAT SDMX,52_1044_DF_DCIS_SCUOLE_15,Secondaria II grado - ripetenti per anno di corso,Italia,ALL,ALL,ALL,2016/2017
A,IT,REPEA,M,TOTAL,UPP,ALL,ALL,ALL,2017,8.3,ISTAT SDMX,52_1044_DF_DCIS_SCUOLE_15,Secondaria II grado - ripetenti per anno di corso,Italia,ALL,ALL,ALL,2017/2018
A,IT,REPEA,M,TOTAL,UPP,ALL,ALL,ALL,2018,8.4,ISTAT SDMX,52_1044_DF_DCIS_SCUOLE_15,Secondaria II grado - ripetenti per anno di corso,Italia,ALL,ALL,ALL,2018/2019
A,IT,REPEA,M,TOTAL,UPP,ALL,ALL,ALL,2019,8.2,ISTAT SDMX,52_1044_DF_DCIS_SCUOLE_15,Secondaria II grado - ripetenti per anno di corso,Italia,ALL,ALL,ALL,2019/2020
A,IT,REPEA,M,TOTAL,UPP,ALL,ALL,ALL,2020,7.9,ISTAT SDMX,52_1044_DF_DCIS_SCUOLE_15,Secondaria II grado - ripetenti per anno di corso,Italia,ALL,ALL,ALL,2020/2021
A,IT,REPEA,M,TOTAL,UPP,ALL,ALL,ALL,2021,1.3,ISTAT SDMX,52_1044_DF_DCIS_SCUOLE_15,Secondaria II grado - ripetenti per anno di corso,Italia,ALL,ALL,ALL,2021/2022
A,IT,REPEA,M,TOTAL,UPP,ALL,ALL,ALL,2022,8.4,ISTAT SDMX,52_1044_DF_DCIS_SCUOLE_15,Secondaria II grado - ripetenti per anno di corso,Italia,ALL,ALL,ALL,2022/2023
A,IT,REPEA,M,TOTAL,UPP,ALL,ALL,ALL,2023,7.4,ISTAT SDMX,52_1044_DF_DCIS_SCUOLE_15,Secondaria II grado - ripetenti per anno di corso,Italia,ALL,ALL,ALL,2023/2024
A,IT,REPEA,M,TOTAL,UPP,ALL,ALL,ALL,2024,7.0,ISTAT SDMX,52_1044_DF_DCIS_SCUOLE_15,Secondaria II grado - ripetenti per anno di corso,Italia,ALL,ALL,ALL,2024/2025
A,IT,REPEA,M,TOTAL,UPP,ALL,ALL,LIC,2020,3.8,ISTAT SDMX,52_1044_DF_DCIS_SCUOLE_15,Secondaria II grado - ripetenti per anno di corso,Italia,LIC,ALL,ALL,2020/2021
A,IT,REPEA,M,TOTAL,UPP,ALL,ALL,LIC,2021,0.4,ISTAT SDMX,52_1044_DF_DCIS_SCUOLE_15,Secondaria II grado - ripetenti per anno di corso,Italia,LIC,ALL,ALL,2021/2022
A,IT,REPEA,M,TOTAL,UPP,ALL,ALL,LIC,2022,3.7,ISTAT SDMX,52_1044_DF_DCIS_SCUOLE_15,Secondaria II grado - ripetenti per anno di corso,Italia,LIC,ALL,ALL,2022/2023
A,IT,REPEA,M,TOTAL,UPP,ALL,ALL,LIC,2023,3.2,ISTAT SDMX,52_1044_DF_DCIS_SCUOLE_15,Secondaria II grado - ripetenti per anno di corso,Italia,LIC,ALL,ALL,2023/2024
A,IT,REPEA,M,TOTAL,UPP,ALL,ALL,LIC,2024,3.0,ISTAT SDMX,52_1044_DF_DCIS_SCUOLE_15,Secondaria II grado - ripetenti per anno di corso,Italia,LIC,ALL,ALL,2024/2025
A,IT,REPEA,M,TOTAL,UPP,ALL,ALL,TEC,2020,8.9,ISTAT SDMX,52_1044_DF_DCIS_SCUOLE_15,Secondaria II grado - ripetenti per anno di corso,Italia,TEC,ALL,ALL,2020/2021
A,IT,REPEA,M,TOTAL,UPP,ALL,ALL,TEC,2021,1.2,ISTAT SDMX,52_1044_DF_DCIS_SCUOLE_15,Secondaria II grado - ripetenti per anno di corso,Italia,TEC,ALL,ALL,2021/2022
A,IT,REPEA,M,TOTAL,UPP,ALL,ALL,TEC,2022,9.7,ISTAT SDMX,52_1044_DF_DCIS_SCUOLE_15,Secondaria II grado - ripetenti per anno di corso,Italia,TEC,ALL,ALL,2022/2023
A,IT,REPEA,M,TOTAL,UPP,ALL,ALL,TEC,2023,8.4,ISTAT SDMX,52_1044_DF_DCIS_SCUOLE_15,Secondaria II grado - ripetenti per anno di corso,Italia,TEC,ALL,ALL,2023/2024
A,IT,REPEA,M,TOTAL,UPP,ALL,ALL,TEC,2024,8.0,ISTAT SDMX,52_1044_DF_DCIS_SCUOLE_15,Secondaria II grado - ripetenti per anno di corso,Italia,TEC,ALL,ALL,2024/2025
A,IT,REPEA,M,TOTAL,UPP,ALL,ALL,VOC,2020,13.1,ISTAT SDMX,52_1044_DF_DCIS_SCUOLE_15,Secondaria II grado - ripetenti per anno di corso,Italia,VOC,ALL,ALL,2020/2021
A,IT,REPEA,M,TOTAL,UPP,ALL,ALL,VOC,2021,3.2,ISTAT SDMX,52_1044_DF_DCIS_SCUOLE_15,Secondaria II grado - ripetenti per anno di corso,Italia,VOC,ALL,ALL,2021/2022
A,IT,REPEA,M,TOTAL,UPP,ALL,ALL,VOC,2022,14.8,ISTAT SDMX,52_1044_DF_DCIS_SCUOLE_15,Secondaria II grado - ripetenti per anno di corso,Italia,VOC,ALL,ALL,2022/2023
A,IT,REPEA,M,TOTAL,UPP,ALL,ALL,VOC,2023,13.9,ISTAT SDMX,52_1044_DF_DCIS_SCUOLE_15,Secondaria II grado - ripetenti per anno di corso,Italia,VOC,ALL,ALL,2023/2024
A,IT,REPEA,M,TOTAL,UPP,ALL,ALL,VOC,2024,13.3,ISTAT SDMX,52_1044_DF_DCIS_SCUOLE_15,Secondaria II grado - ripetenti per anno di corso,Italia,VOC,ALL,ALL,2024/2025
A,IT,REPEA,M,TOTAL,UPP,PRI,ALL,ALL,2015,9.4,ISTAT SDMX,52_1044_DF_DCIS_SCUOLE_15,Secondaria II grado - ripetenti per anno di corso,Italia,ALL,ALL,PRI,2015/2016
A,IT,REPEA,M,TOTAL,UPP,PRI,ALL,ALL,2016,9.1,ISTAT SDMX,52_1044_DF_DCIS_SCUOLE_15,Secondaria II grado - ripetenti per anno di corso,Italia,ALL,ALL,PRI,2016/2017
A,IT,REPEA,M,TOTAL,UPP,PRI,ALL,ALL,2017,7.8,ISTAT SDMX,52_1044_DF_DCIS_SCUOLE_15,Secondaria II grado - ripetenti per anno di corso,Italia,ALL,ALL,PRI,2017/2018
A,IT,REPEA,M,TOTAL,UPP,PRI,ALL,ALL,2018,8.4,ISTAT SDMX,52_1044_DF_DCIS_SCUOLE_15,Secondaria II grado - ripetenti per anno di corso,Italia,ALL,ALL,PRI,2018/2019
A,IT,REPEA,M,TOTAL,UPP,PRI,ALL,ALL,2019,8.0,ISTAT SDMX,52_1044_DF_DCIS_SCUOLE_15,Secondaria II grado - ripetenti per anno di corso,Italia,ALL,ALL,PRI,2019/2020
A,IT,REPEA,M,TOTAL,UPP,PRI,ALL,ALL,2020,7.9,ISTAT SDMX,52_1044_DF_DCIS_SCUOLE_15,Secondaria II grado - ripetenti per anno di corso,Italia,ALL,ALL,PRI,2020/2021
A,IT,REPEA,M,TOTAL,UPP,PRI,ALL,ALL,2021,1.5,ISTAT SDMX,52_1044_DF_DCIS_SCUOLE_15,Secondaria II grado - ripetenti per anno di corso,Italia,ALL,ALL,PRI,2021/2022
A,IT,REPEA,M,TOTAL,UPP,PRI,ALL,ALL,2022,7.9,ISTAT SDMX,52_1044_DF_DCIS_SCUOLE_15,Secondaria II grado - ripetenti per anno di corso,Italia,ALL,ALL,PRI,2022/2023
A,IT,REPEA,M,TOTAL,UPP,PRI,ALL,ALL,2023,7.5,ISTAT SDMX,52_1044_DF_DCIS_SCUOLE_15,Secondaria II grado - ripetenti per anno di corso,Italia,ALL,ALL,PRI,2023/2024
A,IT,REPEA,M,TOTAL,UPP,PRI,ALL,ALL,2024,7.2,ISTAT SDMX,52_1044_DF_DCIS_SCUOLE_15,Secondaria II grado - ripetenti per anno di corso,Italia,ALL,ALL,PRI,2024/2025
A,IT,REPEA,M,TOTAL,UPP,PRI,ALL,LIC,2020,6.8,ISTAT SDMX,52_1044_DF_DCIS_SCUOLE_15,Secondaria II grado - ripetenti per anno di corso,Italia,LIC,ALL,PRI,2020/2021
A,IT,REPEA,M,TOTAL,UPP,PRI,ALL,LIC,2021,0.8,ISTAT SDMX,52_1044_DF_DCIS_SCUOLE_15,Secondaria II grado - ripetenti per anno di corso,Italia,LIC,ALL,PRI,2021/2022
A,IT,REPEA,M,TOTAL,UPP,PRI,ALL,LIC,2022,6.6,ISTAT SDMX,52_1044_DF_DCIS_SCUOLE_15,Secondaria II grado - ripetenti per anno di corso,Italia,LIC,ALL,PRI,2022/2023
A,IT,REPEA,M,TOTAL,UPP,PRI,ALL,LIC,2023,5.9,ISTAT SDMX,52_1044_DF_DCIS_SCUOLE_15,Secondaria II grado - ripetenti per anno di corso,Italia,LIC,ALL,PRI,2023/2024
A,IT,REPEA,M,TOTAL,UPP,PRI,ALL,LIC,2024,5.6,ISTAT SDMX,52_1044_DF_DCIS_SCUOLE_15,Secondaria II grado - ripetenti per anno di corso,Italia,LIC,ALL,PRI,2024/2025
A,IT,REPEA,M,TOTAL,UPP,PRI,ALL,TEC,2020,9.6,ISTAT SDMX,52_1044_DF_DCIS_SCUOLE_15,Secondaria II grado - ripetenti per anno di corso,Italia,TEC,ALL,PRI,2020/2021
