TIPOLOGIAVOCE,CODICELIVELLO1,DESCRIZIONELIVELLO1,CODICELIVELLO2,DESCRIZIONELIVELLO2
ENTRATA,09,ALIENAZIONE DI BENI MATERIALI,18,ALIENAZIONE DI OGGETTI DI VALORE
ENTRATA,10,ALIENAZIONE DI BENI IMMATERIALI,03,ALIENAZIONE DI OPERE DELL'INGEGNO E DIRITTI D'AUTORE
ENTRATA,10,ALIENAZIONE DI BENI IMMATERIALI,01,ALIENAZIONE DI SOFTWARE
ENTRATA,10,ALIENAZIONE DI BENI IMMATERIALI,04,ALIENAZIONE DI ALTRI BENI IMMATERIALI N.A.C.
ENTRATA,10,ALIENAZIONE DI BENI IMMATERIALI,02,ALIENAZIONE DI BREVETTI
ENTRATA,11,SPONSOR E UTILIZZO LOCALI,04,PROVENTI DA CONCESSIONI SU BENI
ENTRATA,11,SPONSOR E UTILIZZO LOCALI,03,CANONE OCCUPAZIONE SPAZI E AREE PUBBLICHE
ENTRATA,11,SPONSOR E UTILIZZO LOCALI,02,DIRITTI REALI DI GODIMENTO
ENTRATA,11,SPONSOR E UTILIZZO LOCALI,01,PROVENTI DERIVANTI DALLE SPONSORIZZAZIONI
ENTRATA,12,ALTRE ENTRATE,02,INTERESSI ATTIVI DA BANCA D'ITALIA
ENTRATA,12,ALTRE ENTRATE,01,INTERESSI
ENTRATA,12,ALTRE ENTRATE,03,ALTRE ENTRATE N.A.C.
ENTRATA,13,MUTUI,01,MUTUI
ENTRATA,13,MUTUI,02,ANTICIPAZIONI DA ISTITUTO CASSIERE
