freq,itter107,tipo_occ,posizprof_des,prov_dest_z,regime_orario_des,sesso,tipo_dato,time_period,obs_value,year
A,ITD4,9,9,ALL,9,1,GRAD_SEE,2015,830.0,2015
A,ITD4,9,9,ALL,9,1,GRAD_SEE_P,2015,21.4,2015
A,ITD4,9,9,ALL,9,2,GRAD_SEE,2015,1215.0,2015
A,ITD4,9,9,ALL,9,2,GRAD_SEE_P,2015,32.3,2015
A,ITD4,9,9,ALL,9,9,GRAD_SEE,2015,2045.0,2015
A,ITD4,9,9,ALL,9,9,GRAD_SEE_P,2015,26.7,2015
A,ITD5,9,9,ALL,9,1,GRAD_SEE,2015,3294.0,2015
A,ITD5,9,9,ALL,9,1,GRAD_SEE_P,2015,23.4,2015
A,ITD5,9,9,ALL,9,2,GRAD_SEE,2015,4359.0,2015
A,ITD5,9,9,ALL,9,2,GRAD_SEE_P,2015,27.5,2015
A,ITD5,9,9,ALL,9,9,GRAD_SEE,2015,7653.0,2015
A,ITD5,9,9,ALL,9,9,GRAD_SEE_P,2015,25.6,2015
A,ITE,9,9,ALL,9,1,GRAD_SEE,2015,12579.0,2015
A,ITE,9,9,ALL,9,1,GRAD_SEE_P,2015,28.5,2015
A,ITE,9,9,ALL,9,2,GRAD_SEE,2015,15442.0,2015
A,ITE,9,9,ALL,9,2,GRAD_SEE_P,2015,32.5,2015
A,ITE,9,9,ALL,9,9,GRAD_SEE,2015,28021.0,2015
A,ITE,9,9,ALL,9,9,GRAD_SEE_P,2015,30.6,2015
A,ITE1,9,9,ALL,9,1,GRAD_SEE,2015,3204.0,2015
A,ITE1,9,9,ALL,9,1,GRAD_SEE_P,2015,25.6,2015
A,ITE1,9,9,ALL,9,2,GRAD_SEE,2015,3723.0,2015
A,ITE1,9,9,ALL,9,2,GRAD_SEE_P,2015,27.0,2015
A,ITE1,9,9,ALL,9,9,GRAD_SEE,2015,6927.0,2015
A,ITE1,9,9,ALL,9,9,GRAD_SEE_P,2015,26.4,2015
A,ITE2,9,9,ALL,9,1,GRAD_SEE,2015,757.0,2015
A,ITE2,9,9,ALL,9,1,GRAD_SEE_P,2015,27.1,2015
A,ITE2,9,9,ALL,9,2,GRAD_SEE,2015,890.0,2015
A,ITE2,9,9,ALL,9,2,GRAD_SEE_P,2015,28.2,2015
A,ITE2,9,9,ALL,9,9,GRAD_SEE,2015,1647.0,2015
A,ITE2,9,9,ALL,9,9,GRAD_SEE_P,2015,27.6,2015
A,ITE3,9,9,ALL,9,1,GRAD_SEE,2015,1653.0,2015
A,ITE3,9,9,ALL,9,1,GRAD_SEE_P,2015,28.7,2015
A,ITE3,9,9,ALL,9,2,GRAD_SEE,2015,1743.0,2015
A,ITE3,9,9,ALL,9,2,GRAD_SEE_P,2015,31.4,2015
A,ITE3,9,9,ALL,9,9,GRAD_SEE,2015,3395.0,2015
A,ITE3,9,9,ALL,9,9,GRAD_SEE_P,2015,30.0,2015
A,ITE4,9,9,ALL,9,1,GRAD_SEE,2015,6964.0,2015
A,ITE4,9,9,ALL,9,1,GRAD_SEE_P,2015,30.2,2015
A,ITE4,9,9,ALL,9,2,GRAD_SEE,2015,9086.0,2015
A,ITE4,9,9,ALL,9,2,GRAD_SEE_P,2015,36.3,2015
A,ITE4,9,9,ALL,9,9,GRAD_SEE,2015,16051.0,2015
A,ITE4,9,9,ALL,9,9,GRAD_SEE_P,2015,33.3,2015
A,ITF,9,9,ALL,9,1,GRAD_SEE,2015,26625.0,2015
A,ITF,9,9,ALL,9,1,GRAD_SEE_P,2015,42.4,2015
A,ITF,9,9,ALL,9,2,GRAD_SEE,2015,28907.0,2015
A,ITF,9,9,ALL,9,2,GRAD_SEE_P,2015,46.4,2015
A,ITF,9,9,ALL,9,9,GRAD_SEE,2015,55533.0,2015
A,ITF,9,9,ALL,9,9,GRAD_SEE_P,2015,44.4,2015
A,ITF1,9,9,ALL,9,1,GRAD_SEE,2015,1993.0,2015
A,ITF1,9,9,ALL,9,1,GRAD_SEE_P,2015,37.5,2015
A,ITF1,9,9,ALL,9,2,GRAD_SEE,2015,2080.0,2015
A,ITF1,9,9,ALL,9,2,GRAD_SEE_P,2015,36.7,2015
A,ITF1,9,9,ALL,9,9,GRAD_SEE,2015,4074.0,2015
A,ITF1,9,9,ALL,9,9,GRAD_SEE_P,2015,37.1,2015
A,ITF2,9,9,ALL,9,1,GRAD_SEE,2015,415.0,2015
A,ITF2,9,9,ALL,9,1,GRAD_SEE_P,2015,39.2,2015
A,ITF2,9,9,ALL,9,2,GRAD_SEE,2015,533.0,2015
A,ITF2,9,9,ALL,9,2,GRAD_SEE_P,2015,36.7,2015
A,ITF2,9,9,ALL,9,9,GRAD_SEE,2015,948.0,2015
A,ITF2,9,9,ALL,9,9,GRAD_SEE_P,2015,37.7,2015
A,ITF3,9,9,ALL,9,1,GRAD_SEE,2015,13166.0,2015
A,ITF3,9,9,ALL,9,1,GRAD_SEE_P,2015,42.5,2015
A,ITF3,9,9,ALL,9,2,GRAD_SEE,2015,13757.0,2015
A,ITF3,9,9,ALL,9,2,GRAD_SEE_P,2015,47.8,2015
A,ITF3,9,9,ALL,9,9,GRAD_SEE,2015,26923.0,2015
A,ITF3,9,9,ALL,9,9,GRAD_SEE_P,2015,45.0,2015
A,ITF4,9,9,ALL,9,1,GRAD_SEE,2015,5901.0,2015
A,ITF4,9,9,ALL,9,1,GRAD_SEE_P,2015,39.6,2015
A,ITF4,9,9,ALL,9,2,GRAD_SEE,2015,7205.0,2015
A,ITF4,9,9,ALL,9,2,GRAD_SEE_P,2015,46.9,2015
A,ITF4,9,9,ALL,9,9,GRAD_SEE,2015,13106.0,2015
A,ITF4,9,9,ALL,9,9,GRAD_SEE_P,2015,43.3,2015
A,ITF5,9,9,ALL,9,1,GRAD_SEE,2015,870.0,2015
A,ITF5,9,9,ALL,9,1,GRAD_SEE_P,2015,42.6,2015
A,ITF5,9,9,ALL,9,2,GRAD_SEE,2015,964.0,2015
A,ITF5,9,9,ALL,9,2,GRAD_SEE_P,2015,44.8,2015
A,ITF5,9,9,ALL,9,9,GRAD_SEE,2015,1834.0,2015
A,ITF5,9,9,ALL,9,9,GRAD_SEE_P,2015,43.7,2015
A,ITF6,9,9,ALL,9,1,GRAD_SEE,2015,4280.0,2015
A,ITF6,9,9,ALL,9,1,GRAD_SEE_P,2015,50.3,2015
A,ITF6,9,9,ALL,9,2,GRAD_SEE,2015,4368.0,2015
A,ITF6,9,9,ALL,9,2,GRAD_SEE_P,2015,49.6,2015
A,ITF6,9,9,ALL,9,9,GRAD_SEE,2015,8648.0,2015
A,ITF6,9,9,ALL,9,9,GRAD_SEE_P,2015,49.9,2015
A,ITG,9,9,ALL,9,1,GRAD_SEE,2015,10215.0,2015
A,ITG,9,9,ALL,9,1,GRAD_SEE_P,2015,43.9,2015
A,ITG,9,9,ALL,9,2,GRAD_SEE,2015,10592.0,2015
A,ITG,9,9,ALL,9,2,GRAD_SEE_P,2015,39.3,2015
A,ITG,9,9,ALL,9,9,GRAD_SEE,2015,20807.0,2015
A,ITG,9,9,ALL,9,9,GRAD_SEE_P,2015,41.4,2015
A,ITG1,9,9,ALL,9,1,GRAD_SEE,2015,8557.0,2015
A,ITG1,9,9,ALL,9,1,GRAD_SEE_P,2015,45.7,2015
A,ITG1,9,9,ALL,9,2,GRAD_SEE,2015,8555.0,2015
A,ITG1,9,9,ALL,9,2,GRAD_SEE_P,2015,39.9,2015
A,ITG1,9,9,ALL,9,9,GRAD_SEE,2015,17112.0,2015
A,ITG1,9,9,ALL,9,9,GRAD_SEE_P,2015,42.6,2015
A,ITG2,9,9,ALL,9,1,GRAD_SEE,2015,1658.0,2015
A,ITG2,9,9,ALL,9,1,GRAD_SEE_P,2015,36.3,2015
A,ITG2,9,9,ALL,9,2,GRAD_SEE,2015,2037.0,2015
A,ITG2,9,9,ALL,9,2,GRAD_SEE_P,2015,37.0,2015
A,ITG2,9,9,ALL,9,9,GRAD_SEE,2015,3694.0,2015
A,ITG2,9,9,ALL,9,9,GRAD_SEE_P,2015,36.7,2015
A,ITS,9,9,ALL,9,1,GRAD_SEE,2015,566.0,2015
A,ITS,9,9,ALL,9,1,GRAD_SEE_P,2015,20.4,2015
A,ITS,9,9,ALL,9,2,GRAD_SEE,2015,732.0,2015
A,ITS,9,9,ALL,9,2,GRAD_SEE_P,2015,24.8,2015
A,ITS,9,9,ALL,9,9,GRAD_SEE,2015,1298.0,2015
A,ITS,9,9,ALL,9,9,GRAD_SEE_P,2015,22.7,2015
A,ITTOT,11,9,ALL,9,1,GRAD_SEE,2015,42886.0,2015
A,ITTOT,11,9,ALL,9,1,GRAD_SEE_P,2015,36.9,2015
A,ITTOT,11,9,ALL,9,2,GRAD_SEE,2015,55429.0,2015
A,ITTOT,11,9,ALL,9,2,GRAD_SEE_P,2015,40.0,2015
A,ITTOT,11,9,ALL,9,9,GRAD_SEE,2015,98314.0,2015
A,ITTOT,11,9,ALL,9,9,GRAD_SEE_P,2015,38.6,2015
A,ITTOT,12,9,ALL,9,1,GRAD_SEE,2015,10974.0,2015
A,ITTOT,12,9,ALL,9,1,GRAD_SEE_P,2015,26.7,2015
A,ITTOT,12,9,ALL,9,2,GRAD_SEE,2015,12906.0,2015
A,ITTOT,12,9,ALL,9,2,GRAD_SEE_P,2015,30.6,2015
A,ITTOT,12,9,ALL,9,9,GRAD_SEE,2015,23880.0,2015
A,ITTOT,12,9,ALL,9,9,GRAD_SEE_P,2015,28.7,2015
A,ITTOT,13,9,ALL,9,1,GRAD_SEE,2015,157.0,2015
A,ITTOT,13,9,ALL,9,1,GRAD_SEE_P,2015,40.1,2015
A,ITTOT,13,9,ALL,9,2,GRAD_SEE,2015,124.0,2015
A,ITTOT,13,9,ALL,9,2,GRAD_SEE_P,2015,14.7,2015
A,ITTOT,13,9,ALL,9,9,GRAD_SEE,2015,281.0,2015
A,ITTOT,13,9,ALL,9,9,GRAD_SEE_P,2015,22.7,2015
A,ITTOT,14,9,ALL,9,1,GRAD_SEE,2015,1395.0,2015
A,ITTOT,14,9,ALL,9,1,GRAD_SEE_P,2015,27.5,2015
A,ITTOT,14,9,ALL,9,2,GRAD_SEE,2015,2427.0,2015
A,ITTOT,14,9,ALL,9,2,GRAD_SEE_P,2015,33.9,2015
A,ITTOT,14,9,ALL,9,9,GRAD_SEE,2015,3822.0,2015
A,ITTOT,14,9,ALL,9,9,GRAD_SEE_P,2015,31.3,2015
A,ITTOT,15,9,ALL,9,1,GRAD_SEE,2015,400.0,2015
A,ITTOT,15,9,ALL,9,1,GRAD_SEE_P,2015,52.5,2015
A,ITTOT,15,9,ALL,9,2,GRAD_SEE,2015,278.0,2015
A,ITTOT,15,9,ALL,9,2,GRAD_SEE_P,2015,46.3,2015
A,ITTOT,15,9,ALL,9,9,GRAD_SEE,2015,678.0,2015
A,ITTOT,15,9,ALL,9,9,GRAD_SEE_P,2015,49.8,2015
A,ITTOT,3,9,ALL,9,1,GRAD_SEE,2015,4242.0,2015
A,ITTOT,3,9,ALL,9,1,GRAD_SEE_P,2015,15.0,2015
A,ITTOT,3,9,ALL,9,2,GRAD_SEE,2015,4045.0,2015
A,ITTOT,3,9,ALL,9,2,GRAD_SEE_P,2015,19.0,2015
A,ITTOT,3,9,ALL,9,9,GRAD_SEE,2015,8287.0,2015
A,ITTOT,3,9,ALL,9,9,GRAD_SEE_P,2015,16.7,2015
A,ITTOT,5,9,ALL,9,1,GRAD_SEE,2015,4986.0,2015
A,ITTOT,5,9,ALL,9,1,GRAD_SEE_P,2015,42.3,2015
A,ITTOT,5,9,ALL,9,2,GRAD_SEE,2015,6205.0,2015
A,ITTOT,5,9,ALL,9,2,GRAD_SEE_P,2015,44.4,2015
A,ITTOT,5,9,ALL,9,9,GRAD_SEE,2015,11190.0,2015
A,ITTOT,5,9,ALL,9,9,GRAD_SEE_P,2015,43.5,2015
A,ITTOT,7,9,ALL,9,1,GRAD_SEE,2015,2821.0,2015
A,ITTOT,7,9,ALL,9,1,GRAD_SEE_P,2015,18.9,2015
A,ITTOT,7,9,ALL,9,2,GRAD_SEE,2015,1323.0,2015
A,ITTOT,7,9,ALL,9,2,GRAD_SEE_P,2015,17.3,2015
A,ITTOT,7,9,ALL,9,9,GRAD_SEE,2015,4145.0,2015
A,ITTOT,7,9,ALL,9,9,GRAD_SEE_P,2015,18.4,2015
A,ITTOT,9,1,ALL,9,1,GRAD_SEE,2015,27708.0,2015
A,ITTOT,9,1,ALL,9,1,GRAD_SEEK_P,2015,40.8,2015
A,ITTOT,9,1,ALL,9,2,GRAD_SEE,2015,38120.0,2015
A,ITTOT,9,1,ALL,9,2,GRAD_SEEK_P,2015,46.1,2015
A,ITTOT,9,1,ALL,9,9,GRAD_SEE,2015,65828.0,2015
A,ITTOT,9,1,ALL,9,9,GRAD_SEEK_P,2015,43.7,2015
A,ITTOT,9,7,ALL,9,1,GRAD_SEE,2015,10218.0,2015
A,ITTOT,9,7,ALL,9,1,GRAD_SEEK_P,2015,15.1,2015
A,ITTOT,9,7,ALL,9,2,GRAD_SEE,2015,7080.0,2015
A,ITTOT,9,7,ALL,9,2,GRAD_SEEK_P,2015,8.6,2015
A,ITTOT,9,7,ALL,9,9,GRAD_SEE,2015,17298.0,2015
A,ITTOT,9,7,ALL,9,9,GRAD_SEEK_P,2015,11.5,2015
A,ITTOT,9,8,ALL,9,1,GRAD_SEE,2015,29934.0,2015
A,ITTOT,9,8,ALL,9,1,GRAD_SEEK_P,2015,44.1,2015
A,ITTOT,9,8,ALL,9,2,GRAD_SEE,2015,37537.0,2015
A,ITTOT,9,8,ALL,9,2,GRAD_SEEK_P,2015,45.4,2015
A,ITTOT,9,8,ALL,9,9,GRAD_SEE,2015,67472.0,2015
A,ITTOT,9,8,ALL,9,9,GRAD_SEEK_P,2015,44.8,2015
A,ITTOT,9,9,ALL,1,1,GRAD_EMP,2015,19742.0,2015
A,ITTOT,9,9,ALL,1,1,GRAD_EMP_P,2015,71.3,2015
A,ITTOT,9,9,ALL,1,2,GRAD_EMP,2015,18958.0,2015
A,ITTOT,9,9,ALL,1,2,GRAD_EMP_P,2015,49.7,2015
A,ITTOT,9,9,ALL,1,9,GRAD_EMP,2015,38700.0,2015
A,ITTOT,9,9,ALL,1,9,GRAD_EMP_P,2015,58.8,2015
A,ITTOT,9,9,ALL,2,1,GRAD_EMP,2015,3629.0,2015
A,ITTOT,9,9,ALL,2,1,GRAD_EMP_P,2015,13.1,2015
A,ITTOT,9,9,ALL,2,2,GRAD_EMP,2015,10313.0,2015
A,ITTOT,9,9,ALL,2,2,GRAD_EMP_P,2015,27.1,2015
A,ITTOT,9,9,ALL,2,9,GRAD_EMP,2015,13943.0,2015
A,ITTOT,9,9,ALL,2,9,GRAD_EMP_P,2015,21.2,2015
A,ITTOT,9,9,ALL,8,1,GRAD_EMP,2015,4337.0,2015
A,ITTOT,9,9,ALL,8,1,GRAD_EMP_P,2015,15.7,2015
A,ITTOT,9,9,ALL,8,2,GRAD_EMP,2015,8848.0,2015
A,ITTOT,9,9,ALL,8,2,GRAD_EMP_P,2015,23.2,2015
A,ITTOT,9,9,ALL,8,9,GRAD_EMP,2015,13185.0,2015
A,ITTOT,9,9,ALL,8,9,GRAD_EMP_P,2015,20.0,2015
A,ITTOT,9,9,ALL,9,1,GRAD_EMP,2015,27708.0,2015
A,ITTOT,9,9,ALL,9,1,GRAD_EMP_P,2015,100.0,2015
A,ITTOT,9,9,ALL,9,1,GRAD_SEE,2015,67861.0,2015
A,ITTOT,9,9,ALL,9,1,GRAD_SEE_P,2015,31.1,2015
A,ITTOT,9,9,ALL,9,1,GRAD_SEEK_P,2015,100.0,2015
A,ITTOT,9,9,ALL,9,2,GRAD_EMP,2015,38120.0,2015
A,ITTOT,9,9,ALL,9,2,GRAD_EMP_P,2015,100.0,2015
A,ITTOT,9,9,ALL,9,2,GRAD_SEE,2015,82737.0,2015
A,ITTOT,9,9,ALL,9,2,GRAD_SEE_P,2015,35.6,2015
A,ITTOT,9,9,ALL,9,2,GRAD_SEEK_P,2015,100.0,2015
A,ITTOT,9,9,ALL,9,9,GRAD_EMP,2015,65828.0,2015
A,ITTOT,9,9,ALL,9,9,GRAD_EMP_P,2015,100.0,2015
A,ITTOT,9,9,ALL,9,9,GRAD_SEE,2015,150597.0,2015
A,ITTOT,9,9,ALL,9,9,GRAD_SEE_P,2015,33.4,2015
A,ITTOT,9,9,ALL,9,9,GRAD_SEEK_P,2015,100.0,2015
A,ITTOT,9,9,BOTAB,9,1,GRAD_SEE,2015,42003.0,2015
A,ITTOT,9,9,BOTAB,9,1,GRAD_SEEK_P,2015,61.9,2015
A,ITTOT,9,9,BOTAB,9,2,GRAD_SEE,2015,36166.0,2015
A,ITTOT,9,9,BOTAB,9,2,GRAD_SEEK_P,2015,43.7,2015
A,ITTOT,9,9,BOTAB,9,9,GRAD_SEE,2015,78169.0,2015
A,ITTOT,9,9,BOTAB,9,9,GRAD_SEEK_P,2015,51.9,2015
A,ITTOT,9,9,ONLFOR,9,1,GRAD_SEE,2015,1229.0,2015
A,ITTOT,9,9,ONLFOR,9,1,GRAD_SEEK_P,2015,1.8,2015
A,ITTOT,9,9,ONLFOR,9,2,GRAD_SEE,2015,1420.0,2015
A,ITTOT,9,9,ONLFOR,9,2,GRAD_SEEK_P,2015,1.7,2015
A,ITTOT,9,9,ONLFOR,9,9,GRAD_SEE,2015,2649.0,2015
A,ITTOT,9,9,ONLFOR,9,9,GRAD_SEEK_P,2015,1.8,2015
A,ITTOT,9,9,ONLITA,9,1,GRAD_SEE,2015,24628.0,2015
A,ITTOT,9,9,ONLITA,9,1,GRAD_SEEK_P,2015,36.3,2015
A,ITTOT,9,9,ONLITA,9,2,GRAD_SEE,2015,45151.0,2015
A,ITTOT,9,9,ONLITA,9,2,GRAD_SEEK_P,2015,54.6,2015
A,ITTOT,9,9,ONLITA,9,9,GRAD_SEE,2015,69780.0,2015
A,ITTOT,9,9,ONLITA,9,9,GRAD_SEEK_P,2015,46.3,2015
