COD_ISTITUTO;Area_Istituto;STATUS;COD_TIPO_ISTITUTO;TIPO_ISTITUTO_SIGLA;TIPO_ISTITUTO;NOME_ISTITUTO;COMUNE_SEDE;CAP;Indirizzo;COD_RIPGEO;RIPGEO;COD_REG_ISTAT;REGIONE_ISTITUTO;COD_PROV_ISTAT;PROVINCIA_ISTITUTO;web;Stato attività;Data_Chiusura;Annotazioni;ID_ISTITUTO
54170;Area Musicale/Coreutica;Statale;4;CON;Conservatorio di Musica statale;Conservatorio di Musica statale di CATANIA Vincenzo Bellini;CATANIA;95124;via istituto s. cuore, 3;4;Sud e Isole;19;SICILIA;87;CATANIA;https://www.conservatoriocatania.it/;1;;NB. Statizzazione dal 2023 con D.M.n.1177 del 14-10-2022 (disattivato IMP CATANIA - COD_ISTITUTO 7224);103
57930;Area Musicale/Coreutica;Statale;4;CON;Conservatorio di Musica statale;Conservatorio di Musica statale di CESENA (FC) e RIMINI B. Maderna – G. Lettimi;CESENA (FC) e RIMINI;47521;Sede di Cesena: Corso Comandini, 1 - 47521 (FC) Sede di Rimini: Via Cairoli, 44 - 47921 (RN);2;Nord Est;8;EMILIA ROMAGNA;40;FORLI'-CESENA;https://www.madernalettimi.it/;1;;"NB. Fusione dal 1.1.2024 tra il Conservatorio ""B.Maderna"" di Cesena e Conservatorio ""G. Lettimi"" di Rimini disposta con DM 1660-27.12.2023 (disattivati CON CESENA 7202; CON RIMINI - COD_ISTITUTO 54176)";54
7202;Area Musicale/Coreutica;Statale;4;CON;Conservatorio di Musica statale;Conservatorio di Musica statale di CESENA (FC) Bruno Maderna;CESENA (FC);;;2;Nord Est;8;EMILIA ROMAGNA;40;FORLI'-CESENA;;0;2023;NB. Cessato a seguito della fusione tra il Conservatorio di Musica B.Maderna di Cesena ed il Conservatorio di Musica di Rimini G. Lettimi di Rimini dal 1 gennaio 2024 disposta con DM 1660-27.12.2023;9999
7304;Area Musicale/Coreutica;Statale;4;CON;Conservatorio di Musica statale;Conservatorio di Musica statale di COMO Giuseppe Verdi;COMO;22100;via cadorna, 4;1;Nord Ovest;3;LOMBARDIA;13;COMO;https://www.conservatoriocomo.it/;1;;;55
7209;Area Musicale/Coreutica;Statale;4;CON;Conservatorio di Musica statale;Conservatorio di Musica statale di COSENZA Stanislao Giacomantonio;COSENZA;87100;ex convento di s. maria delle grazie, via portapiana;4;Sud e Isole;18;CALABRIA;78;COSENZA;https://www.conservatoriocosenza.it/;1;;;56
54178;Area Musicale/Coreutica;Statale;4;CON;Conservatorio di Musica statale;Conservatorio di Musica statale di CREMONA Claudio Monteverdi;CREMONA;26100;via realdo colombo, 1;1;Nord Ovest;3;LOMBARDIA;19;CREMONA;https://www.conscremona.it/;1;;NB. Statizzazione dal 2023 con D.M.n.1179 del 14-10-2022 (disattivato IMP CREMONA - COD_ISTITUTO 7249);138
7324;Area Musicale/Coreutica;Statale;4;CON;Conservatorio di Musica statale;Conservatorio di Musica statale di CUNEO G.F. Ghedini;CUNEO;12100;via roma, 19;1;Nord Ovest;1;PIEMONTE;4;CUNEO;https://www.conservatoriocuneo.it/;1;;;57
7203;Area Musicale/Coreutica;Statale;4;CON;Conservatorio di Musica statale;Conservatorio di Musica statale di FERMO Giovambattista Pergolesi;FERMO;63023;via dell'università, 16;3;Centro;11;MARCHE;44;ASCOLI PICENO;https://www.conservatorio.net;1;;;59
7258;Area Musicale/Coreutica;Statale;4;CON;Conservatorio di Musica statale;Conservatorio di Musica statale di FERRARA Girolamo Frescobaldi;FERRARA;44121;largo antonioni, 1;2;Nord Est;8;EMILIA ROMAGNA;38;FERRARA;https://www.conservatorioferrara.it;1;;;60
7326;Area Musicale/Coreutica;Statale;4;CON;Conservatorio di Musica statale;Conservatorio di Musica statale di FIRENZE Luigi Cherubini;FIRENZE;50122;p.zza belle arti, 2;3;Centro;9;TOSCANA;48;FIRENZE;https://www.conservatorio.firenze.it;1;;;61
7322;Area Musicale/Coreutica;Statale;4;CON;Conservatorio di Musica statale;Conservatorio di Musica statale di FOGGIA Umberto Giordano;FOGGIA;71100;piazza negri, 13;4;Sud e Isole;16;PUGLIA;71;FOGGIA;https://www.conservatoriofoggia.it;1;;;62
7328;Area Musicale/Coreutica;Statale;4;CON;Conservatorio di Musica statale;Conservatorio di Musica statale di FOGGIA - RODI GARGANICO (FG) Umberto Giordano (sezione staccata);FOGGIA - RODI GARGANICO (FG);71012;via lenoci, 2;4;Sud e Isole;16;PUGLIA;71;FOGGIA;https://www.conservatoriorodi.it;1;;;86
7331;Area Musicale/Coreutica;Statale;4;CON;Conservatorio di Musica statale;Conservatorio di Musica statale di FROSINONE Licinio Refice;FROSINONE;3100;viale michelangelo;3;Centro;12;LAZIO;60;FROSINONE;https://www.conservatorio-frosinone.it/;1;;;63
54171;Area Musicale/Coreutica;Statale;4;CON;Conservatorio di Musica statale;Conservatorio di Musica statale di GALLARATE (VA) Giacomo Puccini;GALLARATE (VA);21013;via dante, 11;1;Nord Ovest;3;LOMBARDIA;12;VARESE;https://issmpuccinigallarate.it/;1;;NB. Statizzazione dal 2023 con D.M.n.1193 del 14-10-2022  (disattivato IMP GALLARATE - COD_ISTITUTO 7323);105
7293;Area Musicale/Coreutica;Statale;4;CON;Conservatorio di Musica statale;Conservatorio di Musica statale di GENOVA Nicolò Paganini;GENOVA;16145;via albaro, 38;1;Nord Ovest;7;LIGURIA;10;GENOVA;https://www.conspaganini.it;1;;;64
7246;Area Musicale/Coreutica;Statale;4;CON;Conservatorio di Musica statale;Conservatorio di Musica statale di LA SPEZIA Giacomo Puccini;LA SPEZIA;19100;via xx settembre, 34;1;Nord Ovest;7;LIGURIA;11;LA SPEZIA;https://conssp.it/;1;;;66
7204;Area Musicale/Coreutica;Statale;4;CON;Conservatorio di Musica statale;Conservatorio di Musica statale di L'AQUILA Alfredo Casella;L'AQUILA;67100;Via francesco savini, snc;4;Sud e Isole;13;ABRUZZO;66;L'AQUILA;https://www.consaq.it;1;;;65
7286;Area Musicale/Coreutica;Statale;4;CON;Conservatorio di Musica statale;Conservatorio di Musica statale di LATINA Ottorino Respighi;LATINA;4100;via ezio;3;Centro;12;LAZIO;59;LATINA;https://www.conservatorio.latina.it/;1;;;67
7239;Area Musicale/Coreutica;Statale;4;CON;Conservatorio di Musica statale;Conservatorio di Musica statale di LECCE Tito Schipa;LECCE;73100;via a.ciardo, 2;4;Sud e Isole;16;PUGLIA;75;LECCE;https://www.conservatoriolecce.it;1;;;68
49350;Area Musicale/Coreutica;Statale;4;CON;Conservatorio di Musica statale;Conservatorio di Musica statale di LECCE - CEGLIE MESSAPICA (BR) Tito Schipa (sezione staccata);LECCE - CEGLIE MESSAPICA (BR);72013;v.le b. luigi don guanella, 2;4;Sud e Isole;16;PUGLIA;75;LECCE;https://www.conservatoriolecce.it;1;;;143
54172;Area Musicale/Coreutica;Statale;4;CON;Conservatorio di Musica statale;Conservatorio di Musica statale di LIVORNO Pietro Mascagni;LIVORNO;57122;via g. galilei, 54;3;Centro;9;TOSCANA;49;LIVORNO;https://www.consli.it/;1;;NB. Statizzazione dal 2023 con D.M.n.1190 del 14-10-2022  (disattivato IMP LIVORNO - COD_ISTITUTO 7298);106
54183;Area Musicale/Coreutica;Statale;4;CON;Conservatorio di Musica statale;Conservatorio di Musica statale di LUCCA Luigi Boccherini;LUCCA;55100;p.zza del suffragio, 6;3;Centro;9;TOSCANA;46;LUCCA;https://www.boccherini.it/;1;;NB. Statizzazione dal 2023 con D.M.n.1182 del 14-10-2022  (disattivato IMP LUCCA - COD_ISTITUTO 7268);107
7333;Area Musicale/Coreutica;Statale;4;CON;Conservatorio di Musica statale;Conservatorio di Musica statale di MANTOVA Lucio Campiani;MANTOVA;46100;via della Conciliazione, 33;1;Nord Ovest;3;LOMBARDIA;20;MANTOVA;https://www.conservatoriomantova.com;1;;;69
7271;Area Musicale/Coreutica;Statale;4;CON;Conservatorio di Musica statale;Conservatorio di Musica statale di MATERA Egidio R. Duni;MATERA;75100;p.zza del sedile;4;Sud e Isole;17;BASILICATA;77;MATERA;https://www.conservatoriomatera.it;1;;;70
7290;Area Musicale/Coreutica;Statale;4;CON;Conservatorio di Musica statale;Conservatorio di Musica statale di MESSINA Arcangelo Corelli;MESSINA;98100;via bonino, 1;4;Sud e Isole;19;SICILIA;83;MESSINA;https://www.consme.it;1;;;71
7250;Area Musicale/Coreutica;Statale;4;CON;Conservatorio di Musica statale;Conservatorio di Musica statale di MILANO Giuseppe Verdi;MILANO;20122;via conservatorio, 12;1;Nord Ovest;3;LOMBARDIA;15;MILANO;https://www.consmilano.it/;1;;;72
54182;Area Musicale/Coreutica;Statale;4;CON;Conservatorio di Musica statale;Conservatorio di Musica statale di MODENA e CARPI (MO) Orazio Vecchi - Antonio Tonelli;MODENA e CARPI (MO);41100;"Sede di Modena: Via Carlo Goldoni, 8 - 41100 Modena; Sede di Carpi: Via S.Rocco, 5 - 41012 Carpi (MO)";2;Nord Est;8;EMILIA ROMAGNA;36;MODENA;https://www.vecchitonelli.it/;1;;NB. Statizzazione dal 2023 con D.M.n.1187 del 14-10-2022  (disattivato IMP MODENA - COD_ISTITUTO 7264);144
7259;Area Musicale/Coreutica;Statale;4;CON;Conservatorio di Musica statale;Conservatorio di Musica statale di MONOPOLI (BA) Nino Rota;MONOPOLI (BA);70043;p.zza s. antonio, 27;4;Sud e Isole;16;PUGLIA;72;BARI;https://www.conservatoriodimonopoli.org;1;;;73
7222;Area Musicale/Coreutica;Statale;4;CON;Conservatorio di Musica statale;Conservatorio di Musica statale di NAPOLI S. Pietro a Majella;NAPOLI;80138;via s.p. a majella, 35;4;Sud e Isole;15;CAMPANIA;63;NAPOLI;https://www.sanpietroamajella.it/;1;;;74
54179;Area Musicale/Coreutica;Statale;4;CON;Conservatorio di Musica statale;Conservatorio di Musica statale di NOCERA TERINESE (CZ) P.I. Tchaikovsky;NOCERA TERINESE (CZ);88047;Via Dante Alighieri n. 13;4;Sud e Isole;18;CALABRIA;79;CATANZARO;https://cons.cz.it/;1;;NB. Statizzazione dal 2023 con D.M.n.1183 del 14-10-2022  (disattivato IMP NOCERA - COD_ISTITUTO 7253);136
7317;Area Musicale/Coreutica;Statale;4;CON;Conservatorio di Musica statale;Conservatorio di Musica statale di NOVARA Guido Cantelli;NOVARA;28100;via collegio gallarini, 1;1;Nord Ovest;1;PIEMONTE;3;NOVARA;https://consno.it/;1;;;75
7327;Area Musicale/Coreutica;Statale;4;CON;Conservatorio di Musica statale;Conservatorio di Musica statale di PADOVA Cesare Pollini;PADOVA;35100;via eremitani, 6;2;Nord Est;5;VENETO;28;PADOVA;https://www.conservatoriopollini.it;1;;;76
7263;Area Musicale/Coreutica;Statale;4;CON;Conservatorio di Musica statale;Conservatorio di Musica statale di PALERMO Alessandro Scarlatti;PALERMO;90133;via squarcialupo,45;4;Sud e Isole;19;SICILIA;82;PALERMO;https://www.conservatoriobellini.it/;1;;;77
7220;Area Musicale/Coreutica;Statale;4;CON;Conservatorio di Musica statale;Conservatorio di Musica statale di PARMA Arrigo Boito;PARMA;43100;via del conservatorio,27;2;Nord Est;8;EMILIA ROMAGNA;34;PARMA;https://www.conservatorio.pr.it/;1;;;78
54180;Area Musicale/Coreutica;Statale;4;CON;Conservatorio di Musica statale;Conservatorio di Musica statale di PAVIA Franco Vittadini;PAVIA;27100;via a. volta, 31;1;Nord Ovest;3;LOMBARDIA;18;PAVIA;https://conspv.it/;1;;NB. Statizzazione dal 2023 con D.M.n.1192 del 14-10-2022  (disattivato IMP PAVIA - COD_ISTITUTO 7255);134
7247;Area Musicale/Coreutica;Statale;4;CON;Conservatorio di Musica statale;Conservatorio di Musica statale di PERUGIA Francesco Morlacchi;PERUGIA;6123;piazza mariotti,2;3;Centro;10;UMBRIA;54;PERUGIA;https://www.conservatorioperugia.it;1;;;79
7205;Area Musicale/Coreutica;Statale;4;CON;Conservatorio di Musica statale;Conservatorio di Musica statale di PESARO (PU) Gioacchino Rossini;PESARO (PU);61100;piazza olivieri,5;3;Centro;11;MARCHE;41;PESARO E URBINO;https://www.conservatoriorossini.it/;1;;;80
7314;Area Musicale/Coreutica;Statale;4;CON;Conservatorio di Musica statale;Conservatorio di Musica statale di PESCARA Luisa D’Annunzio;PESCARA;65123;Via Leopoldo Muzii,7;4;Sud e Isole;13;ABRUZZO;68;PESCARA;https://www.conservatoriopescara.it;1;;;81
7287;Area Musicale/Coreutica;Statale;4;CON;Conservatorio di Musica statale;Conservatorio di Musica statale di PIACENZA Giuseppe Nicolini;PIACENZA;29100;via s. franca , 35;2;Nord Est;8;EMILIA ROMAGNA;33;PIACENZA;https://www.conservatorio.piacenza.it;1;;;82
7307;Area Musicale/Coreutica;Statale;4;CON;Conservatorio di Musica statale;Conservatorio di Musica statale di POTENZA Gesualdo da Venosa;POTENZA;85100;via tammone, 1;4;Sud e Isole;17;BASILICATA;76;POTENZA;https://www.conservatoriopotenza.it;1;;;83
54173;Area Musicale/Coreutica;Statale;4;CON;Conservatorio di Musica statale;Conservatorio di Musica statale di RAVENNA Giuseppe Verdi;RAVENNA;48100;via roma, 33;2;Nord Est;8;EMILIA ROMAGNA;39;RAVENNA;https://www.verdiravenna.it/;1;;NB. Statizzazione dal 2023 con D.M.n.1181 del 14-10-2022  (disattivato IMP RAVENNA - COD_ISTITUTO 7225);109
7206;Area Musicale/Coreutica;Statale;4;CON;Conservatorio di Musica statale;Conservatorio di Musica statale di REGGIO CALABRIA Francesco Cilea;REGGIO CALABRIA;89123;via aschenez prolungamento, 1;4;Sud e Isole;18;CALABRIA;80;REGGIO CALABRIA;https://www.conservatoriocilea.it/;1;;;84
54177;Area Musicale/Coreutica;Statale;4;CON;Conservatorio di Musica statale;Conservatorio di Musica statale di REGGIO EMILIA e CASTELNOVO NE' MONTI (RE) ;REGGIO EMILIA e CASTELNOVO NE' MONTI (RE);42100;Via Dante Alighieri, 11;2;Nord Est;8;EMILIA ROMAGNA;35;REGGIO EMILIA;https://www.peri-merulo.it/;1;;NB. Statizzazione dal 2023 con D.M.n.1188 del 14-10-2022  (disattivato IMP REGGIO EMILIA - COD_ISTITUTO 7248);110
54184;Area Musicale/Coreutica;Statale;4;CON;Conservatorio di Musica statale;Conservatorio di Musica statale di RIBERA (AG) Arturo Toscanini;RIBERA (AG);92016;via roma, 21;4;Sud e Isole;19;SICILIA;84;AGRIGENTO;https://www.conservatoriotoscanini.it/;1;;NB. Statizzazione dal 2023 con D.M.n.1178 del 14-10-2022  (disattivato IMP RIBERA - COD_ISTITUTO 7283);145
54176;Area Musicale/Coreutica;Statale;4;CON;Conservatorio di Musica statale;Conservatorio di Musica statale di RIMINI G. Lettimi;RIMINI;;;2;Nord Est;8;EMILIA ROMAGNA;99;RIMINI;;0;2023;NB. Cessato a seguito della fusione tra il Conservatorio di Musica B.Maderna di Cesena ed il Conservatorio di Musica di Rimini G. Lettimi di Rimini dal 1 gennaio 2024 disposta con DM 1660-27.12.2023;9999
7309;Area Musicale/Coreutica;Statale;4;CON;Conservatorio di Musica statale;Conservatorio di Musica statale di ROMA Santa Cecilia;ROMA;187;via dei greci,18;3;Centro;12;LAZIO;58;ROMA;https://www.conservatoriosantacecilia.it;1;;;87
7294;Area Musicale/Coreutica;Statale;4;CON;Conservatorio di Musica statale;Conservatorio di Musica statale di ROVIGO Francesco Venezze;ROVIGO;45100;corso del popolo, 241;2;Nord Est;5;VENETO;29;ROVIGO;https://www.conservatoriorovigo.it/;1;;;88
