AnnoA;CorsoTIPO;AnnoNascita;SESSO;Isc
2024/2025;Laurea Magistrale a Ciclo Unico - dm 270/04;1998;F;395
2024/2025;Laurea - dm 270/04;1982;M;391
2024/2025;Laurea - dm 270/04;1973;F;389
2024/2025;Laurea - dm 270/04;1980;M;380
2024/2025;Laurea - dm 270/04;1978;M;374
2024/2025;Laurea Magistrale - dm 270/04;1979;F;370
2024/2025;Laurea Magistrale a Ciclo Unico - dm 270/04;2001;M;369
2024/2025;Laurea - dm 270/04;1976;M;362
2024/2025;Laurea Magistrale - dm 270/04;1980;F;358
2024/2025;Laurea - dm 270/04;1972;F;356
2024/2025;Laurea - dm 270/04;1977;M;348
2024/2025;Laurea - dm 270/04;1974;M;343
2024/2025;Laurea Magistrale a Ciclo Unico - dm 270/04;2000;M;342
2024/2025;Laurea Magistrale a Ciclo Unico - dm 270/04;1997;F;337
2024/2025;Laurea - dm 270/04;1971;F;337
2024/2025;Laurea Magistrale - dm 270/04;1978;F;324
2024/2025;Laurea Magistrale - dm 270/04;1976;F;317
2024/2025;Laurea Magistrale - dm 270/04;1985;M;317
2024/2025;Laurea - dm 270/04;1975;M;312
2024/2025;Laurea Magistrale - dm 270/04;1986;M;301
2024/2025;Laurea Magistrale - dm 270/04;1984;M;299
2024/2025;Laurea Magistrale - dm 270/04;1983;M;294
2024/2025;Laurea Magistrale - dm 270/04;1977;F;278
2024/2025;Laurea Magistrale a Ciclo Unico - dm 270/04;1996;F;276
2024/2025;Laurea Magistrale - dm 270/04;1982;M;275
2024/2025;Laurea - dm 270/04;1970;F;264
2024/2025;Laurea - dm 270/04;1969;F;254
2024/2025;Laurea Magistrale - dm 270/04;1975;F;254
2024/2025;Laurea Magistrale a Ciclo Unico - dm 270/04;1999;M;254
2024/2025;Laurea Magistrale a Ciclo Unico - dm 270/04;1995;F;251
2024/2025;Laurea - dm 270/04;1973;M;250
2024/2025;Laurea Magistrale - dm 270/04;1974;F;240
2024/2025;Laurea Magistrale - dm 270/04;1973;F;234
2024/2025;Laurea - dm 270/04;1972;M;234
2024/2025;Laurea Magistrale a Ciclo Unico - dm 270/04;1994;F;229
2024/2025;Laurea Magistrale - dm 270/04;1981;M;216
2024/2025;Laurea Magistrale - dm 270/04;1979;M;215
2024/2025;Laurea - dm 270/04;1971;M;211
2024/2025;Laurea Magistrale - dm 270/04;1980;M;209
2024/2025;Laurea Magistrale a Ciclo Unico - dm 270/04;1993;F;195
2024/2025;Laurea Magistrale - dm 270/04;1977;M;193
2024/2025;Laurea Magistrale - dm 270/04;1978;M;193
2024/2025;Laurea Magistrale - dm 270/04;1972;F;193
2024/2025;Laurea Magistrale a Ciclo Unico - dm 270/04;1992;F;189
2024/2025;Laurea - dm 270/04;1969;M;187
2024/2025;Laurea - dm 270/04;1968;F;184
2024/2025;Laurea Magistrale a Ciclo Unico - dm 270/04;1998;M;184
2024/2025;Laurea - dm 270/04;1970;M;177
2024/2025;Laurea Magistrale - dm 270/04;1971;F;162
2024/2025;Laurea Magistrale - dm 270/04;1970;F;161
2024/2025;Laurea Magistrale - dm 270/04;1976;M;161
2024/2025;Laurea Magistrale a Ciclo Unico - dm 270/04;1997;M;156
2024/2025;Laurea Magistrale - dm 270/04;1975;M;155
2024/2025;Laurea - dm 270/04;1967;F;155
2024/2025;Laurea Magistrale - dm 270/04;1974;M;149
2024/2025;Laurea - dm 270/04;2007;F;149
2024/2025;Laurea - dm 270/04;2007;M;148
2024/2025;Laurea Magistrale a Ciclo Unico - dm 270/04;1991;F;147
2024/2025;Laurea - dm 270/04;1967;M;145
2024/2025;Laurea Magistrale a Ciclo Unico - dm 270/04;1990;F;131
2024/2025;Laurea Magistrale - dm 270/04;1973;M;129
2024/2025;Laurea - dm 270/04;1966;F;128
2024/2025;Laurea Magistrale - dm 270/04;1969;F;126
2024/2025;Laurea Magistrale a Ciclo Unico - dm 270/04;1988;F;126
2024/2025;Laurea Magistrale a Ciclo Unico - dm 270/04;1986;F;125
2024/2025;Laurea - dm 270/04;1968;M;125
2024/2025;Laurea Magistrale a Ciclo Unico - dm 270/04;1996;M;120
2024/2025;Laurea Magistrale a Ciclo Unico - dm 270/04;1984;F;117
2024/2025;Laurea Magistrale a Ciclo Unico - dm 270/04;1989;F;116
2024/2025;Laurea - dm 270/04;1966;M;112
2024/2025;Laurea Magistrale - dm 270/04;1972;M;112
2024/2025;Laurea Magistrale a Ciclo Unico - dm 270/04;1987;F;111
2024/2025;Laurea Magistrale a Ciclo Unico - dm 270/04;1995;M;108
2024/2025;Laurea Magistrale - dm 270/04;1971;M;105
2024/2025;Laurea - dm 270/04;1965;M;105
2024/2025;Laurea Magistrale a Ciclo Unico - dm 270/04;1993;M;104
2024/2025;Laurea Magistrale - dm 270/04;1967;F;99
2024/2025;Laurea Magistrale - dm 270/04;1968;F;98
2024/2025;Laurea - dm 270/04;1964;F;98
2024/2025;Laurea Magistrale - dm 270/04;1970;M;97
2024/2025;Laurea - dm 270/04;1965;F;96
2024/2025;Laurea - dm 270/04;1964;M;93
2024/2025;Laurea - dm 270/04;1962;M;89
2024/2025;Laurea Magistrale a Ciclo Unico - dm 270/04;1985;F;86
2024/2025;Laurea - dm 270/04;1963;M;82
2024/2025;Laurea Magistrale - dm 270/04;2004;F;81
2024/2025;Laurea Magistrale - dm 270/04;1969;M;80
2024/2025;Laurea Magistrale a Ciclo Unico - dm 270/04;1983;F;80
2024/2025;Laurea Magistrale a Ciclo Unico - dm 270/04;1981;F;75
2024/2025;Laurea Magistrale - dm 270/04;1966;F;74
2024/2025;Laurea - dm 270/04;1961;M;74
2024/2025;Laurea Magistrale a Ciclo Unico - dm 270/04;1994;M;74
2024/2025;Laurea Magistrale a Ciclo Unico - dm 270/04;1992;M;73
2024/2025;Laurea Magistrale a Ciclo Unico - dm 270/04;1990;M;69
2024/2025;Laurea - dm 270/04;1963;F;69
2024/2025;Laurea Magistrale - dm 270/04;1968;M;67
2024/2025;Laurea Magistrale a Ciclo Unico - dm 270/04;1991;M;66
2024/2025;Laurea - dm 270/04;1962;F;64
2024/2025;Laurea Magistrale a Ciclo Unico - dm 270/04;1982;F;63
2024/2025;Laurea - dm 270/04;1957;M;62
2024/2025;Laurea Magistrale a Ciclo Unico - dm 270/04;1989;M;62
2024/2025;Laurea Magistrale - dm 270/04;2004;M;62
2024/2025;Laurea Magistrale a Ciclo Unico - dm 270/04;1980;F;61
2024/2025;Laurea - dm 270/04;1960;M;59
2024/2025;Laurea - dm 270/04;1959;M;55
2024/2025;Laurea Magistrale - dm 270/04;1967;M;55
2024/2025;Laurea Magistrale a Ciclo Unico - dm 270/04;2007;F;55
2024/2025;Laurea Magistrale - dm 270/04;1965;F;54
2024/2025;Laurea Magistrale a Ciclo Unico - dm 270/04;1988;M;53
2024/2025;Laurea Magistrale - dm 270/04;1966;M;51
2024/2025;Laurea - dm 270/04;1956;M;48
2024/2025;Laurea Magistrale a Ciclo Unico - dm 270/04;1987;M;46
2024/2025;Laurea - dm 270/04;1961;F;45
2024/2025;Laurea Magistrale a Ciclo Unico - dm 270/04;1978;F;44
2024/2025;Laurea Magistrale - dm 270/04;1965;M;43
2024/2025;Laurea Magistrale - dm 270/04;1964;M;43
2024/2025;Laurea Magistrale - dm 270/04;1964;F;42
2024/2025;Laurea - dm 270/04;1958;M;42
2024/2025;Laurea Magistrale a Ciclo Unico - dm 270/04;1979;F;41
2024/2025;Laurea Magistrale a Ciclo Unico - dm 270/04;1985;M;39
2024/2025;Laurea Magistrale a Ciclo Unico - dm 270/04;1986;M;38
2024/2025;Laurea Magistrale a Ciclo Unico - dm 270/04;1977;F;38
2024/2025;Laurea - dm 270/04;1960;F;38
2024/2025;Laurea Magistrale a Ciclo Unico - dm 270/04;1976;F;37
2024/2025;Laurea Magistrale a Ciclo Unico - dm 270/04;1975;F;34
2024/2025;Laurea - dm 270/04;1957;F;34
2024/2025;Laurea Magistrale - dm 270/04;1963;M;33
2024/2025;Laurea Magistrale a Ciclo Unico - dm 270/04;1974;F;33
2024/2025;Laurea Magistrale a Ciclo Unico - dm 270/04;1982;M;33
2024/2025;Laurea Magistrale a Ciclo Unico - dm 270/04;2007;M;33
2024/2025;Laurea Magistrale a Ciclo Unico - dm 270/04;1977;M;31
2024/2025;Laurea Magistrale a Ciclo Unico - dm 270/04;1984;M;30
2024/2025;Laurea Magistrale a Ciclo Unico - dm 270/04;1983;M;29
2024/2025;Laurea Magistrale - dm 270/04;1963;F;28
2024/2025;Laurea - dm 270/04;1955;M;28
2024/2025;Laurea - dm 270/04;1958;F;26
2024/2025;Laurea - dm 270/04;1959;F;26
2024/2025;Laurea Magistrale a Ciclo Unico - dm 270/04;1981;M;26
2024/2025;Laurea Magistrale a Ciclo Unico - dm 270/04;1975;M;24
2024/2025;Laurea Magistrale - dm 270/04;1961;M;24
2024/2025;Laurea - dm 270/04;1955;F;23
2024/2025;Laurea Magistrale a Ciclo Unico - dm 270/04;1978;M;23
2024/2025;Laurea - dm 270/04;1954;M;22
2024/2025;Laurea Magistrale a Ciclo Unico - dm 270/04;1976;M;21
2024/2025;Laurea Magistrale a Ciclo Unico - dm 270/04;1972;F;21
2024/2025;Laurea Magistrale - dm 270/04;1961;F;21
2024/2025;Laurea Magistrale - dm 270/04;1962;M;21
2024/2025;Laurea Magistrale - dm 270/04;1960;F;20
2024/2025;Laurea Magistrale - dm 270/04;1960;M;20
2024/2025;Laurea Magistrale a Ciclo Unico - dm 270/04;1979;M;19
2024/2025;Laurea Magistrale a Ciclo Unico - dm 270/04;1980;M;18
2024/2025;Laurea Magistrale a Ciclo Unico - dm 270/04;1971;F;18
2024/2025;Laurea Magistrale a Ciclo Unico - dm 270/04;1973;F;18
2024/2025;Laurea Magistrale a Ciclo Unico - dm 270/04;1973;M;18
2024/2025;Laurea - dm 270/04;1953;M;18
2024/2025;Laurea Magistrale a Ciclo Unico - dm 270/04;1974;M;17
2024/2025;Laurea Magistrale - dm 270/04;1959;F;17
2024/2025;Laurea Magistrale - dm 270/04;1959;M;17
2024/2025;Laurea Magistrale - dm 270/04;1958;M;17
2024/2025;Laurea Magistrale - dm 270/04;1957;M;16
2024/2025;Laurea Magistrale - dm 270/04;1956;M;16
2024/2025;Laurea Magistrale - dm 270/04;1962;F;16
2024/2025;Laurea Magistrale a Ciclo Unico - dm 270/04;1971;M;15
2024/2025;Laurea Magistrale a Ciclo Unico - dm 270/04;1969;F;15
2024/2025;Laurea - dm 270/04;1950;M;15
2024/2025;Laurea - dm 270/04;1951;M;15
2024/2025;Laurea - dm 270/04;1952;M;15
2024/2025;Laurea Magistrale a Ciclo Unico - dm 270/04;1970;F;14
2024/2025;Laurea Magistrale a Ciclo Unico - dm 270/04;1968;F;14
2024/2025;Laurea Magistrale - dm 270/04;1957;F;13
2024/2025;Laurea - dm 270/04;1954;F;13
2024/2025;Laurea Magistrale - dm 270/04;1953;M;12
2024/2025;Laurea Magistrale - dm 270/04;1954;M;12
2024/2025;Laurea Magistrale - dm 270/04;1955;M;12
2024/2025;Laurea - dm 270/04;1948;M;12
2024/2025;Laurea - dm 270/04;1949;M;12
2024/2025;Laurea - dm 270/04;1956;F;11
2024/2025;Laurea Magistrale a Ciclo Unico - dm 270/04;1967;F;11
2024/2025;Laurea Magistrale a Ciclo Unico - dm 270/04;1969;M;11
2024/2025;Laurea Magistrale a Ciclo Unico - dm 270/04;1972;M;11
2024/2025;Laurea Magistrale a Ciclo Unico - dm 270/04;1968;M;8
2024/2025;Laurea Magistrale a Ciclo Unico - dm 270/04;1964;F;8
2024/2025;Laurea - dm 270/04;1947;M;8
2024/2025;Laurea Magistrale - dm 270/04;1951;M;8
2024/2025;Laurea - dm 270/04;1946;M;8
2024/2025;Laurea Magistrale - dm 270/04;1952;M;7
2024/2025;Laurea Magistrale a Ciclo Unico - dm 270/04;1965;F;7
2024/2025;Laurea Magistrale a Ciclo Unico - dm 270/04;1965;M;7
2024/2025;Laurea Magistrale a Ciclo Unico - dm 270/04;1966;F;6
2024/2025;Laurea Magistrale a Ciclo Unico - dm 270/04;1967;M;6
2024/2025;Laurea Magistrale a Ciclo Unico - dm 270/04;1970;M;6
2024/2025;Laurea - dm 270/04;1953;F;6
2024/2025;Laurea - dm 270/04;1952;F;6
2024/2025;Laurea Magistrale - dm 270/04;1950;M;6
2024/2025;Laurea - dm 270/04;1951;F;6
2024/2025;Laurea - dm 270/04;1948;F;6
2024/2025;Laurea - dm 270/04;1943;M;6
2024/2025;Laurea - dm 270/04;1950;F;5
2024/2025;Laurea Magistrale - dm 270/04;1955;F;5
2024/2025;Laurea Magistrale - dm 270/04;1956;F;5
2024/2025;Laurea Magistrale a Ciclo Unico - dm 270/04;1958;M;4
2024/2025;Laurea Magistrale a Ciclo Unico - dm 270/04;1960;M;4
2024/2025;Laurea Magistrale a Ciclo Unico - dm 270/04;1963;F;4
2024/2025;Laurea Magistrale a Ciclo Unico - dm 270/04;1963;M;4
2024/2025;Laurea Magistrale a Ciclo Unico - dm 270/04;1962;M;4
2024/2025;Laurea Magistrale - dm 270/04;1948;M;4
2024/2025;Laurea Magistrale - dm 270/04;1949;M;3
2024/2025;Laurea - dm 270/04;1949;F;3
2024/2025;Laurea Magistrale - dm 270/04;1952;F;3
2024/2025;Laurea Magistrale - dm 270/04;1954;F;3
2024/2025;Laurea Magistrale - dm 270/04;1946;M;3
2024/2025;Laurea Magistrale a Ciclo Unico - dm 270/04;1964;M;3
2024/2025;Laurea Magistrale a Ciclo Unico - dm 270/04;1955;M;3
2024/2025;Laurea Magistrale - dm 270/04;2005;F;3
2024/2025;Laurea Magistrale - dm 270/04;2005;M;2
2024/2025;Laurea Magistrale - dm 270/04;2006;M;2
2024/2025;Laurea - dm 270/04;2008;M;2
2024/2025;Laurea Magistrale - dm 270/04;1958;F;2
2024/2025;Laurea Magistrale a Ciclo Unico - dm 270/04;1961;M;2
2024/2025;Laurea Magistrale a Ciclo Unico - dm 270/04;1960;F;2
2024/2025;Laurea Magistrale a Ciclo Unico - dm 270/04;1962;F;2
2024/2025;Laurea Magistrale a Ciclo Unico - dm 270/04;1966;M;2
2024/2025;Laurea - dm 270/04;1947;F;2
2024/2025;Laurea Magistrale - dm 270/04;1945;M;2
2024/2025;Laurea Magistrale - dm 270/04;1943;M;2
2024/2025;Laurea - dm 270/04;1944;M;2
2024/2025;Laurea Magistrale - dm 270/04;1944;M;2
2024/2025;Laurea - dm 270/04;1939;M;2
2024/2025;Laurea - dm 270/04;1940;M;2
2024/2025;Laurea Magistrale a Ciclo Unico - dm 270/04;1954;M;2
2024/2025;Laurea Magistrale a Ciclo Unico - dm 270/04;1953;F;2
2024/2025;Laurea Magistrale a Ciclo Unico - dm 270/04;1953;M;2
2024/2025;Laurea Magistrale a Ciclo Unico - dm 270/04;1952;F;1
2024/2025;Laurea Magistrale a Ciclo Unico - dm 270/04;1952;M;1
2024/2025;Laurea Magistrale - dm 270/04;1953;F;1
2024/2025;Laurea Magistrale a Ciclo Unico - dm 270/04;1955;F;1
2024/2025;Laurea Magistrale a Ciclo Unico - dm 270/04;1949;M;1
2024/2025;Laurea Magistrale a Ciclo Unico - dm 270/04;1948;M;1
2024/2025;Laurea Magistrale - dm 270/04;1948;F;1
2024/2025;Laurea Magistrale - dm 270/04;1940;M;1
2024/2025;Laurea - dm 270/04;1941;M;1
2024/2025;Laurea Magistrale a Ciclo Unico - dm 270/04;1941;M;1
2024/2025;Laurea - dm 270/04;1942;F;1
2024/2025;Laurea Magistrale a Ciclo Unico - dm 270/04;1942;M;1
2024/2025;Laurea Magistrale - dm 270/04;1939;M;1
2024/2025;Laurea - dm 270/04;1945;M;1
2024/2025;Laurea - dm 270/04;1944;F;1
2024/2025;Laurea Magistrale a Ciclo Unico - dm 270/04;1900;F;1
2024/2025;Laurea - dm 270/04;1934;M;1
2024/2025;Laurea - dm 270/04;1937;F;1
2024/2025;Laurea - dm 270/04;1938;M;1
2024/2025;Laurea Magistrale - dm 270/04;1938;M;1
2024/2025;Laurea Magistrale a Ciclo Unico - dm 270/04;1959;F;1
2024/2025;Laurea Magistrale a Ciclo Unico - dm 270/04;1956;F;1
2024/2025;Laurea Magistrale a Ciclo Unico - dm 270/04;1956;M;1
2024/2025;Laurea Magistrale - dm 270/04;2008;F;1
2024/2025;Laurea - dm 270/04;2008;F;1
2024/2025;Laurea Magistrale a Ciclo Unico - dm 270/04;2005;9;1
2024/2025;Laurea Magistrale - dm 270/04;2007;M;1
2024/2025;Laurea Magistrale - dm 270/04;2001;9;1
2023/2024;Laurea - dm 270/04;2004;F;98456
2023/2024;Laurea - dm 270/04;2004;M;81390
2023/2024;Laurea - dm 270/04;2003;F;31589
2023/2024;Laurea Magistrale - dm 270/04;2001;F;24943
2023/2024;Laurea - dm 270/04;2003;M;24357
2023/2024;Laurea Magistrale a Ciclo Unico - dm 270/04;2004;F;21736
2023/2024;Laurea Magistrale - dm 270/04;2000;F;20041
2023/2024;Laurea Magistrale - dm 270/04;2001;M;18734
2023/2024;Laurea Magistrale - dm 270/04;2000;M;14736
2023/2024;Laurea - dm 270/04;2005;F;13086
2023/2024;Laurea - dm 270/04;2002;F;12215
2023/2024;Laurea - dm 270/04;2002;M;11339
2023/2024;Laurea Magistrale - dm 270/04;1999;F;10535
2023/2024;Laurea - dm 270/04;2005;M;9794
2023/2024;Laurea Magistrale a Ciclo Unico - dm 270/04;2004;M;9106
2023/2024;Laurea Magistrale - dm 270/04;1999;M;8593
2023/2024;Laurea Magistrale a Ciclo Unico - dm 270/04;2003;F;7386
2023/2024;Laurea - dm 270/04;2001;F;7111
2023/2024;Laurea - dm 270/04;2001;M;7019
2023/2024;Laurea Magistrale - dm 270/04;1998;F;5882
2023/2024;Laurea - dm 270/04;2000;M;5326
2023/2024;Laurea Magistrale - dm 270/04;1998;M;5195
2023/2024;Laurea - dm 270/04;2000;F;5027
2023/2024;Laurea - dm 270/04;1999;M;3792
2023/2024;Laurea Magistrale a Ciclo Unico - dm 270/04;2005;F;3791
2023/2024;Laurea Magistrale - dm 270/04;1997;F;3726
2023/2024;Laurea - dm 270/04;1999;F;3696
2023/2024;Laurea Magistrale - dm 270/04;2002;F;3554
2023/2024;Laurea Magistrale - dm 270/04;1997;M;3463
2023/2024;Laurea Magistrale a Ciclo Unico - dm 270/04;2003;M;3210
2023/2024;Laurea - dm 270/04;1998;M;3081
2023/2024;Laurea - dm 270/04;1998;F;2805
2023/2024;Laurea Magistrale - dm 270/04;1996;F;2596
2023/2024;Laurea Magistrale - dm 270/04;2002;M;2576
2023/2024;Laurea - dm 270/04;1997;M;2427
2023/2024;Laurea Magistrale - dm 270/04;1996;M;2314
2023/2024;Laurea - dm 270/04;1997;F;2233
2023/2024;Laurea Magistrale a Ciclo Unico - dm 270/04;2002;F;2113
2023/2024;Laurea Magistrale - dm 270/04;1995;F;2050
2023/2024;Laurea - dm 270/04;1996;M;1874
2023/2024;Laurea - dm 270/04;1996;F;1846
2023/2024;Laurea Magistrale - dm 270/04;1995;M;1669
2023/2024;Laurea Magistrale - dm 270/04;1994;F;1643
2023/2024;Laurea Magistrale a Ciclo Unico - dm 270/04;2005;M;1627
2023/2024;Laurea - dm 270/04;1995;F;1581
2023/2024;Laurea - dm 270/04;1995;M;1531
2023/2024;Laurea - dm 270/04;1994;F;1392
2023/2024;Laurea Magistrale - dm 270/04;1993;F;1376
2023/2024;Laurea - dm 270/04;1994;M;1331
2023/2024;Laurea Magistrale - dm 270/04;1994;M;1282
2023/2024;Laurea - dm 270/04;1993;M;1217
2023/2024;Laurea Magistrale - dm 270/04;1992;F;1202
2023/2024;Laurea - dm 270/04;1992;F;1185
2023/2024;Laurea - dm 270/04;1993;F;1173
2023/2024;Laurea Magistrale - dm 270/04;1991;F;1125
2023/2024;Laurea - dm 270/04;1991;F;1097
2023/2024;Laurea - dm 270/04;1992;M;1076
2023/2024;Laurea - dm 270/04;1990;F;1051
2023/2024;Laurea - dm 270/04;1991;M;1032
2023/2024;Laurea Magistrale - dm 270/04;1990;F;1012
2023/2024;Laurea Magistrale a Ciclo Unico - dm 270/04;2001;F;1005
2023/2024;Laurea Magistrale - dm 270/04;1993;M;998
2023/2024;Laurea - dm 270/04;1989;F;976
2023/2024;Laurea Magistrale a Ciclo Unico - dm 270/04;2002;M;973
2023/2024;Laurea Magistrale - dm 270/04;1989;F;926
2023/2024;Laurea - dm 270/04;1990;M;918
2023/2024;Laurea Magistrale - dm 270/04;1992;M;913
2023/2024;Laurea - dm 270/04;1988;F;872
2023/2024;Laurea - dm 270/04;1989;M;841
2023/2024;Laurea Magistrale - dm 270/04;1988;F;798
2023/2024;Laurea Magistrale - dm 270/04;1991;M;794
2023/2024;Laurea Magistrale - dm 270/04;1987;F;787
2023/2024;Laurea - dm 270/04;1988;M;774
2023/2024;Laurea - dm 270/04;1986;F;750
2023/2024;Laurea - dm 270/04;1987;F;729
2023/2024;Laurea Magistrale - dm 270/04;1985;F;707
2023/2024;Laurea - dm 270/04;1985;F;688
2023/2024;Laurea Magistrale - dm 270/04;1986;F;678
2023/2024;Laurea Magistrale - dm 270/04;1990;M;675
2023/2024;Laurea - dm 270/04;1987;M;633
2023/2024;Laurea - dm 270/04;1984;F;622
