ANNO_ACCADEMICO;COD_ISTITUTO;TIPO_ISTITUTO;NOME_ISTITUTO;COMUNE_SEDE;CODICE_INTERVENTO;DESCRIZIONE_INTERVENTO;INTERVENTI_CORSI_SUP_VO;INTERVENTI_CORSI_ACCADEMICI_NO;INTERVENTI_CORSI_ACCADEMICI_NO_POST
2024-2025;004401004078;Conservatori di Musica;G.F. Ghedini;CUNEO;070;Altri interventi di tipo finanziario - N. prestiti agevolati;0;0;0
2024-2025;004401004078;Conservatori di Musica;G.F. Ghedini;CUNEO;071;Altri interventi di tipo finanziario - N. premi per il conseguimento del titolo;0;0;0
2024-2025;004401004078;Conservatori di Musica;G.F. Ghedini;CUNEO;072;Altri interventi di tipo finanziario - N. contributi finanziari per il trasporto;0;0;0
2024-2025;004401004078;Conservatori di Musica;G.F. Ghedini;CUNEO;073;Altri interventi di tipo finanziario - N. altri sussidi concessi;0;0;0
2024-2025;004401004078;Conservatori di Musica;G.F. Ghedini;CUNEO;074;Altri interventi di tipo finanziario - N. contributi straordinari;0;0;0
2024-2025;004702004078;Accademie Legalmente Riconosciute;Accademia di Belle Arti di CUNEO;CUNEO;013;Borse di studio - N. borse concesse;0;0;0
2024-2025;004702004078;Accademie Legalmente Riconosciute;Accademia di Belle Arti di CUNEO;CUNEO;014;Borse di studio -  N. borse concesse - di cui con fondi trasferiti da enti privati (banche, donazioni private, ecc.);0;0;0
2024-2025;004702004078;Accademie Legalmente Riconosciute;Accademia di Belle Arti di CUNEO;CUNEO;015;Borse di studio - N. borse concesse - di cui con fondi trasferiti da enti pubblici;0;0;0
2024-2025;004702004078;Accademie Legalmente Riconosciute;Accademia di Belle Arti di CUNEO;CUNEO;031;Mobilità internazionale - N. studenti iscritti nell'istituto coinvolti in scambi internazionali;0;0;0
2024-2025;004702004078;Accademie Legalmente Riconosciute;Accademia di Belle Arti di CUNEO;CUNEO;033;Mobilità internazionale - N. studenti iscritti in istituti esteri coinvolti in scambi internazionali presso l'istituto;0;0;0
2024-2025;004702004078;Accademie Legalmente Riconosciute;Accademia di Belle Arti di CUNEO;CUNEO;034;Mobilità internazionale - N. studenti iscritti nell'istituto coinvolti in scambi internazionali - di cui n. studenti in mobilità extra Unione Europea;0;0;0
2024-2025;004702004078;Accademie Legalmente Riconosciute;Accademia di Belle Arti di CUNEO;CUNEO;041;Interventi a favore di studenti con disabilità - N. domande;0;0;0
2024-2025;004702004078;Accademie Legalmente Riconosciute;Accademia di Belle Arti di CUNEO;CUNEO;042;Interventi a favore di studenti con disabilità - N. interventi concessi;0;0;0
2024-2025;004702004078;Accademie Legalmente Riconosciute;Accademia di Belle Arti di CUNEO;CUNEO;051;Attività di collaborazione a tempo parziale - N. collaborazioni;0;2;0
2024-2025;004702004078;Accademie Legalmente Riconosciute;Accademia di Belle Arti di CUNEO;CUNEO;061;Posti alloggio e contributi-alloggio - N. domande posti alloggio;0;0;0
2024-2025;004702004078;Accademie Legalmente Riconosciute;Accademia di Belle Arti di CUNEO;CUNEO;062;Posti alloggio e contributi-alloggio - N. posti alloggio assegnati;0;0;0
2024-2025;004702004078;Accademie Legalmente Riconosciute;Accademia di Belle Arti di CUNEO;CUNEO;063;Posti alloggio e contributi-alloggio - N. domande contributi-alloggio;0;0;0
2024-2025;004702004078;Accademie Legalmente Riconosciute;Accademia di Belle Arti di CUNEO;CUNEO;064;Posti alloggio e contributi-alloggio - N. contributi-alloggio assegnati;0;0;0
2024-2025;004702004078;Accademie Legalmente Riconosciute;Accademia di Belle Arti di CUNEO;CUNEO;070;Altri interventi di tipo finanziario - N. prestiti agevolati;0;0;0
2024-2025;004702004078;Accademie Legalmente Riconosciute;Accademia di Belle Arti di CUNEO;CUNEO;071;Altri interventi di tipo finanziario - N. premi per il conseguimento del titolo;0;0;0
2024-2025;004702004078;Accademie Legalmente Riconosciute;Accademia di Belle Arti di CUNEO;CUNEO;072;Altri interventi di tipo finanziario - N. contributi finanziari per il trasporto;0;0;0
2024-2025;004702004078;Accademie Legalmente Riconosciute;Accademia di Belle Arti di CUNEO;CUNEO;073;Altri interventi di tipo finanziario - N. altri sussidi concessi;0;0;0
2024-2025;004702004078;Accademie Legalmente Riconosciute;Accademia di Belle Arti di CUNEO;CUNEO;074;Altri interventi di tipo finanziario - N. contributi straordinari;0;0;0
2024-2025;006401006003;Conservatori di Musica;Antonio Vivaldi;ALESSANDRIA;013;Borse di studio - N. borse concesse;0;72;0
2024-2025;006401006003;Conservatori di Musica;Antonio Vivaldi;ALESSANDRIA;014;Borse di studio -  N. borse concesse - di cui con fondi trasferiti da enti privati (banche, donazioni private, ecc.);0;27;0
2024-2025;006401006003;Conservatori di Musica;Antonio Vivaldi;ALESSANDRIA;015;Borse di studio - N. borse concesse - di cui con fondi trasferiti da enti pubblici;0;0;0
2024-2025;006401006003;Conservatori di Musica;Antonio Vivaldi;ALESSANDRIA;031;Mobilità internazionale - N. studenti iscritti nell'istituto coinvolti in scambi internazionali;0;5;0
2024-2025;006401006003;Conservatori di Musica;Antonio Vivaldi;ALESSANDRIA;033;Mobilità internazionale - N. studenti iscritti in istituti esteri coinvolti in scambi internazionali presso l'istituto;2;0;0
2024-2025;006401006003;Conservatori di Musica;Antonio Vivaldi;ALESSANDRIA;034;Mobilità internazionale - N. studenti iscritti nell'istituto coinvolti in scambi internazionali - di cui n. studenti in mobilità extra Unione Europea;0;0;0
2024-2025;006401006003;Conservatori di Musica;Antonio Vivaldi;ALESSANDRIA;041;Interventi a favore di studenti con disabilità - N. domande;0;0;0
2024-2025;006401006003;Conservatori di Musica;Antonio Vivaldi;ALESSANDRIA;042;Interventi a favore di studenti con disabilità - N. interventi concessi;0;0;0
2024-2025;006401006003;Conservatori di Musica;Antonio Vivaldi;ALESSANDRIA;051;Attività di collaborazione a tempo parziale - N. collaborazioni;0;36;0
2024-2025;006401006003;Conservatori di Musica;Antonio Vivaldi;ALESSANDRIA;061;Posti alloggio e contributi-alloggio - N. domande posti alloggio;0;0;0
2024-2025;006401006003;Conservatori di Musica;Antonio Vivaldi;ALESSANDRIA;062;Posti alloggio e contributi-alloggio - N. posti alloggio assegnati;0;0;0
2024-2025;006401006003;Conservatori di Musica;Antonio Vivaldi;ALESSANDRIA;063;Posti alloggio e contributi-alloggio - N. domande contributi-alloggio;0;0;0
2024-2025;006401006003;Conservatori di Musica;Antonio Vivaldi;ALESSANDRIA;064;Posti alloggio e contributi-alloggio - N. contributi-alloggio assegnati;0;0;0
2024-2025;006401006003;Conservatori di Musica;Antonio Vivaldi;ALESSANDRIA;070;Altri interventi di tipo finanziario - N. prestiti agevolati;0;0;0
2024-2025;006401006003;Conservatori di Musica;Antonio Vivaldi;ALESSANDRIA;071;Altri interventi di tipo finanziario - N. premi per il conseguimento del titolo;0;0;0
2024-2025;006401006003;Conservatori di Musica;Antonio Vivaldi;ALESSANDRIA;072;Altri interventi di tipo finanziario - N. contributi finanziari per il trasporto;0;0;0
2024-2025;006401006003;Conservatori di Musica;Antonio Vivaldi;ALESSANDRIA;073;Altri interventi di tipo finanziario - N. altri sussidi concessi;0;0;0
2024-2025;006401006003;Conservatori di Musica;Antonio Vivaldi;ALESSANDRIA;074;Altri interventi di tipo finanziario - N. contributi straordinari;0;0;0
2024-2025;007501007003;Istituti superiori di Studi Musicali;della VALLE D'AOSTA;AOSTA;013;Borse di studio - N. borse concesse;0;3;0
2024-2025;007501007003;Istituti superiori di Studi Musicali;della VALLE D'AOSTA;AOSTA;014;Borse di studio -  N. borse concesse - di cui con fondi trasferiti da enti privati (banche, donazioni private, ecc.);0;0;0
2024-2025;007501007003;Istituti superiori di Studi Musicali;della VALLE D'AOSTA;AOSTA;015;Borse di studio - N. borse concesse - di cui con fondi trasferiti da enti pubblici;0;0;0
2024-2025;007501007003;Istituti superiori di Studi Musicali;della VALLE D'AOSTA;AOSTA;031;Mobilità internazionale - N. studenti iscritti nell'istituto coinvolti in scambi internazionali;0;14;0
2024-2025;007501007003;Istituti superiori di Studi Musicali;della VALLE D'AOSTA;AOSTA;033;Mobilità internazionale - N. studenti iscritti in istituti esteri coinvolti in scambi internazionali presso l'istituto;0;0;0
