ANNO_ACCADEMICO;TIPOLOGIA_COLLEGIO;CODICE_COLLEGIO;NOME_COLLEGIO;TIPOLOGIA_ISTITUTO;CODICE_INTERVENTO;DESCRIZIONE_INTERVENTO;INTERVENTI_LAUREA;INTERVENTI_LAUREA_EXTRA_UE;INTERVENTI_DOTTORATO;INTERVENTI_SPECIALIZZAZIONE
2024-2025 ;CLR;0102;"Collegio universitario di Torino ''Renato Einaudi""";I_AF;5;Posti alloggio e contributi-alloggio - N° posti alloggio assegnati gratuitamente;0;0;;
2024-2025 ;CLR;0102;"Collegio universitario di Torino ''Renato Einaudi""";I_AF;6;Posti alloggio e contributi-alloggio - N° posti alloggio a tariffa agevolata;2;0;;
2024-2025 ;CLR;0102;"Collegio universitario di Torino ''Renato Einaudi""";I_AF;7;Posti alloggio e contributi-alloggio - N° posti alloggio a retta intera;0;0;;
2024-2025 ;CLR;0102;"Collegio universitario di Torino ''Renato Einaudi""";I_AF;8;Posti alloggio e contributi-alloggio - N° contributi assegnati per alloggio esterno;0;0;;
2024-2025 ;CLR;0102;"Collegio universitario di Torino ''Renato Einaudi""";I_AF;9;Prestiti di onore e altri prestiti agevolati - N° domande;0;0;;
2024-2025 ;CLR;0102;"Collegio universitario di Torino ''Renato Einaudi""";I_AF;10;Prestiti di onore e altri prestiti agevolati - N° prestiti concessi;0;0;;
2024-2025 ;CLR;0102;"Collegio universitario di Torino ''Renato Einaudi""";I_AF;11;Mobilità internazionale - N° domande contributi;0;0;;
2024-2025 ;CLR;0102;"Collegio universitario di Torino ''Renato Einaudi""";I_AF;12;Mobilità internazionale - N° contributi concessi;0;0;;
2024-2025 ;CLR;0102;"Collegio universitario di Torino ''Renato Einaudi""";I_AF;13;Mobilità internazionale - N° complessivo di mesi in mobilità;0;0;;
2024-2025 ;CLR;0102;"Collegio universitario di Torino ''Renato Einaudi""";I_AF;14;Interventi a favore di studenti in situazione di disabilità - N° domande;0;0;;
2024-2025 ;CLR;0102;"Collegio universitario di Torino ''Renato Einaudi""";I_AF;15;Interventi a favore di studenti in situazione di disabilità - N° interventi concessi;0;0;;
2024-2025 ;CLR;0102;"Collegio universitario di Torino ''Renato Einaudi""";I_AF;16;Attività di collaborazione a tempo parziale - N° collaborazioni;0;0;;
2024-2025 ;CLR;0102;"Collegio universitario di Torino ''Renato Einaudi""";I_AF;17;Attività di collaborazione a tempo parziale - Retribuzione oraria (euro);0;0;;
2024-2025 ;CLR;0102;"Collegio universitario di Torino ''Renato Einaudi""";I_AF;18;Altri interventi di tipo finanziario - N° premi per il conseguimento del titolo;0;0;;
2024-2025 ;CLR;0102;"Collegio universitario di Torino ''Renato Einaudi""";I_AF;19;Altri interventi di tipo finanziario - N° contributi finanziari per il trasporto;0;0;;
2024-2025 ;CLR;0102;"Collegio universitario di Torino ''Renato Einaudi""";I_AF;20;Altri interventi di tipo finanziario - N° contributi straordinari;0;0;;
2024-2025 ;CLR;0102;"Collegio universitario di Torino ''Renato Einaudi""";I_AF;21;Altri interventi di tipo finanziario - N° altri sussidi concessi;0;0;;
2024-2025 ;CLR;0313;"Almo Collegio ''Borromeo""";I   ;1;Posti a concorso e posti confermati - N° candidati presenti alla prova di ammissione;237;4;22;86
2024-2025 ;CLR;0313;"Almo Collegio ''Borromeo""";I   ;2;Posti a concorso e posti confermati - N° idonei;154;4;2;75
2024-2025 ;CLR;0313;"Almo Collegio ''Borromeo""";I   ;3;Posti a concorso e posti confermati - N° ammessi;32;2;2;20
2024-2025 ;CLR;0313;"Almo Collegio ''Borromeo""";I   ;4;Posti a concorso e posti confermati - N° posti confermati dall'a.a precedente;131;1;1;0
2024-2025 ;CLR;0313;"Almo Collegio ''Borromeo""";I   ;5;Posti alloggio e contributi-alloggio - N° posti alloggio assegnati gratuitamente;0;0;0;4
2024-2025 ;CLR;0313;"Almo Collegio ''Borromeo""";I   ;6;Posti alloggio e contributi-alloggio - N° posti alloggio a tariffa agevolata;0;0;2;0
2024-2025 ;CLR;0313;"Almo Collegio ''Borromeo""";I   ;7;Posti alloggio e contributi-alloggio - N° posti alloggio a retta intera;0;0;0;16
2024-2025 ;CLR;0313;"Almo Collegio ''Borromeo""";I   ;8;Posti alloggio e contributi-alloggio - N° contributi assegnati per alloggio esterno;0;0;0;0
2024-2025 ;CLR;0313;"Almo Collegio ''Borromeo""";I   ;9;Prestiti di onore e altri prestiti agevolati - N° domande;0;0;0;0
2024-2025 ;CLR;0313;"Almo Collegio ''Borromeo""";I   ;10;Prestiti di onore e altri prestiti agevolati - N° prestiti concessi;0;0;0;0
2024-2025 ;CLR;0313;"Almo Collegio ''Borromeo""";I   ;11;Mobilità internazionale - N° domande contributi;50;0;0;0
2024-2025 ;CLR;0313;"Almo Collegio ''Borromeo""";I   ;12;Mobilità internazionale - N° contributi concessi;48;0;0;0
2024-2025 ;CLR;0313;"Almo Collegio ''Borromeo""";I   ;13;Mobilità internazionale - N° complessivo di mesi in mobilità;131;0;0;0
2024-2025 ;CLR;0313;"Almo Collegio ''Borromeo""";I   ;14;Interventi a favore di studenti in situazione di disabilità - N° domande;0;0;0;0
2024-2025 ;CLR;0313;"Almo Collegio ''Borromeo""";I   ;15;Interventi a favore di studenti in situazione di disabilità - N° interventi concessi;0;0;0;0
2024-2025 ;CLR;0313;"Almo Collegio ''Borromeo""";I   ;16;Attività di collaborazione a tempo parziale - N° collaborazioni;0;0;0;0
2024-2025 ;CLR;0313;"Almo Collegio ''Borromeo""";I   ;17;Attività di collaborazione a tempo parziale - Retribuzione oraria (euro);0;0;0;0
2024-2025 ;CLR;0313;"Almo Collegio ''Borromeo""";I   ;18;Altri interventi di tipo finanziario - N° premi per il conseguimento del titolo;50;0;0;3
2024-2025 ;CLR;0313;"Almo Collegio ''Borromeo""";I   ;19;Altri interventi di tipo finanziario - N° contributi finanziari per il trasporto;10;0;0;0
2024-2025 ;CLR;0313;"Almo Collegio ''Borromeo""";I   ;20;Altri interventi di tipo finanziario - N° contributi straordinari;11;0;0;0
2024-2025 ;CLR;0313;"Almo Collegio ''Borromeo""";I   ;21;Altri interventi di tipo finanziario - N° altri sussidi concessi;19;0;3;1
2024-2025 ;CLR;0313;"Almo Collegio ''Borromeo""";I_AF;1;Posti a concorso e posti confermati - N° candidati presenti alla prova di ammissione;0;0;;
2024-2025 ;CLR;0313;"Almo Collegio ''Borromeo""";I_AF;2;Posti a concorso e posti confermati - N° idonei;0;0;;
2024-2025 ;CLR;0313;"Almo Collegio ''Borromeo""";I_AF;3;Posti a concorso e posti confermati - N° ammessi;0;0;;
2024-2025 ;CLR;0313;"Almo Collegio ''Borromeo""";I_AF;4;Posti a concorso e posti confermati - N° posti confermati dall'a.a precedente;0;0;;
2024-2025 ;CLR;0313;"Almo Collegio ''Borromeo""";I_AF;5;Posti alloggio e contributi-alloggio - N° posti alloggio assegnati gratuitamente;0;0;;
2024-2025 ;CLR;0313;"Almo Collegio ''Borromeo""";I_AF;6;Posti alloggio e contributi-alloggio - N° posti alloggio a tariffa agevolata;0;0;;
2024-2025 ;CLR;0313;"Almo Collegio ''Borromeo""";I_AF;7;Posti alloggio e contributi-alloggio - N° posti alloggio a retta intera;0;0;;
2024-2025 ;CLR;0313;"Almo Collegio ''Borromeo""";I_AF;8;Posti alloggio e contributi-alloggio - N° contributi assegnati per alloggio esterno;0;0;;
2024-2025 ;CLR;0313;"Almo Collegio ''Borromeo""";I_AF;9;Prestiti di onore e altri prestiti agevolati - N° domande;0;0;;
2024-2025 ;CLR;0313;"Almo Collegio ''Borromeo""";I_AF;10;Prestiti di onore e altri prestiti agevolati - N° prestiti concessi;0;0;;
2024-2025 ;CLR;0313;"Almo Collegio ''Borromeo""";I_AF;11;Mobilità internazionale - N° domande contributi;0;0;;
2024-2025 ;CLR;0313;"Almo Collegio ''Borromeo""";I_AF;12;Mobilità internazionale - N° contributi concessi;0;0;;
2024-2025 ;CLR;0313;"Almo Collegio ''Borromeo""";I_AF;13;Mobilità internazionale - N° complessivo di mesi in mobilità;0;0;;
2024-2025 ;CLR;0313;"Almo Collegio ''Borromeo""";I_AF;14;Interventi a favore di studenti in situazione di disabilità - N° domande;0;0;;
2024-2025 ;CLR;0313;"Almo Collegio ''Borromeo""";I_AF;15;Interventi a favore di studenti in situazione di disabilità - N° interventi concessi;0;0;;
2024-2025 ;CLR;0313;"Almo Collegio ''Borromeo""";I_AF;16;Attività di collaborazione a tempo parziale - N° collaborazioni;0;0;;
2024-2025 ;CLR;0313;"Almo Collegio ''Borromeo""";I_AF;17;Attività di collaborazione a tempo parziale - Retribuzione oraria (euro);0;0;;
2024-2025 ;CLR;0313;"Almo Collegio ''Borromeo""";I_AF;18;Altri interventi di tipo finanziario - N° premi per il conseguimento del titolo;0;0;;
2024-2025 ;CLR;0313;"Almo Collegio ''Borromeo""";I_AF;19;Altri interventi di tipo finanziario - N° contributi finanziari per il trasporto;0;0;;
2024-2025 ;CLR;0313;"Almo Collegio ''Borromeo""";I_AF;20;Altri interventi di tipo finanziario - N° contributi straordinari;0;0;;
2024-2025 ;CLR;0313;"Almo Collegio ''Borromeo""";I_AF;21;Altri interventi di tipo finanziario - N° altri sussidi concessi;0;0;;
2024-2025 ;CLR;0314;Collegio Nuovo - Fondazione Sandra e Enea Mattei;I   ;1;Posti a concorso e posti confermati - N° candidati presenti alla prova di ammissione;85;3;13;13
2024-2025 ;CLR;0314;Collegio Nuovo - Fondazione Sandra e Enea Mattei;I   ;2;Posti a concorso e posti confermati - N° idonei;85;3;13;11
2024-2025 ;CLR;0314;Collegio Nuovo - Fondazione Sandra e Enea Mattei;I   ;3;Posti a concorso e posti confermati - N° ammessi;35;0;6;5
2024-2025 ;CLR;0314;Collegio Nuovo - Fondazione Sandra e Enea Mattei;I   ;4;Posti a concorso e posti confermati - N° posti confermati dall'a.a precedente;75;2;30;7
2024-2025 ;CLR;0314;Collegio Nuovo - Fondazione Sandra e Enea Mattei;I   ;5;Posti alloggio e contributi-alloggio - N° posti alloggio assegnati gratuitamente;5;0;0;0
2024-2025 ;CLR;0314;Collegio Nuovo - Fondazione Sandra e Enea Mattei;I   ;6;Posti alloggio e contributi-alloggio - N° posti alloggio a tariffa agevolata;105;2;36;12
2024-2025 ;CLR;0314;Collegio Nuovo - Fondazione Sandra e Enea Mattei;I   ;7;Posti alloggio e contributi-alloggio - N° posti alloggio a retta intera;0;0;0;0
2024-2025 ;CLR;0314;Collegio Nuovo - Fondazione Sandra e Enea Mattei;I   ;8;Posti alloggio e contributi-alloggio - N° contributi assegnati per alloggio esterno;0;0;0;0
2024-2025 ;CLR;0314;Collegio Nuovo - Fondazione Sandra e Enea Mattei;I   ;9;Prestiti di onore e altri prestiti agevolati - N° domande;0;0;0;0
2024-2025 ;CLR;0314;Collegio Nuovo - Fondazione Sandra e Enea Mattei;I   ;10;Prestiti di onore e altri prestiti agevolati - N° prestiti concessi;0;0;0;0
2024-2025 ;CLR;0314;Collegio Nuovo - Fondazione Sandra e Enea Mattei;I   ;11;Mobilità internazionale - N° domande contributi;10;3;0;0
2024-2025 ;CLR;0314;Collegio Nuovo - Fondazione Sandra e Enea Mattei;I   ;12;Mobilità internazionale - N° contributi concessi;10;3;0;0
2024-2025 ;CLR;0314;Collegio Nuovo - Fondazione Sandra e Enea Mattei;I   ;13;Mobilità internazionale - N° complessivo di mesi in mobilità;4;6;0;0
2024-2025 ;CLR;0314;Collegio Nuovo - Fondazione Sandra e Enea Mattei;I   ;14;Interventi a favore di studenti in situazione di disabilità - N° domande;0;0;0;0
2024-2025 ;CLR;0314;Collegio Nuovo - Fondazione Sandra e Enea Mattei;I   ;15;Interventi a favore di studenti in situazione di disabilità - N° interventi concessi;0;0;0;0
2024-2025 ;CLR;0314;Collegio Nuovo - Fondazione Sandra e Enea Mattei;I   ;16;Attività di collaborazione a tempo parziale - N° collaborazioni;22;0;0;0
2024-2025 ;CLR;0314;Collegio Nuovo - Fondazione Sandra e Enea Mattei;I   ;17;Attività di collaborazione a tempo parziale - Retribuzione oraria (euro);10;0;0;0
2024-2025 ;CLR;0314;Collegio Nuovo - Fondazione Sandra e Enea Mattei;I   ;18;Altri interventi di tipo finanziario - N° premi per il conseguimento del titolo;0;0;0;0
2024-2025 ;CLR;0314;Collegio Nuovo - Fondazione Sandra e Enea Mattei;I   ;19;Altri interventi di tipo finanziario - N° contributi finanziari per il trasporto;0;0;0;0
2024-2025 ;CLR;0314;Collegio Nuovo - Fondazione Sandra e Enea Mattei;I   ;20;Altri interventi di tipo finanziario - N° contributi straordinari;0;0;0;0
2024-2025 ;CLR;0314;Collegio Nuovo - Fondazione Sandra e Enea Mattei;I   ;21;Altri interventi di tipo finanziario - N° altri sussidi concessi;31;0;0;0
2024-2025 ;CLR;0314;Collegio Nuovo - Fondazione Sandra e Enea Mattei;I_AF;1;Posti a concorso e posti confermati - N° candidati presenti alla prova di ammissione;0;0;;
2024-2025 ;CLR;0314;Collegio Nuovo - Fondazione Sandra e Enea Mattei;I_AF;2;Posti a concorso e posti confermati - N° idonei;0;0;;
2024-2025 ;CLR;0314;Collegio Nuovo - Fondazione Sandra e Enea Mattei;I_AF;3;Posti a concorso e posti confermati - N° ammessi;0;0;;
2024-2025 ;CLR;0314;Collegio Nuovo - Fondazione Sandra e Enea Mattei;I_AF;4;Posti a concorso e posti confermati - N° posti confermati dall'a.a precedente;0;0;;
2024-2025 ;CLR;0314;Collegio Nuovo - Fondazione Sandra e Enea Mattei;I_AF;5;Posti alloggio e contributi-alloggio - N° posti alloggio assegnati gratuitamente;0;0;;
2024-2025 ;CLR;0314;Collegio Nuovo - Fondazione Sandra e Enea Mattei;I_AF;6;Posti alloggio e contributi-alloggio - N° posti alloggio a tariffa agevolata;0;0;;
2024-2025 ;CLR;0314;Collegio Nuovo - Fondazione Sandra e Enea Mattei;I_AF;7;Posti alloggio e contributi-alloggio - N° posti alloggio a retta intera;0;0;;
2024-2025 ;CLR;0314;Collegio Nuovo - Fondazione Sandra e Enea Mattei;I_AF;8;Posti alloggio e contributi-alloggio - N° contributi assegnati per alloggio esterno;0;0;;
2024-2025 ;CLR;0314;Collegio Nuovo - Fondazione Sandra e Enea Mattei;I_AF;9;Prestiti di onore e altri prestiti agevolati - N° domande;0;0;;
2024-2025 ;CLR;0314;Collegio Nuovo - Fondazione Sandra e Enea Mattei;I_AF;10;Prestiti di onore e altri prestiti agevolati - N° prestiti concessi;0;0;;
2024-2025 ;CLR;0314;Collegio Nuovo - Fondazione Sandra e Enea Mattei;I_AF;11;Mobilità internazionale - N° domande contributi;0;0;;
2024-2025 ;CLR;0314;Collegio Nuovo - Fondazione Sandra e Enea Mattei;I_AF;12;Mobilità internazionale - N° contributi concessi;0;0;;
2024-2025 ;CLR;0314;Collegio Nuovo - Fondazione Sandra e Enea Mattei;I_AF;13;Mobilità internazionale - N° complessivo di mesi in mobilità;0;0;;
2024-2025 ;CLR;0314;Collegio Nuovo - Fondazione Sandra e Enea Mattei;I_AF;14;Interventi a favore di studenti in situazione di disabilità - N° domande;0;0;;
2024-2025 ;CLR;0314;Collegio Nuovo - Fondazione Sandra e Enea Mattei;I_AF;15;Interventi a favore di studenti in situazione di disabilità - N° interventi concessi;0;0;;
2024-2025 ;CLR;0314;Collegio Nuovo - Fondazione Sandra e Enea Mattei;I_AF;16;Attività di collaborazione a tempo parziale - N° collaborazioni;0;0;;
2024-2025 ;CLR;0314;Collegio Nuovo - Fondazione Sandra e Enea Mattei;I_AF;17;Attività di collaborazione a tempo parziale - Retribuzione oraria (euro);0;0;;
2024-2025 ;CLR;0314;Collegio Nuovo - Fondazione Sandra e Enea Mattei;I_AF;18;Altri interventi di tipo finanziario - N° premi per il conseguimento del titolo;0;0;;
2024-2025 ;CLR;0314;Collegio Nuovo - Fondazione Sandra e Enea Mattei;I_AF;19;Altri interventi di tipo finanziario - N° contributi finanziari per il trasporto;0;0;;
2024-2025 ;CLR;0314;Collegio Nuovo - Fondazione Sandra e Enea Mattei;I_AF;20;Altri interventi di tipo finanziario - N° contributi straordinari;0;0;;
2024-2025 ;CLR;0314;Collegio Nuovo - Fondazione Sandra e Enea Mattei;I_AF;21;Altri interventi di tipo finanziario - N° altri sussidi concessi;0;0;;
2024-2025 ;CLR;0316;Collegio universitario Ghislieri;I   ;1;Posti a concorso e posti confermati - N° candidati presenti alla prova di ammissione;241;11;24;0
2024-2025 ;CLR;0316;Collegio universitario Ghislieri;I   ;2;Posti a concorso e posti confermati - N° idonei;120;2;21;0
2024-2025 ;CLR;0316;Collegio universitario Ghislieri;I   ;3;Posti a concorso e posti confermati - N° ammessi;39;1;14;0
2024-2025 ;CLR;0316;Collegio universitario Ghislieri;I   ;4;Posti a concorso e posti confermati - N° posti confermati dall'a.a precedente;149;4;9;0
2024-2025 ;CLR;0316;Collegio universitario Ghislieri;I   ;5;Posti alloggio e contributi-alloggio - N° posti alloggio assegnati gratuitamente;26;1;23;0
2024-2025 ;CLR;0316;Collegio universitario Ghislieri;I   ;6;Posti alloggio e contributi-alloggio - N° posti alloggio a tariffa agevolata;162;4;0;0
2024-2025 ;CLR;0316;Collegio universitario Ghislieri;I   ;7;Posti alloggio e contributi-alloggio - N° posti alloggio a retta intera;0;0;0;0
2024-2025 ;CLR;0316;Collegio universitario Ghislieri;I   ;8;Posti alloggio e contributi-alloggio - N° contributi assegnati per alloggio esterno;0;0;0;0
2024-2025 ;CLR;0316;Collegio universitario Ghislieri;I   ;9;Prestiti di onore e altri prestiti agevolati - N° domande;0;0;0;0
2024-2025 ;CLR;0316;Collegio universitario Ghislieri;I   ;10;Prestiti di onore e altri prestiti agevolati - N° prestiti concessi;0;0;0;0
2024-2025 ;CLR;0316;Collegio universitario Ghislieri;I   ;11;Mobilità internazionale - N° domande contributi;53;0;10;0
2024-2025 ;CLR;0316;Collegio universitario Ghislieri;I   ;12;Mobilità internazionale - N° contributi concessi;51;0;10;0
2024-2025 ;CLR;0316;Collegio universitario Ghislieri;I   ;13;Mobilità internazionale - N° complessivo di mesi in mobilità;83,75;0;24,75;0
2024-2025 ;CLR;0316;Collegio universitario Ghislieri;I   ;14;Interventi a favore di studenti in situazione di disabilità - N° domande;0;0;0;0
2024-2025 ;CLR;0316;Collegio universitario Ghislieri;I   ;15;Interventi a favore di studenti in situazione di disabilità - N° interventi concessi;0;0;0;0
2024-2025 ;CLR;0316;Collegio universitario Ghislieri;I   ;16;Attività di collaborazione a tempo parziale - N° collaborazioni;58;0;2;0
2024-2025 ;CLR;0316;Collegio universitario Ghislieri;I   ;17;Attività di collaborazione a tempo parziale - Retribuzione oraria (euro);10;0;0;0
2024-2025 ;CLR;0316;Collegio universitario Ghislieri;I   ;18;Altri interventi di tipo finanziario - N° premi per il conseguimento del titolo;4;0;0;0
2024-2025 ;CLR;0316;Collegio universitario Ghislieri;I   ;19;Altri interventi di tipo finanziario - N° contributi finanziari per il trasporto;0;0;0;0
2024-2025 ;CLR;0316;Collegio universitario Ghislieri;I   ;20;Altri interventi di tipo finanziario - N° contributi straordinari;0;0;0;0
2024-2025 ;CLR;0316;Collegio universitario Ghislieri;I   ;21;Altri interventi di tipo finanziario - N° altri sussidi concessi;54;0;1;0
2024-2025 ;CLR;0316;Collegio universitario Ghislieri;I_AF;1;Posti a concorso e posti confermati - N° candidati presenti alla prova di ammissione;0;0;;
2024-2025 ;CLR;0316;Collegio universitario Ghislieri;I_AF;2;Posti a concorso e posti confermati - N° idonei;0;0;;
2024-2025 ;CLR;0316;Collegio universitario Ghislieri;I_AF;3;Posti a concorso e posti confermati - N° ammessi;0;0;;
2024-2025 ;CLR;0316;Collegio universitario Ghislieri;I_AF;4;Posti a concorso e posti confermati - N° posti confermati dall'a.a precedente;0;0;;
2024-2025 ;CLR;0316;Collegio universitario Ghislieri;I_AF;5;Posti alloggio e contributi-alloggio - N° posti alloggio assegnati gratuitamente;0;0;;
2024-2025 ;CLR;0316;Collegio universitario Ghislieri;I_AF;6;Posti alloggio e contributi-alloggio - N° posti alloggio a tariffa agevolata;0;0;;
2024-2025 ;CLR;0316;Collegio universitario Ghislieri;I_AF;7;Posti alloggio e contributi-alloggio - N° posti alloggio a retta intera;0;0;;
2024-2025 ;CLR;0316;Collegio universitario Ghislieri;I_AF;8;Posti alloggio e contributi-alloggio - N° contributi assegnati per alloggio esterno;0;0;;
2024-2025 ;CLR;0316;Collegio universitario Ghislieri;I_AF;9;Prestiti di onore e altri prestiti agevolati - N° domande;0;0;;
2024-2025 ;CLR;0316;Collegio universitario Ghislieri;I_AF;10;Prestiti di onore e altri prestiti agevolati - N° prestiti concessi;0;0;;
2024-2025 ;CLR;0316;Collegio universitario Ghislieri;I_AF;11;Mobilità internazionale - N° domande contributi;0;0;;
2024-2025 ;CLR;0316;Collegio universitario Ghislieri;I_AF;12;Mobilità internazionale - N° contributi concessi;0;0;;
2024-2025 ;CLR;0316;Collegio universitario Ghislieri;I_AF;13;Mobilità internazionale - N° complessivo di mesi in mobilità;0;0;;
2024-2025 ;CLR;0316;Collegio universitario Ghislieri;I_AF;14;Interventi a favore di studenti in situazione di disabilità - N° domande;0;0;;
2024-2025 ;CLR;0316;Collegio universitario Ghislieri;I_AF;15;Interventi a favore di studenti in situazione di disabilità - N° interventi concessi;0;0;;
2024-2025 ;CLR;0316;Collegio universitario Ghislieri;I_AF;16;Attività di collaborazione a tempo parziale - N° collaborazioni;0;0;;
2024-2025 ;CLR;0316;Collegio universitario Ghislieri;I_AF;17;Attività di collaborazione a tempo parziale - Retribuzione oraria (euro);0;0;;
2024-2025 ;CLR;0316;Collegio universitario Ghislieri;I_AF;18;Altri interventi di tipo finanziario - N° premi per il conseguimento del titolo;0;0;;
2024-2025 ;CLR;0316;Collegio universitario Ghislieri;I_AF;19;Altri interventi di tipo finanziario - N° contributi finanziari per il trasporto;0;0;;
2024-2025 ;CLR;0316;Collegio universitario Ghislieri;I_AF;20;Altri interventi di tipo finanziario - N° contributi straordinari;0;0;;
2024-2025 ;CLR;0316;Collegio universitario Ghislieri;I_AF;21;Altri interventi di tipo finanziario - N° altri sussidi concessi;0;0;;
2024-2025 ;CLR;0317;"Collegio universitario ''S. Caterina da Siena""";I   ;1;Posti a concorso e posti confermati - N° candidati presenti alla prova di ammissione;92;8;6;0
2024-2025 ;CLR;0317;"Collegio universitario ''S. Caterina da Siena""";I   ;2;Posti a concorso e posti confermati - N° idonei;92;8;6;0
2024-2025 ;CLR;0317;"Collegio universitario ''S. Caterina da Siena""";I   ;3;Posti a concorso e posti confermati - N° ammessi;30;7;6;0
2024-2025 ;CLR;0317;"Collegio universitario ''S. Caterina da Siena""";I   ;4;Posti a concorso e posti confermati - N° posti confermati dall'a.a precedente;86;3;6;0
2024-2025 ;CLR;0317;"Collegio universitario ''S. Caterina da Siena""";I   ;5;Posti alloggio e contributi-alloggio - N° posti alloggio assegnati gratuitamente;23;3;0;0
2024-2025 ;CLR;0317;"Collegio universitario ''S. Caterina da Siena""";I   ;6;Posti alloggio e contributi-alloggio - N° posti alloggio a tariffa agevolata;77;7;15;0
2024-2025 ;CLR;0317;"Collegio universitario ''S. Caterina da Siena""";I   ;7;Posti alloggio e contributi-alloggio - N° posti alloggio a retta intera;0;0;0;0
2024-2025 ;CLR;0317;"Collegio universitario ''S. Caterina da Siena""";I   ;8;Posti alloggio e contributi-alloggio - N° contributi assegnati per alloggio esterno;0;0;0;0
