ANNOSCOLASTICO,CODICESCUOLA,ORDINESCUOLA,ANNOCORSO,TIPOPERCORSO,PERCORSO,INDIRIZZO,ALUNNIMASCHI,ALUNNIFEMMINE
202425,CSRI05901D,SCUOLA SECONDARIA II GRADO,4,PROFESSIONALE,NUOVI PROFESSIONALI,MANUTENZIONE E ASSISTENZA TECNICA,16,1
202425,CTTF039018,SCUOLA SECONDARIA II GRADO,1,TECNICO,TECNOLOGICO,INFOR. TELECOM. - BIENNIO COMUNE,107,5
202425,MIPM00301E,SCUOLA SECONDARIA II GRADO,1,LICEO,SCIENZE UMANE,SCIENZE UMANE,7,67
202425,LCTF00901C,SCUOLA SECONDARIA II GRADO,3,TECNICO,TECNOLOGICO,AUTOMAZIONE,19,2
202425,PCPC010004,SCUOLA SECONDARIA II GRADO,2,LICEO,LINGUISTICO,LINGUISTICO QUADRIENNALE,1,10
202425,MOTF030004,SCUOLA SECONDARIA II GRADO,4,TECNICO,TECNOLOGICO,INFORMATICA,51,5
202425,LCTD00801A,SCUOLA SECONDARIA II GRADO,5,TECNICO,TECNOLOGICO,COSTRUZIONI AMBIENTE E TERRITORIO - TRIENNIO,13,7
202425,CBSL02301B,SCUOLA SECONDARIA II GRADO,2,LICEO,ARTISTICO,ARTISTICO NUOVO ORDINAMENTO - BIENNIO COMUNE,13,33
202425,MITD01901V,SCUOLA SECONDARIA II GRADO,3,TECNICO,ECONOMICO,SISTEMI INFORMATIVI AZIENDALI,16,7
202425,FRTF06000C,SCUOLA SECONDARIA II GRADO,5,TECNICO,TECNOLOGICO,COSTRUZIONI AERONAUTICHE - OPZIONE,50,6
202425,RMPS09301D,SCUOLA SECONDARIA II GRADO,4,LICEO,LINGUISTICO,LINGUISTICO,15,46
202425,MIPS019024,SCUOLA SECONDARIA II GRADO,2,LICEO,SCIENTIFICO,SCIENTIFICO,19,10
202425,MIPS06101D,SCUOLA SECONDARIA II GRADO,5,LICEO,SCIENZE UMANE,SCIENZE UMANE - OPZ. ECONOMICO SOCIALE,6,12
202425,LUPC00101G,SCUOLA SECONDARIA II GRADO,3,LICEO,CLASSICO,CLASSICO,21,31
202425,SRPS02301R,SCUOLA SECONDARIA II GRADO,2,LICEO,LINGUISTICO,LINGUISTICO,8,13
202425,MORI002014,SCUOLA SECONDARIA II GRADO,4,PROFESSIONALE,NUOVI PROFESSIONALI,MANUTENZIONE E ASSISTENZA TECNICA,47,0
202425,FOTB00901X,SCUOLA SECONDARIA II GRADO,4,TECNICO,TECNOLOGICO,CONDUZIONE DEL MEZZO AEREO - OPZIONE,63,28
202425,RMTD049017,SCUOLA SECONDARIA II GRADO,2,TECNICO,ECONOMICO,AMM. FINAN. MARKETING - BIENNIO COMUNE,46,17
202425,LORC01000Q,SCUOLA SECONDARIA II GRADO,2,PROFESSIONALE,NUOVI PROFESSIONALI,ENOGASTRONOMIA E OSPITALITA' ALBERGHIERA,16,22
202425,CZRA00301N,SCUOLA SECONDARIA II GRADO,4,PROFESSIONALE,NUOVI PROFESSIONALI,"AGRICOLTURA, SVILUPPO RURALE, VALORIZZAZIONE DEI PRODOTTI DEL TERRITORIO E GESTIONE DELLE RISORSE FORESTALI E MONTANE",11,8
202425,VRTF014012,SCUOLA SECONDARIA II GRADO,5,TECNICO,TECNOLOGICO,INFORMATICA,43,5
202425,MOPS00401E,SCUOLA SECONDARIA II GRADO,5,LICEO,SCIENZE UMANE,SCIENZE UMANE,6,40
202425,SPRH010006,SCUOLA SECONDARIA II GRADO,3,PROFESSIONALE,NUOVI PROFESSIONALI,ENOGASTRONOMIA E OSPITALITA' ALBERGHIERA,51,33
202425,NAPC22000A,SCUOLA SECONDARIA II GRADO,3,LICEO,ARTISTICO,AUDIOVISIVO MULTIMEDIA,7,10
202425,NORA00301G,SCUOLA SECONDARIA II GRADO,1,PROFESSIONALE,NUOVI PROFESSIONALI,"AGRICOLTURA, SVILUPPO RURALE, VALORIZZAZIONE DEI PRODOTTI DEL TERRITORIO E GESTIONE DELLE RISORSE FORESTALI E MONTANE",21,2
202425,MNRI00701E,SCUOLA SECONDARIA II GRADO,3,PROFESSIONALE IeFP,IeFP,OPERATORE ELETTRICO,16,2
202425,BSPC020001,SCUOLA SECONDARIA II GRADO,3,LICEO,LINGUISTICO,LINGUISTICO,7,17
202425,MERI03350G,SCUOLA SECONDARIA II GRADO,2,TECNICO,TECNOLOGICO,"COSTR., AMB. E TERRITORIO - BIENNIO COM.",0,1
202425,TPPS03201B,SCUOLA SECONDARIA II GRADO,5,LICEO,SCIENTIFICO,SCIENTIFICO - OPZIONE SCIENZE APPLICATE,40,13
202425,LTRC01000D,SCUOLA SECONDARIA II GRADO,2,PROFESSIONALE,NUOVI PROFESSIONALI,"AGRICOLTURA, SVILUPPO RURALE, VALORIZZAZIONE DEI PRODOTTI DEL TERRITORIO E GESTIONE DELLE RISORSE FORESTALI E MONTANE",8,3
202425,SOTD01301V,SCUOLA SECONDARIA II GRADO,3,TECNICO,TECNOLOGICO,INFORMATICA,29,4
202425,MIRC037015,SCUOLA SECONDARIA II GRADO,2,PROFESSIONALE,NUOVI PROFESSIONALI,SERVIZI COMMERCIALI,11,10
202425,SATD03701C,SCUOLA SECONDARIA II GRADO,4,TECNICO,TECNOLOGICO,INFORMATICA,24,1
202425,MIRC061012,SCUOLA SECONDARIA II GRADO,5,PROFESSIONALE,NUOVI PROFESSIONALI,SERVIZI COMMERCIALI,7,8
202425,BSRI03201L,SCUOLA SECONDARIA II GRADO,4,PROFESSIONALE,NUOVI PROFESSIONALI,INDUSTRIA E ARTIGIANATO PER IL MADE IN ITALY,31,83
202425,RGPC00301G,SCUOLA SECONDARIA II GRADO,2,LICEO,SCIENTIFICO,SCIENTIFICO QUADRIENNALE,6,4
202425,VITD00601C,SCUOLA SECONDARIA II GRADO,2,TECNICO,ECONOMICO,AMM. FINAN. MARKETING - BIENNIO COMUNE,14,20
202425,RATF01000T,SCUOLA SECONDARIA II GRADO,3,TECNICO,TECNOLOGICO,ELETTRONICA,32,2
202425,TEPS02000N,SCUOLA SECONDARIA II GRADO,5,LICEO,LINGUISTICO,LINGUISTICO,10,39
202425,NARI096028,SCUOLA SECONDARIA II GRADO,4,PROFESSIONALE,NUOVI PROFESSIONALI,INDUSTRIA E ARTIGIANATO PER IL MADE IN ITALY,0,39
202425,TPTH01801P,SCUOLA SECONDARIA II GRADO,4,TECNICO,TECNOLOGICO,CONDUZIONE DEL MEZZO NAVALE - OPZIONE,12,2
202425,SRPM01000P,SCUOLA SECONDARIA II GRADO,2,LICEO,SCIENZE UMANE,SCIENZE UMANE - OPZ. ECONOMICO SOCIALE,8,19
202425,RCRA01401V,SCUOLA SECONDARIA II GRADO,2,PROFESSIONALE,NUOVI PROFESSIONALI,ARTI AUSILIARIE DELLE PROFESSIONI SANITARIE: ODONTOTECNICO,12,3
202425,LOTF003017,SCUOLA SECONDARIA II GRADO,3,LICEO,SCIENTIFICO,SCIENTIFICO - OPZIONE SCIENZE APPLICATE,31,25
202425,VATD012012,SCUOLA SECONDARIA II GRADO,4,TECNICO,TECNOLOGICO,COSTRUZIONI AMBIENTE E TERRITORIO - TRIENNIO,17,3
202425,FITD03101V,SCUOLA SECONDARIA II GRADO,2,TECNICO,ECONOMICO,AMM. FINAN. MARKETING - BIENNIO COMUNE,68,27
202425,RNPS060003,SCUOLA SECONDARIA II GRADO,5,LICEO,SCIENTIFICO,SCIENTIFICO,48,53
202425,FEPS00401B,SCUOLA SECONDARIA II GRADO,3,LICEO,SCIENZE UMANE,SCIENZE UMANE,3,19
202425,LCRC02000L,SCUOLA SECONDARIA II GRADO,1,PROFESSIONALE,NUOVI PROFESSIONALI,ENOGASTRONOMIA E OSPITALITA' ALBERGHIERA,45,32
202425,PGTF01401D,SCUOLA SECONDARIA II GRADO,2,TECNICO,TECNOLOGICO,MECC. MECCATRON. ENER. - BIENNIO COMUNE,24,3
202425,ARTD022018,SCUOLA SECONDARIA II GRADO,1,TECNICO,ECONOMICO,AMM. FINAN. MARKETING - BIENNIO COMUNE,12,8
202425,BATL07000T,SCUOLA SECONDARIA II GRADO,1,TECNICO,TECNOLOGICO,CHIM. MATER. BIOTECN. - BIENNIO COMUNE,15,15
202425,CTSL020001,SCUOLA SECONDARIA II GRADO,4,LICEO,MUSICALE E COREUTICO,MUSICALE E COREUTICO - SEZIONE COREUTICA,3,21
202425,RMPS12000G,SCUOLA SECONDARIA II GRADO,5,LICEO,SCIENTIFICO,SCIENTIFICO - OPZIONE SCIENZE APPLICATE,73,16
202425,TOTD003019,SCUOLA SECONDARIA II GRADO,4,TECNICO,ECONOMICO,RELAZIONI INTERNAZIONALI PER IL MARKETING,8,7
202425,LTRC01601D,SCUOLA SECONDARIA II GRADO,5,PROFESSIONALE,NUOVI PROFESSIONALI,SERVIZI COMMERCIALI,5,3
202425,MIRC061023,SCUOLA SECONDARIA II GRADO,3,PROFESSIONALE,NUOVI PROFESSIONALI,SERVIZI PER LA SANITA' E L'ASSISTENZA SOCIALE,0,20
202425,TRPM001012,SCUOLA SECONDARIA II GRADO,2,LICEO,SCIENZE UMANE,SCIENZE UMANE,3,31
202425,TSTE030504,SCUOLA SECONDARIA II GRADO,4,TECNICO,TECNOLOGICO,GRAFICA E COMUNICAZIONE,2,1
202425,MSRH010005,SCUOLA SECONDARIA II GRADO,4,PROFESSIONALE,NUOVI PROFESSIONALI,ENOGASTRONOMIA E OSPITALITA' ALBERGHIERA,45,33
202425,BRPC04000P,SCUOLA SECONDARIA II GRADO,5,LICEO,ARTISTICO,GRAFICA,6,7
202425,BGTF01050C,SCUOLA SECONDARIA II GRADO,2,TECNICO,TECNOLOGICO,MECC. MECCATRON. ENER. - BIENNIO COMUNE,16,3
202425,PRRI00801A,SCUOLA SECONDARIA II GRADO,1,PROFESSIONALE,NUOVI PROFESSIONALI,MANUTENZIONE E ASSISTENZA TECNICA QUADRIENNALE,24,0
202425,NOTD002012,SCUOLA SECONDARIA II GRADO,4,TECNICO,ECONOMICO,RELAZIONI INTERNAZIONALI PER IL MARKETING,13,29
202425,MNTF01150B,SCUOLA SECONDARIA II GRADO,4,TECNICO,TECNOLOGICO,MECCANICA E MECCATRONICA,8,0
202425,MITF00801P,SCUOLA SECONDARIA II GRADO,3,TECNICO,TECNOLOGICO,MECCANICA E MECCATRONICA,25,1
202425,FRPS02000X,SCUOLA SECONDARIA II GRADO,3,LICEO,SCIENTIFICO,SCIENTIFICO,53,54
202425,SVTF009517,SCUOLA SECONDARIA II GRADO,4,TECNICO,TECNOLOGICO,ELETTRONICA,18,1
202425,CETF05000Q,SCUOLA SECONDARIA II GRADO,4,TECNICO,TECNOLOGICO,"TESSILE, ABBIGLIAMENTO E MODA",0,12
202425,CZTL02451R,SCUOLA SECONDARIA II GRADO,3,TECNICO,TECNOLOGICO,COSTRUZIONI AMBIENTE E TERRITORIO - TRIENNIO,15,8
202425,RGRI01201P,SCUOLA SECONDARIA II GRADO,1,PROFESSIONALE,NUOVI PROFESSIONALI,MANUTENZIONE E ASSISTENZA TECNICA,64,2
202425,AQPS018016,SCUOLA SECONDARIA II GRADO,3,LICEO,SCIENTIFICO,SCIENTIFICO - OPZIONE SCIENZE APPLICATE,55,21
202425,PAPS028018,SCUOLA SECONDARIA II GRADO,2,LICEO,SCIENTIFICO,SCIENTIFICO - SEZIONE AD INDIRIZZO SPORTIVO,36,6
202425,ANRC01301A,SCUOLA SECONDARIA II GRADO,4,PROFESSIONALE,NUOVI PROFESSIONALI,ARTI AUSILIARIE DELLE PROFESSIONI SANITARIE: ODONTOTECNICO,4,13
202425,ORRA009017,SCUOLA SECONDARIA II GRADO,4,PROFESSIONALE,NUOVI PROFESSIONALI,"AGRICOLTURA, SVILUPPO RURALE, VALORIZZAZIONE DEI PRODOTTI DEL TERRITORIO E GESTIONE DELLE RISORSE FORESTALI E MONTANE",23,10
202425,TPPS03201B,SCUOLA SECONDARIA II GRADO,1,LICEO,SCIENTIFICO,SCIENTIFICO,12,24
202425,NATD100007,SCUOLA SECONDARIA II GRADO,3,TECNICO,TECNOLOGICO,BIOTECNOLOGIE AMBIENTALI,6,1
202425,FGPS210002,SCUOLA SECONDARIA II GRADO,1,LICEO,CLASSICO,CLASSICO,9,19
202425,VRRI01802D,SCUOLA SECONDARIA II GRADO,4,PROFESSIONALE,SERVIZI,SERVIZI SOCIO-SANITARI - ODONTOTECNICO,5,0
202425,VIPS05000N,SCUOLA SECONDARIA II GRADO,2,LICEO,SCIENTIFICO,SCIENTIFICO,27,47
202425,CTTN02301A,SCUOLA SECONDARIA II GRADO,4,TECNICO,ECONOMICO,TURISMO,24,74
202425,NOPC07000L,SCUOLA SECONDARIA II GRADO,2,LICEO,CLASSICO,CLASSICO,14,36
202425,RGRH00801G,SCUOLA SECONDARIA II GRADO,1,PROFESSIONALE,NUOVI PROFESSIONALI,ENOGASTRONOMIA E OSPITALITA' ALBERGHIERA,22,18
202425,FERH00801C,SCUOLA SECONDARIA II GRADO,5,PROFESSIONALE,NUOVI PROFESSIONALI,ENOGASTRONOMIA E OSPITALITA' ALBERGHIERA,16,15
202425,GETD019015,SCUOLA SECONDARIA II GRADO,4,TECNICO,ECONOMICO,AMMINISTRAZIONE FINANZA E MARKETING - TRIENNIO,12,12
202425,NATD13451R,SCUOLA SECONDARIA II GRADO,5,TECNICO,TECNOLOGICO,COSTRUZIONI AMBIENTE E TERRITORIO - TRIENNIO,5,2
202425,PDPS01301A,SCUOLA SECONDARIA II GRADO,2,LICEO,CLASSICO,CLASSICO,6,15
202425,BATD21000D,SCUOLA SECONDARIA II GRADO,4,TECNICO,ECONOMICO,TURISMO,16,36
202425,TETD014017,SCUOLA SECONDARIA II GRADO,5,TECNICO,ECONOMICO,RELAZIONI INTERNAZIONALI PER IL MARKETING,7,8
202425,LETD00701Q,SCUOLA SECONDARIA II GRADO,4,TECNICO,ECONOMICO,AMMINISTRAZIONE FINANZA E MARKETING - TRIENNIO,13,1
202425,PATA00801C,SCUOLA SECONDARIA II GRADO,3,TECNICO,TECNOLOGICO,PRODUZIONI E TRASFORMAZIONI,12,6
202425,LESD03302X,SCUOLA SECONDARIA II GRADO,2,LICEO,ARTISTICO,ARTISTICO NUOVO ORDINAMENTO - BIENNIO COMUNE,18,55
202425,MITF014012,SCUOLA SECONDARIA II GRADO,2,LICEO,SCIENTIFICO,SCIENTIFICO - OPZIONE SCIENZE APPLICATE,54,22
202425,MOTD03000T,SCUOLA SECONDARIA II GRADO,4,TECNICO,ECONOMICO,SISTEMI INFORMATIVI AZIENDALI,43,31
202425,FIPC014016,SCUOLA SECONDARIA II GRADO,2,LICEO,CLASSICO,CLASSICO,8,27
202425,LTTD00401E,SCUOLA SECONDARIA II GRADO,3,TECNICO,ECONOMICO,AMMINISTRAZIONE FINANZA E MARKETING - TRIENNIO,28,31
202425,TPRI028011,SCUOLA SECONDARIA II GRADO,1,PROFESSIONALE,NUOVI PROFESSIONALI,SERVIZI CULTURALI E DELLO SPETTACOLO,7,4
202425,TPRI00801Q,SCUOLA SECONDARIA II GRADO,2,PROFESSIONALE,NUOVI PROFESSIONALI,ENOGASTRONOMIA E OSPITALITA' ALBERGHIERA,16,6
202425,MISL01000C,SCUOLA SECONDARIA II GRADO,5,LICEO,ARTISTICO,SCENOGRAFIA,2,27
202425,RATD01000G,SCUOLA SECONDARIA II GRADO,2,TECNICO,TECNOLOGICO,"COSTR., AMB. E TERRITORIO - BIENNIO COM.",19,11
202425,PNTF01000A,SCUOLA SECONDARIA II GRADO,4,TECNICO,TECNOLOGICO,CHIMICA E MATERIALI,51,25
202425,CETF00201B,SCUOLA SECONDARIA II GRADO,3,TECNICO,TECNOLOGICO,COSTRUZIONI AMBIENTE E TERRITORIO - TRIENNIO,7,4
202425,SITF05000T,SCUOLA SECONDARIA II GRADO,3,TECNICO,TECNOLOGICO,ELETTRONICA,10,1
202425,AVTF070004,SCUOLA SECONDARIA II GRADO,4,TECNICO,TECNOLOGICO,ELETTROTECNICA,18,0
202425,MITF21000B,SCUOLA SECONDARIA II GRADO,5,TECNICO,TECNOLOGICO,ELETTRONICA,15,0
202425,FRTD02801B,SCUOLA SECONDARIA II GRADO,5,TECNICO,ECONOMICO,RELAZIONI INTERNAZIONALI PER IL MARKETING,3,8
202425,LESD090002,SCUOLA SECONDARIA II GRADO,2,LICEO,CLASSICO,CLASSICO,13,31
202425,PSPS050002,SCUOLA SECONDARIA II GRADO,4,LICEO,SCIENTIFICO,SCIENTIFICO,19,16
202425,TVPM010001,SCUOLA SECONDARIA II GRADO,4,LICEO,LINGUISTICO,LINGUISTICO,13,39
202425,RGPM01801D,SCUOLA SECONDARIA II GRADO,3,LICEO,SCIENZE UMANE,SCIENZE UMANE,1,55
202425,TOPS20000P,SCUOLA SECONDARIA II GRADO,1,LICEO,INTERNAZIONALE,LICEO SCIENTIFICO INTERNAZIONALE - OPZIONE CINESE,7,8
202425,PGTE01000A,SCUOLA SECONDARIA II GRADO,5,TECNICO,TECNOLOGICO,BIOTECNOLOGIE AMBIENTALI,5,7
202425,CNPM04000X,SCUOLA SECONDARIA II GRADO,5,LICEO,SCIENZE UMANE,SCIENZE UMANE,5,57
202425,CNTD01901A,SCUOLA SECONDARIA II GRADO,5,TECNICO,ECONOMICO,AMMINISTRAZIONE FINANZA E MARKETING - TRIENNIO,12,24
202425,RMRH01000T,SCUOLA SECONDARIA II GRADO,3,PROFESSIONALE,NUOVI PROFESSIONALI,ENOGASTRONOMIA E OSPITALITA' ALBERGHIERA,98,55
202425,SAPS070007,SCUOLA SECONDARIA II GRADO,2,LICEO,SCIENTIFICO,SCIENTIFICO QUADRIENNALE,4,8
202425,VEPC050007,SCUOLA SECONDARIA II GRADO,2,LICEO,MUSICALE E COREUTICO,MUSICALE E COREUTICO - SEZ. MUSICALE,9,8
202425,PARA021013,SCUOLA SECONDARIA II GRADO,5,PROFESSIONALE,NUOVI PROFESSIONALI,"AGRICOLTURA, SVILUPPO RURALE, VALORIZZAZIONE DEI PRODOTTI DEL TERRITORIO E GESTIONE DELLE RISORSE FORESTALI E MONTANE",9,1
202425,SSTA00301C,SCUOLA SECONDARIA II GRADO,3,TECNICO,TECNOLOGICO,GESTIONE DELL'AMBIENTE E DEL TERRITORIO,13,4
202425,RCRI034515,SCUOLA SECONDARIA II GRADO,4,PROFESSIONALE,SERVIZI,SERVIZI SOCIO-SANITARI,1,11
202425,NATF010007,SCUOLA SECONDARIA II GRADO,4,TECNICO,TECNOLOGICO,ELETTROTECNICA,13,0
202425,AGPS02602Q,SCUOLA SECONDARIA II GRADO,3,LICEO,SCIENTIFICO,SCIENTIFICO,15,15
202425,TPPC00801B,SCUOLA SECONDARIA II GRADO,2,LICEO,CLASSICO,CLASSICO,4,10
202425,ALTF00801T,SCUOLA SECONDARIA II GRADO,1,TECNICO,TECNOLOGICO,TRASPORTI E LOGISTICA - BIENNIO COMUNE,17,7
202425,RMTD12601B,SCUOLA SECONDARIA II GRADO,3,TECNICO,TECNOLOGICO,COSTRUZIONI AMBIENTE E TERRITORIO - TRIENNIO,13,5
202425,PAPS080008,SCUOLA SECONDARIA II GRADO,1,LICEO,SCIENZE UMANE,SCIENZE UMANE - OPZ. ECONOMICO SOCIALE,2,23
202425,PAPS00401Q,SCUOLA SECONDARIA II GRADO,1,LICEO,SCIENTIFICO,SCIENTIFICO - OPZIONE SCIENZE APPLICATE,25,8
202425,NAPS01901L,SCUOLA SECONDARIA II GRADO,1,LICEO,SCIENTIFICO,SCIENTIFICO,13,16
202425,MCPC04001R,SCUOLA SECONDARIA II GRADO,3,LICEO,LINGUISTICO,LINGUISTICO,2,4
202425,SAPS08000T,SCUOLA SECONDARIA II GRADO,4,LICEO,LINGUISTICO,LINGUISTICO,6,29
202425,MIRH05801B,SCUOLA SECONDARIA II GRADO,1,PROFESSIONALE,NUOVI PROFESSIONALI,ENOGASTRONOMIA E OSPITALITA' ALBERGHIERA,61,28
202425,ENPC018019,SCUOLA SECONDARIA II GRADO,3,LICEO,CLASSICO,CLASSICO,4,12
202425,VBPS02000P,SCUOLA SECONDARIA II GRADO,1,LICEO,CLASSICO,CLASSICO,8,9
202425,AVTF00301A,SCUOLA SECONDARIA II GRADO,4,TECNICO,TECNOLOGICO,ELETTROTECNICA,13,1
202425,BAPS06801L,SCUOLA SECONDARIA II GRADO,3,LICEO,LINGUISTICO,LINGUISTICO,5,9
202425,NARC092017,SCUOLA SECONDARIA II GRADO,5,PROFESSIONALE,NUOVI PROFESSIONALI,SERVIZI PER LA SANITA' E L'ASSISTENZA SOCIALE,3,15
202425,BARI13050L,SCUOLA SECONDARIA II GRADO,3,PROFESSIONALE,INDUSTRIA E ARTIGIANATO,PRODUZIONI TESSILI SARTORIALI - OPZIONE,3,47
202425,SATF05201R,SCUOLA SECONDARIA II GRADO,5,TECNICO,TECNOLOGICO,ELETTROTECNICA,18,0
202425,NATF02000T,SCUOLA SECONDARIA II GRADO,4,TECNICO,TECNOLOGICO,ELETTRONICA,18,1
202425,TOTD026023,SCUOLA SECONDARIA II GRADO,5,TECNICO,ECONOMICO,AMMINISTRAZIONE FINANZA E MARKETING - TRIENNIO,11,11
202425,ISTD003018,SCUOLA SECONDARIA II GRADO,1,TECNICO,TECNOLOGICO,"COSTR., AMB. E TERRITORIO - BIENNIO COM.",9,0
202425,AGTD01601X,SCUOLA SECONDARIA II GRADO,1,TECNICO,ECONOMICO,AMM. FINAN. MARKETING - BIENNIO COMUNE,38,16
202425,VATD020509,SCUOLA SECONDARIA II GRADO,4,TECNICO,ECONOMICO,SISTEMI INFORMATIVI AZIENDALI,10,12
202425,NATD14601N,SCUOLA SECONDARIA II GRADO,2,TECNICO,TECNOLOGICO,CHIM. MATER. BIOTECN. - BIENNIO COMUNE,13,22
202425,RCRH04251L,SCUOLA SECONDARIA II GRADO,4,PROFESSIONALE,SERVIZI,ENOGASTRONOMIA - TRIENNIO,10,8
202425,NATD06702V,SCUOLA SECONDARIA II GRADO,2,TECNICO,ECONOMICO,TURISMO,13,34
202425,VERI02102N,SCUOLA SECONDARIA II GRADO,3,PROFESSIONALE,NUOVI PROFESSIONALI,INDUSTRIA E ARTIGIANATO PER IL MADE IN ITALY,10,7
202425,GRPM01000E,SCUOLA SECONDARIA II GRADO,3,LICEO,LINGUISTICO,LINGUISTICO,17,60
202425,AGPS008015,SCUOLA SECONDARIA II GRADO,4,LICEO,SCIENTIFICO,SCIENTIFICO,10,13
202425,TOPS05701T,SCUOLA SECONDARIA II GRADO,2,LICEO,SCIENTIFICO,SCIENTIFICO,23,23
202425,IMPC040002,SCUOLA SECONDARIA II GRADO,3,LICEO,MUSICALE E COREUTICO,MUSICALE E COREUTICO - SEZ. MUSICALE,11,6
202425,LETF006016,SCUOLA SECONDARIA II GRADO,4,TECNICO,TECNOLOGICO,COSTRUZIONI AMBIENTE E TERRITORIO - TRIENNIO,11,4
202425,BSPM04000A,SCUOLA SECONDARIA II GRADO,2,LICEO,SCIENZE UMANE,SCIENZE UMANE - OPZ. ECONOMICO SOCIALE,28,90
202425,CATD00901D,SCUOLA SECONDARIA II GRADO,4,TECNICO,TECNOLOGICO,COSTRUZIONI AMBIENTE E TERRITORIO - TRIENNIO,11,1
202425,BARI013502,SCUOLA SECONDARIA II GRADO,5,PROFESSIONALE,INDUSTRIA E ARTIGIANATO,PRODUZIONI TESSILI SARTORIALI - OPZIONE,0,9
202425,RMTN02000C,SCUOLA SECONDARIA II GRADO,3,TECNICO,ECONOMICO,TURISMO,21,55
202425,CEPS060008,SCUOLA SECONDARIA II GRADO,3,LICEO,MUSICALE E COREUTICO,MUSICALE E COREUTICO - SEZ. MUSICALE,7,3
202425,CTTD054014,SCUOLA SECONDARIA II GRADO,1,TECNICO,TECNOLOGICO,CHIM. MATER. BIOTECN. - BIENNIO COMUNE,11,5
202425,MITF070009,SCUOLA SECONDARIA II GRADO,1,TECNICO,TECNOLOGICO,ELETTR. ED ELETTROTEC.- BIENNIO COMUNE,21,1
202425,MOTF00801X,SCUOLA SECONDARIA II GRADO,5,TECNICO,TECNOLOGICO,AUTOMAZIONE,17,1
202425,NAPC22000A,SCUOLA SECONDARIA II GRADO,2,LICEO,SCIENTIFICO,SCIENTIFICO,29,33
202425,CZRI02101V,SCUOLA SECONDARIA II GRADO,5,PROFESSIONALE,SERVIZI,ENOGASTRONOMIA - TRIENNIO,18,0
202425,KRTH01451C,SCUOLA SECONDARIA II GRADO,5,TECNICO,TECNOLOGICO,COSTRUZIONE DEL MEZZO,8,2
202425,MITF09701A,SCUOLA SECONDARIA II GRADO,3,TECNICO,TECNOLOGICO,TELECOMUNICAZIONI,6,2
202425,MEPC031017,SCUOLA SECONDARIA II GRADO,1,LICEO,CLASSICO,CLASSICO,45,108
202425,BSTD02000X,SCUOLA SECONDARIA II GRADO,3,TECNICO,ECONOMICO,TURISMO,16,29
202425,CEPM03000D,SCUOLA SECONDARIA II GRADO,1,LICEO,LINGUISTICO,LINGUISTICO,8,67
202425,RMTF010028,SCUOLA SECONDARIA II GRADO,3,TECNICO,TECNOLOGICO,AUTOMAZIONE,32,0
202425,RMPS320009,SCUOLA SECONDARIA II GRADO,5,LICEO,SCIENTIFICO,SCIENTIFICO,67,57
202425,TOPC033016,SCUOLA SECONDARIA II GRADO,3,LICEO,SCIENTIFICO,SCIENTIFICO - OPZIONE SCIENZE APPLICATE,12,10
