ANNOSCOLASTICO,CODICESCUOLA,ORDINESCUOLA,ANNOCORSO,TIPOPERCORSO,PERCORSO,INDIRIZZO,ALUNNIMASCHI,ALUNNIFEMMINE
202425,REPM7R500G,SCUOLA SECONDARIA II GRADO,2,LICEO,SCIENZE UMANE,SCIENZE UMANE,4,11
202425,GERI015006,SCUOLA SECONDARIA II GRADO,3,PROFESSIONALE,NUOVI PROFESSIONALI,INDUSTRIA E ARTIGIANATO PER IL MADE IN ITALY,0,29
202425,NATDD55004,SCUOLA SECONDARIA II GRADO,2,TECNICO,ECONOMICO,AMM. FINAN. MARKETING - BIENNIO COMUNE,1,2
202425,RMPSPG500N,SCUOLA SECONDARIA II GRADO,4,LICEO,SCIENTIFICO,SCIENTIFICO - SEZIONE AD INDIRIZZO SPORTIVO,9,5
202425,RMPSAS5006,SCUOLA SECONDARIA II GRADO,3,LICEO,SCIENTIFICO,SCIENTIFICO,14,13
202425,NATANI5007,SCUOLA SECONDARIA II GRADO,5,TECNICO,TECNOLOGICO,PRODUZIONI E TRASFORMAZIONI,80,25
202425,RMPS27500L,SCUOLA SECONDARIA II GRADO,3,LICEO,SCIENTIFICO,SCIENTIFICO,22,21
202425,SATD13500L,SCUOLA SECONDARIA II GRADO,4,TECNICO,ECONOMICO,AMMINISTRAZIONE FINANZA E MARKETING - TRIENNIO,2,1
202425,MIRIB1500S,SCUOLA SECONDARIA II GRADO,3,PROFESSIONALE,NUOVI PROFESSIONALI,INDUSTRIA E ARTIGIANATO PER IL MADE IN ITALY,0,21
202425,REPM3F5001,SCUOLA SECONDARIA II GRADO,3,LICEO,SCIENZE UMANE,SCIENZE UMANE - OPZ. ECONOMICO SOCIALE,8,10
202425,LCPC00500V,SCUOLA SECONDARIA II GRADO,4,LICEO,CLASSICO,CLASSICO,2,12
202425,VAPM04500D,SCUOLA SECONDARIA II GRADO,5,LICEO,SCIENZE UMANE,SCIENZE UMANE - OPZ. ECONOMICO SOCIALE,5,12
202425,AGTD685001,SCUOLA SECONDARIA II GRADO,5,TECNICO,ECONOMICO,SISTEMI INFORMATIVI AZIENDALI,13,10
202425,TOPM085002,SCUOLA SECONDARIA II GRADO,3,LICEO,SCIENZE UMANE,SCIENZE UMANE - OPZ. ECONOMICO SOCIALE,8,8
202425,RMPMSC500I,SCUOLA SECONDARIA II GRADO,5,LICEO,SCIENZE UMANE,SCIENZE UMANE - OPZ. ECONOMICO SOCIALE,23,25
202425,VAPLB6500A,SCUOLA SECONDARIA II GRADO,4,LICEO,LINGUISTICO,LINGUISTICO,1,9
202425,UDPC00500N,SCUOLA SECONDARIA II GRADO,4,LICEO,CLASSICO,CLASSICO,7,7
202425,BSPMN8500Q,SCUOLA SECONDARIA II GRADO,2,LICEO,SCIENZE UMANE,SCIENZE UMANE - OPZ. ECONOMICO SOCIALE,12,19
202425,NAPS25500C,SCUOLA SECONDARIA II GRADO,2,LICEO,SCIENTIFICO,SCIENTIFICO,6,2
202425,TVPL005007,SCUOLA SECONDARIA II GRADO,1,LICEO,LINGUISTICO,LINGUISTICO,2,2
202425,LTPM02500Q,SCUOLA SECONDARIA II GRADO,1,LICEO,SCIENZE UMANE,SCIENZE UMANE - OPZ. ECONOMICO SOCIALE,1,5
202425,TVRA3C5009,SCUOLA SECONDARIA II GRADO,2,PROFESSIONALE,NUOVI PROFESSIONALI,INDUSTRIA E ARTIGIANATO PER IL MADE IN ITALY,7,6
202425,BNPC015006,SCUOLA SECONDARIA II GRADO,1,LICEO,CLASSICO,CLASSICO QUADRIENNALE,5,3
202425,LIPL01500X,SCUOLA SECONDARIA II GRADO,4,LICEO,LINGUISTICO,LINGUISTICO,3,0
202425,RMTD355004,SCUOLA SECONDARIA II GRADO,2,TECNICO,ECONOMICO,AMM. FINAN. MARKETING - BIENNIO COMUNE,5,2
202425,MIPSTF500R,SCUOLA SECONDARIA II GRADO,2,LICEO,SCIENTIFICO,SCIENTIFICO,7,7
202425,ATPS715002,SCUOLA SECONDARIA II GRADO,3,LICEO,SCIENTIFICO,SCIENTIFICO - OPZIONE SCIENZE APPLICATE,10,5
202425,PEPS005001,SCUOLA SECONDARIA II GRADO,5,LICEO,SCIENTIFICO,SCIENTIFICO,20,15
202425,RMPS0V500L,SCUOLA SECONDARIA II GRADO,1,LICEO,SCIENTIFICO,SCIENTIFICO - SEZIONE AD INDIRIZZO SPORTIVO,4,2
202425,CHTF00500E,SCUOLA SECONDARIA II GRADO,4,TECNICO,TECNOLOGICO,INFORMATICA,1,0
202425,NAPSAV500Q,SCUOLA SECONDARIA II GRADO,1,LICEO,SCIENTIFICO,SCIENTIFICO - OPZIONE SCIENZE APPLICATE,4,1
202425,PDPS02500G,SCUOLA SECONDARIA II GRADO,1,LICEO,SCIENTIFICO,SCIENTIFICO,11,6
202425,AGPSFG5009,SCUOLA SECONDARIA II GRADO,2,LICEO,SCIENTIFICO,SCIENTIFICO,0,1
202425,TOPL66500H,SCUOLA SECONDARIA II GRADO,5,LICEO,LINGUISTICO,LINGUISTICO,5,19
202425,COPSI65000,SCUOLA SECONDARIA II GRADO,4,LICEO,SCIENTIFICO,SCIENTIFICO - SEZIONE AD INDIRIZZO SPORTIVO,12,7
202425,MIPSDF5000,SCUOLA SECONDARIA II GRADO,5,LICEO,SCIENTIFICO,SCIENTIFICO - SEZIONE AD INDIRIZZO SPORTIVO,39,12
202425,BSSLVV500P,SCUOLA SECONDARIA II GRADO,4,LICEO,ARTISTICO,ARTISTICO ARCHITETTURA E AMBIENTE  QUADRIENNALE,5,8
202425,NATD0C5008,SCUOLA SECONDARIA II GRADO,5,TECNICO,ECONOMICO,AMMINISTRAZIONE FINANZA E MARKETING - TRIENNIO,37,30
202425,NATNIZ500M,SCUOLA SECONDARIA II GRADO,3,TECNICO,ECONOMICO,TURISMO,5,4
202425,MIPMRI500E,SCUOLA SECONDARIA II GRADO,5,LICEO,SCIENZE UMANE,SCIENZE UMANE - OPZ. ECONOMICO SOCIALE,42,50
202425,BGPQ235008,SCUOLA SECONDARIA II GRADO,1,LICEO,SCIENZE UMANE,SCIENZE UMANE - OPZ. ECONOMICO SOCIALE,7,16
202425,PAPSVD500Q,SCUOLA SECONDARIA II GRADO,1,LICEO,SCIENTIFICO,SCIENTIFICO,3,4
202425,APPM04500X,SCUOLA SECONDARIA II GRADO,5,LICEO,SCIENZE UMANE,SCIENZE UMANE - OPZ. ECONOMICO SOCIALE,11,7
202425,RMPS97500P,SCUOLA SECONDARIA II GRADO,3,LICEO,SCIENTIFICO,SCIENTIFICO,10,6
202425,MIPS445002,SCUOLA SECONDARIA II GRADO,3,LICEO,SCIENTIFICO,SCIENTIFICO,21,16
202425,NAPCFD500P,SCUOLA SECONDARIA II GRADO,5,LICEO,CLASSICO,CLASSICO,10,22
202425,MBPS365007,SCUOLA SECONDARIA II GRADO,4,LICEO,SCIENTIFICO,SCIENTIFICO,2,10
202425,RMPS54500B,SCUOLA SECONDARIA II GRADO,2,LICEO,SCIENTIFICO,SCIENTIFICO,1,0
202425,MBRH00500P,SCUOLA SECONDARIA II GRADO,3,PROFESSIONALE,NUOVI PROFESSIONALI,ENOGASTRONOMIA E OSPITALITA' ALBERGHIERA,38,11
202425,MIPS20500T,SCUOLA SECONDARIA II GRADO,5,LICEO,SCIENTIFICO,SCIENTIFICO,12,6
202425,SAPM3S500H,SCUOLA SECONDARIA II GRADO,4,LICEO,SCIENZE UMANE,SCIENZE UMANE,1,4
202425,MIPMZS500F,SCUOLA SECONDARIA II GRADO,2,LICEO,SCIENZE UMANE,SCIENZE UMANE - OPZ. ECONOMICO SOCIALE,7,21
202425,COPSIS500Q,SCUOLA SECONDARIA II GRADO,1,LICEO,SCIENTIFICO,SCIENTIFICO - SEZIONE AD INDIRIZZO SPORTIVO,31,14
202425,NATFZM500T,SCUOLA SECONDARIA II GRADO,4,TECNICO,TECNOLOGICO,MECCANICA E MECCATRONICA,4,0
202425,MIPSD2500P,SCUOLA SECONDARIA II GRADO,4,LICEO,SCIENTIFICO,SCIENTIFICO,9,10
202425,TVPC035005,SCUOLA SECONDARIA II GRADO,5,LICEO,CLASSICO,CLASSICO,2,2
202425,FOPS5G500N,SCUOLA SECONDARIA II GRADO,3,LICEO,SCIENTIFICO,SCIENTIFICO - SEZIONE AD INDIRIZZO SPORTIVO,44,13
202425,NARFFC500D,SCUOLA SECONDARIA II GRADO,4,PROFESSIONALE,NUOVI PROFESSIONALI,SERVIZI PER LA SANITA' E L'ASSISTENZA SOCIALE,3,3
202425,MBPC27500T,SCUOLA SECONDARIA II GRADO,3,LICEO,CLASSICO,CLASSICO,6,12
202425,GEPS70500C,SCUOLA SECONDARIA II GRADO,4,LICEO,SCIENTIFICO,SCIENTIFICO,14,5
202425,TVPS065004,SCUOLA SECONDARIA II GRADO,3,LICEO,SCIENTIFICO,SCIENTIFICO,16,6
202425,RMPSRQ500V,SCUOLA SECONDARIA II GRADO,1,LICEO,SCIENTIFICO,SCIENTIFICO - SEZIONE AD INDIRIZZO SPORTIVO,27,14
202425,PATL095008,SCUOLA SECONDARIA II GRADO,2,TECNICO,TECNOLOGICO,"COSTR., AMB. E TERRITORIO - BIENNIO COM.",3,1
202425,LUPMRC5008,SCUOLA SECONDARIA II GRADO,1,LICEO,SCIENZE UMANE,SCIENZE UMANE - OPZ. ECONOMICO SOCIALE,2,6
202425,AGSL015004,SCUOLA SECONDARIA II GRADO,3,LICEO,ARTISTICO,ARCHITETTURA E AMBIENTE,0,4
202425,SARHTF500G,SCUOLA SECONDARIA II GRADO,2,PROFESSIONALE,NUOVI PROFESSIONALI,ENOGASTRONOMIA E OSPITALITA' ALBERGHIERA,4,5
202425,TVPS035008,SCUOLA SECONDARIA II GRADO,1,LICEO,SCIENTIFICO,SCIENTIFICO,4,5
202425,SATDR35003,SCUOLA SECONDARIA II GRADO,5,TECNICO,ECONOMICO,RELAZIONI INTERNAZIONALI PER IL MARKETING,4,6
202425,PDPM00500B,SCUOLA SECONDARIA II GRADO,5,LICEO,SCIENZE UMANE,SCIENZE UMANE - OPZ. ECONOMICO SOCIALE,8,15
202425,MIPS16500L,SCUOLA SECONDARIA II GRADO,5,LICEO,SCIENTIFICO,SCIENTIFICO,52,18
202425,SATFVA500L,SCUOLA SECONDARIA II GRADO,5,TECNICO,TECNOLOGICO,GRAFICA E COMUNICAZIONE,8,12
202425,NOTD035008,SCUOLA SECONDARIA II GRADO,3,TECNICO,ECONOMICO,SISTEMI INFORMATIVI AZIENDALI,0,2
202425,PAPS5E500M,SCUOLA SECONDARIA II GRADO,4,LICEO,SCIENTIFICO,SCIENTIFICO - OPZIONE SCIENZE APPLICATE,17,1
202425,BNRHZS500C,SCUOLA SECONDARIA II GRADO,4,PROFESSIONALE,NUOVI PROFESSIONALI,ENOGASTRONOMIA E OSPITALITA' ALBERGHIERA,6,3
202425,SATD30500E,SCUOLA SECONDARIA II GRADO,4,TECNICO,ECONOMICO,SISTEMI INFORMATIVI AZIENDALI,4,2
202425,NATDB75009,SCUOLA SECONDARIA II GRADO,2,TECNICO,ECONOMICO,AMM. FINAN. MARKETING - BIENNIO COMUNE,3,0
202425,RMPCAM500U,SCUOLA SECONDARIA II GRADO,5,LICEO,CLASSICO,CLASSICO,6,8
202425,PAPS02500Q,SCUOLA SECONDARIA II GRADO,5,LICEO,SCIENTIFICO,SCIENTIFICO,28,22
202425,MIPSTF500R,SCUOLA SECONDARIA II GRADO,5,LICEO,SCIENTIFICO,SCIENTIFICO,7,5
202425,BGPSC0500T,SCUOLA SECONDARIA II GRADO,2,LICEO,SCIENTIFICO,SCIENTIFICO - OPZIONE SCIENZE APPLICATE,0,1
202425,TVPS015003,SCUOLA SECONDARIA II GRADO,3,LICEO,SCIENTIFICO,SCIENTIFICO - OPZIONE SCIENZE APPLICATE,10,3
202425,MIPMU4500Z,SCUOLA SECONDARIA II GRADO,1,LICEO,SCIENZE UMANE,SCIENZE UMANE - OPZ. ECONOMICO SOCIALE,10,14
202425,VAPL06500C,SCUOLA SECONDARIA II GRADO,4,LICEO,LINGUISTICO,LINGUISTICO,3,8
202425,NATF34500R,SCUOLA SECONDARIA II GRADO,1,TECNICO,TECNOLOGICO,INFOR. TELECOM. - BIENNIO COMUNE,3,0
202425,RMPMQB5004,SCUOLA SECONDARIA II GRADO,4,LICEO,SCIENZE UMANE,SCIENZE UMANE,2,16
202425,RMPM045004,SCUOLA SECONDARIA II GRADO,4,LICEO,SCIENZE UMANE,SCIENZE UMANE - OPZ. ECONOMICO SOCIALE,6,2
202425,BGTD1D5000,SCUOLA SECONDARIA II GRADO,4,TECNICO,ECONOMICO,RELAZIONI INTERNAZIONALI PER IL MARKETING,11,5
202425,MIPM07500B,SCUOLA SECONDARIA II GRADO,5,LICEO,SCIENZE UMANE,SCIENZE UMANE,5,20
202425,TOPC10500T,SCUOLA SECONDARIA II GRADO,1,LICEO,CLASSICO,CLASSICO,3,6
202425,TPTD80500R,SCUOLA SECONDARIA II GRADO,5,TECNICO,ECONOMICO,AMMINISTRAZIONE FINANZA E MARKETING - TRIENNIO,9,8
202425,CTTF04500E,SCUOLA SECONDARIA II GRADO,2,TECNICO,TECNOLOGICO,INFOR. TELECOM. - BIENNIO COMUNE,4,1
202425,MIPL265008,SCUOLA SECONDARIA II GRADO,2,LICEO,LINGUISTICO,LINGUISTICO,3,7
202425,SATFHU5008,SCUOLA SECONDARIA II GRADO,3,TECNICO,TECNOLOGICO,ELETTRONICA,6,3
202425,LCPS025007,SCUOLA SECONDARIA II GRADO,2,LICEO,SCIENTIFICO,SCIENTIFICO,7,4
202425,UDPS0G500U,SCUOLA SECONDARIA II GRADO,1,LICEO,SCIENTIFICO,SCIENTIFICO - OPZIONE SCIENZE APPLICATE,11,3
202425,PAPC12500D,SCUOLA SECONDARIA II GRADO,2,LICEO,CLASSICO,CLASSICO,11,20
202425,NATF30500A,SCUOLA SECONDARIA II GRADO,5,TECNICO,TECNOLOGICO,INFORMATICA,49,15
202425,APTDCF500V,SCUOLA SECONDARIA II GRADO,5,TECNICO,ECONOMICO,TURISMO,8,16
202425,NAPMUF500A,SCUOLA SECONDARIA II GRADO,1,LICEO,SCIENZE UMANE,SCIENZE UMANE - OPZ. ECONOMICO SOCIALE,0,4
202425,RMTD665009,SCUOLA SECONDARIA II GRADO,2,TECNICO,ECONOMICO,AMM. FINAN. MARKETING - BIENNIO COMUNE,4,4
202425,VRPL06500E,SCUOLA SECONDARIA II GRADO,2,LICEO,EUROPEO,GIURIDICO ECONOMICO (LICEI LINGUISTICI EUROPEI PARITARI),2,5
202425,RMPMQB5004,SCUOLA SECONDARIA II GRADO,1,LICEO,SCIENZE UMANE,SCIENZE UMANE,3,5
202425,VRPMPR500A,SCUOLA SECONDARIA II GRADO,1,LICEO,SCIENZE UMANE,SCIENZE UMANE - OPZ. ECONOMICO SOCIALE,8,11
202425,NAPMDC5007,SCUOLA SECONDARIA II GRADO,2,LICEO,SCIENZE UMANE,SCIENZE UMANE - OPZ. ECONOMICO SOCIALE,3,10
202425,CERHT0500Q,SCUOLA SECONDARIA II GRADO,5,PROFESSIONALE,NUOVI PROFESSIONALI,ENOGASTRONOMIA E OSPITALITA' ALBERGHIERA,41,27
202425,SAPS8F500U,SCUOLA SECONDARIA II GRADO,5,LICEO,SCIENTIFICO,SCIENTIFICO,37,11
202425,MITF11500N,SCUOLA SECONDARIA II GRADO,5,TECNICO,TECNOLOGICO,ELETTROTECNICA,24,0
202425,TOPSQB5003,SCUOLA SECONDARIA II GRADO,3,LICEO,SCIENTIFICO,SCIENTIFICO - SEZIONE AD INDIRIZZO SPORTIVO,17,7
202425,NAPLQ2500N,SCUOLA SECONDARIA II GRADO,5,LICEO,LINGUISTICO,LINGUISTICO,25,44
202425,NARH5T500V,SCUOLA SECONDARIA II GRADO,3,PROFESSIONALE,NUOVI PROFESSIONALI,ENOGASTRONOMIA E OSPITALITA' ALBERGHIERA,7,6
202425,VATD18500G,SCUOLA SECONDARIA II GRADO,3,TECNICO,ECONOMICO,AMMINISTRAZIONE FINANZA E MARKETING - TRIENNIO,6,5
202425,MIPS175007,SCUOLA SECONDARIA II GRADO,3,LICEO,SCIENTIFICO,SCIENTIFICO,23,13
202425,NATD455002,SCUOLA SECONDARIA II GRADO,4,TECNICO,ECONOMICO,AMMINISTRAZIONE FINANZA E MARKETING - TRIENNIO,3,0
202425,BGPSC0500T,SCUOLA SECONDARIA II GRADO,1,LICEO,SCIENTIFICO,SCIENTIFICO - OPZIONE SCIENZE APPLICATE,1,5
202425,BSTF01500P,SCUOLA SECONDARIA II GRADO,4,TECNICO,TECNOLOGICO,ELETTRONICA,21,0
202425,SAPSNV500C,SCUOLA SECONDARIA II GRADO,4,LICEO,SCIENTIFICO,SCIENTIFICO,1,0
202425,FIPL06500X,SCUOLA SECONDARIA II GRADO,1,LICEO,EUROPEO,LINGUISTICO MODERNO (LICEI LINGUISTICI EUROPEI PARITARI),5,11
202425,TOPS105001,SCUOLA SECONDARIA II GRADO,2,LICEO,SCIENTIFICO,SCIENTIFICO - OPZIONE SCIENZE APPLICATE,13,15
202425,RMPS235006,SCUOLA SECONDARIA II GRADO,4,LICEO,SCIENTIFICO,SCIENTIFICO,17,7
202425,VRPM01500Q,SCUOLA SECONDARIA II GRADO,5,LICEO,SCIENZE UMANE,SCIENZE UMANE - OPZ. ECONOMICO SOCIALE,10,10
202425,NATNFI5001,SCUOLA SECONDARIA II GRADO,4,TECNICO,ECONOMICO,TURISMO,3,5
202425,VARFIU5007,SCUOLA SECONDARIA II GRADO,5,PROFESSIONALE,NUOVI PROFESSIONALI,ARTI AUSILIARIE DELLE PROFESSIONI SANITARIE: ODONTOTECNICO,6,8
202425,TOPS04500E,SCUOLA SECONDARIA II GRADO,1,LICEO,SCIENTIFICO,SCIENTIFICO,11,9
202425,RMPS95500D,SCUOLA SECONDARIA II GRADO,4,LICEO,SCIENTIFICO,SCIENTIFICO,15,7
202425,MIPC09500C,SCUOLA SECONDARIA II GRADO,4,LICEO,EUROPEO,LINGUISTICO MODERNO (LICEI LINGUISTICI EUROPEI PARITARI),1,5
202425,BGPMNC5002,SCUOLA SECONDARIA II GRADO,3,LICEO,SCIENZE UMANE,SCIENZE UMANE,2,12
202425,FGRHSR500L,SCUOLA SECONDARIA II GRADO,1,PROFESSIONALE,NUOVI PROFESSIONALI,ENOGASTRONOMIA E OSPITALITA' ALBERGHIERA,3,5
202425,NAPL975007,SCUOLA SECONDARIA II GRADO,4,LICEO,LINGUISTICO,LINGUISTICO,0,2
202425,PVPS01500C,SCUOLA SECONDARIA II GRADO,3,LICEO,SCIENTIFICO,SCIENTIFICO,17,8
202425,RMPS555002,SCUOLA SECONDARIA II GRADO,4,LICEO,SCIENTIFICO,SCIENTIFICO,13,13
202425,CSRFQA500F,SCUOLA SECONDARIA II GRADO,2,PROFESSIONALE,NUOVI PROFESSIONALI,SERVIZI PER LA SANITA' E L'ASSISTENZA SOCIALE,3,9
202425,RMSL015004,SCUOLA SECONDARIA II GRADO,3,LICEO,ARTISTICO,ARCHITETTURA E AMBIENTE,2,7
202425,MOTD01500Q,SCUOLA SECONDARIA II GRADO,1,TECNICO,ECONOMICO,AMM. FINAN. MARKETING - BIENNIO COMUNE,10,2
202425,NAPS045004,SCUOLA SECONDARIA II GRADO,1,LICEO,SCIENTIFICO,SCIENTIFICO,12,14
202425,NOPSUI500C,SCUOLA SECONDARIA II GRADO,5,LICEO,SCIENTIFICO,SCIENTIFICO - OPZIONE SCIENZE APPLICATE,9,4
202425,BGSLAE500Q,SCUOLA SECONDARIA II GRADO,5,LICEO,ARTISTICO,ARCHITETTURA E AMBIENTE,0,1
202425,MERH0U5004,SCUOLA SECONDARIA II GRADO,4,PROFESSIONALE,NUOVI PROFESSIONALI,ENOGASTRONOMIA E OSPITALITA' ALBERGHIERA,3,0
202425,RMPL07500N,SCUOLA SECONDARIA II GRADO,4,LICEO,EUROPEO,LINGUISTICO MODERNO (LICEI LINGUISTICI EUROPEI PARITARI),0,1
202425,POPS00500D,SCUOLA SECONDARIA II GRADO,3,LICEO,SCIENTIFICO,SCIENTIFICO,19,19
202425,BLPMMN5000,SCUOLA SECONDARIA II GRADO,4,LICEO,SCIENZE UMANE,SCIENZE UMANE - OPZ. ECONOMICO SOCIALE,8,14
202425,TVPS02500N,SCUOLA SECONDARIA II GRADO,3,LICEO,SCIENTIFICO,SCIENTIFICO - OPZIONE SCIENZE APPLICATE,11,2
202425,TOPL11500A,SCUOLA SECONDARIA II GRADO,3,LICEO,LINGUISTICO,LINGUISTICO,2,4
202425,RMPLB3500E,SCUOLA SECONDARIA II GRADO,2,LICEO,LINGUISTICO,LINGUISTICO,1,1
202425,METAR6500G,SCUOLA SECONDARIA II GRADO,5,TECNICO,TECNOLOGICO,PRODUZIONI E TRASFORMAZIONI,7,1
202425,RMPC455002,SCUOLA SECONDARIA II GRADO,2,LICEO,CLASSICO,CLASSICO,0,2
202425,MERHFN500I,SCUOLA SECONDARIA II GRADO,3,PROFESSIONALE,NUOVI PROFESSIONALI,ENOGASTRONOMIA E OSPITALITA' ALBERGHIERA,1,2
202425,PSPC01500G,SCUOLA SECONDARIA II GRADO,1,LICEO,CLASSICO,CLASSICO,2,3
202425,MCRF3O5008,SCUOLA SECONDARIA II GRADO,4,PROFESSIONALE,NUOVI PROFESSIONALI,SERVIZI PER LA SANITA' E L'ASSISTENZA SOCIALE,1,0
202425,MIPC125003,SCUOLA SECONDARIA II GRADO,4,LICEO,CLASSICO,CLASSICO,3,8
202425,TETD00500B,SCUOLA SECONDARIA II GRADO,4,TECNICO,ECONOMICO,AMMINISTRAZIONE FINANZA E MARKETING - TRIENNIO,4,0
202425,TOSLUR500P,SCUOLA SECONDARIA II GRADO,3,LICEO,ARTISTICO,ARTI FIGURATIVE - GRAFICO-PITTORICO,3,3
202425,ENTA08500F,SCUOLA SECONDARIA II GRADO,5,TECNICO,TECNOLOGICO,PRODUZIONI E TRASFORMAZIONI,18,4
202425,VBPM03500D,SCUOLA SECONDARIA II GRADO,3,LICEO,SCIENZE UMANE,SCIENZE UMANE,3,3
202425,PVPMF55003,SCUOLA SECONDARIA II GRADO,3,LICEO,SCIENZE UMANE,SCIENZE UMANE - OPZ. ECONOMICO SOCIALE,3,8
202425,NATL175003,SCUOLA SECONDARIA II GRADO,4,TECNICO,TECNOLOGICO,COSTRUZIONI AMBIENTE E TERRITORIO - TRIENNIO,1,1
202425,BOPS3D500P,SCUOLA SECONDARIA II GRADO,2,LICEO,SCIENTIFICO,SCIENTIFICO - SEZIONE AD INDIRIZZO SPORTIVO,7,2
202425,FRPSLP5002,SCUOLA SECONDARIA II GRADO,4,LICEO,SCIENTIFICO,SCIENTIFICO - SEZIONE AD INDIRIZZO SPORTIVO,1,0
202425,TATD08500T,SCUOLA SECONDARIA II GRADO,2,TECNICO,ECONOMICO,AMM. FINAN. MARKETING - BIENNIO COMUNE,9,9
202425,CTTE01500X,SCUOLA SECONDARIA II GRADO,5,TECNICO,ECONOMICO,TURISMO,3,3
202425,RMPSVP500H,SCUOLA SECONDARIA II GRADO,1,LICEO,SCIENTIFICO,SCIENTIFICO - OPZIONE SCIENZE APPLICATE,5,0
202425,MOPSMO5004,SCUOLA SECONDARIA II GRADO,1,LICEO,SCIENTIFICO,SCIENTIFICO - SEZIONE AD INDIRIZZO SPORTIVO,5,1
202425,PERFNA5005,SCUOLA SECONDARIA II GRADO,4,PROFESSIONALE,NUOVI PROFESSIONALI,SERVIZI PER LA SANITA' E L'ASSISTENZA SOCIALE,0,1
202425,BGSLQP500D,SCUOLA SECONDARIA II GRADO,1,LICEO,MUSICALE E COREUTICO,MUSICALE E COREUTICO - SEZIONE COREUTICA,0,7
202425,PGPMCG500I,SCUOLA SECONDARIA II GRADO,5,LICEO,SCIENZE UMANE,SCIENZE UMANE,6,7
202425,PCTD015006,SCUOLA SECONDARIA II GRADO,3,TECNICO,ECONOMICO,AMMINISTRAZIONE FINANZA E MARKETING - TRIENNIO,11,9
202425,RMPL22500A,SCUOLA SECONDARIA II GRADO,4,LICEO,LINGUISTICO,LINGUISTICO,3,4
202425,RMTD55500T,SCUOLA SECONDARIA II GRADO,5,TECNICO,ECONOMICO,AMMINISTRAZIONE FINANZA E MARKETING - TRIENNIO,15,10
202425,NATFGP5005,SCUOLA SECONDARIA II GRADO,3,TECNICO,TECNOLOGICO,INFORMATICA,4,0
202425,TOPM09500L,SCUOLA SECONDARIA II GRADO,3,LICEO,SCIENZE UMANE,SCIENZE UMANE - OPZ. ECONOMICO SOCIALE,2,6
202425,RMTAPV5005,SCUOLA SECONDARIA II GRADO,4,TECNICO,TECNOLOGICO,GESTIONE DELL'AMBIENTE E DEL TERRITORIO,3,0
202425,BOPS02500L,SCUOLA SECONDARIA II GRADO,1,LICEO,SCIENTIFICO,SCIENTIFICO,8,5
202425,MIPL335009,SCUOLA SECONDARIA II GRADO,2,LICEO,LINGUISTICO,LINGUISTICO,7,14
202425,FIPS02500P,SCUOLA SECONDARIA II GRADO,3,LICEO,SCIENTIFICO,SCIENTIFICO,2,0
202425,PDPS065002,SCUOLA SECONDARIA II GRADO,5,LICEO,SCIENTIFICO,SCIENTIFICO - OPZIONE SCIENZE APPLICATE,19,6
202425,SSPL015003,SCUOLA SECONDARIA II GRADO,5,LICEO,LINGUISTICO,LINGUISTICO,3,4
202425,NATF8O500R,SCUOLA SECONDARIA II GRADO,3,TECNICO,TECNOLOGICO,GRAFICA E COMUNICAZIONE,1,4
202425,MIPL94500B,SCUOLA SECONDARIA II GRADO,2,LICEO,LINGUISTICO,LINGUISTICO,4,12
