ANNO_ACCADEMICO;Area_Istituto;TIPO_ISTITUTO;NOME_ISTITUTO;COMUNE_ISTITUTO;COD_ISTITUTO;REGIONE_ISTITUTO;TIPO_CORSO;CLASSE_ETA';ISCRITTIx ETA'
2019-2020;Area Artistica;Accademia di Belle Arti;;CARRARA;7213;TOSCANA;AFAM_Corso Diploma accademico 2L;da 25 a 29 anni;105
2019-2020;Area Artistica;Accademia di Belle Arti;;CARRARA;7213;TOSCANA;AFAM_Corso Diploma accademico 2L;30 anni e oltre;42
2019-2020;Area Artistica;Accademia di Belle Arti;;CARRARA;7213;TOSCANA;AFAM_Corso Post-Diploma accademico (Perfez./Master/Specializz.);30 anni e oltre;8
2019-2020;Area Artistica;Accademia di Belle Arti;;CATANIA;7292;SICILIA;AFAM_Corso Diploma accademico 1L;da 18 a 19 anni;270
2019-2020;Area Artistica;Accademia di Belle Arti;;CATANIA;7292;SICILIA;AFAM_Corso Diploma accademico 1L;da 20 a 24 anni;1038
2019-2020;Area Artistica;Accademia di Belle Arti;;CATANIA;7292;SICILIA;AFAM_Corso Diploma accademico 1L;da 25 a 29 anni;215
2019-2020;Area Artistica;Accademia di Belle Arti;;CATANIA;7292;SICILIA;AFAM_Corso Diploma accademico 1L;30 anni e oltre;60
2019-2020;Area Artistica;Accademia di Belle Arti;;CATANIA;7292;SICILIA;AFAM_Corso Diploma accademico 2L;da 20 a 24 anni;227
2019-2020;Area Artistica;Accademia di Belle Arti;;CATANIA;7292;SICILIA;AFAM_Corso Diploma accademico 2L;da 25 a 29 anni;155
2019-2020;Area Artistica;Accademia di Belle Arti;;CATANIA;7292;SICILIA;AFAM_Corso Diploma accademico 2L;30 anni e oltre;54
2019-2020;Area Artistica;Accademia di Belle Arti;;CATANZARO;7212;CALABRIA;AFAM_Corso Diploma accademico 1L;da 18 a 19 anni;53
2019-2020;Area Artistica;Accademia di Belle Arti;;CATANZARO;7212;CALABRIA;AFAM_Corso Diploma accademico 1L;da 20 a 24 anni;131
2019-2020;Area Artistica;Accademia di Belle Arti;;CATANZARO;7212;CALABRIA;AFAM_Corso Diploma accademico 1L;da 25 a 29 anni;25
2019-2020;Area Artistica;Accademia di Belle Arti;;CATANZARO;7212;CALABRIA;AFAM_Corso Diploma accademico 1L;30 anni e oltre;6
2019-2020;Area Artistica;Accademia di Belle Arti;;CATANZARO;7212;CALABRIA;AFAM_Corso Diploma accademico 2L;da 20 a 24 anni;27
2019-2020;Area Artistica;Accademia di Belle Arti;;CATANZARO;7212;CALABRIA;AFAM_Corso Diploma accademico 2L;da 25 a 29 anni;16
2019-2020;Area Artistica;Accademia di Belle Arti;;CATANZARO;7212;CALABRIA;AFAM_Corso Diploma accademico 2L;30 anni e oltre;12
2019-2020;Area Artistica;Accademia di Belle Arti;;FIRENZE;7243;TOSCANA;AFAM_Corso Diploma accademico 1L;fino a 17 anni;1
2019-2020;Area Artistica;Accademia di Belle Arti;;FIRENZE;7243;TOSCANA;AFAM_Corso Diploma accademico 1L;da 18 a 19 anni;251
2019-2020;Area Artistica;Accademia di Belle Arti;;FIRENZE;7243;TOSCANA;AFAM_Corso Diploma accademico 1L;da 20 a 24 anni;719
2019-2020;Area Artistica;Accademia di Belle Arti;;FIRENZE;7243;TOSCANA;AFAM_Corso Diploma accademico 1L;da 25 a 29 anni;113
2019-2020;Area Artistica;Accademia di Belle Arti;;FIRENZE;7243;TOSCANA;AFAM_Corso Diploma accademico 1L;30 anni e oltre;75
2019-2020;Area Artistica;Accademia di Belle Arti;;FIRENZE;7243;TOSCANA;AFAM_Corso Diploma accademico 2L;da 20 a 24 anni;144
2019-2020;Area Artistica;Accademia di Belle Arti;;FIRENZE;7243;TOSCANA;AFAM_Corso Diploma accademico 2L;da 25 a 29 anni;175
2019-2020;Area Artistica;Accademia di Belle Arti;;FIRENZE;7243;TOSCANA;AFAM_Corso Diploma accademico 2L;30 anni e oltre;54
2019-2020;Area Artistica;Accademia di Belle Arti;;FIRENZE;7243;TOSCANA;AFAM_Corso Post-Diploma accademico (Perfez./Master/Specializz.);da 20 a 24 anni;5
2019-2020;Area Artistica;Accademia di Belle Arti;;FIRENZE;7243;TOSCANA;AFAM_Corso Post-Diploma accademico (Perfez./Master/Specializz.);da 25 a 29 anni;10
2019-2020;Area Artistica;Accademia di Belle Arti;;FIRENZE;7243;TOSCANA;AFAM_Corso Post-Diploma accademico (Perfez./Master/Specializz.);30 anni e oltre;4
2019-2020;Area Artistica;Accademia di Belle Arti;;FIRENZE;7243;TOSCANA;AFAM_Corso Vecchio Ordinamento (ad esaurim.);30 anni e oltre;1
2019-2020;Area Artistica;Accademia di Belle Arti;;FOGGIA;7245;PUGLIA;AFAM_Corso Diploma accademico 1L;da 18 a 19 anni;110
2019-2020;Area Artistica;Accademia di Belle Arti;;FOGGIA;7245;PUGLIA;AFAM_Corso Diploma accademico 1L;da 20 a 24 anni;380
2019-2020;Area Artistica;Accademia di Belle Arti;;FOGGIA;7245;PUGLIA;AFAM_Corso Diploma accademico 1L;da 25 a 29 anni;32
2019-2020;Area Artistica;Accademia di Belle Arti;;FOGGIA;7245;PUGLIA;AFAM_Corso Diploma accademico 1L;30 anni e oltre;21
2019-2020;Area Artistica;Accademia di Belle Arti;;FOGGIA;7245;PUGLIA;AFAM_Corso Diploma accademico 2L;da 20 a 24 anni;75
2019-2020;Area Artistica;Accademia di Belle Arti;;FOGGIA;7245;PUGLIA;AFAM_Corso Diploma accademico 2L;da 25 a 29 anni;41
2019-2020;Area Artistica;Accademia di Belle Arti;;FOGGIA;7245;PUGLIA;AFAM_Corso Diploma accademico 2L;30 anni e oltre;14
2019-2020;Area Artistica;Accademia di Belle Arti;;FROSINONE;7310;LAZIO;AFAM_Corso Diploma accademico 1L;da 18 a 19 anni;71
2019-2020;Area Artistica;Accademia di Belle Arti;;FROSINONE;7310;LAZIO;AFAM_Corso Diploma accademico 1L;da 20 a 24 anni;389
2019-2020;Area Artistica;Accademia di Belle Arti;;FROSINONE;7310;LAZIO;AFAM_Corso Diploma accademico 1L;da 25 a 29 anni;78
2019-2020;Area Artistica;Accademia di Belle Arti;;FROSINONE;7310;LAZIO;AFAM_Corso Diploma accademico 1L;30 anni e oltre;41
2019-2020;Area Artistica;Accademia di Belle Arti;;FROSINONE;7310;LAZIO;AFAM_Corso Diploma accademico 2L;da 20 a 24 anni;60
2019-2020;Area Artistica;Accademia di Belle Arti;;FROSINONE;7310;LAZIO;AFAM_Corso Diploma accademico 2L;da 25 a 29 anni;61
2019-2020;Area Artistica;Accademia di Belle Arti;;FROSINONE;7310;LAZIO;AFAM_Corso Diploma accademico 2L;30 anni e oltre;15
2019-2020;Area Artistica;Accademia di Belle Arti;;L'AQUILA;7237;ABRUZZO;AFAM_Corso Diploma accademico 1L;da 18 a 19 anni;36
2019-2020;Area Artistica;Accademia di Belle Arti;;L'AQUILA;7237;ABRUZZO;AFAM_Corso Diploma accademico 1L;da 20 a 24 anni;140
2019-2020;Area Artistica;Accademia di Belle Arti;;L'AQUILA;7237;ABRUZZO;AFAM_Corso Diploma accademico 1L;da 25 a 29 anni;30
2019-2020;Area Artistica;Accademia di Belle Arti;;L'AQUILA;7237;ABRUZZO;AFAM_Corso Diploma accademico 1L;30 anni e oltre;21
2019-2020;Area Artistica;Accademia di Belle Arti;;L'AQUILA;7237;ABRUZZO;AFAM_Corso Diploma accademico 2L;da 20 a 24 anni;58
2019-2020;Area Artistica;Accademia di Belle Arti;;L'AQUILA;7237;ABRUZZO;AFAM_Corso Diploma accademico 2L;da 25 a 29 anni;30
2019-2020;Area Artistica;Accademia di Belle Arti;;L'AQUILA;7237;ABRUZZO;AFAM_Corso Diploma accademico 2L;30 anni e oltre;13
2019-2020;Area Artistica;Accademia di Belle Arti;;L'AQUILA;7237;ABRUZZO;AFAM_Corso Diploma accademico 2L;da 18 a 19 anni;3
2019-2020;Area Artistica;Accademia di Belle Arti;;LECCE;7321;PUGLIA;AFAM_Corso Diploma accademico 1L;da 18 a 19 anni;83
2019-2020;Area Artistica;Accademia di Belle Arti;;LECCE;7321;PUGLIA;AFAM_Corso Diploma accademico 1L;da 20 a 24 anni;335
2019-2020;Area Artistica;Accademia di Belle Arti;;LECCE;7321;PUGLIA;AFAM_Corso Diploma accademico 1L;da 25 a 29 anni;30
2019-2020;Area Artistica;Accademia di Belle Arti;;LECCE;7321;PUGLIA;AFAM_Corso Diploma accademico 1L;30 anni e oltre;26
2019-2020;Area Artistica;Accademia di Belle Arti;;LECCE;7321;PUGLIA;AFAM_Corso Diploma accademico 2L;da 20 a 24 anni;46
2019-2020;Area Artistica;Accademia di Belle Arti;;LECCE;7321;PUGLIA;AFAM_Corso Diploma accademico 2L;da 25 a 29 anni;24
2019-2020;Area Artistica;Accademia di Belle Arti;;LECCE;7321;PUGLIA;AFAM_Corso Diploma accademico 2L;30 anni e oltre;11
2019-2020;Area Artistica;Accademia di Belle Arti;;MACERATA;7297;MARCHE;AFAM_Corso Diploma accademico 1L;da 18 a 19 anni;124
2019-2020;Area Artistica;Accademia di Belle Arti;;MACERATA;7297;MARCHE;AFAM_Corso Diploma accademico 1L;da 20 a 24 anni;591
2019-2020;Area Artistica;Accademia di Belle Arti;;MACERATA;7297;MARCHE;AFAM_Corso Diploma accademico 1L;da 25 a 29 anni;65
2019-2020;Area Artistica;Accademia di Belle Arti;;MACERATA;7297;MARCHE;AFAM_Corso Diploma accademico 1L;30 anni e oltre;28
2019-2020;Area Artistica;Accademia di Belle Arti;;MACERATA;7297;MARCHE;AFAM_Corso Diploma accademico 2L;da 20 a 24 anni;121
2019-2020;Area Artistica;Accademia di Belle Arti;;MACERATA;7297;MARCHE;AFAM_Corso Diploma accademico 2L;da 25 a 29 anni;120
2019-2020;Area Artistica;Accademia di Belle Arti;;MACERATA;7297;MARCHE;AFAM_Corso Diploma accademico 2L;30 anni e oltre;31
2019-2020;Area Artistica;Accademia di Belle Arti;;MACERATA;7297;MARCHE;AFAM_Corso Diploma accademico 2L;da 18 a 19 anni;8
2019-2020;Area Artistica;Accademia di Belle Arti;;MACERATA;7297;MARCHE;AFAM_Corso Post-Diploma accademico (Perfez./Master/Specializz.);da 20 a 24 anni;14
2019-2020;Area Artistica;Accademia di Belle Arti;;MACERATA;7297;MARCHE;AFAM_Corso Post-Diploma accademico (Perfez./Master/Specializz.);da 25 a 29 anni;5
2019-2020;Area Artistica;Accademia di Belle Arti;;MACERATA;7297;MARCHE;AFAM_Corso Post-Diploma accademico (Perfez./Master/Specializz.);30 anni e oltre;14
2019-2020;Area Artistica;Accademia di Belle Arti;BRERA;MILANO;7299;LOMBARDIA;AFAM_Corso Diploma accademico 1L;da 18 a 19 anni;463
2019-2020;Area Artistica;Accademia di Belle Arti;BRERA;MILANO;7299;LOMBARDIA;AFAM_Corso Diploma accademico 1L;da 20 a 24 anni;1980
2019-2020;Area Artistica;Accademia di Belle Arti;BRERA;MILANO;7299;LOMBARDIA;AFAM_Corso Diploma accademico 1L;da 25 a 29 anni;218
2019-2020;Area Artistica;Accademia di Belle Arti;BRERA;MILANO;7299;LOMBARDIA;AFAM_Corso Diploma accademico 1L;30 anni e oltre;107
2019-2020;Area Artistica;Accademia di Belle Arti;BRERA;MILANO;7299;LOMBARDIA;AFAM_Corso Diploma accademico 2L;da 18 a 19 anni;25
2019-2020;Area Artistica;Accademia di Belle Arti;BRERA;MILANO;7299;LOMBARDIA;AFAM_Corso Diploma accademico 2L;da 20 a 24 anni;810
2019-2020;Area Artistica;Accademia di Belle Arti;BRERA;MILANO;7299;LOMBARDIA;AFAM_Corso Diploma accademico 2L;da 25 a 29 anni;633
2019-2020;Area Artistica;Accademia di Belle Arti;BRERA;MILANO;7299;LOMBARDIA;AFAM_Corso Diploma accademico 2L;30 anni e oltre;258
2019-2020;Area Artistica;Accademia di Belle Arti;BRERA;MILANO;7299;LOMBARDIA;AFAM_Corso Vecchio Ordinamento (ad esaurim.);30 anni e oltre;3
2019-2020;Area Artistica;Accademia di Belle Arti;;NAPOLI;7316;CAMPANIA;AFAM_Corso Diploma accademico 1L;da 18 a 19 anni;352
2019-2020;Area Artistica;Accademia di Belle Arti;;NAPOLI;7316;CAMPANIA;AFAM_Corso Diploma accademico 1L;da 20 a 24 anni;1657
2019-2020;Area Artistica;Accademia di Belle Arti;;NAPOLI;7316;CAMPANIA;AFAM_Corso Diploma accademico 1L;da 25 a 29 anni;237
2019-2020;Area Artistica;Accademia di Belle Arti;;NAPOLI;7316;CAMPANIA;AFAM_Corso Diploma accademico 1L;30 anni e oltre;69
2019-2020;Area Artistica;Accademia di Belle Arti;;NAPOLI;7316;CAMPANIA;AFAM_Corso Diploma accademico 2L;da 20 a 24 anni;527
2019-2020;Area Artistica;Accademia di Belle Arti;;NAPOLI;7316;CAMPANIA;AFAM_Corso Diploma accademico 2L;da 25 a 29 anni;389
2019-2020;Area Artistica;Accademia di Belle Arti;;NAPOLI;7316;CAMPANIA;AFAM_Corso Diploma accademico 2L;30 anni e oltre;89
2019-2020;Area Artistica;Accademia di Belle Arti;;NAPOLI;7316;CAMPANIA;AFAM_Corso Diploma accademico 2L;da 18 a 19 anni;12
2019-2020;Area Artistica;Accademia di Belle Arti;;PALERMO;7219;SICILIA;AFAM_Corso Diploma accademico 1L;da 18 a 19 anni;176
2019-2020;Area Artistica;Accademia di Belle Arti;;PALERMO;7219;SICILIA;AFAM_Corso Diploma accademico 1L;da 20 a 24 anni;755
2019-2020;Area Artistica;Accademia di Belle Arti;;PALERMO;7219;SICILIA;AFAM_Corso Diploma accademico 1L;da 25 a 29 anni;156
2019-2020;Area Artistica;Accademia di Belle Arti;;PALERMO;7219;SICILIA;AFAM_Corso Diploma accademico 1L;30 anni e oltre;78
2019-2020;Area Artistica;Accademia di Belle Arti;;PALERMO;7219;SICILIA;AFAM_Corso Diploma accademico 2L;da 20 a 24 anni;130
2019-2020;Area Artistica;Accademia di Belle Arti;;PALERMO;7219;SICILIA;AFAM_Corso Diploma accademico 2L;da 25 a 29 anni;165
2019-2020;Area Artistica;Accademia di Belle Arti;;PALERMO;7219;SICILIA;AFAM_Corso Diploma accademico 2L;30 anni e oltre;68
2019-2020;Area Artistica;Accademia di Belle Arti;;PALERMO;7219;SICILIA;AFAM_Corso Diploma accademico 2L;da 18 a 19 anni;3
2019-2020;Area Artistica;Accademia di Belle Arti;;PALERMO;7219;SICILIA;AFAM_Corso Post-Diploma accademico (Perfez./Master/Specializz.);30 anni e oltre;15
2019-2020;Area Artistica;Accademia di Belle Arti;;REGGIO CALABRIA;7194;CALABRIA;AFAM_Corso Diploma accademico 1L;da 18 a 19 anni;77
2019-2020;Area Artistica;Accademia di Belle Arti;;REGGIO CALABRIA;7194;CALABRIA;AFAM_Corso Diploma accademico 1L;da 20 a 24 anni;221
2019-2020;Area Artistica;Accademia di Belle Arti;;REGGIO CALABRIA;7194;CALABRIA;AFAM_Corso Diploma accademico 1L;da 25 a 29 anni;35
2019-2020;Area Artistica;Accademia di Belle Arti;;REGGIO CALABRIA;7194;CALABRIA;AFAM_Corso Diploma accademico 1L;30 anni e oltre;19
2019-2020;Area Artistica;Accademia di Belle Arti;;REGGIO CALABRIA;7194;CALABRIA;AFAM_Corso Diploma accademico 2L;da 18 a 19 anni;1
2019-2020;Area Artistica;Accademia di Belle Arti;;REGGIO CALABRIA;7194;CALABRIA;AFAM_Corso Diploma accademico 2L;da 20 a 24 anni;40
2019-2020;Area Artistica;Accademia di Belle Arti;;REGGIO CALABRIA;7194;CALABRIA;AFAM_Corso Diploma accademico 2L;da 25 a 29 anni;13
2019-2020;Area Artistica;Accademia di Belle Arti;;REGGIO CALABRIA;7194;CALABRIA;AFAM_Corso Diploma accademico 2L;30 anni e oltre;23
2019-2020;Area Artistica;Accademia di Belle Arti;;ROMA;7295;LAZIO;AFAM_Corso Diploma accademico 1L;fino a 17 anni;2
2019-2020;Area Artistica;Accademia di Belle Arti;;ROMA;7295;LAZIO;AFAM_Corso Diploma accademico 1L;da 18 a 19 anni;421
2019-2020;Area Artistica;Accademia di Belle Arti;;ROMA;7295;LAZIO;AFAM_Corso Diploma accademico 1L;da 20 a 24 anni;1602
2019-2020;Area Artistica;Accademia di Belle Arti;;ROMA;7295;LAZIO;AFAM_Corso Diploma accademico 1L;da 25 a 29 anni;225
2019-2020;Area Artistica;Accademia di Belle Arti;;ROMA;7295;LAZIO;AFAM_Corso Diploma accademico 1L;30 anni e oltre;143
2019-2020;Area Artistica;Accademia di Belle Arti;;ROMA;7295;LAZIO;AFAM_Corso Diploma accademico 2L;da 20 a 24 anni;298
2019-2020;Area Artistica;Accademia di Belle Arti;;ROMA;7295;LAZIO;AFAM_Corso Diploma accademico 2L;da 25 a 29 anni;244
2019-2020;Area Artistica;Accademia di Belle Arti;;ROMA;7295;LAZIO;AFAM_Corso Diploma accademico 2L;30 anni e oltre;85
2019-2020;Area Artistica;Accademia di Belle Arti;Mario Sironi;SASSARI;7240;SARDEGNA;AFAM_Corso Diploma accademico 1L;da 20 a 24 anni;104
2019-2020;Area Artistica;Accademia di Belle Arti;Mario Sironi;SASSARI;7240;SARDEGNA;AFAM_Corso Diploma accademico 1L;da 25 a 29 anni;171
2019-2020;Area Artistica;Accademia di Belle Arti;Mario Sironi;SASSARI;7240;SARDEGNA;AFAM_Corso Diploma accademico 1L;30 anni e oltre;178
2019-2020;Area Artistica;Accademia di Belle Arti;Mario Sironi;SASSARI;7240;SARDEGNA;AFAM_Corso Diploma accademico 2L;da 25 a 29 anni;90
2019-2020;Area Artistica;Accademia di Belle Arti;Mario Sironi;SASSARI;7240;SARDEGNA;AFAM_Corso Diploma accademico 2L;30 anni e oltre;14
2019-2020;Area Artistica;Accademia di Belle Arti;Mario Sironi;SASSARI;7240;SARDEGNA;AFAM_Corso Vecchio Ordinamento (ad esaurim.);30 anni e oltre;5
2019-2020;Area Artistica;Accademia di Belle Arti;ALBERTINA;TORINO;7334;PIEMONTE;AFAM_Corso Diploma accademico 1L;da 18 a 19 anni;111
2019-2020;Area Artistica;Accademia di Belle Arti;ALBERTINA;TORINO;7334;PIEMONTE;AFAM_Corso Diploma accademico 1L;da 20 a 24 anni;520
2019-2020;Area Artistica;Accademia di Belle Arti;ALBERTINA;TORINO;7334;PIEMONTE;AFAM_Corso Diploma accademico 1L;da 25 a 29 anni;61
2019-2020;Area Artistica;Accademia di Belle Arti;ALBERTINA;TORINO;7334;PIEMONTE;AFAM_Corso Diploma accademico 1L;30 anni e oltre;33
2019-2020;Area Artistica;Accademia di Belle Arti;ALBERTINA;TORINO;7334;PIEMONTE;AFAM_Corso Diploma accademico 2L;da 20 a 24 anni;284
2019-2020;Area Artistica;Accademia di Belle Arti;ALBERTINA;TORINO;7334;PIEMONTE;AFAM_Corso Diploma accademico 2L;da 25 a 29 anni;180
2019-2020;Area Artistica;Accademia di Belle Arti;ALBERTINA;TORINO;7334;PIEMONTE;AFAM_Corso Diploma accademico 2L;30 anni e oltre;48
2019-2020;Area Artistica;Accademia di Belle Arti;;URBINO (PU);7318;MARCHE;AFAM_Corso Diploma accademico 1L;da 18 a 19 anni;65
2019-2020;Area Artistica;Accademia di Belle Arti;;URBINO (PU);7318;MARCHE;AFAM_Corso Diploma accademico 1L;da 20 a 24 anni;314
2019-2020;Area Artistica;Accademia di Belle Arti;;URBINO (PU);7318;MARCHE;AFAM_Corso Diploma accademico 1L;da 25 a 29 anni;19
2019-2020;Area Artistica;Accademia di Belle Arti;;URBINO (PU);7318;MARCHE;AFAM_Corso Diploma accademico 1L;30 anni e oltre;11
2019-2020;Area Artistica;Accademia di Belle Arti;;URBINO (PU);7318;MARCHE;AFAM_Corso Diploma accademico 2L;da 20 a 24 anni;64
2019-2020;Area Artistica;Accademia di Belle Arti;;URBINO (PU);7318;MARCHE;AFAM_Corso Diploma accademico 2L;da 25 a 29 anni;30
2019-2020;Area Artistica;Accademia di Belle Arti;;URBINO (PU);7318;MARCHE;AFAM_Corso Diploma accademico 2L;30 anni e oltre;15
2019-2020;Area Artistica;Accademia di Belle Arti;;VENEZIA;7196;VENETO;AFAM_Corso Diploma accademico 1L;da 18 a 19 anni;184
2019-2020;Area Artistica;Accademia di Belle Arti;;VENEZIA;7196;VENETO;AFAM_Corso Diploma accademico 1L;da 20 a 24 anni;647
2019-2020;Area Artistica;Accademia di Belle Arti;;VENEZIA;7196;VENETO;AFAM_Corso Diploma accademico 1L;da 25 a 29 anni;90
2019-2020;Area Artistica;Accademia di Belle Arti;;VENEZIA;7196;VENETO;AFAM_Corso Diploma accademico 1L;30 anni e oltre;57
2019-2020;Area Artistica;Accademia di Belle Arti;;VENEZIA;7196;VENETO;AFAM_Corso Diploma accademico 2L;da 20 a 24 anni;194
2019-2020;Area Artistica;Accademia di Belle Arti;;VENEZIA;7196;VENETO;AFAM_Corso Diploma accademico 2L;da 25 a 29 anni;123
2019-2020;Area Artistica;Accademia di Belle Arti;;VENEZIA;7196;VENETO;AFAM_Corso Diploma accademico 2L;30 anni e oltre;31
2019-2020;Area Artistica;Accademia Legalmente Riconosciuta;Carrara;BERGAMO;7313;LOMBARDIA;AFAM_Corso Diploma accademico 1L;da 18 a 19 anni;26
2019-2020;Area Artistica;Accademia Legalmente Riconosciuta;Carrara;BERGAMO;7313;LOMBARDIA;AFAM_Corso Diploma accademico 1L;da 20 a 24 anni;131
2019-2020;Area Artistica;Accademia Legalmente Riconosciuta;Carrara;BERGAMO;7313;LOMBARDIA;AFAM_Corso Diploma accademico 1L;da 25 a 29 anni;16
2019-2020;Area Artistica;Accademia Legalmente Riconosciuta;Carrara;BERGAMO;7313;LOMBARDIA;AFAM_Corso Diploma accademico 1L;30 anni e oltre;11
2019-2020;Area Artistica;Accademia Legalmente Riconosciuta;Santagiulia;BRESCIA;7228;LOMBARDIA;AFAM_Corso Diploma accademico 1L;da 18 a 19 anni;159
2019-2020;Area Artistica;Accademia Legalmente Riconosciuta;Libera Accademia di Belle Arti - LABA;BRESCIA;7296;LOMBARDIA;AFAM_Corso Diploma accademico 1L;da 18 a 19 anni;171
2019-2020;Area Artistica;Accademia Legalmente Riconosciuta;Libera Accademia di Belle Arti - LABA;BRESCIA;7296;LOMBARDIA;AFAM_Corso Diploma accademico 1L;da 20 a 24 anni;779
2019-2020;Area Artistica;Accademia Legalmente Riconosciuta;Santagiulia;BRESCIA;7228;LOMBARDIA;AFAM_Corso Diploma accademico 1L;da 20 a 24 anni;635
2019-2020;Area Artistica;Accademia Legalmente Riconosciuta;Libera Accademia di Belle Arti - LABA;BRESCIA;7296;LOMBARDIA;AFAM_Corso Diploma accademico 1L;da 25 a 29 anni;64
2019-2020;Area Artistica;Accademia Legalmente Riconosciuta;Santagiulia;BRESCIA;7228;LOMBARDIA;AFAM_Corso Diploma accademico 1L;da 25 a 29 anni;43
2019-2020;Area Artistica;Accademia Legalmente Riconosciuta;Santagiulia;BRESCIA;7228;LOMBARDIA;AFAM_Corso Diploma accademico 1L;30 anni e oltre;9
2019-2020;Area Artistica;Accademia Legalmente Riconosciuta;Libera Accademia di Belle Arti - LABA;BRESCIA;7296;LOMBARDIA;AFAM_Corso Diploma accademico 1L;30 anni e oltre;17
2019-2020;Area Artistica;Accademia Legalmente Riconosciuta;Santagiulia;BRESCIA;7228;LOMBARDIA;AFAM_Corso Diploma accademico 2L;da 20 a 24 anni;88
2019-2020;Area Artistica;Accademia Legalmente Riconosciuta;Libera Accademia di Belle Arti - LABA;BRESCIA;7296;LOMBARDIA;AFAM_Corso Diploma accademico 2L;da 20 a 24 anni;104
2019-2020;Area Artistica;Accademia Legalmente Riconosciuta;Libera Accademia di Belle Arti - LABA;BRESCIA;7296;LOMBARDIA;AFAM_Corso Diploma accademico 2L;da 25 a 29 anni;23
2019-2020;Area Artistica;Accademia Legalmente Riconosciuta;Santagiulia;BRESCIA;7228;LOMBARDIA;AFAM_Corso Diploma accademico 2L;da 25 a 29 anni;26
