ANNO_ACCADEMICO;COD_ATENEO;NOME_ATENEO;CODICE_ESONERO_PARZIALE;DESCRIZIONE_ESONERO_PARZIALE;ESONERO_PARZIALE_LAUREA;ESONERO_PARZIALE_DOTTORATO;ESONERO_PARZIALE_SPECIALIZZAZIONE;ESONERO_PARZIALE_MASTER
2023-2024;01504;"Milano - Università Cattolica del ""Sacro Cuore""";15 ;Altre tipologie non comprese nelle precedenti voci;3547;0;0;0
2023-2024;01504;"Milano - Università Cattolica del ""Sacro Cuore""";19 ;Altre situazioni di disabilità non incluse nelle precedenti (incluso DSA);0;0;0;0
2023-2024;01505;Milano - Libera Università di Lingue e Comunicazione (IULM);09 ;Studenti in situazione di disabilità con invalidità inferiore al 66% (d.lgs. 68/12 art. 9, c. 7a);0;0;0;
2023-2024;01505;Milano - Libera Università di Lingue e Comunicazione (IULM);15 ;Altre tipologie non comprese nelle precedenti voci;315;0;0;11
2023-2024;01505;Milano - Libera Università di Lingue e Comunicazione (IULM);19 ;Altre situazioni di disabilità non incluse nelle precedenti (incluso DSA);0;0;0;0
2023-2024;01508;Milano - Università Vita-Salute San Raffaele;09 ;Studenti in situazione di disabilità con invalidità inferiore al 66% (d.lgs. 68/12 art. 9, c. 7a);N;0;0;
2023-2024;01508;Milano - Università Vita-Salute San Raffaele;15 ;Altre tipologie non comprese nelle precedenti voci;3;0;0;0
2023-2024;01508;Milano - Università Vita-Salute San Raffaele;19 ;Altre situazioni di disabilità non incluse nelle precedenti (incluso DSA);0;0;0;0
2023-2024;01509;Milano-Bicocca - Università degli studi;09 ;Studenti in situazione di disabilità con invalidità inferiore al 66% (d.lgs. 68/12 art. 9, c. 7a);6;0;0;
2023-2024;01509;Milano-Bicocca - Università degli studi;15 ;Altre tipologie non comprese nelle precedenti voci;336;0;0;0
2023-2024;01509;Milano-Bicocca - Università degli studi;19 ;Altre situazioni di disabilità non incluse nelle precedenti (incluso DSA);0;0;0;0
2023-2024;01509;Milano-Bicocca - Università degli studi;24 ;Studenti con requisiti per ulteriore agevolazione tasse (normativa vigente);2223;0;0;
2023-2024;01510;Rozzano (MI) - Humanitas University;09 ;Studenti in situazione di disabilità con invalidità inferiore al 66% (d.lgs. 68/12 art. 9, c. 7a);0;0;0;
2023-2024;01510;Rozzano (MI) - Humanitas University;15 ;Altre tipologie non comprese nelle precedenti voci;57;0;0;3
2023-2024;01510;Rozzano (MI) - Humanitas University;19 ;Altre situazioni di disabilità non incluse nelle precedenti (incluso DSA);0;0;0;0
2023-2024;01601;Bergamo - Università degli studi;09 ;Studenti in situazione di disabilità con invalidità inferiore al 66% (d.lgs. 68/12 art. 9, c. 7a);11;0;0;
2023-2024;01601;Bergamo - Università degli studi;15 ;Altre tipologie non comprese nelle precedenti voci;485;0;0;10
2023-2024;01601;Bergamo - Università degli studi;19 ;Altre situazioni di disabilità non incluse nelle precedenti (incluso DSA);0;0;0;0
2023-2024;01601;Bergamo - Università degli studi;24 ;Studenti con requisiti per ulteriore agevolazione tasse (normativa vigente);1108;0;0;
2023-2024;01701;Brescia - Università degli studi;09 ;Studenti in situazione di disabilità con invalidità inferiore al 66% (d.lgs. 68/12 art. 9, c. 7a);14;0;0;
2023-2024;01701;Brescia - Università degli studi;15 ;Altre tipologie non comprese nelle precedenti voci;1049;0;0;0
2023-2024;01701;Brescia - Università degli studi;19 ;Altre situazioni di disabilità non incluse nelle precedenti (incluso DSA);0;0;0;0
2023-2024;01701;Brescia - Università degli studi;24 ;Studenti con requisiti per ulteriore agevolazione tasse (normativa vigente);3199;0;0;
2023-2024;01801;Pavia - Università degli studi;09 ;Studenti in situazione di disabilità con invalidità inferiore al 66% (d.lgs. 68/12 art. 9, c. 7a);0;0;0;
2023-2024;01801;Pavia - Università degli studi;15 ;Altre tipologie non comprese nelle precedenti voci;171;0;0;72
2023-2024;01801;Pavia - Università degli studi;19 ;Altre situazioni di disabilità non incluse nelle precedenti (incluso DSA);0;0;0;0
2023-2024;01801;Pavia - Università degli studi;24 ;Studenti con requisiti per ulteriore agevolazione tasse (normativa vigente);3609;0;0;
2023-2024;01802;Pavia - Istituto universitario di studi superiori;09 ;Studenti in situazione di disabilità con invalidità inferiore al 66% (d.lgs. 68/12 art. 9, c. 7a);0;0;0;
2023-2024;01802;Pavia - Istituto universitario di studi superiori;15 ;Altre tipologie non comprese nelle precedenti voci;0;0;0;0
2023-2024;01802;Pavia - Istituto universitario di studi superiori;19 ;Altre situazioni di disabilità non incluse nelle precedenti (incluso DSA);0;0;0;0
2023-2024;01802;Pavia - Istituto universitario di studi superiori;24 ;Studenti con requisiti per ulteriore agevolazione tasse (normativa vigente);0;0;0;
2023-2024;02101;Bolzano - Libera Università;09 ;Studenti in situazione di disabilità con invalidità inferiore al 66% (d.lgs. 68/12 art. 9, c. 7a);0;0;0;
2023-2024;02101;Bolzano - Libera Università;15 ;Altre tipologie non comprese nelle precedenti voci;10;0;0;0
2023-2024;02101;Bolzano - Libera Università;19 ;Altre situazioni di disabilità non incluse nelle precedenti (incluso DSA);0;0;0;0
2023-2024;02201;Trento - Università degli studi;09 ;Studenti in situazione di disabilità con invalidità inferiore al 66% (d.lgs. 68/12 art. 9, c. 7a);0;0;0;
2023-2024;02201;Trento - Università degli studi;15 ;Altre tipologie non comprese nelle precedenti voci;51;0;0;5
2023-2024;02201;Trento - Università degli studi;19 ;Altre situazioni di disabilità non incluse nelle precedenti (incluso DSA);0;0;0;0
2023-2024;02201;Trento - Università degli studi;24 ;Studenti con requisiti per ulteriore agevolazione tasse (normativa vigente);477;0;0;
2023-2024;02301;Verona - Università degli studi;09 ;Studenti in situazione di disabilità con invalidità inferiore al 66% (d.lgs. 68/12 art. 9, c. 7a);26;0;N;
2023-2024;02301;Verona - Università degli studi;15 ;Altre tipologie non comprese nelle precedenti voci;5996;196;0;78
2023-2024;02301;Verona - Università degli studi;19 ;Altre situazioni di disabilità non incluse nelle precedenti (incluso DSA);0;0;0;0
2023-2024;02301;Verona - Università degli studi;24 ;Studenti con requisiti per ulteriore agevolazione tasse (normativa vigente);743;0;0;
2023-2024;02701;Venezia - Università Ca' Foscari Venezia;09 ;Studenti in situazione di disabilità con invalidità inferiore al 66% (d.lgs. 68/12 art. 9, c. 7a);9;0;0;
2023-2024;02701;Venezia - Università Ca' Foscari Venezia;15 ;Altre tipologie non comprese nelle precedenti voci;791;0;0;7
2023-2024;02701;Venezia - Università Ca' Foscari Venezia;19 ;Altre situazioni di disabilità non incluse nelle precedenti (incluso DSA);0;0;0;0
2023-2024;02701;Venezia - Università Ca' Foscari Venezia;24 ;Studenti con requisiti per ulteriore agevolazione tasse (normativa vigente);2014;0;0;
2023-2024;02702;Venezia - Università IUAV;09 ;Studenti in situazione di disabilità con invalidità inferiore al 66% (d.lgs. 68/12 art. 9, c. 7a);N;0;0;
2023-2024;02702;Venezia - Università IUAV;15 ;Altre tipologie non comprese nelle precedenti voci;55;0;0;0
2023-2024;02702;Venezia - Università IUAV;19 ;Altre situazioni di disabilità non incluse nelle precedenti (incluso DSA);0;0;0;0
2023-2024;02702;Venezia - Università IUAV;24 ;Studenti con requisiti per ulteriore agevolazione tasse (normativa vigente);624;0;0;
2023-2024;02801;Padova - Università degli studi;09 ;Studenti in situazione di disabilità con invalidità inferiore al 66% (d.lgs. 68/12 art. 9, c. 7a);9;0;0;
2023-2024;02801;Padova - Università degli studi;15 ;Altre tipologie non comprese nelle precedenti voci;3903;0;0;96
2023-2024;02801;Padova - Università degli studi;19 ;Altre situazioni di disabilità non incluse nelle precedenti (incluso DSA);0;0;0;0
2023-2024;02801;Padova - Università degli studi;24 ;Studenti con requisiti per ulteriore agevolazione tasse (normativa vigente);4622;0;0;
2023-2024;03001;Udine - Università degli studi;09 ;Studenti in situazione di disabilità con invalidità inferiore al 66% (d.lgs. 68/12 art. 9, c. 7a);0;0;0;
2023-2024;03001;Udine - Università degli studi;15 ;Altre tipologie non comprese nelle precedenti voci;247;0;0;0
2023-2024;03001;Udine - Università degli studi;19 ;Altre situazioni di disabilità non incluse nelle precedenti (incluso DSA);0;0;0;0
2023-2024;03001;Udine - Università degli studi;24 ;Studenti con requisiti per ulteriore agevolazione tasse (normativa vigente);582;0;0;
2023-2024;03201;Trieste - Università degli studi;09 ;Studenti in situazione di disabilità con invalidità inferiore al 66% (d.lgs. 68/12 art. 9, c. 7a);16;0;N;
2023-2024;03201;Trieste - Università degli studi;15 ;Altre tipologie non comprese nelle precedenti voci;2154;431;43;26
2023-2024;03201;Trieste - Università degli studi;19 ;Altre situazioni di disabilità non incluse nelle precedenti (incluso DSA);325;0;0;0
2023-2024;03201;Trieste - Università degli studi;24 ;Studenti con requisiti per ulteriore agevolazione tasse (normativa vigente);634;0;0;
2023-2024;03202;Trieste - Scuola internazionale superiore di studi avanzati;09 ;Studenti in situazione di disabilità con invalidità inferiore al 66% (d.lgs. 68/12 art. 9, c. 7a);0;0;0;
2023-2024;03202;Trieste - Scuola internazionale superiore di studi avanzati;15 ;Altre tipologie non comprese nelle precedenti voci;0;0;0;0
2023-2024;03202;Trieste - Scuola internazionale superiore di studi avanzati;19 ;Altre situazioni di disabilità non incluse nelle precedenti (incluso DSA);0;0;0;0
2023-2024;03202;Trieste - Scuola internazionale superiore di studi avanzati;24 ;Studenti con requisiti per ulteriore agevolazione tasse (normativa vigente);0;0;0;
2023-2024;03401;Parma - Università degli studi;09 ;Studenti in situazione di disabilità con invalidità inferiore al 66% (d.lgs. 68/12 art. 9, c. 7a);0;0;0;
2023-2024;03401;Parma - Università degli studi;15 ;Altre tipologie non comprese nelle precedenti voci;2306;0;0;82
2023-2024;03401;Parma - Università degli studi;19 ;Altre situazioni di disabilità non incluse nelle precedenti (incluso DSA);0;0;0;0
2023-2024;03401;Parma - Università degli studi;24 ;Studenti con requisiti per ulteriore agevolazione tasse (normativa vigente);638;0;0;
2023-2024;03601;Modena e Reggio Emilia - Università degli studi;09 ;Studenti in situazione di disabilità con invalidità inferiore al 66% (d.lgs. 68/12 art. 9, c. 7a);19;0;0;
2023-2024;03601;Modena e Reggio Emilia - Università degli studi;15 ;Altre tipologie non comprese nelle precedenti voci;352;0;0;5
2023-2024;03601;Modena e Reggio Emilia - Università degli studi;19 ;Altre situazioni di disabilità non incluse nelle precedenti (incluso DSA);0;0;0;0
2023-2024;03601;Modena e Reggio Emilia - Università degli studi;24 ;Studenti con requisiti per ulteriore agevolazione tasse (normativa vigente);700;0;0;
2023-2024;03701;Bologna - Università degli studi;09 ;Studenti in situazione di disabilità con invalidità inferiore al 66% (d.lgs. 68/12 art. 9, c. 7a);0;0;0;
2023-2024;03701;Bologna - Università degli studi;15 ;Altre tipologie non comprese nelle precedenti voci;18;0;8;0
2023-2024;03701;Bologna - Università degli studi;19 ;Altre situazioni di disabilità non incluse nelle precedenti (incluso DSA);0;0;0;0
2023-2024;03701;Bologna - Università degli studi;24 ;Studenti con requisiti per ulteriore agevolazione tasse (normativa vigente);2346;0;0;
2023-2024;03801;Ferrara - Università degli studi;09 ;Studenti in situazione di disabilità con invalidità inferiore al 66% (d.lgs. 68/12 art. 9, c. 7a);35;0;N;
2023-2024;03801;Ferrara - Università degli studi;15 ;Altre tipologie non comprese nelle precedenti voci;12069;102;0;25
2023-2024;03801;Ferrara - Università degli studi;19 ;Altre situazioni di disabilità non incluse nelle precedenti (incluso DSA);0;0;0;0
2023-2024;03801;Ferrara - Università degli studi;24 ;Studenti con requisiti per ulteriore agevolazione tasse (normativa vigente);1169;0;0;
2023-2024;04101;"Urbino - Università degli studi ""Carlo Bo""";09 ;Studenti in situazione di disabilità con invalidità inferiore al 66% (d.lgs. 68/12 art. 9, c. 7a);26;0;0;
2023-2024;04101;"Urbino - Università degli studi ""Carlo Bo""";15 ;Altre tipologie non comprese nelle precedenti voci;68;0;0;150
2023-2024;04101;"Urbino - Università degli studi ""Carlo Bo""";19 ;Altre situazioni di disabilità non incluse nelle precedenti (incluso DSA);0;0;0;0
2023-2024;04101;"Urbino - Università degli studi ""Carlo Bo""";24 ;Studenti con requisiti per ulteriore agevolazione tasse (normativa vigente);998;0;0;
2023-2024;04201;Ancona - Università Politecnica delle Marche;09 ;Studenti in situazione di disabilità con invalidità inferiore al 66% (d.lgs. 68/12 art. 9, c. 7a);24;0;0;
2023-2024;04201;Ancona - Università Politecnica delle Marche;15 ;Altre tipologie non comprese nelle precedenti voci;1468;0;0;0
2023-2024;04201;Ancona - Università Politecnica delle Marche;19 ;Altre situazioni di disabilità non incluse nelle precedenti (incluso DSA);0;0;0;0
2023-2024;04201;Ancona - Università Politecnica delle Marche;24 ;Studenti con requisiti per ulteriore agevolazione tasse (normativa vigente);373;0;0;
2023-2024;04301;Macerata - Università degli studi;09 ;Studenti in situazione di disabilità con invalidità inferiore al 66% (d.lgs. 68/12 art. 9, c. 7a);7;0;0;
2023-2024;04301;Macerata - Università degli studi;15 ;Altre tipologie non comprese nelle precedenti voci;1832;0;16;35
2023-2024;04301;Macerata - Università degli studi;19 ;Altre situazioni di disabilità non incluse nelle precedenti (incluso DSA);0;0;0;0
2023-2024;04301;Macerata - Università degli studi;24 ;Studenti con requisiti per ulteriore agevolazione tasse (normativa vigente);540;0;0;
2023-2024;04302;Camerino - Università degli studi;09 ;Studenti in situazione di disabilità con invalidità inferiore al 66% (d.lgs. 68/12 art. 9, c. 7a);0;0;0;
2023-2024;04302;Camerino - Università degli studi;15 ;Altre tipologie non comprese nelle precedenti voci;377;0;14;174
2023-2024;04302;Camerino - Università degli studi;19 ;Altre situazioni di disabilità non incluse nelle precedenti (incluso DSA);0;0;0;0
2023-2024;04302;Camerino - Università degli studi;24 ;Studenti con requisiti per ulteriore agevolazione tasse (normativa vigente);290;0;0;
2023-2024;04601;Lucca - Scuola IMT Alti Studi;09 ;Studenti in situazione di disabilità con invalidità inferiore al 66% (d.lgs. 68/12 art. 9, c. 7a);0;0;0;
2023-2024;04601;Lucca - Scuola IMT Alti Studi;15 ;Altre tipologie non comprese nelle precedenti voci;0;0;0;0
2023-2024;04601;Lucca - Scuola IMT Alti Studi;19 ;Altre situazioni di disabilità non incluse nelle precedenti (incluso DSA);0;0;0;0
2023-2024;04601;Lucca - Scuola IMT Alti Studi;24 ;Studenti con requisiti per ulteriore agevolazione tasse (normativa vigente);0;0;0;
2023-2024;04801;Firenze - Università degli studi;09 ;Studenti in situazione di disabilità con invalidità inferiore al 66% (d.lgs. 68/12 art. 9, c. 7a);76;0;3;
2023-2024;04801;Firenze - Università degli studi;15 ;Altre tipologie non comprese nelle precedenti voci;121;0;12;0
2023-2024;04801;Firenze - Università degli studi;19 ;Altre situazioni di disabilità non incluse nelle precedenti (incluso DSA);0;0;0;0
2023-2024;04801;Firenze - Università degli studi;24 ;Studenti con requisiti per ulteriore agevolazione tasse (normativa vigente);5237;0;0;
2023-2024;04804;"Firenze - Università telematica ""Italian University line""";09 ;Studenti in situazione di disabilità con invalidità inferiore al 66% (d.lgs. 68/12 art. 9, c. 7a);0;0;0;
2023-2024;04804;"Firenze - Università telematica ""Italian University line""";15 ;Altre tipologie non comprese nelle precedenti voci;1326;0;0;0
2023-2024;04804;"Firenze - Università telematica ""Italian University line""";19 ;Altre situazioni di disabilità non incluse nelle precedenti (incluso DSA);0;0;0;0
2023-2024;05001;Pisa - Università;09 ;Studenti in situazione di disabilità con invalidità inferiore al 66% (d.lgs. 68/12 art. 9, c. 7a);46;0;0;
2023-2024;05001;Pisa - Università;15 ;Altre tipologie non comprese nelle precedenti voci;2520;0;0;330
2023-2024;05001;Pisa - Università;19 ;Altre situazioni di disabilità non incluse nelle precedenti (incluso DSA);274;0;0;0
2023-2024;05001;Pisa - Università;24 ;Studenti con requisiti per ulteriore agevolazione tasse (normativa vigente);9150;0;0;
2023-2024;05002;Pisa - Scuola normale superiore;09 ;Studenti in situazione di disabilità con invalidità inferiore al 66% (d.lgs. 68/12 art. 9, c. 7a);0;0;0;
2023-2024;05002;Pisa - Scuola normale superiore;15 ;Altre tipologie non comprese nelle precedenti voci;0;0;0;0
2023-2024;05002;Pisa - Scuola normale superiore;19 ;Altre situazioni di disabilità non incluse nelle precedenti (incluso DSA);0;0;0;0
2023-2024;05002;Pisa - Scuola normale superiore;24 ;Studenti con requisiti per ulteriore agevolazione tasse (normativa vigente);0;0;0;
2023-2024;05003;"Pisa - Scuola superiore studi universitari e perfezionamento ""S. Anna""";09 ;Studenti in situazione di disabilità con invalidità inferiore al 66% (d.lgs. 68/12 art. 9, c. 7a);0;0;0;
2023-2024;05003;"Pisa - Scuola superiore studi universitari e perfezionamento ""S. Anna""";15 ;Altre tipologie non comprese nelle precedenti voci;0;0;0;3
2023-2024;05003;"Pisa - Scuola superiore studi universitari e perfezionamento ""S. Anna""";19 ;Altre situazioni di disabilità non incluse nelle precedenti (incluso DSA);0;0;0;0
2023-2024;05003;"Pisa - Scuola superiore studi universitari e perfezionamento ""S. Anna""";24 ;Studenti con requisiti per ulteriore agevolazione tasse (normativa vigente);0;0;0;
2023-2024;05201;Siena - Università degli studi;09 ;Studenti in situazione di disabilità con invalidità inferiore al 66% (d.lgs. 68/12 art. 9, c. 7a);0;0;0;
2023-2024;05201;Siena - Università degli studi;15 ;Altre tipologie non comprese nelle precedenti voci;947;0;6;20
2023-2024;05201;Siena - Università degli studi;19 ;Altre situazioni di disabilità non incluse nelle precedenti (incluso DSA);9;0;0;0
2023-2024;05201;Siena - Università degli studi;24 ;Studenti con requisiti per ulteriore agevolazione tasse (normativa vigente);1164;0;0;
2023-2024;05202;Siena - Università per stranieri;09 ;Studenti in situazione di disabilità con invalidità inferiore al 66% (d.lgs. 68/12 art. 9, c. 7a);0;0;0;
2023-2024;05202;Siena - Università per stranieri;15 ;Altre tipologie non comprese nelle precedenti voci;95;2;7;9
2023-2024;05202;Siena - Università per stranieri;19 ;Altre situazioni di disabilità non incluse nelle precedenti (incluso DSA);0;0;0;0
2023-2024;05202;Siena - Università per stranieri;24 ;Studenti con requisiti per ulteriore agevolazione tasse (normativa vigente);298;0;0;
2023-2024;05401;Perugia - Università degli studi;09 ;Studenti in situazione di disabilità con invalidità inferiore al 66% (d.lgs. 68/12 art. 9, c. 7a);0;0;0;
2023-2024;05401;Perugia - Università degli studi;15 ;Altre tipologie non comprese nelle precedenti voci;3205;0;3;19
2023-2024;05401;Perugia - Università degli studi;19 ;Altre situazioni di disabilità non incluse nelle precedenti (incluso DSA);0;0;0;0
2023-2024;05401;Perugia - Università degli studi;24 ;Studenti con requisiti per ulteriore agevolazione tasse (normativa vigente);1449;0;0;
2023-2024;05403;Perugia - Università per stranieri;09 ;Studenti in situazione di disabilità con invalidità inferiore al 66% (d.lgs. 68/12 art. 9, c. 7a);0;0;0;
2023-2024;05403;Perugia - Università per stranieri;15 ;Altre tipologie non comprese nelle precedenti voci;122;0;0;21
2023-2024;05403;Perugia - Università per stranieri;19 ;Altre situazioni di disabilità non incluse nelle precedenti (incluso DSA);0;0;0;0
2023-2024;05403;Perugia - Università per stranieri;24 ;Studenti con requisiti per ulteriore agevolazione tasse (normativa vigente);24;0;0;
2023-2024;05601;Viterbo - Università della Tuscia;09 ;Studenti in situazione di disabilità con invalidità inferiore al 66% (d.lgs. 68/12 art. 9, c. 7a);18;0;0;
2023-2024;05601;Viterbo - Università della Tuscia;15 ;Altre tipologie non comprese nelle precedenti voci;1063;0;0;0
2023-2024;05601;Viterbo - Università della Tuscia;19 ;Altre situazioni di disabilità non incluse nelle precedenti (incluso DSA);0;0;0;0
2023-2024;05601;Viterbo - Università della Tuscia;24 ;Studenti con requisiti per ulteriore agevolazione tasse (normativa vigente);2486;0;0;
2023-2024;05801;"Roma - Università degli studi ""La Sapienza""";09 ;Studenti in situazione di disabilità con invalidità inferiore al 66% (d.lgs. 68/12 art. 9, c. 7a);0;0;0;
2023-2024;05801;"Roma - Università degli studi ""La Sapienza""";15 ;Altre tipologie non comprese nelle precedenti voci;3125;0;0;239
2023-2024;05801;"Roma - Università degli studi ""La Sapienza""";19 ;Altre situazioni di disabilità non incluse nelle precedenti (incluso DSA);0;0;0;0
2023-2024;05801;"Roma - Università degli studi ""La Sapienza""";24 ;Studenti con requisiti per ulteriore agevolazione tasse (normativa vigente);6228;0;0;
2023-2024;05802;"Roma - Università degli studi di ""Tor Vergata""";09 ;Studenti in situazione di disabilità con invalidità inferiore al 66% (d.lgs. 68/12 art. 9, c. 7a);67;0;0;
2023-2024;05802;"Roma - Università degli studi di ""Tor Vergata""";15 ;Altre tipologie non comprese nelle precedenti voci;1362;0;0;21
2023-2024;05802;"Roma - Università degli studi di ""Tor Vergata""";19 ;Altre situazioni di disabilità non incluse nelle precedenti (incluso DSA);N;0;0;0
2023-2024;05802;"Roma - Università degli studi di ""Tor Vergata""";24 ;Studenti con requisiti per ulteriore agevolazione tasse (normativa vigente);1483;0;0;
2023-2024;05803;Roma - Libera Università Maria SS.Assunta (LUMSA);09 ;Studenti in situazione di disabilità con invalidità inferiore al 66% (d.lgs. 68/12 art. 9, c. 7a);0;0;0;
2023-2024;05803;Roma - Libera Università Maria SS.Assunta (LUMSA);15 ;Altre tipologie non comprese nelle precedenti voci;979;1;0;352
