Title: ,The structure of European education systems,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
BEfr,2025/2026,BEfr01.University,BEfr02.Master,Université,Master M2,ISCED 7,3,2,120,na,na
BEfr,2025/2026,BEfr01.University,BEfr03.Master following master,Université,Master de spécialisation ,ISCED 7,5,1,60,na,na
BEfr,2025/2026,BEfr01.University,BEfr04.Teacher training courses,Université,"AESS, CAPAES",ISCED 7,5,2,120,na,na
BEfr,2025/2026,BEfr01.University,BEfr05.Preparatory courses for doctoral studies,Université,Formation doctorale,ISCED 8,5,2,120,na,na
BEfr,2025/2026,BEfr01.University,BEfr06.Doctoral studies,Université,Doctorat,ISCED 8,5,3,180,na,na
BEfr,2025/2026,BEfr02.University college,BEfr07.Academically oriented bachelor,Haute école,Bachelier,ISCED 6,0,3,180,na,na
BEfr,2025/2026,BEfr02.University college,BEfr08.Professionally oriented bachelor,Haute école,Bachelier professionalisant,ISCED 6,0,3,180,na,na
BEfr,2025/2026,BEfr02.University college,BEfr09.Specialisation of bachelor ,Haute école,Spécialisation de l'enseignement supérieur,ISCED 6,3,1,60,na,na
BEfr,2025/2026,BEfr02.University college,BEfr10.Master,Haute école,Master M2,ISCED 7,3,2,120,na,na
BEfr,2025/2026,BEfr02.University college,BEfr11.Teacher training courses,Haute école,"AESS, CAPAES",ISCED 7,5,2,120,na,na
BEfr,2025/2026,BEfr03.Arts College/School of Arts,BEfr12.Academically oriented bachelor,École supérieure des arts,Bachelier,ISCED 6,0,3,180,na,na
BEfr,2025/2026,BEfr03.Arts College/School of Arts,BEfr13.Professionally oriented bachelor,École supérieure des arts,Bachelier professionalisant,ISCED 6,0,3,180,na,na
BEfr,2025/2026,BEfr03.Arts College/School of Arts,BEfr14.Specialisation of bachelor ,École supérieure des arts,Spécialisation de l'enseignement supérieur,ISCED 6,3,1,60,na,na
BEfr,2025/2026,BEfr03.Arts College/School of Arts,BEfr15.Master,École supérieure des arts,Master M2,ISCED 7,3,2,120,na,na
BEfr,2025/2026,BEfr03.Arts College/School of Arts,BEfr16.Teacher training courses,École supérieure des arts,"AESS, CAPAES",ISCED 7,5,2,120,na,na
BEnl,2025/2026,BEnl01.Secondary school,BEnl01.Higher professional education - nursing,Scholen voor secundair onderwijs,Hogerberoepsonderwijs (HBO5 - verpleegkunde),ISCED 5,0,3,180,na,higher education
BEnl,2025/2026,BEnl02.University college,BEnl02.Associate degree programmes of higher education,Hogeschool,Graduaatsopleidingen,ISCED 5,0,2,120,na,higher education
BEnl,2025/2026,BEnl02.University college,BEnl03.Professional Bachelor's programmes,Hogeschool,Professioneel gerichte bachelor,ISCED 6,0,3,180,na,na
BEnl,2025/2026,BEnl02.University college,BEnl04.Advanced Bachelor's programmes,Hogeschool,Bachelor na bachelor,ISCED 6,3,1,60,na,na
BEnl,2025/2026,BEnl03.University,BEnl05.Academic Bachelor's programmes,Universiteit,Academisch gerichte bachelor,ISCED 6,0,3,180,na,na
BEnl,2025/2026,BEnl03.University,BEnl06.Master's programmes,Universiteit,Master,ISCED 7,3,2,120,na,na
BEnl,2025/2026,BEnl03.University,BEnl07.Advanced Master's programmes,Universiteit,Master na master,ISCED 7,4,1,60,na,na
BEnl,2025/2026,BEnl03.University,BEnl08.Doctorate,Universiteit,Doctoraat,ISCED 8,4,4,Not applicable,na,na
BG,2025/2026,BG01.College,BG01.Professional Bachelor's degree,Kolej,Profesionalen bakalavar,ISCED 6,0,3,180,na,na
BG,2025/2026,BG02.University,BG02.Bachelor's degree,Universitet,Bakalavar,ISCED 6,0,4,240,na,na
BG,2025/2026,BG02.University,BG03.Master's degree ,Universitet,Magistar,ISCED 7,0,5,300,na,na
BG,2025/2026,BG02.University,BG04.Master's degree ,Universitet,Magistar sled bakalavar,ISCED 7,4,1,60,na,na
BG,2025/2026,BG02.University,BG05.Doctor's degree (PhD),Universitet,Doktor,ISCED 8,5,3,Not applicable,na,na
BG,2025/2026,BG03.Specialised higher education institution,BG06.Bachelor's degree,Specializirani visshi utchilishta,Bakalavar,ISCED 6,0,4,240,na,na
BG,2025/2026,BG03.Specialised higher education institution,BG07.Master's degree ,Specializirani visshi utchilishta,Magistar,ISCED 7,0,5,300,na,na
BG,2025/2026,BG03.Specialised higher education institution,BG08.Master's degree ,Specializirani visshi utchilishta,Magistar sled bakalavar,ISCED 7,4,1,60,na,na
BG,2025/2026,BG03.Specialised higher education institution,BG09.Doctor's degree (PhD),Specializirani visshi utchilishta,Doktor,ISCED 8,5,3,Not applicable,na,na
CH,2025/2026,CH01.University of applied sciences,CH01.University of Applied Sciences Bachelor,Fachhochschule / Haute école spécialisée / Scuola universitaria professionale,Fachhochschule Bachelor / Haute école spécialisée Bachelor / Scuola universitaria professionale Bachelor,ISCED 6,0,3,180,na,na
CH,2025/2026,CH01.University of applied sciences,CH02.University of Applied Sciences Master,Fachhochschule / Haute école spécialisée / Scuola universitaria professionale,Fachhochschule Master / Haute école spécialisée Master / Scuola universitaria professionale Master,ISCED 7,3,2,120,na,na
CH,2025/2026,CH02.University of teacher education ,CH03.University of Teacher Education Bachelor,Pädagogische Hochschule / Haute école pédagogique / Alta scuola pedagogica,Pädagogische Hochschule Bachelor / Hause école pédagogique Bachelor / Alta scuola pedagogica Bachelor,ISCED 6,0,3,180,na,na
CH,2025/2026,CH02.University of teacher education ,CH04.University of Teacher Education Master,Pädagogische Hochschule / Haute école pédagogique / Alta scuola pedagogica,Pädagogische Hochschule Master / Hause école pédagogique Master / Alta scuola pedagogica Master,ISCED 7,3,2,120,na,na
CH,2025/2026,CH03.University ,CH05.University Bachelor,Universitäre Hochschule  / Haute école universitaire / Università,Universitäre Hochschule Bachelor / Haute école universitaire Bachelor / Università Bachelor,ISCED 6,0,3,180,na,na
CH,2025/2026,CH03.University ,CH06.University Master,Universitäre Hochschule  / Haute école universitaire / Università,Universitäre Hochschule Master / Haute école universitaire Master / Università Master,ISCED 7,3,2,120,na,na
CH,2025/2026,CH03.University ,CH07.University doctorate,Universitäre Hochschule  / Haute école universitaire / Università,Doktorat / Doctorat / Dottorato,ISCED 8,5,3,Not applicable,na,na
CH,2025/2026,CH04.Federal professional examination course providers,"CH10.Federal professional examination / higher vocational education, stage I",Kursanbieter eidgenössische Prüfungen / Prestataires de cours examens fédéraux / Operatori dei corsi esami federali,Berufsprüfung / Examen professionnel / Esame di professione,ISCED 6,2,2,Not applicable,2,na
CH,2025/2026,CH04.Federal professional examination course providers,"CH11.Advanced federal professional examination / higher vocational education, stage II",Kursanbieter eidgenössische Prüfungen / Prestataires de cours examens fédéraux / Operatori dei corsi esami federali,Höhere Fachprüfung / Examen professionnel supérieur / Esame professionale superiore ,ISCED 7,4,2,Not applicable,4,na
CH,2025/2026,CH05.Professional higher education institution,CH12.Professional education institution diploma,Höhere Fachschule / école supérieure / Scuola specializzata superiore,Höhere Fachschule Diplom / école supérieure  diplôme/ Scuola specializzata superiore diploma,ISCED 6,0,2,Not applicable,na,na
CY,2025/2026,CY01.Post-secondary institution of vocational education and training,CY01.Diploma,Dimosia Scholi Anoteris Epaggelmatikis Ekpaidefsis kai Katartisis-MIEEK,Diploma,ISCED 5,0,2,120,na,higher education
CY,2025/2026,CY02.Public school of higher education,CY02.Higher Diploma,Dimosia Scholi Tritovathmias Ekpaidefsis,Anotero Diploma,ISCED 5,0,3,180,na,higher education
CY,2025/2026,CY02.Public school of higher education,CY03.Masters,Dimosia Scholi Tritovathmias Ekpaidefsis,Metaptychiako,ISCED 7,4,1.5,90,na,na
CY,2025/2026,CY03.University,CY04.Undergraduate degree,Panepistimio,Proptychiako,ISCED 6,0,4,240,na,na
CY,2025/2026,CY03.University,CY05.Long First Degree,Panepistimio,Ptychio Megalis Diarkeias,ISCED 7,0,5,300,na,na
CY,2025/2026,CY03.University,CY06.Postgraduate Master's degree,Panepistimio,Metaptychiako,ISCED 7,4,1.5,90,na,na
CY,2025/2026,CY03.University,CY07.Doctorate (PhD),Panepistimio,Didaktoriko,ISCED 8,5,3,180,na,na
CZ,2025/2026,CZ01.Tertiary professional school,CZ01.Tertiary professional school (3 and 3.5 year courses),Vyšší odborná škola ,"Vyšší odborná škola – 3leté a 3,5leté kurzy",ISCED 6,0,3,Not applicable,na,na
CZ,2025/2026,CZ02.Higher education institution,CZ02.Bachelor study (3- and 4-year programmes),Vysoká škola,Bakalářské studium,ISCED 6,0,3,180,na,na
CZ,2025/2026,CZ02.Higher education institution,"CZ03.Master study (long 4-, 5- and 6-year programmes)",Vysoká škola,Magisterské studium,ISCED 7,0,5,300,na,na
CZ,2025/2026,CZ02.Higher education institution,"CZ04.Master study (1-, 2- and 3-year follow-up programmes)",Vysoká škola,Magisterské navazující studium,ISCED 7,3,2,120,na,na
CZ,2025/2026,CZ02.Higher education institution,CZ05.Doctoral study (3- and 4-year programmes),Vysoká škola,Doktorské studium,ISCED 8,5,4,Not applicable,na,na
DE,2025/2026,"DE01.Competent body according to the Vocational Training Act (e.g. chamber of industry and commerce, chamber of handicrafts)",DE01.Certified specialist,Zuständige Stelle nach dem Berufsbildungsgesetz,Geprüfte/r Berufsspezialist/in,ISCED 5,0,2,Not applicable,na,vocational
DE,2025/2026,"DE01.Competent body according to the Vocational Training Act (e.g. chamber of industry and commerce, chamber of handicrafts)","DE02.Industrial master, Business economist, Financial expert, qualifications in economics, IT, domestic science",Zuständige Stelle nach dem Berufsbildungsgesetz,"Industriemeister, Fachwirte, Betriebswirte, kaufmännische Prüfungen an Kammern",ISCED 6,0,3,Not applicable,na,na
DE,2025/2026,"DE01.Competent body according to the Vocational Training Act (e.g. chamber of industry and commerce, chamber of handicrafts)",DE03.Bachelor Professional,Zuständige Stelle nach dem Berufsbildungsgesetz,Bachelor Professional,ISCED 6,0,3,Not applicable,na,na
DE,2025/2026,"DE01.Competent body according to the Vocational Training Act (e.g. chamber of industry and commerce, chamber of handicrafts)",DE04.Master Professional,Zuständige Stelle nach dem Berufsbildungsgesetz,Master Professional,ISCED 7,3,2,Not applicable,na,na
DE,2025/2026,DE02.Chambers,DE05.Master Craftsmen / Bachelor Professional,Kammern,Handwerksmeister / Bachelor Professional,ISCED 6,0,3,Not applicable,na,na
DE,2025/2026,DE03.Trade and technical school,"DE06.Advanced Vocational Qualification / Bachelor Professional in the fields of agriculture, design, technology, business and social work",Fachschule ,"Berufliche Weiterbildung / Bachelor Professional in den Fachbereichen Agrarwirtschaft, Gestaltung, Technik, Wirtschaft und Sozialwesen",ISCED 6,0,3,Not applicable,na,na
DE,2025/2026,DE04.College of public administration,DE07.Bachelor,Verwaltungsfachhochschule,Bachelor,ISCED 6,0,3,180,na,na
DE,2025/2026,DE04.College of public administration,DE08.Master,Verwaltungsfachhochschule,Master,ISCED 7,3,2,120,na,na
DE,2025/2026,DE05.University of applied sciences,DE09.Bachelor,Fachhochschule,Bachelor,ISCED 6,0,3,180,na,na
DE,2025/2026,DE05.University of applied sciences,DE10.Master,Fachhochschule,Master,ISCED 7,3,2,120,na,na
DE,2025/2026,DE06.University,DE11.Bachelor,Universität,Bachelor,ISCED 6,0,3,180,na,na
DE,2025/2026,DE06.University,DE12.State examination,Universität,Staatsexamen,ISCED 7,0,5,300,na,na
DE,2025/2026,DE06.University,DE13.Master,Universität,Master,ISCED 7,3,2,120,na,na
DE,2025/2026,DE06.University,DE14.University studies (postgraduate studies; supplementary studies),Universität,Aufbau-; Ergänzungsstudium,ISCED 7,5,3,Not applicable,na,na
DE,2025/2026,DE06.University,DE15.Doctoral studies,Universität,Promotionsstudium,ISCED 8,5,3,Not applicable,na,na
DK,2025/2026,DK01.Business academy,DK01.Academy profession programme,Erhvervsakademi,Erhvervsakademiuddannelser,ISCED 5,0,2,120,na,higher education
DK,2025/2026,DK01.Business academy,DK02.Professional bachelor programmes (Top-up),Erhvervsakademi,Professionsbachelor (Overbygning),ISCED 6,2,1.5,90,na,na
DK,2025/2026,DK02.University college,DK03.Academy profession programme,Professionshøjskole,Erhvervsakademiuddannelser,ISCED 5,0,2,120,na,higher education
DK,2025/2026,DK02.University college,DK04.Professional bachelor programmes,Professionshøjskole,Professionsbachelor,ISCED 6,0,3.5,210,na,na
DK,2025/2026,DK02.University college,DK05.Professional bachelor programmes (Top-up),Professionshøjskole,Professionsbachelor (Overbygning),ISCED 6,2,1.5,90,na,na
DK,2025/2026,DK03.University,DK06.University bachelor programmes,Universitet,Universitetsbachelor,ISCED 6,0,3,180,na,na
DK,2025/2026,DK03.University,DK07.Masters programmes ,Universitet,Kandidatuddannelser,ISCED 7,3,2,120,na,na
DK,2025/2026,DK03.University,DK08.Doctoral programmes/PhD.,Universitet,Forskeruddannelser/ph.d.,ISCED 8,5,3,180,na,na
EE,2025/2026,EE01.Professional higher education institution,EE01.Professional higher education,Rakenduskõrgkool,Rakenduskõrgharidusõpe,ISCED 6,0,3,180,na,na
EE,2025/2026,EE01.Professional higher education institution,EE02.Master’s studies  ,Rakenduskõrgkool,Magistriõpe ,ISCED 7,3,2,120,na,na
EE,2025/2026,EE02.University,EE03.Bachelor’s studies  ,Ülikool,Bakalaureuseõpe ,ISCED 6,0,3,180,na,na
EE,2025/2026,EE02.University,EE04. Integrated bachelor’s and master’s studies  ,Ülikool,Integreeritud bakalaureuse- ja magistriõpe,ISCED 7,0,5,300,na,na
EE,2025/2026,EE02.University,EE05.Master’s studies  ,Ülikool,Magistriõpe ,ISCED 7,3,2,120,na,na
EE,2025/2026,EE02.University,EE06.Doctoral studies  ,Ülikool,Doktoriõpe ,ISCED 8,5,4,240,na,na
EL,2025/2026,EL01.Higher Schools of Technical & Vocational Training (AEN) / Higher Schools of Touristic Training (ASTE),EL01.Undergraduate programme of vocational dual system studies (3-4 years),Anoteres Scholes Technikis & Epaggelmatikis Ekpaideysis (AEN) / Anoteres Scholes touristikis Ekpaidefsis (ASTE),Proptyhiako programma epaggelmatikon spoudon enalassomenis foitisis,ISCED 5,0,3,180,na,higher education
EL,2025/2026,EL02.University / Technical University,EL02.Undergraduate studies programme,Panepistimio / Polytechnio,Programma proptyhiakon spoudon,ISCED 6,0,4,240,na,na
EL,2025/2026,EL02.University / Technical University,EL03.Undergraduate studies programme - Integrated Master,Panepistimio / Polytechnio,Programma proptyhiakon spoudon / eniaios & adiaspastos titlos spoudon metaptyhiakou epipedou,ISCED 7,0,5,300,na,na
EL,2025/2026,EL02.University / Technical University,EL04.Postgraduate studies programme,Panepistimio / Polytechnio,Programma metaptyhiakon spoudon,ISCED 7,4,1.5,90,na,na
EL,2025/2026,EL02.University / Technical University,EL05.Doctoral programme,Panepistimio / Polytechnio,Programma didaktorikon spoudon,ISCED 8,5.5,3,Not applicable,na,na
ES,2025/2026,ES01.Secondary school / Vocational secondary school / Integrated Vocational Training Centre,ES01.Specific vocational training - advanced level,Instituto de Educación Secundaria (IES) / Instituto de Formación Profesional / Centro Integrado de Formación Profesional,Ciclos formativos de grado superior,ISCED 5,0,2,120,na,higher education
ES,2025/2026,ES02.College and university school ,ES02.Specific degrees of universities (2 and more years),Facultad y Escuela Universitaria,Títulos propios de universidad,ISCED 5,0,2,120,na,higher education
ES,2025/2026,ES02.College and university school ,ES03.Bachelor (4 years),Facultad y Escuela Universitaria,Grado (4 años),ISCED 6,0,4,240,na,na
ES,2025/2026,ES02.College and university school ,ES04.Long Bachelor degree (5 and 6 years),Facultad y Escuela Universitaria,Grado (5 y 6 años),ISCED 7,0,6,360,na,na
ES,2025/2026,ES02.College and university school ,ES05.Short post-graduate degree,Facultad y Escuela Universitaria,Títulos propios universitarios de Experto o Especialista,ISCED 6,4,0.5,30,na,na
ES,2025/2026,ES02.College and university school ,ES06.Specific master degrees of universities ,Facultad y Escuela Universitaria,Máster universitario y curso post-grado,ISCED 7,4,1,60,na,na
ES,2025/2026,ES02.College and university school ,ES07.Master degree,Facultad y Escuela Universitaria,Máster oficial,ISCED 7,4,1,60,na,na
ES,2025/2026,ES02.College and university school ,ES08.Doctorate,Facultad y Escuela Universitaria,Doctorado,ISCED 8,5,4,Not applicable,na,na
FI,2025/2026,FI01.University,FI01.Lower university programmes - Bachelor,Yliopisto / Universitet,"Alemmat korkeakoulututkinnot, kandidaatin tutkinnot",ISCED 6,0,3,180,na,na
FI,2025/2026,FI01.University,FI02.Higher university programmes - Master,Yliopisto / Universitet,"Ylemmät korkeakoulututkinnot, maisterin tutkinnot",ISCED 7,0,5,300,na,na
FI,2025/2026,FI01.University,FI03.Higher university programmes - Master,Yliopisto / Universitet,"Ylemmät korkeakoulututkinnot, maisterin tutkinnot",ISCED 7,3,2,120,na,na
FI,2025/2026,FI01.University,FI04.Doctorate programmes: Doctor/Licentiate,Yliopisto / Universitet,Tohtori/Lisensiaatti,ISCED 8,5,4,240,na,na
FI,2025/2026,FI02.University of applied sciences,FI05.University of applied sciences Bachelor's degree programmes,Ammattikorkeakoulu / Yrkeshögskola,Ammattikorkeakoulututkinnot (AMK),ISCED 6,0,4,240,na,na
FI,2025/2026,FI02.University of applied sciences,FI07.University of applied sciences Master's degree programmes,Ammattikorkeakoulu / Yrkeshögskola,Ylemmät ammattikorkeakoulututkinnot,ISCED 7,5,2,75,2,na
FR,2025/2026,FR01.Higher technical section,FR01.Higher Technician certificate (BTS) ,Section de Techniciens Supérieurs – STS,Brevet de technicien supérieur (BTS),ISCED 5,0,2,120,na,higher education
FR,2025/2026,"FR02.University institute of technology, attached to a university","FR02.University Bachelor of Technology (BUT)
",Institut Universitaire de Technologie (IUT),Bachelor Universitaire de Technologie (BUT),ISCED 6,0,3,180,na,na
FR,2025/2026,FR03.University,FR03.General  Bachelor's degree (LMD curriculum) ,Université,Licence générale (cursus LMD),ISCED 6,0,3,180,na,na
FR,2025/2026,FR03.University,FR04.Programmes in health (medicine),Université,Enseignement en santé (médecine),ISCED 7,0,6,360,na,na
FR,2025/2026,FR03.University,FR05.Vocational Bachelor's degree,Université,Licence professionnelle,ISCED 6,2,1,60,na,na
FR,2025/2026,FR03.University,FR06.Master's degree (LMD curriculum) ,Université,Master (cursus LMD),ISCED 7,3,2,120,na,na
FR,2025/2026,FR03.University,FR07.Doctorate (LMD curriculum) ,Université,Doctorat (cursus LMD),ISCED 8,5,3,180,na,na
FR,2025/2026,FR04.Preparation for Grandes Écoles,FR08.Academic tertiary education preparing students to the competitive entrance examinations for “grandes écoles”,Classes préparatoires aux Grandes Écoles (CPGE),Classes préparatoires aux grandes écoles (CPGE),ISCED 6,0,2,120,na,na
FR,2025/2026,FR05.Grande École,FR09.Tertiary education leading to Master's type engineering degrees,Grande École,Diplôme d'ingénieur,ISCED 7,2,3,180,na,na
FR,2025/2026,FR06.Specialised institution,FR10.Professional tertiary education preparing to health and care qualifications and to some other diplomas ,École spécialisée,Diplômes professionnels paramédicaux et sociaux,ISCED 6,0,3,180,na,na
FR,2025/2026,FR06.Specialised institution,"FR11.Professional tertiary education in applied arts, accounting, and various other programmes",École spécialisée,"Formations d'arts appliqués, de comptabilité, etc",ISCED 6,0,3,180,na,na
FR,2025/2026,FR06.Specialised institution,"FR12.Professional tertiary education in the schools of art, architecture, veterinary school",École spécialisée,"Enseignement en école supérieure d'art, d'architecture ou en école vétérinaire",ISCED 7,0,5,300,na,na
FR,2025/2026,"FR07.Higher national institute for teaching and education (INSPE), attached to a university",FR13.Education for teachers in INSPE (Master MEEF),Institut national supérieur du professorat et de l'éducation (INSPE),Enseignement en éducation,ISCED 7,3,2,120,na,na
HR,2025/2026,HR01.University ,HR01.University undergraduate study programme,Sveučilište,Sveučilišni prijediplomski studij,ISCED 6,0,3,180,na,na
HR,2025/2026,HR01.University,HR02.Professional undergraduate study programme,Sveučilište,Stručni prijediplomski studij,ISCED 6,0,3,180,na,na
HR,2025/2026,HR01.University ,HR03.University integrated undergraduate and graduate study programme,Sveučilište,Sveučilišni integrirani prijediplomski i diplomski studij,ISCED 7,0,5,300,na,na
HR,2025/2026,HR01.University ,HR04.University graduate study programme,Sveučilište,"Sveučilišni diplomski studij
",ISCED 7,3,2,120,na,na
HR,2025/2026,HR01.University,HR05.Professional graduate study programmes,Sveučilište,"Stručni diplomski studij
",ISCED 7,3,2,120,na,na
HR,2025/2026,HR01.University ,HR06.Doctoral study programme,Sveučilište,Doktorski studij,ISCED 8,5,3,Not applicable,na,na
HR,2025/2026,HR02.Polytechnic ,HR07.Professional undergraduate study programme,Veleučilište,Stručni prijediplomski studij,ISCED 6,0,3,180,na,na
HR,2025/2026,HR02.Polytechnic ,HR08.Professional graduate study programmes,Veleučilište,Stručni diplomski studij,ISCED 7,3,2,120,na,na
HU,2025/2026,HU01.University,HU01.Tertiary vocational programme (short cycle),Egyetem,Felsőoktatási szakképzés,ISCED 5,0,2,120,na,higher education
HU,2025/2026,HU01.University,HU02.Bachelor programmes,Egyetem,Alapképzés,ISCED 6,0,3,180,na,na
HU,2025/2026,HU01.University,HU03.Undivided (single-tier) programmes,Egyetem,Osztatlan képzés,ISCED 7,0,5,300,na,na
HU,2025/2026,HU01.University,HU04.Master ,Egyetem,Mesterképzés,ISCED 7,3,2,120,na,na
HU,2025/2026,HU01.University,HU05.Doctoral programme,Egyetem,"Doktori képzés (PhD,  DLA, DBA)",ISCED 8,5,4,240,na,na
HU,2025/2026,HU02.College,HU06.Tertiary vocational programme (short cycle),Főiskola,Felsőoktatási szakképzés,ISCED 5,0,2,120,na,higher education
HU,2025/2026,HU02.College,HU07.Bachelor programmes,Főiskola,Alapképzés,ISCED 6,0,3,180,na,na
HU,2025/2026,HU02.College,HU08.Master ,Főiskola,Mesterképzés,ISCED 7,3,2,120,na,na
IE,2025/2026,IE01.University ,IE01.University Certificate,University ,University Certificate,ISCED 5,0,1,60,na,higher education
IE,2025/2026,IE01.University ,IE02.University Diploma,University ,University Diploma,ISCED 5,0,2,120,na,higher education
IE,2025/2026,IE01.University ,IE03.Honours Bachelor Degree,University ,Honours Bachelor Degree,ISCED 6,0,4,240,na,na
IE,2025/2026,IE01.University ,IE04.Apprenticeship,University ,Apprenticeship,ISCED 7,2,2,120,na,na
IE,2025/2026,IE01.University ,IE05.Higher Diploma / Graduate Diploma (Conversion),University ,Higher Diploma / Graduate Diploma,ISCED 6,3,1,60,na,na
IE,2025/2026,IE01.University ,IE06.Post-Graduate Diploma,University ,Post-Graduate Diploma,ISCED 7,3,1,60,na,na
IE,2025/2026,IE01.University ,IE07.Masters Degree,University ,Masters Degree,ISCED 7,3,2,120,na,na
IE,2025/2026,IE01.University ,IE08.Doctoral Degree,University ,Doctoral Degree,ISCED 8,4,4,Not applicable,na,na
IE,2025/2026,IE02.Institute of technology ,IE09.Higher Certificate,Institute of technology ,Higher Certificate,ISCED 5,0,2,120,na,higher education
IE,2025/2026,IE02.Institute of technology ,IE10.Ordinary Bachelor Degree,Institute of technology ,Ordinary Bachelor Degree,ISCED 6,0,3,180,na,na
