AnnoA;Diploma_Voto;Sesso;Imm
2012/2013;90;M;2099
2012/2013;89;F;1510
2012/2013;101;F;1000
2012/2013;75;F;5525
2012/2013;63;F;2068
2012/2013;97;M;1104
2012/2013;71;M;2054
2012/2013;94;F;2014
2012/2013;76;F;4278
2012/2013;95;F;3002
2012/2013;998;M;2335
2012/2013;96;M;1264
2012/2013;65;M;3661
2012/2013;88;F;3358
2012/2013;84;M;2470
2012/2013;102;M;12
2012/2013;61;F;1170
2012/2013;77;M;2743
2012/2013;69;F;1120
2012/2013;87;F;3071
2012/2013;68;F;4346
2012/2013;95;M;1741
2012/2013;76;M;3297
2012/2013;85;F;4572
2012/2013;81;M;1848
2012/2013;74;M;3261
2012/2013;100;M;6756
2012/2013;66;F;2894
2012/2013;999;F;1287
2012/2013;85;M;2777
2012/2013;73;F;3394
2012/2013;92;F;2027
2012/2013;93;M;987
2012/2013;62;M;3847
2012/2013;88;M;1944
2012/2013;69;M;1090
2012/2013;99;F;377
2012/2013;80;F;8665
2012/2013;74;F;4089
2012/2013;67;F;2684
2012/2013;101;M;722
2012/2013;62;F;3328
2012/2013;63;M;2325
2012/2013;89;M;821
2012/2013;70;M;7340
2012/2013;93;F;1687
2012/2013;81;F;2784
2012/2013;82;M;3541
2012/2013;61;M;1528
2012/2013;75;M;4564
2012/2013;91;F;1402
2012/2013;87;M;1879
2012/2013;998;F;3134
2012/2013;79;F;1407
2012/2013;72;F;5061
2012/2013;68;M;4375
2012/2013;100;F;10989
2012/2013;98;F;2386
2012/2013;99;M;242
2012/2013;98;M;1332
2012/2013;71;F;2341
2012/2013;90;F;3851
2012/2013;67;M;2777
2012/2013;83;F;3599
2012/2013;60;M;8458
2012/2013;102;F;3
2012/2013;86;M;2256
2012/2013;72;M;4615
2012/2013;97;F;1938
2012/2013;91;M;817
2012/2013;79;M;999
2012/2013;64;F;2667
2012/2013;78;F;5424
2012/2013;94;M;1227
2012/2013;60;F;6411
2012/2013;86;F;3628
2012/2013;80;M;6167
2013/2014;82;M;3520
2013/2014;63;M;2355
2013/2014;93;F;1830
2013/2014;94;M;1247
2013/2014;79;F;1182
2013/2014;74;F;3812
2013/2014;68;M;4235
2013/2014;100;F;11821
2013/2014;70;M;7111
2013/2014;69;F;1058
2013/2014;88;F;3553
2013/2014;96;M;1406
2013/2014;62;F;2971
2013/2014;89;M;894
2013/2014;81;F;2826
2013/2014;77;M;2691
2013/2014;101;M;827
2013/2014;60;F;5939
2013/2014;87;M;1856
2013/2014;91;F;1434
2013/2014;99;M;346
2013/2014;65;F;3325
2013/2014;86;F;3761
2013/2014;98;F;2693
2013/2014;67;F;2585
2013/2014;75;M;4484
2013/2014;72;F;4784
2013/2014;73;M;2798
2013/2014;92;M;1261
2013/2014;61;M;1424
2013/2014;84;F;3855
2013/2014;998;F;2735
2013/2014;80;M;6570
2013/2014;999;M;1261
2013/2014;71;F;2148
2013/2014;85;F;4530
2013/2014;79;M;933
2013/2014;60;M;7946
2013/2014;999;F;1412
2013/2014;80;F;8923
2013/2014;81;M;1966
2013/2014;92;F;2078
2013/2014;69;M;1041
2013/2014;64;M;2785
2013/2014;62;M;3738
2013/2014;88;M;2016
2013/2014;73;F;3313
2013/2014;61;F;1095
2013/2014;100;M;7202
2013/2014;99;F;505
2013/2014;66;F;2659
2013/2014;93;M;1139
2013/2014;78;F;5402
2013/2014;74;M;3313
2013/2014;90;F;3997
2013/2014;86;M;2325
2013/2014;998;M;2372
2013/2014;102;F;4
2013/2014;65;M;3705
2013/2014;67;M;2675
2013/2014;97;F;2132
2013/2014;64;F;2432
2013/2014;98;M;1501
2013/2014;91;M;815
2013/2014;76;F;4178
2013/2014;84;M;2588
2013/2014;83;F;3585
2013/2014;72;M;4444
2013/2014;95;F;3046
2013/2014;997;F;1
2013/2014;85;M;2888
2013/2014;89;F;1557
2013/2014;63;F;1960
2013/2014;77;F;3398
2013/2014;78;M;3975
2013/2014;66;M;2896
2013/2014;97;M;1222
2013/2014;70;F;7296
2013/2014;96;F;2374
2013/2014;90;M;2167
2013/2014;95;M;1748
2013/2014;101;F;1198
2013/2014;87;F;3153
2013/2014;75;F;5402
2013/2014;102;M;17
2013/2014;83;M;2404
2013/2014;71;M;2024
2013/2014;94;F;2132
2013/2014;76;M;3258
2013/2014;82;F;5044
2013/2014;68;F;4155
2014/2015;74;F;3981
2014/2015;82;M;3574
2014/2015;94;M;1293
2014/2015;86;F;3795
2014/2015;67;F;2393
2014/2015;89;M;898
2014/2015;63;M;2299
2014/2015;93;F;1658
2014/2015;77;M;2716
2014/2015;69;F;978
2014/2015;95;F;3158
2014/2015;65;M;3728
2014/2015;81;F;2940
2014/2015;88;F;3743
2014/2015;84;M;2655
2014/2015;62;F;2998
2014/2015;76;F;4124
2014/2015;96;M;1435
2014/2015;100;F;11206
2014/2015;70;M;7213
2014/2015;83;M;2399
2014/2015;64;M;2845
2014/2015;82;F;5238
2014/2015;90;M;2404
2014/2015;71;M;1976
2014/2015;101;F;1432
2014/2015;75;F;5537
2014/2015;78;M;4152
2014/2015;65;F;3256
2014/2015;102;M;55
2014/2015;94;F;2139
2014/2015;63;F;2022
2014/2015;84;F;3992
2014/2015;66;M;2883
2014/2015;92;M;1265
2014/2015;85;M;2976
2014/2015;70;F;7263
2014/2015;96;F;2420
2014/2015;998;F;2402
2014/2015;68;M;4456
2014/2015;999;M;1105
2014/2015;72;F;4787
2014/2015;98;F;2534
2014/2015;99;M;249
2014/2015;60;F;5568
2014/2015;101;M;994
2014/2015;91;F;1417
2014/2015;75;M;4700
2014/2015;80;M;6588
2014/2015;87;M;1947
2014/2015;79;F;1389
2014/2015;61;M;1417
2014/2015;97;M;1271
2014/2015;89;F;1522
2014/2015;73;M;2888
2014/2015;77;F;3538
2014/2015;64;F;2301
2014/2015;72;M;4442
2014/2015;83;F;3591
2014/2015;91;M;842
2014/2015;90;F;4292
2014/2015;60;M;7673
2014/2015;102;F;45
2014/2015;98;M;1506
2014/2015;78;F;5527
2014/2015;86;M;2283
2014/2015;73;F;3405
2014/2015;100;M;7080
2014/2015;67;M;2675
2014/2015;79;M;971
2014/2015;999;F;1497
2014/2015;71;F;2186
2014/2015;85;F;4555
2014/2015;81;M;2028
2014/2015;61;F;1087
2014/2015;69;M;1019
2014/2015;87;F;3226
2014/2015;88;M;1993
2014/2015;80;F;8602
2014/2015;76;M;3382
2014/2015;99;F;398
2014/2015;95;M;1793
2014/2015;62;M;3736
2014/2015;97;F;1988
2014/2015;68;F;4134
2014/2015;92;F;1891
2014/2015;74;M;3340
2014/2015;66;F;2550
2014/2015;998;M;2159
2014/2015;93;M;1055
2015/2016;96;F;2500
2015/2016;73;M;2913
2015/2016;65;F;3103
2015/2016;66;M;2826
2015/2016;98;F;2815
2015/2016;68;M;4366
2015/2016;72;F;4817
2015/2016;99;M;268
2015/2016;79;F;1414
2015/2016;61;M;1387
2015/2016;87;M;2055
2015/2016;998;F;2583
2015/2016;80;M;6727
2015/2016;60;F;5498
2015/2016;91;F;1498
2015/2016;84;F;4100
2015/2016;85;M;3231
2015/2016;90;M;2455
2015/2016;70;F;7072
2015/2016;64;M;2696
2015/2016;999;M;997
2015/2016;77;F;3537
2015/2016;92;M;1410
2015/2016;101;F;1603
2015/2016;102;M;9
2015/2016;75;F;5311
2015/2016;63;F;1864
2015/2016;97;M;1284
2015/2016;71;M;2077
2015/2016;83;M;2625
2015/2016;89;F;1574
2015/2016;94;F;2227
2015/2016;82;F;5195
2015/2016;78;M;4414
2015/2016;84;M;2734
2015/2016;76;F;4310
2015/2016;64;F;2130
2015/2016;79;M;1038
2015/2016;83;F;3664
2015/2016;60;M;7770
2015/2016;78;F;5723
2015/2016;90;F;4470
2015/2016;62;M;3759
2015/2016;98;M;1635
2015/2016;72;M;4654
2015/2016;91;M;912
2015/2016;86;M;2404
2015/2016;102;F;19
2015/2016;71;F;2128
2015/2016;95;F;3250
2015/2016;69;F;898
2015/2016;77;M;2736
2015/2016;88;F;3819
2015/2016;70;M;7233
2015/2016;67;F;2472
2015/2016;101;M;1079
2015/2016;65;M;3705
2015/2016;998;M;2329
2015/2016;96;M;1509
2015/2016;94;M;1341
2015/2016;100;F;11913
2015/2016;75;M;4651
2015/2016;74;F;3818
2015/2016;62;F;2843
2015/2016;93;F;1793
2015/2016;89;M;921
2015/2016;82;M;3769
2015/2016;81;F;2835
2015/2016;86;F;3957
2015/2016;63;M;2245
2015/2016;87;F;3223
2015/2016;76;M;3406
2015/2016;61;F;1068
2015/2016;80;F;9110
2015/2016;68;F;3970
2015/2016;88;M;2204
2015/2016;95;M;1950
2015/2016;99;F;475
2015/2016;69;M;978
2015/2016;93;M;1116
2015/2016;92;F;2067
2015/2016;66;F;2488
2015/2016;74;M;3375
2015/2016;999;F;1337
2015/2016;97;F;2219
2015/2016;100;M;7743
2015/2016;73;F;3288
2015/2016;85;F;4745
2015/2016;81;M;1971
2015/2016;67;M;2697
2016/2017;62;F;2876
2016/2017;101;M;1326
2016/2017;89;M;1044
2016/2017;63;M;2416
2016/2017;81;F;2960
2016/2017;100;F;13384
2016/2017;82;M;3972
2016/2017;95;F;3567
2016/2017;77;M;2990
2016/2017;999;F;1427
2016/2017;69;F;995
2016/2017;91;M;926
2016/2017;83;F;3902
2016/2017;84;M;2872
2016/2017;93;F;1829
2016/2017;96;M;1670
2016/2017;88;F;4032
2016/2017;65;M;3831
2016/2017;72;M;4850
2016/2017;102;F;6
2016/2017;76;F;4370
2016/2017;89;F;1707
2016/2017;90;M;2653
2016/2017;101;F;2165
2016/2017;71;M;2114
2016/2017;97;M;1484
2016/2017;70;F;7560
2016/2017;63;F;1870
2016/2017;97;F;2373
2016/2017;67;M;2729
2016/2017;78;M;4501
2016/2017;82;F;5449
2016/2017;60;M;7939
2016/2017;79;M;1109
2016/2017;71;F;2279
2016/2017;100;M;8109
2016/2017;998;M;2707
2016/2017;66;F;2599
2016/2017;74;M;3574
2016/2017;81;M;2124
2016/2017;73;F;3391
2016/2017;74;F;3953
2016/2017;70;M;7859
2016/2017;62;M;3802
2016/2017;92;F;2049
2016/2017;93;M;1242
2016/2017;85;F;4926
2016/2017;90;F;4543
2016/2017;98;M;1642
2016/2017;64;F;2287
2016/2017;86;M;2652
2016/2017;78;F;5828
2016/2017;66;M;2954
2016/2017;92;M;1309
2016/2017;65;F;3069
2016/2017;84;F;4221
2016/2017;85;M;3275
2016/2017;99;M;309
2016/2017;73;M;3086
2016/2017;77;F;3732
2016/2017;67;F;2443
2016/2017;68;M;4526
2016/2017;94;M;1430
2016/2017;997;M;1
2016/2017;86;F;4033
2016/2017;72;F;4943
2016/2017;96;F;2756
2016/2017;91;F;1501
2016/2017;60;F;5168
2016/2017;87;M;2119
2016/2017;87;F;3423
2016/2017;998;F;2942
2016/2017;88;M;2420
2016/2017;102;M;12
2016/2017;75;F;5612
2016/2017;69;M;1025
2016/2017;83;M;2727
2016/2017;61;F;1040
2016/2017;99;F;498
2016/2017;95;M;2118
2016/2017;64;M;2823
2016/2017;76;M;3660
2016/2017;68;F;4177
2016/2017;999;M;1121
2016/2017;94;F;2437
2016/2017;80;F;9458
2016/2017;61;M;1442
2016/2017;98;F;2863
2016/2017;80;M;7067
2016/2017;75;M;4856
2016/2017;79;F;1475
2017/2018;101;M;1463
2017/2018;67;F;2521
2017/2018;100;F;13614
2017/2018;86;F;4142
2017/2018;70;M;7833
2017/2018;75;M;5036
2017/2018;89;M;1048
2017/2018;81;F;2942
2017/2018;74;M;3410
2017/2018;73;F;3404
2017/2018;100;M;8540
2017/2018;81;M;2071
2017/2018;66;F;2544
2017/2018;999;F;1662
2017/2018;62;M;3994
2017/2018;85;F;4962
2017/2018;93;M;1206
2017/2018;92;F;1990
2017/2018;63;M;2434
2017/2018;62;F;3001
2017/2018;95;F;3527
2017/2018;74;F;3933
2017/2018;93;F;1923
2017/2018;82;M;3846
2017/2018;77;M;2874
2017/2018;76;F;4403
2017/2018;84;M;2882
2017/2018;96;M;1729
2017/2018;998;M;2983
2017/2018;69;F;901
2017/2018;88;F;4211
2017/2018;65;M;3873
2017/2018;63;F;1888
2017/2018;78;M;4484
2017/2018;64;M;2960
2017/2018;90;M;2806
2017/2018;75;F;5588
2017/2018;101;F;2272
2017/2018;997;M;1
2017/2018;99;F;489
2017/2018;88;M;2313
2017/2018;79;F;1405
2017/2018;61;F;1072
2017/2018;95;M;2155
2017/2018;69;M;884
2017/2018;87;F;3452
2017/2018;68;F;4143
2017/2018;76;M;3647
2017/2018;80;F;9429
2017/2018;97;M;1425
2017/2018;94;F;2400
2017/2018;89;F;1722
2017/2018;102;M;8
2017/2018;71;M;2064
2017/2018;72;M;4773
2017/2018;78;F;5869
2017/2018;83;M;2668
2017/2018;82;F;5555
2017/2018;70;F;7547
2017/2018;79;M;1069
2017/2018;71;F;2289
2017/2018;83;F;3783
2017/2018;67;M;2702
2017/2018;98;M;1669
2017/2018;64;F;2307
2017/2018;90;F;4792
2017/2018;60;M;8235
2017/2018;102;F;8
2017/2018;86;M;2567
2017/2018;91;M;919
2017/2018;97;F;2417
2017/2018;84;F;4280
2017/2018;92;M;1333
2017/2018;77;F;3752
2017/2018;999;M;1238
2017/2018;96;F;2851
2017/2018;66;M;2950
2017/2018;73;M;3042
2017/2018;65;F;3140
2017/2018;85;M;3286
2017/2018;103;F;1
2017/2018;68;M;4324
2017/2018;94;M;1504
2017/2018;80;M;7119
2017/2018;998;F;3282
2017/2018;72;F;4886
2017/2018;91;F;1584
2017/2018;99;M;343
2017/2018;60;F;5581
2017/2018;87;M;2270
2017/2018;98;F;2968
2017/2018;61;M;1540
2018/2019;74;M;3472
2018/2019;66;F;2412
2018/2019;100;M;9140
2018/2019;999;F;1931
2018/2019;73;F;3338
2018/2019;85;F;5143
2018/2019;93;M;1271
2018/2019;81;M;2248
2018/2019;95;M;2261
2018/2019;68;F;4137
2018/2019;69;M;870
2018/2019;99;F;539
2018/2019;61;F;998
2018/2019;76;M;3680
2018/2019;88;M;2472
2018/2019;87;F;3663
2018/2019;80;F;9673
2018/2019;93;F;1905
2018/2019;70;M;7719
2018/2019;101;M;1615
2018/2019;67;F;2438
2018/2019;82;M;4087
2018/2019;81;F;2961
2018/2019;74;F;4074
2018/2019;89;M;1057
2018/2019;62;F;2714
2018/2019;75;F;5730
2018/2019;63;M;2283
2018/2019;86;F;4159
2018/2019;100;F;15026
2018/2019;90;M;2868
2018/2019;82;F;5783
2018/2019;64;M;2763
2018/2019;70;F;7547
2018/2019;101;F;2638
2018/2019;102;M;21
2018/2019;65;F;3085
2018/2019;92;M;1399
2018/2019;77;F;3694
2018/2019;96;F;3014
2018/2019;73;M;3184
2018/2019;66;M;2898
2018/2019;999;M;1568
2018/2019;92;F;2078
2018/2019;62;M;3754
2018/2019;84;F;4442
2018/2019;83;M;2666
2018/2019;85;M;3425
2018/2019;89;F;1792
2018/2019;97;M;1527
2018/2019;71;M;2015
2018/2019;63;F;1801
2018/2019;997;M;4
2018/2019;94;F;2406
2018/2019;78;M;4636
2018/2019;76;F;4458
2018/2019;88;F;4337
2018/2019;65;M;3794
2018/2019;95;F;3725
2018/2019;998;M;3215
2018/2019;96;M;1777
2018/2019;84;M;2923
2018/2019;102;F;9
2018/2019;86;M;2697
2018/2019;64;F;2215
2018/2019;67;M;2700
2018/2019;90;F;5195
2018/2019;77;M;2979
2018/2019;69;F;887
2018/2019;997;F;5
2018/2019;78;F;6176
2018/2019;79;M;1021
2018/2019;998;F;3512
2018/2019;79;F;1379
2018/2019;87;M;2285
2018/2019;61;M;1390
2018/2019;68;M;4503
2018/2019;60;F;5068
2018/2019;91;F;1607
2018/2019;75;M;5040
2018/2019;94;M;1474
2018/2019;80;M;7351
2018/2019;99;M;346
2018/2019;98;F;3303
2018/2019;72;F;4777
2018/2019;60;M;7718
2018/2019;71;F;2066
2018/2019;98;M;1892
2018/2019;72;M;4742
2018/2019;83;F;3951
2018/2019;91;M;930
2018/2019;97;F;2667
2019/2020;92;F;3745
2019/2020;62;M;4087
2019/2020;80;F;8748
2019/2020;88;M;2203
2019/2020;87;F;2622
2019/2020;83;M;2111
2019/2020;75;F;5989
2019/2020;71;M;2767
2019/2020;102;M;86
2019/2020;90;M;3539
2019/2020;68;F;4764
2019/2020;76;M;3925
2019/2020;997;M;12
2019/2020;95;M;2084
2019/2020;94;F;2937
2019/2020;64;M;3225
2019/2020;100;M;9494
2019/2020;61;F;1224
2019/2020;66;F;3097
2019/2020;69;M;1387
2019/2020;99;F;480
2019/2020;999;F;1887
2019/2020;81;M;2290
2019/2020;73;F;4186
2019/2020;78;F;5885
2019/2020;74;M;3886
2019/2020;60;M;7776
2019/2020;86;M;2028
2019/2020;67;M;3448
2019/2020;97;F;2446
2019/2020;98;M;1498
2019/2020;90;F;5742
2019/2020;71;F;3008
2019/2020;85;F;4171
2019/2020;93;M;1788
2019/2020;79;M;1503
2019/2020;73;M;3653
2019/2020;65;F;3645
2019/2020;72;F;5679
2019/2020;99;M;296
2019/2020;98;F;2969
2019/2020;94;M;1702
2019/2020;67;F;3278
2019/2020;63;M;2817
2019/2020;79;F;2060
2019/2020;81;F;3263
2019/2020;77;M;3307
2019/2020;60;F;5153
2019/2020;68;M;5084
2019/2020;86;F;3350
2019/2020;82;M;3145
2019/2020;74;F;4760
2019/2020;101;M;1924
2019/2020;93;F;2831
2019/2020;75;M;5142
2019/2020;87;M;1679
2019/2020;92;M;2244
2019/2020;91;F;2588
2019/2020;998;F;3879
2019/2020;61;M;1819
2019/2020;89;F;1871
2019/2020;63;F;2210
2019/2020;85;M;2597
2019/2020;84;F;3727
2019/2020;999;M;1528
2019/2020;80;M;6285
2019/2020;77;F;4184
2019/2020;70;F;8485
2019/2020;78;M;4475
2019/2020;97;M;1415
2019/2020;101;F;3039
2019/2020;66;M;3593
2019/2020;82;F;4647
2019/2020;96;F;2742
2019/2020;102;F;32
2019/2020;998;M;3768
2019/2020;65;M;4405
2019/2020;83;F;3396
2019/2020;72;M;5360
2019/2020;76;F;4918
2019/2020;95;F;3476
2019/2020;997;F;9
2019/2020;64;F;2672
2019/2020;91;M;1539
2019/2020;84;M;2342
2019/2020;89;M;1149
2019/2020;62;F;2986
2019/2020;96;M;1630
2019/2020;70;M;8569
2019/2020;88;F;3589
2019/2020;100;F;15008
2019/2020;69;F;1454
2020/2021;101;M;2999
2020/2021;93;F;3729
2020/2021;67;F;2098
2020/2021;89;M;1092
2020/2021;63;M;1965
2020/2021;62;F;2180
2020/2021;75;M;5272
2020/2021;81;F;2417
2020/2021;82;M;4309
2020/2021;74;F;3441
2020/2021;94;M;2272
2020/2021;100;F;26699
2020/2021;79;F;1020
2020/2021;60;F;4184
2020/2021;80;M;7533
2020/2021;998;F;4067
2020/2021;72;F;4664
2020/2021;99;M;622
2020/2021;98;F;5352
2020/2021;68;M;4102
2020/2021;91;F;2173
2020/2021;61;M;1186
2020/2021;87;M;2525
2020/2021;97;F;4779
2020/2021;999;F;2818
2020/2021;62;M;3287
2020/2021;92;F;5024
2020/2021;93;M;2370
2020/2021;78;F;5384
2020/2021;66;F;2063
2020/2021;74;M;3125
2020/2021;100;M;15055
2020/2021;85;F;5307
2020/2021;73;M;2827
2020/2021;73;F;2894
2020/2021;81;M;1804
2020/2021;999;M;2060
2020/2021;96;F;4853
2020/2021;66;M;2612
2020/2021;77;F;3188
2020/2021;85;M;4078
2020/2021;82;F;5434
2020/2021;101;F;5593
2020/2021;63;F;1397
2020/2021;83;M;2284
2020/2021;97;M;2849
2020/2021;70;F;6873
2020/2021;997;M;11
2020/2021;78;M;4666
2020/2021;64;M;2389
2020/2021;70;M;7981
2020/2021;86;F;3788
2020/2021;94;F;3649
2020/2021;71;M;1794
2020/2021;102;M;212
2020/2021;90;M;5109
2020/2021;89;F;1567
2020/2021;75;F;5491
2020/2021;84;F;3734
2020/2021;92;M;2913
2020/2021;65;F;2732
2020/2021;64;F;1757
2020/2021;98;M;2976
2020/2021;72;M;4882
2020/2021;71;F;1691
2020/2021;60;M;6873
2020/2021;83;F;3320
2020/2021;86;M;2653
2020/2021;102;F;92
2020/2021;79;M;772
2020/2021;997;F;9
2020/2021;91;M;1387
2020/2021;77;M;2794
2020/2021;95;F;5874
2020/2021;65;M;3794
2020/2021;90;F;8022
2020/2021;67;M;2513
2020/2021;998;M;3856
2020/2021;96;M;2954
2020/2021;69;F;813
