ANNOSCOLASTICO,ANNOFINANZIARIO,REGIONE,CODICESCUOLA,DATAAPPROVAZIONEDS,DATAAPPROVAZIONEGIUNTA,DATAAPPROVAZIONECONSIGLIO,TIPOLOGIAVOCE,CODICELIVELLO1,CODICELIVELLO2,IMPORTO,IMPORTOACCERTATOIMPEGNATO,IMPORTORISCOSSOPAGATO,IMPORTODARISCUOTEREDAPAGARE
202526,2025,PUGLIA,TAIC84600T,2025-08-29,-,2025-08-29,ENTRATA,11,02,0,0,0,0
202526,2025,SICILIA,AGPM02000Q,2025-08-25,2025-08-26,2025-08-29,ENTRATA,03,05,0,0,0,0
202526,2025,CAMPANIA,NAIC8D900T,2025-08-28,2025-08-28,2025-08-28,ENTRATA,05,04,0,0,0,0
202526,2025,PUGLIA,TAIC84600T,2025-08-29,-,2025-08-29,ENTRATA,05,01,0,0,0,0
202526,2025,PUGLIA,LEEE07100P,2025-08-25,2025-08-29,2025-08-29,ENTRATA,12,02,0,0,0,0
202526,2025,PUGLIA,TAIC84600T,2025-08-29,-,2025-08-29,ENTRATA,10,02,0,0,0,0
202526,2025,PUGLIA,TAIC84600T,2025-08-29,-,2025-08-29,ENTRATA,06,06,0,0,0,0
202526,2025,PUGLIA,LERH03000N,2025-08-26,2025-08-26,2025-08-29,ENTRATA,09,03,0,0,0,0
202526,2025,PUGLIA,LERH03000N,2025-08-26,2025-08-26,2025-08-29,ENTRATA,05,04,0,0,0,0
202526,2025,PUGLIA,LEEE07100P,2025-08-25,2025-08-29,2025-08-29,ENTRATA,06,05,0,0,0,0
202526,2025,LIGURIA,GEIC81900P,2025-08-22,2025-09-29,2025-09-29,ENTRATA,03,06,0,0,0,0
202526,2025,LIGURIA,GEIC82100P,2025-08-29,-,2025-08-29,ENTRATA,03,05,0,0,0,0
202526,2025,LIGURIA,GEIC82100P,2025-08-29,-,2025-08-29,ENTRATA,02,03,28744,28744,22995.2,5748.8
202526,2025,LIGURIA,GEIC82100P,2025-08-29,-,2025-08-29,ENTRATA,02,02,0,0,0,0
202526,2025,PUGLIA,LEIS02600V,2025-08-26,2025-08-26,2025-08-28,ENTRATA,07,05,0,0,0,0
202526,2025,PUGLIA,FGIC820009,2025-08-31,2025-08-31,2025-09-23,SPESA,P,P04,0,0,0,0
202526,2025,PUGLIA,TAIC84600T,2025-08-29,-,2025-08-29,ENTRATA,07,04,0,0,0,0
202526,2025,PUGLIA,LEPC120003,2025-08-25,2025-08-27,2025-08-27,ENTRATA,06,09,0,0,0,0
202526,2025,LIGURIA,GEIC81900P,2025-08-22,2025-09-29,2025-09-29,ENTRATA,06,11,0,0,0,0
202526,2025,PUGLIA,LEEE07100P,2025-08-25,2025-08-29,2025-08-29,ENTRATA,06,03,0,0,0,0
202526,2025,PUGLIA,FGIC820009,2025-08-31,2025-08-31,2025-09-23,ENTRATA,09,21,0,0,0,0
202526,2025,PUGLIA,FGIC820009,2025-08-31,2025-08-31,2025-09-23,ENTRATA,09,16,0,0,0,0
202526,2025,CAMPANIA,NAIC8D900T,2025-08-28,2025-08-28,2025-08-28,SPESA,A,A05,35285,35285,35285,0
202526,2025,LAZIO,FRIS028005,2025-08-31,2025-08-31,2025-10-08,ENTRATA,07,06,0,0,0,0
202526,2025,CAMPANIA,NAIC8D900T,2025-08-28,2025-08-28,2025-08-28,ENTRATA,09,16,0,0,0,0
202526,2025,PUGLIA,FGIC820009,2025-08-31,2025-08-31,2025-09-23,ENTRATA,02,03,0,0,0,0
202526,2025,LAZIO,FRIS028005,2025-08-31,2025-08-31,2025-10-08,ENTRATA,06,07,0,0,0,0
202526,2025,SICILIA,AGPM02000Q,2025-08-25,2025-08-26,2025-08-29,ENTRATA,09,22,0,0,0,0
202526,2025,PUGLIA,LERH03000N,2025-08-26,2025-08-26,2025-08-29,ENTRATA,10,03,0,0,0,0
202526,2025,LIGURIA,GEIC81900P,2025-08-22,2025-09-29,2025-09-29,SPESA,G,G01,0,0,0,0
202526,2025,PUGLIA,LEEE07100P,2025-08-25,2025-08-29,2025-08-29,ENTRATA,09,02,0,0,0,0
202526,2025,LIGURIA,GEIC82100P,2025-08-29,-,2025-08-29,ENTRATA,09,01,0,0,0,0
202526,2025,PUGLIA,LEIS02600V,2025-08-26,2025-08-26,2025-08-28,SPESA,P,P03,3583.15,0,0,0
202526,2025,LIGURIA,GEIC81900P,2025-08-22,2025-09-29,2025-09-29,ENTRATA,12,02,0.04,0.04,0.04,0
202526,2025,PUGLIA,LEPC120003,2025-08-25,2025-08-27,2025-08-27,ENTRATA,09,08,0,0,0,0
202526,2025,PUGLIA,TAIC84600T,2025-08-29,-,2025-08-29,ENTRATA,03,03,0,0,0,0
202526,2025,LAZIO,FRIS028005,2025-08-31,2025-08-31,2025-10-08,SPESA,R,98,300,0,0,0
202526,2025,LAZIO,FRIS028005,2025-08-31,2025-08-31,2025-10-08,ENTRATA,06,11,2060,2060,2060,0
202526,2025,PUGLIA,TAIC84600T,2025-08-29,-,2025-08-29,ENTRATA,09,14,0,0,0,0
202526,2025,PUGLIA,LEPC120003,2025-08-25,2025-08-27,2025-08-27,ENTRATA,05,05,6000,6000,6000,0
202526,2025,PUGLIA,TAIC84600T,2025-08-29,-,2025-08-29,ENTRATA,09,02,0,0,0,0
202526,2025,LIGURIA,GEIC82100P,2025-08-29,-,2025-08-29,ENTRATA,13,02,0,0,0,0
202526,2025,LIGURIA,GEIC81900P,2025-08-22,2025-09-29,2025-09-29,ENTRATA,09,09,0,0,0,0
202526,2025,PUGLIA,FGIC820009,2025-08-31,2025-08-31,2025-09-23,ENTRATA,04,04,0,0,0,0
202526,2025,PUGLIA,FGIC820009,2025-08-31,2025-08-31,2025-09-23,SPESA,G,G02,0,0,0,0
202526,2025,LAZIO,FRIS028005,2025-08-31,2025-08-31,2025-10-08,ENTRATA,10,02,0,0,0,0
202526,2025,PUGLIA,FGIC820009,2025-08-31,2025-08-31,2025-09-23,ENTRATA,04,03,0,0,0,0
202526,2025,PUGLIA,TAIC84600T,2025-08-29,-,2025-08-29,SPESA,A,A04,0,0,0,0
202526,2025,CAMPANIA,NAIC8D900T,2025-08-28,2025-08-28,2025-08-28,ENTRATA,09,06,0,0,0,0
202526,2025,SICILIA,AGPM02000Q,2025-08-25,2025-08-26,2025-08-29,SPESA,G,G02,0,0,0,0
202526,2025,CAMPANIA,NAIC8D900T,2025-08-28,2025-08-28,2025-08-28,ENTRATA,03,04,0,0,0,0
202526,2025,PUGLIA,LEIS02600V,2025-08-26,2025-08-26,2025-08-28,ENTRATA,03,03,0,0,0,0
202526,2025,SICILIA,AGPM02000Q,2025-08-25,2025-08-26,2025-08-29,ENTRATA,08,03,0,0,0,0
202526,2025,SICILIA,AGPM02000Q,2025-08-25,2025-08-26,2025-08-29,ENTRATA,07,05,0,0,0,0
202526,2025,SICILIA,AGPM02000Q,2025-08-25,2025-08-26,2025-08-29,ENTRATA,03,03,0,0,0,0
202526,2025,PUGLIA,FGIC820009,2025-08-31,2025-08-31,2025-09-23,ENTRATA,09,11,0,0,0,0
202526,2025,PUGLIA,LEPC120003,2025-08-25,2025-08-27,2025-08-27,SPESA,P,P05,0,0,0,0
202526,2025,SICILIA,AGPM02000Q,2025-08-25,2025-08-26,2025-08-29,ENTRATA,07,04,0,0,0,0
202526,2025,PUGLIA,FGIC820009,2025-08-31,2025-08-31,2025-09-23,ENTRATA,01,02,135351.77,0,0,0
202526,2025,LIGURIA,GEIC82100P,2025-08-29,-,2025-08-29,ENTRATA,07,04,0,0,0,0
202526,2025,PUGLIA,LERH03000N,2025-08-26,2025-08-26,2025-08-29,ENTRATA,11,01,0,0,0,0
202526,2025,PUGLIA,LERH03000N,2025-08-26,2025-08-26,2025-08-29,ENTRATA,06,10,0,0,0,0
202526,2025,LIGURIA,GEIC81900P,2025-08-22,2025-09-29,2025-09-29,ENTRATA,06,01,652.5,652.5,652.5,0
202526,2025,PUGLIA,TAIC84600T,2025-08-29,-,2025-08-29,ENTRATA,06,10,0,0,0,0
202526,2025,LIGURIA,GEIC81900P,2025-08-22,2025-09-29,2025-09-29,ENTRATA,08,06,0,0,0,0
202526,2025,PUGLIA,LEEE07100P,2025-08-25,2025-08-29,2025-08-29,ENTRATA,07,05,0,0,0,0
202526,2025,PUGLIA,LEIS02600V,2025-08-26,2025-08-26,2025-08-28,ENTRATA,10,03,0,0,0,0
202526,2025,PUGLIA,LEPC120003,2025-08-25,2025-08-27,2025-08-27,ENTRATA,09,17,370,370,370,0
202526,2025,PUGLIA,LEPC120003,2025-08-25,2025-08-27,2025-08-27,ENTRATA,08,01,0,0,0,0
202526,2025,PUGLIA,TAIC84600T,2025-08-29,-,2025-08-29,ENTRATA,08,01,0,0,0,0
202526,2025,PUGLIA,LEPC120003,2025-08-25,2025-08-27,2025-08-27,ENTRATA,08,04,0,0,0,0
202526,2025,PUGLIA,LEEE07100P,2025-08-25,2025-08-29,2025-08-29,ENTRATA,02,01,48480,48480,14544,33936
202526,2025,LIGURIA,GEIC82100P,2025-08-29,-,2025-08-29,SPESA,P,P03,36263.2,7013,7013,0
202526,2025,CAMPANIA,NAIC8D900T,2025-08-28,2025-08-28,2025-08-28,ENTRATA,13,02,0,0,0,0
202526,2025,SICILIA,AGPM02000Q,2025-08-25,2025-08-26,2025-08-29,ENTRATA,13,01,0,0,0,0
202526,2025,LAZIO,FRIS028005,2025-08-31,2025-08-31,2025-10-08,ENTRATA,10,04,0,0,0,0
202526,2025,SICILIA,AGPM02000Q,2025-08-25,2025-08-26,2025-08-29,ENTRATA,09,20,0,0,0,0
202526,2025,LIGURIA,GEIC81900P,2025-08-22,2025-09-29,2025-09-29,ENTRATA,05,02,0,0,0,0
202526,2025,LIGURIA,GEIC81900P,2025-08-22,2025-09-29,2025-09-29,ENTRATA,04,01,0,0,0,0
202526,2025,PUGLIA,LEEE07100P,2025-08-25,2025-08-29,2025-08-29,ENTRATA,03,04,0,0,0,0
202526,2025,PUGLIA,LERH03000N,2025-08-26,2025-08-26,2025-08-29,SPESA,P,P05,600,550,550,0
202526,2025,PUGLIA,FGIC820009,2025-08-31,2025-08-31,2025-09-23,ENTRATA,09,01,0,0,0,0
202526,2025,PUGLIA,LEPC120003,2025-08-25,2025-08-27,2025-08-27,SPESA,A,A05,215656.86,206989.73,206989.73,0
202526,2025,CAMPANIA,NAIC8D900T,2025-08-28,2025-08-28,2025-08-28,ENTRATA,06,01,12572,12572,12572,0
202526,2025,PUGLIA,LEEE07100P,2025-08-25,2025-08-29,2025-08-29,ENTRATA,13,02,0,0,0,0
202526,2025,PUGLIA,LERH03000N,2025-08-26,2025-08-26,2025-08-29,ENTRATA,09,17,0,0,0,0
202526,2025,PUGLIA,TAIC84600T,2025-08-29,-,2025-08-29,ENTRATA,11,04,0,0,0,0
202526,2025,PUGLIA,LEIS02600V,2025-08-26,2025-08-26,2025-08-28,ENTRATA,02,01,0,0,0,0
202526,2025,SICILIA,AGPM02000Q,2025-08-25,2025-08-26,2025-08-29,ENTRATA,06,12,0,0,0,0
202526,2025,LIGURIA,GEIC82100P,2025-08-29,-,2025-08-29,ENTRATA,08,04,0,0,0,0
202526,2025,PUGLIA,LEIS02600V,2025-08-26,2025-08-26,2025-08-28,SPESA,P,P01,0,0,0,0
202526,2025,PUGLIA,TAIC84600T,2025-08-29,-,2025-08-29,SPESA,P,P05,0,0,0,0
202526,2025,PUGLIA,LEEE07100P,2025-08-25,2025-08-29,2025-08-29,ENTRATA,09,13,0,0,0,0
202526,2025,PUGLIA,LERH03000N,2025-08-26,2025-08-26,2025-08-29,ENTRATA,02,03,71143,71143,42685.8,28457.2
202526,2025,PUGLIA,LEEE07100P,2025-08-25,2025-08-29,2025-08-29,ENTRATA,04,01,0,0,0,0
202526,2025,PUGLIA,LEIS02600V,2025-08-26,2025-08-26,2025-08-28,ENTRATA,07,07,0,0,0,0
202526,2025,PUGLIA,LEEE07100P,2025-08-25,2025-08-29,2025-08-29,ENTRATA,05,04,963,963,963,0
202526,2025,PUGLIA,LEPC120003,2025-08-25,2025-08-27,2025-08-27,ENTRATA,06,10,0,0,0,0
202526,2025,LIGURIA,GEIC82100P,2025-08-29,-,2025-08-29,SPESA,A,A03,187506.23,82336.19,70764.19,11572
202526,2025,CAMPANIA,NAIC8D900T,2025-08-28,2025-08-28,2025-08-28,ENTRATA,11,04,0,0,0,0
202526,2025,LAZIO,FRIS028005,2025-08-31,2025-08-31,2025-10-08,ENTRATA,08,01,0,0,0,0
202526,2025,SICILIA,AGPM02000Q,2025-08-25,2025-08-26,2025-08-29,ENTRATA,11,04,5145.48,5145.48,5145.48,0
202526,2025,CAMPANIA,NAIC8D900T,2025-08-28,2025-08-28,2025-08-28,ENTRATA,09,22,0,0,0,0
202526,2025,SICILIA,AGPM02000Q,2025-08-25,2025-08-26,2025-08-29,ENTRATA,10,02,0,0,0,0
202526,2025,PUGLIA,LEEE07100P,2025-08-25,2025-08-29,2025-08-29,SPESA,A,A06,0,0,0,0
202526,2025,SICILIA,AGPM02000Q,2025-08-25,2025-08-26,2025-08-29,ENTRATA,06,02,0,0,0,0
202526,2025,CAMPANIA,NAIC8D900T,2025-08-28,2025-08-28,2025-08-28,ENTRATA,06,08,0,0,0,0
202526,2025,LIGURIA,GEIC82100P,2025-08-29,-,2025-08-29,ENTRATA,07,01,0,0,0,0
202526,2025,PUGLIA,TAIC84600T,2025-08-29,-,2025-08-29,ENTRATA,09,22,0,0,0,0
202526,2025,PUGLIA,LEPC120003,2025-08-25,2025-08-27,2025-08-27,ENTRATA,11,02,0,0,0,0
202526,2025,PUGLIA,LERH03000N,2025-08-26,2025-08-26,2025-08-29,ENTRATA,05,02,0,0,0,0
202526,2025,PUGLIA,LERH03000N,2025-08-26,2025-08-26,2025-08-29,ENTRATA,09,12,0,0,0,0
202526,2025,PUGLIA,LERH03000N,2025-08-26,2025-08-26,2025-08-29,ENTRATA,06,07,60,60,60,0
202526,2025,LIGURIA,GEIC81900P,2025-08-22,2025-09-29,2025-09-29,ENTRATA,09,04,0,0,0,0
202526,2025,PUGLIA,LERH03000N,2025-08-26,2025-08-26,2025-08-29,ENTRATA,05,01,0,0,0,0
202526,2025,LAZIO,FRIS028005,2025-08-31,2025-08-31,2025-10-08,SPESA,A,A02,27355.99,18964.23,18964.23,0
202526,2025,LIGURIA,GEIC81900P,2025-08-22,2025-09-29,2025-09-29,ENTRATA,03,02,0,0,0,0
202526,2025,PUGLIA,FGIC820009,2025-08-31,2025-08-31,2025-09-23,ENTRATA,05,02,0,0,0,0
202526,2025,LIGURIA,GEIC82100P,2025-08-29,-,2025-08-29,ENTRATA,04,03,0,0,0,0
202526,2025,LAZIO,FRIS028005,2025-08-31,2025-08-31,2025-10-08,ENTRATA,06,12,0,0,0,0
202526,2025,LIGURIA,GEIC82100P,2025-08-29,-,2025-08-29,ENTRATA,01,01,28983.69,0,0,0
202526,2025,PUGLIA,LEPC120003,2025-08-25,2025-08-27,2025-08-27,ENTRATA,07,02,0,0,0,0
202526,2025,PUGLIA,LEIS02600V,2025-08-26,2025-08-26,2025-08-28,SPESA,A,A01,40473.08,3705.13,3705.13,0
202526,2025,PUGLIA,LERH03000N,2025-08-26,2025-08-26,2025-08-29,ENTRATA,07,05,0,0,0,0
202526,2025,SICILIA,AGPM02000Q,2025-08-25,2025-08-26,2025-08-29,ENTRATA,12,01,0,0,0,0
202526,2025,CAMPANIA,NAIC8D900T,2025-08-28,2025-08-28,2025-08-28,SPESA,G,G04,0,0,0,0
202526,2025,PUGLIA,FGIC820009,2025-08-31,2025-08-31,2025-09-23,ENTRATA,10,03,0,0,0,0
202526,2025,LAZIO,FRIS028005,2025-08-31,2025-08-31,2025-10-08,ENTRATA,09,05,0,0,0,0
202526,2025,PUGLIA,LEIS02600V,2025-08-26,2025-08-26,2025-08-28,ENTRATA,06,09,0,0,0,0
202526,2025,SICILIA,AGPM02000Q,2025-08-25,2025-08-26,2025-08-29,ENTRATA,08,04,0,0,0,0
202526,2025,CAMPANIA,NAIC8D900T,2025-08-28,2025-08-28,2025-08-28,ENTRATA,07,05,0,0,0,0
202526,2025,CAMPANIA,NAIC8D900T,2025-08-28,2025-08-28,2025-08-28,ENTRATA,06,12,0,0,0,0
202526,2025,PUGLIA,LEEE07100P,2025-08-25,2025-08-29,2025-08-29,SPESA,G,G04,0,0,0,0
202526,2025,LAZIO,FRIS028005,2025-08-31,2025-08-31,2025-10-08,ENTRATA,02,02,0,0,0,0
202526,2025,PUGLIA,TAIC84600T,2025-08-29,-,2025-08-29,ENTRATA,08,06,0,0,0,0
202526,2025,PUGLIA,LERH03000N,2025-08-26,2025-08-26,2025-08-29,ENTRATA,09,22,780,780,780,0
202526,2025,LIGURIA,GEIC81900P,2025-08-22,2025-09-29,2025-09-29,SPESA,A,A05,84085.31,81583.2,81583.2,0
202526,2025,PUGLIA,LEEE07100P,2025-08-25,2025-08-29,2025-08-29,ENTRATA,08,05,0,0,0,0
202526,2025,PUGLIA,LEPC120003,2025-08-25,2025-08-27,2025-08-27,ENTRATA,02,02,0,0,0,0
202526,2025,PUGLIA,LEIS02600V,2025-08-26,2025-08-26,2025-08-28,ENTRATA,11,01,0,0,0,0
202526,2025,PUGLIA,TAIC84600T,2025-08-29,-,2025-08-29,ENTRATA,09,12,0,0,0,0
202526,2025,PUGLIA,TAIC84600T,2025-08-29,-,2025-08-29,ENTRATA,04,01,0,0,0,0
202526,2025,PUGLIA,LEPC120003,2025-08-25,2025-08-27,2025-08-27,ENTRATA,03,06,51370.8,51370.8,1194.3,50176.5
202526,2025,PUGLIA,TAIC84600T,2025-08-29,-,2025-08-29,ENTRATA,07,03,0,0,0,0
202526,2025,PUGLIA,FGIC820009,2025-08-31,2025-08-31,2025-09-23,SPESA,P,P03,0,0,0,0
202526,2025,PUGLIA,LEIS02600V,2025-08-26,2025-08-26,2025-08-28,ENTRATA,06,05,1800,1310,1310,0
202526,2025,PUGLIA,FGIC820009,2025-08-31,2025-08-31,2025-09-23,ENTRATA,06,03,0,0,0,0
202526,2025,LIGURIA,GEIC81900P,2025-08-22,2025-09-29,2025-09-29,ENTRATA,05,05,0,0,0,0
202526,2025,CAMPANIA,NAIC8D900T,2025-08-28,2025-08-28,2025-08-28,SPESA,R,98,1000,0,0,0
202526,2025,PUGLIA,FGIC820009,2025-08-31,2025-08-31,2025-09-23,ENTRATA,09,15,0,0,0,0
202526,2025,LAZIO,FRIS028005,2025-08-31,2025-08-31,2025-10-08,ENTRATA,11,02,0,0,0,0
202526,2025,PUGLIA,TAIC84600T,2025-08-29,-,2025-08-29,SPESA,A,A01,5220.46,34.4,34.4,0
202526,2025,CAMPANIA,NAIC8D900T,2025-08-28,2025-08-28,2025-08-28,ENTRATA,09,15,0,0,0,0
202526,2025,PUGLIA,TAIC84600T,2025-08-29,-,2025-08-29,SPESA,R,98,1160,0,0,0
202526,2025,PUGLIA,LEIS02600V,2025-08-26,2025-08-26,2025-08-28,ENTRATA,02,02,0,0,0,0
202526,2025,PUGLIA,LERH03000N,2025-08-26,2025-08-26,2025-08-29,SPESA,G,G03,0,0,0,0
202526,2025,SICILIA,AGPM02000Q,2025-08-25,2025-08-26,2025-08-29,ENTRATA,09,21,0,0,0,0
202526,2025,SICILIA,AGPM02000Q,2025-08-25,2025-08-26,2025-08-29,ENTRATA,09,01,0,0,0,0
202526,2025,PUGLIA,LEPC120003,2025-08-25,2025-08-27,2025-08-27,ENTRATA,11,01,0,0,0,0
202526,2025,PUGLIA,FGIC820009,2025-08-31,2025-08-31,2025-09-23,ENTRATA,06,07,0,0,0,0
202526,2025,PUGLIA,LEPC120003,2025-08-25,2025-08-27,2025-08-27,ENTRATA,09,22,0,0,0,0
202526,2025,PUGLIA,LEEE07100P,2025-08-25,2025-08-29,2025-08-29,ENTRATA,09,21,0,0,0,0
202526,2025,CAMPANIA,NAIC8D900T,2025-08-28,2025-08-28,2025-08-28,ENTRATA,03,03,0,0,0,0
202526,2025,LIGURIA,GEIC82100P,2025-08-29,-,2025-08-29,ENTRATA,08,06,113.68,113.68,113.68,0
202526,2025,CAMPANIA,NAIC8D900T,2025-08-28,2025-08-28,2025-08-28,ENTRATA,06,07,0,0,0,0
202526,2025,PUGLIA,LEEE07100P,2025-08-25,2025-08-29,2025-08-29,ENTRATA,09,22,0,0,0,0
202526,2025,LIGURIA,GEIC81900P,2025-08-22,2025-09-29,2025-09-29,ENTRATA,12,01,0,0,0,0
202526,2025,PUGLIA,TAIC84600T,2025-08-29,-,2025-08-29,ENTRATA,09,21,0,0,0,0
202526,2025,PUGLIA,TAIC84600T,2025-08-29,-,2025-08-29,ENTRATA,02,01,0,0,0,0
202526,2025,LIGURIA,GEIC81900P,2025-08-22,2025-09-29,2025-09-29,ENTRATA,11,02,0,0,0,0
202526,2025,PUGLIA,LEEE07100P,2025-08-25,2025-08-29,2025-08-29,ENTRATA,06,12,0,0,0,0
202526,2025,LIGURIA,GEIC81900P,2025-08-22,2025-09-29,2025-09-29,ENTRATA,08,04,0,0,0,0
202526,2025,LAZIO,FRIS028005,2025-08-31,2025-08-31,2025-10-08,SPESA,P,P03,0,0,0,0
202526,2025,PUGLIA,LEEE07100P,2025-08-25,2025-08-29,2025-08-29,ENTRATA,04,03,0,0,0,0
202526,2025,PUGLIA,FGIC820009,2025-08-31,2025-08-31,2025-09-23,SPESA,A,A03,126348.6,124314.14,31575.05,92739.09
202526,2025,PUGLIA,LEIS02600V,2025-08-26,2025-08-26,2025-08-28,ENTRATA,13,01,0,0,0,0
202526,2025,PUGLIA,LEPC120003,2025-08-25,2025-08-27,2025-08-27,ENTRATA,07,06,0,0,0,0
202526,2025,LIGURIA,GEIC81900P,2025-08-22,2025-09-29,2025-09-29,ENTRATA,06,06,0,0,0,0
202526,2025,LAZIO,FRIS028005,2025-08-31,2025-08-31,2025-10-08,ENTRATA,09,02,0,0,0,0
202526,2025,LIGURIA,GEIC82100P,2025-08-29,-,2025-08-29,ENTRATA,09,03,0,0,0,0
202526,2025,LIGURIA,GEIC82100P,2025-08-29,-,2025-08-29,ENTRATA,09,10,0,0,0,0
202526,2025,PUGLIA,LERH03000N,2025-08-26,2025-08-26,2025-08-29,SPESA,P,P03,0,0,0,0
202526,2025,LIGURIA,GEIC82100P,2025-08-29,-,2025-08-29,ENTRATA,08,02,0,0,0,0
202526,2025,SICILIA,AGPM02000Q,2025-08-25,2025-08-26,2025-08-29,ENTRATA,03,02,0,0,0,0
202526,2025,PUGLIA,FGIC820009,2025-08-31,2025-08-31,2025-09-23,ENTRATA,09,10,0,0,0,0
202526,2025,PUGLIA,LEPC120003,2025-08-25,2025-08-27,2025-08-27,SPESA,P,P04,510.88,0,0,0
202526,2025,PUGLIA,FGIC820009,2025-08-31,2025-08-31,2025-09-23,ENTRATA,01,01,4891.45,0,0,0
202526,2025,PUGLIA,LEEE07100P,2025-08-25,2025-08-29,2025-08-29,ENTRATA,12,01,0,0,0,0
202526,2025,LIGURIA,GEIC81900P,2025-08-22,2025-09-29,2025-09-29,ENTRATA,09,19,0,0,0,0
202526,2025,CAMPANIA,NAIC8D900T,2025-08-28,2025-08-28,2025-08-28,ENTRATA,05,03,2671.29,2671.29,2671.29,0
202526,2025,PUGLIA,LEEE07100P,2025-08-25,2025-08-29,2025-08-29,ENTRATA,09,11,0,0,0,0
202526,2025,PUGLIA,TAIC84600T,2025-08-29,-,2025-08-29,ENTRATA,10,01,0,0,0,0
202526,2025,PUGLIA,LERH03000N,2025-08-26,2025-08-26,2025-08-29,ENTRATA,09,15,0,0,0,0
202526,2025,PUGLIA,TAIC84600T,2025-08-29,-,2025-08-29,ENTRATA,06,05,0,0,0,0
202526,2025,PUGLIA,LERH03000N,2025-08-26,2025-08-26,2025-08-29,ENTRATA,06,02,0,0,0,0
202526,2025,LIGURIA,GEIC82100P,2025-08-29,-,2025-08-29,ENTRATA,03,04,0,0,0,0
202526,2025,PUGLIA,LEIS02600V,2025-08-26,2025-08-26,2025-08-28,ENTRATA,10,02,0,0,0,0
202526,2025,PUGLIA,LEIS02600V,2025-08-26,2025-08-26,2025-08-28,ENTRATA,09,04,0,0,0,0
202526,2025,LIGURIA,GEIC82100P,2025-08-29,-,2025-08-29,ENTRATA,02,01,60600,60600,0,60600
202526,2025,PUGLIA,LEIS02600V,2025-08-26,2025-08-26,2025-08-28,ENTRATA,07,04,0,0,0,0
202526,2025,PUGLIA,LEPC120003,2025-08-25,2025-08-27,2025-08-27,ENTRATA,06,08,5175,5175,5175,0
202526,2025,LIGURIA,GEIC81900P,2025-08-22,2025-09-29,2025-09-29,ENTRATA,07,03,0,0,0,0
202526,2025,PUGLIA,LEEE07100P,2025-08-25,2025-08-29,2025-08-29,ENTRATA,06,02,0,0,0,0
202526,2025,LIGURIA,GEIC81900P,2025-08-22,2025-09-29,2025-09-29,ENTRATA,06,10,4606,4606,4606,0
202526,2025,PUGLIA,TAIC84600T,2025-08-29,-,2025-08-29,ENTRATA,07,07,0,0,0,0
