Title: ,"School year in Europe: Recommended compulsory instruction time and holidays, 2024/2025",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,:,not available
IT,,2024/2025,ISCED 1_24,6,8,1600,200,,-
LI,Gymnasium,2024/2025,ISCED 1,6,5,910,182,1,-
LI,Gymnasium,2024/2025,ISCED 24,11,3,546,182,0.236,-
LI,Gymnasium,2024/2025,ISCED 1_24,6,8,1456,182,,-
LI,Realschule,2024/2025,ISCED 1,6,5,910,182,1,-
LI,Realschule,2024/2025,ISCED 24,11,4,728,182,0.484,-
LI,Realschule,2024/2025,ISCED 1_24,6,9,1638,182,,-
LI,Oberschule,2024/2025,ISCED 1,6,5,910,182,1,-
LI,Oberschule,2024/2025,ISCED 24,11,4,728,182,0.28,-
LI,Oberschule,2024/2025,ISCED 1_24,6,9,1638,182,,-
LT,,2024/2025,ISCED 1,7,4,700,175,0.911,-
LT,,2024/2025,ISCED 24,11,6,1110,185,0.902,-
LT,,2024/2025,ISCED 1_24,7,10,1810,181,,-
LU,classic,2024/2025,ISCED 1,6,6,1080,180,0.936,-
LU,classic,2024/2025,ISCED 24,12,3,507,169,0.306,-
LU,classic,2024/2025,ISCED 1_24,6,9,1587,176.33333333333334,,-
LU,general_orientation,2024/2025,ISCED 1,6,6,1080,180,0.936,-
LU,general_orientation,2024/2025,ISCED 24,12,3,507,169,0.403,-
LU,general_orientation,2024/2025,ISCED 1_24,6,9,1587,176.33333333333334,,-
LU,general_preparation,2024/2025,ISCED 1,6,6,1080,180,0.936,-
LU,general_preparation,2024/2025,ISCED 24,12,3,507,169,0.12299999999999998,-
LU,general_preparation,2024/2025,ISCED 1_24,6,9,1587,176.33333333333334,,-
LV,,2024/2025,ISCED 1,7,6,1015,169.16666666666666,1,-
LV,,2024/2025,ISCED 24,13,3,520,173.33333333333334,1,-
LV,,2024/2025,ISCED 1_24,7,9,1535,170.55555555555554,,-
ME,,2024/2025,ISCED 1,6,5,900,180,0.99,-
ME,,2024/2025,ISCED 24,11,4,705,176.25,0.99,-
ME,,2024/2025,ISCED 1_24,6,9,1605,178.33333333333334,,-
MK,,2024/2025,ISCED 1,,,,,,No data available.
MK,,2024/2025,ISCED 24,,,,,,No data available.
MK,,2024/2025,ISCED 1_24,,,,,,No data available.
MT,,2024/2025,ISCED 1,5,6,929,154.83333333333334,1,-
MT,,2024/2025,ISCED 24,11,3,429,143,1,-
MT,,2024/2025,ISCED 1_24,5,9,1358,150.88888888888889,,-
NL,VWO,2024/2025,ISCED 1,6,6,1170,195,1,-
NL,VWO,2024/2025,ISCED 24,12,3,,,0.23,-
NL,VWO,2024/2025,ISCED 1_24,6,9,,,,-
NL,HAVO,2024/2025,ISCED 1,6,6,1170,195,1,-
NL,HAVO,2024/2025,ISCED 24,12,3,,,0.24,-
NL,HAVO,2024/2025,ISCED 1_24,6,9,,,,-
NL,VMBO,2024/2025,ISCED 1,6,6,1170,195,1,-
NL,VMBO,2024/2025,ISCED 24,12,4,,,0.53,-
NL,VMBO,2024/2025,ISCED 1_24,6,10,,,,-
NO,,2024/2025,ISCED 1,6,7,1330,190,1,-
NO,,2024/2025,ISCED 24,13,3,570,190,1,-
NO,,2024/2025,ISCED 1_24,6,10,1900,190,,-
PL,,2024/2025,ISCED 1,7,4,716,179,1,-
PL,,2024/2025,ISCED 24,11,4,716,179,1,-
PL,,2024/2025,ISCED 1_24,7,8,1432,179,,-
PT,,2024/2025,ISCED 1,6,6,1038,173,1,-
PT,,2024/2025,ISCED 24,12,3,491,163.66666666666666,1,-
PT,,2024/2025,ISCED 1_24,6,9,1529,169.88888888888889,,-
RO,,2024/2025,ISCED 1,6,5,900,180,1,-
RO,,2024/2025,ISCED 24,11,4,715,178.75,1,-
RO,,2024/2025,ISCED 1_24,6,9,1615,179.44444444444446,,-
RS,,2024/2025,ISCED 1,6.5,4,720,180,1,-
RS,,2024/2025,ISCED 24,10.5,4,710,177.5,1,-
RS,,2024/2025,ISCED 1_24,6.5,8,1430,178.75,,-
SE,,2024/2025,ISCED 1,7,6,1068,178,,-
SE,,2024/2025,ISCED 24,13,3,534,178,,-
SE,,2024/2025,ISCED 1_24,7,9,1602,178,,-
SI,,2024/2025,ISCED 1,6,6,1140,190,0.949,-
SI,,2024/2025,ISCED 24,12,3,555,185,0.949,-
SI,,2024/2025,ISCED 1_24,6,9,1695,188.33333333333334,,-
SK,,2024/2025,ISCED 1,6,4,756,189,0.872,-
SK,,2024/2025,ISCED 24,10,5,945,189,0.9,-
SK,,2024/2025,ISCED 1_24,6,9,1701,189,,-
TR,AHS,2024/2025,ISCED 1,6,4,720,180,1,-
TR,AHS,2024/2025,ISCED 24,10,4,720,180,0.866,-
TR,AHS,2024/2025,ISCED 1_24,6,8,1440,180,,-
TR,IPLSS,2024/2025,ISCED 1,6,4,720,180,1,-
TR,IPLSS,2024/2025,ISCED 24,10,4,720,180,0.866,-
TR,IPLSS,2024/2025,ISCED 1_24,6,8,1440,180,,-
