ANNOSCOLASTICO,CODICESCUOLA,ORDINESCUOLA,ANNOCORSO,ALUNNI,ALUNNICITTADINANZAITALIANA,ALUNNICITTADINANZANONITALIANA,ALUNNICITTADINANZANONITALIANAPAESIUE,ALUNNICITTADINANZANONITALIANAPAESINONUE
202425,RM1E11500V,SCUOLA PRIMARIA,2,71,71,0,0,0
202425,TOPST1500C,SCUOLA SECONDARIA II GRADO,1,15,14,1,1,0
202425,RMPS165005,SCUOLA SECONDARIA II GRADO,3,12,12,0,0,0
202425,BS1E003005,SCUOLA PRIMARIA,1,22,22,0,0,0
202425,BGSLAE500Q,SCUOLA SECONDARIA II GRADO,3,9,7,2,0,2
202425,MO1E013003,SCUOLA PRIMARIA,5,18,17,1,0,1
202425,MIPSIG500R,SCUOLA SECONDARIA II GRADO,2,49,48,1,0,1
202425,CSPSDO500P,SCUOLA SECONDARIA II GRADO,3,3,3,0,0,0
202425,LC1E010008,SCUOLA PRIMARIA,5,20,19,1,0,1
202425,VATF295009,SCUOLA SECONDARIA II GRADO,5,26,26,0,0,0
202425,PV1M00600N,SCUOLA SECONDARIA I GRADO,2,43,42,1,0,1
202425,MIPSRF5008,SCUOLA SECONDARIA II GRADO,4,8,8,0,0,0
202425,FRPS1T500V,SCUOLA SECONDARIA II GRADO,3,20,19,1,1,0
202425,BSPMVC500O,SCUOLA SECONDARIA II GRADO,2,7,7,0,0,0
202425,VAPSZC500T,SCUOLA SECONDARIA II GRADO,1,24,23,1,1,0
202425,TA1E00500X,SCUOLA PRIMARIA,5,20,18,2,1,1
202425,MN1M001009,SCUOLA SECONDARIA I GRADO,1,41,38,3,1,2
202425,RGRIAG500E,SCUOLA SECONDARIA II GRADO,1,23,18,5,2,3
202425,GE1ELE500C,SCUOLA PRIMARIA,5,15,12,3,0,3
202425,CA1E01700A,SCUOLA PRIMARIA,5,14,14,0,0,0
202425,AT1M00200R,SCUOLA SECONDARIA I GRADO,3,19,17,2,0,2
202425,AR1E00400L,SCUOLA PRIMARIA,4,18,18,0,0,0
202425,TO1M01400V,SCUOLA SECONDARIA I GRADO,3,19,18,1,0,1
202425,MIPS375001,SCUOLA SECONDARIA II GRADO,2,57,56,1,1,0
202425,NA1E1M500R,SCUOLA PRIMARIA,5,13,0,13,0,13
202425,RARI015004,SCUOLA SECONDARIA II GRADO,1,9,7,2,1,1
202425,BA1E00200Q,SCUOLA PRIMARIA,5,24,24,0,0,0
202425,RNTL025002,SCUOLA SECONDARIA II GRADO,3,4,1,3,0,3
202425,NO1E006007,SCUOLA PRIMARIA,3,43,37,6,0,6
202425,PVPM025004,SCUOLA SECONDARIA II GRADO,5,17,17,0,0,0
202425,BA1E00900E,SCUOLA PRIMARIA,1,32,31,1,0,1
202425,CTPSPS5003,SCUOLA SECONDARIA II GRADO,4,16,16,0,0,0
202425,MI1M083009,SCUOLA SECONDARIA I GRADO,2,24,23,1,0,1
202425,NATFI7500T,SCUOLA SECONDARIA II GRADO,5,105,101,4,1,3
202425,LI1E00900L,SCUOLA PRIMARIA,3,34,33,1,1,0
202425,COTD06500Q,SCUOLA SECONDARIA II GRADO,4,14,13,1,1,0
202425,BG1E022002,SCUOLA PRIMARIA,3,31,31,0,0,0
202425,NATF3I5009,SCUOLA SECONDARIA II GRADO,1,3,3,0,0,0
202425,PO1EHR500Z,SCUOLA PRIMARIA,4,11,1,10,0,10
202425,FI1E00400C,SCUOLA PRIMARIA,5,27,27,0,0,0
202425,RE1M8H500D,SCUOLA SECONDARIA I GRADO,3,26,25,1,0,1
202425,REPSRL500H,SCUOLA SECONDARIA II GRADO,2,20,18,2,0,2
202425,NATD59500D,SCUOLA SECONDARIA II GRADO,5,63,62,1,1,0
202425,NATDGE5008,SCUOLA SECONDARIA II GRADO,3,6,5,1,0,1
202425,PGPC00500C,SCUOLA SECONDARIA II GRADO,1,1,1,0,0,0
202425,IM1E00500L,SCUOLA PRIMARIA,3,16,14,2,0,2
202425,RC1E00300L,SCUOLA PRIMARIA,5,21,20,1,1,0
202425,AVTD045005,SCUOLA SECONDARIA II GRADO,2,4,4,0,0,0
202425,NA1M03900R,SCUOLA SECONDARIA I GRADO,1,12,7,5,2,3
202425,CH1E005007,SCUOLA PRIMARIA,5,11,10,1,1,0
202425,CE1E010002,SCUOLA PRIMARIA,3,18,18,0,0,0
202425,MIRF105007,SCUOLA SECONDARIA II GRADO,1,16,15,1,0,1
202425,PVSL1E500O,SCUOLA SECONDARIA II GRADO,5,3,3,0,0,0
202425,VAPS92500G,SCUOLA SECONDARIA II GRADO,5,17,17,0,0,0
202425,NA1E064008,SCUOLA PRIMARIA,4,17,3,14,0,14
202425,MO1E00300C,SCUOLA PRIMARIA,4,43,39,4,0,4
202425,BG1E02000A,SCUOLA PRIMARIA,3,24,23,1,0,1
202425,BN1ES9500O,SCUOLA PRIMARIA,5,13,12,1,0,1
202425,VRPL06500E,SCUOLA SECONDARIA II GRADO,2,15,15,0,0,0
202425,CO1M02500D,SCUOLA SECONDARIA I GRADO,2,26,25,1,0,1
202425,RM1E13800G,SCUOLA PRIMARIA,4,68,67,1,0,1
202425,NATF55500V,SCUOLA SECONDARIA II GRADO,2,2,1,1,0,1
202425,AL1M006003,SCUOLA SECONDARIA I GRADO,1,34,29,5,1,4
202425,RM1M016003,SCUOLA SECONDARIA I GRADO,2,18,17,1,1,0
202425,PAPLE05003,SCUOLA SECONDARIA II GRADO,5,16,15,1,0,1
202425,RM1E099006,SCUOLA PRIMARIA,4,8,8,0,0,0
202425,VI1M00400X,SCUOLA SECONDARIA I GRADO,1,24,23,1,0,1
202425,BOPSPI500D,SCUOLA SECONDARIA II GRADO,1,38,37,1,1,0
202425,CR1E00900D,SCUOLA PRIMARIA,2,22,20,2,1,1
202425,RM1M05100A,SCUOLA SECONDARIA I GRADO,1,27,26,1,0,1
202425,GRPS005002,SCUOLA SECONDARIA II GRADO,4,6,6,0,0,0
202425,NA1E00900Q,SCUOLA PRIMARIA,1,10,10,0,0,0
202425,ATPS715002,SCUOLA SECONDARIA II GRADO,3,15,15,0,0,0
202425,TO1E032007,SCUOLA PRIMARIA,1,10,8,2,1,1
202425,BI1M01000N,SCUOLA SECONDARIA I GRADO,1,29,27,2,0,2
202425,BO1E00300E,SCUOLA PRIMARIA,2,19,18,1,0,1
202425,NA1E22400G,SCUOLA PRIMARIA,4,52,51,1,0,1
202425,NA1E09100L,SCUOLA PRIMARIA,2,27,27,0,0,0
202425,COPM02500E,SCUOLA SECONDARIA II GRADO,2,28,25,3,0,3
202425,VI1E002003,SCUOLA PRIMARIA,4,22,21,1,0,1
202425,TV1E005007,SCUOLA PRIMARIA,2,18,18,0,0,0
202425,UD1E008003,SCUOLA PRIMARIA,5,22,22,0,0,0
202425,BS1E00700C,SCUOLA PRIMARIA,2,24,22,2,0,2
202425,SI1E001009,SCUOLA PRIMARIA,5,22,21,1,0,1
202425,BGPS00500D,SCUOLA SECONDARIA II GRADO,5,19,19,0,0,0
202425,MI1E04300N,SCUOLA PRIMARIA,3,43,42,1,0,1
202425,CE1E049008,SCUOLA PRIMARIA,3,16,16,0,0,0
202425,BG1E00400C,SCUOLA PRIMARIA,3,17,15,2,0,2
202425,FOPS5G500N,SCUOLA SECONDARIA II GRADO,1,33,32,1,1,0
202425,AGTA56500L,SCUOLA SECONDARIA II GRADO,4,3,3,0,0,0
202425,SATDD75001,SCUOLA SECONDARIA II GRADO,1,7,7,0,0,0
202425,LU1E003004,SCUOLA PRIMARIA,3,12,11,1,1,0
202425,APPCU15007,SCUOLA SECONDARIA II GRADO,3,16,16,0,0,0
202425,RMSLZ35008,SCUOLA SECONDARIA II GRADO,2,2,1,1,1,0
202425,RMPSPL500P,SCUOLA SECONDARIA II GRADO,1,6,6,0,0,0
202425,BT1E018009,SCUOLA PRIMARIA,3,51,50,1,0,1
202425,FI1M01800G,SCUOLA SECONDARIA I GRADO,3,18,16,2,1,1
202425,PA1E02600A,SCUOLA PRIMARIA,4,16,16,0,0,0
202425,AVTF005001,SCUOLA SECONDARIA II GRADO,1,4,4,0,0,0
202425,FRPSLP5002,SCUOLA SECONDARIA II GRADO,2,12,12,0,0,0
202425,NARF5I500H,SCUOLA SECONDARIA II GRADO,3,28,28,0,0,0
202425,MI1M06000L,SCUOLA SECONDARIA I GRADO,3,77,77,0,0,0
202425,NATHA4500E,SCUOLA SECONDARIA II GRADO,1,3,3,0,0,0
202425,MIPC06500L,SCUOLA SECONDARIA II GRADO,5,25,25,0,0,0
202425,VR1M01600E,SCUOLA SECONDARIA I GRADO,3,16,11,5,0,5
202425,SARF6Q5004,SCUOLA SECONDARIA II GRADO,3,3,3,0,0,0
202425,AP1MUM500N,SCUOLA SECONDARIA I GRADO,2,30,27,3,0,3
202425,RMPS72500B,SCUOLA SECONDARIA II GRADO,3,8,8,0,0,0
202425,PA1E00400D,SCUOLA PRIMARIA,4,25,24,1,1,0
202425,PR1M00400R,SCUOLA SECONDARIA I GRADO,1,30,28,2,0,2
202425,VIPL015005,SCUOLA SECONDARIA II GRADO,2,6,6,0,0,0
202425,FI1MIM500Z,SCUOLA SECONDARIA I GRADO,1,49,35,14,3,11
202425,MIPS42500R,SCUOLA SECONDARIA II GRADO,2,59,58,1,1,0
202425,NO1E00300Q,SCUOLA PRIMARIA,3,49,49,0,0,0
202425,RMPC08500A,SCUOLA SECONDARIA II GRADO,3,24,24,0,0,0
202425,FITD01500X,SCUOLA SECONDARIA II GRADO,3,9,8,1,0,1
202425,VRTN025003,SCUOLA SECONDARIA II GRADO,3,29,27,2,1,1
202425,TS1M003003,SCUOLA SECONDARIA I GRADO,3,19,19,0,0,0
202425,VRPL01500D,SCUOLA SECONDARIA II GRADO,1,32,30,2,0,2
202425,RM1E15300N,SCUOLA PRIMARIA,2,27,27,0,0,0
202425,CS1E00600D,SCUOLA PRIMARIA,3,22,22,0,0,0
202425,VR1E004003,SCUOLA PRIMARIA,2,34,34,0,0,0
202425,REPSRL500H,SCUOLA SECONDARIA II GRADO,1,9,9,0,0,0
202425,CT1E82801D,SCUOLA PRIMARIA,2,12,12,0,0,0
202425,NA1E04100G,SCUOLA PRIMARIA,1,49,49,0,0,0
202425,MB1EF5500A,SCUOLA PRIMARIA,5,15,12,3,1,2
202425,NA1M015008,SCUOLA SECONDARIA I GRADO,1,13,13,0,0,0
202425,BGPMVO500T,SCUOLA SECONDARIA II GRADO,4,45,42,3,0,3
202425,NA1E150007,SCUOLA PRIMARIA,4,24,24,0,0,0
202425,CETFOD5002,SCUOLA SECONDARIA II GRADO,2,8,8,0,0,0
202425,RMPC10500A,SCUOLA SECONDARIA II GRADO,4,25,25,0,0,0
202425,TO1E05100L,SCUOLA PRIMARIA,1,6,6,0,0,0
202425,MI1E083004,SCUOLA PRIMARIA,3,77,71,6,1,5
202425,FRTD00500N,SCUOLA SECONDARIA II GRADO,3,8,8,0,0,0
202425,RMPL39500D,SCUOLA SECONDARIA II GRADO,2,20,20,0,0,0
202425,BGTFMP5003,SCUOLA SECONDARIA II GRADO,4,10,9,1,0,1
202425,FG1E00300X,SCUOLA PRIMARIA,4,19,18,1,0,1
202425,AGRHUP500I,SCUOLA SECONDARIA II GRADO,4,5,5,0,0,0
202425,RM1E06100Q,SCUOLA PRIMARIA,1,34,32,2,0,2
202425,BN1M4D5009,SCUOLA SECONDARIA I GRADO,2,24,24,0,0,0
202425,MO1E005004,SCUOLA PRIMARIA,4,40,39,1,0,1
202425,RM1M01100X,SCUOLA SECONDARIA I GRADO,1,11,11,0,0,0
202425,RM1E10400C,SCUOLA PRIMARIA,1,19,18,1,1,0
202425,PA1M02400X,SCUOLA SECONDARIA I GRADO,1,39,38,1,0,1
202425,RMPSCF500T,SCUOLA SECONDARIA II GRADO,5,23,23,0,0,0
202425,VI1E01300D,SCUOLA PRIMARIA,1,29,25,4,0,4
202425,NATD33500X,SCUOLA SECONDARIA II GRADO,3,20,19,1,0,1
202425,AQ1M00200G,SCUOLA SECONDARIA I GRADO,2,14,14,0,0,0
202425,VR1E01000A,SCUOLA PRIMARIA,1,42,41,1,0,1
202425,MBPL73500N,SCUOLA SECONDARIA II GRADO,4,9,9,0,0,0
202425,RM1E03900E,SCUOLA PRIMARIA,1,10,10,0,0,0
202425,NAPC135007,SCUOLA SECONDARIA II GRADO,2,3,3,0,0,0
202425,RMPL00500B,SCUOLA SECONDARIA II GRADO,1,1,0,1,0,1
202425,FO1E00500D,SCUOLA PRIMARIA,3,42,40,2,0,2
202425,SARHZG500U,SCUOLA SECONDARIA II GRADO,5,139,132,7,1,6
202425,NA1E10800R,SCUOLA PRIMARIA,2,22,21,1,0,1
202425,MI1E05700G,SCUOLA PRIMARIA,4,47,46,1,0,1
202425,PRTD02500N,SCUOLA SECONDARIA II GRADO,5,17,17,0,0,0
202425,NATL83500Z,SCUOLA SECONDARIA II GRADO,2,3,3,0,0,0
202425,MITDOT5002,SCUOLA SECONDARIA II GRADO,1,13,13,0,0,0
202425,PG1MB2500Q,SCUOLA SECONDARIA I GRADO,3,22,22,0,0,0
202425,MI1E038006,SCUOLA PRIMARIA,2,19,19,0,0,0
202425,CE1E045001,SCUOLA PRIMARIA,2,14,14,0,0,0
202425,FIPS00500D,SCUOLA SECONDARIA II GRADO,5,36,36,0,0,0
202425,PAPS5E500M,SCUOLA SECONDARIA II GRADO,2,12,12,0,0,0
202425,PVTD05500P,SCUOLA SECONDARIA II GRADO,5,31,28,3,0,3
202425,PC1E00300V,SCUOLA PRIMARIA,5,16,15,1,0,1
202425,NA1E11800B,SCUOLA PRIMARIA,5,15,15,0,0,0
202425,MI1E06400P,SCUOLA PRIMARIA,1,26,25,1,0,1
202425,RM1M11900B,SCUOLA SECONDARIA I GRADO,2,32,31,1,0,1
202425,TOPQ475003,SCUOLA SECONDARIA II GRADO,3,16,14,2,0,2
202425,VR1E01500D,SCUOLA PRIMARIA,5,21,19,2,0,2
202425,FI1E021006,SCUOLA PRIMARIA,1,14,14,0,0,0
202425,BGPSH85002,SCUOLA SECONDARIA II GRADO,3,23,23,0,0,0
202425,LCPL025002,SCUOLA SECONDARIA II GRADO,5,20,19,1,1,0
202425,SATF02500B,SCUOLA SECONDARIA II GRADO,4,18,17,1,0,1
202425,CO1M019006,SCUOLA SECONDARIA I GRADO,1,31,31,0,0,0
202425,CA1M01200C,SCUOLA SECONDARIA I GRADO,1,48,45,3,0,3
202425,RN1E00400D,SCUOLA PRIMARIA,5,25,25,0,0,0
202425,MBRH02500X,SCUOLA SECONDARIA II GRADO,4,16,16,0,0,0
202425,CR1E00800N,SCUOLA PRIMARIA,1,15,15,0,0,0
202425,MI1E01300T,SCUOLA PRIMARIA,2,23,23,0,0,0
202425,CT1ET9500Z,SCUOLA PRIMARIA,4,13,13,0,0,0
202425,RMPS54500B,SCUOLA SECONDARIA II GRADO,2,1,1,0,0,0
202425,PDTF015003,SCUOLA SECONDARIA II GRADO,5,18,17,1,1,0
202425,RO1E00100P,SCUOLA PRIMARIA,2,24,22,2,0,2
202425,NAPM015009,SCUOLA SECONDARIA II GRADO,4,19,19,0,0,0
202425,BSPS3I500U,SCUOLA SECONDARIA II GRADO,1,12,8,4,1,3
202425,RMTFNG5000,SCUOLA SECONDARIA II GRADO,1,10,9,1,0,1
202425,VAPLB6500A,SCUOLA SECONDARIA II GRADO,4,10,9,1,0,1
202425,AGPC4A5009,SCUOLA SECONDARIA II GRADO,1,1,1,0,0,0
202425,LO1E001007,SCUOLA PRIMARIA,3,28,28,0,0,0
202425,BSPM4P500U,SCUOLA SECONDARIA II GRADO,4,20,20,0,0,0
202425,NAPM0G500I,SCUOLA SECONDARIA II GRADO,3,5,5,0,0,0
202425,CZ1EQB500O,SCUOLA PRIMARIA,4,21,21,0,0,0
202425,LU1ETH500S,SCUOLA PRIMARIA,1,12,11,1,0,1
202425,NATF0M5006,SCUOLA SECONDARIA II GRADO,3,3,3,0,0,0
202425,SP1E002008,SCUOLA PRIMARIA,3,25,25,0,0,0
202425,RM1E106004,SCUOLA PRIMARIA,3,24,23,1,0,1
202425,RMPSRP5006,SCUOLA SECONDARIA II GRADO,1,32,27,5,3,2
202425,UDPSBD500N,SCUOLA SECONDARIA II GRADO,3,22,20,2,0,2
202425,VR1E00500V,SCUOLA PRIMARIA,5,23,23,0,0,0
202425,MIPS8E5005,SCUOLA SECONDARIA II GRADO,3,7,7,0,0,0
202425,MBPL20500D,SCUOLA SECONDARIA II GRADO,1,26,25,1,0,1
202425,CETF8G500N,SCUOLA SECONDARIA II GRADO,4,8,7,1,0,1
202425,SATDH85000,SCUOLA SECONDARIA II GRADO,5,69,62,7,0,7
202425,BN1ES9500O,SCUOLA PRIMARIA,2,10,10,0,0,0
202425,FIPMRR500G,SCUOLA SECONDARIA II GRADO,4,26,26,0,0,0
202425,PAPS5E500M,SCUOLA SECONDARIA II GRADO,5,24,24,0,0,0
