STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PUBPRO_2024@DF_GOV_PUBPRO_2024(1.0),Public procurement - 2024,I,DNK,Denmark,A,Annual,Q_MCC_E1-SQ007,Systematic feedback on comments is provided,2024,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PUBPRO_2024@DF_GOV_PUBPRO_2024(1.0),Public procurement - 2024,I,DNK,Denmark,A,Annual,Q_AN_D4-SQ009_SQ004,Indigenous people-Central purchasing body (CPB),2024,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PUBPRO_2024@DF_GOV_PUBPRO_2024(1.0),Public procurement - 2024,I,DNK,Denmark,A,Annual,Q_AN_D3-SQ008_SQ005,Support social enterprises-No prioritisation of objectives,2024,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PUBPRO_2024@DF_GOV_PUBPRO_2024(1.0),Public procurement - 2024,I,DNK,Denmark,A,Annual,Q_AN_D4-SQ004_SQ008,Gender equality and responsiveness-Not clear/Not sure,2024,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PUBPRO_2024@DF_GOV_PUBPRO_2024(1.0),Public procurement - 2024,I,DNK,Denmark,A,Annual,Q_AN_D3-SQ009_SQ003,Indigenous people-Conduct business cases in individual procurement,2024,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PUBPRO_2024@DF_GOV_PUBPRO_2024(1.0),Public procurement - 2024,I,DNK,Denmark,A,Annual,Q_AT_G9-SQ005,Blockchain*,2024,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PUBPRO_2024@DF_GOV_PUBPRO_2024(1.0),Public procurement - 2024,I,DNK,Denmark,A,Annual,Q_MC_F3-SQ006,Joint procurements,2024,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PUBPRO_2024@DF_GOV_PUBPRO_2024(1.0),Public procurement - 2024,I,DNK,Denmark,A,Annual,Q_AN_D4-SQ002_SQ005,Circular public procurement-An independent organisation,2024,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PUBPRO_2024@DF_GOV_PUBPRO_2024(1.0),Public procurement - 2024,I,DNK,Denmark,A,Annual,Q_LC_I1,"Do you have any defined key performance indicators for public procurement  system? If yes, share the link to the KPIs and/or the relevant reports.",2024,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PUBPRO_2024@DF_GOV_PUBPRO_2024(1.0),Public procurement - 2024,I,DNK,Denmark,A,Annual,Q_AN_D3-SQ004_SQ004,"Gender equality and responsiveness-Others, please specify",2024,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PUBPRO_2024@DF_GOV_PUBPRO_2024(1.0),Public procurement - 2024,I,DNK,Denmark,A,Annual,Q_MCC_K7-SQ008,All emergency procurement is carried out electronically,2024,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PUBPRO_2024@DF_GOV_PUBPRO_2024(1.0),Public procurement - 2024,I,DNK,Denmark,A,Annual,Q_MC_F6-SQ005,Reporting templates for public sector,2024,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PUBPRO_2024@DF_GOV_PUBPRO_2024(1.0),Public procurement - 2024,I,DNK,Denmark,A,Annual,Q_AT_G2-SQ007,Sending notifications to suppliers about opportunities,2024,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PUBPRO_2024@DF_GOV_PUBPRO_2024(1.0),Public procurement - 2024,I,DNK,Denmark,A,Annual,Q_MC_H1-SQ004,Each contracting authority,2024,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PUBPRO_2024@DF_GOV_PUBPRO_2024(1.0),Public procurement - 2024,I,DNK,Denmark,A,Annual,Q_MCC_D2,Are there certain quantitative targets set in relation to the strategic objectives presented in the previous question?,2024,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PUBPRO_2024@DF_GOV_PUBPRO_2024(1.0),Public procurement - 2024,I,DNK,Denmark,A,Annual,Q_MCC_B6-SQ006,"No, this information is not disclosed",2024,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PUBPRO_2024@DF_GOV_PUBPRO_2024(1.0),Public procurement - 2024,I,DNK,Denmark,A,Annual,Q_MC_F3-SQ005,Dynamic purchasing,2024,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PUBPRO_2024@DF_GOV_PUBPRO_2024(1.0),Public procurement - 2024,I,DNK,Denmark,A,Annual,Q_AN_D4-SQ011_SQ008,Addressing long-term unemployment-Not clear/Not sure,2024,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PUBPRO_2024@DF_GOV_PUBPRO_2024(1.0),Public procurement - 2024,I,DNK,Denmark,A,Annual,Q_MC_A6-SQ001,Uncompetitive procedures,2024,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PUBPRO_2024@DF_GOV_PUBPRO_2024(1.0),Public procurement - 2024,I,DNK,Denmark,A,Annual,Q_AT_I3-SQ002,"Impact on administrative efficiency (savings, time to carry out procurement, etc.)",2024,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PUBPRO_2024@DF_GOV_PUBPRO_2024(1.0),Public procurement - 2024,I,DNK,Denmark,A,Annual,Q_MC_L1-SQ004,Mechanisms are in place to ensure that no issuance of tenders take place without certification of the availability of funds in the budget,2024,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PUBPRO_2024@DF_GOV_PUBPRO_2024(1.0),Public procurement - 2024,I,DNK,Denmark,A,Annual,Q_AN_D3-SQ012_SQ005,Support for re-industrialisation-No prioritisation of objectives,2024,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PUBPRO_2024@DF_GOV_PUBPRO_2024(1.0),Public procurement - 2024,I,DNK,Denmark,A,Annual,Q_MCC_D8-SQ007,Excellence award system,2024,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PUBPRO_2024@DF_GOV_PUBPRO_2024(1.0),Public procurement - 2024,I,DNK,Denmark,A,Annual,Q_MC_A1-SQ004,Tender documents,2024,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PUBPRO_2024@DF_GOV_PUBPRO_2024(1.0),Public procurement - 2024,I,DNK,Denmark,A,Annual,Q_MCC_H6,What is the structure of the competency matrix?,2024,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PUBPRO_2024@DF_GOV_PUBPRO_2024(1.0),Public procurement - 2024,I,DNK,Denmark,A,Annual,Q_MC_G6-SQ002,Budgeting systems,2024,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PUBPRO_2024@DF_GOV_PUBPRO_2024(1.0),Public procurement - 2024,I,DNK,Denmark,A,Annual,Q_MC_H8-SQ001,"Public procurement authority / regulator (e.g., Ministry, Public Procurement Office/Agency)",2024,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PUBPRO_2024@DF_GOV_PUBPRO_2024(1.0),Public procurement - 2024,I,DNK,Denmark,A,Annual,Q_AN_D4-SQ004_SQ004,Gender equality and responsiveness-Central purchasing body (CPB),2024,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PUBPRO_2024@DF_GOV_PUBPRO_2024(1.0),Public procurement - 2024,I,DNK,Denmark,A,Annual,Q_MCC_C6-SQ001,Capacity-building,2024,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PUBPRO_2024@DF_GOV_PUBPRO_2024(1.0),Public procurement - 2024,I,DNK,Denmark,A,Annual,Q_MC_G10-SQ003,Planning and strategy,2024,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PUBPRO_2024@DF_GOV_PUBPRO_2024(1.0),Public procurement - 2024,I,DNK,Denmark,A,Annual,Q_MC_G10-SQ008,Supply chain due diligence,2024,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PUBPRO_2024@DF_GOV_PUBPRO_2024(1.0),Public procurement - 2024,I,DNK,Denmark,A,Annual,Q_MCC_F5-SQ002,"Yes, in pre-tendering stage",2024,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PUBPRO_2024@DF_GOV_PUBPRO_2024(1.0),Public procurement - 2024,I,DNK,Denmark,A,Annual,Q_AN_D4-SQ008_SQ006,Support social enterprises-Competence centre* or similar,2024,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PUBPRO_2024@DF_GOV_PUBPRO_2024(1.0),Public procurement - 2024,I,DNK,Denmark,A,Annual,Q_MCC_B1-SQ003,Provisions that prevent the government from contracting with suppliers involved in corruption,2024,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PUBPRO_2024@DF_GOV_PUBPRO_2024(1.0),Public procurement - 2024,I,DNK,Denmark,A,Annual,Q_AN_D4-SQ011_SQ002,Addressing long-term unemployment-Inter-ministerial body,2024,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PUBPRO_2024@DF_GOV_PUBPRO_2024(1.0),Public procurement - 2024,I,DNK,Denmark,A,Annual,Q_MC_H10,What is the purpose of the certificate?,2024,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PUBPRO_2024@DF_GOV_PUBPRO_2024(1.0),Public procurement - 2024,I,DNK,Denmark,A,Annual,Q_AN_D4-SQ002_SQ006,Circular public procurement-Competence centre* or similar,2024,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PUBPRO_2024@DF_GOV_PUBPRO_2024(1.0),Public procurement - 2024,I,DNK,Denmark,A,Annual,Q_AN_D4-SQ006_SQ007,Support small and medium-sized enterprises (SMEs)-We put in place a different institutional structure,2024,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PUBPRO_2024@DF_GOV_PUBPRO_2024(1.0),Public procurement - 2024,I,DNK,Denmark,A,Annual,Q_MC_G4-SQ001,No,2024,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PUBPRO_2024@DF_GOV_PUBPRO_2024(1.0),Public procurement - 2024,I,DNK,Denmark,A,Annual,Q_MC_A6-SQ003,Small-value purchases,2024,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PUBPRO_2024@DF_GOV_PUBPRO_2024(1.0),Public procurement - 2024,I,DNK,Denmark,A,Annual,Q_AN_D3-SQ009_SQ005,Indigenous people-No prioritisation of objectives,2024,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PUBPRO_2024@DF_GOV_PUBPRO_2024(1.0),Public procurement - 2024,I,DNK,Denmark,A,Annual,Q_AN_D3-SQ010_SQ002,Promoting accessibility-Conduct cost-benefits analysis in individual procurement,2024,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PUBPRO_2024@DF_GOV_PUBPRO_2024(1.0),Public procurement - 2024,I,DNK,Denmark,A,Annual,Q_AT_G2-SQ019,"Data analytics (e.g., business Intelligence module, savings tracking)",2024,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PUBPRO_2024@DF_GOV_PUBPRO_2024(1.0),Public procurement - 2024,I,DNK,Denmark,A,Annual,Q_MCC_F5-SQ005,"Not yet, but it is considered",2024,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PUBPRO_2024@DF_GOV_PUBPRO_2024(1.0),Public procurement - 2024,I,DNK,Denmark,A,Annual,Q_MCC_B5-SQ007,None,2024,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PUBPRO_2024@DF_GOV_PUBPRO_2024(1.0),Public procurement - 2024,I,DNK,Denmark,A,Annual,Q_MC_H1-SQ002,Ministry responsible for public administration,2024,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PUBPRO_2024@DF_GOV_PUBPRO_2024(1.0),Public procurement - 2024,I,DNK,Denmark,A,Annual,Q_MC_F7-SQ003,Mobile version of e-procurement system,2024,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PUBPRO_2024@DF_GOV_PUBPRO_2024(1.0),Public procurement - 2024,I,DNK,Denmark,A,Annual,Q_MCC_B6-SQ001,Systematically shared through information exchange with other government information system (e.g. tax registry),2024,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PUBPRO_2024@DF_GOV_PUBPRO_2024(1.0),Public procurement - 2024,I,DNK,Denmark,A,Annual,Q_MC_D1-SQ004,Gender equality and responsiveness,2024,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PUBPRO_2024@DF_GOV_PUBPRO_2024(1.0),Public procurement - 2024,I,DNK,Denmark,A,Annual,Q_AN_D4-SQ012_SQ008,Support for re-industrialisation-Not clear/Not sure,2024,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PUBPRO_2024@DF_GOV_PUBPRO_2024(1.0),Public procurement - 2024,I,DNK,Denmark,A,Annual,Q_MC_D1-SQ008,Support social enterprises,2024,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PUBPRO_2024@DF_GOV_PUBPRO_2024(1.0),Public procurement - 2024,I,DNK,Denmark,A,Annual,Q_MCC_B2-SQ002,Explanations and specific examples of conflict-of-interest situations for public procurement officials are provided,2024,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PUBPRO_2024@DF_GOV_PUBPRO_2024(1.0),Public procurement - 2024,I,DNK,Denmark,A,Annual,Q_MC_A2,Please specify where such information is published or which systems are used.,2024,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PUBPRO_2024@DF_GOV_PUBPRO_2024(1.0),Public procurement - 2024,I,DNK,Denmark,A,Annual,Q_AN_D3-SQ013_SQ005,Increased resilience (securing supply chains)-No prioritisation of objectives,2024,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PUBPRO_2024@DF_GOV_PUBPRO_2024(1.0),Public procurement - 2024,I,DNK,Denmark,A,Annual,Q_MCC_J2-SQ003,Economic and contextual risks,2024,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PUBPRO_2024@DF_GOV_PUBPRO_2024(1.0),Public procurement - 2024,I,DNK,Denmark,A,Annual,Q_AN_F2-SQ004_SQ003,Trainings-From user fees,2024,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PUBPRO_2024@DF_GOV_PUBPRO_2024(1.0),Public procurement - 2024,I,DNK,Denmark,A,Annual,Q_MC_F3-SQ002,Framework agreements,2024,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PUBPRO_2024@DF_GOV_PUBPRO_2024(1.0),Public procurement - 2024,I,DNK,Denmark,A,Annual,Q_AN_D4-SQ010_SQ005,Promoting accessibility-An independent organisation,2024,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PUBPRO_2024@DF_GOV_PUBPRO_2024(1.0),Public procurement - 2024,I,DNK,Denmark,A,Annual,Q_AN_D3-SQ003_SQ003,Innovation procurement-Conduct business cases in individual procurement,2024,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PUBPRO_2024@DF_GOV_PUBPRO_2024(1.0),Public procurement - 2024,I,DNK,Denmark,A,Annual,Q_AN_D4-SQ003_SQ001,Innovation procurement-Line ministry,2024,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PUBPRO_2024@DF_GOV_PUBPRO_2024(1.0),Public procurement - 2024,I,DNK,Denmark,A,Annual,Q_AN_D4-SQ008_SQ001,Support social enterprises-Line ministry,2024,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PUBPRO_2024@DF_GOV_PUBPRO_2024(1.0),Public procurement - 2024,I,DNK,Denmark,A,Annual,Q_AN_D4-SQ012_SQ004,Support for re-industrialisation-Central purchasing body (CPB),2024,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PUBPRO_2024@DF_GOV_PUBPRO_2024(1.0),Public procurement - 2024,I,DNK,Denmark,A,Annual,Q_MC_F7,Are there any of the following features available in your national e-procurement system?,2024,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PUBPRO_2024@DF_GOV_PUBPRO_2024(1.0),Public procurement - 2024,I,DNK,Denmark,A,Annual,Q_AN_D4-SQ004_SQ003,Gender equality and responsiveness-Procurement authority,2024,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PUBPRO_2024@DF_GOV_PUBPRO_2024(1.0),Public procurement - 2024,I,DNK,Denmark,A,Annual,Q_AN_D4-SQ006_SQ002,Support small and medium-sized enterprises (SMEs)-Inter-ministerial body,2024,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PUBPRO_2024@DF_GOV_PUBPRO_2024(1.0),Public procurement - 2024,I,DNK,Denmark,A,Annual,Q_AT_G2-SQ003,Market engagement,2024,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PUBPRO_2024@DF_GOV_PUBPRO_2024(1.0),Public procurement - 2024,I,DNK,Denmark,A,Annual,Q_MC_A7-SQ004,Tender notice,2024,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PUBPRO_2024@DF_GOV_PUBPRO_2024(1.0),Public procurement - 2024,I,DNK,Denmark,A,Annual,Q_AN_D4-SQ012_SQ006,Support for re-industrialisation-Competence centre* or similar,2024,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PUBPRO_2024@DF_GOV_PUBPRO_2024(1.0),Public procurement - 2024,I,DNK,Denmark,A,Annual,Q_MC_H4-SQ007,Technical specifications,2024,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PUBPRO_2024@DF_GOV_PUBPRO_2024(1.0),Public procurement - 2024,I,DNK,Denmark,A,Annual,Q_AN_D3-SQ006_SQ005,Support small and medium-sized enterprises (SMEs)-No prioritisation of objectives,2024,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PUBPRO_2024@DF_GOV_PUBPRO_2024(1.0),Public procurement - 2024,I,DNK,Denmark,A,Annual,Q_MC_H4-SQ014,Green public procurement,2024,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PUBPRO_2024@DF_GOV_PUBPRO_2024(1.0),Public procurement - 2024,I,DNK,Denmark,A,Annual,Q_AN_D3-SQ004_SQ005,Gender equality and responsiveness-No prioritisation of objectives,2024,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PUBPRO_2024@DF_GOV_PUBPRO_2024(1.0),Public procurement - 2024,I,DNK,Denmark,A,Annual,Q_MC_D1-SQ009,Support to indigenous people,2024,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PUBPRO_2024@DF_GOV_PUBPRO_2024(1.0),Public procurement - 2024,I,DNK,Denmark,A,Annual,Q_LD_K3,Could you suspend certain suppliers permanently or temporarily from participating in public procurement market?,2024,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PUBPRO_2024@DF_GOV_PUBPRO_2024(1.0),Public procurement - 2024,I,DNK,Denmark,A,Annual,Q_MC_H9-SQ002,Passing an exam,2024,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PUBPRO_2024@DF_GOV_PUBPRO_2024(1.0),Public procurement - 2024,I,DNK,Denmark,A,Annual,Q_MC_G4-SQ003,"Yes, there is a cost for economic operators",2024,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PUBPRO_2024@DF_GOV_PUBPRO_2024(1.0),Public procurement - 2024,I,DNK,Denmark,A,Annual,Q_AN_D3-SQ007_SQ003,Support responsible business conduct-Conduct business cases in individual procurement,2024,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PUBPRO_2024@DF_GOV_PUBPRO_2024(1.0),Public procurement - 2024,I,DNK,Denmark,A,Annual,Q_MCC_B2-SQ001,The regulatory framework includes a definition of conflicts of interest for public procurement officials,2024,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PUBPRO_2024@DF_GOV_PUBPRO_2024(1.0),Public procurement - 2024,I,DNK,Denmark,A,Annual,Q_MC_G6-SQ003,Enterprise Resource Planning (ERP),2024,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PUBPRO_2024@DF_GOV_PUBPRO_2024(1.0),Public procurement - 2024,I,DNK,Denmark,A,Annual,Q_MC_E3-SQ003,Oversight of public procurement spending,2024,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PUBPRO_2024@DF_GOV_PUBPRO_2024(1.0),Public procurement - 2024,I,DNK,Denmark,A,Annual,Q_MC_H2-SQ005,Lending of procurement expertise to help contracting authorities carry out specific procurement procedures,2024,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PUBPRO_2024@DF_GOV_PUBPRO_2024(1.0),Public procurement - 2024,I,DNK,Denmark,A,Annual,Q_AN_D4-SQ005_SQ002,Human and labour rights-Inter-ministerial body,2024,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PUBPRO_2024@DF_GOV_PUBPRO_2024(1.0),Public procurement - 2024,I,DNK,Denmark,A,Annual,Q_MC_E3,Which mechanisms do you use to enable citizen’s participation in public procurement?,2024,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PUBPRO_2024@DF_GOV_PUBPRO_2024(1.0),Public procurement - 2024,I,DNK,Denmark,A,Annual,Q_AN_D4-SQ002_SQ007,Circular public procurement-We put in place a different institutional structure,2024,,,,A,Normal value,0,Units
