ANNOSCOLASTICO,CODICESCUOLA,ORDINESCUOLA,ANNOCORSOCLASSE,CLASSI,ALUNNIMASCHI,ALUNNIFEMMINE
202425,LCEE82604P,SCUOLA PRIMARIA,5,1,5,9
202425,SSMM028053,SCUOLA SECONDARIA I GRADO,1,1,3,6
202425,ANEE81002V,SCUOLA PRIMARIA,1,1,10,1
202425,RMEE8GE01B,SCUOLA PRIMARIA,5,4,35,28
202425,PCEE815042,SCUOLA PRIMARIA,2,1,8,12
202425,MIRC079017,SCUOLA SECONDARIA II GRADO,1,7,38,121
202425,TVEE86004L,SCUOLA PRIMARIA,4,1,11,13
202425,VAEE87203B,SCUOLA PRIMARIA,5,2,18,18
202425,PZEE82006Q,SCUOLA PRIMARIA,3,1,10,5
202425,CREE818023,SCUOLA PRIMARIA,1,3,32,18
202425,TOEE823016,SCUOLA PRIMARIA,5,1,12,2
202425,KREE80306Q,SCUOLA PRIMARIA,1,2,16,18
202425,RMMM847016,SCUOLA SECONDARIA I GRADO,1,4,43,35
202425,BNMM84901X,SCUOLA SECONDARIA I GRADO,1,2,18,15
202425,RIEE817107,SCUOLA PRIMARIA,5,1,3,3
202425,AVEE86701P,SCUOLA PRIMARIA,3,2,6,15
202425,TOPS340002,SCUOLA SECONDARIA II GRADO,4,11,132,83
202425,TPEE81704X,SCUOLA PRIMARIA,3,1,12,7
202425,VIMM82501C,SCUOLA SECONDARIA I GRADO,2,2,17,20
202425,UDEE835026,SCUOLA PRIMARIA,5,1,7,6
202425,FGEE82503L,SCUOLA PRIMARIA,2,2,20,21
202425,TVSL022014,SCUOLA SECONDARIA II GRADO,4,4,21,55
202425,PGEE862029,SCUOLA PRIMARIA,3,1,9,12
202425,LUEE83402E,SCUOLA PRIMARIA,1,1,5,8
202425,RMTD04601Q,SCUOLA SECONDARIA II GRADO,2,3,33,19
202425,MIEE8FG021,SCUOLA PRIMARIA,1,1,12,8
202425,RMSD11001C,SCUOLA SECONDARIA II GRADO,5,2,8,31
202425,LUSL02000X,SCUOLA SECONDARIA II GRADO,4,10,49,138
202425,TOEE8AM03D,SCUOLA PRIMARIA,5,1,2,1
202425,GEEE85103P,SCUOLA PRIMARIA,4,2,23,21
202425,ATTN00601A,SCUOLA SECONDARIA II GRADO,4,1,0,12
202425,ANMM83403B,SCUOLA SECONDARIA I GRADO,2,2,23,19
202425,BNTA01602L,SCUOLA SECONDARIA II GRADO,1,1,9,0
202425,PIEE812032,SCUOLA PRIMARIA,4,1,9,6
202425,PZSD00201X,SCUOLA SECONDARIA II GRADO,5,1,6,9
202425,BGPM00901V,SCUOLA SECONDARIA II GRADO,5,6,14,112
202425,SSRH070511,SCUOLA SECONDARIA II GRADO,3,1,13,19
202425,LCMM810022,SCUOLA SECONDARIA I GRADO,3,1,18,8
202425,MCEE81502Q,SCUOLA PRIMARIA,2,5,49,41
202425,NUEE87901X,SCUOLA PRIMARIA,2,2,13,13
202425,CSPS07901D,SCUOLA SECONDARIA II GRADO,5,7,59,74
202425,RMEE8AY014,SCUOLA PRIMARIA,2,3,39,28
202425,FIEE85101Q,SCUOLA PRIMARIA,1,1,10,12
202425,SASL040008,SCUOLA SECONDARIA II GRADO,4,10,35,191
202425,FGRH100008,SCUOLA SECONDARIA II GRADO,1,7,88,46
202425,GOPS009017,SCUOLA SECONDARIA II GRADO,4,6,68,57
202425,CNEE81702B,SCUOLA PRIMARIA,3,2,13,11
202425,BATD06202E,SCUOLA SECONDARIA II GRADO,2,4,44,29
202425,VEEE834044,SCUOLA PRIMARIA,5,1,5,11
202425,RMEE8F4022,SCUOLA PRIMARIA,3,3,34,31
202425,VAEE82003P,SCUOLA PRIMARIA,2,1,7,16
202425,MIEE82001P,SCUOLA PRIMARIA,4,3,19,34
202425,TOPC033016,SCUOLA SECONDARIA II GRADO,4,9,72,113
202425,CEMM89401V,SCUOLA SECONDARIA I GRADO,1,10,82,89
202425,AGEE848046,SCUOLA PRIMARIA,5,1,11,12
202425,TOEE824012,SCUOLA PRIMARIA,4,2,22,19
202425,NAPM083011,SCUOLA SECONDARIA II GRADO,2,4,10,87
202425,RMMM85801L,SCUOLA SECONDARIA I GRADO,1,7,84,65
202425,SVMM80801A,SCUOLA SECONDARIA I GRADO,3,4,43,54
202425,MIEE8D202L,SCUOLA PRIMARIA,5,3,36,20
202425,CHEE83501R,SCUOLA PRIMARIA,4,1,8,11
202425,CSEE8A301A,SCUOLA PRIMARIA,3,3,33,22
202425,ISEE82608X,SCUOLA PRIMARIA,1,1,6,7
202425,LORC01000Q,SCUOLA SECONDARIA II GRADO,5,5,29,67
202425,VATL019017,SCUOLA SECONDARIA II GRADO,5,1,14,4
202425,RGEE825035,SCUOLA PRIMARIA,2,1,10,15
202425,SSMM800012,SCUOLA SECONDARIA I GRADO,2,2,20,10
202425,CHMM83101C,SCUOLA SECONDARIA I GRADO,2,7,75,91
202425,ANEE82602C,SCUOLA PRIMARIA,3,2,23,17
202425,VIEE843024,SCUOLA PRIMARIA,7,1,13,7
202425,RAMM80401X,SCUOLA SECONDARIA I GRADO,2,5,75,54
202425,LIMM817018,SCUOLA SECONDARIA I GRADO,2,5,60,59
202425,SATF04601D,SCUOLA SECONDARIA II GRADO,3,7,147,8
202425,KRTD01351V,SCUOLA SECONDARIA II GRADO,5,1,3,19
202425,RMMM8CU014,SCUOLA SECONDARIA I GRADO,3,10,112,125
202425,LEPS006014,SCUOLA SECONDARIA II GRADO,5,1,5,8
202425,CAEE8AJ037,SCUOLA PRIMARIA,5,1,7,11
202425,TOEE8AU02C,SCUOLA PRIMARIA,2,1,12,6
202425,CAEE839044,SCUOLA PRIMARIA,2,2,11,20
202425,CNEE863036,SCUOLA PRIMARIA,4,2,17,7
202425,MIEE8FE029,SCUOLA PRIMARIA,4,1,16,9
202425,TPEE816033,SCUOLA PRIMARIA,5,1,6,4
202425,VTMM83101P,SCUOLA SECONDARIA I GRADO,3,7,75,72
202425,TEMM82503A,SCUOLA SECONDARIA I GRADO,2,1,12,8
202425,PVEE81103Q,SCUOLA PRIMARIA,1,1,10,8
202425,FGMM82402P,SCUOLA SECONDARIA I GRADO,3,1,2,3
202425,LETD04901T,SCUOLA SECONDARIA II GRADO,5,5,51,14
202425,FOMM813015,SCUOLA SECONDARIA I GRADO,1,2,23,22
202425,MOEE832016,SCUOLA PRIMARIA,2,3,27,21
202425,MTPS01601E,SCUOLA SECONDARIA II GRADO,3,3,16,28
202425,AQEE026104,SCUOLA PRIMARIA,2,1,3,2
202425,BAEE897025,SCUOLA PRIMARIA,3,3,2,3
202425,MNTE01000B,SCUOLA SECONDARIA II GRADO,3,8,56,108
202425,TPRH033022,SCUOLA SECONDARIA II GRADO,4,8,94,58
202425,MCRI05000P,SCUOLA SECONDARIA II GRADO,2,2,15,14
202425,TOEE888044,SCUOLA PRIMARIA,3,1,15,10
202425,COEE81505G,SCUOLA PRIMARIA,2,2,19,23
202425,BIEE81907V,SCUOLA PRIMARIA,7,1,6,6
202425,GEMM80503X,SCUOLA SECONDARIA I GRADO,2,1,8,9
202425,RMMM8EH01L,SCUOLA SECONDARIA I GRADO,2,8,88,88
202425,VCTD01701A,SCUOLA SECONDARIA II GRADO,1,2,19,14
202425,FESD009011,SCUOLA SECONDARIA II GRADO,3,7,35,126
202425,REEE81606V,SCUOLA PRIMARIA,5,1,5,6
202425,NAEE892027,SCUOLA PRIMARIA,3,1,10,8
202425,ISEE81515T,SCUOLA PRIMARIA,2,2,14,14
202425,MNEE81002N,SCUOLA PRIMARIA,1,2,28,23
202425,RMMM8AT016,SCUOLA SECONDARIA I GRADO,1,4,35,42
202425,RGEE80203C,SCUOLA PRIMARIA,2,1,7,3
202425,SSMM812029,SCUOLA SECONDARIA I GRADO,3,3,28,18
202425,PDEE870056,SCUOLA PRIMARIA,1,1,9,13
202425,NAEE8FF02P,SCUOLA PRIMARIA,1,1,5,7
202425,TOTD04901P,SCUOLA SECONDARIA II GRADO,5,5,66,26
202425,NUMM880024,SCUOLA SECONDARIA I GRADO,2,2,19,10
202425,IMEE81604X,SCUOLA PRIMARIA,4,2,16,13
202425,BATA02452P,SCUOLA SECONDARIA II GRADO,5,1,6,8
202425,CEMM8A701D,SCUOLA SECONDARIA I GRADO,3,4,39,26
202425,LEEE85001N,SCUOLA PRIMARIA,1,3,28,25
202425,CSPS07201P,SCUOLA SECONDARIA II GRADO,2,5,39,50
202425,SVEE80601Q,SCUOLA PRIMARIA,2,2,19,11
202425,NAEE8HJ04V,SCUOLA PRIMARIA,2,2,16,9
202425,RMPC320006,SCUOLA SECONDARIA II GRADO,5,13,61,219
202425,FOEE822022,SCUOLA PRIMARIA,3,2,21,21
202425,PIMM83401Q,SCUOLA SECONDARIA I GRADO,2,6,59,62
202425,RMEE8E6023,SCUOLA PRIMARIA,5,2,17,17
202425,CSMM851069,SCUOLA SECONDARIA I GRADO,1,1,1,2
202425,CEPS02302B,SCUOLA SECONDARIA II GRADO,2,3,36,20
202425,FIPS02701B,SCUOLA SECONDARIA II GRADO,5,7,66,57
202425,CSEE857058,SCUOLA PRIMARIA,1,1,6,6
202425,IMTD00103D,SCUOLA SECONDARIA II GRADO,5,2,17,14
202425,LOEE807032,SCUOLA PRIMARIA,2,1,12,7
202425,PGTL00201B,SCUOLA SECONDARIA II GRADO,2,2,28,5
202425,VRMM83402L,SCUOLA SECONDARIA I GRADO,1,3,30,26
202425,TOEE81901E,SCUOLA PRIMARIA,1,4,35,25
202425,RMMM8BP01D,SCUOLA SECONDARIA I GRADO,1,4,37,39
202425,AQTD00201C,SCUOLA SECONDARIA II GRADO,1,2,24,16
202425,AQPS019012,SCUOLA SECONDARIA II GRADO,2,5,43,58
202425,BREE821011,SCUOLA PRIMARIA,5,3,28,23
202425,PSEE810025,SCUOLA PRIMARIA,3,1,8,4
202425,MIMM8BJ014,SCUOLA SECONDARIA I GRADO,1,7,65,65
202425,FOEE819015,SCUOLA PRIMARIA,5,2,22,23
202425,CSTD01801T,SCUOLA SECONDARIA II GRADO,1,2,15,14
202425,MBEE8EV02C,SCUOLA PRIMARIA,1,1,8,10
202425,TOEE8AR01E,SCUOLA PRIMARIA,5,2,11,13
202425,PAEE83602Q,SCUOLA PRIMARIA,3,5,50,35
202425,LUEE830049,SCUOLA PRIMARIA,1,1,7,9
202425,METD110001,SCUOLA SECONDARIA II GRADO,2,4,30,20
202425,ANPS040005,SCUOLA SECONDARIA II GRADO,2,9,85,97
202425,BAEE809018,SCUOLA PRIMARIA,2,5,58,41
202425,SARH06601A,SCUOLA SECONDARIA II GRADO,2,2,25,8
202425,TOEE8A5017,SCUOLA PRIMARIA,3,5,56,41
202425,BSMM81901B,SCUOLA SECONDARIA I GRADO,3,2,18,21
202425,LCEE80505P,SCUOLA PRIMARIA,2,1,11,6
202425,NAEE88102R,SCUOLA PRIMARIA,4,1,11,10
202425,PEEE81601X,SCUOLA PRIMARIA,5,2,22,20
202425,TPEE843019,SCUOLA PRIMARIA,4,1,14,11
202425,FOEE030055,SCUOLA PRIMARIA,1,1,8,13
202425,LOEE805018,SCUOLA PRIMARIA,2,4,33,41
202425,RERA03050A,SCUOLA SECONDARIA II GRADO,3,1,8,6
202425,CHTD07000B,SCUOLA SECONDARIA II GRADO,3,1,5,7
202425,VREE840032,SCUOLA PRIMARIA,2,1,13,11
202425,MIEE8CA037,SCUOLA PRIMARIA,2,1,5,15
202425,FREE85302R,SCUOLA PRIMARIA,4,1,12,10
202425,CSMM81201D,SCUOLA SECONDARIA I GRADO,3,3,33,19
202425,MEEE89105N,SCUOLA PRIMARIA,5,1,7,1
202425,AREE820018,SCUOLA PRIMARIA,4,1,8,10
202425,TVEE81901V,SCUOLA PRIMARIA,4,2,19,23
202425,APEE827052,SCUOLA PRIMARIA,3,1,6,4
202425,RMMM85301D,SCUOLA SECONDARIA I GRADO,2,6,63,60
202425,BSEE88305X,SCUOLA PRIMARIA,4,2,16,14
202425,VAEE82504V,SCUOLA PRIMARIA,4,1,7,7
202425,CSMM87401R,SCUOLA SECONDARIA I GRADO,3,3,27,24
202425,NUTD10000B,SCUOLA SECONDARIA II GRADO,5,6,36,34
202425,NATE104013,SCUOLA SECONDARIA II GRADO,2,3,15,33
202425,PGTD029011,SCUOLA SECONDARIA II GRADO,1,2,21,18
202425,VEMM825048,SCUOLA SECONDARIA I GRADO,3,2,24,17
202425,PARI00950C,SCUOLA SECONDARIA II GRADO,4,1,9,7
202425,SAMM866024,SCUOLA SECONDARIA I GRADO,3,1,6,9
202425,LEMM881029,SCUOLA SECONDARIA I GRADO,1,1,12,10
202425,FEEE80805A,SCUOLA PRIMARIA,2,2,16,15
202425,TOEE85102B,SCUOLA PRIMARIA,5,2,20,16
202425,PREE812018,SCUOLA PRIMARIA,1,1,12,10
202425,GEEE80701E,SCUOLA PRIMARIA,1,2,19,24
202425,PNEE83202P,SCUOLA PRIMARIA,2,1,12,8
202425,BNEE837071,SCUOLA PRIMARIA,2,1,13,7
202425,PSEE810014,SCUOLA PRIMARIA,5,1,7,6
202425,RMMM8E701R,SCUOLA SECONDARIA I GRADO,1,5,53,39
202425,FGEE89204C,SCUOLA PRIMARIA,3,2,16,20
202425,VREE845079,SCUOLA PRIMARIA,1,1,1,1
202425,CSEE86102R,SCUOLA PRIMARIA,3,1,14,8
202425,CNTA026013,SCUOLA SECONDARIA II GRADO,3,2,24,6
202425,VAEE85601B,SCUOLA PRIMARIA,2,2,24,22
202425,RNEE80701P,SCUOLA PRIMARIA,4,4,48,33
202425,LUEE83502A,SCUOLA PRIMARIA,3,1,6,3
202425,RMMM8AS01A,SCUOLA SECONDARIA I GRADO,1,3,29,34
202425,CLTD016018,SCUOLA SECONDARIA II GRADO,4,4,28,37
202425,SAMM8B501R,SCUOLA SECONDARIA I GRADO,2,3,35,23
202425,RMEE85802P,SCUOLA PRIMARIA,3,1,12,10
202425,CAMM875024,SCUOLA SECONDARIA I GRADO,2,1,1,0
202425,MTMM811041,SCUOLA SECONDARIA I GRADO,1,1,5,8
202425,MIPS08101P,SCUOLA SECONDARIA II GRADO,3,5,28,72
202425,PEEE83301N,SCUOLA PRIMARIA,5,3,39,26
202425,NUEE86204N,SCUOLA PRIMARIA,2,1,6,6
202425,ANMM81501X,SCUOLA SECONDARIA I GRADO,2,3,46,25
202425,RCEE850065,SCUOLA PRIMARIA,1,2,13,20
202425,PGEE04001C,SCUOLA PRIMARIA,2,3,27,30
202425,KRMM82502B,SCUOLA SECONDARIA I GRADO,1,2,22,14
202425,LUEE81803N,SCUOLA PRIMARIA,2,2,23,11
202425,LTTD006016,SCUOLA SECONDARIA II GRADO,1,2,29,11
202425,MIEE8CC04X,SCUOLA PRIMARIA,1,1,7,10
202425,TSEE80402C,SCUOLA PRIMARIA,1,1,7,8
202425,CZEE835024,SCUOLA PRIMARIA,3,2,19,14
202425,BGEE863012,SCUOLA PRIMARIA,5,2,19,23
202425,AGRA027014,SCUOLA SECONDARIA II GRADO,4,1,14,0
202425,TVTN021015,SCUOLA SECONDARIA II GRADO,2,4,14,77
202425,SAEE8AY06X,SCUOLA PRIMARIA,7,1,8,6
202425,TOEE873017,SCUOLA PRIMARIA,5,4,46,31
202425,CNMM80601V,SCUOLA SECONDARIA I GRADO,3,3,33,26
202425,CAEE87703T,SCUOLA PRIMARIA,5,3,26,24
202425,CZEE858128,SCUOLA PRIMARIA,1,1,7,12
202425,RMEE868029,SCUOLA PRIMARIA,2,2,23,17
202425,VEEE826012,SCUOLA PRIMARIA,1,1,8,7
202425,NATH00301L,SCUOLA SECONDARIA II GRADO,1,7,100,8
202425,CNRC00201N,SCUOLA SECONDARIA II GRADO,5,5,18,55
202425,TATF04401V,SCUOLA SECONDARIA II GRADO,2,1,0,9
202425,ALPS00701X,SCUOLA SECONDARIA II GRADO,4,1,12,15
202425,CATH012013,SCUOLA SECONDARIA II GRADO,3,2,18,4
202425,ISEE81517X,SCUOLA PRIMARIA,5,1,9,8
202425,LEEE82201D,SCUOLA PRIMARIA,5,2,21,12
202425,GREE829013,SCUOLA PRIMARIA,3,1,12,10
202425,LIEE81402V,SCUOLA PRIMARIA,3,1,9,11
202425,RMEE8D8024,SCUOLA PRIMARIA,5,3,35,36
202425,CBPC00201A,SCUOLA SECONDARIA II GRADO,2,4,21,63
202425,CRMM80001Q,SCUOLA SECONDARIA I GRADO,1,4,54,47
202425,TPPM03201C,SCUOLA SECONDARIA II GRADO,5,3,14,66
202425,GEEE85804E,SCUOLA PRIMARIA,5,1,3,11
202425,LUEE82102C,SCUOLA PRIMARIA,3,1,4,8
202425,MIEE840032,SCUOLA PRIMARIA,4,3,36,26
202425,CTEE808034,SCUOLA PRIMARIA,2,1,5,8
202425,BAEE842032,SCUOLA PRIMARIA,2,1,11,7
202425,RCPM05001D,SCUOLA SECONDARIA II GRADO,2,1,5,7
202425,PARH04101C,SCUOLA SECONDARIA II GRADO,1,7,77,43
202425,MTMM810012,SCUOLA SECONDARIA I GRADO,2,8,66,80
202425,MIMM86201Q,SCUOLA SECONDARIA I GRADO,3,4,40,40
202425,UDEE849035,SCUOLA PRIMARIA,5,2,18,10
202425,AGEE81001L,SCUOLA PRIMARIA,1,3,33,21
202425,SAEE881016,SCUOLA PRIMARIA,4,1,8,6
202425,TSMM80702V,SCUOLA SECONDARIA I GRADO,1,1,9,10
202425,SREE84102V,SCUOLA PRIMARIA,2,3,34,41
202425,PAMM88801A,SCUOLA SECONDARIA I GRADO,3,5,46,42
202425,BOEE86002D,SCUOLA PRIMARIA,4,1,13,9
202425,FREE828035,SCUOLA PRIMARIA,2,1,9,8
202425,NAPS05000G,SCUOLA SECONDARIA II GRADO,1,10,163,98
202425,CTMM8AK01L,SCUOLA SECONDARIA I GRADO,2,4,35,41
202425,RERI090019,SCUOLA SECONDARIA II GRADO,2,1,9,0
202425,SOEE809042,SCUOLA PRIMARIA,1,1,4,5
202425,RGMM80601L,SCUOLA SECONDARIA I GRADO,2,3,30,29
202425,SAEE86403E,SCUOLA PRIMARIA,5,1,10,7
202425,RMEE8FZ014,SCUOLA PRIMARIA,5,4,42,34
202425,NOEE819057,SCUOLA PRIMARIA,1,1,12,5
202425,MITD012014,SCUOLA SECONDARIA II GRADO,2,7,93,59
202425,AVPS00201C,SCUOLA SECONDARIA II GRADO,5,2,8,14
202425,CEEE8AM024,SCUOLA PRIMARIA,1,1,10,9
202425,RCEE86502P,SCUOLA PRIMARIA,4,4,39,31
202425,PATF030009,SCUOLA SECONDARIA II GRADO,1,14,285,5
202425,TPEE824032,SCUOLA PRIMARIA,1,2,12,11
202425,SSEE84001D,SCUOLA PRIMARIA,4,2,29,19
202425,PRMM839039,SCUOLA SECONDARIA I GRADO,1,1,7,3
202425,BARI013502,SCUOLA SECONDARIA II GRADO,3,1,0,12
202425,RMEE83903A,SCUOLA PRIMARIA,1,1,9,11
202425,PGEE84502G,SCUOLA PRIMARIA,5,1,6,8
202425,PVTD009023,SCUOLA SECONDARIA II GRADO,3,4,24,39
202425,NAPS860005,SCUOLA SECONDARIA II GRADO,3,14,123,176
202425,RMTF350007,SCUOLA SECONDARIA II GRADO,3,5,101,10
202425,PDEE861028,SCUOLA PRIMARIA,4,1,9,8
202425,COEE85502V,SCUOLA PRIMARIA,4,2,22,20
202425,MEEE813018,SCUOLA PRIMARIA,2,2,13,9
202425,RMMM8DW01A,SCUOLA SECONDARIA I GRADO,2,9,90,90
202425,APEE841047,SCUOLA PRIMARIA,3,1,6,7
202425,AREE82304V,SCUOLA PRIMARIA,5,1,11,11
202425,CEMM8AD012,SCUOLA SECONDARIA I GRADO,2,8,71,64
202425,MEPS032038,SCUOLA SECONDARIA II GRADO,4,1,5,2
202425,ALEE82308L,SCUOLA PRIMARIA,4,1,3,1
202425,CSEE81906E,SCUOLA PRIMARIA,3,1,2,1
202425,PGEE841017,SCUOLA PRIMARIA,2,1,6,12
202425,ANPS009016,SCUOLA SECONDARIA II GRADO,4,11,81,141
202425,NOEE82302Q,SCUOLA PRIMARIA,4,2,26,16
202425,ALEE83002D,SCUOLA PRIMARIA,3,1,3,1
202425,CHTD01601Q,SCUOLA SECONDARIA II GRADO,2,7,70,59
202425,SOEE81401A,SCUOLA PRIMARIA,4,2,20,31
202425,NATF05101E,SCUOLA SECONDARIA II GRADO,3,1,20,2
202425,ROEE81401E,SCUOLA PRIMARIA,3,1,7,17
202425,LOEE807043,SCUOLA PRIMARIA,2,1,8,5
202425,VAMM82001G,SCUOLA SECONDARIA I GRADO,3,2,20,21
202425,PDMM86002B,SCUOLA SECONDARIA I GRADO,2,3,44,21
202425,GEEE827061,SCUOLA PRIMARIA,3,1,5,9
202425,ARTD01301D,SCUOLA SECONDARIA II GRADO,5,6,59,50
202425,UDMM83703T,SCUOLA SECONDARIA I GRADO,3,1,9,6
202425,PNMM834018,SCUOLA SECONDARIA I GRADO,3,9,84,95
202425,NOEE833019,SCUOLA PRIMARIA,3,1,1,1
202425,LCMM80901R,SCUOLA SECONDARIA I GRADO,1,4,36,48
202425,OREE82306L,SCUOLA PRIMARIA,5,1,4,4
202425,MITF082512,SCUOLA SECONDARIA II GRADO,1,2,49,8
202425,PIEE81502C,SCUOLA PRIMARIA,3,1,11,10
202425,LEEE860018,SCUOLA PRIMARIA,4,4,35,41
202425,MOEE847021,SCUOLA PRIMARIA,4,1,12,12
202425,RMEE805037,SCUOLA PRIMARIA,1,1,10,2
202425,ANMM850017,SCUOLA SECONDARIA I GRADO,2,6,59,66
202425,BOEE84005B,SCUOLA PRIMARIA,4,1,9,11
202425,RMEE8GF028,SCUOLA PRIMARIA,2,1,12,12
202425,BNEE834039,SCUOLA PRIMARIA,1,1,8,0
202425,BOEE87702V,SCUOLA PRIMARIA,2,3,29,43
202425,COEE838047,SCUOLA PRIMARIA,3,2,21,23
202425,VIEE878012,SCUOLA PRIMARIA,4,3,27,32
202425,GEEE817026,SCUOLA PRIMARIA,4,1,4,7
202425,VCMM81202V,SCUOLA SECONDARIA I GRADO,2,1,7,8
202425,AVPS032018,SCUOLA SECONDARIA II GRADO,2,2,12,13
202425,CLEE82401V,SCUOLA PRIMARIA,5,1,4,7
202425,APEE817017,SCUOLA PRIMARIA,2,2,27,15
202425,MSEE81702Q,SCUOLA PRIMARIA,4,2,21,18
202425,ALMM809012,SCUOLA SECONDARIA I GRADO,1,2,15,13
202425,ROEE808028,SCUOLA PRIMARIA,1,1,7,7
202425,MNRI00801A,SCUOLA SECONDARIA II GRADO,1,2,27,24
202425,CBPS02301E,SCUOLA SECONDARIA II GRADO,4,1,9,11
202425,AQEE829014,SCUOLA PRIMARIA,1,1,2,5
202425,TOEE8B501T,SCUOLA PRIMARIA,4,1,13,5
202425,LOMM80402C,SCUOLA SECONDARIA I GRADO,3,3,29,35
202425,RMEE8CK03G,SCUOLA PRIMARIA,1,3,26,30
202425,PCEE81502X,SCUOLA PRIMARIA,1,1,4,9
202425,NARA063018,SCUOLA SECONDARIA II GRADO,5,2,18,2
202425,NARI08950C,SCUOLA SECONDARIA II GRADO,4,1,2,17
