ANNO_ACCADEMICO;TIPO_ISTITUTO;Area_Istituto;NOME_ISTITUTO;COMUNE_SEDE;COD_ISTITUTO;REGIONE_ISTITUTO;AREA_CORSO;TIPO_CORSO;SCUOLA;CLASSE;CORSO;GENERE;ISCRITTI
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BARI;7238 ;PUGLIA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 2L;SCENOGRAFIA;DASL05;SCENOGRAFIA PER IL CINEMA E LA TELEVISIONE;M;5
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BARI;7238 ;PUGLIA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 2L;SCENOGRAFIA;DASL05;SCENOGRAFIA PER IL TEATRO;M;3
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BARI;7238 ;PUGLIA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 2L;SCENOGRAFIA;DASL05;SCENOGRAFIA PER IL TEATRO;F;10
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BARI;7238 ;PUGLIA;Ricerca - ambito artistico;AFAM_Dottorato di Ricerca;DISCIPLINE ARTISTICHE;Dottorato;VALORIZZAZIONE ARTISTICA DEL TEATRO MUSICALE;F;1
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BARI;7238 ;PUGLIA;Ricerca - ambito artistico;AFAM_Dottorato di Ricerca;DISCIPLINE ARTISTICHE;Dottorato;VALORIZZAZIONE ARTISTICA DEL TEATRO MUSICALE;M;2
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BARI;7238 ;PUGLIA;Ricerca - ambito artistico;AFAM_Dottorato di Ricerca;DISCIPLINE ARTISTICHE;Dottorato;VALORIZZAZIONE E RIGENERAZIONE CREATIVA DEI BENI CULTURALI;F;3
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BOLOGNA;7195 ;EMILIA ROMAGNA;Arti visive;AFAM_Corso Diploma accademico 1L;DECORAZIONE;DAPL03;DECORAZIONE - Arte e Ambiente;F;112
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BOLOGNA;7195 ;EMILIA ROMAGNA;Arti visive;AFAM_Corso Diploma accademico 1L;DECORAZIONE;DAPL03;DECORAZIONE - Arte e Ambiente;M;27
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BOLOGNA;7195 ;EMILIA ROMAGNA;Arti visive;AFAM_Corso Diploma accademico 1L;GRAFICA;DAPL04;GRAFICA D'ARTE;F;65
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BOLOGNA;7195 ;EMILIA ROMAGNA;Arti visive;AFAM_Corso Diploma accademico 1L;GRAFICA;DAPL04;GRAFICA D'ARTE;M;18
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BOLOGNA;7195 ;EMILIA ROMAGNA;Arti visive;AFAM_Corso Diploma accademico 1L;PITTURA;DAPL01;PITTURA;F;205
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BOLOGNA;7195 ;EMILIA ROMAGNA;Arti visive;AFAM_Corso Diploma accademico 1L;PITTURA;DAPL01;PITTURA;M;74
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BOLOGNA;7195 ;EMILIA ROMAGNA;Arti visive;AFAM_Corso Diploma accademico 1L;SCULTURA;DAPL02;SCULTURA;F;54
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BOLOGNA;7195 ;EMILIA ROMAGNA;Arti visive;AFAM_Corso Diploma accademico 1L;SCULTURA;DAPL02;SCULTURA;M;17
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BOLOGNA;7195 ;EMILIA ROMAGNA;Arti visive;AFAM_Corso Diploma accademico 2L;DECORAZIONE;DASL03;DECORAZIONE PER L'ARCHITETTURA;F;37
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BOLOGNA;7195 ;EMILIA ROMAGNA;Arti visive;AFAM_Corso Diploma accademico 2L;DECORAZIONE;DASL03;DECORAZIONE PER L'ARCHITETTURA;M;12
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BOLOGNA;7195 ;EMILIA ROMAGNA;Arti visive;AFAM_Corso Diploma accademico 2L;GRAFICA;DASL04;GRAFICA D'ARTE;M;10
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BOLOGNA;7195 ;EMILIA ROMAGNA;Arti visive;AFAM_Corso Diploma accademico 2L;GRAFICA;DASL04;GRAFICA D'ARTE;F;59
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BOLOGNA;7195 ;EMILIA ROMAGNA;Arti visive;AFAM_Corso Diploma accademico 2L;PITTURA;DASL01;PITTURA - Arti visive;F;85
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BOLOGNA;7195 ;EMILIA ROMAGNA;Arti visive;AFAM_Corso Diploma accademico 2L;PITTURA;DASL01;PITTURA - Arti visive;M;44
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BOLOGNA;7195 ;EMILIA ROMAGNA;Arti visive;AFAM_Corso Diploma accademico 2L;SCULTURA;DASL02;SCULTURA;F;27
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BOLOGNA;7195 ;EMILIA ROMAGNA;Arti visive;AFAM_Corso Diploma accademico 2L;SCULTURA;DASL02;SCULTURA;M;24
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BOLOGNA;7195 ;EMILIA ROMAGNA;Comunicazione e didattica dell'arte;AFAM_Corso Diploma accademico 1L;DIDATTICA DELL'ARTE;DAPL10;DIDATTICA E COMUNICAZIONE DELL'ARTE;F;88
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BOLOGNA;7195 ;EMILIA ROMAGNA;Comunicazione e didattica dell'arte;AFAM_Corso Diploma accademico 1L;DIDATTICA DELL'ARTE;DAPL10;DIDATTICA E COMUNICAZIONE DELL'ARTE;M;17
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BOLOGNA;7195 ;EMILIA ROMAGNA;Comunicazione e didattica dell'arte;AFAM_Corso Diploma accademico 2L;DIDATTICA DELL'ARTE;DASL10;DIDATTICA DELL'ARTE E MEDIAZIONE CULTURALE DEL PATRIMONIO ARTISTICO;F;77
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BOLOGNA;7195 ;EMILIA ROMAGNA;Comunicazione e didattica dell'arte;AFAM_Corso Diploma accademico 2L;DIDATTICA DELL'ARTE;DASL10;DIDATTICA DELL'ARTE E MEDIAZIONE CULTURALE DEL PATRIMONIO ARTISTICO;M;6
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BOLOGNA;7195 ;EMILIA ROMAGNA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 1L;CINEMA, FOTOGRAFIA, AUDIOVISIVO;DAPL11;LINGUAGGI DEL CINEMA E DELL'AUDIOVISIVO;F;41
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BOLOGNA;7195 ;EMILIA ROMAGNA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 1L;CINEMA, FOTOGRAFIA, AUDIOVISIVO;DAPL11;LINGUAGGI DEL CINEMA E DELL'AUDIOVISIVO;M;38
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BOLOGNA;7195 ;EMILIA ROMAGNA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 1L;PROGETTAZIONE ARTISTICA PER L'IMPRESA;DAPL06;DESIGN DEL PRODOTTO;F;58
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BOLOGNA;7195 ;EMILIA ROMAGNA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 1L;PROGETTAZIONE ARTISTICA PER L'IMPRESA;DAPL06;DESIGN DEL PRODOTTO;M;38
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BOLOGNA;7195 ;EMILIA ROMAGNA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 1L;PROGETTAZIONE ARTISTICA PER L'IMPRESA;DAPL06;DESIGN GRAFICO;F;61
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BOLOGNA;7195 ;EMILIA ROMAGNA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 1L;PROGETTAZIONE ARTISTICA PER L'IMPRESA;DAPL06;DESIGN GRAFICO;M;36
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BOLOGNA;7195 ;EMILIA ROMAGNA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 1L;PROGETTAZIONE ARTISTICA PER L'IMPRESA;DAPL06;FASHION DESIGN;F;85
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BOLOGNA;7195 ;EMILIA ROMAGNA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 1L;PROGETTAZIONE ARTISTICA PER L'IMPRESA;DAPL06;FASHION DESIGN;M;21
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BOLOGNA;7195 ;EMILIA ROMAGNA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 1L;PROGETTAZIONE ARTISTICA PER L'IMPRESA;DAPL06;FUMETTO E ILLUSTRAZIONE;F;108
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BOLOGNA;7195 ;EMILIA ROMAGNA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 1L;PROGETTAZIONE ARTISTICA PER L'IMPRESA;DAPL06;FUMETTO E ILLUSTRAZIONE;M;80
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BOLOGNA;7195 ;EMILIA ROMAGNA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 1L;SCENOGRAFIA;DAPL05;SCENOGRAFIA;M;26
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BOLOGNA;7195 ;EMILIA ROMAGNA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 1L;SCENOGRAFIA;DAPL05;SCENOGRAFIA;F;75
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BOLOGNA;7195 ;EMILIA ROMAGNA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 2L;CINEMA, FOTOGRAFIA, AUDIOVISIVO;DASL11;CINEMA E ANIMAZIONE SPERIMENTALE;F;4
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BOLOGNA;7195 ;EMILIA ROMAGNA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 2L;CINEMA, FOTOGRAFIA, AUDIOVISIVO;DASL11;CINEMA E ANIMAZIONE SPERIMENTALE;M;1
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BOLOGNA;7195 ;EMILIA ROMAGNA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 2L;PROGETTAZIONE ARTISTICA PER L'IMPRESA;DASL06;FASHION DESIGN;F;42
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BOLOGNA;7195 ;EMILIA ROMAGNA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 2L;PROGETTAZIONE ARTISTICA PER L'IMPRESA;DASL06;FASHION DESIGN;M;10
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BOLOGNA;7195 ;EMILIA ROMAGNA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 2L;PROGETTAZIONE ARTISTICA PER L'IMPRESA;DASL06;FOTOGRAFIA;M;17
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BOLOGNA;7195 ;EMILIA ROMAGNA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 2L;PROGETTAZIONE ARTISTICA PER L'IMPRESA;DASL06;FOTOGRAFIA;F;36
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BOLOGNA;7195 ;EMILIA ROMAGNA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 2L;PROGETTAZIONE ARTISTICA PER L'IMPRESA;DASL06;GRAPHIC, INTERACTION E VIDEOGAME DESIGN;M;8
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BOLOGNA;7195 ;EMILIA ROMAGNA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 2L;PROGETTAZIONE ARTISTICA PER L'IMPRESA;DASL06;GRAPHIC, INTERACTION E VIDEOGAME DESIGN;F;6
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BOLOGNA;7195 ;EMILIA ROMAGNA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 2L;PROGETTAZIONE ARTISTICA PER L'IMPRESA;DASL06;ILLUSTRAZIONE PER L'EDITORIA;F;79
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BOLOGNA;7195 ;EMILIA ROMAGNA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 2L;PROGETTAZIONE ARTISTICA PER L'IMPRESA;DASL06;ILLUSTRAZIONE PER L'EDITORIA;M;10
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BOLOGNA;7195 ;EMILIA ROMAGNA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 2L;PROGETTAZIONE ARTISTICA PER L'IMPRESA;DASL06;LINGUAGGI DEL FUMETTO;F;58
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BOLOGNA;7195 ;EMILIA ROMAGNA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 2L;PROGETTAZIONE ARTISTICA PER L'IMPRESA;DASL06;LINGUAGGI DEL FUMETTO;M;33
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BOLOGNA;7195 ;EMILIA ROMAGNA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 2L;SCENOGRAFIA;DASL05;SCENOGRAFIA DEL TEATRO DELL'OPERA E SPETTACOLO MUSICALE;M;10
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BOLOGNA;7195 ;EMILIA ROMAGNA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 2L;SCENOGRAFIA;DASL05;SCENOGRAFIA DEL TEATRO DELL'OPERA E SPETTACOLO MUSICALE;F;15
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BOLOGNA;7195 ;EMILIA ROMAGNA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 2L;SCENOGRAFIA;DASL05;SCENOGRAFIA E ALLESTIMENTI DEGLI SPAZI ESPOSITIVI E MUSEALI;F;36
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BOLOGNA;7195 ;EMILIA ROMAGNA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 2L;SCENOGRAFIA;DASL05;SCENOGRAFIA E ALLESTIMENTI DEGLI SPAZI ESPOSITIVI E MUSEALI;M;5
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BOLOGNA;7195 ;EMILIA ROMAGNA;Progettazione e arti applicate;AFAM_Corso Diploma accademico a ciclo unico quinquennale abilitante_2L;RESTAURO;DASLQ01;RESTAURO - ciclo unico abilitante;F;76
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BOLOGNA;7195 ;EMILIA ROMAGNA;Progettazione e arti applicate;AFAM_Corso Diploma accademico a ciclo unico quinquennale abilitante_2L;RESTAURO;DASLQ01;RESTAURO - ciclo unico abilitante;M;6
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BOLOGNA;7195 ;EMILIA ROMAGNA;Ricerca - ambito artistico;AFAM_Dottorato di Ricerca;DISCIPLINE ARTISTICHE;Dottorato;ARTE, EDUCAZIONE E MULTIMEDIALITÀ;F;2
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BOLOGNA;7195 ;EMILIA ROMAGNA;Ricerca - ambito artistico;AFAM_Dottorato di Ricerca;DISCIPLINE ARTISTICHE;Dottorato;LA SALVAGUARDIA DEL PATRIMONIO CULTURALE NELL’ERA DELLA TRANSIZIONE;F;2
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BOLOGNA;7195 ;EMILIA ROMAGNA;Ricerca - ambito artistico;AFAM_Dottorato di Ricerca;DISCIPLINE ARTISTICHE;Dottorato;LINGUAGGI, MATERIALI, PROCESSI E SOSTENIBILITÀ NELLA PRODUZIONE ARTISTICA CONTEMPORANEA;F;2
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BOLOGNA;7195 ;EMILIA ROMAGNA;Ricerca - ambito artistico;AFAM_Dottorato di Ricerca;DISCIPLINE ARTISTICHE;Dottorato;LINGUAGGI, MATERIALI, PROCESSI E SOSTENIBILITÀ NELLA PRODUZIONE ARTISTICA CONTEMPORANEA;M;1
2024-2025;Accademia di Belle Arti statale;Area Artistica;;CARRARA;7213 ;TOSCANA;Arti visive;AFAM_Corso Diploma accademico 1L;DECORAZIONE;DAPL03;DECORAZIONE;F;10
2024-2025;Accademia di Belle Arti statale;Area Artistica;;CARRARA;7213 ;TOSCANA;Arti visive;AFAM_Corso Diploma accademico 1L;DECORAZIONE;DAPL03;DECORAZIONE;M;5
2024-2025;Accademia di Belle Arti statale;Area Artistica;;CARRARA;7213 ;TOSCANA;Arti visive;AFAM_Corso Diploma accademico 1L;DECORAZIONE;DAPL03;DECORAZIONE - Arti per l'ambiente;F;21
2024-2025;Accademia di Belle Arti statale;Area Artistica;;CARRARA;7213 ;TOSCANA;Arti visive;AFAM_Corso Diploma accademico 1L;DECORAZIONE;DAPL03;DECORAZIONE - Arti per l'ambiente;M;8
2024-2025;Accademia di Belle Arti statale;Area Artistica;;CARRARA;7213 ;TOSCANA;Arti visive;AFAM_Corso Diploma accademico 1L;GRAFICA;DAPL04;GRAFICA D'ARTE;F;46
2024-2025;Accademia di Belle Arti statale;Area Artistica;;CARRARA;7213 ;TOSCANA;Arti visive;AFAM_Corso Diploma accademico 1L;GRAFICA;DAPL04;GRAFICA D'ARTE;M;15
