freq,territorio,ind_type,measure,tipo_ateneo,sesso,tipcorsolaurea,grup_corsilaurea,time_period,obs_value,year
A,IT,GRAD,9,1,1,LS,99,2014,34315,2014
A,IT,GRAD,9,1,1,LS,99,2015,34911,2015
A,IT,GRAD,9,1,1,LS,99,2016,35858,2016
A,IT,GRAD,9,1,1,LS,99,2017,36799,2017
A,IT,GRAD,9,1,1,LS,99,2018,38868,2018
A,IT,GRAD,9,1,1,LS,99,2019,41206,2019
A,IT,GRAD,9,1,1,LS,99,2020,41632,2020
A,IT,GRAD,9,1,1,LS,99,2021,44656,2021
A,IT,GRAD,9,1,1,LS,99,2022,43370,2022
A,IT,GRAD,9,1,1,LSCU,99,2010,7471,2010
A,IT,GRAD,9,1,1,LSCU,99,2011,8632,2011
A,IT,GRAD,9,1,1,LSCU,99,2012,9816,2012
A,IT,GRAD,9,1,1,LSCU,99,2013,10582,2013
A,IT,GRAD,9,1,1,LSCU,99,2014,10546,2014
A,IT,GRAD,9,1,1,LSCU,99,2015,12680,2015
A,IT,GRAD,9,1,1,LSCU,99,2016,13075,2016
A,IT,GRAD,9,1,1,LSCU,99,2017,13250,2017
A,IT,GRAD,9,1,1,LSCU,99,2018,13213,2018
A,IT,GRAD,9,1,1,LSCU,99,2019,12643,2019
A,IT,GRAD,9,1,1,LSCU,99,2020,12249,2020
A,IT,GRAD,9,1,1,LSCU,99,2021,11222,2021
A,IT,GRAD,9,1,1,LSCU,99,2022,10086,2022
A,IT,GRAD,9,1,2,9999,99,2010,153429,2010
A,IT,GRAD,9,1,2,9999,99,2011,159105,2011
A,IT,GRAD,9,1,2,9999,99,2012,162251,2012
A,IT,GRAD,9,1,2,9999,99,2013,164456,2013
A,IT,GRAD,9,1,2,9999,99,2014,163605,2014
A,IT,GRAD,9,1,2,9999,99,2015,159922,2015
A,IT,GRAD,9,1,2,9999,99,2016,161437,2016
A,IT,GRAD,9,1,2,9999,99,2017,162330,2017
A,IT,GRAD,9,1,2,9999,99,2018,163795,2018
A,IT,GRAD,9,1,2,9999,99,2019,169328,2019
A,IT,GRAD,9,1,2,9999,99,2020,168718,2020
A,IT,GRAD,9,1,2,9999,99,2021,175144,2021
A,IT,GRAD,9,1,2,9999,99,2022,165889,2022
A,IT,GRAD,9,1,2,CDL,99,2010,11405,2010
A,IT,GRAD,9,1,2,CDL,99,2011,10159,2011
A,IT,GRAD,9,1,2,CDL,99,2012,8211,2012
A,IT,GRAD,9,1,2,CDL,99,2013,6809,2013
A,IT,GRAD,9,1,2,CDL,99,2014,6240,2014
A,IT,GRAD,9,1,2,L,99,2010,86911,2010
A,IT,GRAD,9,1,2,L,99,2011,89684,2011
A,IT,GRAD,9,1,2,L,99,2012,92159,2012
A,IT,GRAD,9,1,2,L,99,2013,94466,2013
A,IT,GRAD,9,1,2,L,99,2014,93490,2014
A,IT,GRAD,9,1,2,L,99,2015,91506,2015
A,IT,GRAD,9,1,2,L,99,2016,91843,2016
A,IT,GRAD,9,1,2,L,99,2017,91996,2017
A,IT,GRAD,9,1,2,L,99,2018,92995,2018
A,IT,GRAD,9,1,2,L,99,2019,96452,2019
A,IT,GRAD,9,1,2,L,99,2020,95356,2020
A,IT,GRAD,9,1,2,L,99,2021,98773,2021
A,IT,GRAD,9,1,2,L,99,2022,91056,2022
A,IT,GRAD,9,1,2,LS,99,2010,41836,2010
A,IT,GRAD,9,1,2,LS,99,2011,44744,2011
A,IT,GRAD,9,1,2,LS,99,2012,45568,2012
A,IT,GRAD,9,1,2,LS,99,2013,45439,2013
A,IT,GRAD,9,1,2,LS,99,2014,45547,2014
A,IT,GRAD,9,1,2,LS,99,2015,45153,2015
A,IT,GRAD,9,1,2,LS,99,2016,46111,2016
A,IT,GRAD,9,1,2,LS,99,2017,46509,2017
A,IT,GRAD,9,1,2,LS,99,2018,46967,2018
A,IT,GRAD,9,1,2,LS,99,2019,49485,2019
A,IT,GRAD,9,1,2,LS,99,2020,50347,2020
A,IT,GRAD,9,1,2,LS,99,2021,53884,2021
A,IT,GRAD,9,1,2,LS,99,2022,53904,2022
A,IT,GRAD,9,1,2,LSCU,99,2010,13277,2010
A,IT,GRAD,9,1,2,LSCU,99,2011,14518,2011
A,IT,GRAD,9,1,2,LSCU,99,2012,16313,2012
A,IT,GRAD,9,1,2,LSCU,99,2013,17742,2013
A,IT,GRAD,9,1,2,LSCU,99,2014,18328,2014
A,IT,GRAD,9,1,2,LSCU,99,2015,23263,2015
A,IT,GRAD,9,1,2,LSCU,99,2016,23483,2016
A,IT,GRAD,9,1,2,LSCU,99,2017,23825,2017
A,IT,GRAD,9,1,2,LSCU,99,2018,23833,2018
A,IT,GRAD,9,1,2,LSCU,99,2019,23391,2019
A,IT,GRAD,9,1,2,LSCU,99,2020,23015,2020
A,IT,GRAD,9,1,2,LSCU,99,2021,22487,2021
A,IT,GRAD,9,1,2,LSCU,99,2022,20929,2022
A,IT,GRAD,9,1,9,9999,99,2010,261203,2010
A,IT,GRAD,9,1,9,9999,99,2011,268753,2011
A,IT,GRAD,9,1,9,9999,99,2012,273727,2012
A,IT,GRAD,9,1,9,9999,99,2013,277305,2013
A,IT,GRAD,9,1,9,9999,99,2014,275900,2014
A,IT,GRAD,9,1,9,9999,99,2015,272915,2015
A,IT,GRAD,9,1,9,9999,99,2016,277996,2016
A,IT,GRAD,9,1,9,9999,99,2017,280460,2017
A,IT,GRAD,9,1,9,9999,99,2018,285329,2018
A,IT,GRAD,9,1,9,9999,99,2019,295904,2019
A,IT,GRAD,9,1,9,9999,99,2020,294787,2020
A,IT,GRAD,9,1,9,9999,99,2021,302512,2021
A,IT,GRAD,9,1,9,9999,99,2022,285623,2022
A,IT,GRAD,9,1,9,CDL,99,2010,17513,2010
A,IT,GRAD,9,1,9,CDL,99,2011,14584,2011
A,IT,GRAD,9,1,9,CDL,99,2012,11302,2012
A,IT,GRAD,9,1,9,CDL,99,2013,9007,2013
A,IT,GRAD,9,1,9,CDL,99,2014,7843,2014
A,IT,GRAD,9,1,9,L,99,2010,149800,2010
A,IT,GRAD,9,1,9,L,99,2011,152521,2011
A,IT,GRAD,9,1,9,L,99,2012,156534,2012
A,IT,GRAD,9,1,9,L,99,2013,160267,2013
A,IT,GRAD,9,1,9,L,99,2014,159321,2014
A,IT,GRAD,9,1,9,L,99,2015,156908,2015
A,IT,GRAD,9,1,9,L,99,2016,159469,2016
A,IT,GRAD,9,1,9,L,99,2017,160077,2017
A,IT,GRAD,9,1,9,L,99,2018,162448,2018
A,IT,GRAD,9,1,9,L,99,2019,169179,2019
A,IT,GRAD,9,1,9,L,99,2020,167544,2020
A,IT,GRAD,9,1,9,L,99,2021,170263,2021
A,IT,GRAD,9,1,9,L,99,2022,157334,2022
A,IT,GRAD,9,1,9,LS,99,2010,73142,2010
A,IT,GRAD,9,1,9,LS,99,2011,78498,2011
A,IT,GRAD,9,1,9,LS,99,2012,79762,2012
A,IT,GRAD,9,1,9,LS,99,2013,79707,2013
A,IT,GRAD,9,1,9,LS,99,2014,79862,2014
A,IT,GRAD,9,1,9,LS,99,2015,80064,2015
A,IT,GRAD,9,1,9,LS,99,2016,81969,2016
A,IT,GRAD,9,1,9,LS,99,2017,83308,2017
A,IT,GRAD,9,1,9,LS,99,2018,85835,2018
A,IT,GRAD,9,1,9,LS,99,2019,90691,2019
A,IT,GRAD,9,1,9,LS,99,2020,91979,2020
A,IT,GRAD,9,1,9,LS,99,2021,98540,2021
A,IT,GRAD,9,1,9,LS,99,2022,97274,2022
A,IT,GRAD,9,1,9,LSCU,99,2010,20748,2010
A,IT,GRAD,9,1,9,LSCU,99,2011,23150,2011
A,IT,GRAD,9,1,9,LSCU,99,2012,26129,2012
A,IT,GRAD,9,1,9,LSCU,99,2013,28324,2013
A,IT,GRAD,9,1,9,LSCU,99,2014,28874,2014
A,IT,GRAD,9,1,9,LSCU,99,2015,35943,2015
A,IT,GRAD,9,1,9,LSCU,99,2016,36558,2016
A,IT,GRAD,9,1,9,LSCU,99,2017,37075,2017
A,IT,GRAD,9,1,9,LSCU,99,2018,37046,2018
A,IT,GRAD,9,1,9,LSCU,99,2019,36034,2019
A,IT,GRAD,9,1,9,LSCU,99,2020,35264,2020
A,IT,GRAD,9,1,9,LSCU,99,2021,33709,2021
A,IT,GRAD,9,1,9,LSCU,99,2022,31015,2022
A,IT,GRAD,9,2,1,9999,99,2010,10219,2010
A,IT,GRAD,9,2,1,9999,99,2011,12293,2011
A,IT,GRAD,9,2,1,9999,99,2012,12352,2012
A,IT,GRAD,9,2,1,9999,99,2013,13168,2013
A,IT,GRAD,9,2,1,9999,99,2014,13705,2014
A,IT,GRAD,9,2,1,9999,99,2015,14051,2015
A,IT,GRAD,9,2,1,9999,99,2016,14876,2016
A,IT,GRAD,9,2,1,9999,99,2017,16512,2017
A,IT,GRAD,9,2,1,9999,99,2018,19159,2018
A,IT,GRAD,9,2,1,9999,99,2019,20198,2019
A,IT,GRAD,9,2,1,9999,99,2020,24897,2020
A,IT,GRAD,9,2,1,9999,99,2021,32058,2021
A,IT,GRAD,9,2,1,9999,99,2022,36802,2022
A,IT,GRAD,9,2,1,CDL,99,2010,186,2010
A,IT,GRAD,9,2,1,CDL,99,2011,163,2011
A,IT,GRAD,9,2,1,CDL,99,2012,104,2012
A,IT,GRAD,9,2,1,CDL,99,2013,77,2013
A,IT,GRAD,9,2,1,CDL,99,2014,52,2014
A,IT,GRAD,9,2,1,L,99,2010,5863,2010
A,IT,GRAD,9,2,1,L,99,2011,6797,2011
A,IT,GRAD,9,2,1,L,99,2012,6661,2012
A,IT,GRAD,9,2,1,L,99,2013,7397,2013
A,IT,GRAD,9,2,1,L,99,2014,7645,2014
A,IT,GRAD,9,2,1,L,99,2015,8045,2015
A,IT,GRAD,9,2,1,L,99,2016,7913,2016
A,IT,GRAD,9,2,1,L,99,2017,8946,2017
A,IT,GRAD,9,2,1,L,99,2018,10921,2018
A,IT,GRAD,9,2,1,L,99,2019,11468,2019
A,IT,GRAD,9,2,1,L,99,2020,14738,2020
A,IT,GRAD,9,2,1,L,99,2021,18712,2021
A,IT,GRAD,9,2,1,L,99,2022,21385,2022
A,IT,GRAD,9,2,1,LS,99,2010,3165,2010
A,IT,GRAD,9,2,1,LS,99,2011,3157,2011
A,IT,GRAD,9,2,1,LS,99,2012,3239,2012
A,IT,GRAD,9,2,1,LS,99,2013,3509,2013
A,IT,GRAD,9,2,1,LS,99,2014,3562,2014
A,IT,GRAD,9,2,1,LS,99,2015,3661,2015
A,IT,GRAD,9,2,1,LS,99,2016,4324,2016
A,IT,GRAD,9,2,1,LS,99,2017,5003,2017
A,IT,GRAD,9,2,1,LS,99,2018,5769,2018
A,IT,GRAD,9,2,1,LS,99,2019,6560,2019
A,IT,GRAD,9,2,1,LS,99,2020,7751,2020
A,IT,GRAD,9,2,1,LS,99,2021,10222,2021
A,IT,GRAD,9,2,1,LS,99,2022,12062,2022
A,IT,GRAD,9,2,1,LSCU,99,2010,1005,2010
A,IT,GRAD,9,2,1,LSCU,99,2011,2176,2011
A,IT,GRAD,9,2,1,LSCU,99,2012,2348,2012
A,IT,GRAD,9,2,1,LSCU,99,2013,2185,2013
A,IT,GRAD,9,2,1,LSCU,99,2014,2446,2014
A,IT,GRAD,9,2,1,LSCU,99,2015,2345,2015
A,IT,GRAD,9,2,1,LSCU,99,2016,2639,2016
A,IT,GRAD,9,2,1,LSCU,99,2017,2563,2017
A,IT,GRAD,9,2,1,LSCU,99,2018,2469,2018
A,IT,GRAD,9,2,1,LSCU,99,2019,2170,2019
A,IT,GRAD,9,2,1,LSCU,99,2020,2408,2020
A,IT,GRAD,9,2,1,LSCU,99,2021,3124,2021
A,IT,GRAD,9,2,1,LSCU,99,2022,3355,2022
A,IT,GRAD,9,2,2,9999,99,2010,14794,2010
A,IT,GRAD,9,2,2,9999,99,2011,15828,2011
A,IT,GRAD,9,2,2,9999,99,2012,16803,2012
A,IT,GRAD,9,2,2,9999,99,2013,17571,2013
A,IT,GRAD,9,2,2,9999,99,2014,18466,2014
A,IT,GRAD,9,2,2,9999,99,2015,18059,2015
A,IT,GRAD,9,2,2,9999,99,2016,19000,2016
A,IT,GRAD,9,2,2,9999,99,2017,21147,2017
A,IT,GRAD,9,2,2,9999,99,2018,23042,2018
A,IT,GRAD,9,2,2,9999,99,2019,24198,2019
A,IT,GRAD,9,2,2,9999,99,2020,29822,2020
A,IT,GRAD,9,2,2,9999,99,2021,37600,2021
A,IT,GRAD,9,2,2,9999,99,2022,43769,2022
A,IT,GRAD,9,2,2,CDL,99,2010,1009,2010
A,IT,GRAD,9,2,2,CDL,99,2011,1034,2011
A,IT,GRAD,9,2,2,CDL,99,2012,935,2012
A,IT,GRAD,9,2,2,CDL,99,2013,848,2013
A,IT,GRAD,9,2,2,CDL,99,2014,962,2014
A,IT,GRAD,9,2,2,L,99,2010,8437,2010
A,IT,GRAD,9,2,2,L,99,2011,8929,2011
A,IT,GRAD,9,2,2,L,99,2012,9473,2012
A,IT,GRAD,9,2,2,L,99,2013,10007,2013
A,IT,GRAD,9,2,2,L,99,2014,10342,2014
A,IT,GRAD,9,2,2,L,99,2015,10209,2015
A,IT,GRAD,9,2,2,L,99,2016,10351,2016
A,IT,GRAD,9,2,2,L,99,2017,11382,2017
A,IT,GRAD,9,2,2,L,99,2018,12605,2018
A,IT,GRAD,9,2,2,L,99,2019,12669,2019
A,IT,GRAD,9,2,2,L,99,2020,15899,2020
A,IT,GRAD,9,2,2,L,99,2021,20041,2021
A,IT,GRAD,9,2,2,L,99,2022,22385,2022
A,IT,GRAD,9,2,2,LS,99,2010,4317,2010
A,IT,GRAD,9,2,2,LS,99,2011,4531,2011
A,IT,GRAD,9,2,2,LS,99,2012,4908,2012
A,IT,GRAD,9,2,2,LS,99,2013,5003,2013
A,IT,GRAD,9,2,2,LS,99,2014,5182,2014
A,IT,GRAD,9,2,2,LS,99,2015,5390,2015
A,IT,GRAD,9,2,2,LS,99,2016,5902,2016
A,IT,GRAD,9,2,2,LS,99,2017,6769,2017
A,IT,GRAD,9,2,2,LS,99,2018,7357,2018
A,IT,GRAD,9,2,2,LS,99,2019,8507,2019
A,IT,GRAD,9,2,2,LS,99,2020,10450,2020
A,IT,GRAD,9,2,2,LS,99,2021,13700,2021
A,IT,GRAD,9,2,2,LS,99,2022,17262,2022
A,IT,GRAD,9,2,2,LSCU,99,2010,1031,2010
A,IT,GRAD,9,2,2,LSCU,99,2011,1334,2011
A,IT,GRAD,9,2,2,LSCU,99,2012,1487,2012
A,IT,GRAD,9,2,2,LSCU,99,2013,1713,2013
A,IT,GRAD,9,2,2,LSCU,99,2014,1980,2014
A,IT,GRAD,9,2,2,LSCU,99,2015,2460,2015
A,IT,GRAD,9,2,2,LSCU,99,2016,2747,2016
A,IT,GRAD,9,2,2,LSCU,99,2017,2996,2017
A,IT,GRAD,9,2,2,LSCU,99,2018,3080,2018
A,IT,GRAD,9,2,2,LSCU,99,2019,3022,2019
A,IT,GRAD,9,2,2,LSCU,99,2020,3473,2020
A,IT,GRAD,9,2,2,LSCU,99,2021,3859,2021
A,IT,GRAD,9,2,2,LSCU,99,2022,4122,2022
A,IT,GRAD,9,2,9,9999,99,2010,25013,2010
A,IT,GRAD,9,2,9,9999,99,2011,28121,2011
A,IT,GRAD,9,2,9,9999,99,2012,29155,2012
A,IT,GRAD,9,2,9,9999,99,2013,30739,2013
A,IT,GRAD,9,2,9,9999,99,2014,32171,2014
A,IT,GRAD,9,2,9,9999,99,2015,32110,2015
A,IT,GRAD,9,2,9,9999,99,2016,33876,2016
A,IT,GRAD,9,2,9,9999,99,2017,37659,2017
A,IT,GRAD,9,2,9,9999,99,2018,42201,2018
A,IT,GRAD,9,2,9,9999,99,2019,44396,2019
A,IT,GRAD,9,2,9,9999,99,2020,54719,2020
A,IT,GRAD,9,2,9,9999,99,2021,69658,2021
A,IT,GRAD,9,2,9,9999,99,2022,80571,2022
A,IT,GRAD,9,2,9,CDL,99,2010,1195,2010
A,IT,GRAD,9,2,9,CDL,99,2011,1197,2011
A,IT,GRAD,9,2,9,CDL,99,2012,1039,2012
A,IT,GRAD,9,2,9,CDL,99,2013,925,2013
A,IT,GRAD,9,2,9,CDL,99,2014,1014,2014
A,IT,GRAD,9,2,9,L,99,2010,14300,2010
A,IT,GRAD,9,2,9,L,99,2011,15726,2011
A,IT,GRAD,9,2,9,L,99,2012,16134,2012
A,IT,GRAD,9,2,9,L,99,2013,17404,2013
A,IT,GRAD,9,2,9,L,99,2014,17987,2014
A,IT,GRAD,9,2,9,L,99,2015,18254,2015
A,IT,GRAD,9,2,9,L,99,2016,18264,2016
A,IT,GRAD,9,2,9,L,99,2017,20328,2017
A,IT,GRAD,9,2,9,L,99,2018,23526,2018
A,IT,GRAD,9,2,9,L,99,2019,24137,2019
A,IT,GRAD,9,2,9,L,99,2020,30637,2020
A,IT,GRAD,9,2,9,L,99,2021,38753,2021
A,IT,GRAD,9,2,9,L,99,2022,43770,2022
A,IT,GRAD,9,2,9,LS,99,2010,7482,2010
A,IT,GRAD,9,2,9,LS,99,2011,7688,2011
A,IT,GRAD,9,2,9,LS,99,2012,8147,2012
A,IT,GRAD,9,2,9,LS,99,2013,8512,2013
A,IT,GRAD,9,2,9,LS,99,2014,8744,2014
A,IT,GRAD,9,2,9,LS,99,2015,9051,2015
A,IT,GRAD,9,2,9,LS,99,2016,10226,2016
A,IT,GRAD,9,2,9,LS,99,2017,11772,2017
A,IT,GRAD,9,2,9,LS,99,2018,13126,2018
A,IT,GRAD,9,2,9,LS,99,2019,15067,2019
A,IT,GRAD,9,2,9,LS,99,2020,18201,2020
A,IT,GRAD,9,2,9,LS,99,2021,23922,2021
A,IT,GRAD,9,2,9,LS,99,2022,29324,2022
A,IT,GRAD,9,2,9,LSCU,99,2010,2036,2010
A,IT,GRAD,9,2,9,LSCU,99,2011,3510,2011
A,IT,GRAD,9,2,9,LSCU,99,2012,3835,2012
A,IT,GRAD,9,2,9,LSCU,99,2013,3898,2013
A,IT,GRAD,9,2,9,LSCU,99,2014,4426,2014
A,IT,GRAD,9,2,9,LSCU,99,2015,4805,2015
A,IT,GRAD,9,2,9,LSCU,99,2016,5386,2016
A,IT,GRAD,9,2,9,LSCU,99,2017,5559,2017
A,IT,GRAD,9,2,9,LSCU,99,2018,5549,2018
A,IT,GRAD,9,2,9,LSCU,99,2019,5192,2019
A,IT,GRAD,9,2,9,LSCU,99,2020,5881,2020
A,IT,GRAD,9,2,9,LSCU,99,2021,6983,2021
A,IT,GRAD,9,2,9,LSCU,99,2022,7477,2022
A,IT,GRAD,9,9,1,9999,99,2010,117993,2010
A,IT,GRAD,9,9,1,9999,99,2011,121941,2011
A,IT,GRAD,9,9,1,9999,99,2012,123828,2012
A,IT,GRAD,9,9,1,9999,99,2013,126017,2013
A,IT,GRAD,9,9,1,9999,99,2014,126000,2014
A,IT,GRAD,9,9,1,9999,99,2015,127044,2015
A,IT,GRAD,9,9,1,9999,99,2016,131435,2016
A,IT,GRAD,9,9,1,9999,99,2017,134642,2017
A,IT,GRAD,9,9,1,9999,99,2018,140693,2018
A,IT,GRAD,9,9,1,9999,99,2019,146774,2019
A,IT,GRAD,9,9,1,9999,99,2020,150966,2020
A,IT,GRAD,9,9,1,9999,99,2021,159426,2021
A,IT,GRAD,9,9,1,9999,99,2022,156536,2022
A,IT,GRAD,9,9,1,CDL,99,2010,6294,2010
A,IT,GRAD,9,9,1,CDL,99,2011,4588,2011
A,IT,GRAD,9,9,1,CDL,99,2012,3195,2012
A,IT,GRAD,9,9,1,CDL,99,2013,2275,2013
A,IT,GRAD,9,9,1,CDL,99,2014,1655,2014
A,IT,GRAD,9,9,1,L,99,2010,68752,2010
A,IT,GRAD,9,9,1,L,99,2011,69634,2011
A,IT,GRAD,9,9,1,L,99,2012,71036,2012
A,IT,GRAD,9,9,1,L,99,2013,73198,2013
A,IT,GRAD,9,9,1,L,99,2014,73476,2014
A,IT,GRAD,9,9,1,L,99,2015,73447,2015
A,IT,GRAD,9,9,1,L,99,2016,75539,2016
A,IT,GRAD,9,9,1,L,99,2017,77027,2017
A,IT,GRAD,9,9,1,L,99,2018,80374,2018
A,IT,GRAD,9,9,1,L,99,2019,84195,2019
A,IT,GRAD,9,9,1,L,99,2020,86926,2020
A,IT,GRAD,9,9,1,L,99,2021,90202,2021
A,IT,GRAD,9,9,1,L,99,2022,87663,2022
A,IT,GRAD,9,9,1,LS,99,2010,34471,2010
A,IT,GRAD,9,9,1,LS,99,2011,36911,2011
A,IT,GRAD,9,9,1,LS,99,2012,37433,2012
A,IT,GRAD,9,9,1,LS,99,2013,37777,2013
A,IT,GRAD,9,9,1,LS,99,2014,37877,2014
A,IT,GRAD,9,9,1,LS,99,2015,38572,2015
A,IT,GRAD,9,9,1,LS,99,2016,40182,2016
A,IT,GRAD,9,9,1,LS,99,2017,41802,2017
A,IT,GRAD,9,9,1,LS,99,2018,44637,2018
A,IT,GRAD,9,9,1,LS,99,2019,47766,2019
A,IT,GRAD,9,9,1,LS,99,2020,49383,2020
A,IT,GRAD,9,9,1,LS,99,2021,54878,2021
A,IT,GRAD,9,9,1,LS,99,2022,55432,2022
A,IT,GRAD,9,9,1,LSCU,99,2010,8476,2010
A,IT,GRAD,9,9,1,LSCU,99,2011,10808,2011
A,IT,GRAD,9,9,1,LSCU,99,2012,12164,2012
A,IT,GRAD,9,9,1,LSCU,99,2013,12767,2013
A,IT,GRAD,9,9,1,LSCU,99,2014,12992,2014
A,IT,GRAD,9,9,1,LSCU,99,2015,15025,2015
A,IT,GRAD,9,9,1,LSCU,99,2016,15714,2016
A,IT,GRAD,9,9,1,LSCU,99,2017,15813,2017
A,IT,GRAD,9,9,1,LSCU,99,2018,15682,2018
A,IT,GRAD,9,9,1,LSCU,99,2019,14813,2019
A,IT,GRAD,9,9,1,LSCU,99,2020,14657,2020
A,IT,GRAD,9,9,1,LSCU,99,2021,14346,2021
A,IT,GRAD,9,9,1,LSCU,99,2022,13441,2022
A,IT,GRAD,9,9,2,9999,99,2010,168223,2010
A,IT,GRAD,9,9,2,9999,99,2011,174933,2011
A,IT,GRAD,9,9,2,9999,99,2012,179054,2012
A,IT,GRAD,9,9,2,9999,99,2013,182027,2013
A,IT,GRAD,9,9,2,9999,99,2014,182071,2014
A,IT,GRAD,9,9,2,9999,99,2015,177981,2015
A,IT,GRAD,9,9,2,9999,99,2016,180437,2016
A,IT,GRAD,9,9,2,9999,99,2017,183477,2017
A,IT,GRAD,9,9,2,9999,99,2018,186837,2018
A,IT,GRAD,9,9,2,9999,99,2019,193526,2019
A,IT,GRAD,9,9,2,9999,99,2020,198540,2020
A,IT,GRAD,9,9,2,9999,99,2021,212744,2021
A,IT,GRAD,9,9,2,9999,99,2022,209658,2022
A,IT,GRAD,9,9,2,CDL,99,2010,12414,2010
A,IT,GRAD,9,9,2,CDL,99,2011,11193,2011
A,IT,GRAD,9,9,2,CDL,99,2012,9146,2012
A,IT,GRAD,9,9,2,CDL,99,2013,7657,2013
A,IT,GRAD,9,9,2,CDL,99,2014,7202,2014
A,IT,GRAD,9,9,2,L,99,2010,95348,2010
A,IT,GRAD,9,9,2,L,99,2011,98613,2011
A,IT,GRAD,9,9,2,L,99,2012,101632,2012
A,IT,GRAD,9,9,2,L,99,2013,104473,2013
A,IT,GRAD,9,9,2,L,99,2014,103832,2014
A,IT,GRAD,9,9,2,L,99,2015,101715,2015
A,IT,GRAD,9,9,2,L,99,2016,102194,2016
A,IT,GRAD,9,9,2,L,99,2017,103378,2017
A,IT,GRAD,9,9,2,L,99,2018,105600,2018
A,IT,GRAD,9,9,2,L,99,2019,109121,2019
A,IT,GRAD,9,9,2,L,99,2020,111255,2020
A,IT,GRAD,9,9,2,L,99,2021,118814,2021
A,IT,GRAD,9,9,2,L,99,2022,113441,2022
A,IT,GRAD,9,9,2,LS,99,2010,46153,2010
A,IT,GRAD,9,9,2,LS,99,2011,49275,2011
A,IT,GRAD,9,9,2,LS,99,2012,50476,2012
A,IT,GRAD,9,9,2,LS,99,2013,50442,2013
A,IT,GRAD,9,9,2,LS,99,2014,50729,2014
A,IT,GRAD,9,9,2,LS,99,2015,50543,2015
A,IT,GRAD,9,9,2,LS,99,2016,52013,2016
A,IT,GRAD,9,9,2,LS,99,2017,53278,2017
A,IT,GRAD,9,9,2,LS,99,2018,54324,2018
A,IT,GRAD,9,9,2,LS,99,2019,57992,2019
A,IT,GRAD,9,9,2,LS,99,2020,60797,2020
A,IT,GRAD,9,9,2,LS,99,2021,67584,2021
A,IT,GRAD,9,9,2,LS,99,2022,71166,2022
A,IT,GRAD,9,9,2,LSCU,99,2010,14308,2010
A,IT,GRAD,9,9,2,LSCU,99,2011,15852,2011
A,IT,GRAD,9,9,2,LSCU,99,2012,17800,2012
A,IT,GRAD,9,9,2,LSCU,99,2013,19455,2013
A,IT,GRAD,9,9,2,LSCU,99,2014,20308,2014
A,IT,GRAD,9,9,2,LSCU,99,2015,25723,2015
A,IT,GRAD,9,9,2,LSCU,99,2016,26230,2016
A,IT,GRAD,9,9,2,LSCU,99,2017,26821,2017
A,IT,GRAD,9,9,2,LSCU,99,2018,26913,2018
A,IT,GRAD,9,9,2,LSCU,99,2019,26413,2019
A,IT,GRAD,9,9,2,LSCU,99,2020,26488,2020
A,IT,GRAD,9,9,2,LSCU,99,2021,26346,2021
A,IT,GRAD,9,9,2,LSCU,99,2022,25051,2022
A,IT,GRAD,9,9,9,9999,99,2010,286216,2010
A,IT,GRAD,9,9,9,9999,99,2011,296874,2011
