ANNOSCOLASTICO,CODICESCUOLA,ORDINESCUOLA,ANNOCORSO,FASCIAETA,ALUNNI
202425,APMM840017,SCUOLA SECONDARIA I GRADO,1,< di 11 anni,4
202425,BGEE8AC033,SCUOLA PRIMARIA,5,> di 10 anni,8
202425,FREE83304N,SCUOLA PRIMARIA,2,7 anni,13
202425,PZEE852056,SCUOLA PRIMARIA,4,> di 10 anni,1
202425,BTEE852028,SCUOLA PRIMARIA,4,9 anni,20
202425,BLRH01301T,SCUOLA SECONDARIA II GRADO,4,17 anni,23
202425,TOMM8BU011,SCUOLA SECONDARIA I GRADO,3,13 anni,92
202425,MIMM82001N,SCUOLA SECONDARIA I GRADO,1,< di 11 anni,2
202425,RCMM83503V,SCUOLA SECONDARIA I GRADO,2,11 anni,2
202425,MSPC00201A,SCUOLA SECONDARIA II GRADO,1,< di 14 anni,4
202425,CHTH018015,SCUOLA SECONDARIA II GRADO,4,17 anni,30
202425,ANEE829042,SCUOLA PRIMARIA,5,> di 10 anni,1
202425,TOEE137045,SCUOLA PRIMARIA,3,7 anni,1
202425,TOTF00401B,SCUOLA SECONDARIA II GRADO,1,16 anni,5
202425,PZMM85503E,SCUOLA SECONDARIA I GRADO,3,12 anni,2
202425,ORRI01201P,SCUOLA SECONDARIA II GRADO,2,15 anni,3
202425,SRMM824013,SCUOLA SECONDARIA I GRADO,1,11 anni,112
202425,MIEE8FR02L,SCUOLA PRIMARIA,1,6 anni,43
202425,VAEE866023,SCUOLA PRIMARIA,2,7 anni,25
202425,FGRH06051D,SCUOLA SECONDARIA II GRADO,4,18 anni,3
202425,SSRH07000E,SCUOLA SECONDARIA II GRADO,2,14 anni,3
202425,BAEE11003C,SCUOLA PRIMARIA,5,10 anni,70
202425,PRPS00101A,SCUOLA SECONDARIA II GRADO,3,17 anni,12
202425,RMEE8A101C,SCUOLA PRIMARIA,3,9 anni,1
202425,PISD00102D,SCUOLA SECONDARIA II GRADO,1,> di 18 anni,5
202425,ARTD01351V,SCUOLA SECONDARIA II GRADO,4,> di 18 anni,16
202425,MIEE8C801X,SCUOLA PRIMARIA,5,10 anni,66
202425,LTTF05000D,SCUOLA SECONDARIA II GRADO,1,< di 14 anni,10
202425,CNRI004012,SCUOLA SECONDARIA II GRADO,2,17 anni,1
202425,RIMM80602A,SCUOLA SECONDARIA I GRADO,1,11 anni,13
202425,ANTD002017,SCUOLA SECONDARIA II GRADO,1,14 anni,74
202425,APEE82801N,SCUOLA PRIMARIA,3,9 anni,1
202425,CEEE869039,SCUOLA PRIMARIA,3,7 anni,1
202425,RMEE81401X,SCUOLA PRIMARIA,1,< di 6 anni,5
202425,CNEE828073,SCUOLA PRIMARIA,5,10 anni,21
202425,TOEE8A402C,SCUOLA PRIMARIA,4,10 anni,2
202425,CREE812035,SCUOLA PRIMARIA,5,> di 10 anni,2
202425,CBMM83202R,SCUOLA SECONDARIA I GRADO,2,11 anni,2
202425,NAEE830031,SCUOLA PRIMARIA,1,6 anni,3
202425,RMEE8AQ02R,SCUOLA PRIMARIA,2,7 anni,17
202425,CHEE841025,SCUOLA PRIMARIA,4,9 anni,10
202425,POPS02000G,SCUOLA SECONDARIA II GRADO,1,15 anni,36
202425,PGPS02000N,SCUOLA SECONDARIA II GRADO,4,16 anni,17
202425,MBEE8EZ02Q,SCUOLA PRIMARIA,1,7 anni,3
202425,APTD013018,SCUOLA SECONDARIA II GRADO,4,16 anni,2
202425,GEEE80602Q,SCUOLA PRIMARIA,2,7 anni,22
202425,VTEE82402N,SCUOLA PRIMARIA,3,8 anni,25
202425,NATD11101P,SCUOLA SECONDARIA II GRADO,2,14 anni,16
202425,CTRH060008,SCUOLA SECONDARIA II GRADO,1,< di 14 anni,3
202425,RMMM8EU019,SCUOLA SECONDARIA I GRADO,2,> di 13 anni,2
202425,MIEE8EC012,SCUOLA PRIMARIA,1,7 anni,1
202425,FGTD22000C,SCUOLA SECONDARIA II GRADO,3,18 anni,2
202425,PCEE81801A,SCUOLA PRIMARIA,3,8 anni,99
202425,FIRH020009,SCUOLA SECONDARIA II GRADO,1,> di 18 anni,1
202425,VRPS06000L,SCUOLA SECONDARIA II GRADO,4,17 anni,189
202425,VRMM852026,SCUOLA SECONDARIA I GRADO,2,12 anni,38
202425,MIMM8BF01L,SCUOLA SECONDARIA I GRADO,2,> di 13 anni,1
202425,NAEE8GP014,SCUOLA PRIMARIA,1,6 anni,57
202425,PEEE83005A,SCUOLA PRIMARIA,1,7 anni,2
202425,PATD03801P,SCUOLA SECONDARIA II GRADO,3,18 anni,2
202425,TEEE84001B,SCUOLA PRIMARIA,5,10 anni,57
202425,RMEE8DF01B,SCUOLA PRIMARIA,5,10 anni,57
202425,BOEE84201V,SCUOLA PRIMARIA,3,8 anni,65
202425,CEMM880011,SCUOLA SECONDARIA I GRADO,1,12 anni,8
202425,FGMM827015,SCUOLA SECONDARIA I GRADO,1,11 anni,114
202425,RMMM8CW01Q,SCUOLA SECONDARIA I GRADO,1,12 anni,5
202425,SIPC00101C,SCUOLA SECONDARIA II GRADO,1,15 anni,4
202425,SIRC00401G,SCUOLA SECONDARIA II GRADO,1,17 anni,8
202425,MEEE874072,SCUOLA PRIMARIA,3,8 anni,37
202425,MIPS012018,SCUOLA SECONDARIA II GRADO,3,18 anni,1
202425,TATF09000G,SCUOLA SECONDARIA II GRADO,3,15 anni,35
202425,GEEE833013,SCUOLA PRIMARIA,1,6 anni,15
202425,BSEE85504P,SCUOLA PRIMARIA,3,9 anni,3
202425,TSTD030007,SCUOLA SECONDARIA II GRADO,3,16 anni,19
202425,PAEE84602A,SCUOLA PRIMARIA,1,6 anni,72
202425,NOEE82503C,SCUOLA PRIMARIA,2,7 anni,21
202425,PSRH004013,SCUOLA SECONDARIA II GRADO,4,17 anni,12
202425,LEMM8AT01N,SCUOLA SECONDARIA I GRADO,1,11 anni,107
202425,PCEE002052,SCUOLA PRIMARIA,1,7 anni,1
202425,CSTD02201D,SCUOLA SECONDARIA II GRADO,4,> di 18 anni,1
202425,MSEE82001E,SCUOLA PRIMARIA,3,7 anni,1
202425,TOPS06101D,SCUOLA SECONDARIA II GRADO,1,16 anni,1
202425,RMPS06401D,SCUOLA SECONDARIA II GRADO,2,15 anni,175
202425,MIPM070008,SCUOLA SECONDARIA II GRADO,1,14 anni,142
202425,RMEE8GT04V,SCUOLA PRIMARIA,1,< di 6 anni,1
202425,FRMM81102N,SCUOLA SECONDARIA I GRADO,2,13 anni,3
202425,UDTD007019,SCUOLA SECONDARIA II GRADO,3,16 anni,20
202425,KRSD00901C,SCUOLA SECONDARIA II GRADO,2,> di 18 anni,1
202425,KREE80801N,SCUOLA PRIMARIA,5,9 anni,5
202425,MNEE80701R,SCUOLA PRIMARIA,2,8 anni,4
202425,FGEE02902X,SCUOLA PRIMARIA,2,8 anni,1
202425,FERH00801C,SCUOLA SECONDARIA II GRADO,3,17 anni,12
202425,CZRC02401N,SCUOLA SECONDARIA II GRADO,2,16 anni,2
202425,LOTD010003,SCUOLA SECONDARIA II GRADO,2,16 anni,44
202425,GEMM83401T,SCUOLA SECONDARIA I GRADO,2,> di 13 anni,1
202425,RMEE8AZ021,SCUOLA PRIMARIA,5,> di 10 anni,1
202425,FOEE82503E,SCUOLA PRIMARIA,5,10 anni,56
202425,TOMM8AH01N,SCUOLA SECONDARIA I GRADO,2,12 anni,79
202425,COEE845039,SCUOLA PRIMARIA,4,9 anni,10
202425,CHEE07201R,SCUOLA PRIMARIA,4,9 anni,38
202425,PIRH01000D,SCUOLA SECONDARIA II GRADO,1,18 anni,6
202425,LEEE83002D,SCUOLA PRIMARIA,1,< di 6 anni,3
202425,SVSL00801R,SCUOLA SECONDARIA II GRADO,2,15 anni,63
202425,BGRC03801A,SCUOLA SECONDARIA II GRADO,1,14 anni,36
202425,TPTD02000X,SCUOLA SECONDARIA II GRADO,2,18 anni,1
202425,RMEE842025,SCUOLA PRIMARIA,2,6 anni,5
202425,PTEE82602T,SCUOLA PRIMARIA,1,< di 6 anni,1
202425,PTMM810016,SCUOLA SECONDARIA I GRADO,3,13 anni,104
202425,TOEE8BQ019,SCUOLA PRIMARIA,4,9 anni,47
202425,VITF02101R,SCUOLA SECONDARIA II GRADO,2,15 anni,36
202425,FGRC008506,SCUOLA SECONDARIA II GRADO,4,> di 18 anni,14
202425,ROEE802018,SCUOLA PRIMARIA,4,9 anni,13
202425,MBEE8AA01R,SCUOLA PRIMARIA,1,7 anni,1
202425,AGTF02201D,SCUOLA SECONDARIA II GRADO,3,18 anni,4
202425,TRMM803024,SCUOLA SECONDARIA I GRADO,3,> di 13 anni,2
202425,SRPC070006,SCUOLA SECONDARIA II GRADO,4,> di 18 anni,1
202425,POEE811019,SCUOLA PRIMARIA,5,10 anni,24
202425,MIEE824023,SCUOLA PRIMARIA,3,7 anni,2
202425,SATF013016,SCUOLA SECONDARIA II GRADO,2,16 anni,4
202425,VBPS030009,SCUOLA SECONDARIA II GRADO,1,< di 14 anni,7
202425,LUEE82501P,SCUOLA PRIMARIA,5,10 anni,16
202425,VAEE81204R,SCUOLA PRIMARIA,2,6 anni,2
202425,NATF130009,SCUOLA SECONDARIA II GRADO,1,17 anni,1
202425,COMM84102X,SCUOLA SECONDARIA I GRADO,2,12 anni,64
202425,TASD02003R,SCUOLA SECONDARIA II GRADO,3,> di 18 anni,7
202425,PSEE83707A,SCUOLA PRIMARIA,5,9 anni,1
202425,PARA00701R,SCUOLA SECONDARIA II GRADO,3,16 anni,14
202425,MERA02401R,SCUOLA SECONDARIA II GRADO,1,15 anni,1
202425,MOMM82801D,SCUOLA SECONDARIA I GRADO,1,13 anni,2
202425,BSEE8AE026,SCUOLA PRIMARIA,4,9 anni,1
202425,TOEE8AX031,SCUOLA PRIMARIA,4,10 anni,1
202425,REPM010007,SCUOLA SECONDARIA II GRADO,2,14 anni,7
202425,TOEE85601D,SCUOLA PRIMARIA,1,6 anni,39
202425,RMEE8CU026,SCUOLA PRIMARIA,4,8 anni,1
202425,ENEE818021,SCUOLA PRIMARIA,5,10 anni,20
202425,MBEE8DN018,SCUOLA PRIMARIA,2,7 anni,85
202425,RMEE8DW01B,SCUOLA PRIMARIA,3,10 anni,1
202425,PRTL02050A,SCUOLA SECONDARIA II GRADO,4,> di 18 anni,9
202425,TAEE87501X,SCUOLA PRIMARIA,3,7 anni,7
202425,MITF08201L,SCUOLA SECONDARIA II GRADO,5,17 anni,6
202425,TVTD00901L,SCUOLA SECONDARIA II GRADO,4,18 anni,8
202425,RMRH040503,SCUOLA SECONDARIA II GRADO,2,18 anni,14
202425,APMM825026,SCUOLA SECONDARIA I GRADO,3,> di 13 anni,1
202425,PVPS011016,SCUOLA SECONDARIA II GRADO,4,17 anni,126
202425,ANEE81801C,SCUOLA PRIMARIA,1,6 anni,22
202425,PGEE87202X,SCUOLA PRIMARIA,4,9 anni,15
202425,MEMM87403R,SCUOLA SECONDARIA I GRADO,1,< di 11 anni,12
202425,GERH01000G,SCUOLA SECONDARIA II GRADO,3,15 anni,5
202425,TARA026516,SCUOLA SECONDARIA II GRADO,4,> di 18 anni,17
202425,MIEE8AG01V,SCUOLA PRIMARIA,4,10 anni,5
202425,APMM811039,SCUOLA SECONDARIA I GRADO,3,13 anni,6
202425,MTEE82602N,SCUOLA PRIMARIA,1,< di 6 anni,3
202425,ISEE82603P,SCUOLA PRIMARIA,1,< di 6 anni,1
202425,ENEE80501T,SCUOLA PRIMARIA,1,6 anni,22
202425,SREE81302P,SCUOLA PRIMARIA,1,< di 6 anni,2
202425,MBEE8AE014,SCUOLA PRIMARIA,4,9 anni,40
202425,COEE847031,SCUOLA PRIMARIA,3,8 anni,32
202425,PGEE841017,SCUOLA PRIMARIA,1,< di 6 anni,2
202425,AQEE831036,SCUOLA PRIMARIA,1,7 anni,1
202425,GOEE80401G,SCUOLA PRIMARIA,3,8 anni,73
202425,UDMM80906R,SCUOLA SECONDARIA I GRADO,1,11 anni,15
202425,MORC016019,SCUOLA SECONDARIA II GRADO,2,> di 18 anni,1
202425,CETD010003,SCUOLA SECONDARIA II GRADO,2,16 anni,22
202425,BSTD024018,SCUOLA SECONDARIA II GRADO,4,17 anni,159
202425,TOMM83402L,SCUOLA SECONDARIA I GRADO,2,12 anni,46
202425,GRSL012013,SCUOLA SECONDARIA II GRADO,2,14 anni,3
202425,PIEE81504E,SCUOLA PRIMARIA,5,10 anni,24
202425,SIEE814026,SCUOLA PRIMARIA,4,10 anni,3
202425,FEEE817022,SCUOLA PRIMARIA,2,6 anni,1
202425,BOEE853019,SCUOLA PRIMARIA,5,9 anni,3
202425,BOEE81705A,SCUOLA PRIMARIA,4,8 anni,1
202425,NAEE8CM027,SCUOLA PRIMARIA,4,9 anni,33
202425,RMEE8EV016,SCUOLA PRIMARIA,2,8 anni,4
202425,MBMM86301C,SCUOLA SECONDARIA I GRADO,2,13 anni,7
202425,CAPS02401Q,SCUOLA SECONDARIA II GRADO,4,> di 18 anni,1
202425,CEEE82301T,SCUOLA PRIMARIA,3,9 anni,1
202425,VVMM82601T,SCUOLA SECONDARIA I GRADO,1,11 anni,128
202425,NAPS060006,SCUOLA SECONDARIA II GRADO,4,18 anni,1
202425,TREE811013,SCUOLA PRIMARIA,1,7 anni,2
202425,AGEE83804G,SCUOLA PRIMARIA,4,9 anni,14
202425,MIEE809032,SCUOLA PRIMARIA,1,6 anni,86
202425,SARH03601E,SCUOLA SECONDARIA II GRADO,1,16 anni,3
202425,PIEE840025,SCUOLA PRIMARIA,5,10 anni,22
202425,MIMM8AZ01A,SCUOLA SECONDARIA I GRADO,2,12 anni,45
202425,NOEE82202X,SCUOLA PRIMARIA,2,7 anni,28
202425,BGMM84901P,SCUOLA SECONDARIA I GRADO,3,13 anni,27
202425,PVEE81801C,SCUOLA PRIMARIA,2,9 anni,1
202425,PZEE874031,SCUOLA PRIMARIA,4,9 anni,27
202425,TVEE87904N,SCUOLA PRIMARIA,4,10 anni,1
202425,SREE858017,SCUOLA PRIMARIA,4,8 anni,9
202425,LERF002013,SCUOLA SECONDARIA II GRADO,4,18 anni,7
202425,CEEE81804D,SCUOLA PRIMARIA,4,8 anni,3
202425,TOEE82101E,SCUOLA PRIMARIA,4,10 anni,1
202425,MIMM8D101P,SCUOLA SECONDARIA I GRADO,1,12 anni,5
202425,VAEE84106V,SCUOLA PRIMARIA,3,8 anni,21
202425,GRTD003028,SCUOLA SECONDARIA II GRADO,5,18 anni,14
202425,VAEE836016,SCUOLA PRIMARIA,4,10 anni,1
202425,NAEE8AN015,SCUOLA PRIMARIA,1,6 anni,37
202425,SVEE813031,SCUOLA PRIMARIA,4,10 anni,1
202425,PSEE83401L,SCUOLA PRIMARIA,1,< di 6 anni,3
202425,CTSD05401P,SCUOLA SECONDARIA II GRADO,4,16 anni,2
202425,PEPM004017,SCUOLA SECONDARIA II GRADO,5,18 anni,69
202425,MCTD001026,SCUOLA SECONDARIA II GRADO,3,16 anni,8
202425,PDEE839012,SCUOLA PRIMARIA,2,7 anni,32
202425,CAEE89005A,SCUOLA PRIMARIA,5,> di 10 anni,1
202425,PRMM83201C,SCUOLA SECONDARIA I GRADO,3,> di 13 anni,11
202425,BISL00101R,SCUOLA SECONDARIA II GRADO,5,17 anni,2
202425,VIEE82602A,SCUOLA PRIMARIA,2,7 anni,32
202425,MBMM894014,SCUOLA SECONDARIA I GRADO,2,12 anni,83
202425,MIPC040008,SCUOLA SECONDARIA II GRADO,1,< di 14 anni,7
202425,PZMM83802Q,SCUOLA SECONDARIA I GRADO,2,13 anni,1
202425,AGPM01801R,SCUOLA SECONDARIA II GRADO,1,16 anni,1
202425,BLMM81801N,SCUOLA SECONDARIA I GRADO,1,12 anni,2
202425,PEMM830015,SCUOLA SECONDARIA I GRADO,1,13 anni,2
202425,FRRH01901E,SCUOLA SECONDARIA II GRADO,1,14 anni,53
202425,TAEE832023,SCUOLA PRIMARIA,5,> di 10 anni,2
202425,NAMM8HM016,SCUOLA SECONDARIA I GRADO,2,12 anni,132
202425,BIMM81801Q,SCUOLA SECONDARIA I GRADO,1,< di 11 anni,2
202425,VIEE819016,SCUOLA PRIMARIA,5,> di 10 anni,1
202425,NARC01101E,SCUOLA SECONDARIA II GRADO,3,16 anni,66
202425,VTEE835013,SCUOLA PRIMARIA,5,9 anni,2
202425,SATL06601V,SCUOLA SECONDARIA II GRADO,5,18 anni,13
202425,PNTN008013,SCUOLA SECONDARIA II GRADO,5,> di 18 anni,15
202425,CEEE8BE03G,SCUOLA PRIMARIA,1,< di 6 anni,2
202425,GOTF00601T,SCUOLA SECONDARIA II GRADO,2,17 anni,2
202425,TEPS04000V,SCUOLA SECONDARIA II GRADO,3,16 anni,100
202425,SORH040004,SCUOLA SECONDARIA II GRADO,3,18 anni,4
202425,PDMM859016,SCUOLA SECONDARIA I GRADO,2,13 anni,4
202425,VIEE881063,SCUOLA PRIMARIA,2,7 anni,17
202425,AGRI02201L,SCUOLA SECONDARIA II GRADO,2,17 anni,2
202425,FIEE81002E,SCUOLA PRIMARIA,5,10 anni,62
202425,PTSD010005,SCUOLA SECONDARIA II GRADO,1,< di 14 anni,1
202425,PREE82905T,SCUOLA PRIMARIA,1,6 anni,42
202425,NAEE8HA061,SCUOLA PRIMARIA,2,6 anni,3
202425,MEEE88902E,SCUOLA PRIMARIA,4,9 anni,16
202425,FGPM10000G,SCUOLA SECONDARIA II GRADO,1,15 anni,33
202425,LOMM80202R,SCUOLA SECONDARIA I GRADO,2,13 anni,8
202425,AVTD003014,SCUOLA SECONDARIA II GRADO,2,15 anni,13
202425,RMEE8C5011,SCUOLA PRIMARIA,1,< di 6 anni,5
202425,MITD52000A,SCUOLA SECONDARIA II GRADO,1,16 anni,4
202425,LORC01000Q,SCUOLA SECONDARIA II GRADO,4,> di 18 anni,19
202425,TPEE80903X,SCUOLA PRIMARIA,4,10 anni,1
202425,TVEE86004L,SCUOLA PRIMARIA,2,8 anni,2
202425,BOEE854037,SCUOLA PRIMARIA,1,7 anni,1
202425,MIEE8CY01R,SCUOLA PRIMARIA,1,< di 6 anni,2
202425,PGMM86001G,SCUOLA SECONDARIA I GRADO,2,13 anni,13
202425,PIEE83403V,SCUOLA PRIMARIA,3,10 anni,1
202425,VBMM01700A,SCUOLA SECONDARIA I GRADO,3,13 anni,146
202425,VRMM844016,SCUOLA SECONDARIA I GRADO,3,12 anni,1
202425,SAEE8BU012,SCUOLA PRIMARIA,3,8 anni,52
202425,MITF390005,SCUOLA SECONDARIA II GRADO,1,14 anni,163
202425,RMEE8CX03P,SCUOLA PRIMARIA,4,9 anni,48
202425,RCMM85001V,SCUOLA SECONDARIA I GRADO,3,12 anni,24
202425,REEE84001E,SCUOLA PRIMARIA,4,10 anni,1
202425,CTEE81201N,SCUOLA PRIMARIA,2,6 anni,2
202425,PGEE86601G,SCUOLA PRIMARIA,3,8 anni,43
202425,BSEE88502C,SCUOLA PRIMARIA,2,7 anni,20
202425,FREE852021,SCUOLA PRIMARIA,5,10 anni,27
202425,IMMM800016,SCUOLA SECONDARIA I GRADO,2,11 anni,4
202425,SVEE809028,SCUOLA PRIMARIA,1,6 anni,21
202425,AVEE81204N,SCUOLA PRIMARIA,4,9 anni,10
202425,VBSL001017,SCUOLA SECONDARIA II GRADO,3,16 anni,12
202425,RCEE83503X,SCUOLA PRIMARIA,4,9 anni,8
202425,CSRI084016,SCUOLA SECONDARIA II GRADO,3,18 anni,3
202425,MCPS02000N,SCUOLA SECONDARIA II GRADO,2,14 anni,9
202425,RETD09000V,SCUOLA SECONDARIA II GRADO,5,> di 18 anni,36
202425,BAPM05000B,SCUOLA SECONDARIA II GRADO,5,18 anni,129
202425,BNMM81002P,SCUOLA SECONDARIA I GRADO,3,12 anni,2
202425,SAMM83801V,SCUOLA SECONDARIA I GRADO,1,11 anni,96
202425,ORMM82301A,SCUOLA SECONDARIA I GRADO,3,13 anni,12
202425,CBEE851016,SCUOLA PRIMARIA,5,10 anni,33
202425,MBTF10601R,SCUOLA SECONDARIA II GRADO,3,17 anni,35
202425,TVEE869032,SCUOLA PRIMARIA,2,7 anni,39
202425,METF020001,SCUOLA SECONDARIA II GRADO,4,> di 18 anni,1
202425,POEE820025,SCUOLA PRIMARIA,3,8 anni,57
202425,BSEE86702V,SCUOLA PRIMARIA,1,< di 6 anni,1
202425,PVMM835015,SCUOLA SECONDARIA I GRADO,1,< di 11 anni,1
202425,SOMM80601A,SCUOLA SECONDARIA I GRADO,3,13 anni,76
202425,TOPS120003,SCUOLA SECONDARIA II GRADO,1,< di 14 anni,10
202425,PGTF03401P,SCUOLA SECONDARIA II GRADO,5,18 anni,82
202425,TAEE810015,SCUOLA PRIMARIA,2,6 anni,5
202425,BSMM8AN014,SCUOLA SECONDARIA I GRADO,3,12 anni,1
202425,MIPM03000T,SCUOLA SECONDARIA II GRADO,3,16 anni,215
202425,NUTF00701L,SCUOLA SECONDARIA II GRADO,4,> di 18 anni,5
202425,RMEE8GV04E,SCUOLA PRIMARIA,2,8 anni,1
202425,CTEE84203G,SCUOLA PRIMARIA,1,< di 6 anni,5
202425,TOMM894017,SCUOLA SECONDARIA I GRADO,2,13 anni,4
202425,BAEE89801X,SCUOLA PRIMARIA,4,9 anni,66
202425,SVPC00801R,SCUOLA SECONDARIA II GRADO,3,> di 18 anni,2
202425,NUEE86202G,SCUOLA PRIMARIA,2,7 anni,25
202425,NOMM825019,SCUOLA SECONDARIA I GRADO,3,> di 13 anni,19
202425,LEEE8AH041,SCUOLA PRIMARIA,3,8 anni,16
202425,MOEE84901G,SCUOLA PRIMARIA,5,> di 10 anni,1
202425,TSEE82002A,SCUOLA PRIMARIA,3,8 anni,7
202425,MOTF080005,SCUOLA SECONDARIA II GRADO,4,16 anni,4
202425,MIRI01601R,SCUOLA SECONDARIA II GRADO,3,16 anni,19
202425,LUEE81101R,SCUOLA PRIMARIA,4,10 anni,1
202425,BSEE86301E,SCUOLA PRIMARIA,5,9 anni,1
202425,COMM81502B,SCUOLA SECONDARIA I GRADO,2,12 anni,12
202425,CEPS03000C,SCUOLA SECONDARIA II GRADO,5,18 anni,199
202425,MTPS01601E,SCUOLA SECONDARIA II GRADO,3,17 anni,2
202425,KRMM81704E,SCUOLA SECONDARIA I GRADO,3,13 anni,13
202425,BSTF00101T,SCUOLA SECONDARIA II GRADO,2,14 anni,1
202425,RMEE84604E,SCUOLA PRIMARIA,2,8 anni,1
202425,FIRC02902L,SCUOLA SECONDARIA II GRADO,5,> di 18 anni,21
202425,RERH008011,SCUOLA SECONDARIA II GRADO,4,18 anni,33
202425,MEEE837051,SCUOLA PRIMARIA,3,8 anni,9
202425,NAMM8FB019,SCUOLA SECONDARIA I GRADO,2,13 anni,7
202425,ALEE839053,SCUOLA PRIMARIA,5,> di 10 anni,5
202425,ATEE81507N,SCUOLA PRIMARIA,4,9 anni,1
202425,FITD00901N,SCUOLA SECONDARIA II GRADO,3,17 anni,12
202425,BSEE89001V,SCUOLA PRIMARIA,2,6 anni,3
202425,BGRA03101L,SCUOLA SECONDARIA II GRADO,1,15 anni,11
202425,CSEE851048,SCUOLA PRIMARIA,3,8 anni,9
202425,MIEE8AS02R,SCUOLA PRIMARIA,5,9 anni,1
202425,SAPS06000L,SCUOLA SECONDARIA II GRADO,5,17 anni,58
