Ripartizione_geografica;Ordinatore;Significatività_19vs21;Significatività_21vs22;Significatività_19vs22;Significatività_22vs23;Significatività_23vs24;Significatività_24vs25;Grado;Materia;Diff_WLE_19vs21;Diff_WLE_21vs22;Diff_WLE_19vs22;Diff_WLE_22vs23;Diff_WLE_23vs24;Diff_WLE_24vs25
Campania;20;Not Statistically significant;Statistically significant; ;Not Statistically significant;Not Statistically significant;Statistically significant;Grado 5;Matematica;9,5234005898659;-13,6676988975204; ;2,06365219244699;6,4424147715095;-8,67510467190388
Centro;12;Not Statistically significant;Not Statistically significant; ;Not Statistically significant;Statistically significant;Not Statistically significant;Grado 5;Inglese Listening;-,962017849676897;6,40068283422033; ;-6,00140402712955;13,9515160103355;4,39491888587125
Centro;12;Not Statistically significant;Statistically significant; ;Statistically significant;Statistically significant;Not Statistically significant;Grado 5;Inglese Reading;2,4198787345411;5,18097291401196; ;-7,85111981668646;12,699888327355;,0851279534621483
Centro;12; ; ;Not Statistically significant;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 10;Italiano; ; ;-5,56438516724987;-2,60540431814516;-2,01566093591612;,822900425976314
Centro;12;Not Statistically significant;Not Statistically significant; ;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 2;Italiano;4,95549639206087;-4,43006890223683; ;-4,94690053024192;2,79946036052766;1,23183998311566
Centro;12;Not Statistically significant;Statistically significant; ;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 5;Italiano;3,95106863877487;-5,86536059313249; ;-1,8871532983872;-,926667105839073;3,2488875517312
Centro;12; ; ;Not Statistically significant;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 10;Matematica; ; ;-5,85327353950873;,22579267636462;-1,56724759660085;,341156098235729
Centro;12;Not Statistically significant;Not Statistically significant; ;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 2;Matematica;-1,81324957542307;-4,77024853878044; ;-3,01768794268523;4,45210640500511;1,53680600967607
Centro;12;Not Statistically significant;Statistically significant; ;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 5;Matematica;-2,45136722766705;-5,63162220624329; ;-2,74343781205195;4,20922578339318;-,34926892646979
Emilia-Romagna;11;Not Statistically significant;Statistically significant; ;Not Statistically significant;Statistically significant;Not Statistically significant;Grado 5;Inglese Listening;-,376105454481632;13,8206398203521; ;-2,9491566619842;13,3624584884554;-1,32832180972636
Emilia-Romagna;11;Not Statistically significant;Statistically significant; ;Not Statistically significant;Statistically significant;Not Statistically significant;Grado 5;Inglese Reading;2,31127866336723;5,38884293329002; ;,118676153667792;7,78405104403572;-4,50638009416181
Emilia-Romagna;11; ; ;Not Statistically significant;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 10;Italiano; ; ;-8,83567889201117;-4,14491207034723;4,28048975737818;-6,07519089125731
Emilia-Romagna;11;Not Statistically significant;Not Statistically significant; ;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 2;Italiano;-1,50684793291214;,134024695750099; ;-2,66013909892422;-4,90553461883482;2,70988170880864
Emilia-Romagna;11;Not Statistically significant;Not Statistically significant; ;Statistically significant;Not Statistically significant;Not Statistically significant;Grado 5;Italiano;2,96273982481247;-1,67444651602133; ;-6,84360510276423;-,11529254727543;-,893417691769372
Emilia-Romagna;11; ; ;Not Statistically significant;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 10;Matematica; ; ;-8,45628005685651;-3,78647392007474;4,14000118268211;-5,63132483511953
Emilia-Romagna;11;Not Statistically significant;Not Statistically significant; ;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 2;Matematica;-5,25145223333811;,00699426993716656; ;-3,39677487083208;,923742412499394;3,15048098596219
Emilia-Romagna;11;Not Statistically significant;Not Statistically significant; ;Statistically significant;Not Statistically significant;Not Statistically significant;Grado 5;Matematica;-4,09721045816161;,796522753810137; ;-6,65556930258472;3,85951000865683;-3,20656590593836
Friuli-Venezia Giulia;10;Not Statistically significant;Not Statistically significant; ;Not Statistically significant;Not Statistically significant;Statistically significant;Grado 5;Inglese Listening;4,48357055195595;1,6725029278011; ;-,800054579650009;3,7780235133111;12,6124923537675
Friuli-Venezia Giulia;10;Not Statistically significant;Not Statistically significant; ;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 5;Inglese Reading;4,65665905623911;-1,6368723901349; ;2,54480814864544;2,20298935443634;4,70178179410598
Friuli-Venezia Giulia;10; ; ;Not Statistically significant;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 10;Italiano; ; ;-7,82480775491842;,0625563564132676;-2,97066041229124;,0630341475743137
Friuli-Venezia Giulia;10;Not Statistically significant;Not Statistically significant; ;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 2;Italiano;-2,1689950103376;-7,97206843437306; ;3,50237786320156;-1,52661022254327;-7,6201161987492
Friuli-Venezia Giulia;10;Not Statistically significant;Not Statistically significant; ;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 5;Italiano;2,08192972491619;-5,70868368562196; ;1,25270002106637;-4,95048916984368;2,91165489696297
Friuli-Venezia Giulia;10; ; ;Not Statistically significant;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 10;Matematica; ; ;-11,2169838473149;-,779448065029499;,659969150362315;,600907373701546
Friuli-Venezia Giulia;10;Statistically significant;Not Statistically significant; ;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 2;Matematica;-9,85309172444153;-1,4478947544801; ;6,96990685252865;-1,29607861816697;-7,24866739783022
Friuli-Venezia Giulia;10;Not Statistically significant;Not Statistically significant; ;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 5;Matematica;-2,10745763194089;-5,36623624814604; ;3,03663493472175;-5,20606673363159;4,69346410746022
Lazio;16;Not Statistically significant;Not Statistically significant; ;Statistically significant;Statistically significant;Not Statistically significant;Grado 5;Inglese Listening;-,584747098376823;5,9303569880685; ;-14,4736848256086;11,9669823370558;11,1158000486076
Lazio;16;Not Statistically significant;Statistically significant; ;Statistically significant;Statistically significant;Not Statistically significant;Grado 5;Inglese Reading;,334328845132319;7,8303259035284; ;-15,6903929601394;15,569528086321;3,03806491144223
Lazio;16; ; ;Not Statistically significant;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 10;Italiano; ; ;-4,53505342156211;-4,22979812815603;-1,86468956421453;2,38659861954849
Lazio;16;Statistically significant;Not Statistically significant; ;Statistically significant;Not Statistically significant;Not Statistically significant;Grado 2;Italiano;6,94886128555808;-2,14516136281077; ;-9,6366654427957;6,91234979979404;-,792305697009567
Lazio;16;Not Statistically significant;Statistically significant; ;Statistically significant;Not Statistically significant;Not Statistically significant;Grado 5;Italiano;5,82202635349455;-6,31968150726101; ;-5,86046689036539;4,22123282474664;2,17130445363847
Lazio;16; ; ;Not Statistically significant;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 10;Matematica; ; ;-3,6995053068577;-1,77992305569782;-2,11943183408368;1,21880308627829
Lazio;16;Not Statistically significant;Not Statistically significant; ;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 2;Matematica;1,04377014157211;-1,69506760197302; ;-8,03454326621411;5,76259854032858;-,685921990772698
Lazio;16;Not Statistically significant;Statistically significant; ;Not Statistically significant;Statistically significant;Not Statistically significant;Grado 5;Matematica;,716155399279984;-9,61165175845912; ;-5,09071322053484;7,19547729231934;1,50446495730964
Liguria;4;Not Statistically significant;Not Statistically significant; ;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 5;Inglese Listening;-,494672941964211;12,7382694872243; ;-6,25366861666296;7,21521273343552;-3,41766019691883
Liguria;4;Not Statistically significant;Not Statistically significant; ;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 5;Inglese Reading;,66689302591675;7,66581263385399; ;-6,73145854148407;6,14578611026602;-3,4958598021534
Liguria;4; ; ;Not Statistically significant;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 10;Italiano; ; ;-10,0775666771906;-1,33372345712925;2,78467551948859;-,557770929975987
Liguria;4;Not Statistically significant;Statistically significant; ;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 2;Italiano;5,88013650040398;-10,2235627370424; ;,430883312357565;-8,43482627414852;-4,72397192798172
Liguria;4;Not Statistically significant;Not Statistically significant; ;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 5;Italiano;3,5394766745618;-5,6149872334141; ;-3,40025279922833;-7,04060373983435;4,76738510730198
Liguria;4; ; ;Statistically significant;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 10;Matematica; ; ;-13,0388975705421;3,67402101478186;1,26341831922801;-2,88894133477453
Liguria;4;Not Statistically significant;Not Statistically significant; ;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 2;Matematica;-5,26583236742474;-8,27626241797742; ;-3,009342313925;-1,47736212094665;-1,01801350282685
Liguria;4;Not Statistically significant;Not Statistically significant; ;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 5;Matematica;-3,35680801449129;,172595508166182; ;-7,95905300096248;,41006518210466;-4,66992476525004
Lombardia;5;Not Statistically significant;Not Statistically significant; ;Not Statistically significant;Statistically significant;Not Statistically significant;Grado 5;Inglese Listening;3,82377263130616;6,45022451271819; ;-3,14109377602739;12,2666727582288;-4,12772351366473
Lombardia;5;Not Statistically significant;Not Statistically significant; ;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 5;Inglese Reading;1,30070815320349;,768004641802776; ;1,12511276012327;6,65178725247634;-2,71998689546038
Lombardia;5; ; ;Not Statistically significant;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 10;Italiano; ; ;-8,25436819931386;-1,90943865505733;-7,00645310403962;4,59131963890928
Lombardia;5;Statistically significant;Statistically significant; ;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 2;Italiano;10,0855495016048;-8,55152934787219; ;-5,43102384395081;1,31999822809863;-1,13159800096625
Lombardia;5;Statistically significant;Statistically significant; ;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 5;Italiano;4,99583899750954;-7,91932428423866; ;-2,37042588041405;-1,40852381342009;,808849810896817
Lombardia;5; ; ;Not Statistically significant;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 10;Matematica; ; ;-7,50101565409128;-2,15029365311469;-3,95417326596916;1,8454850687159
Lombardia;5;Not Statistically significant;Not Statistically significant; ;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 2;Matematica;-,641039252262345;-6,95919641347339; ;2,43687469734519;-3,28619612337556;2,08914647342024
Lombardia;5;Statistically significant;Not Statistically significant; ;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 5;Matematica;-6,04028595948077;-3,85147141413583; ;-2,44209585849444;4,26989270530979;-2,9760413864075
Marche;15;Not Statistically significant;Not Statistically significant; ;Not Statistically significant;Not Statistically significant;Statistically significant;Grado 5;Inglese Listening;-5,64040869525454;7,34818133388575; ;3,17477041396262;5,28639184067541;15,0992992582871
Marche;15;Not Statistically significant;Statistically significant; ;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 5;Inglese Reading;-1,49919008612753;6,23233555921257; ;-2,0594575478774;6,75778794355543;5,54765963001864
Marche;15; ; ;Not Statistically significant;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 10;Italiano; ; ;-8,61130006097193;-5,30296497130675;,761277612833709;-,747376632881469
Marche;15;Not Statistically significant;Not Statistically significant; ;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 2;Italiano;-2,64505003582605;-4,00042831744793; ;-,41003033459333;6,19669036431154;,814557075959556
Marche;15;Not Statistically significant;Statistically significant; ;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 5;Italiano;-,39714995296211;-7,11470832049613; ;-,735442789888936;,202312121453986;6,90828769211305
Marche;15; ; ;Not Statistically significant;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 10;Matematica; ; ;-12,8470778409428;2,45971213860935;,432199629994273;-1,91283145770933
Marche;15;Statistically significant;Not Statistically significant; ;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 2;Matematica;-9,09695375003469;-5,86556477719029; ;1,099070719873;5,53762632077533;6,33079363100202
Marche;15;Not Statistically significant;Not Statistically significant; ;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 5;Matematica;-5,86747879578331;-1,97069568653791; ;-3,0716891987085;3,51130507309321;6,59889254425062
Molise;19;Not Statistically significant;Not Statistically significant; ;Not Statistically significant;Statistically significant;Not Statistically significant;Grado 5;Inglese Listening;-,390828114054131;5,81142580383386; ;-4,21658419515111;13,4305703591787;4,51582814497721
Molise;19;Not Statistically significant;Statistically significant; ;Not Statistically significant;Statistically significant;Not Statistically significant;Grado 5;Inglese Reading;-,550650188463067;11,6216032257201; ;-8,37600776874166;9,4095979028771;5,30433895144137
Molise;19; ; ;Not Statistically significant;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 10;Italiano; ; ;-6,54000773277849;3,85961474630497;-8,24417465235885;8,56267502949009
Molise;19;Not Statistically significant;Not Statistically significant; ;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 2;Italiano;-1,13805802055887;3,04471620662684; ;-4,99555022283769;3,87917696026929;6,55705137263064
Molise;19;Not Statistically significant;Not Statistically significant; ;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 5;Italiano;-,162303200893376;-1,51448277675789; ;-,0178276749468864;,890656066191866;-2,55431241596446
Molise;19; ; ;Not Statistically significant;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 10;Matematica; ; ;-6,11146798694219;7,20304662174647;-2,25401779026637;-,328063738154583
Molise;19;Not Statistically significant;Not Statistically significant; ;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 2;Matematica;-3,87295464433433;-2,339283668332; ;-3,65575598660973;6,39512599745109;4,32773569320247
Molise;19;Statistically significant;Not Statistically significant; ;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 5;Matematica;-12,1551674439258;6,01563916750899; ;2,01445897996177;3,79470508278726;-2,66810192074564
Nord Est;6;Not Statistically significant;Statistically significant; ;Not Statistically significant;Statistically significant;Not Statistically significant;Grado 5;Inglese Listening;,263387985082574;10,87603921489; ;-3,77589323872081;9,68841281431691;3,01309821943764
Nord Est;6;Not Statistically significant;Statistically significant; ;Not Statistically significant;Statistically significant;Not Statistically significant;Grado 5;Inglese Reading;1,42076725175906;6,88331364561751; ;-2,42854779520354;6,26896583717487;-2,17180038388605
Nord Est;6; ; ;Statistically significant;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 10;Italiano; ; ;-8,5887182781446;-2,42037251726353;-,695645541343879;-2,99064638597389
Nord Est;6;Not Statistically significant;Not Statistically significant; ;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 2;Italiano;1,34145642027306;-4,71882197734425; ;-1,82012632584127;-2,13197768631974;-,823296534030163
Nord Est;6;Not Statistically significant;Not Statistically significant; ;Statistically significant;Not Statistically significant;Not Statistically significant;Grado 5;Italiano;3,3963807628391;-2,46415394093873; ;-7,52518283557541;1,72783300239615;-,892343444334045
Nord Est;6; ; ;Statistically significant;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 10;Matematica; ; ;-9,9793810998645;-,760036442991037;,0122608596485065;-4,06518562912609
Nord Est;6;Statistically significant;Not Statistically significant; ;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 2;Matematica;-6,07583037949524;-2,42717228115356; ;-,602105342779794;-,271084245650798;2,35790333941782
Nord Est;6;Statistically significant;Not Statistically significant; ;Statistically significant;Not Statistically significant;Not Statistically significant;Grado 5;Matematica;-4,42778511108972;-,110527385463371; ;-5,92419477397547;3,61754632164255;-2,23119574059498
Nord Ovest;1;Not Statistically significant;Statistically significant; ;Not Statistically significant;Statistically significant;Not Statistically significant;Grado 5;Inglese Listening;3,17825626527195;7,17490512037833; ;-4,17737425534224;12,5642484263921;-2,32818711028995
Nord Ovest;1;Not Statistically significant;Not Statistically significant; ;Not Statistically significant;Statistically significant;Not Statistically significant;Grado 5;Inglese Reading;,956732773671604;2,85378721230995; ;-1,63691819057615;7,63022597100655;-2,03698703440875
Nord Ovest;1; ; ;Statistically significant;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 10;Italiano; ; ;-8,07451666518352;-2,44343463819436;-2,77764841056646;2,14171993713941
Nord Ovest;1;Statistically significant;Statistically significant; ;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 2;Italiano;7,0180529150486;-10,5676587412948; ;-2,53480530050592;1,54294554558629;-2,95154307618549
Nord Ovest;1;Statistically significant;Statistically significant; ;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 5;Italiano;3,93461859785182;-7,28798195451066; ;-3,19539321898296;-,885147530468487;,223282875516048
Nord Ovest;1; ; ;Statistically significant;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 10;Matematica; ; ;-7,89246013686085;-1,55472216418241;-,901127398337195;-,364239684763419
Nord Ovest;1;Not Statistically significant;Statistically significant; ;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 2;Matematica;-2,58371549206521;-7,8458746567207; ;2,219334248976;-1,51603897712457;1,61813757824748
Nord Ovest;1;Statistically significant;Not Statistically significant; ;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 5;Matematica;-5,95615950737476;-3,81661125905427; ;-2,89454892709165;4,67311273861705;-3,34691559012205
Piemonte;3;Not Statistically significant;Not Statistically significant; ;Not Statistically significant;Statistically significant;Not Statistically significant;Grado 5;Inglese Listening;2,84416426434123;7,15845923193348; ;-5,844229272321;14,7583035847529;2,74326968571421
Piemonte;3;Not Statistically significant;Not Statistically significant; ;Not Statistically significant;Statistically significant;Not Statistically significant;Grado 5;Inglese Reading;,268039063740019;6,50091593086506; ;-6,95711640579228;10,4952245720309;,187970091432618
Piemonte;3; ; ;Not Statistically significant;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 10;Italiano; ; ;-6,80742798019372;-4,22511102872414;4,92477127274697;-2,54397717593952
Piemonte;3;Not Statistically significant;Statistically significant; ;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 2;Italiano;-,100604649314221;-16,1230402963448; ;4,19824485079107;5,08600847531252;-6,94541206814583
Piemonte;3;Not Statistically significant;Statistically significant; ;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 5;Italiano;1,67894545864559;-6,50743885274613; ;-5,17686846667604;2,40041305639821;-2,84782472264158
Piemonte;3; ; ;Not Statistically significant;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 10;Matematica; ; ;-6,92589089671665;-2,19896734953019;5,21788246317968;-4,38003477277775
Piemonte;3;Not Statistically significant;Statistically significant; ;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 2;Matematica;-6,39331962050125;-10,1538278397124; ;3,53262805105427;2,74093813300186;1,3453658925863
Piemonte;3;Not Statistically significant;Not Statistically significant; ;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 5;Matematica;-6,50971345619368;-5,15752880205986; ;-2,24254093104418;6,91992405740626;-3,85547322333878
Prov. Aut. Bolzano (l. it.);7;Not Statistically significant;Statistically significant; ;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 5;Inglese Listening;-,630767643825351;16,5069463697443; ;-4,01515077109818;,23346511874422;-,225377218577052
