ANNO_ACCADEMICO;TIPO_ISTITUTO;Area_Istituto;NOME_ISTITUTO;COMUNE_SEDE;COD_ISTITUTO;REGIONE_ISTITUTO;AREA_CORSO;TIPO_CORSO;SCUOLA_AGGREGAZIONE;CLASSE;CORSO;GENERE;ISCRITTI-I-ANNO
2019-2020;Accademia di Belle Arti;Area Artistica;;BOLOGNA;7195;EMILIA ROMAGNA;Arti visive;AFAM_Corso Diploma accademico 1L;PITTURA;DAPL01;Pittura;F;47
2019-2020;Accademia di Belle Arti;Area Artistica;;BOLOGNA;7195;EMILIA ROMAGNA;Arti visive;AFAM_Corso Diploma accademico 1L;PITTURA;DAPL01;Pittura;M;18
2019-2020;Accademia di Belle Arti;Area Artistica;;BOLOGNA;7195;EMILIA ROMAGNA;Arti visive;AFAM_Corso Diploma accademico 1L;SCULTURA;DAPL02;Scultura;F;21
2019-2020;Accademia di Belle Arti;Area Artistica;;BOLOGNA;7195;EMILIA ROMAGNA;Arti visive;AFAM_Corso Diploma accademico 1L;SCULTURA;DAPL02;Scultura;M;6
2019-2020;Accademia di Belle Arti;Area Artistica;;BOLOGNA;7195;EMILIA ROMAGNA;Comunicazione e didattica dell'arte;AFAM_Corso Diploma accademico 2L;DIDATTICA DELL'ARTE;DASL10;Didattica dell'Arte e mediazione culturale per il patrimonio artistico;F;30
2019-2020;Accademia di Belle Arti;Area Artistica;;BOLOGNA;7195;EMILIA ROMAGNA;Comunicazione e didattica dell'arte;AFAM_Corso Diploma accademico 2L;DIDATTICA DELL'ARTE;DASL10;Didattica dell'Arte e mediazione culturale per il patrimonio artistico;M;1
2019-2020;Accademia di Belle Arti;Area Artistica;;BOLOGNA;7195;EMILIA ROMAGNA;Comunicazione e didattica dell'arte;AFAM_Corso Diploma accademico 1L;DIDATTICA DELL'ARTE;DAPL10;Comunicazione e Didattica dell'arte;F;25
2019-2020;Accademia di Belle Arti;Area Artistica;;BOLOGNA;7195;EMILIA ROMAGNA;Comunicazione e didattica dell'arte;AFAM_Corso Diploma accademico 1L;DIDATTICA DELL'ARTE;DAPL10;Comunicazione e Didattica dell'arte;M;5
2019-2020;Accademia di Belle Arti;Area Artistica;;BOLOGNA;7195;EMILIA ROMAGNA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 2L;PROGETTAZIONE ARTISTICA PER L'IMPRESA;DASL06;Fashion Design;M;3
2019-2020;Accademia di Belle Arti;Area Artistica;;BOLOGNA;7195;EMILIA ROMAGNA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 2L;PROGETTAZIONE ARTISTICA PER L'IMPRESA;DASL06;Fashion Design;F;17
2019-2020;Accademia di Belle Arti;Area Artistica;;BOLOGNA;7195;EMILIA ROMAGNA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 2L;PROGETTAZIONE ARTISTICA PER L'IMPRESA;DASL06;Fotografia;M;10
2019-2020;Accademia di Belle Arti;Area Artistica;;BOLOGNA;7195;EMILIA ROMAGNA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 2L;PROGETTAZIONE ARTISTICA PER L'IMPRESA;DASL06;Fotografia;F;13
2019-2020;Accademia di Belle Arti;Area Artistica;;BOLOGNA;7195;EMILIA ROMAGNA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 2L;PROGETTAZIONE ARTISTICA PER L'IMPRESA;DASL06;Illustrazione per l'Editoria;F;23
2019-2020;Accademia di Belle Arti;Area Artistica;;BOLOGNA;7195;EMILIA ROMAGNA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 2L;PROGETTAZIONE ARTISTICA PER L'IMPRESA;DASL06;Illustrazione per l'Editoria;M;4
2019-2020;Accademia di Belle Arti;Area Artistica;;BOLOGNA;7195;EMILIA ROMAGNA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 2L;NUOVE TECNOLOGIE PER L’ARTE;DASL08;Linguaggi del Fumetto;F;11
2019-2020;Accademia di Belle Arti;Area Artistica;;BOLOGNA;7195;EMILIA ROMAGNA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 2L;NUOVE TECNOLOGIE PER L’ARTE;DASL08;Linguaggi del Fumetto;M;13
2019-2020;Accademia di Belle Arti;Area Artistica;;BOLOGNA;7195;EMILIA ROMAGNA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 2L;SCENOGRAFIA;DASL05;Scenografia - Ind. Allestimenti degli spazi espositivi;F;24
2019-2020;Accademia di Belle Arti;Area Artistica;;BOLOGNA;7195;EMILIA ROMAGNA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 2L;SCENOGRAFIA;DASL05;Scenografia - Ind. Allestimenti degli spazi espositivi;M;3
2019-2020;Accademia di Belle Arti;Area Artistica;;BOLOGNA;7195;EMILIA ROMAGNA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 2L;SCENOGRAFIA;DASL05;Scenografia - Ind. Melodramma e del Teatro Musicale;F;14
2019-2020;Accademia di Belle Arti;Area Artistica;;BOLOGNA;7195;EMILIA ROMAGNA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 2L;SCENOGRAFIA;DASL05;Scenografia - Ind. Melodramma e del Teatro Musicale;M;1
2019-2020;Accademia di Belle Arti;Area Artistica;;BOLOGNA;7195;EMILIA ROMAGNA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 1L;PROGETTAZIONE ARTISTICA PER L'IMPRESA;DAPL06;Design del Prodotto;F;13
2019-2020;Accademia di Belle Arti;Area Artistica;;BOLOGNA;7195;EMILIA ROMAGNA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 1L;PROGETTAZIONE ARTISTICA PER L'IMPRESA;DAPL06;Design del Prodotto;M;11
2019-2020;Accademia di Belle Arti;Area Artistica;;BOLOGNA;7195;EMILIA ROMAGNA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 1L;PROGETTAZIONE ARTISTICA PER L'IMPRESA;DAPL06;Design grafico;M;11
2019-2020;Accademia di Belle Arti;Area Artistica;;BOLOGNA;7195;EMILIA ROMAGNA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 1L;PROGETTAZIONE ARTISTICA PER L'IMPRESA;DAPL06;Design grafico;F;15
2019-2020;Accademia di Belle Arti;Area Artistica;;BOLOGNA;7195;EMILIA ROMAGNA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 1L;PROGETTAZIONE ARTISTICA PER L'IMPRESA;DAPL06;Fashion Design;F;29
2019-2020;Accademia di Belle Arti;Area Artistica;;BOLOGNA;7195;EMILIA ROMAGNA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 1L;PROGETTAZIONE ARTISTICA PER L'IMPRESA;DAPL06;Fashion Design;M;2
2019-2020;Accademia di Belle Arti;Area Artistica;;BOLOGNA;7195;EMILIA ROMAGNA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 1L;PROGETTAZIONE ARTISTICA PER L'IMPRESA;DAPL06;Fumetto e Illustrazione;F;33
2019-2020;Accademia di Belle Arti;Area Artistica;;BOLOGNA;7195;EMILIA ROMAGNA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 1L;PROGETTAZIONE ARTISTICA PER L'IMPRESA;DAPL06;Fumetto e Illustrazione;M;17
2019-2020;Accademia di Belle Arti;Area Artistica;;BOLOGNA;7195;EMILIA ROMAGNA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 1L;NUOVE TECNOLOGIE PER L’ARTE;DAPL08;Linguaggi del Cinema e dell'Audiovisivo;F;17
2019-2020;Accademia di Belle Arti;Area Artistica;;BOLOGNA;7195;EMILIA ROMAGNA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 1L;NUOVE TECNOLOGIE PER L’ARTE;DAPL08;Linguaggi del Cinema e dell'Audiovisivo;M;9
2019-2020;Accademia di Belle Arti;Area Artistica;;BOLOGNA;7195;EMILIA ROMAGNA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 1L;SCENOGRAFIA;DAPL05;Scenografia;F;34
2019-2020;Accademia di Belle Arti;Area Artistica;;BOLOGNA;7195;EMILIA ROMAGNA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 1L;SCENOGRAFIA;DAPL05;Scenografia;M;6
2019-2020;Accademia di Belle Arti;Area Artistica;;BOLOGNA;7195;EMILIA ROMAGNA;Progettazione e arti applicate;AFAM_Corso Diploma accademico a ciclo unico quinquennale abilitante_2L;RESTAURO;-;Restauratore dei Beni Culturali - ciclo unico abilitante;F;14
2019-2020;Accademia di Belle Arti;Area Artistica;;CARRARA;7213;TOSCANA;Arti visive;AFAM_Corso Diploma accademico 2L;DECORAZIONE;DASL03;Decorazione;M;4
2019-2020;Accademia di Belle Arti;Area Artistica;;CARRARA;7213;TOSCANA;Arti visive;AFAM_Corso Diploma accademico 2L;DECORAZIONE;DASL03;Decorazione;F;8
2019-2020;Accademia di Belle Arti;Area Artistica;;CARRARA;7213;TOSCANA;Arti visive;AFAM_Corso Diploma accademico 2L;GRAFICA;DASL04;Grafica d'Arte;F;9
2019-2020;Accademia di Belle Arti;Area Artistica;;CARRARA;7213;TOSCANA;Arti visive;AFAM_Corso Diploma accademico 2L;GRAFICA;DASL04;Grafica d'Arte;M;3
2019-2020;Accademia di Belle Arti;Area Artistica;;CARRARA;7213;TOSCANA;Arti visive;AFAM_Corso Diploma accademico 2L;GRAFICA;DASL04;Grafica e Comunicazione;F;2
2019-2020;Accademia di Belle Arti;Area Artistica;;CARRARA;7213;TOSCANA;Arti visive;AFAM_Corso Diploma accademico 2L;PITTURA;DASL01;Pittura;F;7
2019-2020;Accademia di Belle Arti;Area Artistica;;CARRARA;7213;TOSCANA;Arti visive;AFAM_Corso Diploma accademico 2L;PITTURA;DASL01;Pittura;M;15
2019-2020;Accademia di Belle Arti;Area Artistica;;CARRARA;7213;TOSCANA;Arti Visive;AFAM_Corso Diploma accademico 2L;PITTURA;DASL01;Pittura - Ind. Nuove pratiche dell'espressione;F;6
2019-2020;Accademia di Belle Arti;Area Artistica;;CARRARA;7213;TOSCANA;Arti Visive;AFAM_Corso Diploma accademico 2L;PITTURA;DASL01;Pittura - Ind. Nuove pratiche dell'espressione;M;4
2019-2020;Accademia di Belle Arti;Area Artistica;;CARRARA;7213;TOSCANA;Arti visive;AFAM_Corso Diploma accademico 2L;SCULTURA;DASL02;Scultura;M;12
2019-2020;Accademia di Belle Arti;Area Artistica;;CARRARA;7213;TOSCANA;Arti visive;AFAM_Corso Diploma accademico 2L;SCULTURA;DASL02;Scultura;F;9
2019-2020;Accademia di Belle Arti;Area Artistica;;CARRARA;7213;TOSCANA;Arti visive;AFAM_Corso Diploma accademico 1L;DECORAZIONE;DAPL03;Decorazione;F;14
2019-2020;Accademia di Belle Arti;Area Artistica;;CARRARA;7213;TOSCANA;Arti visive;AFAM_Corso Diploma accademico 1L;DECORAZIONE;DAPL03;Decorazione;M;7
2019-2020;Accademia di Belle Arti;Area Artistica;;CARRARA;7213;TOSCANA;Arti visive;AFAM_Corso Diploma accademico 1L;GRAFICA;DAPL04;Grafica;F;21
2019-2020;Accademia di Belle Arti;Area Artistica;;CARRARA;7213;TOSCANA;Arti visive;AFAM_Corso Diploma accademico 1L;GRAFICA;DAPL04;Grafica;M;9
2019-2020;Accademia di Belle Arti;Area Artistica;;CARRARA;7213;TOSCANA;Arti visive;AFAM_Corso Diploma accademico 1L;PITTURA;DAPL01;Pittura;F;31
2019-2020;Accademia di Belle Arti;Area Artistica;;CARRARA;7213;TOSCANA;Arti visive;AFAM_Corso Diploma accademico 1L;PITTURA;DAPL01;Pittura;M;7
2019-2020;Accademia di Belle Arti;Area Artistica;;CARRARA;7213;TOSCANA;Arti visive;AFAM_Corso Diploma accademico 1L;SCULTURA;DAPL02;Scultura;F;23
2019-2020;Accademia di Belle Arti;Area Artistica;;CARRARA;7213;TOSCANA;Arti visive;AFAM_Corso Diploma accademico 1L;SCULTURA;DAPL02;Scultura;M;15
2019-2020;Accademia di Belle Arti;Area Artistica;;CARRARA;7213;TOSCANA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 2L;NUOVE TECNOLOGIE PER L’ARTE;DASL08;Net Art e Culture Digitali;M;2
2019-2020;Accademia di Belle Arti;Area Artistica;;CARRARA;7213;TOSCANA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 2L;NUOVE TECNOLOGIE PER L’ARTE;DASL08;Net Art e Culture Digitali;F;11
2019-2020;Accademia di Belle Arti;Area Artistica;;CARRARA;7213;TOSCANA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 2L;SCENOGRAFIA;DASL05;Scenografia;M;1
2019-2020;Accademia di Belle Arti;Area Artistica;;CARRARA;7213;TOSCANA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 1L;NUOVE TECNOLOGIE PER L’ARTE;DAPL08;Arti multimediali;F;35
2019-2020;Accademia di Belle Arti;Area Artistica;;CARRARA;7213;TOSCANA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 1L;NUOVE TECNOLOGIE PER L’ARTE;DAPL08;Arti multimediali;M;27
2019-2020;Accademia di Belle Arti;Area Artistica;;CARRARA;7213;TOSCANA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 1L;SCENOGRAFIA;DAPL05;Scenografia;F;11
2019-2020;Accademia di Belle Arti;Area Artistica;;CARRARA;7213;TOSCANA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 1L;SCENOGRAFIA;DAPL05;Scenografia;M;6
2019-2020;Accademia di Belle Arti;Area Artistica;;CATANIA;7292;SICILIA;Arti visive;AFAM_Corso Diploma accademico 2L;DECORAZIONE;DASL03;Decorazione - Ind. Urbana e product design;F;4
2019-2020;Accademia di Belle Arti;Area Artistica;;CATANIA;7292;SICILIA;Arti visive;AFAM_Corso Diploma accademico 2L;DECORAZIONE;DASL03;Decorazione - Ind. Urbana e product design;M;3
2019-2020;Accademia di Belle Arti;Area Artistica;;CATANIA;7292;SICILIA;Arti visive;AFAM_Corso Diploma accademico 2L;GRAFICA;DASL04;Grafica - Ind. Illustrazione e Fumetto;F;15
2019-2020;Accademia di Belle Arti;Area Artistica;;CATANIA;7292;SICILIA;Arti visive;AFAM_Corso Diploma accademico 2L;GRAFICA;DASL04;Grafica - Ind. Illustrazione e Fumetto;M;5
2019-2020;Accademia di Belle Arti;Area Artistica;;CATANIA;7292;SICILIA;Arti visive;AFAM_Corso Diploma accademico 2L;PITTURA;DASL01;Pittura;M;5
2019-2020;Accademia di Belle Arti;Area Artistica;;CATANIA;7292;SICILIA;Arti visive;AFAM_Corso Diploma accademico 2L;PITTURA;DASL01;Pittura;F;14
2019-2020;Accademia di Belle Arti;Area Artistica;;CATANIA;7292;SICILIA;Arti Visive;AFAM_Corso Diploma accademico 2L;PITTURA;DASL01;Pittura - Ind. Nuovi Linguaggi;F;39
2019-2020;Accademia di Belle Arti;Area Artistica;;CATANIA;7292;SICILIA;Arti Visive;AFAM_Corso Diploma accademico 2L;PITTURA;DASL01;Pittura - Ind. Nuovi Linguaggi;M;5
2019-2020;Accademia di Belle Arti;Area Artistica;;CATANIA;7292;SICILIA;Arti visive;AFAM_Corso Diploma accademico 2L;SCULTURA;DASL02;Scultura;F;3
2019-2020;Accademia di Belle Arti;Area Artistica;;CATANIA;7292;SICILIA;Arti visive;AFAM_Corso Diploma accademico 2L;SCULTURA;DASL02;Scultura;M;3
2019-2020;Accademia di Belle Arti;Area Artistica;;CATANIA;7292;SICILIA;Arti visive;AFAM_Corso Diploma accademico 1L;DECORAZIONE;DAPL03;Arte e ambiente;F;1
2019-2020;Accademia di Belle Arti;Area Artistica;;CATANIA;7292;SICILIA;Arti visive;AFAM_Corso Diploma accademico 1L;DECORAZIONE;DAPL03;Arte e ambiente;M;1
2019-2020;Accademia di Belle Arti;Area Artistica;;CATANIA;7292;SICILIA;Arti visive;AFAM_Corso Diploma accademico 1L;GRAFICA;DAPL04;Grafica - Ind. Illustrazione;F;50
2019-2020;Accademia di Belle Arti;Area Artistica;;CATANIA;7292;SICILIA;Arti visive;AFAM_Corso Diploma accademico 1L;GRAFICA;DAPL04;Grafica - Ind. Illustrazione;M;42
2019-2020;Accademia di Belle Arti;Area Artistica;;CATANIA;7292;SICILIA;Arti visive;AFAM_Corso Diploma accademico 1L;PITTURA;DAPL01;Pittura - Ind. Nuovi Linguaggi della Pittura;F;5
2019-2020;Accademia di Belle Arti;Area Artistica;;CATANIA;7292;SICILIA;Arti visive;AFAM_Corso Diploma accademico 1L;PITTURA;DAPL01;Pittura - Ind. Nuovi Linguaggi della Pittura;M;5
2019-2020;Accademia di Belle Arti;Area Artistica;;CATANIA;7292;SICILIA;Arti visive;AFAM_Corso Diploma accademico 1L;PITTURA;DAPL01;Pittura - Ind. Pittura 1;M;5
2019-2020;Accademia di Belle Arti;Area Artistica;;CATANIA;7292;SICILIA;Arti visive;AFAM_Corso Diploma accademico 1L;PITTURA;DAPL01;Pittura - Ind. Pittura 1;F;29
2019-2020;Accademia di Belle Arti;Area Artistica;;CATANIA;7292;SICILIA;Arti visive;AFAM_Corso Diploma accademico 1L;DECORAZIONE;DAPL03;Product Design;M;15
2019-2020;Accademia di Belle Arti;Area Artistica;;CATANIA;7292;SICILIA;Arti visive;AFAM_Corso Diploma accademico 1L;DECORAZIONE;DAPL03;Product Design;F;30
2019-2020;Accademia di Belle Arti;Area Artistica;;CATANIA;7292;SICILIA;Arti visive;AFAM_Corso Diploma accademico 1L;SCULTURA;DAPL02;Scultura;F;5
2019-2020;Accademia di Belle Arti;Area Artistica;;CATANIA;7292;SICILIA;Arti visive;AFAM_Corso Diploma accademico 1L;SCULTURA;DAPL02;Scultura;M;4
2019-2020;Accademia di Belle Arti;Area Artistica;;CATANIA;7292;SICILIA;Comunicazione e didattica dell'arte;AFAM_Corso Diploma accademico 2L;COMUNICAZIONE E VALORIZZAZIONE DEL PATRIMONIO ARTISTICO CONTEMPORANEO;DASL09;Didattica dell'Arte e mediazione culturale;F;11
2019-2020;Accademia di Belle Arti;Area Artistica;;CATANIA;7292;SICILIA;Comunicazione e didattica dell'arte;AFAM_Corso Diploma accademico 2L;COMUNICAZIONE E VALORIZZAZIONE DEL PATRIMONIO ARTISTICO CONTEMPORANEO;DASL09;Didattica dell'Arte e mediazione culturale;M;10
2019-2020;Accademia di Belle Arti;Area Artistica;;CATANIA;7292;SICILIA;Comunicazione e didattica dell'arte;AFAM_Corso Diploma accademico 1L;COMUNICAZIONE E VALORIZZAZIONE DEL PATRIMONIO ARTISTICO CONTEMPORANEO;DAPL09;Comunicazione e valorizzazione del patrimonio artistico contemporaneo;F;10
2019-2020;Accademia di Belle Arti;Area Artistica;;CATANIA;7292;SICILIA;Comunicazione e didattica dell'arte;AFAM_Corso Diploma accademico 1L;COMUNICAZIONE E VALORIZZAZIONE DEL PATRIMONIO ARTISTICO CONTEMPORANEO;DAPL09;Comunicazione e valorizzazione del patrimonio artistico contemporaneo;M;5
2019-2020;Accademia di Belle Arti;Area Artistica;;CATANIA;7292;SICILIA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 2L;NUOVE TECNOLOGIE PER L’ARTE;DASL08;Arti tecnologiche e narrazioni digitali;F;3
2019-2020;Accademia di Belle Arti;Area Artistica;;CATANIA;7292;SICILIA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 2L;NUOVE TECNOLOGIE PER L’ARTE;DASL08;Arti tecnologiche e narrazioni digitali;M;2
2019-2020;Accademia di Belle Arti;Area Artistica;;CATANIA;7292;SICILIA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 2L;PROGETTAZIONE ARTISTICA PER L'IMPRESA;DASL06;Design della Comunicazione visiva;F;40
2019-2020;Accademia di Belle Arti;Area Artistica;;CATANIA;7292;SICILIA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 2L;PROGETTAZIONE ARTISTICA PER L'IMPRESA;DASL06;Design della Comunicazione visiva;M;20
2019-2020;Accademia di Belle Arti;Area Artistica;;CATANIA;7292;SICILIA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 2L;PROGETTAZIONE ARTISTICA PER L'IMPRESA;DASL06;Fashion Design;M;9
2019-2020;Accademia di Belle Arti;Area Artistica;;CATANIA;7292;SICILIA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 2L;PROGETTAZIONE ARTISTICA PER L'IMPRESA;DASL06;Fashion Design;F;15
2019-2020;Accademia di Belle Arti;Area Artistica;;CATANIA;7292;SICILIA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 2L;PROGETTAZIONE ARTISTICA PER L'IMPRESA;DASL06;Fotografia;F;25
