freq,ref_area,data_type,sex,type_of_degree,posiz_prof_desired,full_part_time_pref,place_of_work,y_job_search,year_educ_attainem,time_period,obs_value,year,source,flow_id,description
A,IT,LOOK,2,99,9,9,ALL,9,2011,2015,75693.0,2015,ISTAT SDMX,612_937_DF_DCCV_LAU_RIC_1,Job search in Italy or abroad (employed or not)
A,IT,LOOK,2,99,9,9,ITAFOR,9,2011,2015,34613.0,2015,ISTAT SDMX,612_937_DF_DCCV_LAU_RIC_1,Job search in Italy or abroad (employed or not)
A,IT,LOOK,2,99,9,9,ONLFOR,9,2011,2015,1254.0,2015,ISTAT SDMX,612_937_DF_DCCV_LAU_RIC_1,Job search in Italy or abroad (employed or not)
A,IT,LOOK,2,99,9,9,ONLITA,9,2011,2015,39825.0,2015,ISTAT SDMX,612_937_DF_DCCV_LAU_RIC_1,Job search in Italy or abroad (employed or not)
A,IT,LOOK,9,72,9,9,ALL,9,2011,2015,71830.0,2015,ISTAT SDMX,612_937_DF_DCCV_LAU_RIC_1,Job search in Italy or abroad (employed or not)
A,IT,LOOK,9,72,9,9,ITAFOR,9,2011,2015,39538.0,2015,ISTAT SDMX,612_937_DF_DCCV_LAU_RIC_1,Job search in Italy or abroad (employed or not)
A,IT,LOOK,9,72,9,9,ONLFOR,9,2011,2015,1637.0,2015,ISTAT SDMX,612_937_DF_DCCV_LAU_RIC_1,Job search in Italy or abroad (employed or not)
A,IT,LOOK,9,72,9,9,ONLITA,9,2011,2015,30654.0,2015,ISTAT SDMX,612_937_DF_DCCV_LAU_RIC_1,Job search in Italy or abroad (employed or not)
A,IT,LOOK,9,73,9,9,ALL,9,2011,2015,47467.0,2015,ISTAT SDMX,612_937_DF_DCCV_LAU_RIC_1,Job search in Italy or abroad (employed or not)
A,IT,LOOK,9,73,9,9,ITAFOR,9,2011,2015,24770.0,2015,ISTAT SDMX,612_937_DF_DCCV_LAU_RIC_1,Job search in Italy or abroad (employed or not)
A,IT,LOOK,9,73,9,9,ONLFOR,9,2011,2015,1111.0,2015,ISTAT SDMX,612_937_DF_DCCV_LAU_RIC_1,Job search in Italy or abroad (employed or not)
A,IT,LOOK,9,73,9,9,ONLITA,9,2011,2015,21586.0,2015,ISTAT SDMX,612_937_DF_DCCV_LAU_RIC_1,Job search in Italy or abroad (employed or not)
A,IT,LOOK,9,99,9,9,ALL,9,2011,2015,119297.0,2015,ISTAT SDMX,612_937_DF_DCCV_LAU_RIC_1,Job search in Italy or abroad (employed or not)
A,IT,LOOK,9,99,9,9,ITAFOR,9,2011,2015,64309.0,2015,ISTAT SDMX,612_937_DF_DCCV_LAU_RIC_1,Job search in Italy or abroad (employed or not)
A,IT,LOOK,9,99,9,9,ONLFOR,9,2011,2015,2748.0,2015,ISTAT SDMX,612_937_DF_DCCV_LAU_RIC_1,Job search in Italy or abroad (employed or not)
A,IT,LOOK,9,99,9,9,ONLITA,9,2011,2015,52240.0,2015,ISTAT SDMX,612_937_DF_DCCV_LAU_RIC_1,Job search in Italy or abroad (employed or not)
A,IT,LOOK_PL,1,72,9,9,ALL,9,2011,2015,100.0,2015,ISTAT SDMX,612_937_DF_DCCV_LAU_RIC_1,Job search in Italy or abroad (employed or not)
A,IT,LOOK_PL,1,72,9,9,ITAFOR,9,2011,2015,69.7,2015,ISTAT SDMX,612_937_DF_DCCV_LAU_RIC_1,Job search in Italy or abroad (employed or not)
A,IT,LOOK_PL,1,72,9,9,ONLFOR,9,2011,2015,3.1,2015,ISTAT SDMX,612_937_DF_DCCV_LAU_RIC_1,Job search in Italy or abroad (employed or not)
A,IT,LOOK_PL,1,72,9,9,ONLITA,9,2011,2015,27.1,2015,ISTAT SDMX,612_937_DF_DCCV_LAU_RIC_1,Job search in Italy or abroad (employed or not)
A,IT,LOOK_PL,1,73,9,9,ALL,9,2011,2015,100.0,2015,ISTAT SDMX,612_937_DF_DCCV_LAU_RIC_1,Job search in Italy or abroad (employed or not)
A,IT,LOOK_PL,1,73,9,9,ITAFOR,9,2011,2015,65.7,2015,ISTAT SDMX,612_937_DF_DCCV_LAU_RIC_1,Job search in Italy or abroad (employed or not)
A,IT,LOOK_PL,1,73,9,9,ONLFOR,9,2011,2015,3.9,2015,ISTAT SDMX,612_937_DF_DCCV_LAU_RIC_1,Job search in Italy or abroad (employed or not)
A,IT,LOOK_PL,1,73,9,9,ONLITA,9,2011,2015,30.5,2015,ISTAT SDMX,612_937_DF_DCCV_LAU_RIC_1,Job search in Italy or abroad (employed or not)
A,IT,LOOK_PL,1,99,9,9,ALL,9,2011,2015,100.0,2015,ISTAT SDMX,612_937_DF_DCCV_LAU_RIC_1,Job search in Italy or abroad (employed or not)
A,IT,LOOK_PL,1,99,9,9,ITAFOR,9,2011,2015,68.1,2015,ISTAT SDMX,612_937_DF_DCCV_LAU_RIC_1,Job search in Italy or abroad (employed or not)
A,IT,LOOK_PL,1,99,9,9,ONLFOR,9,2011,2015,3.4,2015,ISTAT SDMX,612_937_DF_DCCV_LAU_RIC_1,Job search in Italy or abroad (employed or not)
A,IT,LOOK_PL,1,99,9,9,ONLITA,9,2011,2015,28.5,2015,ISTAT SDMX,612_937_DF_DCCV_LAU_RIC_1,Job search in Italy or abroad (employed or not)
A,IT,LOOK_PL,2,72,9,9,ALL,9,2011,2015,100.0,2015,ISTAT SDMX,612_937_DF_DCCV_LAU_RIC_1,Job search in Italy or abroad (employed or not)
A,IT,LOOK_PL,2,72,9,9,ITAFOR,9,2011,2015,46.6,2015,ISTAT SDMX,612_937_DF_DCCV_LAU_RIC_1,Job search in Italy or abroad (employed or not)
A,IT,LOOK_PL,2,72,9,9,ONLFOR,9,2011,2015,1.8,2015,ISTAT SDMX,612_937_DF_DCCV_LAU_RIC_1,Job search in Italy or abroad (employed or not)
A,IT,LOOK_PL,2,72,9,9,ONLITA,9,2011,2015,51.6,2015,ISTAT SDMX,612_937_DF_DCCV_LAU_RIC_1,Job search in Italy or abroad (employed or not)
A,IT,LOOK_PL,2,73,9,9,ALL,9,2011,2015,100.0,2015,ISTAT SDMX,612_937_DF_DCCV_LAU_RIC_1,Job search in Italy or abroad (employed or not)
A,IT,LOOK_PL,2,73,9,9,ITAFOR,9,2011,2015,44.3,2015,ISTAT SDMX,612_937_DF_DCCV_LAU_RIC_1,Job search in Italy or abroad (employed or not)
A,IT,LOOK_PL,2,73,9,9,ONLFOR,9,2011,2015,1.4,2015,ISTAT SDMX,612_937_DF_DCCV_LAU_RIC_1,Job search in Italy or abroad (employed or not)
A,IT,LOOK_PL,2,73,9,9,ONLITA,9,2011,2015,54.2,2015,ISTAT SDMX,612_937_DF_DCCV_LAU_RIC_1,Job search in Italy or abroad (employed or not)
A,IT,LOOK_PL,2,99,9,9,ALL,9,2011,2015,100.0,2015,ISTAT SDMX,612_937_DF_DCCV_LAU_RIC_1,Job search in Italy or abroad (employed or not)
A,IT,LOOK_PL,2,99,9,9,ITAFOR,9,2011,2015,45.7,2015,ISTAT SDMX,612_937_DF_DCCV_LAU_RIC_1,Job search in Italy or abroad (employed or not)
A,IT,LOOK_PL,2,99,9,9,ONLFOR,9,2011,2015,1.7,2015,ISTAT SDMX,612_937_DF_DCCV_LAU_RIC_1,Job search in Italy or abroad (employed or not)
A,IT,LOOK_PL,2,99,9,9,ONLITA,9,2011,2015,52.6,2015,ISTAT SDMX,612_937_DF_DCCV_LAU_RIC_1,Job search in Italy or abroad (employed or not)
A,IT,LOOK_PL,9,72,9,9,ALL,9,2011,2015,100.0,2015,ISTAT SDMX,612_937_DF_DCCV_LAU_RIC_1,Job search in Italy or abroad (employed or not)
A,IT,LOOK_PL,9,72,9,9,ITAFOR,9,2011,2015,55.0,2015,ISTAT SDMX,612_937_DF_DCCV_LAU_RIC_1,Job search in Italy or abroad (employed or not)
A,IT,LOOK_PL,9,72,9,9,ONLFOR,9,2011,2015,2.3,2015,ISTAT SDMX,612_937_DF_DCCV_LAU_RIC_1,Job search in Italy or abroad (employed or not)
A,IT,LOOK_PL,9,72,9,9,ONLITA,9,2011,2015,42.7,2015,ISTAT SDMX,612_937_DF_DCCV_LAU_RIC_1,Job search in Italy or abroad (employed or not)
A,IT,LOOK_PL,9,73,9,9,ALL,9,2011,2015,100.0,2015,ISTAT SDMX,612_937_DF_DCCV_LAU_RIC_1,Job search in Italy or abroad (employed or not)
A,IT,LOOK_PL,9,73,9,9,ITAFOR,9,2011,2015,52.2,2015,ISTAT SDMX,612_937_DF_DCCV_LAU_RIC_1,Job search in Italy or abroad (employed or not)
A,IT,LOOK_PL,9,73,9,9,ONLFOR,9,2011,2015,2.3,2015,ISTAT SDMX,612_937_DF_DCCV_LAU_RIC_1,Job search in Italy or abroad (employed or not)
A,IT,LOOK_PL,9,73,9,9,ONLITA,9,2011,2015,45.5,2015,ISTAT SDMX,612_937_DF_DCCV_LAU_RIC_1,Job search in Italy or abroad (employed or not)
A,IT,LOOK_PL,9,99,9,9,ALL,9,2011,2015,100.0,2015,ISTAT SDMX,612_937_DF_DCCV_LAU_RIC_1,Job search in Italy or abroad (employed or not)
A,IT,LOOK_PL,9,99,9,9,ITAFOR,9,2011,2015,53.9,2015,ISTAT SDMX,612_937_DF_DCCV_LAU_RIC_1,Job search in Italy or abroad (employed or not)
A,IT,LOOK_PL,9,99,9,9,ONLFOR,9,2011,2015,2.3,2015,ISTAT SDMX,612_937_DF_DCCV_LAU_RIC_1,Job search in Italy or abroad (employed or not)
A,IT,LOOK_PL,9,99,9,9,ONLITA,9,2011,2015,43.8,2015,ISTAT SDMX,612_937_DF_DCCV_LAU_RIC_1,Job search in Italy or abroad (employed or not)
A,IT,NO_ACH,1,72,9,9,ALL,0,2011,2015,42926.0,2015,ISTAT SDMX,612_937_DF_DCCV_LAU_RIC_1,Job search in Italy or abroad (employed or not)
A,IT,NO_ACH,1,72,9,9,ALL,1,2011,2015,26139.0,2015,ISTAT SDMX,612_937_DF_DCCV_LAU_RIC_1,Job search in Italy or abroad (employed or not)
A,IT,NO_ACH,1,72,9,9,ALL,9,2011,2015,69065.0,2015,ISTAT SDMX,612_937_DF_DCCV_LAU_RIC_1,Job search in Italy or abroad (employed or not)
A,IT,NO_ACH,1,73,9,9,ALL,0,2011,2015,34563.0,2015,ISTAT SDMX,612_937_DF_DCCV_LAU_RIC_1,Job search in Italy or abroad (employed or not)
A,IT,NO_ACH,1,73,9,9,ALL,1,2011,2015,17465.0,2015,ISTAT SDMX,612_937_DF_DCCV_LAU_RIC_1,Job search in Italy or abroad (employed or not)
A,IT,NO_ACH,1,73,9,9,ALL,9,2011,2015,52028.0,2015,ISTAT SDMX,612_937_DF_DCCV_LAU_RIC_1,Job search in Italy or abroad (employed or not)
A,IT,NO_ACH,1,99,9,9,ALL,0,2011,2015,77489.0,2015,ISTAT SDMX,612_937_DF_DCCV_LAU_RIC_1,Job search in Italy or abroad (employed or not)
A,IT,NO_ACH,1,99,9,9,ALL,1,2011,2015,43604.0,2015,ISTAT SDMX,612_937_DF_DCCV_LAU_RIC_1,Job search in Italy or abroad (employed or not)
A,IT,NO_ACH,1,99,9,9,ALL,9,2011,2015,121093.0,2015,ISTAT SDMX,612_937_DF_DCCV_LAU_RIC_1,Job search in Italy or abroad (employed or not)
A,IT,NO_ACH,2,72,9,9,ALL,0,2011,2015,52012.0,2015,ISTAT SDMX,612_937_DF_DCCV_LAU_RIC_1,Job search in Italy or abroad (employed or not)
A,IT,NO_ACH,2,72,9,9,ALL,1,2011,2015,45691.0,2015,ISTAT SDMX,612_937_DF_DCCV_LAU_RIC_1,Job search in Italy or abroad (employed or not)
A,IT,NO_ACH,2,72,9,9,ALL,9,2011,2015,97702.0,2015,ISTAT SDMX,612_937_DF_DCCV_LAU_RIC_1,Job search in Italy or abroad (employed or not)
A,IT,NO_ACH,2,73,9,9,ALL,0,2011,2015,44726.0,2015,ISTAT SDMX,612_937_DF_DCCV_LAU_RIC_1,Job search in Italy or abroad (employed or not)
A,IT,NO_ACH,2,73,9,9,ALL,1,2011,2015,30002.0,2015,ISTAT SDMX,612_937_DF_DCCV_LAU_RIC_1,Job search in Italy or abroad (employed or not)
A,IT,NO_ACH,2,73,9,9,ALL,9,2011,2015,74728.0,2015,ISTAT SDMX,612_937_DF_DCCV_LAU_RIC_1,Job search in Italy or abroad (employed or not)
A,IT,NO_ACH,2,99,9,9,ALL,0,2011,2015,96738.0,2015,ISTAT SDMX,612_937_DF_DCCV_LAU_RIC_1,Job search in Italy or abroad (employed or not)
A,IT,NO_ACH,2,99,9,9,ALL,1,2011,2015,75693.0,2015,ISTAT SDMX,612_937_DF_DCCV_LAU_RIC_1,Job search in Italy or abroad (employed or not)
A,IT,NO_ACH,2,99,9,9,ALL,9,2011,2015,172430.0,2015,ISTAT SDMX,612_937_DF_DCCV_LAU_RIC_1,Job search in Italy or abroad (employed or not)
A,IT,NO_ACH,9,72,9,9,ALL,0,2011,2015,94938.0,2015,ISTAT SDMX,612_937_DF_DCCV_LAU_RIC_1,Job search in Italy or abroad (employed or not)
A,IT,NO_ACH,9,72,9,9,ALL,1,2011,2015,71830.0,2015,ISTAT SDMX,612_937_DF_DCCV_LAU_RIC_1,Job search in Italy or abroad (employed or not)
A,IT,NO_ACH,9,72,9,9,ALL,9,2011,2015,166768.0,2015,ISTAT SDMX,612_937_DF_DCCV_LAU_RIC_1,Job search in Italy or abroad (employed or not)
A,IT,NO_ACH,9,73,9,9,ALL,0,2011,2015,79289.0,2015,ISTAT SDMX,612_937_DF_DCCV_LAU_RIC_1,Job search in Italy or abroad (employed or not)
A,IT,NO_ACH,9,73,9,9,ALL,1,2011,2015,47467.0,2015,ISTAT SDMX,612_937_DF_DCCV_LAU_RIC_1,Job search in Italy or abroad (employed or not)
A,IT,NO_ACH,9,73,9,9,ALL,9,2011,2015,126756.0,2015,ISTAT SDMX,612_937_DF_DCCV_LAU_RIC_1,Job search in Italy or abroad (employed or not)
A,IT,NO_ACH,9,99,9,9,ALL,0,2011,2015,174227.0,2015,ISTAT SDMX,612_937_DF_DCCV_LAU_RIC_1,Job search in Italy or abroad (employed or not)
A,IT,NO_ACH,9,99,9,9,ALL,1,2011,2015,119297.0,2015,ISTAT SDMX,612_937_DF_DCCV_LAU_RIC_1,Job search in Italy or abroad (employed or not)
A,IT,NO_ACH,9,99,9,9,ALL,9,2011,2015,293523.0,2015,ISTAT SDMX,612_937_DF_DCCV_LAU_RIC_1,Job search in Italy or abroad (employed or not)
A,IT,NO_ACH_J,1,72,9,9,ALL,0,2011,2015,62.2,2015,ISTAT SDMX,612_937_DF_DCCV_LAU_RIC_1,Job search in Italy or abroad (employed or not)
A,IT,NO_ACH_J,1,72,9,9,ALL,1,2011,2015,37.8,2015,ISTAT SDMX,612_937_DF_DCCV_LAU_RIC_1,Job search in Italy or abroad (employed or not)
A,IT,NO_ACH_J,1,72,9,9,ALL,9,2011,2015,100.0,2015,ISTAT SDMX,612_937_DF_DCCV_LAU_RIC_1,Job search in Italy or abroad (employed or not)
A,IT,NO_ACH_J,1,73,9,9,ALL,0,2011,2015,66.4,2015,ISTAT SDMX,612_937_DF_DCCV_LAU_RIC_1,Job search in Italy or abroad (employed or not)
A,IT,NO_ACH_J,1,73,9,9,ALL,1,2011,2015,33.6,2015,ISTAT SDMX,612_937_DF_DCCV_LAU_RIC_1,Job search in Italy or abroad (employed or not)
A,IT,NO_ACH_J,1,73,9,9,ALL,9,2011,2015,100.0,2015,ISTAT SDMX,612_937_DF_DCCV_LAU_RIC_1,Job search in Italy or abroad (employed or not)
A,IT,NO_ACH_J,1,99,9,9,ALL,0,2011,2015,64.0,2015,ISTAT SDMX,612_937_DF_DCCV_LAU_RIC_1,Job search in Italy or abroad (employed or not)
A,IT,NO_ACH_J,1,99,9,9,ALL,1,2011,2015,36.0,2015,ISTAT SDMX,612_937_DF_DCCV_LAU_RIC_1,Job search in Italy or abroad (employed or not)
A,IT,NO_ACH_J,1,99,9,9,ALL,9,2011,2015,100.0,2015,ISTAT SDMX,612_937_DF_DCCV_LAU_RIC_1,Job search in Italy or abroad (employed or not)
A,IT,NO_ACH_J,2,72,9,9,ALL,0,2011,2015,53.2,2015,ISTAT SDMX,612_937_DF_DCCV_LAU_RIC_1,Job search in Italy or abroad (employed or not)
A,IT,NO_ACH_J,2,72,9,9,ALL,1,2011,2015,46.8,2015,ISTAT SDMX,612_937_DF_DCCV_LAU_RIC_1,Job search in Italy or abroad (employed or not)
A,IT,NO_ACH_J,2,72,9,9,ALL,9,2011,2015,100.0,2015,ISTAT SDMX,612_937_DF_DCCV_LAU_RIC_1,Job search in Italy or abroad (employed or not)
A,IT,NO_ACH_J,2,73,9,9,ALL,0,2011,2015,59.9,2015,ISTAT SDMX,612_937_DF_DCCV_LAU_RIC_1,Job search in Italy or abroad (employed or not)
A,IT,NO_ACH_J,2,73,9,9,ALL,1,2011,2015,40.1,2015,ISTAT SDMX,612_937_DF_DCCV_LAU_RIC_1,Job search in Italy or abroad (employed or not)
A,IT,NO_ACH_J,2,73,9,9,ALL,9,2011,2015,100.0,2015,ISTAT SDMX,612_937_DF_DCCV_LAU_RIC_1,Job search in Italy or abroad (employed or not)
A,IT,NO_ACH_J,2,99,9,9,ALL,0,2011,2015,56.1,2015,ISTAT SDMX,612_937_DF_DCCV_LAU_RIC_1,Job search in Italy or abroad (employed or not)
A,IT,NO_ACH_J,2,99,9,9,ALL,1,2011,2015,43.9,2015,ISTAT SDMX,612_937_DF_DCCV_LAU_RIC_1,Job search in Italy or abroad (employed or not)
A,IT,NO_ACH_J,2,99,9,9,ALL,9,2011,2015,100.0,2015,ISTAT SDMX,612_937_DF_DCCV_LAU_RIC_1,Job search in Italy or abroad (employed or not)
A,IT,NO_ACH_J,9,72,9,9,ALL,0,2011,2015,56.9,2015,ISTAT SDMX,612_937_DF_DCCV_LAU_RIC_1,Job search in Italy or abroad (employed or not)
A,IT,NO_ACH_J,9,72,9,9,ALL,1,2011,2015,43.1,2015,ISTAT SDMX,612_937_DF_DCCV_LAU_RIC_1,Job search in Italy or abroad (employed or not)
A,IT,NO_ACH_J,9,72,9,9,ALL,9,2011,2015,100.0,2015,ISTAT SDMX,612_937_DF_DCCV_LAU_RIC_1,Job search in Italy or abroad (employed or not)
A,IT,NO_ACH_J,9,73,9,9,ALL,0,2011,2015,62.6,2015,ISTAT SDMX,612_937_DF_DCCV_LAU_RIC_1,Job search in Italy or abroad (employed or not)
A,IT,NO_ACH_J,9,73,9,9,ALL,1,2011,2015,37.4,2015,ISTAT SDMX,612_937_DF_DCCV_LAU_RIC_1,Job search in Italy or abroad (employed or not)
A,IT,NO_ACH_J,9,73,9,9,ALL,9,2011,2015,100.0,2015,ISTAT SDMX,612_937_DF_DCCV_LAU_RIC_1,Job search in Italy or abroad (employed or not)
A,IT,NO_ACH_J,9,99,9,9,ALL,0,2011,2015,59.4,2015,ISTAT SDMX,612_937_DF_DCCV_LAU_RIC_1,Job search in Italy or abroad (employed or not)
A,IT,NO_ACH_J,9,99,9,9,ALL,1,2011,2015,40.6,2015,ISTAT SDMX,612_937_DF_DCCV_LAU_RIC_1,Job search in Italy or abroad (employed or not)
A,IT,NO_ACH_J,9,99,9,9,ALL,9,2011,2015,100.0,2015,ISTAT SDMX,612_937_DF_DCCV_LAU_RIC_1,Job search in Italy or abroad (employed or not)
