ANNO;CODICE_ATENEO;NOME_ATENEO;REGIONE;AREA_GEO;TIPO_CONTRATTO;AREA_FUNZIONALE;GENERE;N_PERS_TA
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Personale TA a tempo determinato;07-Area non individuata;F;173
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Personale TA a tempo determinato;07-Area non individuata;M;143
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Personale TA a tempo indeterminato;07-Area non individuata;F;104
2024;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Personale TA a tempo determinato;01-Dirigenza amministrativa;M;2
2024;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Personale TA a tempo indeterminato;01-Dirigenza amministrativa;F;6
2024;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Personale TA a tempo indeterminato;01-Dirigenza amministrativa;M;2
2024;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Personale TA a tempo determinato;01-Dirigenza amministrativa;F;1
2024;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Personale TA a tempo determinato;02-Amministrativa ed Amministrativa-gestionale;F;61
2024;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Personale TA a tempo determinato;02-Amministrativa ed Amministrativa-gestionale;M;20
2024;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Personale TA a tempo indeterminato;02-Amministrativa ed Amministrativa-gestionale;F;812
2024;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Personale TA a tempo indeterminato;02-Amministrativa ed Amministrativa-gestionale;M;219
2024;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Personale TA a tempo determinato;03-Biblioteche;F;0
2024;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Personale TA a tempo determinato;03-Biblioteche;M;0
2024;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Personale TA a tempo indeterminato;03-Biblioteche;F;72
2024;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Personale TA a tempo indeterminato;03-Biblioteche;M;28
2024;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Personale TA a tempo indeterminato;04-Servizi generali e tecnici;F;21
2024;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Personale TA a tempo indeterminato;04-Servizi generali e tecnici;M;10
2024;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Personale TA a tempo determinato;04-Servizi generali e tecnici;M;0
2024;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Personale TA a tempo determinato;04-Servizi generali e tecnici;F;0
2024;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Personale TA a tempo determinato;05-Socio sanitaria, Medico-odontoiatrica e Socio sanitaria;M;0
2024;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Personale TA a tempo indeterminato;05-Socio sanitaria, Medico-odontoiatrica e Socio sanitaria;F;21
2024;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Personale TA a tempo indeterminato;05-Socio sanitaria, Medico-odontoiatrica e Socio sanitaria;M;6
2024;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Personale TA a tempo determinato;05-Socio sanitaria, Medico-odontoiatrica e Socio sanitaria;F;0
2024;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Personale TA a tempo determinato;06-Tecnica, Tecnico-scientifica ed Elaborazione dati;M;21
2024;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Personale TA a tempo indeterminato;06-Tecnica, Tecnico-scientifica ed Elaborazione dati;F;425
2024;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Personale TA a tempo determinato;06-Tecnica, Tecnico-scientifica ed Elaborazione dati;F;36
2024;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Personale TA a tempo indeterminato;06-Tecnica, Tecnico-scientifica ed Elaborazione dati;M;357
2024;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Personale TA a tempo determinato;07-Area non individuata;F;1
2024;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Personale TA a tempo determinato;07-Area non individuata;M;0
2024;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Personale TA a tempo indeterminato;07-Area non individuata;F;2
2024;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Personale TA a tempo indeterminato;07-Area non individuata;M;1
2024;00102;Torino - Politecnico;Piemonte;NORD-OVEST;Personale TA a tempo determinato;01-Dirigenza amministrativa;F;1
2024;00102;Torino - Politecnico;Piemonte;NORD-OVEST;Personale TA a tempo indeterminato;01-Dirigenza amministrativa;M;2
2024;00102;Torino - Politecnico;Piemonte;NORD-OVEST;Personale TA a tempo determinato;01-Dirigenza amministrativa;M;1
2024;00102;Torino - Politecnico;Piemonte;NORD-OVEST;Personale TA a tempo indeterminato;01-Dirigenza amministrativa;F;6
2024;00102;Torino - Politecnico;Piemonte;NORD-OVEST;Personale TA a tempo determinato;02-Amministrativa ed Amministrativa-gestionale;F;36
2024;00102;Torino - Politecnico;Piemonte;NORD-OVEST;Personale TA a tempo determinato;02-Amministrativa ed Amministrativa-gestionale;M;10
2024;00102;Torino - Politecnico;Piemonte;NORD-OVEST;Personale TA a tempo indeterminato;02-Amministrativa ed Amministrativa-gestionale;F;440
2024;00102;Torino - Politecnico;Piemonte;NORD-OVEST;Personale TA a tempo indeterminato;02-Amministrativa ed Amministrativa-gestionale;M;105
2024;00102;Torino - Politecnico;Piemonte;NORD-OVEST;Personale TA a tempo determinato;03-Biblioteche;M;0
2024;00102;Torino - Politecnico;Piemonte;NORD-OVEST;Personale TA a tempo indeterminato;03-Biblioteche;F;21
2024;00102;Torino - Politecnico;Piemonte;NORD-OVEST;Personale TA a tempo determinato;03-Biblioteche;F;1
2024;00102;Torino - Politecnico;Piemonte;NORD-OVEST;Personale TA a tempo indeterminato;03-Biblioteche;M;6
2024;00102;Torino - Politecnico;Piemonte;NORD-OVEST;Personale TA a tempo indeterminato;04-Servizi generali e tecnici;M;5
2024;00102;Torino - Politecnico;Piemonte;NORD-OVEST;Personale TA a tempo determinato;04-Servizi generali e tecnici;F;0
2024;00102;Torino - Politecnico;Piemonte;NORD-OVEST;Personale TA a tempo determinato;04-Servizi generali e tecnici;M;0
2024;00102;Torino - Politecnico;Piemonte;NORD-OVEST;Personale TA a tempo indeterminato;04-Servizi generali e tecnici;F;3
2024;00102;Torino - Politecnico;Piemonte;NORD-OVEST;Personale TA a tempo indeterminato;05-Socio sanitaria, Medico-odontoiatrica e Socio sanitaria;M;0
2024;00102;Torino - Politecnico;Piemonte;NORD-OVEST;Personale TA a tempo indeterminato;05-Socio sanitaria, Medico-odontoiatrica e Socio sanitaria;F;0
2024;00102;Torino - Politecnico;Piemonte;NORD-OVEST;Personale TA a tempo determinato;05-Socio sanitaria, Medico-odontoiatrica e Socio sanitaria;F;0
2024;00102;Torino - Politecnico;Piemonte;NORD-OVEST;Personale TA a tempo determinato;05-Socio sanitaria, Medico-odontoiatrica e Socio sanitaria;M;0
2024;00102;Torino - Politecnico;Piemonte;NORD-OVEST;Personale TA a tempo determinato;06-Tecnica, Tecnico-scientifica ed Elaborazione dati;F;14
2024;00102;Torino - Politecnico;Piemonte;NORD-OVEST;Personale TA a tempo determinato;06-Tecnica, Tecnico-scientifica ed Elaborazione dati;M;13
2024;00102;Torino - Politecnico;Piemonte;NORD-OVEST;Personale TA a tempo indeterminato;06-Tecnica, Tecnico-scientifica ed Elaborazione dati;F;94
2024;00102;Torino - Politecnico;Piemonte;NORD-OVEST;Personale TA a tempo indeterminato;06-Tecnica, Tecnico-scientifica ed Elaborazione dati;M;246
2024;00102;Torino - Politecnico;Piemonte;NORD-OVEST;Personale TA a tempo determinato;07-Area non individuata;F;0
2024;00102;Torino - Politecnico;Piemonte;NORD-OVEST;Personale TA a tempo determinato;07-Area non individuata;M;1
2024;00102;Torino - Politecnico;Piemonte;NORD-OVEST;Personale TA a tempo indeterminato;07-Area non individuata;F;0
2024;00102;Torino - Politecnico;Piemonte;NORD-OVEST;Personale TA a tempo indeterminato;07-Area non individuata;M;0
2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;Personale TA a tempo indeterminato;01-Dirigenza amministrativa;M;2
2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;Personale TA a tempo indeterminato;01-Dirigenza amministrativa;F;2
2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;Personale TA a tempo determinato;01-Dirigenza amministrativa;M;1
2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;Personale TA a tempo determinato;01-Dirigenza amministrativa;F;1
2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;Personale TA a tempo determinato;02-Amministrativa ed Amministrativa-gestionale;M;10
2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;Personale TA a tempo indeterminato;02-Amministrativa ed Amministrativa-gestionale;F;190
2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;Personale TA a tempo indeterminato;02-Amministrativa ed Amministrativa-gestionale;M;56
2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;Personale TA a tempo determinato;02-Amministrativa ed Amministrativa-gestionale;F;17
2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;Personale TA a tempo determinato;03-Biblioteche;M;0
2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;Personale TA a tempo indeterminato;03-Biblioteche;F;12
2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;Personale TA a tempo determinato;03-Biblioteche;F;0
2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;Personale TA a tempo indeterminato;03-Biblioteche;M;5
2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;Personale TA a tempo determinato;04-Servizi generali e tecnici;F;0
2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;Personale TA a tempo determinato;04-Servizi generali e tecnici;M;0
2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;Personale TA a tempo indeterminato;04-Servizi generali e tecnici;F;5
2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;Personale TA a tempo indeterminato;04-Servizi generali e tecnici;M;1
2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;Personale TA a tempo determinato;05-Socio sanitaria, Medico-odontoiatrica e Socio sanitaria;M;0
2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;Personale TA a tempo indeterminato;05-Socio sanitaria, Medico-odontoiatrica e Socio sanitaria;F;0
2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;Personale TA a tempo determinato;05-Socio sanitaria, Medico-odontoiatrica e Socio sanitaria;F;0
2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;Personale TA a tempo indeterminato;05-Socio sanitaria, Medico-odontoiatrica e Socio sanitaria;M;0
2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;Personale TA a tempo determinato;06-Tecnica, Tecnico-scientifica ed Elaborazione dati;F;0
2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;Personale TA a tempo determinato;06-Tecnica, Tecnico-scientifica ed Elaborazione dati;M;0
2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;Personale TA a tempo indeterminato;06-Tecnica, Tecnico-scientifica ed Elaborazione dati;F;36
2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;Personale TA a tempo indeterminato;06-Tecnica, Tecnico-scientifica ed Elaborazione dati;M;52
2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;Personale TA a tempo determinato;07-Area non individuata;M;0
2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;Personale TA a tempo indeterminato;07-Area non individuata;F;16
2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;Personale TA a tempo determinato;07-Area non individuata;F;0
2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;Personale TA a tempo indeterminato;07-Area non individuata;M;7
2024;00401;Bra (CN) - Università di Scienze Gastronomiche;Piemonte;NORD-OVEST;Personale TA a tempo indeterminato;01-Dirigenza amministrativa;M;0
2024;00401;Bra (CN) - Università di Scienze Gastronomiche;Piemonte;NORD-OVEST;Personale TA a tempo determinato;01-Dirigenza amministrativa;F;0
2024;00401;Bra (CN) - Università di Scienze Gastronomiche;Piemonte;NORD-OVEST;Personale TA a tempo determinato;01-Dirigenza amministrativa;M;0
2024;00401;Bra (CN) - Università di Scienze Gastronomiche;Piemonte;NORD-OVEST;Personale TA a tempo indeterminato;01-Dirigenza amministrativa;F;1
2024;00401;Bra (CN) - Università di Scienze Gastronomiche;Piemonte;NORD-OVEST;Personale TA a tempo indeterminato;02-Amministrativa ed Amministrativa-gestionale;M;6
2024;00401;Bra (CN) - Università di Scienze Gastronomiche;Piemonte;NORD-OVEST;Personale TA a tempo indeterminato;02-Amministrativa ed Amministrativa-gestionale;F;13
2024;00401;Bra (CN) - Università di Scienze Gastronomiche;Piemonte;NORD-OVEST;Personale TA a tempo determinato;02-Amministrativa ed Amministrativa-gestionale;F;1
2024;00401;Bra (CN) - Università di Scienze Gastronomiche;Piemonte;NORD-OVEST;Personale TA a tempo determinato;02-Amministrativa ed Amministrativa-gestionale;M;0
2024;00401;Bra (CN) - Università di Scienze Gastronomiche;Piemonte;NORD-OVEST;Personale TA a tempo determinato;03-Biblioteche;F;0
2024;00401;Bra (CN) - Università di Scienze Gastronomiche;Piemonte;NORD-OVEST;Personale TA a tempo determinato;03-Biblioteche;M;0
2024;00401;Bra (CN) - Università di Scienze Gastronomiche;Piemonte;NORD-OVEST;Personale TA a tempo indeterminato;03-Biblioteche;F;0
2024;00401;Bra (CN) - Università di Scienze Gastronomiche;Piemonte;NORD-OVEST;Personale TA a tempo indeterminato;03-Biblioteche;M;1
2024;00401;Bra (CN) - Università di Scienze Gastronomiche;Piemonte;NORD-OVEST;Personale TA a tempo determinato;04-Servizi generali e tecnici;M;0
2024;00401;Bra (CN) - Università di Scienze Gastronomiche;Piemonte;NORD-OVEST;Personale TA a tempo indeterminato;04-Servizi generali e tecnici;F;1
2024;00401;Bra (CN) - Università di Scienze Gastronomiche;Piemonte;NORD-OVEST;Personale TA a tempo determinato;04-Servizi generali e tecnici;F;0
2024;00401;Bra (CN) - Università di Scienze Gastronomiche;Piemonte;NORD-OVEST;Personale TA a tempo indeterminato;04-Servizi generali e tecnici;M;2
2024;00401;Bra (CN) - Università di Scienze Gastronomiche;Piemonte;NORD-OVEST;Personale TA a tempo indeterminato;05-Socio sanitaria, Medico-odontoiatrica e Socio sanitaria;M;0
2024;00401;Bra (CN) - Università di Scienze Gastronomiche;Piemonte;NORD-OVEST;Personale TA a tempo determinato;05-Socio sanitaria, Medico-odontoiatrica e Socio sanitaria;F;0
2024;00401;Bra (CN) - Università di Scienze Gastronomiche;Piemonte;NORD-OVEST;Personale TA a tempo determinato;05-Socio sanitaria, Medico-odontoiatrica e Socio sanitaria;M;0
2024;00401;Bra (CN) - Università di Scienze Gastronomiche;Piemonte;NORD-OVEST;Personale TA a tempo indeterminato;05-Socio sanitaria, Medico-odontoiatrica e Socio sanitaria;F;0
2024;00401;Bra (CN) - Università di Scienze Gastronomiche;Piemonte;NORD-OVEST;Personale TA a tempo indeterminato;06-Tecnica, Tecnico-scientifica ed Elaborazione dati;M;5
2024;00401;Bra (CN) - Università di Scienze Gastronomiche;Piemonte;NORD-OVEST;Personale TA a tempo indeterminato;06-Tecnica, Tecnico-scientifica ed Elaborazione dati;F;0
2024;00401;Bra (CN) - Università di Scienze Gastronomiche;Piemonte;NORD-OVEST;Personale TA a tempo determinato;06-Tecnica, Tecnico-scientifica ed Elaborazione dati;F;0
2024;00401;Bra (CN) - Università di Scienze Gastronomiche;Piemonte;NORD-OVEST;Personale TA a tempo determinato;06-Tecnica, Tecnico-scientifica ed Elaborazione dati;M;0
2024;00401;Bra (CN) - Università di Scienze Gastronomiche;Piemonte;NORD-OVEST;Personale TA a tempo determinato;07-Area non individuata;F;2
2024;00401;Bra (CN) - Università di Scienze Gastronomiche;Piemonte;NORD-OVEST;Personale TA a tempo determinato;07-Area non individuata;M;0
2024;00401;Bra (CN) - Università di Scienze Gastronomiche;Piemonte;NORD-OVEST;Personale TA a tempo indeterminato;07-Area non individuata;F;18
2024;00401;Bra (CN) - Università di Scienze Gastronomiche;Piemonte;NORD-OVEST;Personale TA a tempo indeterminato;07-Area non individuata;M;12
2024;00701;Aosta - Università degli studi;Valle d'Aosta;NORD-OVEST;Personale TA a tempo determinato;01-Dirigenza amministrativa;F;1
2024;00701;Aosta - Università degli studi;Valle d'Aosta;NORD-OVEST;Personale TA a tempo determinato;01-Dirigenza amministrativa;M;1
2024;00701;Aosta - Università degli studi;Valle d'Aosta;NORD-OVEST;Personale TA a tempo indeterminato;01-Dirigenza amministrativa;F;2
2024;00701;Aosta - Università degli studi;Valle d'Aosta;NORD-OVEST;Personale TA a tempo indeterminato;01-Dirigenza amministrativa;M;0
2024;00701;Aosta - Università degli studi;Valle d'Aosta;NORD-OVEST;Personale TA a tempo determinato;02-Amministrativa ed Amministrativa-gestionale;F;1
2024;00701;Aosta - Università degli studi;Valle d'Aosta;NORD-OVEST;Personale TA a tempo indeterminato;02-Amministrativa ed Amministrativa-gestionale;M;12
2024;00701;Aosta - Università degli studi;Valle d'Aosta;NORD-OVEST;Personale TA a tempo determinato;02-Amministrativa ed Amministrativa-gestionale;M;2
2024;00701;Aosta - Università degli studi;Valle d'Aosta;NORD-OVEST;Personale TA a tempo indeterminato;02-Amministrativa ed Amministrativa-gestionale;F;33
2024;00701;Aosta - Università degli studi;Valle d'Aosta;NORD-OVEST;Personale TA a tempo determinato;03-Biblioteche;F;0
2024;00701;Aosta - Università degli studi;Valle d'Aosta;NORD-OVEST;Personale TA a tempo determinato;03-Biblioteche;M;0
2024;00701;Aosta - Università degli studi;Valle d'Aosta;NORD-OVEST;Personale TA a tempo indeterminato;03-Biblioteche;F;2
2024;00701;Aosta - Università degli studi;Valle d'Aosta;NORD-OVEST;Personale TA a tempo indeterminato;03-Biblioteche;M;0
2024;00701;Aosta - Università degli studi;Valle d'Aosta;NORD-OVEST;Personale TA a tempo determinato;04-Servizi generali e tecnici;M;0
2024;00701;Aosta - Università degli studi;Valle d'Aosta;NORD-OVEST;Personale TA a tempo indeterminato;04-Servizi generali e tecnici;F;0
2024;00701;Aosta - Università degli studi;Valle d'Aosta;NORD-OVEST;Personale TA a tempo determinato;04-Servizi generali e tecnici;F;0
2024;00701;Aosta - Università degli studi;Valle d'Aosta;NORD-OVEST;Personale TA a tempo indeterminato;04-Servizi generali e tecnici;M;0
2024;00701;Aosta - Università degli studi;Valle d'Aosta;NORD-OVEST;Personale TA a tempo determinato;05-Socio sanitaria, Medico-odontoiatrica e Socio sanitaria;F;0
2024;00701;Aosta - Università degli studi;Valle d'Aosta;NORD-OVEST;Personale TA a tempo determinato;05-Socio sanitaria, Medico-odontoiatrica e Socio sanitaria;M;0
2024;00701;Aosta - Università degli studi;Valle d'Aosta;NORD-OVEST;Personale TA a tempo indeterminato;05-Socio sanitaria, Medico-odontoiatrica e Socio sanitaria;F;0
2024;00701;Aosta - Università degli studi;Valle d'Aosta;NORD-OVEST;Personale TA a tempo indeterminato;05-Socio sanitaria, Medico-odontoiatrica e Socio sanitaria;M;0
2024;00701;Aosta - Università degli studi;Valle d'Aosta;NORD-OVEST;Personale TA a tempo determinato;06-Tecnica, Tecnico-scientifica ed Elaborazione dati;M;0
2024;00701;Aosta - Università degli studi;Valle d'Aosta;NORD-OVEST;Personale TA a tempo indeterminato;06-Tecnica, Tecnico-scientifica ed Elaborazione dati;F;3
2024;00701;Aosta - Università degli studi;Valle d'Aosta;NORD-OVEST;Personale TA a tempo determinato;06-Tecnica, Tecnico-scientifica ed Elaborazione dati;F;0
2024;00701;Aosta - Università degli studi;Valle d'Aosta;NORD-OVEST;Personale TA a tempo indeterminato;06-Tecnica, Tecnico-scientifica ed Elaborazione dati;M;5
2024;00701;Aosta - Università degli studi;Valle d'Aosta;NORD-OVEST;Personale TA a tempo determinato;07-Area non individuata;F;0
2024;00701;Aosta - Università degli studi;Valle d'Aosta;NORD-OVEST;Personale TA a tempo determinato;07-Area non individuata;M;0
2024;00701;Aosta - Università degli studi;Valle d'Aosta;NORD-OVEST;Personale TA a tempo indeterminato;07-Area non individuata;F;3
2024;00701;Aosta - Università degli studi;Valle d'Aosta;NORD-OVEST;Personale TA a tempo indeterminato;07-Area non individuata;M;1
2024;01001;Genova - Università degli studi;Liguria;NORD-OVEST;Personale TA a tempo determinato;01-Dirigenza amministrativa;M;0
2024;01001;Genova - Università degli studi;Liguria;NORD-OVEST;Personale TA a tempo indeterminato;01-Dirigenza amministrativa;F;7
2024;01001;Genova - Università degli studi;Liguria;NORD-OVEST;Personale TA a tempo determinato;01-Dirigenza amministrativa;F;0
2024;01001;Genova - Università degli studi;Liguria;NORD-OVEST;Personale TA a tempo indeterminato;01-Dirigenza amministrativa;M;3
2024;01001;Genova - Università degli studi;Liguria;NORD-OVEST;Personale TA a tempo indeterminato;02-Amministrativa ed Amministrativa-gestionale;M;142
2024;01001;Genova - Università degli studi;Liguria;NORD-OVEST;Personale TA a tempo determinato;02-Amministrativa ed Amministrativa-gestionale;F;10
2024;01001;Genova - Università degli studi;Liguria;NORD-OVEST;Personale TA a tempo determinato;02-Amministrativa ed Amministrativa-gestionale;M;3
2024;01001;Genova - Università degli studi;Liguria;NORD-OVEST;Personale TA a tempo indeterminato;02-Amministrativa ed Amministrativa-gestionale;F;534
2024;01001;Genova - Università degli studi;Liguria;NORD-OVEST;Personale TA a tempo indeterminato;03-Biblioteche;M;14
2024;01001;Genova - Università degli studi;Liguria;NORD-OVEST;Personale TA a tempo indeterminato;03-Biblioteche;F;38
2024;01001;Genova - Università degli studi;Liguria;NORD-OVEST;Personale TA a tempo determinato;03-Biblioteche;F;0
2024;01001;Genova - Università degli studi;Liguria;NORD-OVEST;Personale TA a tempo determinato;03-Biblioteche;M;0
2024;01001;Genova - Università degli studi;Liguria;NORD-OVEST;Personale TA a tempo determinato;04-Servizi generali e tecnici;F;0
2024;01001;Genova - Università degli studi;Liguria;NORD-OVEST;Personale TA a tempo determinato;04-Servizi generali e tecnici;M;0
2024;01001;Genova - Università degli studi;Liguria;NORD-OVEST;Personale TA a tempo indeterminato;04-Servizi generali e tecnici;F;29
2024;01001;Genova - Università degli studi;Liguria;NORD-OVEST;Personale TA a tempo indeterminato;04-Servizi generali e tecnici;M;38
2024;01001;Genova - Università degli studi;Liguria;NORD-OVEST;Personale TA a tempo determinato;05-Socio sanitaria, Medico-odontoiatrica e Socio sanitaria;M;0
2024;01001;Genova - Università degli studi;Liguria;NORD-OVEST;Personale TA a tempo indeterminato;05-Socio sanitaria, Medico-odontoiatrica e Socio sanitaria;F;20
2024;01001;Genova - Università degli studi;Liguria;NORD-OVEST;Personale TA a tempo determinato;05-Socio sanitaria, Medico-odontoiatrica e Socio sanitaria;F;0
