freq,territorio,ind_type,measure,sesso,decimals,time_period,obs_value,year
A,ITC,ENT_RATE_TER,1,9,1,2016,54.1,2016
A,ITC,ENT_RATE_TER,1,9,1,2017,53.9,2017
A,ITC,ENR_RATE,1,1,1,2010,29.6,2010
A,ITC,ENR_RATE,1,1,1,2011,29.2,2011
A,ITC,ENR_RATE,1,1,1,2012,28.7,2012
A,ITC,ENR_RATE,1,1,1,2013,29.8,2013
A,ITC,ENR_RATE,1,1,1,2014,29.0,2014
A,ITC,ENR_RATE,1,1,1,2015,28.9,2015
A,ITC,ENR_RATE,1,1,1,2016,29.2,2016
A,ITC,ENR_RATE,1,1,1,2017,29.7,2017
A,ITC,ENR_RATE,1,2,1,2010,38.8,2010
A,ITC,ENR_RATE,1,2,1,2011,38.2,2011
A,ITC,ENR_RATE,1,2,1,2012,38.0,2012
A,ITC,ENR_RATE,1,2,1,2013,39.3,2013
A,ITC,ENR_RATE,1,2,1,2014,38.2,2014
A,ITC,ENR_RATE,1,2,1,2015,37.8,2015
A,ITC,ENR_RATE,1,2,1,2016,38.2,2016
A,ITC,ENR_RATE,1,2,1,2017,39.0,2017
A,ITC,ENR_RATE,1,9,1,2010,34.1,2010
A,ITC,ENR_RATE,1,9,1,2011,33.6,2011
A,ITC,ENR_RATE,1,9,1,2012,33.3,2012
A,ITC,ENR_RATE,1,9,1,2013,34.4,2013
A,ITC,ENR_RATE,1,9,1,2014,33.5,2014
A,ITC,ENR_RATE,1,9,1,2015,33.2,2015
A,ITC,ENR_RATE,1,9,1,2016,33.6,2016
A,ITC,ENR_RATE,1,9,1,2017,34.2,2017
A,ITC,GRAD_RATE_I,1,1,1,2010,25.1,2010
A,ITC,GRAD_RATE_I,1,1,1,2011,24.8,2011
A,ITC,GRAD_RATE_I,1,1,1,2012,24.8,2012
A,ITC,GRAD_RATE_I,1,1,1,2013,24.2,2013
A,ITC,GRAD_RATE_I,1,1,1,2014,24.8,2014
A,ITC,GRAD_RATE_I,1,1,1,2015,25.0,2015
A,ITC,GRAD_RATE_I,1,1,1,2016,25.8,2016
A,ITC,GRAD_RATE_I,1,1,1,2017,26.6,2017
A,ITC,GRAD_RATE_I,1,2,1,2010,34.3,2010
A,ITC,GRAD_RATE_I,1,2,1,2011,34.4,2011
A,ITC,GRAD_RATE_I,1,2,1,2012,35.8,2012
A,ITC,GRAD_RATE_I,1,2,1,2013,35.7,2013
A,ITC,GRAD_RATE_I,1,2,1,2014,37.5,2014
A,ITC,GRAD_RATE_I,1,2,1,2015,37.8,2015
A,ITC,GRAD_RATE_I,1,2,1,2016,37.9,2016
A,ITC,GRAD_RATE_I,1,2,1,2017,37.9,2017
A,ITC,GRAD_RATE_I,1,9,1,2010,29.7,2010
A,ITC,GRAD_RATE_I,1,9,1,2011,29.6,2011
A,ITC,GRAD_RATE_I,1,9,1,2012,30.3,2012
A,ITC,GRAD_RATE_I,1,9,1,2013,29.9,2013
A,ITC,GRAD_RATE_I,1,9,1,2014,31.0,2014
A,ITC,GRAD_RATE_I,1,9,1,2015,31.3,2015
A,ITC,GRAD_RATE_I,1,9,1,2016,31.8,2016
A,ITC,GRAD_RATE_I,1,9,1,2017,32.2,2017
A,ITC,GRAD_RATE_II,1,1,1,2010,14.5,2010
A,ITC,GRAD_RATE_II,1,1,1,2011,14.8,2011
A,ITC,GRAD_RATE_II,1,1,1,2012,15.3,2012
A,ITC,GRAD_RATE_II,1,1,1,2013,15.3,2013
A,ITC,GRAD_RATE_II,1,1,1,2014,14.6,2014
A,ITC,GRAD_RATE_II,1,1,1,2015,14.6,2015
A,ITC,GRAD_RATE_II,1,1,1,2016,14.9,2016
A,ITC,GRAD_RATE_II,1,1,1,2017,15.4,2017
A,ITC,GRAD_RATE_II,1,2,1,2010,19.9,2010
A,ITC,GRAD_RATE_II,1,2,1,2011,20.1,2011
A,ITC,GRAD_RATE_II,1,2,1,2012,21.2,2012
A,ITC,GRAD_RATE_II,1,2,1,2013,21.7,2013
A,ITC,GRAD_RATE_II,1,2,1,2014,20.9,2014
A,ITC,GRAD_RATE_II,1,2,1,2015,21.1,2015
A,ITC,GRAD_RATE_II,1,2,1,2016,20.5,2016
A,ITC,GRAD_RATE_II,1,2,1,2017,21.2,2017
A,ITC,GRAD_RATE_II,1,9,1,2010,17.2,2010
A,ITC,GRAD_RATE_II,1,9,1,2011,17.5,2011
A,ITC,GRAD_RATE_II,1,9,1,2012,18.2,2012
A,ITC,GRAD_RATE_II,1,9,1,2013,18.4,2013
A,ITC,GRAD_RATE_II,1,9,1,2014,17.7,2014
A,ITC,GRAD_RATE_II,1,9,1,2015,17.8,2015
A,ITC,GRAD_RATE_II,1,9,1,2016,17.6,2016
A,ITC,GRAD_RATE_II,1,9,1,2017,18.2,2017
A,ITC1,ENT_RATE_TER,1,1,1,2010,56.5,2010
A,ITC1,ENT_RATE_TER,1,1,1,2011,63.8,2011
A,ITC1,ENT_RATE_TER,1,1,1,2012,53.8,2012
A,ITC1,ENT_RATE_TER,1,1,1,2013,53.6,2013
A,ITC1,ENT_RATE_TER,1,1,1,2014,48.4,2014
A,ITC1,ENT_RATE_TER,1,1,1,2015,47.1,2015
A,ITC1,ENT_RATE_TER,1,1,1,2016,48.1,2016
A,ITC1,ENT_RATE_TER,1,1,1,2017,47.2,2017
A,ITC1,ENT_RATE_TER,1,2,1,2010,63.4,2010
A,ITC1,ENT_RATE_TER,1,2,1,2011,63.8,2011
A,ITC1,ENT_RATE_TER,1,2,1,2012,60.6,2012
A,ITC1,ENT_RATE_TER,1,2,1,2013,63.5,2013
A,ITC1,ENT_RATE_TER,1,2,1,2014,56.9,2014
A,ITC1,ENT_RATE_TER,1,2,1,2015,55.9,2015
A,ITC1,ENT_RATE_TER,1,2,1,2016,56.7,2016
A,ITC1,ENT_RATE_TER,1,2,1,2017,57.3,2017
A,ITC1,ENT_RATE_TER,1,9,1,2010,60.2,2010
A,ITC1,ENT_RATE_TER,1,9,1,2011,60.1,2011
A,ITC1,ENT_RATE_TER,1,9,1,2012,57.4,2012
A,ITC1,ENT_RATE_TER,1,9,1,2013,58.8,2013
A,ITC1,ENT_RATE_TER,1,9,1,2014,52.9,2014
A,ITC1,ENT_RATE_TER,1,9,1,2015,51.7,2015
A,ITC1,ENT_RATE_TER,1,9,1,2016,52.5,2016
A,ITC1,ENT_RATE_TER,1,9,1,2017,52.4,2017
A,ITC1,ENR_RATE,1,1,1,2010,30.6,2010
A,ITC1,ENR_RATE,1,1,1,2011,30.2,2011
A,ITC1,ENR_RATE,1,1,1,2012,29.5,2012
A,ITC1,ENR_RATE,1,1,1,2013,30.4,2013
A,ITC1,ENR_RATE,1,1,1,2014,29.5,2014
A,ITC1,ENR_RATE,1,1,1,2015,29.5,2015
A,ITC1,ENR_RATE,1,1,1,2016,29.5,2016
A,ITC1,ENR_RATE,1,1,1,2017,30.1,2017
A,ITC1,ENR_RATE,1,2,1,2010,39.8,2010
A,ITC1,ENR_RATE,1,2,1,2011,39.6,2011
A,ITC1,ENR_RATE,1,2,1,2012,38.7,2012
A,ITC1,ENR_RATE,1,2,1,2013,40.4,2013
A,ITC1,ENR_RATE,1,2,1,2014,39.2,2014
A,ITC1,ENR_RATE,1,2,1,2015,39.2,2015
A,ITC1,ENR_RATE,1,2,1,2016,39.0,2016
A,ITC1,ENR_RATE,1,2,1,2017,40.3,2017
A,ITC1,ENR_RATE,1,9,1,2010,35.1,2010
A,ITC1,ENR_RATE,1,9,1,2011,34.8,2011
A,ITC1,ENR_RATE,1,9,1,2012,34.0,2012
A,ITC1,ENR_RATE,1,9,1,2013,35.3,2013
A,ITC1,ENR_RATE,1,9,1,2014,34.2,2014
A,ITC1,ENR_RATE,1,9,1,2015,34.2,2015
A,ITC1,ENR_RATE,1,9,1,2016,34.1,2016
A,ITC1,ENR_RATE,1,9,1,2017,35.0,2017
A,ITC1,GRAD_RATE_I,1,1,1,2010,24.6,2010
A,ITC1,GRAD_RATE_I,1,1,1,2011,25.2,2011
A,ITC1,GRAD_RATE_I,1,1,1,2012,24.7,2012
A,ITC1,GRAD_RATE_I,1,1,1,2013,24.0,2013
A,ITC1,GRAD_RATE_I,1,1,1,2014,25.0,2014
A,ITC1,GRAD_RATE_I,1,1,1,2015,23.7,2015
A,ITC1,GRAD_RATE_I,1,1,1,2016,24.7,2016
A,ITC1,GRAD_RATE_I,1,1,1,2017,24.9,2017
A,ITC1,GRAD_RATE_I,1,2,1,2010,33.4,2010
A,ITC1,GRAD_RATE_I,1,2,1,2011,35.5,2011
A,ITC1,GRAD_RATE_I,1,2,1,2012,35.5,2012
A,ITC1,GRAD_RATE_I,1,2,1,2013,33.9,2013
A,ITC1,GRAD_RATE_I,1,2,1,2014,36.1,2014
A,ITC1,GRAD_RATE_I,1,2,1,2015,35.3,2015
A,ITC1,GRAD_RATE_I,1,2,1,2016,37.1,2016
A,ITC1,GRAD_RATE_I,1,2,1,2017,36.9,2017
A,ITC1,GRAD_RATE_I,1,9,1,2010,29.0,2010
A,ITC1,GRAD_RATE_I,1,9,1,2011,30.4,2011
A,ITC1,GRAD_RATE_I,1,9,1,2012,30.0,2012
A,ITC1,GRAD_RATE_I,1,9,1,2013,28.9,2013
A,ITC1,GRAD_RATE_I,1,9,1,2014,30.4,2014
A,ITC1,GRAD_RATE_I,1,9,1,2015,29.4,2015
A,ITC1,GRAD_RATE_I,1,9,1,2016,30.8,2016
A,ITC1,GRAD_RATE_I,1,9,1,2017,30.7,2017
A,ITC1,GRAD_RATE_II,1,1,1,2010,13.8,2010
A,ITC1,GRAD_RATE_II,1,1,1,2011,14.9,2011
A,ITC1,GRAD_RATE_II,1,1,1,2012,15.6,2012
A,ITC1,GRAD_RATE_II,1,1,1,2013,14.9,2013
A,ITC1,GRAD_RATE_II,1,1,1,2014,13.8,2014
A,ITC1,GRAD_RATE_II,1,1,1,2015,14.5,2015
A,ITC1,GRAD_RATE_II,1,1,1,2016,14.7,2016
A,ITC1,GRAD_RATE_II,1,1,1,2017,15.4,2017
A,ITC1,GRAD_RATE_II,1,2,1,2010,19.6,2010
A,ITC1,GRAD_RATE_II,1,2,1,2011,20.0,2011
A,ITC1,GRAD_RATE_II,1,2,1,2012,21.2,2012
A,ITC1,GRAD_RATE_II,1,2,1,2013,21.0,2013
A,ITC1,GRAD_RATE_II,1,2,1,2014,19.2,2014
A,ITC1,GRAD_RATE_II,1,2,1,2015,20.0,2015
A,ITC1,GRAD_RATE_II,1,2,1,2016,19.5,2016
A,ITC1,GRAD_RATE_II,1,2,1,2017,20.6,2017
A,ITC1,GRAD_RATE_II,1,9,1,2010,16.7,2010
A,ITC1,GRAD_RATE_II,1,9,1,2011,17.5,2011
A,ITC1,GRAD_RATE_II,1,9,1,2012,18.4,2012
A,ITC1,GRAD_RATE_II,1,9,1,2013,18.0,2013
A,ITC1,GRAD_RATE_II,1,9,1,2014,16.4,2014
A,ITC1,GRAD_RATE_II,1,9,1,2015,17.2,2015
A,ITC1,GRAD_RATE_II,1,9,1,2016,17.1,2016
A,ITC1,GRAD_RATE_II,1,9,1,2017,18.0,2017
A,ITC2,ENT_RATE_TER,1,1,1,2010,59.9,2010
A,ITC2,ENT_RATE_TER,1,1,1,2011,57.5,2011
A,ITC2,ENT_RATE_TER,1,1,1,2012,65.0,2012
A,ITC2,ENT_RATE_TER,1,1,1,2013,63.0,2013
A,ITC2,ENT_RATE_TER,1,1,1,2014,43.8,2014
A,ITC2,ENT_RATE_TER,1,1,1,2015,46.0,2015
A,ITC2,ENT_RATE_TER,1,1,1,2016,48.4,2016
A,ITC2,ENT_RATE_TER,1,2,1,2010,72.4,2010
A,ITC2,ENT_RATE_TER,1,2,1,2011,57.5,2011
A,ITC2,ENT_RATE_TER,1,2,1,2012,75.4,2012
A,ITC2,ENT_RATE_TER,1,2,1,2013,71.0,2013
A,ITC2,ENT_RATE_TER,1,2,1,2014,59.9,2014
A,ITC2,ENT_RATE_TER,1,2,1,2015,58.3,2015
A,ITC2,ENT_RATE_TER,1,2,1,2016,49.8,2016
A,ITC2,ENT_RATE_TER,1,9,1,2010,66.8,2010
A,ITC2,ENT_RATE_TER,1,9,1,2011,54.3,2011
A,ITC2,ENT_RATE_TER,1,9,1,2012,70.5,2012
A,ITC2,ENT_RATE_TER,1,9,1,2013,67.3,2013
A,ITC2,ENT_RATE_TER,1,9,1,2014,52.6,2014
A,ITC2,ENT_RATE_TER,1,9,1,2015,52.8,2015
A,ITC2,ENT_RATE_TER,1,9,1,2016,49.1,2016
A,ITC2,ENR_RATE,1,1,1,2010,29.9,2010
A,ITC2,ENR_RATE,1,1,1,2011,30.0,2011
A,ITC2,ENR_RATE,1,1,1,2012,29.6,2012
A,ITC2,ENR_RATE,1,1,1,2013,30.2,2013
A,ITC2,ENR_RATE,1,1,1,2014,28.4,2014
A,ITC2,ENR_RATE,1,1,1,2015,28.7,2015
A,ITC2,ENR_RATE,1,1,1,2016,28.6,2016
A,ITC2,ENR_RATE,1,1,1,2017,28.2,2017
A,ITC2,ENR_RATE,1,2,1,2010,45.5,2010
A,ITC2,ENR_RATE,1,2,1,2011,45.2,2011
A,ITC2,ENR_RATE,1,2,1,2012,43.9,2012
A,ITC2,ENR_RATE,1,2,1,2013,45.9,2013
A,ITC2,ENR_RATE,1,2,1,2014,43.7,2014
A,ITC2,ENR_RATE,1,2,1,2015,42.1,2015
A,ITC2,ENR_RATE,1,2,1,2016,40.3,2016
A,ITC2,ENR_RATE,1,2,1,2017,42.1,2017
A,ITC2,ENR_RATE,1,9,1,2010,37.6,2010
A,ITC2,ENR_RATE,1,9,1,2011,37.5,2011
A,ITC2,ENR_RATE,1,9,1,2012,36.6,2012
A,ITC2,ENR_RATE,1,9,1,2013,37.8,2013
A,ITC2,ENR_RATE,1,9,1,2014,35.9,2014
A,ITC2,ENR_RATE,1,9,1,2015,35.2,2015
A,ITC2,ENR_RATE,1,9,1,2016,34.4,2016
A,ITC2,ENR_RATE,1,9,1,2017,34.9,2017
A,ITC2,GRAD_RATE_I,1,1,1,2010,27.6,2010
A,ITC2,GRAD_RATE_I,1,1,1,2011,27.0,2011
A,ITC2,GRAD_RATE_I,1,1,1,2012,22.8,2012
A,ITC2,GRAD_RATE_I,1,1,1,2013,22.3,2013
A,ITC2,GRAD_RATE_I,1,1,1,2014,23.1,2014
A,ITC2,GRAD_RATE_I,1,1,1,2015,23.6,2015
A,ITC2,GRAD_RATE_I,1,1,1,2016,26.6,2016
A,ITC2,GRAD_RATE_I,1,1,1,2017,23.7,2017
A,ITC2,GRAD_RATE_I,1,2,1,2010,40.4,2010
A,ITC2,GRAD_RATE_I,1,2,1,2011,42.7,2011
A,ITC2,GRAD_RATE_I,1,2,1,2012,35.6,2012
A,ITC2,GRAD_RATE_I,1,2,1,2013,37.4,2013
A,ITC2,GRAD_RATE_I,1,2,1,2014,42.9,2014
A,ITC2,GRAD_RATE_I,1,2,1,2015,48.1,2015
A,ITC2,GRAD_RATE_I,1,2,1,2016,41.7,2016
A,ITC2,GRAD_RATE_I,1,2,1,2017,37.6,2017
A,ITC2,GRAD_RATE_I,1,9,1,2010,33.8,2010
A,ITC2,GRAD_RATE_I,1,9,1,2011,34.6,2011
A,ITC2,GRAD_RATE_I,1,9,1,2012,29.5,2012
A,ITC2,GRAD_RATE_I,1,9,1,2013,29.7,2013
A,ITC2,GRAD_RATE_I,1,9,1,2014,32.5,2014
A,ITC2,GRAD_RATE_I,1,9,1,2015,35.2,2015
A,ITC2,GRAD_RATE_I,1,9,1,2016,33.7,2016
A,ITC2,GRAD_RATE_I,1,9,1,2017,30.8,2017
A,ITC2,GRAD_RATE_II,1,1,1,2010,15.3,2010
A,ITC2,GRAD_RATE_II,1,1,1,2011,12.9,2011
A,ITC2,GRAD_RATE_II,1,1,1,2012,14.5,2012
A,ITC2,GRAD_RATE_II,1,1,1,2013,16.0,2013
A,ITC2,GRAD_RATE_II,1,1,1,2014,13.9,2014
A,ITC2,GRAD_RATE_II,1,1,1,2015,12.2,2015
A,ITC2,GRAD_RATE_II,1,1,1,2016,13.8,2016
A,ITC2,GRAD_RATE_II,1,1,1,2017,14.8,2017
A,ITC2,GRAD_RATE_II,1,2,1,2010,20.4,2010
A,ITC2,GRAD_RATE_II,1,2,1,2011,25.4,2011
A,ITC2,GRAD_RATE_II,1,2,1,2012,20.6,2012
A,ITC2,GRAD_RATE_II,1,2,1,2013,19.3,2013
A,ITC2,GRAD_RATE_II,1,2,1,2014,21.9,2014
A,ITC2,GRAD_RATE_II,1,2,1,2015,25.4,2015
A,ITC2,GRAD_RATE_II,1,2,1,2016,24.8,2016
A,ITC2,GRAD_RATE_II,1,2,1,2017,19.3,2017
A,ITC2,GRAD_RATE_II,1,9,1,2010,17.8,2010
A,ITC2,GRAD_RATE_II,1,9,1,2011,19.0,2011
A,ITC2,GRAD_RATE_II,1,9,1,2012,17.7,2012
A,ITC2,GRAD_RATE_II,1,9,1,2013,17.6,2013
A,ITC2,GRAD_RATE_II,1,9,1,2014,17.7,2014
A,ITC2,GRAD_RATE_II,1,9,1,2015,18.5,2015
A,ITC2,GRAD_RATE_II,1,9,1,2016,19.0,2016
A,ITC2,GRAD_RATE_II,1,9,1,2017,17.1,2017
A,ITC3,ENT_RATE_TER,1,1,1,2010,60.1,2010
A,ITC3,ENT_RATE_TER,1,1,1,2011,68.3,2011
A,ITC3,ENT_RATE_TER,1,1,1,2012,56.4,2012
A,ITC3,ENT_RATE_TER,1,1,1,2013,58.5,2013
A,ITC3,ENT_RATE_TER,1,1,1,2014,51.4,2014
A,ITC3,ENT_RATE_TER,1,1,1,2015,49.2,2015
A,ITC3,ENT_RATE_TER,1,1,1,2016,50.4,2016
A,ITC3,ENT_RATE_TER,1,1,1,2017,50.4,2017
A,ITC3,ENT_RATE_TER,1,2,1,2010,70.9,2010
A,ITC3,ENT_RATE_TER,1,2,1,2011,68.3,2011
A,ITC3,ENT_RATE_TER,1,2,1,2012,64.4,2012
A,ITC3,ENT_RATE_TER,1,2,1,2013,67.9,2013
A,ITC3,ENT_RATE_TER,1,2,1,2014,58.8,2014
A,ITC3,ENT_RATE_TER,1,2,1,2015,58.3,2015
A,ITC3,ENT_RATE_TER,1,2,1,2016,59.3,2016
A,ITC3,ENT_RATE_TER,1,2,1,2017,59.8,2017
A,ITC3,ENT_RATE_TER,1,9,1,2010,65.7,2010
A,ITC3,ENT_RATE_TER,1,9,1,2011,64.0,2011
A,ITC3,ENT_RATE_TER,1,9,1,2012,60.6,2012
A,ITC3,ENT_RATE_TER,1,9,1,2013,63.3,2013
A,ITC3,ENT_RATE_TER,1,9,1,2014,55.1,2014
A,ITC3,ENT_RATE_TER,1,9,1,2015,53.8,2015
A,ITC3,ENT_RATE_TER,1,9,1,2016,54.9,2016
A,ITC3,ENT_RATE_TER,1,9,1,2017,55.2,2017
A,ITC3,ENR_RATE,1,1,1,2010,35.8,2010
A,ITC3,ENR_RATE,1,1,1,2011,34.8,2011
A,ITC3,ENR_RATE,1,1,1,2012,33.1,2012
A,ITC3,ENR_RATE,1,1,1,2013,34.8,2013
A,ITC3,ENR_RATE,1,1,1,2014,33.5,2014
A,ITC3,ENR_RATE,1,1,1,2015,33.8,2015
A,ITC3,ENR_RATE,1,1,1,2016,34.1,2016
A,ITC3,ENR_RATE,1,1,1,2017,34.6,2017
A,ITC3,ENR_RATE,1,2,1,2010,47.5,2010
A,ITC3,ENR_RATE,1,2,1,2011,46.5,2011
A,ITC3,ENR_RATE,1,2,1,2012,44.3,2012
A,ITC3,ENR_RATE,1,2,1,2013,46.2,2013
A,ITC3,ENR_RATE,1,2,1,2014,43.8,2014
A,ITC3,ENR_RATE,1,2,1,2015,43.7,2015
A,ITC3,ENR_RATE,1,2,1,2016,44.2,2016
A,ITC3,ENR_RATE,1,2,1,2017,45.6,2017
A,ITC3,ENR_RATE,1,9,1,2010,41.5,2010
A,ITC3,ENR_RATE,1,9,1,2011,40.6,2011
A,ITC3,ENR_RATE,1,9,1,2012,38.6,2012
A,ITC3,ENR_RATE,1,9,1,2013,40.4,2013
A,ITC3,ENR_RATE,1,9,1,2014,38.5,2014
A,ITC3,ENR_RATE,1,9,1,2015,38.6,2015
A,ITC3,ENR_RATE,1,9,1,2016,39.0,2016
