ANNO_ACCADEMICO;TIPO_ISTITUTO;Area_Istituto;NOME_ISTITUTO;COMUNE_SEDE;COD_ISTITUTO;REGIONE_ISTITUTO;AREA_CORSO;TIPO_CORSO;SCUOLA_AGGREGAZIONE;CLASSE;CORSO;GENERE;ISCRITTI
2019-2020;Accademia di Belle Arti;Area Artistica;ALBERTINA;TORINO;7334;PIEMONTE;Comunicazione e didattica dell'arte;AFAM_Corso Diploma accademico 2L;COMUNICAZIONE E VALORIZZAZIONE DEL PATRIMONIO ARTISTICO CONTEMPORANEO;DASL09;Comunicazione e valorizzazione del patrimonio artistico contemporaneo;F;44
2019-2020;Accademia di Belle Arti;Area Artistica;ALBERTINA;TORINO;7334;PIEMONTE;Comunicazione e didattica dell'arte;AFAM_Corso Diploma accademico 2L;DIDATTICA DELL'ARTE;DASL10;Didattica dell'Arte - Ind. Didattica museale;F;10
2019-2020;Accademia di Belle Arti;Area Artistica;ALBERTINA;TORINO;7334;PIEMONTE;Progettazione e arti applicate;AFAM_Corso Diploma accademico 1L;NUOVE TECNOLOGIE PER L’ARTE;DAPL08;Nuove Tecnologie dell'Arte;M;66
2019-2020;Accademia di Belle Arti;Area Artistica;ALBERTINA;TORINO;7334;PIEMONTE;Progettazione e arti applicate;AFAM_Corso Diploma accademico 1L;NUOVE TECNOLOGIE PER L’ARTE;DAPL08;Nuove Tecnologie dell'Arte;F;54
2019-2020;Accademia di Belle Arti;Area Artistica;ALBERTINA;TORINO;7334;PIEMONTE;Progettazione e arti applicate;AFAM_Corso Diploma accademico 1L;PROGETTAZIONE ARTISTICA PER L'IMPRESA;DAPL06;Progettazione Artistica per l'Impresa;M;19
2019-2020;Accademia di Belle Arti;Area Artistica;ALBERTINA;TORINO;7334;PIEMONTE;Progettazione e arti applicate;AFAM_Corso Diploma accademico 1L;PROGETTAZIONE ARTISTICA PER L'IMPRESA;DAPL06;Progettazione Artistica per l'Impresa;F;49
2019-2020;Accademia di Belle Arti;Area Artistica;ALBERTINA;TORINO;7334;PIEMONTE;Progettazione e arti applicate;AFAM_Corso Diploma accademico 1L;SCENOGRAFIA;DAPL05;Scenografia;M;19
2019-2020;Accademia di Belle Arti;Area Artistica;ALBERTINA;TORINO;7334;PIEMONTE;Progettazione e arti applicate;AFAM_Corso Diploma accademico 1L;SCENOGRAFIA;DAPL05;Scenografia;F;71
2019-2020;Accademia di Belle Arti;Area Artistica;ALBERTINA;TORINO;7334;PIEMONTE;Progettazione e arti applicate;AFAM_Corso Diploma accademico 2L;NUOVE TECNOLOGIE PER L’ARTE;DASL08;Arte e linguaggi della comunicazione;M;27
2019-2020;Accademia di Belle Arti;Area Artistica;ALBERTINA;TORINO;7334;PIEMONTE;Progettazione e arti applicate;AFAM_Corso Diploma accademico 2L;NUOVE TECNOLOGIE PER L’ARTE;DASL08;Arte e linguaggi della comunicazione;F;38
2019-2020;Accademia di Belle Arti;Area Artistica;ALBERTINA;TORINO;7334;PIEMONTE;Progettazione e arti applicate;AFAM_Corso Diploma accademico 2L;NUOVE TECNOLOGIE PER L’ARTE;DASL08;Arti multimediali delle reti;M;19
2019-2020;Accademia di Belle Arti;Area Artistica;ALBERTINA;TORINO;7334;PIEMONTE;Progettazione e arti applicate;AFAM_Corso Diploma accademico 2L;NUOVE TECNOLOGIE PER L’ARTE;DASL08;Arti multimediali delle reti;F;19
2019-2020;Accademia di Belle Arti;Area Artistica;ALBERTINA;TORINO;7334;PIEMONTE;Progettazione e arti applicate;AFAM_Corso Diploma accademico 2L;PROGETTAZIONE ARTISTICA PER L'IMPRESA;DASL06;Design del prodotto;M;21
2019-2020;Accademia di Belle Arti;Area Artistica;ALBERTINA;TORINO;7334;PIEMONTE;Progettazione e arti applicate;AFAM_Corso Diploma accademico 2L;PROGETTAZIONE ARTISTICA PER L'IMPRESA;DASL06;Design del prodotto;F;54
2019-2020;Accademia di Belle Arti;Area Artistica;ALBERTINA;TORINO;7334;PIEMONTE;Progettazione e arti applicate;AFAM_Corso Diploma accademico 2L;SCENOGRAFIA;DASL05;Scenografia - Ind. Cinema e Televisione;M;4
2019-2020;Accademia di Belle Arti;Area Artistica;ALBERTINA;TORINO;7334;PIEMONTE;Progettazione e arti applicate;AFAM_Corso Diploma accademico 2L;SCENOGRAFIA;DASL05;Scenografia - Ind. Cinema e Televisione;F;20
2019-2020;Accademia di Belle Arti;Area Artistica;ALBERTINA;TORINO;7334;PIEMONTE;Progettazione e arti applicate;AFAM_Corso Diploma accademico 2L;SCENOGRAFIA;DASL05;Scenografia - Ind. Teatro;M;6
2019-2020;Accademia di Belle Arti;Area Artistica;ALBERTINA;TORINO;7334;PIEMONTE;Progettazione e arti applicate;AFAM_Corso Diploma accademico 2L;SCENOGRAFIA;DASL05;Scenografia - Ind. Teatro;F;14
2019-2020;Accademia di Belle Arti;Area Artistica;ALBERTINA;TORINO;7334;PIEMONTE;Progettazione e arti applicate;AFAM_Corso sperimentale biennale_2L (ad esaurim.);NUOVE TECNOLOGIE PER L’ARTE;-;Nuove Tecnologie dell'Arte;M;4
2019-2020;Accademia di Belle Arti;Area Artistica;ALBERTINA;TORINO;7334;PIEMONTE;Progettazione e arti applicate;AFAM_Corso sperimentale biennale_2L (ad esaurim.);NUOVE TECNOLOGIE PER L’ARTE;-;Nuove Tecnologie dell'Arte;F;4
2019-2020;Accademia di Belle Arti;Area Artistica;ALBERTINA;TORINO;7334;PIEMONTE;Progettazione e arti applicate;AFAM_Corso sperimentale biennale_2L (ad esaurim.);PROGETTAZIONE ARTISTICA PER L'IMPRESA;-;Progettazione Artistica per l'Impresa;M;4
2019-2020;Accademia di Belle Arti;Area Artistica;ALBERTINA;TORINO;7334;PIEMONTE;Progettazione e arti applicate;AFAM_Corso sperimentale biennale_2L (ad esaurim.);PROGETTAZIONE ARTISTICA PER L'IMPRESA;-;Progettazione Artistica per l'Impresa;F;7
2019-2020;Accademia di Belle Arti;Area Artistica;BRERA;MILANO;7299;LOMBARDIA;Arti visive;AFAM_Corso Diploma accademico 1L;DECORAZIONE;DAPL03;Decorazione;M;32
2019-2020;Accademia di Belle Arti;Area Artistica;BRERA;MILANO;7299;LOMBARDIA;Arti visive;AFAM_Corso Diploma accademico 1L;DECORAZIONE;DAPL03;Decorazione;F;124
2019-2020;Accademia di Belle Arti;Area Artistica;BRERA;MILANO;7299;LOMBARDIA;Arti visive;AFAM_Corso Diploma accademico 1L;GRAFICA;DAPL04;Grafica;M;101
2019-2020;Accademia di Belle Arti;Area Artistica;BRERA;MILANO;7299;LOMBARDIA;Arti visive;AFAM_Corso Diploma accademico 1L;GRAFICA;DAPL04;Grafica;F;158
2019-2020;Accademia di Belle Arti;Area Artistica;BRERA;MILANO;7299;LOMBARDIA;Arti visive;AFAM_Corso Diploma accademico 1L;PITTURA;DAPL01;Pittura;M;224
2019-2020;Accademia di Belle Arti;Area Artistica;BRERA;MILANO;7299;LOMBARDIA;Arti visive;AFAM_Corso Diploma accademico 1L;PITTURA;DAPL01;Pittura;F;462
2019-2020;Accademia di Belle Arti;Area Artistica;BRERA;MILANO;7299;LOMBARDIA;Arti visive;AFAM_Corso Diploma accademico 1L;SCULTURA;DAPL02;Scultura;M;61
2019-2020;Accademia di Belle Arti;Area Artistica;BRERA;MILANO;7299;LOMBARDIA;Arti visive;AFAM_Corso Diploma accademico 1L;SCULTURA;DAPL02;Scultura;F;123
2019-2020;Accademia di Belle Arti;Area Artistica;BRERA;MILANO;7299;LOMBARDIA;Arti visive;AFAM_Corso Diploma accademico 2L;DECORAZIONE;DASL03;Decorazione;M;31
2019-2020;Accademia di Belle Arti;Area Artistica;BRERA;MILANO;7299;LOMBARDIA;Arti visive;AFAM_Corso Diploma accademico 2L;DECORAZIONE;DASL03;Decorazione;F;79
2019-2020;Accademia di Belle Arti;Area Artistica;BRERA;MILANO;7299;LOMBARDIA;Arti visive;AFAM_Corso Diploma accademico 2L;GRAFICA;DASL04;Grafica;M;21
2019-2020;Accademia di Belle Arti;Area Artistica;BRERA;MILANO;7299;LOMBARDIA;Arti visive;AFAM_Corso Diploma accademico 2L;GRAFICA;DASL04;Grafica;F;59
2019-2020;Accademia di Belle Arti;Area Artistica;BRERA;MILANO;7299;LOMBARDIA;Arti visive;AFAM_Corso Diploma accademico 2L;PITTURA;DASL01;Pittura;M;123
2019-2020;Accademia di Belle Arti;Area Artistica;BRERA;MILANO;7299;LOMBARDIA;Arti visive;AFAM_Corso Diploma accademico 2L;PITTURA;DASL01;Pittura;F;196
2019-2020;Accademia di Belle Arti;Area Artistica;BRERA;MILANO;7299;LOMBARDIA;Arti visive;AFAM_Corso Diploma accademico 2L;SCULTURA;DASL02;Scultura;M;41
2019-2020;Accademia di Belle Arti;Area Artistica;BRERA;MILANO;7299;LOMBARDIA;Arti visive;AFAM_Corso Diploma accademico 2L;SCULTURA;DASL02;Scultura;F;56
2019-2020;Accademia di Belle Arti;Area Artistica;BRERA;MILANO;7299;LOMBARDIA;Arti visive;AFAM_Corso Vecchio Ordinamento (ad esaurim.);PITTURA;-;Pittura;M;1
2019-2020;Accademia di Belle Arti;Area Artistica;BRERA;MILANO;7299;LOMBARDIA;Arti visive;AFAM_Corso Vecchio Ordinamento (ad esaurim.);SCULTURA;-;Scultura;F;1
2019-2020;Accademia di Belle Arti;Area Artistica;BRERA;MILANO;7299;LOMBARDIA;Comunicazione e didattica dell'arte;AFAM_Corso Diploma accademico 1L;COMUNICAZIONE E VALORIZZAZIONE DEL PATRIMONIO ARTISTICO CONTEMPORANEO;DAPL09;Discipline della Valorizzazione dei Beni Culturali;M;18
2019-2020;Accademia di Belle Arti;Area Artistica;BRERA;MILANO;7299;LOMBARDIA;Comunicazione e didattica dell'arte;AFAM_Corso Diploma accademico 1L;COMUNICAZIONE E VALORIZZAZIONE DEL PATRIMONIO ARTISTICO CONTEMPORANEO;DAPL09;Discipline della Valorizzazione dei Beni Culturali;F;135
2019-2020;Accademia di Belle Arti;Area Artistica;BRERA;MILANO;7299;LOMBARDIA;Comunicazione e didattica dell'arte;AFAM_Corso Diploma accademico 1L;DIDATTICA DELL'ARTE;DAPL10;Didattica dell'Arte;M;20
2019-2020;Accademia di Belle Arti;Area Artistica;BRERA;MILANO;7299;LOMBARDIA;Comunicazione e didattica dell'arte;AFAM_Corso Diploma accademico 1L;DIDATTICA DELL'ARTE;DAPL10;Didattica dell'Arte;F;120
2019-2020;Accademia di Belle Arti;Area Artistica;BRERA;MILANO;7299;LOMBARDIA;Comunicazione e didattica dell'arte;AFAM_Corso Diploma accademico 2L;COMUNICAZIONE E VALORIZZAZIONE DEL PATRIMONIO ARTISTICO CONTEMPORANEO;DASL09;Comunicazione e valorizzazione del patrimonio artistico contemporaneo - Ind. Applicazioni Digitali per i Beni Culturali;M;1
2019-2020;Accademia di Belle Arti;Area Artistica;BRERA;MILANO;7299;LOMBARDIA;Comunicazione e didattica dell'arte;AFAM_Corso Diploma accademico 2L;COMUNICAZIONE E VALORIZZAZIONE DEL PATRIMONIO ARTISTICO CONTEMPORANEO;DASL09;Comunicazione e valorizzazione del patrimonio artistico contemporaneo - Ind. Applicazioni Digitali per i Beni Culturali;F;3
2019-2020;Accademia di Belle Arti;Area Artistica;BRERA;MILANO;7299;LOMBARDIA;Comunicazione e didattica dell'arte;AFAM_Corso Diploma accademico 2L;DIDATTICA DELL'ARTE;DASL10;Didattica dell'Arte - Ind. Didattica Multimediale;M;4
2019-2020;Accademia di Belle Arti;Area Artistica;BRERA;MILANO;7299;LOMBARDIA;Comunicazione e didattica dell'arte;AFAM_Corso Diploma accademico 2L;DIDATTICA DELL'ARTE;DASL10;Didattica dell'Arte - Ind. Didattica Multimediale;F;32
2019-2020;Accademia di Belle Arti;Area Artistica;BRERA;MILANO;7299;LOMBARDIA;Comunicazione e didattica dell'arte;AFAM_Corso Diploma accademico 2L;DIDATTICA DELL'ARTE;DASL10;Didattica dell'Arte - Ind. Visual Cultures e Pratiche Curatoriali;M;24
2019-2020;Accademia di Belle Arti;Area Artistica;BRERA;MILANO;7299;LOMBARDIA;Comunicazione e didattica dell'arte;AFAM_Corso Diploma accademico 2L;DIDATTICA DELL'ARTE;DASL10;Didattica dell'Arte - Ind. Visual Cultures e Pratiche Curatoriali;F;95
2019-2020;Accademia di Belle Arti;Area Artistica;BRERA;MILANO;7299;LOMBARDIA;Comunicazione e didattica dell'arte;AFAM_Corso sperimentale biennale_2L (ad esaurim.);COMUNICAZIONE E VALORIZZAZIONE DEL PATRIMONIO ARTISTICO CONTEMPORANEO;-;Comunicazione e valorizzazione del patrimonio artistico contemporaneo - Ind. Comunicazione espositiva;M;7
2019-2020;Accademia di Belle Arti;Area Artistica;BRERA;MILANO;7299;LOMBARDIA;Comunicazione e didattica dell'arte;AFAM_Corso sperimentale biennale_2L (ad esaurim.);COMUNICAZIONE E VALORIZZAZIONE DEL PATRIMONIO ARTISTICO CONTEMPORANEO;-;Comunicazione e valorizzazione del patrimonio artistico contemporaneo - Ind. Comunicazione espositiva;F;86
2019-2020;Accademia di Belle Arti;Area Artistica;BRERA;MILANO;7299;LOMBARDIA;Comunicazione e didattica dell'arte;AFAM_Corso sperimentale biennale_2L (ad esaurim.);DIDATTICA DELL'ARTE;-;Teoria e pratica della Terapeutica Artistica;M;7
2019-2020;Accademia di Belle Arti;Area Artistica;BRERA;MILANO;7299;LOMBARDIA;Comunicazione e didattica dell'arte;AFAM_Corso sperimentale biennale_2L (ad esaurim.);DIDATTICA DELL'ARTE;-;Teoria e pratica della Terapeutica Artistica;F;105
2019-2020;Accademia di Belle Arti;Area Artistica;BRERA;MILANO;7299;LOMBARDIA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 1L;NUOVE TECNOLOGIE PER L’ARTE;DAPL08;Nuove Tecnologie dell'Arte;M;173
2019-2020;Accademia di Belle Arti;Area Artistica;BRERA;MILANO;7299;LOMBARDIA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 1L;NUOVE TECNOLOGIE PER L’ARTE;DAPL08;Nuove Tecnologie dell'Arte;F;253
2019-2020;Accademia di Belle Arti;Area Artistica;BRERA;MILANO;7299;LOMBARDIA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 1L;PROGETTAZIONE ARTISTICA PER L'IMPRESA;DAPL06;Progettazione Artistica per l'Impresa;M;133
2019-2020;Accademia di Belle Arti;Area Artistica;BRERA;MILANO;7299;LOMBARDIA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 1L;PROGETTAZIONE ARTISTICA PER L'IMPRESA;DAPL06;Progettazione Artistica per l'Impresa;F;266
2019-2020;Accademia di Belle Arti;Area Artistica;BRERA;MILANO;7299;LOMBARDIA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 1L;SCENOGRAFIA;DAPL05;Scenografia;M;67
2019-2020;Accademia di Belle Arti;Area Artistica;BRERA;MILANO;7299;LOMBARDIA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 1L;SCENOGRAFIA;DAPL05;Scenografia;F;298
2019-2020;Accademia di Belle Arti;Area Artistica;BRERA;MILANO;7299;LOMBARDIA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 2L;NUOVE TECNOLOGIE PER L’ARTE;DASL08;Arti multimediali del Cinema e del Video;M;44
2019-2020;Accademia di Belle Arti;Area Artistica;BRERA;MILANO;7299;LOMBARDIA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 2L;NUOVE TECNOLOGIE PER L’ARTE;DASL08;Arti multimediali del Cinema e del Video;F;61
2019-2020;Accademia di Belle Arti;Area Artistica;BRERA;MILANO;7299;LOMBARDIA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 2L;NUOVE TECNOLOGIE PER L’ARTE;DASL08;Arti multimediali delle reti net art;M;18
2019-2020;Accademia di Belle Arti;Area Artistica;BRERA;MILANO;7299;LOMBARDIA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 2L;NUOVE TECNOLOGIE PER L’ARTE;DASL08;Arti multimediali delle reti net art;F;26
2019-2020;Accademia di Belle Arti;Area Artistica;BRERA;MILANO;7299;LOMBARDIA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 2L;NUOVE TECNOLOGIE PER L’ARTE;DASL08;Arti multimediali interattive e performative;M;2
2019-2020;Accademia di Belle Arti;Area Artistica;BRERA;MILANO;7299;LOMBARDIA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 2L;NUOVE TECNOLOGIE PER L’ARTE;DASL08;Arti multimediali interattive e performative;F;8
2019-2020;Accademia di Belle Arti;Area Artistica;BRERA;MILANO;7299;LOMBARDIA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 2L;NUOVE TECNOLOGIE PER L’ARTE;DASL08;Fotografia;M;33
2019-2020;Accademia di Belle Arti;Area Artistica;BRERA;MILANO;7299;LOMBARDIA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 2L;NUOVE TECNOLOGIE PER L’ARTE;DASL08;Fotografia;F;48
2019-2020;Accademia di Belle Arti;Area Artistica;BRERA;MILANO;7299;LOMBARDIA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 2L;PROGETTAZIONE ARTISTICA PER L'IMPRESA;DASL06;Fashion Design;M;12
2019-2020;Accademia di Belle Arti;Area Artistica;BRERA;MILANO;7299;LOMBARDIA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 2L;PROGETTAZIONE ARTISTICA PER L'IMPRESA;DASL06;Fashion Design;F;76
2019-2020;Accademia di Belle Arti;Area Artistica;BRERA;MILANO;7299;LOMBARDIA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 2L;PROGETTAZIONE ARTISTICA PER L'IMPRESA;DASL06;Product Design;M;34
2019-2020;Accademia di Belle Arti;Area Artistica;BRERA;MILANO;7299;LOMBARDIA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 2L;PROGETTAZIONE ARTISTICA PER L'IMPRESA;DASL06;Product Design;F;116
2019-2020;Accademia di Belle Arti;Area Artistica;BRERA;MILANO;7299;LOMBARDIA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 2L;SCENOGRAFIA;DASL05;Scenografia - Ind. Cinema e Televisione;M;9
2019-2020;Accademia di Belle Arti;Area Artistica;BRERA;MILANO;7299;LOMBARDIA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 2L;SCENOGRAFIA;DASL05;Scenografia - Ind. Cinema e Televisione;F;47
2019-2020;Accademia di Belle Arti;Area Artistica;BRERA;MILANO;7299;LOMBARDIA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 2L;SCENOGRAFIA;DASL05;Scenografia - Ind. Costume per lo spettacolo;M;2
2019-2020;Accademia di Belle Arti;Area Artistica;BRERA;MILANO;7299;LOMBARDIA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 2L;SCENOGRAFIA;DASL05;Scenografia - Ind. Costume per lo spettacolo;F;34
2019-2020;Accademia di Belle Arti;Area Artistica;BRERA;MILANO;7299;LOMBARDIA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 2L;SCENOGRAFIA;DASL05;Scenografia - Ind. Teatro;M;11
2019-2020;Accademia di Belle Arti;Area Artistica;BRERA;MILANO;7299;LOMBARDIA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 2L;SCENOGRAFIA;DASL05;Scenografia - Ind. Teatro;F;27
2019-2020;Accademia di Belle Arti;Area Artistica;BRERA;MILANO;7299;LOMBARDIA;Progettazione e arti applicate;AFAM_Corso Diploma accademico a ciclo unico quinquennale abilitante_2L;RESTAURO;DASLQ01;Restauratore dei Beni Culturali - ciclo unico abilitante;M;17
2019-2020;Accademia di Belle Arti;Area Artistica;BRERA;MILANO;7299;LOMBARDIA;Progettazione e arti applicate;AFAM_Corso Diploma accademico a ciclo unico quinquennale abilitante_2L;RESTAURO;DASLQ01;Restauratore dei Beni Culturali - ciclo unico abilitante;F;131
2019-2020;Accademia di Belle Arti;Area Artistica;BRERA;MILANO;7299;LOMBARDIA;Progettazione e arti applicate;AFAM_Corso Vecchio Ordinamento (ad esaurim.);SCENOGRAFIA;-;Scenografia;M;1
2019-2020;Accademia di Belle Arti;Area Artistica;Mario Sironi;SASSARI;7240;SARDEGNA;Arti visive;AFAM_Corso Diploma accademico 1L;DECORAZIONE;DAPL03;Decorazione;M;1
2019-2020;Accademia di Belle Arti;Area Artistica;Mario Sironi;SASSARI;7240;SARDEGNA;Arti visive;AFAM_Corso Diploma accademico 1L;DECORAZIONE;DAPL03;Decorazione;F;6
2019-2020;Accademia di Belle Arti;Area Artistica;Mario Sironi;SASSARI;7240;SARDEGNA;Arti visive;AFAM_Corso Diploma accademico 1L;GRAFICA;DAPL04;Grafica d'Arte e Progettazione;M;45
2019-2020;Accademia di Belle Arti;Area Artistica;Mario Sironi;SASSARI;7240;SARDEGNA;Arti visive;AFAM_Corso Diploma accademico 1L;GRAFICA;DAPL04;Grafica d'Arte e Progettazione;F;55
2019-2020;Accademia di Belle Arti;Area Artistica;Mario Sironi;SASSARI;7240;SARDEGNA;Arti visive;AFAM_Corso Diploma accademico 1L;PITTURA;DAPL01;Pittura;M;44
2019-2020;Accademia di Belle Arti;Area Artistica;Mario Sironi;SASSARI;7240;SARDEGNA;Arti visive;AFAM_Corso Diploma accademico 1L;PITTURA;DAPL01;Pittura;F;76
2019-2020;Accademia di Belle Arti;Area Artistica;Mario Sironi;SASSARI;7240;SARDEGNA;Arti visive;AFAM_Corso Diploma accademico 1L;SCULTURA;DAPL02;Scultura;M;9
2019-2020;Accademia di Belle Arti;Area Artistica;Mario Sironi;SASSARI;7240;SARDEGNA;Arti visive;AFAM_Corso Diploma accademico 1L;SCULTURA;DAPL02;Scultura;F;14
2019-2020;Accademia di Belle Arti;Area Artistica;Mario Sironi;SASSARI;7240;SARDEGNA;Arti visive;AFAM_Corso Diploma accademico 2L;GRAFICA;DASL04;Grafica d'Arte e Progettazione;M;7
