ANNO_SOLARE;TIPOLOGIA_COLLEGIO;CODICE_COLLEGIO;NOME_COLLEGIO;CODICE_TIPOLOGIA_PERSONALE;DESCRIZIONE_TIPOLOGIA_PERSONALE;NUMERO
2024;CLR;0317;"Collegio universitario ''S. Caterina da Siena""";101;Dipendente dall'Ente a tempo determinato maschio - numero;0
2024;CLR;0317;"Collegio universitario ''S. Caterina da Siena""";102;Dipendente dall'Ente a tempo determinato femmina - numero;0
2024;CLR;0317;"Collegio universitario ''S. Caterina da Siena""";103;Dipendente dall'Ente a tempo determinato maschio - mesi lavorati;0
2024;CLR;0317;"Collegio universitario ''S. Caterina da Siena""";104;Dipendente dall'Ente a tempo determinato femmina - mesi lavorati;0
2024;CLR;0318;Fondazione Collegio delle Università Milanesi;101;Dipendente dall'Ente a tempo determinato maschio - numero;0
2024;CLR;0318;Fondazione Collegio delle Università Milanesi;102;Dipendente dall'Ente a tempo determinato femmina - numero;0
2024;CLR;0318;Fondazione Collegio delle Università Milanesi;103;Dipendente dall'Ente a tempo determinato maschio - mesi lavorati;0
2024;CLR;0318;Fondazione Collegio delle Università Milanesi;104;Dipendente dall'Ente a tempo determinato femmina - mesi lavorati;0
2024;CLR;0346;Collegio Universitario Lucchini di Brescia;101;Dipendente dall'Ente a tempo determinato maschio - numero;0
2024;CLR;0346;Collegio Universitario Lucchini di Brescia;102;Dipendente dall'Ente a tempo determinato femmina - numero;0
2024;CLR;0346;Collegio Universitario Lucchini di Brescia;103;Dipendente dall'Ente a tempo determinato maschio - mesi lavorati;0
2024;CLR;0346;Collegio Universitario Lucchini di Brescia;104;Dipendente dall'Ente a tempo determinato femmina - mesi lavorati;0
2024;CLR;0508;"Collegio universitario ''don Nicola Mazza""";101;Dipendente dall'Ente a tempo determinato maschio - numero;2
2024;CLR;0508;"Collegio universitario ''don Nicola Mazza""";102;Dipendente dall'Ente a tempo determinato femmina - numero;2
2024;CLR;0508;"Collegio universitario ''don Nicola Mazza""";103;Dipendente dall'Ente a tempo determinato maschio - mesi lavorati;24
2024;CLR;0508;"Collegio universitario ''don Nicola Mazza""";104;Dipendente dall'Ente a tempo determinato femmina - mesi lavorati;24
2024;CLR;0604;Collegio Universitario L. Fonda di Trieste;101;Dipendente dall'Ente a tempo determinato maschio - numero;1
2024;CLR;0604;Collegio Universitario L. Fonda di Trieste;102;Dipendente dall'Ente a tempo determinato femmina - numero;1
2024;CLR;0604;Collegio Universitario L. Fonda di Trieste;103;Dipendente dall'Ente a tempo determinato maschio - mesi lavorati;5
2024;CLR;0604;Collegio Universitario L. Fonda di Trieste;104;Dipendente dall'Ente a tempo determinato femmina - mesi lavorati;7
2024;CLR;0805;Fondazione Ceur - Centro europeo università e ricerca;101;Dipendente dall'Ente a tempo determinato maschio - numero;13
2024;CLR;0805;Fondazione Ceur - Centro europeo università e ricerca;102;Dipendente dall'Ente a tempo determinato femmina - numero;8
2024;CLR;0805;Fondazione Ceur - Centro europeo università e ricerca;103;Dipendente dall'Ente a tempo determinato maschio - mesi lavorati;52
2024;CLR;0805;Fondazione Ceur - Centro europeo università e ricerca;104;Dipendente dall'Ente a tempo determinato femmina - mesi lavorati;41
2024;CLR;0806;Fondazione Collegio San Carlo di Modena;101;Dipendente dall'Ente a tempo determinato maschio - numero;0
2024;CLR;0806;Fondazione Collegio San Carlo di Modena;102;Dipendente dall'Ente a tempo determinato femmina - numero;2
2024;CLR;0806;Fondazione Collegio San Carlo di Modena;103;Dipendente dall'Ente a tempo determinato maschio - mesi lavorati;0
2024;CLR;0806;Fondazione Collegio San Carlo di Modena;104;Dipendente dall'Ente a tempo determinato femmina - mesi lavorati;20
2024;CLR;1002;Collegio della Sapienza - Fondazione ONAOSI di Perugia;101;Dipendente dall'Ente a tempo determinato maschio - numero;0
2024;CLR;1002;Collegio della Sapienza - Fondazione ONAOSI di Perugia;102;Dipendente dall'Ente a tempo determinato femmina - numero;0
2024;CLR;1002;Collegio della Sapienza - Fondazione ONAOSI di Perugia;103;Dipendente dall'Ente a tempo determinato maschio - mesi lavorati;0
2024;CLR;1002;Collegio della Sapienza - Fondazione ONAOSI di Perugia;104;Dipendente dall'Ente a tempo determinato femmina - mesi lavorati;0
2024;CLR;1210;"Fondazione  ''Comunità  Domenico Tardini""";101;Dipendente dall'Ente a tempo determinato maschio - numero;0
2024;CLR;1210;"Fondazione  ''Comunità  Domenico Tardini""";102;Dipendente dall'Ente a tempo determinato femmina - numero;1
2024;CLR;1210;"Fondazione  ''Comunità  Domenico Tardini""";103;Dipendente dall'Ente a tempo determinato maschio - mesi lavorati;0
2024;CLR;1210;"Fondazione  ''Comunità  Domenico Tardini""";104;Dipendente dall'Ente a tempo determinato femmina - mesi lavorati;9
2024;CLR;1211;Associazione Cuir ;101;Dipendente dall'Ente a tempo determinato maschio - numero;0
2024;CLR;1211;Associazione Cuir ;102;Dipendente dall'Ente a tempo determinato femmina - numero;0
2024;CLR;1211;Associazione Cuir ;103;Dipendente dall'Ente a tempo determinato maschio - mesi lavorati;0
2024;CLR;1211;Associazione Cuir ;104;Dipendente dall'Ente a tempo determinato femmina - mesi lavorati;0
2024;CLR;1212;Fondazione Rui - ROMA;101;Dipendente dall'Ente a tempo determinato maschio - numero;3
2024;CLR;1212;Fondazione Rui - ROMA;102;Dipendente dall'Ente a tempo determinato femmina - numero;21
2024;CLR;1212;Fondazione Rui - ROMA;103;Dipendente dall'Ente a tempo determinato maschio - mesi lavorati;18
2024;CLR;1212;Fondazione Rui - ROMA;104;Dipendente dall'Ente a tempo determinato femmina - mesi lavorati;130
2024;CLR;1214;Collegio Universitario Pozzani di Roma;101;Dipendente dall'Ente a tempo determinato maschio - numero;0
2024;CLR;1214;Collegio Universitario Pozzani di Roma;102;Dipendente dall'Ente a tempo determinato femmina - numero;0
2024;CLR;1214;Collegio Universitario Pozzani di Roma;103;Dipendente dall'Ente a tempo determinato maschio - mesi lavorati;0
2024;CLR;1214;Collegio Universitario Pozzani di Roma;104;Dipendente dall'Ente a tempo determinato femmina - mesi lavorati;0
2024;CLR;1508;Ipe - Istituto per ricerche ed attività educative;101;Dipendente dall'Ente a tempo determinato maschio - numero;0
2024;CLR;1508;Ipe - Istituto per ricerche ed attività educative;102;Dipendente dall'Ente a tempo determinato femmina - numero;2
2024;CLR;1508;Ipe - Istituto per ricerche ed attività educative;103;Dipendente dall'Ente a tempo determinato maschio - mesi lavorati;0
2024;CLR;1508;Ipe - Istituto per ricerche ed attività educative;104;Dipendente dall'Ente a tempo determinato femmina - mesi lavorati;18
2024;CLR;1905;Associazione ARCES;101;Dipendente dall'Ente a tempo determinato maschio - numero;0
2024;CLR;1905;Associazione ARCES;102;Dipendente dall'Ente a tempo determinato femmina - numero;3
2024;CLR;1905;Associazione ARCES;103;Dipendente dall'Ente a tempo determinato maschio - mesi lavorati;0
2024;CLR;1905;Associazione ARCES;104;Dipendente dall'Ente a tempo determinato femmina - mesi lavorati;28
2024;CLR;2003;College Universitario Sant’Efisio di Cagliari;101;Dipendente dall'Ente a tempo determinato maschio - numero;0
2024;CLR;2003;College Universitario Sant’Efisio di Cagliari;102;Dipendente dall'Ente a tempo determinato femmina - numero;0
2024;CLR;2003;College Universitario Sant’Efisio di Cagliari;103;Dipendente dall'Ente a tempo determinato maschio - mesi lavorati;0
2024;CLR;2003;College Universitario Sant’Efisio di Cagliari;104;Dipendente dall'Ente a tempo determinato femmina - mesi lavorati;0
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
