ANNO;AteneoCOD;AteneoNOME;AteneoREGIONE;AteneoAREAGEO;CorsoTIPO;COD_FoET2013;DESC_FoET2013;Genere;SPECIALIZZANDI
2024/2025;01001;Genova - Università degli studi;Liguria;NORD-OVEST;SCUOLA DI SPECIALIZZAZIONE;02;Arts and humanities;M;3
2024/2025;01001;Genova - Università degli studi;Liguria;NORD-OVEST;SCUOLA DI SPECIALIZZAZIONE;07;Engineering, manufacturing and construction;F;6
2024/2025;01001;Genova - Università degli studi;Liguria;NORD-OVEST;SCUOLA DI SPECIALIZZAZIONE;04;Business, administration and law;M;2
2024/2025;01001;Genova - Università degli studi;Liguria;NORD-OVEST;SCUOLA DI SPECIALIZZAZIONE;04;Business, administration and law;F;3
2024/2025;01001;Genova - Università degli studi;Liguria;NORD-OVEST;SCUOLA DI SPECIALIZZAZIONE;09;Health and welfare;F;827
2024/2025;01001;Genova - Università degli studi;Liguria;NORD-OVEST;SCUOLA DI SPECIALIZZAZIONE;05;Natural sciences, mathematics and statistics;M;15
2024/2025;01001;Genova - Università degli studi;Liguria;NORD-OVEST;SCUOLA DI SPECIALIZZAZIONE;02;Arts and humanities;F;15
2024/2025;01001;Genova - Università degli studi;Liguria;NORD-OVEST;SCUOLA DI SPECIALIZZAZIONE;05;Natural sciences, mathematics and statistics;F;36
2024/2025;01001;Genova - Università degli studi;Liguria;NORD-OVEST;SCUOLA DI SPECIALIZZAZIONE;09;Health and welfare;M;507
2024/2025;01001;Genova - Università degli studi;Liguria;NORD-OVEST;SCUOLA DI SPECIALIZZAZIONE;07;Engineering, manufacturing and construction;M;3
2024/2025;01202;Varese - Università dell' Insubria;Lombardia;NORD-OVEST;SCUOLA DI SPECIALIZZAZIONE;09;Health and welfare;M;251
2024/2025;01202;Varese - Università dell' Insubria;Lombardia;NORD-OVEST;SCUOLA DI SPECIALIZZAZIONE;05;Natural sciences, mathematics and statistics;M;10
2024/2025;01202;Varese - Università dell' Insubria;Lombardia;NORD-OVEST;SCUOLA DI SPECIALIZZAZIONE;09;Health and welfare;F;363
2024/2025;01202;Varese - Università dell' Insubria;Lombardia;NORD-OVEST;SCUOLA DI SPECIALIZZAZIONE;05;Natural sciences, mathematics and statistics;F;17
2024/2025;01501;Milano - Università degli studi;Lombardia;NORD-OVEST;SCUOLA DI SPECIALIZZAZIONE;02;Arts and humanities;M;5
2024/2025;01501;Milano - Università degli studi;Lombardia;NORD-OVEST;SCUOLA DI SPECIALIZZAZIONE;05;Natural sciences, mathematics and statistics;M;56
2024/2025;01501;Milano - Università degli studi;Lombardia;NORD-OVEST;SCUOLA DI SPECIALIZZAZIONE;02;Arts and humanities;F;17
2024/2025;01501;Milano - Università degli studi;Lombardia;NORD-OVEST;SCUOLA DI SPECIALIZZAZIONE;09;Health and welfare;M;1368
2024/2025;01501;Milano - Università degli studi;Lombardia;NORD-OVEST;SCUOLA DI SPECIALIZZAZIONE;09;Health and welfare;F;1957
2024/2025;01501;Milano - Università degli studi;Lombardia;NORD-OVEST;SCUOLA DI SPECIALIZZAZIONE;08;Agriculture, forestry, fisheries and veterinary;F;140
2024/2025;01501;Milano - Università degli studi;Lombardia;NORD-OVEST;SCUOLA DI SPECIALIZZAZIONE;05;Natural sciences, mathematics and statistics;F;155
2024/2025;01501;Milano - Università degli studi;Lombardia;NORD-OVEST;SCUOLA DI SPECIALIZZAZIONE;08;Agriculture, forestry, fisheries and veterinary;M;88
2024/2025;01501;Milano - Università degli studi;Lombardia;NORD-OVEST;SCUOLA DI SPECIALIZZAZIONE;04;Business, administration and law;F;7
2024/2025;01504;"Milano - Università Cattolica del ""Sacro Cuore""";Lombardia;NORD-OVEST;SCUOLA DI SPECIALIZZAZIONE;09;Health and welfare;M;842
2024/2025;01504;"Milano - Università Cattolica del ""Sacro Cuore""";Lombardia;NORD-OVEST;SCUOLA DI SPECIALIZZAZIONE;09;Health and welfare;F;1100
2024/2025;01504;"Milano - Università Cattolica del ""Sacro Cuore""";Lombardia;NORD-OVEST;SCUOLA DI SPECIALIZZAZIONE;05;Natural sciences, mathematics and statistics;F;41
2024/2025;01504;"Milano - Università Cattolica del ""Sacro Cuore""";Lombardia;NORD-OVEST;SCUOLA DI SPECIALIZZAZIONE;03;Social sciences, journalism and information;M;25
2024/2025;01504;"Milano - Università Cattolica del ""Sacro Cuore""";Lombardia;NORD-OVEST;SCUOLA DI SPECIALIZZAZIONE;02;Arts and humanities;F;14
2024/2025;01504;"Milano - Università Cattolica del ""Sacro Cuore""";Lombardia;NORD-OVEST;SCUOLA DI SPECIALIZZAZIONE;03;Social sciences, journalism and information;F;97
2024/2025;01504;"Milano - Università Cattolica del ""Sacro Cuore""";Lombardia;NORD-OVEST;SCUOLA DI SPECIALIZZAZIONE;05;Natural sciences, mathematics and statistics;M;17
2024/2025;01504;"Milano - Università Cattolica del ""Sacro Cuore""";Lombardia;NORD-OVEST;SCUOLA DI SPECIALIZZAZIONE;02;Arts and humanities;M;7
2024/2025;01508;Milano - Università Vita-Salute San Raffaele;Lombardia;NORD-OVEST;SCUOLA DI SPECIALIZZAZIONE;03;Social sciences, journalism and information;M;7
2024/2025;01508;Milano - Università Vita-Salute San Raffaele;Lombardia;NORD-OVEST;SCUOLA DI SPECIALIZZAZIONE;09;Health and welfare;F;523
2024/2025;01508;Milano - Università Vita-Salute San Raffaele;Lombardia;NORD-OVEST;SCUOLA DI SPECIALIZZAZIONE;05;Natural sciences, mathematics and statistics;F;1
2024/2025;01508;Milano - Università Vita-Salute San Raffaele;Lombardia;NORD-OVEST;SCUOLA DI SPECIALIZZAZIONE;03;Social sciences, journalism and information;F;29
2024/2025;01508;Milano - Università Vita-Salute San Raffaele;Lombardia;NORD-OVEST;SCUOLA DI SPECIALIZZAZIONE;09;Health and welfare;M;480
2024/2025;01509;Milano-Bicocca - Università degli studi;Lombardia;NORD-OVEST;SCUOLA DI SPECIALIZZAZIONE;03;Social sciences, journalism and information;M;8
2024/2025;01509;Milano-Bicocca - Università degli studi;Lombardia;NORD-OVEST;SCUOLA DI SPECIALIZZAZIONE;03;Social sciences, journalism and information;F;36
2024/2025;01509;Milano-Bicocca - Università degli studi;Lombardia;NORD-OVEST;SCUOLA DI SPECIALIZZAZIONE;05;Natural sciences, mathematics and statistics;F;42
2024/2025;01509;Milano-Bicocca - Università degli studi;Lombardia;NORD-OVEST;SCUOLA DI SPECIALIZZAZIONE;05;Natural sciences, mathematics and statistics;M;5
2024/2025;01509;Milano-Bicocca - Università degli studi;Lombardia;NORD-OVEST;SCUOLA DI SPECIALIZZAZIONE;09;Health and welfare;M;493
2024/2025;01509;Milano-Bicocca - Università degli studi;Lombardia;NORD-OVEST;SCUOLA DI SPECIALIZZAZIONE;09;Health and welfare;F;784
2024/2025;01510;Rozzano (MI) - Humanitas University;Lombardia;NORD-OVEST;SCUOLA DI SPECIALIZZAZIONE;09;Health and welfare;M;309
2024/2025;01510;Rozzano (MI) - Humanitas University;Lombardia;NORD-OVEST;SCUOLA DI SPECIALIZZAZIONE;05;Natural sciences, mathematics and statistics;M;1
2024/2025;01510;Rozzano (MI) - Humanitas University;Lombardia;NORD-OVEST;SCUOLA DI SPECIALIZZAZIONE;05;Natural sciences, mathematics and statistics;F;12
2024/2025;01510;Rozzano (MI) - Humanitas University;Lombardia;NORD-OVEST;SCUOLA DI SPECIALIZZAZIONE;09;Health and welfare;F;268
2024/2025;01601;Bergamo - Università degli studi;Lombardia;NORD-OVEST;SCUOLA DI SPECIALIZZAZIONE;03;Social sciences, journalism and information;F;15
2024/2025;01601;Bergamo - Università degli studi;Lombardia;NORD-OVEST;SCUOLA DI SPECIALIZZAZIONE;03;Social sciences, journalism and information;M;2
2024/2025;01701;Brescia - Università degli studi;Lombardia;NORD-OVEST;SCUOLA DI SPECIALIZZAZIONE;05;Natural sciences, mathematics and statistics;F;34
2024/2025;01701;Brescia - Università degli studi;Lombardia;NORD-OVEST;SCUOLA DI SPECIALIZZAZIONE;04;Business, administration and law;M;8
2024/2025;01701;Brescia - Università degli studi;Lombardia;NORD-OVEST;SCUOLA DI SPECIALIZZAZIONE;04;Business, administration and law;F;1
2024/2025;01701;Brescia - Università degli studi;Lombardia;NORD-OVEST;SCUOLA DI SPECIALIZZAZIONE;09;Health and welfare;F;742
2024/2025;01701;Brescia - Università degli studi;Lombardia;NORD-OVEST;SCUOLA DI SPECIALIZZAZIONE;09;Health and welfare;M;517
2024/2025;01701;Brescia - Università degli studi;Lombardia;NORD-OVEST;SCUOLA DI SPECIALIZZAZIONE;05;Natural sciences, mathematics and statistics;M;12
2024/2025;01801;Pavia - Università degli studi;Lombardia;NORD-OVEST;SCUOLA DI SPECIALIZZAZIONE;09;Health and welfare;F;691
2024/2025;01801;Pavia - Università degli studi;Lombardia;NORD-OVEST;SCUOLA DI SPECIALIZZAZIONE;05;Natural sciences, mathematics and statistics;M;45
2024/2025;01801;Pavia - Università degli studi;Lombardia;NORD-OVEST;SCUOLA DI SPECIALIZZAZIONE;05;Natural sciences, mathematics and statistics;F;90
2024/2025;01801;Pavia - Università degli studi;Lombardia;NORD-OVEST;SCUOLA DI SPECIALIZZAZIONE;09;Health and welfare;M;483
2024/2025;02201;Trento - Università degli studi;Trentino Alto Adige;NORD-EST;SCUOLA DI SPECIALIZZAZIONE;09;Health and welfare;M;10
2024/2025;02201;Trento - Università degli studi;Trentino Alto Adige;NORD-EST;SCUOLA DI SPECIALIZZAZIONE;09;Health and welfare;F;11
2024/2025;02301;Verona - Università degli studi;Veneto;NORD-EST;SCUOLA DI SPECIALIZZAZIONE;05;Natural sciences, mathematics and statistics;F;47
2024/2025;02301;Verona - Università degli studi;Veneto;NORD-EST;SCUOLA DI SPECIALIZZAZIONE;09;Health and welfare;F;1082
2024/2025;02301;Verona - Università degli studi;Veneto;NORD-EST;SCUOLA DI SPECIALIZZAZIONE;09;Health and welfare;M;743
2024/2025;02301;Verona - Università degli studi;Veneto;NORD-EST;SCUOLA DI SPECIALIZZAZIONE;05;Natural sciences, mathematics and statistics;M;12
2024/2025;02702;Venezia - Università IUAV;Veneto;NORD-EST;SCUOLA DI SPECIALIZZAZIONE;07;Engineering, manufacturing and construction;M;14
2024/2025;02702;Venezia - Università IUAV;Veneto;NORD-EST;SCUOLA DI SPECIALIZZAZIONE;07;Engineering, manufacturing and construction;F;13
2024/2025;02801;Padova - Università degli studi;Veneto;NORD-EST;SCUOLA DI SPECIALIZZAZIONE;05;Natural sciences, mathematics and statistics;F;65
2024/2025;02801;Padova - Università degli studi;Veneto;NORD-EST;SCUOLA DI SPECIALIZZAZIONE;03;Social sciences, journalism and information;M;23
2024/2025;02801;Padova - Università degli studi;Veneto;NORD-EST;SCUOLA DI SPECIALIZZAZIONE;08;Agriculture, forestry, fisheries and veterinary;M;42
2024/2025;02801;Padova - Università degli studi;Veneto;NORD-EST;SCUOLA DI SPECIALIZZAZIONE;09;Health and welfare;F;1398
2024/2025;02801;Padova - Università degli studi;Veneto;NORD-EST;SCUOLA DI SPECIALIZZAZIONE;02;Arts and humanities;M;12
2024/2025;02801;Padova - Università degli studi;Veneto;NORD-EST;SCUOLA DI SPECIALIZZAZIONE;02;Arts and humanities;F;27
2024/2025;02801;Padova - Università degli studi;Veneto;NORD-EST;SCUOLA DI SPECIALIZZAZIONE;09;Health and welfare;M;1039
2024/2025;02801;Padova - Università degli studi;Veneto;NORD-EST;SCUOLA DI SPECIALIZZAZIONE;05;Natural sciences, mathematics and statistics;M;29
2024/2025;02801;Padova - Università degli studi;Veneto;NORD-EST;SCUOLA DI SPECIALIZZAZIONE;99;Field unknown;M;1
2024/2025;02801;Padova - Università degli studi;Veneto;NORD-EST;SCUOLA DI SPECIALIZZAZIONE;03;Social sciences, journalism and information;F;69
2024/2025;02801;Padova - Università degli studi;Veneto;NORD-EST;SCUOLA DI SPECIALIZZAZIONE;08;Agriculture, forestry, fisheries and veterinary;F;76
2024/2025;03001;Udine - Università degli studi;Friuli Venezia Giulia;NORD-EST;SCUOLA DI SPECIALIZZAZIONE;09;Health and welfare;M;201
2024/2025;03001;Udine - Università degli studi;Friuli Venezia Giulia;NORD-EST;SCUOLA DI SPECIALIZZAZIONE;08;Agriculture, forestry, fisheries and veterinary;F;13
2024/2025;03001;Udine - Università degli studi;Friuli Venezia Giulia;NORD-EST;SCUOLA DI SPECIALIZZAZIONE;02;Arts and humanities;F;47
2024/2025;03001;Udine - Università degli studi;Friuli Venezia Giulia;NORD-EST;SCUOLA DI SPECIALIZZAZIONE;02;Arts and humanities;M;20
2024/2025;03001;Udine - Università degli studi;Friuli Venezia Giulia;NORD-EST;SCUOLA DI SPECIALIZZAZIONE;08;Agriculture, forestry, fisheries and veterinary;M;10
2024/2025;03001;Udine - Università degli studi;Friuli Venezia Giulia;NORD-EST;SCUOLA DI SPECIALIZZAZIONE;09;Health and welfare;F;295
2024/2025;03201;Trieste - Università degli studi;Friuli Venezia Giulia;NORD-EST;SCUOLA DI SPECIALIZZAZIONE;05;Natural sciences, mathematics and statistics;M;14
2024/2025;03201;Trieste - Università degli studi;Friuli Venezia Giulia;NORD-EST;SCUOLA DI SPECIALIZZAZIONE;05;Natural sciences, mathematics and statistics;F;46
2024/2025;03201;Trieste - Università degli studi;Friuli Venezia Giulia;NORD-EST;SCUOLA DI SPECIALIZZAZIONE;09;Health and welfare;F;428
2024/2025;03201;Trieste - Università degli studi;Friuli Venezia Giulia;NORD-EST;SCUOLA DI SPECIALIZZAZIONE;09;Health and welfare;M;312
2024/2025;03201;Trieste - Università degli studi;Friuli Venezia Giulia;NORD-EST;SCUOLA DI SPECIALIZZAZIONE;02;Arts and humanities;F;2
2024/2025;03201;Trieste - Università degli studi;Friuli Venezia Giulia;NORD-EST;SCUOLA DI SPECIALIZZAZIONE;03;Social sciences, journalism and information;M;3
2024/2025;03201;Trieste - Università degli studi;Friuli Venezia Giulia;NORD-EST;SCUOLA DI SPECIALIZZAZIONE;03;Social sciences, journalism and information;F;9
2024/2025;03401;Parma - Università degli studi;Emilia Romagna;NORD-EST;SCUOLA DI SPECIALIZZAZIONE;09;Health and welfare;M;392
2024/2025;03401;Parma - Università degli studi;Emilia Romagna;NORD-EST;SCUOLA DI SPECIALIZZAZIONE;05;Natural sciences, mathematics and statistics;M;8
2024/2025;03401;Parma - Università degli studi;Emilia Romagna;NORD-EST;SCUOLA DI SPECIALIZZAZIONE;08;Agriculture, forestry, fisheries and veterinary;F;16
2024/2025;03401;Parma - Università degli studi;Emilia Romagna;NORD-EST;SCUOLA DI SPECIALIZZAZIONE;05;Natural sciences, mathematics and statistics;F;10
2024/2025;03401;Parma - Università degli studi;Emilia Romagna;NORD-EST;SCUOLA DI SPECIALIZZAZIONE;08;Agriculture, forestry, fisheries and veterinary;M;6
2024/2025;03401;Parma - Università degli studi;Emilia Romagna;NORD-EST;SCUOLA DI SPECIALIZZAZIONE;09;Health and welfare;F;534
2024/2025;03601;Modena e Reggio Emilia - Università degli studi;Emilia Romagna;NORD-EST;SCUOLA DI SPECIALIZZAZIONE;05;Natural sciences, mathematics and statistics;M;8
2024/2025;03601;Modena e Reggio Emilia - Università degli studi;Emilia Romagna;NORD-EST;SCUOLA DI SPECIALIZZAZIONE;09;Health and welfare;M;569
2024/2025;03601;Modena e Reggio Emilia - Università degli studi;Emilia Romagna;NORD-EST;SCUOLA DI SPECIALIZZAZIONE;05;Natural sciences, mathematics and statistics;F;30
2024/2025;03601;Modena e Reggio Emilia - Università degli studi;Emilia Romagna;NORD-EST;SCUOLA DI SPECIALIZZAZIONE;09;Health and welfare;F;878
2024/2025;03701;Bologna - Università degli studi;Emilia Romagna;NORD-EST;SCUOLA DI SPECIALIZZAZIONE;04;Business, administration and law;M;7
2024/2025;03701;Bologna - Università degli studi;Emilia Romagna;NORD-EST;SCUOLA DI SPECIALIZZAZIONE;08;Agriculture, forestry, fisheries and veterinary;M;6
2024/2025;03701;Bologna - Università degli studi;Emilia Romagna;NORD-EST;SCUOLA DI SPECIALIZZAZIONE;09;Health and welfare;F;1336
2024/2025;03701;Bologna - Università degli studi;Emilia Romagna;NORD-EST;SCUOLA DI SPECIALIZZAZIONE;05;Natural sciences, mathematics and statistics;F;78
2024/2025;03701;Bologna - Università degli studi;Emilia Romagna;NORD-EST;SCUOLA DI SPECIALIZZAZIONE;02;Arts and humanities;M;15
2024/2025;03701;Bologna - Università degli studi;Emilia Romagna;NORD-EST;SCUOLA DI SPECIALIZZAZIONE;04;Business, administration and law;F;6
2024/2025;03701;Bologna - Università degli studi;Emilia Romagna;NORD-EST;SCUOLA DI SPECIALIZZAZIONE;99;Field unknown;F;29
2024/2025;03701;Bologna - Università degli studi;Emilia Romagna;NORD-EST;SCUOLA DI SPECIALIZZAZIONE;03;Social sciences, journalism and information;F;7
2024/2025;03701;Bologna - Università degli studi;Emilia Romagna;NORD-EST;SCUOLA DI SPECIALIZZAZIONE;05;Natural sciences, mathematics and statistics;M;18
2024/2025;03701;Bologna - Università degli studi;Emilia Romagna;NORD-EST;SCUOLA DI SPECIALIZZAZIONE;08;Agriculture, forestry, fisheries and veterinary;F;15
2024/2025;03701;Bologna - Università degli studi;Emilia Romagna;NORD-EST;SCUOLA DI SPECIALIZZAZIONE;09;Health and welfare;M;1013
2024/2025;03701;Bologna - Università degli studi;Emilia Romagna;NORD-EST;SCUOLA DI SPECIALIZZAZIONE;99;Field unknown;M;27
2024/2025;03701;Bologna - Università degli studi;Emilia Romagna;NORD-EST;SCUOLA DI SPECIALIZZAZIONE;03;Social sciences, journalism and information;M;1
2024/2025;03701;Bologna - Università degli studi;Emilia Romagna;NORD-EST;SCUOLA DI SPECIALIZZAZIONE;02;Arts and humanities;F;35
2024/2025;03801;Ferrara - Università degli studi;Emilia Romagna;NORD-EST;SCUOLA DI SPECIALIZZAZIONE;05;Natural sciences, mathematics and statistics;M;7
2024/2025;03801;Ferrara - Università degli studi;Emilia Romagna;NORD-EST;SCUOLA DI SPECIALIZZAZIONE;07;Engineering, manufacturing and construction;F;17
2024/2025;03801;Ferrara - Università degli studi;Emilia Romagna;NORD-EST;SCUOLA DI SPECIALIZZAZIONE;05;Natural sciences, mathematics and statistics;F;55
2024/2025;03801;Ferrara - Università degli studi;Emilia Romagna;NORD-EST;SCUOLA DI SPECIALIZZAZIONE;09;Health and welfare;F;556
2024/2025;03801;Ferrara - Università degli studi;Emilia Romagna;NORD-EST;SCUOLA DI SPECIALIZZAZIONE;07;Engineering, manufacturing and construction;M;7
2024/2025;03801;Ferrara - Università degli studi;Emilia Romagna;NORD-EST;SCUOLA DI SPECIALIZZAZIONE;09;Health and welfare;M;391
2024/2025;04201;Ancona - Università Politecnica delle Marche;Marche;CENTRO;SCUOLA DI SPECIALIZZAZIONE;09;Health and welfare;F;529
2024/2025;04201;Ancona - Università Politecnica delle Marche;Marche;CENTRO;SCUOLA DI SPECIALIZZAZIONE;09;Health and welfare;M;385
2024/2025;04201;Ancona - Università Politecnica delle Marche;Marche;CENTRO;SCUOLA DI SPECIALIZZAZIONE;05;Natural sciences, mathematics and statistics;M;2
2024/2025;04201;Ancona - Università Politecnica delle Marche;Marche;CENTRO;SCUOLA DI SPECIALIZZAZIONE;05;Natural sciences, mathematics and statistics;F;11
2024/2025;04301;Macerata - Università degli studi;Marche;CENTRO;SCUOLA DI SPECIALIZZAZIONE;99;Field unknown;M;29
2024/2025;04301;Macerata - Università degli studi;Marche;CENTRO;SCUOLA DI SPECIALIZZAZIONE;02;Arts and humanities;M;5
2024/2025;04301;Macerata - Università degli studi;Marche;CENTRO;SCUOLA DI SPECIALIZZAZIONE;02;Arts and humanities;F;18
2024/2025;04301;Macerata - Università degli studi;Marche;CENTRO;SCUOLA DI SPECIALIZZAZIONE;99;Field unknown;F;27
2024/2025;04302;Camerino - Università degli studi;Marche;CENTRO;SCUOLA DI SPECIALIZZAZIONE;09;Health and welfare;F;30
2024/2025;04302;Camerino - Università degli studi;Marche;CENTRO;SCUOLA DI SPECIALIZZAZIONE;08;Agriculture, forestry, fisheries and veterinary;M;22
2024/2025;04302;Camerino - Università degli studi;Marche;CENTRO;SCUOLA DI SPECIALIZZAZIONE;09;Health and welfare;M;12
2024/2025;04302;Camerino - Università degli studi;Marche;CENTRO;SCUOLA DI SPECIALIZZAZIONE;99;Field unknown;F;27
2024/2025;04302;Camerino - Università degli studi;Marche;CENTRO;SCUOLA DI SPECIALIZZAZIONE;99;Field unknown;M;32
2024/2025;04302;Camerino - Università degli studi;Marche;CENTRO;SCUOLA DI SPECIALIZZAZIONE;08;Agriculture, forestry, fisheries and veterinary;F;54
2024/2025;04801;Firenze - Università degli studi;Toscana;CENTRO;SCUOLA DI SPECIALIZZAZIONE;07;Engineering, manufacturing and construction;F;21
2024/2025;04801;Firenze - Università degli studi;Toscana;CENTRO;SCUOLA DI SPECIALIZZAZIONE;07;Engineering, manufacturing and construction;M;5
2024/2025;04801;Firenze - Università degli studi;Toscana;CENTRO;SCUOLA DI SPECIALIZZAZIONE;05;Natural sciences, mathematics and statistics;F;43
2024/2025;04801;Firenze - Università degli studi;Toscana;CENTRO;SCUOLA DI SPECIALIZZAZIONE;09;Health and welfare;M;816
2024/2025;04801;Firenze - Università degli studi;Toscana;CENTRO;SCUOLA DI SPECIALIZZAZIONE;05;Natural sciences, mathematics and statistics;M;19
2024/2025;04801;Firenze - Università degli studi;Toscana;CENTRO;SCUOLA DI SPECIALIZZAZIONE;02;Arts and humanities;M;15
2024/2025;04801;Firenze - Università degli studi;Toscana;CENTRO;SCUOLA DI SPECIALIZZAZIONE;09;Health and welfare;F;1140
2024/2025;04801;Firenze - Università degli studi;Toscana;CENTRO;SCUOLA DI SPECIALIZZAZIONE;02;Arts and humanities;F;53
2024/2025;05001;Pisa - Università;Toscana;CENTRO;SCUOLA DI SPECIALIZZAZIONE;02;Arts and humanities;F;23
2024/2025;05001;Pisa - Università;Toscana;CENTRO;SCUOLA DI SPECIALIZZAZIONE;08;Agriculture, forestry, fisheries and veterinary;M;11
2024/2025;05001;Pisa - Università;Toscana;CENTRO;SCUOLA DI SPECIALIZZAZIONE;08;Agriculture, forestry, fisheries and veterinary;F;41
2024/2025;05001;Pisa - Università;Toscana;CENTRO;SCUOLA DI SPECIALIZZAZIONE;05;Natural sciences, mathematics and statistics;F;40
2024/2025;05001;Pisa - Università;Toscana;CENTRO;SCUOLA DI SPECIALIZZAZIONE;09;Health and welfare;F;792
2024/2025;05001;Pisa - Università;Toscana;CENTRO;SCUOLA DI SPECIALIZZAZIONE;09;Health and welfare;M;489
2024/2025;05001;Pisa - Università;Toscana;CENTRO;SCUOLA DI SPECIALIZZAZIONE;04;Business, administration and law;F;1
2024/2025;05001;Pisa - Università;Toscana;CENTRO;SCUOLA DI SPECIALIZZAZIONE;05;Natural sciences, mathematics and statistics;M;17
