ANNO_ACCADEMICO;DES;CLASSE_RIF;ID_SESSO;Immatricolati
2023/2024;Scienze delle attività motorie e sportive;L-22;F;26
2023/2024;Scienze delle attività motorie e sportive;L-22;M;89
2023/2024;Scienze dell'economia e della gestione aziendale;L-18;F;1193
2023/2024;Scienze dell'economia e della gestione aziendale;L-18;M;1114
2023/2024;Scienze dell'educazione e della formazione;L-19;F;159
2023/2024;Scienze dell'educazione e della formazione;L-19;M;35
2023/2024;Scienze e tecniche dell'edilizia;L-23;F;78
2023/2024;Scienze e tecniche dell'edilizia;L-23;M;120
2023/2024;Scienze e tecniche psicologiche;L-24;F;348
2023/2024;Scienze e tecniche psicologiche;L-24;M;76
2023/2024;Scienze e tecnologie agrarie e forestali;L-25;F;53
2023/2024;Scienze e tecnologie agrarie e forestali;L-25;M;61
2023/2024;Scienze e tecnologie alimentari;L-26;F;34
2023/2024;Scienze e tecnologie alimentari;L-26;M;16
2023/2024;Scienze e tecnologie chimiche;L-27;F;32
2023/2024;Scienze e tecnologie chimiche;L-27;M;19
2023/2024;Scienze e tecnologie della navigazione;L-28;F;4
2023/2024;Scienze e tecnologie della navigazione;L-28;M;22
2023/2024;Scienze e tecnologie farmaceutiche;L-29;F;53
2023/2024;Scienze e tecnologie farmaceutiche;L-29;M;24
2023/2024;Scienze e tecnologie fisiche;L-30;F;40
2023/2024;Scienze e tecnologie fisiche;L-30;M;41
2023/2024;Scienze e tecnologie informatiche;L-31;F;313
2023/2024;Scienze e tecnologie informatiche;L-31;M;676
2023/2024;Scienze e tecnologie per l'ambiente e la natura;L-32;F;49
2023/2024;Scienze e tecnologie per l'ambiente e la natura;L-32;M;20
2023/2024;Scienze economiche;L-33;F;666
2023/2024;Scienze economiche;L-33;M;707
2023/2024;Scienze geologiche;L-34;F;37
2023/2024;Scienze geologiche;L-34;M;62
2023/2024;Scienze matematiche;L-35;F;40
2023/2024;Scienze matematiche;L-35;M;47
2023/2024;Scienze politiche e delle relazioni internazionali;L-36;F;617
2023/2024;Scienze politiche e delle relazioni internazionali;L-36;M;361
2023/2024;Scienze sociali per la cooperazione, lo sviluppo e la pace;L-37;F;22
2023/2024;Scienze sociali per la cooperazione, lo sviluppo e la pace;L-37;M;12
2023/2024;Scienze zootecniche e tecnologie delle produzioni animali;L-38;F;30
2023/2024;Scienze zootecniche e tecnologie delle produzioni animali;L-38;M;8
2023/2024;Scienze, culture e politiche della gastronomia;L/GASTR;F;24
2023/2024;Scienze, culture e politiche della gastronomia;L/GASTR;M;15
2023/2024;Servizio sociale;L-39;F;49
2023/2024;Servizio sociale;L-39;M;16
2023/2024;Sociologia;L-40;F;14
2023/2024;Sociologia;L-40;M;8
2023/2024;Statistica;L-41;F;51
2023/2024;Statistica;L-41;M;73
2023/2024;Storia;L-42;F;116
2023/2024;Storia;L-42;M;44
2022/2023;Architettura e ingegneria edile-architettura (quinquennale);LM-4cu;F;48
2022/2023;Architettura e ingegneria edile-architettura (quinquennale);LM-4cu;M;50
2022/2023;Beni culturali;L-1;F;120
2022/2023;Beni culturali;L-1;M;52
2022/2023;Biotecnologie;L-2;F;98
2022/2023;Biotecnologie;L-2;M;48
2022/2023;Conservazione e restauro dei beni culturali;LMR/02;F;2
2022/2023;Diagnostica per la conservazione dei beni culturali;L-43;F;2
2022/2023;Discipline delle arti figurative, della musica, dello spettacolo e della moda;L-3;F;120
2022/2023;Discipline delle arti figurative, della musica, dello spettacolo e della moda;L-3;M;68
2022/2023;Disegno industriale;L-4;F;116
2022/2023;Disegno industriale;L-4;M;53
2022/2023;Farmacia e farmacia industriale;LM-13;F;251
2022/2023;Farmacia e farmacia industriale;LM-13;M;125
2022/2023;Filosofia;L-5;F;58
2022/2023;Filosofia;L-5;M;43
2022/2023;Geografia;L-6;F;2
2022/2023;Ingegneria civile e ambientale;L-7;F;80
2022/2023;Ingegneria civile e ambientale;L-7;M;181
2022/2023;Ingegneria dell'informazione;L-8;F;340
2022/2023;Ingegneria dell'informazione;L-8;M;794
2022/2023;Ingegneria industriale;L-9;F;175
2022/2023;Ingegneria industriale;L-9;M;510
2022/2023;Lettere;L-10;F;152
2022/2023;Lettere;L-10;M;50
2022/2023;Lingue e culture moderne;L-11;F;403
2022/2023;Lingue e culture moderne;L-11;M;262
2022/2023;Magistrali in giurisprudenza;LMG/01;F;175
2022/2023;Magistrali in giurisprudenza;LMG/01;M;93
2022/2023;Mediazione linguistica;L-12;F;124
2022/2023;Mediazione linguistica;L-12;M;44
2022/2023;Medicina e chirurgia;LM-41;F;781
2022/2023;Medicina e chirurgia;LM-41;M;559
2022/2023;Medicina veterinaria;LM-42;F;39
2022/2023;Medicina veterinaria;LM-42;M;12
2022/2023;Odontoiatria e protesi dentaria;LM-46;F;67
2022/2023;Odontoiatria e protesi dentaria;LM-46;M;50
2022/2023;Professioni sanitarie della prevenzione;L/SNT4;F;6
2022/2023;Professioni sanitarie della prevenzione;L/SNT4;M;1
2022/2023;Professioni sanitarie della riabilitazione;L/SNT2;F;27
2022/2023;Professioni sanitarie della riabilitazione;L/SNT2;M;16
2022/2023;Professioni sanitarie tecniche;L/SNT3;F;39
2022/2023;Professioni sanitarie tecniche;L/SNT3;M;39
2022/2023;Professioni sanitarie, infermieristiche e professione sanitaria ostetrica;L/SNT1;F;397
2022/2023;Professioni sanitarie, infermieristiche e professione sanitaria ostetrica;L/SNT1;M;100
2022/2023;Professioni tecniche agrarie, alimentari e forestali;L-P02;F;9
2022/2023;Professioni tecniche agrarie, alimentari e forestali;L-P02;M;22
2022/2023;Professioni tecniche industriali e dell’informazione;L-P03;F;1
2022/2023;Professioni tecniche industriali e dell’informazione;L-P03;M;2
2022/2023;Professioni tecniche per l'edilizia e il territorio;L-P01;F;2
2022/2023;Professioni tecniche per l'edilizia e il territorio;L-P01;M;1
2022/2023;Scienze biologiche;L-13;F;117
2022/2023;Scienze biologiche;L-13;M;41
2022/2023;Scienze dei Materiali;L-Sc.Mat.;F;2
2022/2023;Scienze dei Materiali;L-Sc.Mat.;M;2
2022/2023;Scienze dei servizi giuridici;L-14;F;231
2022/2023;Scienze dei servizi giuridici;L-14;M;148
2022/2023;Scienze del turismo;L-15;F;86
2022/2023;Scienze del turismo;L-15;M;37
2022/2023;Scienze della comunicazione;L-20;F;222
2022/2023;Scienze della comunicazione;L-20;M;96
2022/2023;Scienze della difesa e della sicurezza;L/DS;F;2
2022/2023;Scienze della difesa e della sicurezza;L/DS;M;11
2022/2023;Scienze della formazione primaria;LM-85 bis;F;7
2022/2023;Scienze della pianificazione territoriale, urbanistica, paesaggistica e ambientale;L-21;F;20
2022/2023;Scienze della pianificazione territoriale, urbanistica, paesaggistica e ambientale;L-21;M;13
2022/2023;Scienze dell'amministrazione e dell'organizzazione;L-16;F;73
2022/2023;Scienze dell'amministrazione e dell'organizzazione;L-16;M;43
2022/2023;Scienze dell'architettura;L-17;F;181
2022/2023;Scienze dell'architettura;L-17;M;115
2022/2023;Scienze delle attività motorie e sportive;L-22;F;35
2022/2023;Scienze delle attività motorie e sportive;L-22;M;90
2022/2023;Scienze dell'economia e della gestione aziendale;L-18;F;927
2022/2023;Scienze dell'economia e della gestione aziendale;L-18;M;930
2022/2023;Scienze dell'educazione e della formazione;L-19;F;101
2022/2023;Scienze dell'educazione e della formazione;L-19;M;26
2022/2023;Scienze e tecniche dell'edilizia;L-23;F;68
2022/2023;Scienze e tecniche dell'edilizia;L-23;M;77
2022/2023;Scienze e tecniche psicologiche;L-24;F;508
2022/2023;Scienze e tecniche psicologiche;L-24;M;131
2022/2023;Scienze e tecnologie agrarie e forestali;L-25;F;25
2022/2023;Scienze e tecnologie agrarie e forestali;L-25;M;27
2022/2023;Scienze e tecnologie alimentari;L-26;F;30
2022/2023;Scienze e tecnologie alimentari;L-26;M;23
2022/2023;Scienze e tecnologie chimiche;L-27;F;52
2022/2023;Scienze e tecnologie chimiche;L-27;M;18
2022/2023;Scienze e tecnologie della navigazione;L-28;F;2
2022/2023;Scienze e tecnologie della navigazione;L-28;M;6
2022/2023;Scienze e tecnologie farmaceutiche;L-29;F;52
2022/2023;Scienze e tecnologie farmaceutiche;L-29;M;36
2022/2023;Scienze e tecnologie fisiche;L-30;F;26
2022/2023;Scienze e tecnologie fisiche;L-30;M;52
2022/2023;Scienze e tecnologie informatiche;L-31;F;231
2022/2023;Scienze e tecnologie informatiche;L-31;M;526
2022/2023;Scienze e tecnologie per l'ambiente e la natura;L-32;F;39
2022/2023;Scienze e tecnologie per l'ambiente e la natura;L-32;M;28
2022/2023;Scienze economiche;L-33;F;420
2022/2023;Scienze economiche;L-33;M;448
2022/2023;Scienze geologiche;L-34;F;14
2022/2023;Scienze geologiche;L-34;M;11
2022/2023;Scienze matematiche;L-35;F;30
2022/2023;Scienze matematiche;L-35;M;57
2022/2023;Scienze politiche e delle relazioni internazionali;L-36;F;542
2022/2023;Scienze politiche e delle relazioni internazionali;L-36;M;339
2022/2023;Scienze sociali per la cooperazione, lo sviluppo e la pace;L-37;F;19
2022/2023;Scienze sociali per la cooperazione, lo sviluppo e la pace;L-37;M;6
2022/2023;Scienze zootecniche e tecnologie delle produzioni animali;L-38;F;36
2022/2023;Scienze zootecniche e tecnologie delle produzioni animali;L-38;M;15
2022/2023;Scienze, culture e politiche della gastronomia;L/GASTR;F;21
2022/2023;Scienze, culture e politiche della gastronomia;L/GASTR;M;12
2022/2023;Servizio sociale;L-39;F;51
2022/2023;Servizio sociale;L-39;M;10
2022/2023;Sociologia;L-40;F;10
2022/2023;Sociologia;L-40;M;13
2022/2023;Statistica;L-41;F;140
2022/2023;Statistica;L-41;M;164
2022/2023;Storia;L-42;F;124
2022/2023;Storia;L-42;M;57
2021/2022;Architettura e ingegneria edile-architettura (quinquennale);LM-4cu;F;46
2021/2022;Architettura e ingegneria edile-architettura (quinquennale);LM-4cu;M;28
2021/2022;Beni culturali;L-1;F;116
2021/2022;Beni culturali;L-1;M;38
2021/2022;Biotecnologie;L-2;F;77
2021/2022;Biotecnologie;L-2;M;51
2021/2022;Conservazione e restauro dei beni culturali;LMR/02;F;1
2021/2022;Diagnostica per la conservazione dei beni culturali;L-43;F;4
2021/2022;Discipline delle arti figurative, della musica, dello spettacolo e della moda;L-3;F;114
2021/2022;Discipline delle arti figurative, della musica, dello spettacolo e della moda;L-3;M;71
2021/2022;Disegno industriale;L-4;F;96
2021/2022;Disegno industriale;L-4;M;47
2021/2022;Farmacia e farmacia industriale;LM-13;F;263
2021/2022;Farmacia e farmacia industriale;LM-13;M;101
2021/2022;Filosofia;L-5;F;57
2021/2022;Filosofia;L-5;M;34
2021/2022;Geografia;L-6;F;3
2021/2022;Geografia;L-6;M;1
2021/2022;Ingegneria civile e ambientale;L-7;F;78
2021/2022;Ingegneria civile e ambientale;L-7;M;147
2021/2022;Ingegneria dell'informazione;L-8;F;204
2021/2022;Ingegneria dell'informazione;L-8;M;460
2021/2022;Ingegneria industriale;L-9;F;189
2021/2022;Ingegneria industriale;L-9;M;602
2021/2022;Lettere;L-10;F;119
2021/2022;Lettere;L-10;M;80
2021/2022;Lingue e culture moderne;L-11;F;326
2021/2022;Lingue e culture moderne;L-11;M;208
2021/2022;Magistrali in giurisprudenza;LMG/01;F;161
2021/2022;Magistrali in giurisprudenza;LMG/01;M;59
2021/2022;Mediazione linguistica;L-12;F;175
2021/2022;Mediazione linguistica;L-12;M;54
2021/2022;Medicina e chirurgia;LM-41;F;651
2021/2022;Medicina e chirurgia;LM-41;M;507
2021/2022;Medicina veterinaria;LM-42;F;26
2021/2022;Medicina veterinaria;LM-42;M;16
2021/2022;Odontoiatria e protesi dentaria;LM-46;F;66
2021/2022;Odontoiatria e protesi dentaria;LM-46;M;32
2021/2022;Professioni sanitarie della prevenzione;L/SNT4;F;9
2021/2022;Professioni sanitarie della riabilitazione;L/SNT2;F;22
2021/2022;Professioni sanitarie della riabilitazione;L/SNT2;M;4
2021/2022;Professioni sanitarie tecniche;L/SNT3;F;17
2021/2022;Professioni sanitarie tecniche;L/SNT3;M;4
2021/2022;Professioni sanitarie, infermieristiche e professione sanitaria ostetrica;L/SNT1;F;248
2021/2022;Professioni sanitarie, infermieristiche e professione sanitaria ostetrica;L/SNT1;M;41
2021/2022;Professioni tecniche industriali e dell’informazione;L-P03;M;1
2021/2022;Professioni tecniche per l'edilizia e il territorio;L-P01;F;1
2021/2022;Scienze biologiche;L-13;F;79
2021/2022;Scienze biologiche;L-13;M;20
2021/2022;Scienze dei servizi giuridici;L-14;F;186
2021/2022;Scienze dei servizi giuridici;L-14;M;126
2021/2022;Scienze del turismo;L-15;F;69
2021/2022;Scienze del turismo;L-15;M;43
2021/2022;Scienze della comunicazione;L-20;F;216
2021/2022;Scienze della comunicazione;L-20;M;90
2021/2022;Scienze della difesa e della sicurezza;L/DS;F;3
2021/2022;Scienze della difesa e della sicurezza;L/DS;M;29
2021/2022;Scienze della formazione primaria;LM-85 bis;F;8
2021/2022;Scienze della formazione primaria;LM-85 bis;M;1
2021/2022;Scienze della pianificazione territoriale, urbanistica, paesaggistica e ambientale;L-21;F;8
2021/2022;Scienze della pianificazione territoriale, urbanistica, paesaggistica e ambientale;L-21;M;8
2021/2022;Scienze dell'amministrazione e dell'organizzazione;L-16;F;47
2021/2022;Scienze dell'amministrazione e dell'organizzazione;L-16;M;31
2021/2022;Scienze dell'architettura;L-17;F;179
2021/2022;Scienze dell'architettura;L-17;M;106
2021/2022;Scienze delle attività motorie e sportive;L-22;F;27
2021/2022;Scienze delle attività motorie e sportive;L-22;M;134
2021/2022;Scienze dell'economia e della gestione aziendale;L-18;F;715
2021/2022;Scienze dell'economia e della gestione aziendale;L-18;M;695
2021/2022;Scienze dell'educazione e della formazione;L-19;F;90
2021/2022;Scienze dell'educazione e della formazione;L-19;M;16
2021/2022;Scienze e tecniche dell'edilizia;L-23;F;48
2021/2022;Scienze e tecniche dell'edilizia;L-23;M;48
2021/2022;Scienze e tecniche psicologiche;L-24;F;355
2021/2022;Scienze e tecniche psicologiche;L-24;M;103
2021/2022;Scienze e tecnologie agrarie e forestali;L-25;F;35
2021/2022;Scienze e tecnologie agrarie e forestali;L-25;M;30
2021/2022;Scienze e tecnologie alimentari;L-26;F;29
2021/2022;Scienze e tecnologie alimentari;L-26;M;12
2021/2022;Scienze e tecnologie chimiche;L-27;F;35
2021/2022;Scienze e tecnologie chimiche;L-27;M;24
2021/2022;Scienze e tecnologie della navigazione;L-28;F;4
2021/2022;Scienze e tecnologie della navigazione;L-28;M;7
2021/2022;Scienze e tecnologie farmaceutiche;L-29;F;19
2021/2022;Scienze e tecnologie farmaceutiche;L-29;M;5
2021/2022;Scienze e tecnologie fisiche;L-30;F;15
2021/2022;Scienze e tecnologie fisiche;L-30;M;41
2021/2022;Scienze e tecnologie informatiche;L-31;F;131
2021/2022;Scienze e tecnologie informatiche;L-31;M;418
2021/2022;Scienze e tecnologie per l'ambiente e la natura;L-32;F;43
2021/2022;Scienze e tecnologie per l'ambiente e la natura;L-32;M;17
2021/2022;Scienze economiche;L-33;F;401
2021/2022;Scienze economiche;L-33;M;398
2021/2022;Scienze geologiche;L-34;F;9
2021/2022;Scienze geologiche;L-34;M;11
2021/2022;Scienze matematiche;L-35;F;28
2021/2022;Scienze matematiche;L-35;M;63
2021/2022;Scienze politiche e delle relazioni internazionali;L-36;F;300
2021/2022;Scienze politiche e delle relazioni internazionali;L-36;M;229
2021/2022;Scienze sociali per la cooperazione, lo sviluppo e la pace;L-37;F;17
2021/2022;Scienze sociali per la cooperazione, lo sviluppo e la pace;L-37;M;12
2021/2022;Scienze zootecniche e tecnologie delle produzioni animali;L-38;F;29
2021/2022;Scienze zootecniche e tecnologie delle produzioni animali;L-38;M;8
2021/2022;Scienze, culture e politiche della gastronomia;L/GASTR;F;25
2021/2022;Scienze, culture e politiche della gastronomia;L/GASTR;M;26
2021/2022;Servizio sociale;L-39;F;41
2021/2022;Servizio sociale;L-39;M;13
2021/2022;Sociologia;L-40;F;13
2021/2022;Sociologia;L-40;M;7
2021/2022;Statistica;L-41;F;41
2021/2022;Statistica;L-41;M;73
2021/2022;Storia;L-42;F;101
2021/2022;Storia;L-42;M;63
2020/2021;Architettura e ingegneria edile-architettura (quinquennale);LM-4cu;F;42
2020/2021;Architettura e ingegneria edile-architettura (quinquennale);LM-4cu;M;28
2020/2021;Beni culturali;L-1;F;67
2020/2021;Beni culturali;L-1;M;20
2020/2021;Biotecnologie;L-2;F;78
2020/2021;Biotecnologie;L-2;M;43
2020/2021;Conservazione e restauro dei beni culturali;LMR/02;F;3
2020/2021;Diagnostica per la conservazione dei beni culturali;L-43;F;7
2020/2021;Diagnostica per la conservazione dei beni culturali;L-43;M;1
