DATAFLOW,FREQ,FASECONTOEC,ITTER107,UNIT_IST_AGGR,TIME_PERIOD,OBS_VALUE,BREAK,CONF_STATUS,OBS_PRE_BREAK,OBS_STATUS,BASE_PER,UNIT_MEAS,UNIT_MULT,METADATA_EN,METADATA_IT
IT1:124_1157(1.0),A,210,IT,2I,2021,12158474573,,,,,,,,,
IT1:124_1157(1.0),A,210,IT,2I,2022,13451230839,,,,,,,,,
IT1:124_1157(1.0),A,210,IT,2I,2023,14428327614,,,,,,,,,
IT1:124_1157(1.0),A,211,IT,2I,2016,6827907727,,,,,,,,,
IT1:124_1157(1.0),A,211,IT,2I,2017,6700356261,,,,,,,,,
IT1:124_1157(1.0),A,211,IT,2I,2018,6602574106,,,,,,,,,
IT1:124_1157(1.0),A,211,IT,2I,2019,6739639390,,,,,,,,,
IT1:124_1157(1.0),A,211,IT,2I,2020,6789191107,,,,,,,,,
IT1:124_1157(1.0),A,211,IT,2I,2021,7063496567,,,,,,,,,
IT1:124_1157(1.0),A,211,IT,2I,2022,7522009662,,,,,,,,,
IT1:124_1157(1.0),A,211,IT,2I,2023,7973382826,,,,,,,,,
IT1:124_1157(1.0),A,212,IT,2I,2016,3442464021,,,,,,,,,
IT1:124_1157(1.0),A,212,IT,2I,2017,3414185890,,,,,,,,,
IT1:124_1157(1.0),A,212,IT,2I,2018,3561854369,,,,,,,,,
IT1:124_1157(1.0),A,212,IT,2I,2019,3766160266,,,,,,,,,
IT1:124_1157(1.0),A,212,IT,2I,2020,3537279810,,,,,,,,,
IT1:124_1157(1.0),A,212,IT,2I,2021,4025228783,,,,,,,,,
IT1:124_1157(1.0),A,212,IT,2I,2022,4819810257,,,,,,,,,
IT1:124_1157(1.0),A,212,IT,2I,2023,5205907390,,,,,,,,,
IT1:124_1157(1.0),A,213,IT,2I,2016,597948700,,,,,,,,,
IT1:124_1157(1.0),A,213,IT,2I,2017,572482671,,,,,,,,,
IT1:124_1157(1.0),A,213,IT,2I,2018,582488125,,,,,,,,,
IT1:124_1157(1.0),A,213,IT,2I,2019,561131970,,,,,,,,,
IT1:124_1157(1.0),A,213,IT,2I,2020,582484263,,,,,,,,,
IT1:124_1157(1.0),A,213,IT,2I,2021,645354303,,,,,,,,,
IT1:124_1157(1.0),A,213,IT,2I,2022,696665633,,,,,,,,,
IT1:124_1157(1.0),A,213,IT,2I,2023,751898284,,,,,,,,,
IT1:124_1157(1.0),A,214,IT,2I,2016,441525915,,,,,,,,,
IT1:124_1157(1.0),A,214,IT,2I,2017,421888346,,,,,,,,,
IT1:124_1157(1.0),A,214,IT,2I,2018,307507634,,,,,,,,,
IT1:124_1157(1.0),A,214,IT,2I,2019,320208037,,,,,,,,,
IT1:124_1157(1.0),A,214,IT,2I,2020,284958890,,,,,,,,,
IT1:124_1157(1.0),A,214,IT,2I,2021,294175222,,,,,,,,,
IT1:124_1157(1.0),A,214,IT,2I,2022,280176000,,,,,,,,,
IT1:124_1157(1.0),A,214,IT,2I,2023,330257243,,,,,,,,,
IT1:124_1157(1.0),A,215,IT,2I,2016,172634198,,,,,,,,,
IT1:124_1157(1.0),A,215,IT,2I,2017,148871492,,,,,,,,,
IT1:124_1157(1.0),A,215,IT,2I,2018,162711942,,,,,,,,,
IT1:124_1157(1.0),A,215,IT,2I,2019,111746715,,,,,,,,,
IT1:124_1157(1.0),A,215,IT,2I,2020,114168515,,,,,,,,,
IT1:124_1157(1.0),A,215,IT,2I,2021,130219698,,,,,,,,,
IT1:124_1157(1.0),A,215,IT,2I,2022,132569287,,,,,,,,,
IT1:124_1157(1.0),A,215,IT,2I,2023,166881871,,,,,,,,,
IT1:124_1157(1.0),A,216,IT,2I,2016,841882076,,,,,,,,,
IT1:124_1157(1.0),A,216,IT,2I,2017,939745231,,,,,,,,,
IT1:124_1157(1.0),A,216,IT,2I,2018,949617143,,,,,,,,,
IT1:124_1157(1.0),A,216,IT,2I,2019,865166698,,,,,,,,,
IT1:124_1157(1.0),A,216,IT,2I,2020,1295234052,,,,,,,,,
IT1:124_1157(1.0),A,216,IT,2I,2021,1359724459,,,,,,,,,
IT1:124_1157(1.0),A,216,IT,2I,2022,1228142463,,,,,,,,,
IT1:124_1157(1.0),A,216,IT,2I,2023,1405157917,,,,,,,,,
IT1:124_1157(1.0),A,217,IT,2I,2016,-42432382,,,,,,,,,
IT1:124_1157(1.0),A,217,IT,2I,2017,-30878945,,,,,,,,,
IT1:124_1157(1.0),A,217,IT,2I,2018,-30851604,,,,,,,,,
IT1:124_1157(1.0),A,217,IT,2I,2019,-22713799,,,,,,,,,
IT1:124_1157(1.0),A,217,IT,2I,2020,-30347327,,,,,,,,,
IT1:124_1157(1.0),A,217,IT,2I,2021,-23726765,,,,,,,,,
IT1:124_1157(1.0),A,217,IT,2I,2022,-22408721,,,,,,,,,
IT1:124_1157(1.0),A,217,IT,2I,2023,-18741150,,,,,,,,,
IT1:124_1157(1.0),A,218,IT,2I,2016,-999626,,,,,,,,,
IT1:124_1157(1.0),A,218,IT,2I,2017,-2327808,,,,,,,,,
IT1:124_1157(1.0),A,218,IT,2I,2018,-1625153,,,,,,,,,
IT1:124_1157(1.0),A,218,IT,2I,2019,-581230,,,,,,,,,
IT1:124_1157(1.0),A,218,IT,2I,2020,-1222668,,,,,,,,,
IT1:124_1157(1.0),A,218,IT,2I,2021,-502011,,,,,,,,,
IT1:124_1157(1.0),A,218,IT,2I,2022,-637446,,,,,,,,,
IT1:124_1157(1.0),A,218,IT,2I,2023,200242,,,,,,,,,
IT1:124_1157(1.0),A,219,IT,2I,2016,48373564,,,,,,,,,
IT1:124_1157(1.0),A,219,IT,2I,2017,119107230,,,,,,,,,
IT1:124_1157(1.0),A,219,IT,2I,2018,38089722,,,,,,,,,
IT1:124_1157(1.0),A,219,IT,2I,2019,72678015,,,,,,,,,
IT1:124_1157(1.0),A,219,IT,2I,2020,170453050,,,,,,,,,
IT1:124_1157(1.0),A,219,IT,2I,2021,101082288,,,,,,,,,
IT1:124_1157(1.0),A,219,IT,2I,2022,64179271,,,,,,,,,
IT1:124_1157(1.0),A,219,IT,2I,2023,115154517,,,,,,,,,
IT1:124_1157(1.0),A,220,IT,2I,2016,217151630,,,,,,,,,
IT1:124_1157(1.0),A,220,IT,2I,2017,280081657,,,,,,,,,
IT1:124_1157(1.0),A,220,IT,2I,2018,342485964,,,,,,,,,
IT1:124_1157(1.0),A,220,IT,2I,2019,393299018,,,,,,,,,
IT1:124_1157(1.0),A,220,IT,2I,2020,406680172,,,,,,,,,
IT1:124_1157(1.0),A,220,IT,2I,2021,416587561,,,,,,,,,
IT1:124_1157(1.0),A,220,IT,2I,2022,442069464,,,,,,,,,
IT1:124_1157(1.0),A,220,IT,2I,2023,482670174,,,,,,,,,
