Indicator 1a,Proportion (in %) of school heads per ISCED level and salary range,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43
Heads,2022/2023,Minimum,Most common (or other),ISCED 1,0,a,0,:,0,0,0,:,:,0,83,0,40,0,0,0,0,0,:,a,77,36,0,0,:,a,0,0,0,0,:,0,9,0,a,58,0,0,0
Heads,2022/2023,Minimum,Most common (or other),ISCED 24,0,a,0,:,0,0,0,:,:,0,60,0,40,0,0,0,0,0,:,44,32,32,0,0,:,a,0,0,0,0,:,0,9,0,a,58,0,0,0
Heads,2022/2023,Minimum,Most common (or other),ISCED 34,0,a,0,:,0,0,0,:,:,0,60,0,36,0,0,0,0,0,:,36,32,32,0,0,:,a,0,0,0,0,:,0,0,0,42,39,0,0,0
Heads,2023/2024,Minimum,Most common (or other),ISCED 02,a,:,a,:,a,a,:,a,:,a,83,a,a,a,0,0,a,0,:,0,78,a,0,0,0,0,0,0,0,0,:,:,:,0,33,:,:,0,0
Heads,2023/2024,Minimum,Most common (or other),ISCED 1,a,:,a,:,a,a,:,a,:,a,83,a,37,a,0,0,a,0,:,0,78,36,0,0,0,0,0,0,0,0,:,:,:,0,0,:,:,0,0
Heads,2023/2024,Minimum,Most common (or other),ISCED 24,a,:,a,:,a,a,:,a,:,a,60,a,37,a,0,0,a,0,:,56,35,32,0,0,0,0,0,0,0,0,:,:,:,0,0,:,:,0,0
Heads,2023/2024,Minimum,Most common (or other),ISCED 34,a,:,a,:,a,a,:,a,:,a,60,a,37,a,0,22,a,0,:,43,35,32,0,0,0,0,0,0,0,0,:,:,:,0,42,:,:,0,0
Heads,2020/2021,Minimum,Biggest,ISCED 02,0,0,0,0,0,0,0,a,0,0,:,0,0,0,0,25,0,0,0,a,55,a,0,0,0,a,0,0,0,0,:,0,0,0,28,a,0,0,0
Heads,2020/2021,Minimum,Biggest,ISCED 1,0,0,0,0,0,0,0,:,:,0,:,0,49,0,0,4,0,0,0,a,55,36,0,0,0,a,0,0,0,0,:,0,0,0,13,58,0,0,0
Heads,2020/2021,Minimum,Biggest,ISCED 24,0,0,0,0,0,0,0,:,:,0,:,0,48,0,0,51,0,0,0,6,32,32,0,0,0,a,0,0,0,0,:,0,0,0,12,58,0,0,0
Heads,2020/2021,Minimum,Biggest,ISCED 34,0,0,0,0,0,0,0,:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0
Heads,2021/2022,Minimum,Biggest,ISCED 02,48,0,0,0,0,0,0,a,0,3,0,0,0,0,0,0,0,0,0,0,14,:,0,43,0,0,0,0,0,0,:,0,0,0,28,0,0,0,0
Heads,2021/2022,Minimum,Biggest,ISCED 1,66,0,0,0,0,0,0,:,0,53,0,0,4,0,0,0,0,0,0,0,14,0,0,43,0,0,0,6,0,0,:,0,0,0,13,31,0,0,0
Heads,2021/2022,Minimum,Biggest,ISCED 24,a,0,97,0,0,0,0,:,0,68,0,0,4,0,0,0,0,0,0,0,4,0,0,43,0,0,0,47,0,0,:,0,0,0,12,31,0,0,0
Heads,2021/2022,Minimum,Biggest,ISCED 34,a,0,0,0,0,0,0,:,0,74,0,0,12,0,0,0,0,0,0,14,4,0,0,43,0,0,0,0,0,0,:,0,0,0,16,15,0,0,0
Heads,2022/2023,Minimum,Biggest,ISCED 02,51,:,0,:,0,0,0,a,0,2,8,0,a,0,0,0,0,0,:,0,17,:,0,43,:,a,0,a,0,0,:,0,0,0,29,0,0,0,0
Heads,2022/2023,Minimum,Biggest,ISCED 1,70,:,0,:,0,0,0,:,:,48,8,0,3,0,0,0,0,0,:,0,17,0,0,43,:,a,0,6,0,0,:,0,2,:,14,31,0,0,0
Heads,2022/2023,Minimum,Biggest,ISCED 24,0,:,98,:,0,0,0,:,:,65,12,0,3,0,0,0,0,0,:,0,4,0,0,43,:,a,0,47,0,0,:,0,2,:,13,31,0,0,0
Heads,2022/2023,Minimum,Biggest,ISCED 34,0,:,0,:,0,0,0,:,:,72,12,0,12,0,0,0,0,0,:,14,4,0,0,43,:,a,0,a,0,0,:,0,0,:,16,15,0,0,0
Heads,2023/2024,Minimum,Biggest,ISCED 02,50,:,a,:,a,a,:,a,:,0.2,8,a,a,a,0,0,:,0,:,3,18,a,:,45,:,0,0,0,0,0,:,:,:,:,29,:,:,0,0
Heads,2023/2024,Minimum,Biggest,ISCED 1,70,:,a,:,a,a,:,a,:,49,8,a,3,a,0,0,:,0,:,3,18,0,:,45,:,0,0,8,0,0,:,:,:,:,14,:,:,0,0
Heads,2023/2024,Minimum,Biggest,ISCED 24,a,:,31,:,a,a,:,a,:,66,13,a,3,a,0,0,:,0,:,11,4,0,:,45,:,0,0,14,0,0,:,:,:,:,13,:,:,0,0
Heads,2023/2024,Minimum,Biggest,ISCED 34,a,:,91,:,a,a,:,a,:,72,13,a,9,a,0,0,:,0,:,14,4,0,:,45,:,0,0,0,0,0,:,:,:,:,16,:,:,0,0
Heads,2020/2021,Maximum,Smallest or all,ISCED 02,18,100,100,:,100,100,:,a,a,99,:,:,:,a,100,15,:,a,100,37,2,:,99,:,100,100,100,100,:,:,:,:,:,a,16,100,a,100,:
Heads,2020/2021,Maximum,Smallest or all,ISCED 1,3,100,100,100,100,100,:,a,:,15,:,:,39,100,100,38,:,a,100,37,2,:,100,:,100,100,100,63,:,:,:,:,:,9,49,12,a,100,:
Heads,2020/2021,Maximum,Smallest or all,ISCED 24,80,:,1,100,100,100,:,a,:,33,:,100,39,100,100,42,:,100,100,0,17,:,100,:,100,100,100,2,:,:,:,:,:,78,47,12,a,100,:
Heads,2020/2021,Maximum,Smallest or all,ISCED 34,79,:,:,100,100,100,:,a,:,27,:,100,25,100,100,1,:,100,100,0,17,:,100,:,100,100,100,100,:,:,:,:,:,50,33,46,a,100,:
Heads,2021/2022,Maximum,Smallest or all,ISCED 02,14,100,100,100,100,100,:,a,a,98,:,:,:,a,100,30,:,a,:,35,8,:,99,6,100,100,100,100,:,:,:,:,:,a,16,100,a,100,:
Heads,2021/2022,Maximum,Smallest or all,ISCED 1,3,100,100,100,100,100,:,a,:,17,:,:,39,100,100,62,:,a,:,35,8,:,99,6,100,100,100,63,:,:,:,:,:,9,49,12,a,100,:
Heads,2021/2022,Maximum,Smallest or all,ISCED 24,69,100,3,100,100,100,:,a,:,32,:,100,39,100,100,55,:,100,:,:,19,:,99,6,100,100,100,1,:,:,:,:,:,78,47,12,a,100,:
Heads,2021/2022,Maximum,Smallest or all,ISCED 34,77,100,100,100,100,a,:,a,:,26,:,100,25,100,100,3,:,100,:,:,19,:,100,6,100,100,100,100,:,:,:,:,:,50,33,46,a,100,:
Heads,2022/2023,Maximum,Smallest or all,ISCED 02,25,:,100,:,100,100,:,a,a,98,10,100,a,a,100,31,:,a,:,34,5,:,99,,:,100,100,100,:,:,:,:,16,a,16,100,a,100,100
Heads,2022/2023,Maximum,Smallest or all,ISCED 1,11,:,100,:,100,100,:,a,:,18,10,100,34,100,100,55,:,a,:,34,5,:,100,5,:,100,100,63,:,:,:,:,24,:,49,12,a,100,100
Heads,2022/2023,Maximum,Smallest or all,ISCED 24,1,:,2,:,100,100,:,a,:,35,28,1,34,100,100,46,:,100,:,:,14,:,100,5,:,100,100,1,:,:,:,:,24,:,47,12,a,100,100
Heads,2022/2023,Maximum,Smallest or all,ISCED 34,1,:,100,:,100,a,:,a,:,28,28,1,25,100,100,2,:,100,:,:,14,:,100,5,:,100,100,100,:,:,:,:,:,:,33,47,a,100,100
Heads,2023/2024,Maximum,Smallest or all,ISCED 02,15,:,100,:,100,100,:,a,a,100,10,100,:,a,100,67,:,a,:,32,4,:,100,5,:,100,100,100,:,:,:,:,:,a,16,:,a,100,100
Heads,2023/2024,Maximum,Smallest or all,ISCED 1,3,:,100,:,100,100,:,a,:,51,10,100,33,100,100,60,:,a,:,32,4,0,:,5,:,100,100,54,:,:,:,:,:,:,49,:,a,100,100
Heads,2023/2024,Maximum,Smallest or all,ISCED 24,64,:,69,:,100,100,:,a,:,34,28,100,33,100,100,46,:,100,:,0,14,0,:,5,:,100,100,2,:,:,:,:,:,:,47,:,a,100,100
Heads,2023/2024,Maximum,Smallest or all,ISCED 34,25,:,9,:,100,:,:,a,:,:,28,100,26,100,100,11,:,100,:,0,14,0,:,5,:,100,100,100,:,:,:,:,:,:,33,:,a,100,100
Heads,2020/2021,Maximum,Most common (or other),ISCED 02,0,0,0,0,0,0,0,a,a,0,m,0,0,0,0,25,0,0,0,a,55,a,0,0,0,0,0,0,0,0,:,0,0,0,33,a,0,0,0
Heads,2020/2021,Maximum,Most common (or other),ISCED 1,0,0,0,0,0,0,0,:,:,0,m,0,49,0,0,40,0,0,0,a,55,36,0,0,0,0,0,0,0,0,:,0,0,0,a,58,0,0,0
Heads,2020/2021,Maximum,Most common (or other),ISCED 24,0,0,0,0,0,0,0,:,:,0,m,0,49,0,0,51,0,0,0,60,32,32,0,0,0,0,0,0,0,0,:,0,0,0,a,58,0,0,0
Heads,2020/2021,Maximum,Most common (or other),ISCED 34,0,0,0,0,0,0,0,:,:,0,m,0,47,0,0,26,0,0,0,a,32,30,0,0,0,0,0,0,0,0,:,0,0,0,42,39,0,0,0
Heads,2021/2022,Maximum,Most common (or other),ISCED 02,48,0,0,0,0,0,0,a,a,3,0,0,0,0,0,0,0,0,0,0,14,m,0,43,0,0,0,0,0,0,:,0,0,0,28,a,0,0,0
Heads,2021/2022,Maximum,Most common (or other),ISCED 1,65,0,0,0,0,0,0,:,0,53,0,0,4,0,0,0,0,0,0,0,14,0,0,43,0,0,0,6,0,0,:,0,0,0,13,31,0,0,0
Heads,2021/2022,Maximum,Most common (or other),ISCED 24,a,0,97,0,0,0,0,:,0,68,0,0,4,0,0,0,0,0,0,0,4,0,0,43,0,0,0,47,0,0,:,0,0,0,12,31,0,0,0
Heads,2021/2022,Maximum,Most common (or other),ISCED 34,a,0,0,0,0,0,0,:,0,74,0,0,11,0,0,0,0,0,0,14,4,0,0,43,0,0,0,0,0,0,:,0,0,0,16,15,0,0,0
Heads,2022/2023,Maximum,Most common (or other),ISCED 02,0,a,0,:,0,0,0,a,a,0,83,0,a,0,0,0,0,0,:,a,77,0,0,0,:,a,0,0,0,0,:,0,24,0,33,0,0,0,0
Heads,2022/2023,Maximum,Most common (or other),ISCED 1,0,a,0,:,0,0,0,:,:,0,83,0,40,0,0,0,0,0,:,a,77,36,0,0,:,a,0,0,0,0,:,0,9,0,a,58,0,0,0
Heads,2022/2023,Maximum,Most common (or other),ISCED 24,0,a,0,:,0,0,0,:,:,0,60,0,40,0,0,0,0,0,:,44,32,32,0,0,:,a,0,0,0,0,:,0,9,0,a,58,0,0,0
Heads,2022/2023,Maximum,Most common (or other),ISCED 34,0,a,0,:,0,0,0,:,:,0,60,0,36,0,0,0,0,0,:,36,32,32,0,0,:,a,0,0,0,0,:,0,0,0,42,39,0,0,0
Heads,2023/2024,Maximum,Most common (or other),ISCED 02,a,:,a,:,a,a,:,a,:,a,83,a,a,a,0,0,a,0,:,0,78,a,0,0,0,0,0,0,0,0,0,0,:,0,33,0,0,0,0
Heads,2023/2024,Maximum,Most common (or other),ISCED 1,a,:,a,:,a,a,:,:,:,a,83,a,37,a,0,0,a,0,:,0,78,36,0,0,0,0,0,0,0,0,0,0,:,0,0,0,0,0,0
Heads,2023/2024,Maximum,Most common (or other),ISCED 24,a,:,a,:,a,a,:,:,:,a,60,a,37,a,0,0,a,0,:,56,35,32,0,0,0,0,0,0,0,0,0,0,:,0,0,0,0,0,0
Heads,2023/2024,Maximum,Most common (or other),ISCED 34,a,:,a,:,a,a,:,:,:,a,60,a,37,a,0,22,a,0,:,43,35,32,0,0,0,0,0,0,0,0,0,0,:,0,0.42,0,0,0,0
Heads,2020/2021,Maximum,Biggest,ISCED 02,0,0,0,0,0,0,0,a,0,0,:,0,0,0,0,25,0,0,0,a,55,a,0,0,0,a,0,0,0,0,:,0,0,0,28,a,0,0,0
Heads,2020/2021,Maximum,Biggest,ISCED 1,0,0,0,0,0,0,0,:,:,0,:,0,49,0,0,4,0,0,0,a,55,36,0,0,0,a,0,0,0,0,:,0,0,0,13,58,0,0,0
Heads,2020/2021,Maximum,Biggest,ISCED 24,0,0,0,0,0,0,0,:,:,0,:,0,48,0,0,51,0,0,0,6,32,32,0,0,0,a,0,0,0,0,:,0,0,0,12,58,0,0,0
Heads,2020/2021,Maximum,Biggest,ISCED 34,0,0,0,0,0,0,0,:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0
Heads,2021/2022,Maximum,Biggest,ISCED 02,48,0,0,0,0,0,0,a,0,3,0,0,0,0,0,0,0,0,0,0,14,:,0,43,0,0,0,0,0,0,:,0,0,0,28,0,0,0,0
Heads,2021/2022,Maximum,Biggest,ISCED 1,66,0,0,0,0,0,0,:,0,53,0,0,4,0,0,0,0,0,0,0,14,0,0,43,0,0,0,6,0,0,:,0,0,0,13,31,0,0,0
Heads,2021/2022,Maximum,Biggest,ISCED 24,a,0,97,0,0,0,0,:,0,68,0,0,4,0,0,0,0,0,0,0,4,0,0,43,0,0,0,47,0,0,:,0,0,0,12,31,0,0,0
Heads,2021/2022,Maximum,Biggest,ISCED 34,a,0,0,0,0,0,0,:,0,74,0,0,12,0,0,0,0,0,0,14,4,0,0,43,0,0,0,0,0,0,:,0,0,0,16,15,0,0,0
Heads,2022/2023,Maximum,Biggest,ISCED 02,51,:,0,:,0,0,0,a,0,2,8,0,a,0,0,0,0,0,:,0,17,:,0,43,:,a,0,a,0,0,:,0,0,0,29,0,0,0,0
Heads,2022/2023,Maximum,Biggest,ISCED 1,70,:,0,:,0,0,0,:,:,48,8,0,3,0,0,0,0,0,:,0,17,0,0,43,:,a,0,6,0,0,:,0,2,:,14,31,0,0,0
Heads,2022/2023,Maximum,Biggest,ISCED 24,0,:,98,:,0,0,0,:,:,65,12,0,3,0,0,0,0,0,:,0,4,0,0,43,:,a,0,47,0,0,:,0,2,:,13,31,0,0,0
Heads,2022/2023,Maximum,Biggest,ISCED 34,0,:,0,:,0,0,0,:,:,72,12,0,12,0,0,0,0,0,:,14,4,0,0,43,:,a,0,a,0,0,:,0,0,:,16,15,0,0,0
Heads,2023/2024,Maximum,Biggest,ISCED 02,50,:,a,:,a,a,:,a,:,20,8,a,a,a,0,0,:,0,:,3,18,0,:,45,0,0,0,0,0,0,a,0,:,0,29,:,0,0,0
Heads,2023/2024,Maximum,Biggest,ISCED 1,70,:,a,:,a,a,:,:,:,49,8,a,3,a,0,0,:,0,:,3,18,0,:,45,0,0,0,8,0,0,a,0,:,0,14,:,0,0,0
Heads,2023/2024,Maximum,Biggest,ISCED 24,a,:,a,:,a,a,:,:,:,66,13,a,3,a,0,0,:,0,:,11,4,0,:,45,0,0,0,14,0,0,a,0,:,0,13,:,0,0,0
Heads,2023/2024,Maximum,Biggest,ISCED 34,a,:,a,:,a,a,:,:,:,72,13,a,9,a,0,0,:,0,:,14,4,0,:,45,0,0,0,0,0,0,a,0,:,0,16,:,0,0,0
